Time,Miami,Score,Houston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:08.0, ,19-21,Defensive rebound by D. Brooks,,1,19,21,-2,532.0
3:00.0, ,19-21,J. Smith misses 3-pt jump shot from 26 ft,,1,19,21,-2,540.0
3:00.0,Defensive rebound by D. Robinson,19-21, ,,1,19,21,-2,540.0
2:49.0,J. Butler misses 2-pt layup from 4 ft (block by J. Smith),19-21, ,,1,19,21,-2,551.0
2:48.0, ,19-21,Defensive rebound by J. Smith,,1,19,21,-2,552.0
2:43.0, ,19-21,C. Whitmore misses 2-pt layup from 4 ft,,1,19,21,-2,557.0
2:41.0,Defensive rebound by K. Love,19-21, ,,1,19,21,-2,559.0
2:34.0,C. Martin makes 2-pt layup from 3 ft (assist by D. Robinson),21-21, ,Tie,1,21,21,0,566.0
2:34.0, ,21-21,Houston full timeout,,1,21,21,0,566.0
2:34.0,H. Highsmith enters the game for D. Robinson,21-21, ,,1,21,21,0,566.0
2:34.0, ,21-21,J. Green enters the game for J. Smith,,1,21,21,0,566.0
2:34.0, ,21-21,A. Holiday enters the game for F. VanVleet,,1,21,21,0,566.0
2:24.0, ,21-23,C. Whitmore makes 2-pt dunk from 3 ft (assist by J. Landale),,1,21,23,-2,576.0
2:05.0,K. Love misses 3-pt jump shot from 26 ft,21-23, ,,1,21,23,-2,595.0
2:04.0, ,21-23,Defensive rebound by J. Green,,1,21,23,-2,596.0
1:53.0, ,21-23,Turnover by J. Green (bad pass; steal by H. Highsmith),,1,21,23,-2,607.0
1:48.0,J. Butler makes 2-pt dunk from 2 ft (assist by T. Herro),23-23, ,Tie,1,23,23,0,612.0
1:38.0, ,23-23,Shooting foul by T. Herro (drawn by J. Green),,1,23,23,0,622.0
1:38.0, ,23-24,J. Green makes free throw 1 of 2,,1,23,24,-1,622.0
1:38.0, ,23-25,J. Green makes free throw 2 of 2,,1,23,25,-2,622.0
1:25.0,Turnover by K. Love (bad pass),23-25, ,,1,23,25,-2,635.0
1:25.0,J. Jaquez enters the game for J. Butler,23-25, ,,1,23,25,-2,635.0
1:15.0, ,23-25,A. Holiday misses 3-pt jump shot from 25 ft,,1,23,25,-2,645.0
1:14.0, ,23-25,Offensive rebound by C. Whitmore,,1,23,25,-2,646.0
1:11.0, ,23-25,C. Whitmore misses 2-pt layup from 3 ft,,1,23,25,-2,649.0
1:08.0,Defensive rebound by K. Love,23-25, ,,1,23,25,-2,652.0
1:05.0,T. Herro makes 2-pt jump shot from 13 ft,25-25, ,Tie,1,25,25,0,655.0
0:52.0, ,25-25,D. Brooks misses 3-pt jump shot from 28 ft,,1,25,25,0,668.0
0:50.0,Defensive rebound by K. Love,25-25, ,,1,25,25,0,670.0
0:31.0,K. Love misses 2-pt hook shot from 5 ft,25-25, ,,1,25,25,0,689.0
0:30.0,Offensive rebound by Team,25-25, ,,1,25,25,0,690.0
0:27.0,K. Love makes 2-pt hook shot from 5 ft (assist by C. Martin),27-25, ,Lead change,1,27,25,2,693.0
0:11.0, ,27-27,D. Brooks makes 2-pt jump shot from 6 ft (assist by J. Landale),Tie,1,27,27,0,709.0
0:01.0,T. Herro misses 2-pt jump shot from 9 ft,27-27, ,,1,27,27,0,719.0
0:00.0,Offensive rebound by Team,27-27, ,,1,27,27,0,720.0
0:00.0,End of 1st quarter,27-27,,,1,27,27,0,720.0
12:00.0,Start of 2nd quarter,27-27,,,2,27,27,0,720.0
11:38.0,B. Adebayo makes 2-pt jump shot from 4 ft (assist by T. Herro),29-27, ,,2,29,27,2,742.0
11:16.0, ,29-30,C. Whitmore makes 3-pt jump shot from 25 ft (assist by J. Smith),Lead change,2,29,30,-1,764.0
10:59.0,B. Adebayo makes 2-pt dunk from 3 ft (assist by J. Jaquez),31-30, ,Lead change,2,31,30,1,781.0
10:47.0, ,31-32,J. Smith makes 2-pt jump shot from 14 ft (assist by A. Holiday),Lead change,2,31,32,-1,793.0
10:24.0,T. Herro misses 3-pt jump shot from 27 ft,31-32, ,,2,31,32,-1,816.0
10:23.0, ,31-32,Defensive rebound by J. Green,,2,31,32,-1,817.0
10:15.0, ,31-32,J. Green misses 2-pt layup from 2 ft,,2,31,32,-1,825.0
10:15.0,Defensive rebound by B. Adebayo,31-32, ,,2,31,32,-1,825.0
10:07.0,C. Martin makes 2-pt layup from 3 ft (assist by T. Herro),33-32, ,Lead change,2,33,32,1,833.0
9:48.0, ,33-32,J. Green misses 3-pt jump shot from 28 ft,,2,33,32,1,852.0
9:47.0,Defensive rebound by C. Martin,33-32, ,,2,33,32,1,853.0
9:40.0,J. Jaquez makes 2-pt layup from 1 ft (assist by C. Martin),35-32, ,,2,35,32,3,860.0
9:23.0, ,35-32,C. Whitmore misses 2-pt jump shot from 13 ft,,2,35,32,3,877.0
9:22.0,Defensive rebound by J. Jaquez,35-32, ,,2,35,32,3,878.0
9:13.0,Personal foul by R. Bullock (drawn by B. Adebayo),35-32, ,,2,35,32,3,887.0
9:13.0, ,35-32,J. Green enters the game for A. Holiday,,2,35,32,3,887.0
9:13.0, ,35-32,F. VanVleet enters the game for C. Whitmore,,2,35,32,3,887.0
8:58.0,C. Martin misses 3-pt jump shot from 26 ft,35-32, ,,2,35,32,3,902.0
8:57.0, ,35-32,Defensive rebound by J. Smith,,2,35,32,3,903.0
8:49.0, ,35-32,J. Green misses 3-pt jump shot from 26 ft,,2,35,32,3,911.0
8:48.0,Defensive rebound by B. Adebayo,35-32, ,,2,35,32,3,912.0
8:42.0,B. Adebayo makes 2-pt jump shot from 3 ft,37-32, ,,2,37,32,5,918.0
8:24.0, ,37-32,Shooting foul by B. Adebayo (drawn by J. Green),,2,37,32,5,936.0
8:24.0, ,37-33,J. Green makes free throw 1 of 2,,2,37,33,4,936.0
8:24.0, ,37-34,J. Green makes free throw 2 of 2,,2,37,34,3,936.0
8:05.0,Personal foul by J. Green (drawn by T. Herro),37-34, ,,2,37,34,3,955.0
7:56.0,T. Herro makes 2-pt layup from 4 ft,39-34, ,,2,39,34,5,964.0
7:43.0, ,39-34,Turnover by R. Bullock (bad pass; steal by J. Jaquez),,2,39,34,5,977.0
7:41.0,Shooting foul by F. VanVleet (drawn by B. Adebayo),39-34, ,,2,39,34,5,979.0
7:41.0,B. Adebayo makes free throw 1 of 2,40-34, ,,2,40,34,6,979.0
7:41.0,B. Adebayo makes free throw 2 of 2,41-34, ,,2,41,34,7,979.0
7:32.0, ,41-34,Shooting foul by H. Highsmith (drawn by F. VanVleet),,2,41,34,7,988.0
7:32.0, ,41-35,F. VanVleet makes free throw 1 of 2,,2,41,35,6,988.0
7:32.0, ,41-36,F. VanVleet makes free throw 2 of 2,,2,41,36,5,988.0
7:21.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by T. Herro),43-36, ,,2,43,36,7,999.0
6:57.0, ,43-36,J. Green misses 2-pt jump shot from 3 ft,,2,43,36,7,1023.0
