Time,Chicago,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
8:08.0,Defensive rebound by Team,11-3, ,,1,3,11,-8,232.0
7:51.0,N. Vučević makes 2-pt hook shot from 4 ft (assist by A. Caruso),13-3, ,,1,3,13,-10,249.0
7:36.0, ,13-5,J. Butler makes 2-pt jump shot from 9 ft,,1,5,13,-8,264.0
7:25.0,N. Vučević makes 3-pt jump shot from 25 ft (assist by C. White),16-5, ,,1,5,16,-11,275.0
7:14.0, ,16-5,D. Robinson misses 2-pt layup from 2 ft,,1,5,16,-11,286.0
7:12.0,Defensive rebound by N. Vučević,16-5, ,,1,5,16,-11,288.0
7:08.0,Chicago full timeout,16-5, ,,1,5,16,-11,292.0
7:08.0,A. Dosunmu enters the game for A. Caruso,16-5, ,,1,5,16,-11,292.0
7:02.0,P. Williams makes 3-pt jump shot from 26 ft (assist by D. DeRozan),19-5, ,,1,5,19,-14,298.0
6:46.0, ,19-5,Personal foul by C. White (drawn by J. Butler),,1,5,19,-14,314.0
6:46.0, ,19-5,K. Love enters the game for O. Robinson,,1,5,19,-14,314.0
6:32.0, ,19-5,Turnover by Team (shot clock),,1,5,19,-14,328.0
6:17.0,D. DeRozan makes 2-pt jump shot from 21 ft (assist by P. Williams),21-5, ,,1,5,21,-16,343.0
6:16.0, ,21-5,Miami full timeout,,1,5,21,-16,344.0
6:16.0, ,21-5,J. Jaquez enters the game for D. Robinson,,1,5,21,-16,344.0
5:57.0, ,21-7,J. Butler makes 2-pt jump shot from 9 ft (assist by K. Love),,1,7,21,-14,363.0
5:36.0,D. DeRozan makes 3-pt jump shot from 25 ft (assist by C. White),24-7, ,,1,7,24,-17,384.0
5:26.0, ,24-7,K. Love misses 3-pt jump shot from 26 ft,,1,7,24,-17,394.0
5:26.0,Defensive rebound by A. Dosunmu,24-7, ,,1,7,24,-17,394.0
5:12.0,D. DeRozan makes 2-pt jump shot from 20 ft (assist by P. Williams),26-7, ,,1,7,26,-19,408.0
4:58.0, ,26-7,J. Butler misses 2-pt layup from 3 ft,,1,7,26,-19,422.0
4:55.0,Defensive rebound by D. DeRozan,26-7, ,,1,7,26,-19,425.0
4:51.0,A. Dosunmu makes 2-pt layup from 1 ft (assist by C. White),28-7, ,,1,7,28,-21,429.0
4:37.0, ,28-7,Shooting foul by A. Dosunmu (drawn by J. Jaquez),,1,7,28,-21,443.0
4:37.0, ,28-8,J. Jaquez makes free throw 1 of 2,,1,8,28,-20,443.0
4:37.0,T. Craig enters the game for D. DeRozan,28-8, ,,1,8,28,-20,443.0
4:37.0, ,28-8,J. Cain enters the game for C. Martin,,1,8,28,-20,443.0
4:37.0, ,28-8,J. Jaquez misses free throw 2 of 2,,1,8,28,-20,443.0
4:33.0,Defensive rebound by T. Craig,28-8, ,,1,8,28,-20,447.0
4:19.0,N. Vučević makes 2-pt jump shot from 11 ft,30-8, ,,1,8,30,-22,461.0
4:05.0, ,30-8,K. Love misses 2-pt jump shot from 18 ft,,1,8,30,-22,475.0
4:02.0,Defensive rebound by N. Vučević,30-8, ,,1,8,30,-22,478.0
3:54.0,C. White makes 3-pt jump shot from 25 ft (assist by A. Dosunmu),33-8, ,,1,8,33,-25,486.0
3:54.0, ,33-8,Miami full timeout,,1,8,33,-25,486.0
3:54.0, ,33-8,T. Bryant enters the game for K. Love,,1,8,33,-25,486.0
3:54.0, ,33-8,R. Hampton enters the game for K. Lowry,,1,8,33,-25,486.0
3:33.0, ,33-8,Shooting foul by T. Craig (drawn by J. Cain),,1,8,33,-25,507.0
3:33.0, ,33-8,J. Cain misses free throw 1 of 2,,1,8,33,-25,507.0
3:33.0, ,33-8,Offensive rebound by Team,,1,8,33,-25,507.0
3:33.0,J. Carter enters the game for C. White,33-8, ,,1,8,33,-25,507.0
3:33.0, ,33-9,J. Cain makes free throw 2 of 2,,1,9,33,-24,507.0
3:19.0,N. Vučević misses 2-pt jump shot from 18 ft,33-9, ,,1,9,33,-24,521.0
3:15.0, ,33-9,Defensive rebound by R. Hampton,,1,9,33,-24,525.0
3:07.0, ,33-9,Turnover by R. Hampton (bad pass; steal by P. Williams),,1,9,33,-24,533.0
3:02.0,P. Williams misses 2-pt dunk from 2 ft (block by J. Cain),33-9, ,,1,9,33,-24,538.0
2:58.0, ,33-9,Defensive rebound by J. Butler,,1,9,33,-24,542.0
2:56.0, ,33-12,J. Jaquez makes 3-pt jump shot from 24 ft (assist by J. Butler),,1,12,33,-21,544.0
2:36.0,N. Vučević misses 2-pt hook shot from 4 ft,33-12, ,,1,12,33,-21,564.0
2:33.0, ,33-12,Defensive rebound by J. Jaquez,,1,12,33,-21,567.0
2:31.0, ,33-12,Shooting foul by P. Williams (drawn by J. Cain),,1,12,33,-21,569.0
2:31.0, ,33-13,J. Cain makes free throw 1 of 2,,1,13,33,-20,569.0
2:31.0,D. DeRozan enters the game for N. Vučević,33-13, ,,1,13,33,-20,569.0
2:31.0,A. Drummond enters the game for P. Williams,33-13, ,,1,13,33,-20,569.0
2:31.0, ,33-14,J. Cain makes free throw 2 of 2,,1,14,33,-19,569.0
2:18.0,Turnover by D. DeRozan (bad pass),33-14, ,,1,14,33,-19,582.0
2:07.0, ,33-14,Personal foul by T. Craig (drawn by J. Butler),,1,14,33,-19,593.0
2:07.0, ,33-14,J. Butler misses free throw 1 of 2,,1,14,33,-19,593.0
2:07.0, ,33-14,Offensive rebound by Team,,1,14,33,-19,593.0
2:07.0, ,33-15,J. Butler makes free throw 2 of 2,,1,15,33,-18,593.0
1:57.0,A. Dosunmu misses 3-pt jump shot from 24 ft,33-15, ,,1,15,33,-18,603.0
1:53.0, ,33-15,Defensive rebound by R. Hampton,,1,15,33,-18,607.0
1:40.0, ,33-18,R. Hampton makes 3-pt jump shot from 25 ft (assist by J. Butler),,1,18,33,-15,620.0
1:34.0,Offensive foul by J. Carter (drawn by J. Butler),33-18, ,,1,18,33,-15,626.0
1:34.0,Turnover by J. Carter (offensive foul),33-18, ,,1,18,33,-15,626.0
1:18.0, ,33-18,J. Butler misses 2-pt jump shot from 4 ft,,1,18,33,-15,642.0
1:16.0,Defensive rebound by D. DeRozan,33-18, ,,1,18,33,-15,644.0
1:07.0,Shooting foul by R. Hampton (drawn by A. Dosunmu),33-18, ,,1,18,33,-15,653.0
1:07.0, ,33-18,D. Robinson enters the game for J. Butler,,1,18,33,-15,653.0
1:07.0,A. Dosunmu makes free throw 1 of 2,34-18, ,,1,18,34,-16,653.0
1:07.0,A. Dosunmu misses free throw 2 of 2,34-18, ,,1,18,34,-16,653.0
1:05.0, ,34-18,Defensive rebound by T. Bryant,,1,18,34,-16,655.0
0:49.0,Jump ball: T. Bryant vs. A. Dosunmu (D. Robinson gains possession),34-18,,,1,18,34,-16,671.0
0:42.0, ,34-20,J. Jaquez makes 2-pt layup from 4 ft (assist by D. Robinson),,1,20,34,-14,678.0
0:32.0,Shooting foul by J. Cain (drawn by D. DeRozan),34-20, ,,1,20,34,-14,688.0
0:32.0,D. DeRozan makes free throw 1 of 2,35-20, ,,1,20,35,-15,688.0
0:32.0,D. DeRozan makes free throw 2 of 2,36-20, ,,1,20,36,-16,688.0
0:22.0, ,36-22,T. Bryant makes 2-pt dunk from 1 ft (assist by D. Robinson),,1,22,36,-14,698.0
0:00.0,J. Carter misses 3-pt jump shot from 27 ft,36-22, ,,1,22,36,-14,720.0
0:00.0, ,36-22,Defensive rebound by T. Bryant,,1,22,36,-14,720.0
0:00.0,End of 1st quarter,36-22,,,1,22,36,-14,720.0
12:00.0,Start of 2nd quarter,36-22,,,2,22,36,-14,720.0
11:47.0, ,36-22,Turnover by J. Jaquez (bad pass; steal by J. Carter),,2,22,36,-14,733.0
11:31.0,A. Drummond makes 2-pt dunk from 1 ft (assist by C. White),38-22, ,,2,22,38,-16,749.0
11:17.0, ,38-22,D. Robinson misses 3-pt jump shot from 31 ft,,2,22,38,-16,763.0
11:14.0,Defensive rebound by A. Drummond,38-22, ,,2,22,38,-16,766.0
11:10.0,T. Craig makes 2-pt layup from 1 ft,40-22, ,,2,22,40,-18,770.0
11:10.0,Shooting foul by J. Jaquez (drawn by T. Craig),40-22, ,,2,22,40,-18,770.0
11:10.0,T. Craig makes free throw 1 of 1,41-22, ,,2,22,41,-19,770.0
10:54.0, ,41-22,Shooting foul by A. Drummond (drawn by J. Jaquez),,2,22,41,-19,786.0
10:54.0, ,41-23,J. Jaquez makes free throw 1 of 2,,2,23,41,-18,786.0
10:54.0, ,41-23,C. Martin enters the game for J. Cain,,2,23,41,-18,786.0
10:54.0, ,41-24,J. Jaquez makes free throw 2 of 2,,2,24,41,-17,786.0
10:37.0,T. Craig makes 2-pt layup from 2 ft (assist by C. White),43-24, ,,2,24,43,-19,803.0
10:21.0, ,43-24,C. Martin misses 2-pt layup from 3 ft,,2,24,43,-19,819.0
10:18.0,Defensive rebound by A. Drummond,43-24, ,,2,24,43,-19,822.0
10:10.0,A. Drummond makes 2-pt layup from 3 ft (assist by C. White),45-24, ,,2,24,45,-21,830.0
10:10.0,A. Dosunmu enters the game for J. Carter,45-24, ,,2,24,45,-21,830.0
10:10.0, ,45-24,O. Robinson enters the game for T. Bryant,,2,24,45,-21,830.0
9:53.0, ,45-24,C. Martin misses 2-pt jump shot from 5 ft,,2,24,45,-21,847.0
9:53.0, ,45-24,Offensive rebound by Team,,2,24,45,-21,847.0
9:44.0, ,45-24,Offensive foul by O. Robinson (drawn by C. White),,2,24,45,-21,856.0
9:44.0, ,45-24,Turnover by O. Robinson (offensive foul),,2,24,45,-21,856.0
9:26.0,T. Craig misses 3-pt jump shot from 27 ft,45-24, ,,2,24,45,-21,874.0
9:21.0,Offensive rebound by C. White,45-24, ,,2,24,45,-21,879.0
9:19.0,C. White makes 3-pt jump shot from 26 ft,48-24, ,,2,24,48,-24,881.0
9:19.0, ,48-24,Miami full timeout,,2,24,48,-24,881.0
9:19.0, ,48-24,K. Lowry enters the game for R. Hampton,,2,24,48,-24,881.0
8:54.0, ,48-27,K. Lowry makes 3-pt jump shot from 25 ft (assist by J. Jaquez),,2,27,48,-21,906.0
8:35.0,C. White makes 3-pt jump shot from 25 ft (assist by D. DeRozan),51-27, ,,2,27,51,-24,925.0
8:06.0, ,51-27,D. Robinson misses 2-pt layup from 2 ft,,2,27,51,-24,954.0
8:04.0,Defensive rebound by T. Craig,51-27, ,,2,27,51,-24,956.0
8:01.0,C. White misses 3-pt jump shot from 25 ft,51-27, ,,2,27,51,-24,959.0
7:59.0, ,51-27,Defensive rebound by Team,,2,27,51,-24,961.0
7:59.0,D. Terry enters the game for T. Craig,51-27, ,,2,27,51,-24,961.0
7:59.0,P. Williams enters the game for D. DeRozan,51-27, ,,2,27,51,-24,961.0
7:43.0, ,51-27,J. Jaquez misses 2-pt layup from 6 ft (block by P. Williams),,2,27,51,-24,977.0
7:39.0,Defensive rebound by D. Terry,51-27, ,,2,27,51,-24,981.0
7:36.0,Turnover by D. Terry (bad pass; steal by K. Lowry),51-27, ,,2,27,51,-24,984.0
7:35.0, ,51-27,Personal foul by P. Williams (drawn by C. Martin),,2,27,51,-24,985.0
7:25.0, ,51-30,C. Martin makes 3-pt jump shot from 22 ft (assist by D. Robinson),,2,30,51,-21,995.0
7:12.0,A. Dosunmu makes 2-pt layup from 3 ft,53-30, ,,2,30,53,-23,1008.0
6:56.0, ,53-32,J. Jaquez makes 2-pt layup from 2 ft,,2,32,53,-21,1024.0
6:42.0,P. Williams misses 2-pt jump shot from 7 ft,53-32, ,,2,32,53,-21,1038.0
6:39.0, ,53-32,Defensive rebound by D. Robinson,,2,32,53,-21,1041.0
6:38.0, ,53-34,K. Lowry makes 2-pt layup from 6 ft,,2,34,53,-19,1042.0
6:38.0, ,53-34,Shooting foul by D. Terry (drawn by K. Lowry),,2,34,53,-19,1042.0
6:38.0,Chicago full timeout,53-34, ,,2,34,53,-19,1042.0
6:38.0,D. DeRozan enters the game for A. Drummond,53-34, ,,2,34,53,-19,1042.0
6:38.0,N. Vučević enters the game for C. White,53-34, ,,2,34,53,-19,1042.0
6:38.0, ,53-34,J. Butler enters the game for J. Jaquez,,2,34,53,-19,1042.0
6:38.0, ,53-34,K. Love enters the game for O. Robinson,,2,34,53,-19,1042.0
6:38.0, ,53-35,K. Lowry makes free throw 1 of 1,,2,35,53,-18,1042.0
6:21.0,N. Vučević misses 2-pt jump shot from 18 ft,53-35, ,,2,35,53,-18,1059.0
6:19.0, ,53-35,Defensive rebound by C. Martin,,2,35,53,-18,1061.0
6:11.0, ,53-38,D. Robinson makes 3-pt jump shot from 24 ft (assist by K. Lowry),,2,38,53,-15,1069.0
5:42.0,D. DeRozan misses 2-pt jump shot from 22 ft,53-38, ,,2,38,53,-15,1098.0
5:38.0,Offensive rebound by A. Dosunmu,53-38, ,,2,38,53,-15,1102.0
5:38.0,C. White enters the game for A. Dosunmu,53-38, ,,2,38,53,-15,1102.0
5:33.0,N. Vučević misses 3-pt jump shot from 24 ft,53-38, ,,2,38,53,-15,1107.0
5:30.0, ,53-38,Defensive rebound by K. Lowry,,2,38,53,-15,1110.0
5:19.0, ,53-38,K. Love misses 3-pt jump shot from 27 ft,,2,38,53,-15,1121.0
5:14.0,Defensive rebound by C. White,53-38, ,,2,38,53,-15,1126.0
5:07.0,Shooting foul by K. Lowry (drawn by C. White),53-38, ,,2,38,53,-15,1133.0
5:07.0,C. White misses free throw 1 of 2,53-38, ,,2,38,53,-15,1133.0
5:07.0,Offensive rebound by Team,53-38, ,,2,38,53,-15,1133.0
5:07.0,T. Craig enters the game for D. Terry,53-38, ,,2,38,53,-15,1133.0
5:07.0,C. White misses free throw 2 of 2,53-38, ,,2,38,53,-15,1133.0
5:04.0, ,53-38,Defensive rebound by C. Martin,,2,38,53,-15,1136.0
4:47.0, ,53-40,C. Martin makes 2-pt jump shot from 6 ft,,2,40,53,-13,1153.0
4:37.0,D. DeRozan misses 2-pt layup from 2 ft,53-40, ,,2,40,53,-13,1163.0
4:34.0, ,53-40,Defensive rebound by K. Lowry,,2,40,53,-13,1166.0
4:25.0, ,53-42,C. Martin makes 2-pt layup from 2 ft (assist by K. Love),,2,42,53,-11,1175.0
4:25.0,Chicago full timeout,53-42, ,,2,42,53,-11,1175.0
4:25.0, ,53-42,J. Jaquez enters the game for D. Robinson,,2,42,53,-11,1175.0
4:02.0,T. Craig misses 3-pt jump shot from 23 ft,53-42, ,,2,42,53,-11,1198.0
3:57.0, ,53-42,Defensive rebound by C. Martin,,2,42,53,-11,1203.0
3:53.0, ,53-42,Shooting foul by D. DeRozan (drawn by J. Butler),,2,42,53,-11,1207.0
3:53.0, ,53-43,J. Butler makes free throw 1 of 2,,2,43,53,-10,1207.0
3:53.0,A. Dosunmu enters the game for P. Williams,53-43, ,,2,43,53,-10,1207.0
3:53.0, ,53-44,J. Butler makes free throw 2 of 2,,2,44,53,-9,1207.0
3:31.0,C. White misses 3-pt jump shot from 23 ft,53-44, ,,2,44,53,-9,1229.0
3:28.0,Offensive rebound by Team,53-44, ,,2,44,53,-9,1232.0
3:16.0,D. DeRozan makes 2-pt hook shot from 14 ft (assist by N. Vučević),55-44, ,,2,44,55,-11,1244.0
3:11.0, ,55-44,Shooting foul by T. Craig (drawn by K. Love),,2,44,55,-11,1249.0
3:11.0, ,55-45,K. Love makes free throw 1 of 2,,2,45,55,-10,1249.0
3:11.0, ,55-46,K. Love makes free throw 2 of 2,,2,46,55,-9,1249.0
2:58.0,A. Dosunmu makes 3-pt jump shot from 25 ft (assist by N. Vučević),58-46, ,,2,46,58,-12,1262.0
2:37.0, ,58-49,K. Lowry makes 3-pt jump shot from 26 ft (assist by C. Martin),,2,49,58,-9,1283.0
2:21.0,T. Craig misses 3-pt jump shot from 24 ft,58-49, ,,2,49,58,-9,1299.0
2:16.0, ,58-49,Defensive rebound by K. Love,,2,49,58,-9,1304.0
2:11.0, ,58-49,Personal foul by N. Vučević (drawn by K. Love),,2,49,58,-9,1309.0
2:11.0, ,58-49,K. Love misses free throw 1 of 2,,2,49,58,-9,1309.0
2:11.0, ,58-49,Offensive rebound by Team,,2,49,58,-9,1309.0
2:11.0,P. Williams enters the game for T. Craig,58-49, ,,2,49,58,-9,1309.0
2:11.0, ,58-50,K. Love makes free throw 2 of 2,,2,50,58,-8,1309.0
2:01.0,C. White misses 3-pt jump shot from 25 ft,58-50, ,,2,50,58,-8,1319.0
1:58.0, ,58-50,Defensive rebound by K. Love,,2,50,58,-8,1322.0
1:52.0, ,58-52,J. Jaquez makes 2-pt layup from 2 ft (assist by C. Martin),,2,52,58,-6,1328.0
1:38.0,P. Williams misses 3-pt jump shot from 25 ft,58-52, ,,2,52,58,-6,1342.0
1:37.0, ,58-52,Defensive rebound by J. Jaquez,,2,52,58,-6,1343.0
1:35.0, ,58-52,Personal foul by P. Williams (drawn by J. Jaquez),,2,52,58,-6,1345.0
1:35.0, ,58-53,J. Jaquez makes free throw 1 of 2,,2,53,58,-5,1345.0
1:35.0, ,58-54,J. Jaquez makes free throw 2 of 2,,2,54,58,-4,1345.0
1:25.0,Shooting foul by K. Lowry (drawn by D. DeRozan),58-54, ,,2,54,58,-4,1355.0
1:25.0,D. DeRozan makes free throw 1 of 2,59-54, ,,2,54,59,-5,1355.0
1:25.0,D. DeRozan makes free throw 2 of 2,60-54, ,,2,54,60,-6,1355.0
1:12.0, ,60-56,J. Butler makes 2-pt layup from 2 ft,,2,56,60,-4,1368.0
0:59.0,C. White misses 2-pt jump shot from 18 ft,60-56, ,,2,56,60,-4,1381.0
0:55.0, ,60-56,Defensive rebound by K. Love,,2,56,60,-4,1385.0
0:43.0, ,60-56,J. Jaquez misses 2-pt layup from 4 ft,,2,56,60,-4,1397.0
0:41.0, ,60-56,Offensive rebound by J. Butler,,2,56,60,-4,1399.0
0:39.0, ,60-56,J. Butler misses 2-pt layup from 3 ft,,2,56,60,-4,1401.0
0:34.0,Defensive rebound by N. Vučević,60-56, ,,2,56,60,-4,1406.0
0:27.0,P. Williams misses 3-pt jump shot from 25 ft,60-56, ,,2,56,60,-4,1413.0
0:20.0,Offensive rebound by A. Dosunmu,60-56, ,,2,56,60,-4,1420.0
0:20.0,A. Dosunmu misses 2-pt layup at rim,60-56, ,,2,56,60,-4,1420.0
0:19.0, ,60-56,Defensive rebound by C. Martin,,2,56,60,-4,1421.0
0:00.0, ,60-56,J. Butler misses 2-pt jump shot from 18 ft,,2,56,60,-4,1440.0
0:00.0, ,60-56,Offensive rebound by Team,,2,56,60,-4,1440.0
0:00.0,End of 2nd quarter,60-56,,,2,56,60,-4,1440.0
12:00.0,Start of 3rd quarter,60-56,,,3,56,60,-4,1440.0
11:37.0, ,60-56,D. Robinson misses 3-pt jump shot from 26 ft,,3,56,60,-4,1463.0
11:36.0,Defensive rebound by Team,60-56, ,,3,56,60,-4,1464.0
11:30.0,Jump ball: N. Vučević vs. O. Robinson (C. White gains possession),60-56,,,3,56,60,-4,1470.0
11:23.0,D. DeRozan misses 3-pt jump shot from 26 ft,60-56, ,,3,56,60,-4,1477.0
11:20.0, ,60-56,Defensive rebound by J. Butler,,3,56,60,-4,1480.0
11:01.0, ,60-56,K. Lowry misses 3-pt jump shot from 27 ft,,3,56,60,-4,1499.0
10:58.0,Defensive rebound by A. Dosunmu,60-56, ,,3,56,60,-4,1502.0
10:54.0,Shooting foul by K. Lowry (drawn by P. Williams),60-56, ,,3,56,60,-4,1506.0
10:54.0,P. Williams makes free throw 1 of 2,61-56, ,,3,56,61,-5,1506.0
10:54.0,P. Williams misses free throw 2 of 2,61-56, ,,3,56,61,-5,1506.0
10:51.0, ,61-56,Defensive rebound by D. Robinson,,3,56,61,-5,1509.0
10:42.0, ,61-56,C. Martin misses 2-pt layup from 3 ft,,3,56,61,-5,1518.0
10:41.0, ,61-56,Offensive rebound by J. Butler,,3,56,61,-5,1519.0
10:40.0, ,61-56,J. Butler misses 2-pt layup from 4 ft,,3,56,61,-5,1520.0
10:39.0, ,61-56,Offensive rebound by O. Robinson,,3,56,61,-5,1521.0
10:38.0, ,61-56,Shooting foul by P. Williams (drawn by O. Robinson),,3,56,61,-5,1522.0
10:38.0, ,61-56,O. Robinson misses free throw 1 of 2,,3,56,61,-5,1522.0
10:38.0, ,61-56,Offensive rebound by Team,,3,56,61,-5,1522.0
10:38.0, ,61-57,O. Robinson makes free throw 2 of 2,,3,57,61,-4,1522.0
10:21.0,N. Vučević misses 2-pt layup from 2 ft,61-57, ,,3,57,61,-4,1539.0
10:19.0,Offensive rebound by D. DeRozan,61-57, ,,3,57,61,-4,1541.0
10:14.0,N. Vučević makes 2-pt layup from 2 ft (assist by P. Williams),63-57, ,,3,57,63,-6,1546.0
9:55.0, ,63-60,D. Robinson makes 3-pt jump shot from 26 ft (assist by C. Martin),,3,60,63,-3,1565.0
9:48.0,Personal foul by D. Robinson (drawn by C. White),63-60, ,,3,60,63,-3,1572.0
9:40.0,D. DeRozan misses 2-pt layup from 1 ft,63-60, ,,3,60,63,-3,1580.0
9:35.0,Offensive rebound by D. DeRozan,63-60, ,,3,60,63,-3,1585.0
9:35.0,D. DeRozan makes 2-pt layup at rim,65-60, ,,3,60,65,-5,1585.0
9:18.0, ,65-60,Turnover by K. Lowry (bad pass; steal by P. Williams),,3,60,65,-5,1602.0
9:05.0,N. Vučević makes 2-pt hook shot from 6 ft (assist by A. Dosunmu),67-60, ,,3,60,67,-7,1615.0
8:49.0, ,67-60,C. Martin misses 3-pt jump shot from 23 ft,,3,60,67,-7,1631.0
8:45.0,Defensive rebound by C. White,67-60, ,,3,60,67,-7,1635.0
8:39.0,Shooting foul by O. Robinson (drawn by N. Vučević),67-60, ,,3,60,67,-7,1641.0
8:39.0,N. Vučević makes free throw 1 of 2,68-60, ,,3,60,68,-8,1641.0
8:39.0,T. Craig enters the game for P. Williams,68-60, ,,3,60,68,-8,1641.0
8:39.0,N. Vučević makes free throw 2 of 2,69-60, ,,3,60,69,-9,1641.0
8:21.0, ,69-62,J. Butler makes 2-pt jump shot from 14 ft,,3,62,69,-7,1659.0
8:11.0,N. Vučević makes 2-pt layup from 3 ft (assist by C. White),71-62, ,,3,62,71,-9,1669.0
8:04.0, ,71-64,C. Martin makes 2-pt layup from 2 ft (assist by K. Lowry),,3,64,71,-7,1676.0
7:50.0,C. White misses 2-pt jump shot from 3 ft,71-64, ,,3,64,71,-7,1690.0
7:50.0, ,71-64,Defensive rebound by Team,,3,64,71,-7,1690.0
7:38.0, ,71-64,J. Butler misses 2-pt layup from 3 ft,,3,64,71,-7,1702.0
7:38.0, ,71-64,Offensive rebound by O. Robinson,,3,64,71,-7,1702.0
7:33.0, ,71-64,K. Lowry misses 3-pt jump shot from 26 ft,,3,64,71,-7,1707.0
7:33.0,Defensive rebound by A. Dosunmu,71-64, ,,3,64,71,-7,1707.0
7:22.0,N. Vučević makes 2-pt dunk from 1 ft (assist by A. Dosunmu),73-64, ,,3,64,73,-9,1718.0
6:56.0, ,73-67,K. Lowry makes 3-pt jump shot from 24 ft (assist by J. Butler),,3,67,73,-6,1744.0
6:33.0,C. White misses 2-pt layup from 2 ft,73-67, ,,3,67,73,-6,1767.0
6:30.0, ,73-67,Defensive rebound by C. Martin,,3,67,73,-6,1770.0
6:26.0, ,73-67,D. Robinson misses 3-pt jump shot from 25 ft,,3,67,73,-6,1774.0
6:23.0,Defensive rebound by N. Vučević,73-67, ,,3,67,73,-6,1777.0
6:16.0,Personal foul by C. Martin (drawn by N. Vučević),73-67, ,,3,67,73,-6,1784.0
6:16.0, ,73-67,Miami full timeout,,3,67,73,-6,1784.0
6:16.0, ,73-67,J. Jaquez enters the game for D. Robinson,,3,67,73,-6,1784.0
6:16.0, ,73-67,K. Love enters the game for O. Robinson,,3,67,73,-6,1784.0
6:08.0,N. Vučević misses 2-pt jump shot from 2 ft,73-67, ,,3,67,73,-6,1792.0
6:05.0, ,73-67,Defensive rebound by K. Love,,3,67,73,-6,1795.0
5:56.0, ,73-67,C. Martin misses 2-pt layup from 2 ft,,3,67,73,-6,1804.0
5:53.0,Defensive rebound by N. Vučević,73-67, ,,3,67,73,-6,1807.0
5:51.0,A. Dosunmu makes 2-pt layup from 3 ft (assist by C. White),75-67, ,,3,67,75,-8,1809.0
5:42.0, ,75-67,Turnover by J. Jaquez (bad pass; steal by A. Dosunmu),,3,67,75,-8,1818.0
5:37.0,A. Dosunmu makes 2-pt layup from 1 ft,77-67, ,,3,67,77,-10,1823.0
5:21.0, ,77-67,Turnover by K. Love (bad pass; steal by T. Craig),,3,67,77,-10,1839.0
5:11.0,N. Vučević misses 2-pt hook shot from 2 ft,77-67, ,,3,67,77,-10,1849.0
5:11.0,Offensive rebound by N. Vučević,77-67, ,,3,67,77,-10,1849.0
5:05.0,N. Vučević misses 2-pt hook shot from 4 ft,77-67, ,,3,67,77,-10,1855.0
5:02.0, ,77-67,Defensive rebound by J. Butler,,3,67,77,-10,1858.0
4:59.0, ,77-67,Shooting foul by A. Dosunmu (drawn by J. Butler),,3,67,77,-10,1861.0
4:59.0, ,77-68,J. Butler makes free throw 1 of 2,,3,68,77,-9,1861.0
