Time,Washington,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:25.0, ,27-32,Offensive rebound by N. Jović,,2,32,27,5,875.0
9:21.0, ,27-32,Offensive foul by J. Butler (drawn by P. Baldwin),,2,32,27,5,879.0
9:21.0, ,27-32,Turnover by J. Butler (offensive foul),,2,32,27,5,879.0
9:09.0,K. Kuzma makes 2-pt jump shot from 4 ft (assist by J. Poole),29-32, ,,2,32,29,3,891.0
9:09.0,Shooting foul by N. Jović (drawn by K. Kuzma),29-32, ,,2,32,29,3,891.0
9:09.0,K. Kuzma makes free throw 1 of 1,30-32, ,,2,32,30,2,891.0
8:56.0, ,30-32,J. Butler misses 2-pt layup from 1 ft (block by K. Kuzma),,2,32,30,2,904.0
8:52.0,Defensive rebound by J. Poole,30-32, ,,2,32,30,2,908.0
8:51.0,Turnover by J. Poole (lost ball; steal by C. Martin),30-32, ,,2,32,30,2,909.0
8:46.0, ,30-34,J. Jaquez makes 2-pt dunk from 2 ft (assist by C. Martin),,2,34,30,4,914.0
8:41.0,Washington full timeout,30-34, ,,2,34,30,4,919.0
8:41.0,T. Jones enters the game for P. Baldwin,30-34, ,,2,34,30,4,919.0
8:41.0,E. Omoruyi enters the game for L. Shamet,30-34, ,,2,34,30,4,919.0
8:41.0, ,30-34,O. Robinson enters the game for N. Jović,,2,34,30,4,919.0
8:33.0,K. Kuzma misses 2-pt layup from 2 ft,30-34, ,,2,34,30,4,927.0
8:31.0, ,30-34,Defensive rebound by C. Martin,,2,34,30,4,929.0
8:25.0, ,30-37,P. Mills makes 3-pt jump shot from 27 ft (assist by C. Martin),,2,37,30,7,935.0
7:56.0,K. Kuzma misses 2-pt jump shot from 10 ft,30-37, ,,2,37,30,7,964.0
7:53.0, ,30-37,Defensive rebound by J. Jaquez,,2,37,30,7,967.0
7:47.0, ,30-39,J. Butler makes 2-pt layup from 3 ft,,2,39,30,9,973.0
7:33.0,T. Jones misses 3-pt jump shot from 26 ft,30-39, ,,2,39,30,9,987.0
7:29.0, ,30-39,Defensive rebound by J. Jaquez,,2,39,30,9,991.0
7:22.0, ,30-39,Personal foul by E. Omoruyi (drawn by O. Robinson),,2,39,30,9,998.0
7:22.0,C. Kispert enters the game for J. Poole,30-39, ,,2,39,30,9,998.0
7:14.0, ,30-41,P. Mills makes 2-pt jump shot from 15 ft (assist by J. Butler),,2,41,30,11,1006.0
7:02.0,E. Omoruyi makes 2-pt layup from 2 ft (assist by T. Jones),32-41, ,,2,41,32,9,1018.0
6:40.0, ,32-43,P. Mills makes 2-pt layup from 1 ft,,2,43,32,11,1040.0
6:31.0,T. Jones makes 3-pt jump shot from 25 ft (assist by C. Kispert),35-43, ,,2,43,35,8,1049.0
6:09.0, ,35-43,J. Jaquez misses 3-pt jump shot from 24 ft,,2,43,35,8,1071.0
6:06.0, ,35-43,Offensive rebound by O. Robinson,,2,43,35,8,1074.0
6:02.0, ,35-43,P. Mills misses 3-pt jump shot from 28 ft,,2,43,35,8,1078.0
5:59.0, ,35-43,Offensive rebound by J. Jaquez,,2,43,35,8,1081.0
5:59.0, ,35-43,Turnover by C. Martin (traveling),,2,43,35,8,1081.0
5:59.0,D. Avdija enters the game for E. Omoruyi,35-43, ,,2,43,35,8,1081.0
5:59.0, ,35-43,B. Adebayo enters the game for J. Butler,,2,43,35,8,1081.0
5:59.0, ,35-43,T. Rozier enters the game for O. Robinson,,2,43,35,8,1081.0
5:36.0,Turnover by K. Kuzma (bad pass; steal by T. Rozier),35-43, ,,2,43,35,8,1104.0
5:27.0, ,35-43,B. Adebayo misses 2-pt jump shot from 12 ft,,2,43,35,8,1113.0
5:23.0,Defensive rebound by D. Avdija,35-43, ,,2,43,35,8,1117.0
5:19.0,D. Avdija misses 2-pt jump shot from 4 ft,35-43, ,,2,43,35,8,1121.0
5:14.0,Offensive rebound by C. Kispert,35-43, ,,2,43,35,8,1126.0
5:13.0,Turnover by C. Kispert (bad pass; steal by B. Adebayo),35-43, ,,2,43,35,8,1127.0
5:08.0, ,35-45,J. Jaquez makes 2-pt jump shot from 7 ft,,2,45,35,10,1132.0
4:53.0,Personal foul by J. Jaquez (drawn by D. Avdija),35-45, ,,2,45,35,10,1147.0
4:53.0, ,35-45,D. Robinson enters the game for P. Mills,,2,45,35,10,1147.0
4:46.0,C. Kispert misses 3-pt jump shot from 27 ft (block by C. Martin),35-45, ,,2,45,35,10,1154.0
4:46.0, ,35-45,Defensive rebound by J. Jaquez,,2,45,35,10,1154.0
4:39.0, ,35-45,Turnover by J. Jaquez (bad pass; steal by T. Jones),,2,45,35,10,1161.0
4:38.0,Turnover by D. Avdija (out of bounds lost ball),35-45, ,,2,45,35,10,1162.0
4:31.0, ,35-45,D. Robinson misses 3-pt jump shot from 22 ft,,2,45,35,10,1169.0
4:28.0,Defensive rebound by K. Kuzma,35-45, ,,2,45,35,10,1172.0
4:23.0,C. Kispert makes 3-pt jump shot from 23 ft (assist by K. Kuzma),38-45, ,,2,45,38,7,1177.0
4:12.0, ,38-45,Shooting foul by C. Kispert (drawn by B. Adebayo),,2,45,38,7,1188.0
4:12.0, ,38-45,B. Adebayo misses free throw 1 of 2,,2,45,38,7,1188.0
4:12.0, ,38-45,Offensive rebound by Team,,2,45,38,7,1188.0
4:12.0, ,38-45,H. Highsmith enters the game for C. Martin,,2,45,38,7,1188.0
4:12.0, ,38-45,B. Adebayo misses free throw 2 of 2,,2,45,38,7,1188.0
4:09.0,Defensive rebound by K. Kuzma,38-45, ,,2,45,38,7,1191.0
3:56.0,D. Avdija makes 2-pt dunk from 2 ft (assist by T. Jones),40-45, ,,2,45,40,5,1204.0
3:40.0, ,40-45,D. Robinson misses 3-pt jump shot from 27 ft,,2,45,40,5,1220.0
3:36.0,Defensive rebound by K. Kuzma,40-45, ,,2,45,40,5,1224.0
3:32.0,K. Kuzma makes 2-pt layup from 1 ft,42-45, ,,2,45,42,3,1228.0
3:32.0, ,42-45,Miami full timeout,,2,45,42,3,1228.0
3:14.0, ,42-47,T. Rozier makes 2-pt jump shot from 16 ft,,2,47,42,5,1246.0
3:01.0,C. Kispert makes 2-pt layup from 2 ft (assist by T. Jones),44-47, ,,2,47,44,3,1259.0
2:52.0, ,44-47,Turnover by D. Robinson (out of bounds lost ball),,2,47,44,3,1268.0
2:26.0,K. Kuzma misses 3-pt jump shot from 22 ft,44-47, ,,2,47,44,3,1294.0
2:23.0, ,44-47,Defensive rebound by T. Rozier,,2,47,44,3,1297.0
2:18.0, ,44-49,T. Rozier makes 2-pt jump shot from 6 ft,,2,49,44,5,1302.0
2:02.0,K. Kuzma misses 2-pt jump shot from 3 ft,44-49, ,,2,49,44,5,1318.0
1:59.0, ,44-49,Defensive rebound by J. Jaquez,,2,49,44,5,1321.0
1:55.0, ,44-52,H. Highsmith makes 3-pt jump shot from 23 ft (assist by J. Jaquez),,2,52,44,8,1325.0
1:52.0,Washington full timeout,44-52, ,,2,52,44,8,1328.0
1:52.0, ,44-52,J. Butler enters the game for J. Jaquez,,2,52,44,8,1328.0
1:31.0,K. Kuzma misses 3-pt jump shot from 25 ft,44-52, ,,2,52,44,8,1349.0
1:27.0, ,44-52,Defensive rebound by T. Rozier,,2,52,44,8,1353.0
1:10.0, ,44-52,Turnover by J. Butler (bad pass),,2,52,44,8,1370.0
0:53.0,T. Jones makes 2-pt jump shot from 19 ft (assist by D. Avdija),46-52, ,,2,52,46,6,1387.0
0:47.0, ,46-52,D. Robinson misses 3-pt jump shot from 26 ft,,2,52,46,6,1393.0
0:43.0,Defensive rebound by K. Kuzma,46-52, ,,2,52,46,6,1397.0
0:34.0,D. Avdija makes 2-pt layup from 3 ft,48-52, ,,2,52,48,4,1406.0
0:13.0, ,48-54,B. Adebayo makes 2-pt hook shot from 5 ft,,2,54,48,6,1427.0
0:00.0,T. Jones misses 3-pt jump shot from 25 ft,48-54, ,,2,54,48,6,1440.0
0:00.0,Offensive rebound by Team,48-54, ,,2,54,48,6,1440.0
0:00.0,End of 2nd quarter,48-54,,,2,54,48,6,1440.0
12:00.0,Start of 3rd quarter,48-54,,,3,54,48,6,1440.0
11:39.0,C. Kispert misses 2-pt jump shot from 10 ft,48-54, ,,3,54,48,6,1461.0
11:36.0, ,48-54,Defensive rebound by B. Adebayo,,3,54,48,6,1464.0
11:24.0, ,48-54,T. Rozier misses 3-pt jump shot from 26 ft,,3,54,48,6,1476.0
11:21.0,Defensive rebound by C. Kispert,48-54, ,,3,54,48,6,1479.0
11:11.0,K. Kuzma misses 2-pt jump shot from 10 ft,48-54, ,,3,54,48,6,1489.0
11:08.0, ,48-54,Defensive rebound by T. Rozier,,3,54,48,6,1492.0
11:00.0, ,48-54,Turnover by D. Robinson (bad pass),,3,54,48,6,1500.0
10:48.0,C. Kispert makes 3-pt jump shot from 28 ft (assist by T. Jones),51-54, ,,3,54,51,3,1512.0
10:25.0, ,51-56,D. Robinson makes 2-pt layup from 1 ft (assist by N. Jović),,3,56,51,5,1535.0
10:13.0,K. Kuzma makes 2-pt dunk from 2 ft (assist by T. Jones),53-56, ,,3,56,53,3,1547.0
9:55.0, ,53-56,T. Rozier misses 2-pt jump shot from 1 ft,,3,56,53,3,1565.0
9:53.0,Defensive rebound by T. Jones,53-56, ,,3,56,53,3,1567.0
9:43.0,B. Coulibaly misses 3-pt jump shot from 24 ft,53-56, ,,3,56,53,3,1577.0
9:39.0, ,53-56,Defensive rebound by N. Jović,,3,56,53,3,1581.0
9:35.0, ,53-56,Personal foul by B. Coulibaly (drawn by B. Adebayo),,3,56,53,3,1585.0
9:19.0, ,53-56,B. Adebayo misses 2-pt jump shot from 6 ft (block by K. Kuzma),,3,56,53,3,1601.0
9:16.0,Defensive rebound by D. Avdija,53-56, ,,3,56,53,3,1604.0
9:10.0,B. Coulibaly makes 3-pt jump shot from 27 ft (assist by K. Kuzma),56-56, ,Tie,3,56,56,0,1610.0
8:56.0, ,56-58,J. Butler makes 2-pt dunk from 1 ft (assist by B. Adebayo),,3,58,56,2,1624.0
8:43.0,K. Kuzma makes 2-pt jump shot from 3 ft (assist by T. Jones),58-58, ,Tie,3,58,58,0,1637.0
8:26.0, ,58-60,J. Butler makes 2-pt layup from 2 ft,,3,60,58,2,1654.0
8:05.0,T. Jones misses 3-pt jump shot from 27 ft,58-60, ,,3,60,58,2,1675.0
8:03.0, ,58-60,Defensive rebound by N. Jović,,3,60,58,2,1677.0
7:57.0, ,58-60,Turnover by D. Robinson (bad pass),,3,60,58,2,1683.0
7:50.0,C. Kispert makes 2-pt jump shot from 6 ft (assist by T. Jones),60-60, ,Tie,3,60,60,0,1690.0
7:37.0, ,60-62,J. Butler makes 2-pt layup from 2 ft,,3,62,60,2,1703.0
7:25.0,K. Kuzma makes 2-pt hook shot from 4 ft (assist by T. Jones),62-62, ,Tie,3,62,62,0,1715.0
7:25.0,Shooting foul by B. Adebayo (drawn by K. Kuzma),62-62, ,,3,62,62,0,1715.0
7:25.0,K. Kuzma misses free throw 1 of 1,62-62, ,,3,62,62,0,1715.0
7:22.0, ,62-62,Defensive rebound by B. Adebayo,,3,62,62,0,1718.0
7:13.0, ,62-64,B. Adebayo makes 2-pt dunk from 2 ft (assist by D. Robinson),,3,64,62,2,1727.0
6:58.0,Shooting foul by D. Robinson (drawn by K. Kuzma),62-64, ,,3,64,62,2,1742.0
6:58.0, ,62-64,Miami full timeout,,3,64,62,2,1742.0
6:58.0,J. Poole enters the game for D. Avdija,62-64, ,,3,64,62,2,1742.0
6:58.0,K. Kuzma misses free throw 1 of 2,62-64, ,,3,64,62,2,1742.0
6:58.0,Offensive rebound by Team,62-64, ,,3,64,62,2,1742.0
6:58.0,K. Kuzma makes free throw 2 of 2,63-64, ,,3,64,63,1,1742.0
6:43.0, ,63-67,D. Robinson makes 3-pt jump shot from 24 ft (assist by J. Butler),,3,67,63,4,1757.0
6:35.0,K. Kuzma misses 2-pt layup from 2 ft (block by B. Adebayo),63-67, ,,3,67,63,4,1765.0
6:33.0, ,63-67,Defensive rebound by T. Rozier,,3,67,63,4,1767.0
6:29.0, ,63-69,T. Rozier makes 2-pt jump shot from 6 ft,,3,69,63,6,1771.0
6:01.0,T. Jones makes 2-pt jump shot from 4 ft (assist by J. Poole),65-69, ,,3,69,65,4,1799.0
5:45.0, ,65-71,T. Rozier makes 2-pt layup from 1 ft,,3,71,65,6,1815.0
5:36.0,Personal foul by T. Rozier (drawn by K. Kuzma),65-71, ,,3,71,65,6,1824.0
5:36.0, ,65-71,J. Jaquez enters the game for J. Butler,,3,71,65,6,1824.0
5:36.0, ,65-71,C. Martin enters the game for N. Jović,,3,71,65,6,1824.0
5:21.0,B. Coulibaly makes 3-pt jump shot from 23 ft (assist by T. Jones),68-71, ,,3,71,68,3,1839.0
5:12.0, ,68-71,T. Rozier misses 2-pt layup from 2 ft (block by B. Coulibaly),,3,71,68,3,1848.0
5:10.0, ,68-71,Offensive rebound by Team,,3,71,68,3,1850.0
5:05.0, ,68-74,C. Martin makes 3-pt jump shot from 27 ft (assist by T. Rozier),,3,74,68,6,1855.0
4:44.0,Turnover by J. Poole (out of bounds lost ball),68-74, ,,3,74,68,6,1876.0
4:30.0, ,68-74,B. Adebayo misses 2-pt hook shot from 4 ft,,3,74,68,6,1890.0
4:27.0,Defensive rebound by K. Kuzma,68-74, ,,3,74,68,6,1893.0
4:22.0,C. Kispert makes 3-pt jump shot from 24 ft (assist by J. Poole),71-74, ,,3,74,71,3,1898.0
4:13.0, ,71-76,B. Adebayo makes 2-pt dunk from 1 ft (assist by T. Rozier),,3,76,71,5,1907.0
3:55.0,B. Coulibaly misses 3-pt jump shot from 24 ft,71-76, ,,3,76,71,5,1925.0
3:52.0, ,71-76,Defensive rebound by B. Adebayo,,3,76,71,5,1928.0
3:43.0, ,71-76,Shooting foul by J. Poole (drawn by B. Adebayo),,3,76,71,5,1937.0
3:43.0, ,71-77,B. Adebayo makes free throw 1 of 2,,3,77,71,6,1937.0
3:43.0, ,71-78,B. Adebayo makes free throw 2 of 2,,3,78,71,7,1937.0
3:43.0,Washington full timeout,71-78, ,,3,78,71,7,1937.0
3:25.0,C. Kispert misses 3-pt jump shot from 28 ft,71-78, ,,3,78,71,7,1955.0
3:23.0,Offensive rebound by C. Kispert,71-78, ,,3,78,71,7,1957.0
3:20.0,T. Jones makes 2-pt jump shot from 9 ft (assist by C. Kispert),73-78, ,,3,78,73,5,1960.0
2:53.0, ,73-78,J. Jaquez misses 2-pt hook shot from 2 ft,,3,78,73,5,1987.0
2:51.0,Defensive rebound by B. Coulibaly,73-78, ,,3,78,73,5,1989.0
2:48.0,Shooting foul by B. Adebayo (drawn by K. Kuzma),73-78, ,,3,78,73,5,1992.0
2:48.0,K. Kuzma makes free throw 1 of 2,74-78, ,,3,78,74,4,1992.0
2:48.0,J. Davis enters the game for T. Jones,74-78, ,,3,78,74,4,1992.0
2:48.0,K. Kuzma makes free throw 2 of 2,75-78, ,,3,78,75,3,1992.0
2:39.0, ,75-78,Turnover by J. Jaquez (lost ball; steal by B. Coulibaly),,3,78,75,3,2001.0
2:38.0,Shooting foul by D. Robinson (drawn by K. Kuzma),75-78, ,,3,78,75,3,2002.0
2:38.0,K. Kuzma makes free throw 1 of 2,76-78, ,,3,78,76,2,2002.0
