Time,Portland,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:40.0,Turnover by S. Henderson (bad pass; steal by J. Jaquez),23-47, ,,2,47,23,24,980.0
7:34.0, ,23-50,H. Highsmith makes 3-pt jump shot from 26 ft (assist by J. Butler),,2,50,23,27,986.0
7:16.0,D. Banton misses 2-pt layup from 4 ft,23-50, ,,2,50,23,27,1004.0
7:09.0,Offensive rebound by D. Ayton,23-50, ,,2,50,23,27,1011.0
7:09.0,D. Ayton makes 2-pt dunk at rim,25-50, ,,2,50,25,25,1011.0
7:00.0, ,25-50,J. Jaquez misses 3-pt jump shot from 27 ft,,2,50,25,25,1020.0
6:57.0, ,25-50,Offensive rebound by T. Bryant,,2,50,25,25,1023.0
6:51.0, ,25-50,T. Bryant misses 2-pt dunk from 6 ft,,2,50,25,25,1029.0
6:49.0,Defensive rebound by D. Ayton,25-50, ,,2,50,25,25,1031.0
6:44.0,Turnover by S. Henderson (bad pass; steal by C. Martin),25-50, ,,2,50,25,25,1036.0
6:41.0, ,25-52,T. Bryant makes 2-pt dunk from 1 ft (assist by C. Martin),,2,52,25,27,1039.0
6:40.0,Portland full timeout,25-52, ,,2,52,25,27,1040.0
6:40.0,R. Rupert enters the game for D. Banton,25-52, ,,2,52,25,27,1040.0
6:40.0, ,25-52,D. Wright enters the game for C. Martin,,2,52,25,27,1040.0
6:23.0,D. Ayton misses 2-pt jump shot from 8 ft,25-52, ,,2,52,25,27,1057.0
6:23.0,Offensive rebound by J. Walker,25-52, ,,2,52,25,27,1057.0
6:23.0,J. Walker makes 2-pt layup from 5 ft,27-52, ,,2,52,27,25,1057.0
6:23.0,Shooting foul by J. Jaquez (drawn by J. Walker),27-52, ,,2,52,27,25,1057.0
6:23.0,J. Walker makes free throw 1 of 1,28-52, ,,2,52,28,24,1057.0
6:07.0, ,28-54,T. Bryant makes 2-pt dunk from 3 ft (assist by J. Jaquez),,2,54,28,26,1073.0
5:51.0,D. Ayton makes 2-pt dunk from 4 ft (assist by R. Rupert),30-54, ,,2,54,30,24,1089.0
5:37.0, ,30-54,Def 3 sec tech foul by Team,,2,54,30,24,1103.0
5:37.0, ,30-55,J. Butler makes technical free throw,,2,55,30,25,1103.0
5:37.0, ,30-55,B. Adebayo enters the game for T. Bryant,,2,55,30,25,1103.0
5:22.0, ,30-57,H. Highsmith makes 2-pt jump shot from 9 ft (assist by J. Jaquez),,2,57,30,27,1118.0
5:12.0,Personal foul by H. Highsmith (drawn by K. Murray),30-57, ,,2,57,30,27,1128.0
5:12.0, ,30-57,T. Rozier enters the game for J. Butler,,2,57,30,27,1128.0
4:56.0,K. Murray makes 2-pt layup from 5 ft (assist by R. Rupert),32-57, ,,2,57,32,25,1144.0
4:34.0, ,32-59,B. Adebayo makes 2-pt hook shot from 9 ft,,2,59,32,27,1166.0
4:22.0,S. Henderson makes 2-pt jump shot from 6 ft,34-59, ,,2,59,34,25,1178.0
4:07.0, ,34-61,B. Adebayo makes 2-pt jump shot from 15 ft (assist by T. Rozier),,2,61,34,27,1193.0
3:57.0,D. Ayton misses 2-pt jump shot from 20 ft,34-61, ,,2,61,34,27,1203.0
3:55.0, ,34-61,Defensive rebound by B. Adebayo,,2,61,34,27,1205.0
3:38.0, ,34-61,T. Rozier misses 2-pt jump shot from 19 ft,,2,61,34,27,1222.0
3:34.0,Defensive rebound by S. Henderson,34-61, ,,2,61,34,27,1226.0
3:25.0,D. Ayton makes 2-pt jump shot from 8 ft (assist by S. Henderson),36-61, ,,2,61,36,25,1235.0
3:10.0, ,36-64,B. Adebayo makes 3-pt jump shot from 27 ft (assist by T. Rozier),,2,64,36,28,1250.0
2:52.0,Turnover by R. Rupert (bad pass; steal by B. Adebayo),36-64, ,,2,64,36,28,1268.0
2:50.0, ,36-66,B. Adebayo makes 2-pt layup from 5 ft,,2,66,36,30,1270.0
2:50.0, ,36-66,Shooting foul by D. Ayton (drawn by B. Adebayo),,2,66,36,30,1270.0
2:50.0, ,36-66,N. Jović enters the game for J. Jaquez,,2,66,36,30,1270.0
2:50.0, ,36-66,B. Adebayo misses free throw 1 of 1,,2,66,36,30,1270.0
2:48.0,Defensive rebound by J. Walker,36-66, ,,2,66,36,30,1272.0
2:42.0,K. Murray misses 3-pt jump shot from 25 ft,36-66, ,,2,66,36,30,1278.0
2:39.0, ,36-66,Defensive rebound by B. Adebayo,,2,66,36,30,1281.0
2:30.0, ,36-69,T. Rozier makes 3-pt jump shot from 23 ft (assist by D. Wright),,2,69,36,33,1290.0
2:20.0,S. Henderson misses 2-pt layup from 4 ft,36-69, ,,2,69,36,33,1300.0
2:19.0,Offensive rebound by K. Murray,36-69, ,,2,69,36,33,1301.0
2:19.0,K. Murray misses 2-pt layup at rim,36-69, ,,2,69,36,33,1301.0
2:19.0, ,36-69,Defensive rebound by B. Adebayo,,2,69,36,33,1301.0
2:07.0, ,36-72,T. Rozier makes 3-pt jump shot from 28 ft (assist by B. Adebayo),,2,72,36,36,1313.0
1:54.0,Turnover by K. Murray (bad pass; steal by N. Jović),36-72, ,,2,72,36,36,1326.0
1:46.0, ,36-72,D. Wright misses 2-pt jump shot from 10 ft,,2,72,36,36,1334.0
1:43.0,Defensive rebound by D. Ayton,36-72, ,,2,72,36,36,1337.0
1:30.0,D. Ayton makes 2-pt jump shot from 15 ft,38-72, ,,2,72,38,34,1350.0
1:17.0, ,38-72,B. Adebayo misses 2-pt jump shot from 11 ft,,2,72,38,34,1363.0
1:17.0,Defensive rebound by S. Henderson,38-72, ,,2,72,38,34,1363.0
1:09.0,J. Walker misses 3-pt jump shot from 26 ft,38-72, ,,2,72,38,34,1371.0
1:05.0, ,38-72,Defensive rebound by H. Highsmith,,2,72,38,34,1375.0
0:57.0, ,38-74,T. Rozier makes 2-pt layup from 4 ft (assist by B. Adebayo),,2,74,38,36,1383.0
0:38.0,D. Ayton misses 3-pt jump shot from 26 ft,38-74, ,,2,74,38,36,1402.0
0:38.0, ,38-74,Defensive rebound by Team,,2,74,38,36,1402.0
0:38.0,Loose ball foul by K. Murray (drawn by N. Jović),38-74, ,,2,74,38,36,1402.0
