Time,Miami,Score,New York,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
2:57.0,D. Robinson misses 3-pt jump shot from 25 ft,19-13, ,,1,19,13,6,543.0
2:55.0, ,19-13,Defensive rebound by P. Achiuwa,,1,19,13,6,545.0
2:39.0, ,19-13,P. Achiuwa misses 2-pt jump shot from 3 ft,,1,19,13,6,561.0
2:37.0,Defensive rebound by D. Robinson,19-13, ,,1,19,13,6,563.0
2:21.0,J. Butler misses 2-pt layup from 2 ft (block by P. Achiuwa),19-13, ,,1,19,13,6,579.0
2:19.0,Offensive rebound by J. Butler,19-13, ,,1,19,13,6,581.0
2:16.0,J. Butler misses 2-pt layup at rim,19-13, ,,1,19,13,6,584.0
2:15.0, ,19-13,Defensive rebound by J. Randle,,1,19,13,6,585.0
2:15.0, ,19-13,Turnover by J. Randle (lost ball; steal by J. Jaquez),,1,19,13,6,585.0
2:14.0,T. Rozier misses 2-pt jump shot from 7 ft,19-13, ,,1,19,13,6,586.0
2:14.0,Offensive rebound by J. Butler,19-13, ,,1,19,13,6,586.0
2:10.0,J. Butler makes 2-pt layup at rim,21-13, ,,1,21,13,8,590.0
1:54.0, ,21-16,J. Randle makes 3-pt jump shot from 25 ft (assist by J. Hart),,1,21,16,5,606.0
1:40.0,Shooting foul by J. Hart (drawn by J. Butler),21-16, ,,1,21,16,5,620.0
1:40.0,J. Butler makes free throw 1 of 2,22-16, ,,1,22,16,6,620.0
1:40.0,B. Adebayo enters the game for K. Love,22-16, ,,1,22,16,6,620.0
1:40.0,C. Martin enters the game for T. Rozier,22-16, ,,1,22,16,6,620.0
1:40.0, ,22-16,Q. Grimes enters the game for O. Anunoby,,1,22,16,6,620.0
1:40.0, ,22-16,M. McBride enters the game for J. Brunson,,1,22,16,6,620.0
1:40.0,J. Butler makes free throw 2 of 2,23-16, ,,1,23,16,7,620.0
1:24.0, ,23-18,J. Hart makes 2-pt jump shot from 5 ft (assist by J. Randle),,1,23,18,5,636.0
1:24.0, ,23-18,Shooting foul by D. Robinson (drawn by J. Hart),,1,23,18,5,636.0
1:24.0,T. Herro enters the game for J. Butler,23-18, ,,1,23,18,5,636.0
1:24.0, ,23-19,J. Hart makes free throw 1 of 1,,1,23,19,4,636.0
1:11.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by J. Jaquez),26-19, ,,1,26,19,7,649.0
0:52.0, ,26-22,M. McBride makes 3-pt jump shot from 23 ft (assist by J. Randle),,1,26,22,4,668.0
0:44.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by T. Herro),28-22, ,,1,28,22,6,676.0
0:30.0, ,28-25,J. Hart makes 3-pt jump shot from 26 ft (assist by Q. Grimes),,1,28,25,3,690.0
0:19.0,B. Adebayo makes 2-pt layup from 2 ft (assist by J. Jaquez),30-25, ,,1,30,25,5,701.0
0:00.0, ,30-25,J. Randle misses 2-pt jump shot from 1 ft,,1,30,25,5,720.0
0:00.0, ,30-25,Offensive rebound by P. Achiuwa,,1,30,25,5,720.0
0:00.0, ,30-27,P. Achiuwa makes 2-pt layup from 2 ft,,1,30,27,3,720.0
0:00.0, ,30-27,Instant Replay (Request: Ruling Stands),,1,30,27,3,720.0
0:00.0,End of 1st quarter,30-27,,,1,30,27,3,720.0
12:00.0,Start of 2nd quarter,30-27,,,2,30,27,3,720.0
11:38.0, ,30-27,J. Hart misses 2-pt layup from 1 ft,,2,30,27,3,742.0
11:36.0,Defensive rebound by C. Martin,30-27, ,,2,30,27,3,744.0
11:32.0,J. Jaquez makes 3-pt jump shot from 22 ft (assist by D. Robinson),33-27, ,,2,33,27,6,748.0
11:12.0, ,33-27,M. McBride misses 3-pt jump shot from 25 ft,,2,33,27,6,768.0
11:10.0,Defensive rebound by B. Adebayo,33-27, ,,2,33,27,6,770.0
11:01.0,C. Martin misses 3-pt jump shot from 23 ft,33-27, ,,2,33,27,6,779.0
10:59.0, ,33-27,Defensive rebound by Q. Grimes,,2,33,27,6,781.0
10:49.0, ,33-30,O. Anunoby makes 3-pt jump shot from 23 ft (assist by J. Hart),,2,33,30,3,791.0
10:28.0,D. Robinson misses 3-pt jump shot from 25 ft,33-30, ,,2,33,30,3,812.0
10:26.0, ,33-30,Defensive rebound by J. Hart,,2,33,30,3,814.0
10:16.0, ,33-30,Q. Grimes misses 3-pt jump shot from 26 ft,,2,33,30,3,824.0
10:14.0,Defensive rebound by B. Adebayo,33-30, ,,2,33,30,3,826.0
10:03.0,J. Jaquez misses 3-pt jump shot from 25 ft,33-30, ,,2,33,30,3,837.0
10:01.0, ,33-30,Defensive rebound by J. Hart,,2,33,30,3,839.0
9:54.0, ,33-32,J. Hart makes 2-pt dunk from 1 ft,,2,33,32,1,846.0
9:31.0,J. Jaquez misses 2-pt layup from 2 ft,33-32, ,,2,33,32,1,869.0
9:29.0, ,33-32,Defensive rebound by P. Achiuwa,,2,33,32,1,871.0
9:17.0, ,33-34,M. McBride makes 2-pt dunk from 1 ft (assist by J. Hart),Lead change,2,33,34,-1,883.0
8:54.0,B. Adebayo misses 2-pt hook shot from 5 ft,33-34, ,,2,33,34,-1,906.0
8:52.0, ,33-34,Defensive rebound by M. McBride,,2,33,34,-1,908.0
8:51.0, ,33-34,O. Anunoby misses 2-pt layup from 1 ft (block by C. Martin),,2,33,34,-1,909.0
8:50.0, ,33-34,Offensive rebound by Team,,2,33,34,-1,910.0
8:46.0, ,33-34,Shooting foul by T. Herro (drawn by Q. Grimes),,2,33,34,-1,914.0
8:46.0, ,33-35,Q. Grimes makes free throw 1 of 2,,2,33,35,-2,914.0
8:46.0, ,33-36,Q. Grimes makes free throw 2 of 2,,2,33,36,-3,914.0
8:31.0,Shooting foul by P. Achiuwa (drawn by C. Martin),33-36, ,,2,33,36,-3,929.0
8:31.0,C. Martin makes free throw 1 of 2,34-36, ,,2,34,36,-2,929.0
8:31.0,C. Martin misses free throw 2 of 2,34-36, ,,2,34,36,-2,929.0
8:29.0, ,34-36,Defensive rebound by P. Achiuwa,,2,34,36,-2,931.0
8:17.0, ,34-36,O. Anunoby misses 3-pt jump shot from 26 ft,,2,34,36,-2,943.0
8:15.0, ,34-36,Offensive rebound by Q. Grimes,,2,34,36,-2,945.0
8:12.0, ,34-36,Shooting foul by D. Robinson (drawn by Q. Grimes),,2,34,36,-2,948.0
8:12.0, ,34-36,Q. Grimes misses free throw 1 of 2,,2,34,36,-2,948.0
8:12.0, ,34-36,Offensive rebound by Team,,2,34,36,-2,948.0
8:12.0, ,34-37,Q. Grimes makes free throw 2 of 2,,2,34,37,-3,948.0
7:59.0,Shooting foul by Q. Grimes (drawn by J. Jaquez),34-37, ,,2,34,37,-3,961.0
7:59.0,J. Jaquez makes free throw 1 of 2,35-37, ,,2,35,37,-2,961.0
7:59.0,J. Jaquez makes free throw 2 of 2,36-37, ,,2,36,37,-1,961.0
7:40.0, ,36-37,O. Anunoby misses 2-pt dunk from 1 ft (block by J. Jaquez),,2,36,37,-1,980.0
7:38.0,Defensive rebound by B. Adebayo,36-37, ,,2,36,37,-1,982.0
7:32.0,T. Herro misses 2-pt layup from 2 ft,36-37, ,,2,36,37,-1,988.0
7:30.0,Offensive rebound by B. Adebayo,36-37, ,,2,36,37,-1,990.0
7:30.0,B. Adebayo makes 2-pt dunk at rim,38-37, ,Lead change,2,38,37,1,990.0
7:27.0, ,38-37,New York full timeout,,2,38,37,1,993.0
7:27.0, ,38-37,J. Brunson enters the game for M. McBride,,2,38,37,1,993.0
7:20.0, ,38-37,Personal foul by B. Adebayo (drawn by J. Brunson),,2,38,37,1,1000.0
7:13.0, ,38-39,O. Anunoby makes 2-pt jump shot from 17 ft (assist by P. Achiuwa),Lead change,2,38,39,-1,1007.0
6:48.0,D. Robinson misses 3-pt jump shot from 29 ft,38-39, ,,2,38,39,-1,1032.0
6:46.0, ,38-39,Defensive rebound by O. Anunoby,,2,38,39,-1,1034.0
6:22.0, ,38-39,O. Anunoby misses 3-pt jump shot from 26 ft,,2,38,39,-1,1058.0
6:16.0, ,38-39,Offensive rebound by J. Hart,,2,38,39,-1,1064.0
6:15.0, ,38-39,Turnover by J. Hart (bad pass; steal by J. Jaquez),,2,38,39,-1,1065.0
6:14.0,Shooting foul by O. Anunoby (drawn by D. Robinson),38-39, ,,2,38,39,-1,1066.0
6:14.0,D. Robinson makes free throw 1 of 2,39-39, ,Tie,2,39,39,0,1066.0
6:14.0,J. Butler enters the game for B. Adebayo,39-39, ,,2,39,39,0,1066.0
6:14.0,K. Love enters the game for T. Herro,39-39, ,,2,39,39,0,1066.0
6:14.0,T. Rozier enters the game for C. Martin,39-39, ,,2,39,39,0,1066.0
6:14.0, ,39-39,I. Hartenstein enters the game for P. Achiuwa,,2,39,39,0,1066.0
6:14.0, ,39-39,J. Randle enters the game for O. Anunoby,,2,39,39,0,1066.0
6:14.0,D. Robinson makes free throw 2 of 2,40-39, ,Lead change,2,40,39,1,1066.0
6:03.0, ,40-41,J. Brunson makes 2-pt layup from 1 ft,Lead change,2,40,41,-1,1077.0
5:56.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by T. Rozier),43-41, ,Lead change,2,43,41,2,1084.0
5:34.0, ,43-41,Q. Grimes misses 3-pt jump shot from 24 ft,,2,43,41,2,1106.0
5:32.0,Defensive rebound by T. Rozier,43-41, ,,2,43,41,2,1108.0
5:18.0,J. Butler misses 2-pt jump shot from 14 ft,43-41, ,,2,43,41,2,1122.0
5:17.0, ,43-41,Defensive rebound by Q. Grimes,,2,43,41,2,1123.0
5:03.0, ,43-43,J. Brunson makes 2-pt jump shot from 7 ft,Tie,2,43,43,0,1137.0
4:50.0,T. Rozier misses 2-pt jump shot from 9 ft,43-43, ,,2,43,43,0,1150.0
4:49.0,Offensive rebound by Team,43-43, ,,2,43,43,0,1151.0
4:49.0, ,43-43,D. DiVincenzo enters the game for Q. Grimes,,2,43,43,0,1151.0
4:42.0,D. Robinson misses 3-pt jump shot from 26 ft,43-43, ,,2,43,43,0,1158.0
4:40.0, ,43-43,Defensive rebound by J. Brunson,,2,43,43,0,1160.0
4:32.0, ,43-46,J. Brunson makes 3-pt jump shot from 26 ft,Lead change,2,43,46,-3,1168.0
4:15.0,Shooting foul by J. Brunson (drawn by J. Jaquez),43-46, ,,2,43,46,-3,1185.0
4:15.0,J. Jaquez makes free throw 1 of 2,44-46, ,,2,44,46,-2,1185.0
4:15.0,J. Jaquez misses free throw 2 of 2,44-46, ,,2,44,46,-2,1185.0
4:13.0, ,44-46,Defensive rebound by J. Randle,,2,44,46,-2,1187.0
4:06.0, ,44-46,J. Brunson misses 2-pt jump shot from 6 ft,,2,44,46,-2,1194.0
4:03.0, ,44-46,Offensive rebound by I. Hartenstein,,2,44,46,-2,1197.0
4:01.0, ,44-49,J. Randle makes 3-pt jump shot from 26 ft (assist by I. Hartenstein),,2,44,49,-5,1199.0
4:00.0,Miami full timeout,44-49, ,,2,44,49,-5,1200.0
4:00.0,T. Herro enters the game for J. Jaquez,44-49, ,,2,44,49,-5,1200.0
4:00.0,H. Highsmith enters the game for D. Robinson,44-49, ,,2,44,49,-5,1200.0
3:42.0,H. Highsmith makes 3-pt jump shot from 24 ft (assist by J. Butler),47-49, ,,2,47,49,-2,1218.0
3:23.0, ,47-49,Turnover by J. Randle (lost ball; steal by J. Butler),,2,47,49,-2,1237.0
3:19.0,J. Butler makes 2-pt layup from 1 ft (assist by T. Rozier),49-49, ,Tie,2,49,49,0,1241.0
2:56.0, ,49-51,D. DiVincenzo makes 2-pt jump shot from 5 ft,,2,49,51,-2,1264.0
2:44.0,T. Rozier makes 2-pt layup from 1 ft,51-51, ,Tie,2,51,51,0,1276.0
2:24.0, ,51-54,D. DiVincenzo makes 3-pt jump shot from 26 ft (assist by J. Hart),,2,51,54,-3,1296.0
2:13.0,T. Herro misses 3-pt jump shot from 27 ft,51-54, ,,2,51,54,-3,1307.0
2:12.0, ,51-54,Defensive rebound by J. Randle,,2,51,54,-3,1308.0
1:57.0, ,51-56,J. Randle makes 2-pt layup at rim (assist by J. Brunson),,2,51,56,-5,1323.0
1:35.0,K. Love misses 3-pt jump shot from 27 ft,51-56, ,,2,51,56,-5,1345.0
1:33.0, ,51-56,Defensive rebound by I. Hartenstein,,2,51,56,-5,1347.0
1:20.0, ,51-59,D. DiVincenzo makes 3-pt jump shot from 26 ft (assist by J. Hart),,2,51,59,-8,1360.0
1:19.0,Miami full timeout,51-59, ,,2,51,59,-8,1361.0
1:19.0,B. Adebayo enters the game for K. Love,51-59, ,,2,51,59,-8,1361.0
1:19.0, ,51-59,P. Achiuwa enters the game for I. Hartenstein,,2,51,59,-8,1361.0
0:57.0,T. Herro misses 2-pt jump shot from 11 ft,51-59, ,,2,51,59,-8,1383.0
0:54.0, ,51-59,Defensive rebound by J. Randle,,2,51,59,-8,1386.0
0:44.0, ,51-61,P. Achiuwa makes 2-pt layup from 2 ft,,2,51,61,-10,1396.0
0:37.0,T. Rozier misses 2-pt jump shot from 14 ft,51-61, ,,2,51,61,-10,1403.0
0:35.0, ,51-61,Defensive rebound by J. Hart,,2,51,61,-10,1405.0
0:29.0, ,51-61,J. Brunson misses 3-pt jump shot from 22 ft,,2,51,61,-10,1411.0
0:26.0,Defensive rebound by B. Adebayo,51-61, ,,2,51,61,-10,1414.0
0:02.0,J. Butler misses 3-pt jump shot from 27 ft,51-61, ,,2,51,61,-10,1438.0
0:02.0, ,51-61,Defensive rebound by J. Randle,,2,51,61,-10,1438.0
0:00.0,End of 2nd quarter,51-61,,,2,51,61,-10,1440.0
12:00.0,Start of 3rd quarter,51-61,,,3,51,61,-10,1440.0
11:46.0, ,51-61,J. Brunson misses 2-pt jump shot from 13 ft,,3,51,61,-10,1454.0
11:44.0,Defensive rebound by T. Herro,51-61, ,,3,51,61,-10,1456.0
11:28.0,Turnover by T. Rozier (lost ball; steal by D. DiVincenzo),51-61, ,,3,51,61,-10,1472.0
11:20.0, ,51-61,J. Randle misses 3-pt jump shot from 26 ft,,3,51,61,-10,1480.0
11:18.0,Defensive rebound by H. Highsmith,51-61, ,,3,51,61,-10,1482.0
11:07.0,B. Adebayo makes 2-pt dunk at rim (assist by T. Rozier),53-61, ,,3,53,61,-8,1493.0
10:52.0, ,53-61,J. Brunson misses 2-pt jump shot from 4 ft (block by H. Highsmith),,3,53,61,-8,1508.0
10:50.0,Defensive rebound by J. Butler,53-61, ,,3,53,61,-8,1510.0
10:41.0,B. Adebayo makes 2-pt dunk at rim (assist by T. Rozier),55-61, ,,3,55,61,-6,1519.0
10:41.0, ,55-61,New York full timeout,,3,55,61,-6,1519.0
10:24.0, ,55-61,D. DiVincenzo misses 3-pt jump shot from 26 ft,,3,55,61,-6,1536.0
10:22.0,Defensive rebound by T. Rozier,55-61, ,,3,55,61,-6,1538.0
10:10.0,T. Herro misses 2-pt jump shot from 10 ft,55-61, ,,3,55,61,-6,1550.0
10:08.0, ,55-61,Defensive rebound by J. Brunson,,3,55,61,-6,1552.0
10:00.0, ,55-61,Shooting foul by H. Highsmith (drawn by J. Randle),,3,55,61,-6,1560.0
10:00.0, ,55-62,J. Randle makes free throw 1 of 2,,3,55,62,-7,1560.0
10:00.0, ,55-63,J. Randle makes free throw 2 of 2,,3,55,63,-8,1560.0
9:42.0,T. Herro misses 3-pt jump shot from 25 ft,55-63, ,,3,55,63,-8,1578.0
9:40.0, ,55-63,Defensive rebound by J. Brunson,,3,55,63,-8,1580.0
9:29.0, ,55-65,I. Hartenstein makes 2-pt layup from 2 ft (assist by J. Brunson),,3,55,65,-10,1591.0
9:14.0,T. Herro makes 2-pt jump shot from 12 ft (assist by H. Highsmith),57-65, ,,3,57,65,-8,1606.0
8:51.0, ,57-67,O. Anunoby makes 2-pt dunk from 1 ft (assist by D. DiVincenzo),,3,57,67,-10,1629.0
8:50.0,Miami full timeout,57-67, ,,3,57,67,-10,1630.0
8:35.0,Personal foul by D. DiVincenzo (drawn by B. Adebayo),57-67, ,,3,57,67,-10,1645.0
8:25.0,T. Rozier misses 3-pt jump shot from 25 ft,57-67, ,,3,57,67,-10,1655.0
8:23.0, ,57-67,Defensive rebound by I. Hartenstein,,3,57,67,-10,1657.0
8:13.0, ,57-70,J. Brunson makes 3-pt jump shot from 25 ft,,3,57,70,-13,1667.0
7:58.0,H. Highsmith makes 3-pt jump shot from 25 ft (assist by J. Butler),60-70, ,,3,60,70,-10,1682.0
7:30.0, ,60-70,O. Anunoby misses 3-pt jump shot from 23 ft,,3,60,70,-10,1710.0
7:28.0,Defensive rebound by H. Highsmith,60-70, ,,3,60,70,-10,1712.0
7:17.0,Shooting foul by I. Hartenstein (drawn by T. Rozier),60-70, ,,3,60,70,-10,1723.0
7:17.0,T. Rozier makes free throw 1 of 2,61-70, ,,3,61,70,-9,1723.0
7:17.0, ,61-70,P. Achiuwa enters the game for I. Hartenstein,,3,61,70,-9,1723.0
7:17.0,T. Rozier makes free throw 2 of 2,62-70, ,,3,62,70,-8,1723.0
7:02.0, ,62-70,Turnover by O. Anunoby (lost ball; steal by J. Butler),,3,62,70,-8,1738.0
6:58.0,J. Butler makes 2-pt layup from 2 ft,64-70, ,,3,64,70,-6,1742.0
6:35.0, ,64-70,D. DiVincenzo misses 2-pt layup from 1 ft,,3,64,70,-6,1765.0
6:33.0, ,64-70,Offensive rebound by D. DiVincenzo,,3,64,70,-6,1767.0
6:33.0, ,64-70,D. DiVincenzo misses 2-pt layup at rim,,3,64,70,-6,1767.0
6:32.0,Defensive rebound by J. Butler,64-70, ,,3,64,70,-6,1768.0
6:18.0,T. Herro misses 3-pt jump shot from 26 ft,64-70, ,,3,64,70,-6,1782.0
6:16.0, ,64-70,Defensive rebound by P. Achiuwa,,3,64,70,-6,1784.0
6:06.0, ,64-70,J. Randle misses 2-pt layup from 1 ft,,3,64,70,-6,1794.0
6:04.0,Defensive rebound by B. Adebayo,64-70, ,,3,64,70,-6,1796.0
6:00.0,T. Herro makes 3-pt jump shot from 26 ft (assist by B. Adebayo),67-70, ,,3,67,70,-3,1800.0
5:37.0, ,67-73,D. DiVincenzo makes 3-pt jump shot from 25 ft (assist by J. Brunson),,3,67,73,-6,1823.0
5:21.0,H. Highsmith misses 3-pt jump shot from 26 ft,67-73, ,,3,67,73,-6,1839.0
5:19.0, ,67-73,Defensive rebound by P. Achiuwa,,3,67,73,-6,1841.0
5:15.0, ,67-75,J. Randle makes 2-pt layup from 1 ft (assist by J. Brunson),,3,67,75,-8,1845.0
4:55.0,J. Butler makes 2-pt jump shot from 4 ft (assist by T. Herro),69-75, ,,3,69,75,-6,1865.0
4:36.0, ,69-77,J. Randle makes 2-pt jump shot from 10 ft (assist by O. Anunoby),,3,69,77,-8,1884.0
4:34.0,Miami full timeout,69-77, ,,3,69,77,-8,1886.0
4:34.0,K. Love enters the game for B. Adebayo,69-77, ,,3,69,77,-8,1886.0
4:34.0,D. Robinson enters the game for T. Herro,69-77, ,,3,69,77,-8,1886.0
4:34.0, ,69-77,J. Hart enters the game for D. DiVincenzo,,3,69,77,-8,1886.0
4:20.0,Turnover by T. Rozier (bad pass; steal by J. Brunson),69-77, ,,3,69,77,-8,1900.0
4:12.0, ,69-77,Personal foul by D. Robinson (drawn by J. Randle),,3,69,77,-8,1908.0
4:05.0, ,69-79,J. Brunson makes 2-pt layup from 4 ft,,3,69,79,-10,1915.0
4:05.0, ,69-79,Shooting foul by T. Rozier (drawn by J. Brunson),,3,69,79,-10,1915.0
4:05.0, ,69-80,J. Brunson makes free throw 1 of 1,,3,69,80,-11,1915.0
3:40.0,T. Rozier misses 2-pt jump shot from 21 ft,69-80, ,,3,69,80,-11,1940.0
3:38.0, ,69-80,Defensive rebound by J. Hart,,3,69,80,-11,1942.0
3:33.0, ,69-80,J. Randle misses 2-pt layup from 3 ft (block by H. Highsmith),,3,69,80,-11,1947.0
3:32.0, ,69-80,Offensive rebound by J. Randle,,3,69,80,-11,1948.0
3:30.0, ,69-80,Shooting foul by H. Highsmith (drawn by J. Randle),,3,69,80,-11,1950.0
3:30.0, ,69-81,J. Randle makes free throw 1 of 2,,3,69,81,-12,1950.0
3:30.0,J. Jaquez enters the game for H. Highsmith,69-81, ,,3,69,81,-12,1950.0
3:30.0,C. Martin enters the game for T. Rozier,69-81, ,,3,69,81,-12,1950.0
3:30.0, ,69-81,Q. Grimes enters the game for O. Anunoby,,3,69,81,-12,1950.0
3:30.0, ,69-82,J. Randle makes free throw 2 of 2,,3,69,82,-13,1950.0
3:12.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by J. Butler),72-82, ,,3,72,82,-10,1968.0
2:49.0, ,72-82,J. Randle misses 2-pt layup from 2 ft,,3,72,82,-10,1991.0
2:48.0, ,72-82,Offensive rebound by Team,,3,72,82,-10,1992.0
2:44.0, ,72-82,J. Brunson misses 3-pt jump shot from 26 ft,,3,72,82,-10,1996.0
2:42.0,Defensive rebound by J. Butler,72-82, ,,3,72,82,-10,1998.0
