Time,Miami,Score,Orlando,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
8:22.0,B. Adebayo misses 2-pt jump shot from 15 ft,7-6, ,,1,7,6,1,218.0
8:22.0, ,7-6,Defensive rebound by P. Banchero,,1,7,6,1,218.0
8:04.0, ,7-6,J. Suggs misses 3-pt jump shot from 23 ft,,1,7,6,1,236.0
8:04.0,Defensive rebound by B. Adebayo,7-6, ,,1,7,6,1,236.0
7:50.0,B. Adebayo makes 2-pt jump shot from 12 ft,9-6, ,,1,9,6,3,250.0
7:38.0, ,9-8,F. Wagner makes 2-pt layup from 3 ft (assist by P. Banchero),,1,9,8,1,262.0
7:30.0,J. Jaquez makes 2-pt layup from 3 ft (assist by K. Lowry),11-8, ,,1,11,8,3,270.0
7:16.0, ,11-8,P. Banchero misses 2-pt jump shot from 13 ft,,1,11,8,3,284.0
7:16.0,Defensive rebound by Team,11-8, ,,1,11,8,3,284.0
7:04.0, ,11-8,Violation by Team (kicked ball),,1,11,8,3,296.0
6:49.0,B. Adebayo makes 2-pt jump shot from 13 ft (assist by T. Herro),13-8, ,,1,13,8,5,311.0
6:27.0, ,13-10,J. Suggs makes 2-pt jump shot from 11 ft,,1,13,10,3,333.0
6:20.0,K. Lowry misses 3-pt jump shot from 26 ft,13-10, ,,1,13,10,3,340.0
6:16.0, ,13-10,Defensive rebound by J. Suggs,,1,13,10,3,344.0
6:07.0, ,13-12,F. Wagner makes 2-pt layup from 1 ft (assist by J. Suggs),,1,13,12,1,353.0
5:51.0,T. Herro misses 2-pt jump shot from 2 ft,13-12, ,,1,13,12,1,369.0
5:49.0,Offensive rebound by T. Herro,13-12, ,,1,13,12,1,371.0
5:49.0,T. Herro misses 2-pt layup from 2 ft,13-12, ,,1,13,12,1,371.0
5:49.0, ,13-12,Defensive rebound by W. Carter,,1,13,12,1,371.0
5:45.0, ,13-12,J. Suggs misses 3-pt jump shot from 23 ft,,1,13,12,1,375.0
5:41.0,Defensive rebound by C. Martin,13-12, ,,1,13,12,1,379.0
5:38.0,Personal foul by F. Wagner (drawn by K. Lowry),13-12, ,,1,13,12,1,382.0
5:38.0, ,13-12,Orlando full timeout,,1,13,12,1,382.0
5:38.0,T. Bryant enters the game for B. Adebayo,13-12, ,,1,13,12,1,382.0
5:38.0,J. Richardson enters the game for J. Jaquez,13-12, ,,1,13,12,1,382.0
5:38.0, ,13-12,C. Anthony enters the game for A. Black,,1,13,12,1,382.0
5:38.0, ,13-12,G. Bitadze enters the game for W. Carter,,1,13,12,1,382.0
5:38.0, ,13-12,G. Harris enters the game for F. Wagner,,1,13,12,1,382.0
5:27.0,T. Bryant makes 2-pt dunk from 2 ft (assist by T. Herro),15-12, ,,1,15,12,3,393.0
5:00.0, ,15-14,C. Anthony makes 2-pt jump shot from 12 ft (assist by J. Suggs),,1,15,14,1,420.0
4:42.0,T. Herro misses 2-pt jump shot from 5 ft,15-14, ,,1,15,14,1,438.0
4:42.0,Offensive rebound by T. Bryant,15-14, ,,1,15,14,1,438.0
4:41.0,T. Bryant makes 2-pt dunk from 2 ft,17-14, ,,1,17,14,3,439.0
4:31.0, ,17-17,C. Anthony makes 3-pt jump shot from 26 ft (assist by P. Banchero),Tie,1,17,17,0,449.0
4:12.0,Personal foul by G. Harris (drawn by C. Martin),17-17, ,,1,17,17,0,468.0
4:00.0,T. Bryant misses 2-pt jump shot from 16 ft,17-17, ,,1,17,17,0,480.0
3:56.0, ,17-17,Defensive rebound by P. Banchero,,1,17,17,0,484.0
3:52.0, ,17-17,C. Anthony misses 3-pt jump shot from 26 ft,,1,17,17,0,488.0
3:48.0,Defensive rebound by J. Richardson,17-17, ,,1,17,17,0,492.0
3:41.0,T. Herro makes 3-pt jump shot from 24 ft (assist by J. Richardson),20-17, ,,1,20,17,3,499.0
3:26.0, ,20-17,Personal foul by C. Martin (drawn by P. Banchero),,1,20,17,3,514.0
3:26.0,D. Robinson enters the game for K. Lowry,20-17, ,,1,20,17,3,514.0
3:26.0, ,20-17,F. Wagner enters the game for J. Suggs,,1,20,17,3,514.0
3:23.0, ,20-19,C. Anthony makes 2-pt layup from 2 ft (assist by G. Bitadze),,1,20,19,1,517.0
3:23.0,Violation by Team (def goaltending),20-19, ,,1,20,19,1,517.0
3:07.0,C. Martin makes 3-pt jump shot from 24 ft (assist by D. Robinson),23-19, ,,1,23,19,4,533.0
2:50.0, ,23-19,F. Wagner misses 3-pt jump shot from 23 ft,,1,23,19,4,550.0
2:45.0,Defensive rebound by D. Robinson,23-19, ,,1,23,19,4,555.0
2:35.0,Turnover by D. Robinson (bad pass; steal by P. Banchero),23-19, ,,1,23,19,4,565.0
2:32.0, ,23-19,Shooting foul by T. Herro (drawn by P. Banchero),,1,23,19,4,568.0
2:32.0,Miami full timeout,23-19, ,,1,23,19,4,568.0
2:32.0,H. Highsmith enters the game for T. Herro,23-19, ,,1,23,19,4,568.0
2:32.0,J. Jaquez enters the game for C. Martin,23-19, ,,1,23,19,4,568.0
2:32.0, ,23-20,P. Banchero makes free throw 1 of 2,,1,23,20,3,568.0
2:32.0, ,23-21,P. Banchero makes free throw 2 of 2,,1,23,21,2,568.0
2:32.0,B. Adebayo enters the game for T. Bryant,23-21, ,,1,23,21,2,568.0
2:12.0,J. Richardson misses 2-pt jump shot from 18 ft,23-21, ,,1,23,21,2,588.0
2:09.0, ,23-21,Defensive rebound by G. Bitadze,,1,23,21,2,591.0
1:57.0, ,23-21,Turnover by C. Anthony (bad pass; steal by J. Jaquez),,1,23,21,2,603.0
1:51.0,H. Highsmith misses 2-pt layup from 4 ft (block by G. Bitadze),23-21, ,,1,23,21,2,609.0
1:46.0,Offensive rebound by H. Highsmith,23-21, ,,1,23,21,2,614.0
1:45.0,J. Jaquez misses 3-pt jump shot from 27 ft,23-21, ,,1,23,21,2,615.0
1:43.0, ,23-21,Defensive rebound by P. Banchero,,1,23,21,2,617.0
1:33.0, ,23-21,Turnover by G. Bitadze (bad pass; steal by H. Highsmith),,1,23,21,2,627.0
1:26.0,Turnover by H. Highsmith (bad pass; steal by C. Anthony),23-21, ,,1,23,21,2,634.0
1:23.0, ,23-21,Shooting foul by D. Robinson (drawn by F. Wagner),,1,23,21,2,637.0
1:23.0, ,23-21,F. Wagner misses free throw 1 of 2,,1,23,21,2,637.0
1:23.0, ,23-21,Offensive rebound by Team,,1,23,21,2,637.0
1:23.0, ,23-21,J. Isaac enters the game for P. Banchero,,1,23,21,2,637.0
1:23.0, ,23-22,F. Wagner makes free throw 2 of 2,,1,23,22,1,637.0
1:16.0,J. Jaquez makes 2-pt jump shot from 8 ft (assist by D. Robinson),25-22, ,,1,25,22,3,644.0
0:56.0, ,25-22,J. Isaac misses 2-pt layup from 2 ft,,1,25,22,3,664.0
0:54.0, ,25-22,Offensive rebound by G. Bitadze,,1,25,22,3,666.0
0:53.0, ,25-24,G. Bitadze makes 2-pt dunk from 2 ft,,1,25,24,1,667.0
0:41.0,Personal foul by C. Anthony (drawn by B. Adebayo),25-24, ,,1,25,24,1,679.0
0:26.0,J. Richardson misses 2-pt jump shot from 18 ft,25-24, ,,1,25,24,1,694.0
0:23.0, ,25-24,Defensive rebound by J. Isaac,,1,25,24,1,697.0
0:00.0, ,25-24,F. Wagner misses 3-pt jump shot from 26 ft,,1,25,24,1,720.0
0:00.0, ,25-24,Offensive rebound by Team,,1,25,24,1,720.0
0:00.0,End of 1st quarter,25-24,,,1,25,24,1,720.0
12:00.0,Start of 2nd quarter,25-24,,,2,25,24,1,720.0
11:37.0, ,25-24,C. Anthony misses 3-pt jump shot from 24 ft,,2,25,24,1,743.0
11:33.0, ,25-24,Offensive rebound by G. Harris,,2,25,24,1,747.0
11:32.0, ,25-26,C. Anthony makes 2-pt layup from 2 ft (assist by G. Harris),Lead change,2,25,26,-1,748.0
11:16.0,H. Highsmith misses 3-pt jump shot from 26 ft,25-26, ,,2,25,26,-1,764.0
11:12.0, ,25-26,Defensive rebound by C. Anthony,,2,25,26,-1,768.0
11:02.0, ,25-26,Personal foul by D. Robinson (drawn by G. Harris),,2,25,26,-1,778.0
10:51.0, ,25-28,J. Isaac makes 2-pt dunk from 1 ft (assist by F. Wagner),,2,25,28,-3,789.0
10:37.0,Personal foul by G. Harris (drawn by D. Robinson),25-28, ,,2,25,28,-3,803.0
10:31.0,Shooting foul by J. Isaac (drawn by J. Jaquez),25-28, ,,2,25,28,-3,809.0
10:31.0,J. Jaquez misses free throw 1 of 2,25-28, ,,2,25,28,-3,809.0
10:31.0,Offensive rebound by Team,25-28, ,,2,25,28,-3,809.0
10:31.0,J. Jaquez misses free throw 2 of 2,25-28, ,,2,25,28,-3,809.0
10:28.0, ,25-28,Defensive rebound by J. Isaac,,2,25,28,-3,812.0
10:10.0, ,25-28,F. Wagner misses 2-pt jump shot from 10 ft,,2,25,28,-3,830.0
10:08.0, ,25-28,Offensive rebound by M. Wagner,,2,25,28,-3,832.0
10:06.0, ,25-30,M. Wagner makes 2-pt layup at rim,,2,25,30,-5,834.0
9:51.0,H. Highsmith makes 3-pt jump shot from 26 ft (assist by B. Adebayo),28-30, ,,2,28,30,-2,849.0
9:41.0, ,28-30,Turnover by M. Wagner (step out of bounds),,2,28,30,-2,859.0
9:25.0,H. Highsmith misses 3-pt jump shot from 23 ft,28-30, ,,2,28,30,-2,875.0
9:19.0, ,28-30,Defensive rebound by F. Wagner,,2,28,30,-2,881.0
9:14.0, ,28-30,G. Harris misses 3-pt jump shot from 23 ft,,2,28,30,-2,886.0
9:09.0,Defensive rebound by J. Jaquez,28-30, ,,2,28,30,-2,891.0
9:03.0,H. Highsmith makes 3-pt jump shot from 27 ft (assist by B. Adebayo),31-30, ,Lead change,2,31,30,1,897.0
8:44.0, ,31-32,C. Anthony makes 2-pt jump shot from 8 ft,Lead change,2,31,32,-1,916.0
8:39.0,Personal foul by C. Anthony (drawn by J. Richardson),31-32, ,,2,31,32,-1,921.0
8:39.0, ,31-32,A. Black enters the game for G. Harris,,2,31,32,-1,921.0
8:27.0,J. Richardson misses 3-pt jump shot from 27 ft,31-32, ,,2,31,32,-1,933.0
8:23.0,Offensive rebound by H. Highsmith,31-32, ,,2,31,32,-1,937.0
8:20.0,J. Richardson makes 3-pt jump shot from 26 ft (assist by D. Robinson),34-32, ,Lead change,2,34,32,2,940.0
7:57.0, ,34-34,A. Black makes 2-pt layup from 15 ft (assist by J. Isaac),Tie,2,34,34,0,963.0
7:48.0,Personal foul by M. Wagner (drawn by B. Adebayo),34-34, ,,2,34,34,0,972.0
7:48.0, ,34-34,P. Banchero enters the game for J. Isaac,,2,34,34,0,972.0
7:40.0,B. Adebayo makes 2-pt jump shot from 19 ft (assist by D. Robinson),36-34, ,,2,36,34,2,980.0
7:28.0, ,36-34,Personal foul by B. Adebayo (drawn by M. Wagner),,2,36,34,2,992.0
7:19.0, ,36-34,Shooting foul by B. Adebayo (drawn by F. Wagner),,2,36,34,2,1001.0
7:19.0, ,36-35,F. Wagner makes free throw 1 of 2,,2,36,35,1,1001.0
7:19.0,T. Bryant enters the game for B. Adebayo,36-35, ,,2,36,35,1,1001.0
7:19.0, ,36-36,F. Wagner makes free throw 2 of 2,Tie,2,36,36,0,1001.0
7:04.0,H. Highsmith misses 3-pt jump shot from 24 ft,36-36, ,,2,36,36,0,1016.0
6:58.0,Offensive rebound by J. Jaquez,36-36, ,,2,36,36,0,1022.0
6:57.0,J. Jaquez misses 2-pt layup from 2 ft,36-36, ,,2,36,36,0,1023.0
6:54.0, ,36-36,Defensive rebound by F. Wagner,,2,36,36,0,1026.0
6:53.0, ,36-36,Turnover by P. Banchero (traveling),,2,36,36,0,1027.0
6:53.0, ,36-36,Orlando full timeout,,2,36,36,0,1027.0
6:53.0,T. Herro enters the game for J. Jaquez,36-36, ,,2,36,36,0,1027.0
6:53.0, ,36-36,J. Suggs enters the game for F. Wagner,,2,36,36,0,1027.0
6:43.0,D. Robinson misses 2-pt jump shot from 7 ft,36-36, ,,2,36,36,0,1037.0
6:43.0,Offensive rebound by T. Bryant,36-36, ,,2,36,36,0,1037.0
6:43.0,Turnover by T. Bryant (off goaltending),36-36, ,,2,36,36,0,1037.0
6:34.0, ,36-36,Turnover by C. Anthony (bad pass; steal by J. Richardson),,2,36,36,0,1046.0
6:28.0,T. Bryant makes 2-pt dunk from 2 ft (assist by H. Highsmith),38-36, ,,2,38,36,2,1052.0
6:15.0, ,38-36,P. Banchero misses 2-pt layup from 3 ft,,2,38,36,2,1065.0
6:15.0, ,38-36,Offensive rebound by M. Wagner,,2,38,36,2,1065.0
6:11.0, ,38-36,M. Wagner misses 2-pt layup from 1 ft,,2,38,36,2,1069.0
6:11.0, ,38-36,Offensive rebound by M. Wagner,,2,38,36,2,1069.0
6:10.0, ,38-38,M. Wagner makes 2-pt layup from 1 ft,Tie,2,38,38,0,1070.0
6:00.0,Shooting foul by A. Black (drawn by D. Robinson),38-38, ,,2,38,38,0,1080.0
6:00.0,D. Robinson makes free throw 1 of 3,39-38, ,,2,39,38,1,1080.0
6:00.0,D. Robinson makes free throw 2 of 3,40-38, ,,2,40,38,2,1080.0
6:00.0, ,40-38,C. Houstan enters the game for A. Black,,2,40,38,2,1080.0
6:00.0,D. Robinson makes free throw 3 of 3,41-38, ,,2,41,38,3,1080.0
5:46.0, ,41-40,M. Wagner makes 2-pt dunk from 2 ft (assist by P. Banchero),,2,41,40,1,1094.0
5:27.0,D. Robinson makes 2-pt jump shot from 9 ft,43-40, ,,2,43,40,3,1113.0
5:13.0, ,43-40,Turnover by P. Banchero (bad pass),,2,43,40,3,1127.0
5:00.0,T. Herro makes 2-pt jump shot from 12 ft,45-40, ,,2,45,40,5,1140.0
4:45.0, ,45-40,C. Houstan misses 3-pt jump shot from 24 ft,,2,45,40,5,1155.0
4:42.0, ,45-40,Offensive rebound by M. Wagner,,2,45,40,5,1158.0
4:40.0, ,45-40,M. Wagner misses 2-pt layup from 3 ft,,2,45,40,5,1160.0
4:38.0, ,45-40,Offensive rebound by M. Wagner,,2,45,40,5,1162.0
4:37.0, ,45-40,Turnover by M. Wagner (bad pass),,2,45,40,5,1163.0
4:14.0,T. Herro makes 2-pt jump shot from 13 ft,47-40, ,,2,47,40,7,1186.0
4:02.0, ,47-40,C. Houstan misses 3-pt jump shot from 27 ft,,2,47,40,7,1198.0
3:57.0,Defensive rebound by T. Herro,47-40, ,,2,47,40,7,1203.0
3:41.0,D. Robinson makes 2-pt layup from 3 ft (assist by T. Herro),49-40, ,,2,49,40,9,1219.0
3:41.0, ,49-40,Orlando full timeout,,2,49,40,9,1219.0
3:41.0, ,49-40,W. Carter enters the game for C. Anthony,,2,49,40,9,1219.0
3:41.0, ,49-40,J. Isaac enters the game for C. Houstan,,2,49,40,9,1219.0
3:41.0, ,49-40,F. Wagner enters the game for M. Wagner,,2,49,40,9,1219.0
3:19.0, ,49-40,P. Banchero misses 2-pt layup from 6 ft,,2,49,40,9,1241.0
3:16.0,Defensive rebound by T. Bryant,49-40, ,,2,49,40,9,1244.0
3:02.0,H. Highsmith makes 3-pt jump shot from 23 ft (assist by T. Herro),52-40, ,,2,52,40,12,1258.0
2:49.0, ,52-40,P. Banchero misses 3-pt jump shot from 23 ft,,2,52,40,12,1271.0
2:46.0,Defensive rebound by T. Herro,52-40, ,,2,52,40,12,1274.0
2:43.0,H. Highsmith makes 3-pt jump shot from 24 ft (assist by J. Richardson),55-40, ,,2,55,40,15,1277.0
2:29.0, ,55-40,Turnover by J. Isaac (bad pass; steal by H. Highsmith),,2,55,40,15,1291.0
2:28.0,Turnover by T. Bryant (bad pass; steal by J. Isaac),55-40, ,,2,55,40,15,1292.0
2:18.0, ,55-40,P. Banchero misses 2-pt jump shot from 9 ft (block by J. Richardson),,2,55,40,15,1302.0
2:18.0,Defensive rebound by D. Robinson,55-40, ,,2,55,40,15,1302.0
2:09.0,T. Herro makes 3-pt jump shot from 26 ft,58-40, ,,2,58,40,18,1311.0
1:58.0, ,58-40,W. Carter misses 3-pt jump shot from 26 ft,,2,58,40,18,1322.0
1:50.0, ,58-40,Offensive rebound by J. Isaac,,2,58,40,18,1330.0
1:50.0, ,58-42,J. Isaac makes 2-pt layup at rim,,2,58,42,16,1330.0
1:37.0,T. Bryant makes 2-pt hook shot from 5 ft (assist by J. Richardson),60-42, ,,2,60,42,18,1343.0
1:17.0, ,60-45,J. Isaac makes 3-pt jump shot from 23 ft (assist by F. Wagner),,2,60,45,15,1363.0
1:02.0,D. Robinson makes 3-pt jump shot from 28 ft (assist by T. Herro),63-45, ,,2,63,45,18,1378.0
0:48.0, ,63-47,J. Isaac makes 2-pt layup from 1 ft (assist by P. Banchero),,2,63,47,16,1392.0
0:30.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by H. Highsmith),66-47, ,,2,66,47,19,1410.0
0:07.0, ,66-50,J. Suggs makes 3-pt jump shot from 26 ft (assist by P. Banchero),,2,66,50,16,1433.0
0:00.0,T. Herro makes 2-pt jump shot from 18 ft,68-50, ,,2,68,50,18,1440.0
0:00.0,End of 2nd quarter,68-50,,,2,68,50,18,1440.0
12:00.0,Start of 3rd quarter,68-50,,,3,68,50,18,1440.0
11:45.0, ,68-52,F. Wagner makes 2-pt jump shot from 11 ft (assist by P. Banchero),,3,68,52,16,1455.0
11:20.0,B. Adebayo misses 2-pt jump shot from 15 ft,68-52, ,,3,68,52,16,1480.0
11:16.0, ,68-52,Defensive rebound by P. Banchero,,3,68,52,16,1484.0
11:08.0, ,68-52,P. Banchero misses 2-pt jump shot from 13 ft,,3,68,52,16,1492.0
11:06.0,Defensive rebound by B. Adebayo,68-52, ,,3,68,52,16,1494.0
10:45.0,T. Herro misses 2-pt jump shot from 14 ft,68-52, ,,3,68,52,16,1515.0
10:39.0, ,68-52,Defensive rebound by P. Banchero,,3,68,52,16,1521.0
10:36.0, ,68-52,F. Wagner misses 3-pt jump shot from 27 ft,,3,68,52,16,1524.0
10:33.0,Defensive rebound by T. Herro,68-52, ,,3,68,52,16,1527.0
10:30.0,J. Jaquez misses 2-pt layup from 7 ft (block by J. Suggs),68-52, ,,3,68,52,16,1530.0
10:27.0, ,68-52,Defensive rebound by P. Banchero,,3,68,52,16,1533.0
10:22.0, ,68-52,A. Black misses 3-pt jump shot from 24 ft,,3,68,52,16,1538.0
10:16.0,Defensive rebound by C. Martin,68-52, ,,3,68,52,16,1544.0
10:12.0,K. Lowry makes 3-pt jump shot from 23 ft (assist by J. Jaquez),71-52, ,,3,71,52,19,1548.0
9:58.0, ,71-52,J. Suggs misses 3-pt jump shot from 24 ft,,3,71,52,19,1562.0
9:55.0,Defensive rebound by C. Martin,71-52, ,,3,71,52,19,1565.0
9:48.0,Turnover by T. Herro (step out of bounds),71-52, ,,3,71,52,19,1572.0
9:36.0, ,71-54,J. Suggs makes 2-pt jump shot from 14 ft,,3,71,54,17,1584.0
9:19.0,B. Adebayo makes 2-pt jump shot from 6 ft (assist by K. Lowry),73-54, ,,3,73,54,19,1601.0
9:03.0, ,73-54,Turnover by P. Banchero (bad pass; steal by B. Adebayo),,3,73,54,19,1617.0
9:01.0, ,73-54,Violation by Team (kicked ball),,3,73,54,19,1619.0
8:44.0,C. Martin misses 2-pt jump shot from 22 ft,73-54, ,,3,73,54,19,1636.0
8:42.0, ,73-54,Defensive rebound by A. Black,,3,73,54,19,1638.0
8:40.0, ,73-54,P. Banchero misses 3-pt jump shot from 28 ft,,3,73,54,19,1640.0
8:36.0,Defensive rebound by T. Herro,73-54, ,,3,73,54,19,1644.0
8:32.0,Shooting foul by W. Carter (drawn by C. Martin),73-54, ,,3,73,54,19,1648.0
8:32.0,C. Martin makes free throw 1 of 2,74-54, ,,3,74,54,20,1648.0
8:32.0,C. Martin makes free throw 2 of 2,75-54, ,,3,75,54,21,1648.0
8:12.0, ,75-54,Shooting foul by J. Jaquez (drawn by P. Banchero),,3,75,54,21,1668.0
8:12.0, ,75-55,P. Banchero makes free throw 1 of 2,,3,75,55,20,1668.0
8:12.0, ,75-55,P. Banchero misses free throw 2 of 2,,3,75,55,20,1668.0
8:09.0,Defensive rebound by B. Adebayo,75-55, ,,3,75,55,20,1671.0
8:03.0,J. Jaquez makes 2-pt layup from 2 ft,77-55, ,,3,77,55,22,1677.0
7:48.0, ,77-55,J. Suggs misses 3-pt jump shot from 26 ft,,3,77,55,22,1692.0
7:43.0,Defensive rebound by B. Adebayo,77-55, ,,3,77,55,22,1697.0
7:28.0,Turnover by C. Martin (bad pass; steal by F. Wagner),77-55, ,,3,77,55,22,1712.0
7:23.0, ,77-57,J. Suggs makes 2-pt layup from 2 ft (assist by F. Wagner),,3,77,57,20,1717.0
7:09.0,T. Herro makes 2-pt jump shot from 17 ft,79-57, ,,3,79,57,22,1731.0
6:46.0, ,79-57,P. Banchero misses 3-pt jump shot from 28 ft,,3,79,57,22,1754.0
6:43.0,Defensive rebound by B. Adebayo,79-57, ,,3,79,57,22,1757.0
6:27.0,Turnover by T. Herro (lost ball; steal by F. Wagner),79-57, ,,3,79,57,22,1773.0
6:22.0, ,79-59,F. Wagner makes 2-pt jump shot from 2 ft (assist by J. Suggs),,3,79,59,20,1778.0
6:10.0,Personal foul by W. Carter (drawn by B. Adebayo),79-59, ,,3,79,59,20,1790.0
6:10.0, ,79-59,Orlando full timeout,,3,79,59,20,1790.0
6:10.0, ,79-59,C. Anthony enters the game for A. Black,,3,79,59,20,1790.0
6:10.0, ,79-59,G. Harris enters the game for J. Suggs,,3,79,59,20,1790.0
6:03.0,B. Adebayo misses 2-pt layup from 3 ft,79-59, ,,3,79,59,20,1797.0
6:01.0, ,79-59,Defensive rebound by F. Wagner,,3,79,59,20,1799.0
5:55.0, ,79-59,F. Wagner misses 3-pt jump shot from 27 ft,,3,79,59,20,1805.0
5:50.0,Defensive rebound by T. Herro,79-59, ,,3,79,59,20,1810.0
5:42.0,J. Jaquez misses 2-pt jump shot from 2 ft,79-59, ,,3,79,59,20,1818.0
5:40.0,Offensive rebound by J. Jaquez,79-59, ,,3,79,59,20,1820.0
5:31.0,T. Herro makes 2-pt jump shot from 14 ft,81-59, ,,3,81,59,22,1829.0
5:13.0, ,81-62,C. Anthony makes 3-pt jump shot from 28 ft (assist by P. Banchero),,3,81,62,19,1847.0
4:55.0,B. Adebayo makes 2-pt jump shot from 16 ft (assist by T. Herro),83-62, ,,3,83,62,21,1865.0
4:28.0, ,83-62,F. Wagner misses 2-pt jump shot from 9 ft,,3,83,62,21,1892.0
4:26.0, ,83-62,Offensive rebound by G. Harris,,3,83,62,21,1894.0
4:19.0, ,83-64,C. Anthony makes 2-pt hook shot from 5 ft,,3,83,64,19,1901.0
4:09.0,Turnover by T. Herro (bad pass),83-64, ,,3,83,64,19,1911.0
4:09.0,J. Richardson enters the game for J. Jaquez,83-64, ,,3,83,64,19,1911.0
3:54.0, ,83-64,P. Banchero misses 2-pt jump shot from 12 ft,,3,83,64,19,1926.0
3:54.0,Defensive rebound by Team,83-64, ,,3,83,64,19,1926.0
3:54.0, ,83-64,Loose ball foul by W. Carter (drawn by B. Adebayo),,3,83,64,19,1926.0
3:54.0,Miami full timeout,83-64, ,,3,83,64,19,1926.0
3:54.0,T. Bryant enters the game for B. Adebayo,83-64, ,,3,83,64,19,1926.0
3:54.0, ,83-64,G. Bitadze enters the game for W. Carter,,3,83,64,19,1926.0
3:54.0, ,83-64,C. Houstan enters the game for F. Wagner,,3,83,64,19,1926.0
3:40.0,T. Herro misses 2-pt layup from 2 ft (block by C. Anthony),83-64, ,,3,83,64,19,1940.0
3:37.0, ,83-64,Defensive rebound by G. Bitadze,,3,83,64,19,1943.0
3:26.0, ,83-64,Personal foul by C. Martin (drawn by G. Harris),,3,83,64,19,1954.0
3:26.0,H. Highsmith enters the game for C. Martin,83-64, ,,3,83,64,19,1954.0
3:22.0, ,83-66,P. Banchero makes 2-pt layup from 4 ft (assist by C. Anthony),,3,83,66,17,1958.0
2:59.0,J. Richardson misses 3-pt jump shot from 25 ft,83-66, ,,3,83,66,17,1981.0
2:54.0,Offensive rebound by T. Bryant,83-66, ,,3,83,66,17,1986.0
2:54.0,T. Bryant misses 2-pt layup from 2 ft (block by G. Bitadze),83-66, ,,3,83,66,17,1986.0
2:54.0,Offensive rebound by H. Highsmith,83-66, ,,3,83,66,17,1986.0
2:54.0,Personal foul by C. Anthony (drawn by H. Highsmith),83-66, ,,3,83,66,17,1986.0
2:54.0,D. Robinson enters the game for K. Lowry,83-66, ,,3,83,66,17,1986.0
2:44.0,Shooting foul by C. Anthony (drawn by T. Herro),83-66, ,,3,83,66,17,1996.0
2:44.0, ,83-66,Orlando full timeout,,3,83,66,17,1996.0
2:44.0, ,83-66,Instant Replay (Challenge: Ruling Stands),,3,83,66,17,1996.0
2:44.0,T. Herro makes free throw 1 of 2,84-66, ,,3,84,66,18,1996.0
