Time,Chicago,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:41.0, ,13-30,Defensive rebound by T. Herro,,1,30,13,17,559.0
2:27.0, ,13-30,K. Love misses 2-pt jump shot from 23 ft,,1,30,13,17,573.0
2:23.0,Defensive rebound by A. Drummond,13-30, ,,1,30,13,17,577.0
2:06.0,J. Green misses 3-pt jump shot from 27 ft,13-30, ,,1,30,13,17,594.0
2:03.0, ,13-30,Defensive rebound by T. Herro,,1,30,13,17,597.0
1:58.0, ,13-32,H. Highsmith makes 2-pt dunk from 2 ft (assist by T. Herro),,1,32,13,19,602.0
1:40.0,C. White misses 3-pt jump shot from 27 ft,13-32, ,,1,32,13,19,620.0
1:36.0,Offensive rebound by J. Green,13-32, ,,1,32,13,19,624.0
1:35.0,A. Drummond makes 2-pt layup from 3 ft (assist by J. Green),15-32, ,,1,32,15,17,625.0
1:35.0, ,15-32,Miami full timeout,,1,32,15,17,625.0
1:35.0, ,15-32,D. Robinson enters the game for T. Herro,,1,32,15,17,625.0
1:15.0, ,15-32,Personal foul by A. Drummond (drawn by K. Love),,1,32,15,17,645.0
1:15.0, ,15-33,K. Love makes free throw 1 of 2,,1,33,15,18,645.0
1:15.0,A. Caruso enters the game for D. Terry,15-33, ,,1,33,15,18,645.0
1:15.0, ,15-34,K. Love makes free throw 2 of 2,,1,34,15,19,645.0
0:53.0,A. Drummond misses 2-pt layup from 5 ft,15-34, ,,1,34,15,19,667.0
0:48.0, ,15-34,Defensive rebound by D. Robinson,,1,34,15,19,672.0
0:41.0, ,15-34,K. Love misses 2-pt jump shot from 8 ft,,1,34,15,19,679.0
0:39.0,Defensive rebound by A. Drummond,15-34, ,,1,34,15,19,681.0
0:35.0,Shooting foul by J. Jaquez (drawn by J. Green),15-34, ,,1,34,15,19,685.0
0:35.0,J. Green makes free throw 1 of 2,16-34, ,,1,34,16,18,685.0
0:35.0,J. Green makes free throw 2 of 2,17-34, ,,1,34,17,17,685.0
0:20.0, ,17-34,J. Jaquez misses 2-pt jump shot from 12 ft,,1,34,17,17,700.0
0:17.0,Defensive rebound by D. DeRozan,17-34, ,,1,34,17,17,703.0
0:00.0,A. Caruso misses 2-pt jump shot from 6 ft,17-34, ,,1,34,17,17,720.0
0:00.0,Offensive rebound by Team,17-34, ,,1,34,17,17,720.0
0:00.0,End of 1st quarter,17-34,,,1,34,17,17,720.0
12:00.0,Start of 2nd quarter,17-34,,,2,34,17,17,720.0
11:42.0, ,17-34,D. Robinson misses 3-pt jump shot from 26 ft,,2,34,17,17,738.0
11:39.0,Defensive rebound by A. Drummond,17-34, ,,2,34,17,17,741.0
11:25.0,C. White makes 2-pt layup from 5 ft,19-34, ,,2,34,19,15,755.0
11:06.0, ,19-34,D. Wright misses 3-pt jump shot from 24 ft,,2,34,19,15,774.0
11:02.0,Defensive rebound by J. Green,19-34, ,,2,34,19,15,778.0
10:56.0,Personal foul by J. Jaquez (drawn by D. DeRozan),19-34, ,,2,34,19,15,784.0
10:56.0,T. Craig enters the game for J. Green,19-34, ,,2,34,19,15,784.0
10:51.0,A. Drummond misses 2-pt hook shot from 6 ft,19-34, ,,2,34,19,15,789.0
10:49.0, ,19-34,Defensive rebound by J. Jaquez,,2,34,19,15,791.0
10:39.0, ,19-34,B. Adebayo misses 3-pt jump shot from 22 ft,,2,34,19,15,801.0
10:36.0,Defensive rebound by T. Craig,19-34, ,,2,34,19,15,804.0
10:28.0,T. Craig misses 3-pt jump shot from 27 ft,19-34, ,,2,34,19,15,812.0
10:25.0, ,19-34,Defensive rebound by B. Adebayo,,2,34,19,15,815.0
10:12.0, ,19-34,J. Jaquez misses 2-pt layup from 4 ft (block by T. Craig),,2,34,19,15,828.0
10:11.0, ,19-34,Offensive rebound by J. Jaquez,,2,34,19,15,829.0
10:09.0, ,19-36,J. Jaquez makes 2-pt layup from 2 ft,,2,36,19,17,831.0
9:52.0,D. DeRozan makes 2-pt jump shot from 12 ft,21-36, ,,2,36,21,15,848.0
9:33.0, ,21-36,D. Robinson misses 3-pt jump shot from 23 ft,,2,36,21,15,867.0
9:31.0,Defensive rebound by A. Caruso,21-36, ,,2,36,21,15,869.0
9:20.0,C. White misses 2-pt jump shot from 16 ft,21-36, ,,2,36,21,15,880.0
9:19.0, ,21-36,Defensive rebound by Team,,2,36,21,15,881.0
9:19.0,N. Vučević enters the game for A. Drummond,21-36, ,,2,36,21,15,881.0
9:10.0, ,21-36,Turnover by J. Jaquez (bad pass; steal by T. Craig),,2,36,21,15,890.0
8:53.0,N. Vučević misses 2-pt jump shot from 16 ft,21-36, ,,2,36,21,15,907.0
8:52.0, ,21-36,Defensive rebound by Team,,2,36,21,15,908.0
8:52.0,Loose ball foul by T. Craig (drawn by B. Adebayo),21-36, ,,2,36,21,15,908.0
8:52.0,A. Dosunmu enters the game for C. White,21-36, ,,2,36,21,15,908.0
8:40.0, ,21-39,D. Robinson makes 3-pt jump shot from 27 ft (assist by B. Adebayo),,2,39,21,18,920.0
8:29.0,Shooting foul by H. Highsmith (drawn by D. DeRozan),21-39, ,,2,39,21,18,931.0
8:29.0,D. DeRozan misses free throw 1 of 2,21-39, ,,2,39,21,18,931.0
8:29.0,Offensive rebound by Team,21-39, ,,2,39,21,18,931.0
8:29.0,D. Terry enters the game for A. Caruso,21-39, ,,2,39,21,18,931.0
8:29.0,D. DeRozan makes free throw 2 of 2,22-39, ,,2,39,22,17,931.0
8:18.0, ,22-42,D. Robinson makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,2,42,22,20,942.0
7:51.0,D. DeRozan makes 3-pt jump shot from 28 ft (assist by A. Dosunmu),25-42, ,,2,42,25,17,969.0
7:33.0, ,25-42,H. Highsmith misses 2-pt layup from 7 ft (block by A. Dosunmu),,2,42,25,17,987.0
7:30.0,Defensive rebound by N. Vučević,25-42, ,,2,42,25,17,990.0
7:24.0,D. DeRozan makes 2-pt layup from 5 ft,27-42, ,,2,42,27,15,996.0
6:58.0, ,27-42,Turnover by D. Robinson (bad pass; steal by N. Vučević),,2,42,27,15,1022.0
6:57.0,Shooting foul by D. Robinson (drawn by A. Dosunmu),27-42, ,,2,42,27,15,1023.0
6:57.0, ,27-42,Miami full timeout,,2,42,27,15,1023.0
6:57.0, ,27-42,T. Herro enters the game for J. Jaquez,,2,42,27,15,1023.0
6:57.0, ,27-42,C. Martin enters the game for D. Wright,,2,42,27,15,1023.0
6:57.0,A. Dosunmu makes free throw 1 of 2,28-42, ,,2,42,28,14,1023.0
6:57.0,A. Dosunmu makes free throw 2 of 2,29-42, ,,2,42,29,13,1023.0
6:41.0, ,29-42,T. Herro misses 2-pt jump shot from 8 ft (block by D. DeRozan),,2,42,29,13,1039.0
6:38.0,Defensive rebound by N. Vučević,29-42, ,,2,42,29,13,1042.0
6:35.0,T. Craig misses 3-pt jump shot from 25 ft,29-42, ,,2,42,29,13,1045.0
6:32.0, ,29-42,Defensive rebound by D. Robinson,,2,42,29,13,1048.0
6:27.0, ,29-42,Personal foul by N. Vučević (drawn by D. Robinson),,2,42,29,13,1053.0
6:27.0,A. Caruso enters the game for D. Terry,29-42, ,,2,42,29,13,1053.0
6:15.0, ,29-42,Turnover by D. Robinson (bad pass; steal by T. Craig),,2,42,29,13,1065.0
6:03.0,Shooting foul by H. Highsmith (drawn by D. DeRozan),29-42, ,,2,42,29,13,1077.0
6:03.0,D. DeRozan makes free throw 1 of 2,30-42, ,,2,42,30,12,1077.0
6:03.0, ,30-42,N. Jović enters the game for D. Robinson,,2,42,30,12,1077.0
6:03.0,D. DeRozan makes free throw 2 of 2,31-42, ,,2,42,31,11,1077.0
5:44.0, ,31-42,T. Herro misses 3-pt jump shot from 24 ft,,2,42,31,11,1096.0
5:41.0,Defensive rebound by N. Vučević,31-42, ,,2,42,31,11,1099.0
5:20.0,T. Craig misses 3-pt jump shot from 25 ft,31-42, ,,2,42,31,11,1120.0
5:17.0, ,31-42,Defensive rebound by C. Martin,,2,42,31,11,1123.0
5:11.0, ,31-42,H. Highsmith misses 3-pt jump shot from 23 ft,,2,42,31,11,1129.0
5:10.0, ,31-42,Offensive rebound by Team,,2,42,31,11,1130.0
5:10.0,C. White enters the game for T. Craig,31-42, ,,2,42,31,11,1130.0
5:02.0, ,31-42,N. Jović misses 3-pt jump shot from 25 ft,,2,42,31,11,1138.0
4:58.0,Defensive rebound by C. White,31-42, ,,2,42,31,11,1142.0
4:47.0,Turnover by D. DeRozan (lost ball; steal by H. Highsmith),31-42, ,,2,42,31,11,1153.0
4:44.0, ,31-42,C. Martin misses 2-pt layup from 5 ft,,2,42,31,11,1156.0
4:44.0, ,31-42,Offensive rebound by Team,,2,42,31,11,1156.0
4:44.0, ,31-42,J. Jaquez enters the game for H. Highsmith,,2,42,31,11,1156.0
4:34.0, ,31-42,C. Martin misses 2-pt jump shot from 10 ft,,2,42,31,11,1166.0
4:34.0,Defensive rebound by N. Vučević,31-42, ,,2,42,31,11,1166.0
4:29.0,A. Dosunmu misses 2-pt layup from 5 ft (block by C. Martin),31-42, ,,2,42,31,11,1171.0
4:29.0, ,31-42,Defensive rebound by Team,,2,42,31,11,1171.0
4:10.0, ,31-42,J. Jaquez misses 2-pt hook shot from 7 ft,,2,42,31,11,1190.0
4:07.0,Defensive rebound by N. Vučević,31-42, ,,2,42,31,11,1193.0
3:48.0,A. Dosunmu misses 3-pt jump shot from 23 ft,31-42, ,,2,42,31,11,1212.0
3:46.0, ,31-42,Defensive rebound by J. Jaquez,,2,42,31,11,1214.0
3:42.0, ,31-45,T. Herro makes 3-pt jump shot from 25 ft (assist by J. Jaquez),,2,45,31,14,1218.0
3:40.0,Chicago full timeout,31-45, ,,2,45,31,14,1220.0
3:26.0,C. White makes 3-pt jump shot from 24 ft (assist by N. Vučević),34-45, ,,2,45,34,11,1234.0
2:57.0, ,34-47,B. Adebayo makes 2-pt jump shot from 9 ft (assist by T. Herro),,2,47,34,13,1263.0
2:40.0,A. Caruso misses 3-pt jump shot from 24 ft,34-47, ,,2,47,34,13,1280.0
2:36.0, ,34-47,Defensive rebound by N. Jović,,2,47,34,13,1284.0
2:32.0, ,34-47,Turnover by N. Jović (lost ball; steal by A. Dosunmu),,2,47,34,13,1288.0
2:25.0,A. Dosunmu misses 3-pt jump shot from 24 ft,34-47, ,,2,47,34,13,1295.0
2:23.0, ,34-47,Defensive rebound by T. Herro,,2,47,34,13,1297.0
2:14.0, ,34-47,J. Jaquez misses 3-pt jump shot from 23 ft,,2,47,34,13,1306.0
2:12.0,Defensive rebound by N. Vučević,34-47, ,,2,47,34,13,1308.0
2:08.0,Personal foul by N. Jović (drawn by C. White),34-47, ,,2,47,34,13,1312.0
2:08.0,C. White misses free throw 1 of 2,34-47, ,,2,47,34,13,1312.0
2:08.0,Offensive rebound by Team,34-47, ,,2,47,34,13,1312.0
2:08.0,J. Green enters the game for A. Caruso,34-47, ,,2,47,34,13,1312.0
2:08.0,C. White makes free throw 2 of 2,35-47, ,,2,47,35,12,1312.0
1:55.0, ,35-47,Turnover by T. Herro (lost ball; steal by C. White),,2,47,35,12,1325.0
1:52.0,C. White misses 2-pt layup from 5 ft (block by N. Jović),35-47, ,,2,47,35,12,1328.0
1:52.0,Offensive rebound by Team,35-47, ,,2,47,35,12,1328.0
1:41.0,D. DeRozan makes 2-pt jump shot from 14 ft,37-47, ,,2,47,37,10,1339.0
1:21.0, ,37-47,Turnover by B. Adebayo (bad pass; steal by N. Vučević),,2,47,37,10,1359.0
1:02.0,D. DeRozan misses 3-pt jump shot from 22 ft,37-47, ,,2,47,37,10,1378.0
0:58.0, ,37-47,Defensive rebound by T. Herro,,2,47,37,10,1382.0
0:56.0, ,37-47,Turnover by T. Herro (bad pass; steal by A. Dosunmu),,2,47,37,10,1384.0
0:54.0,Turnover by C. White (out of bounds lost ball),37-47, ,,2,47,37,10,1386.0
0:54.0, ,37-47,H. Highsmith enters the game for J. Jaquez,,2,47,37,10,1386.0
0:45.0, ,37-47,N. Jović misses 3-pt jump shot from 24 ft,,2,47,37,10,1395.0
0:42.0,Defensive rebound by N. Vučević,37-47, ,,2,47,37,10,1398.0
0:26.0,C. White misses 2-pt layup from 4 ft (block by C. Martin),37-47, ,,2,47,37,10,1414.0
0:26.0,Offensive rebound by Team,37-47, ,,2,47,37,10,1414.0
0:20.0,D. DeRozan misses 3-pt jump shot from 23 ft,37-47, ,,2,47,37,10,1420.0
0:16.0,Offensive rebound by A. Dosunmu,37-47, ,,2,47,37,10,1424.0
0:06.0,C. White misses 3-pt jump shot from 26 ft,37-47, ,,2,47,37,10,1434.0
0:05.0, ,37-47,Defensive rebound by N. Jović,,2,47,37,10,1435.0
0:00.0, ,37-47,Shooting foul by C. White (drawn by B. Adebayo),,2,47,37,10,1440.0
0:00.0, ,37-47,B. Adebayo misses free throw 1 of 2,,2,47,37,10,1440.0
0:00.0, ,37-47,Offensive rebound by Team,,2,47,37,10,1440.0
0:00.0, ,37-47,B. Adebayo misses free throw 2 of 2,,2,47,37,10,1440.0
0:00.0,Defensive rebound by N. Vučević,37-47, ,,2,47,37,10,1440.0
0:00.0,End of 2nd quarter,37-47,,,2,47,37,10,1440.0
12:00.0,Start of 3rd quarter,37-47,,,3,47,37,10,1440.0
11:37.0, ,37-49,B. Adebayo makes 2-pt jump shot from 13 ft,,3,49,37,12,1463.0
11:28.0,Turnover by C. White (out of bounds lost ball),37-49, ,,3,49,37,12,1472.0
11:12.0, ,37-49,J. Jaquez misses 2-pt layup from 4 ft,,3,49,37,12,1488.0
11:09.0,Defensive rebound by A. Caruso,37-49, ,,3,49,37,12,1491.0
11:05.0,N. Vučević makes 3-pt jump shot from 26 ft (assist by A. Caruso),40-49, ,,3,49,40,9,1495.0
10:48.0, ,40-49,T. Herro misses 3-pt jump shot from 27 ft,,3,49,40,9,1512.0
10:45.0,Defensive rebound by N. Vučević,40-49, ,,3,49,40,9,1515.0
10:36.0,D. DeRozan makes 2-pt layup from 6 ft,42-49, ,,3,49,42,7,1524.0
10:16.0, ,42-52,T. Herro makes 3-pt jump shot from 27 ft (assist by J. Jaquez),,3,52,42,10,1544.0
9:53.0,N. Vučević makes 2-pt hook shot from 4 ft (assist by A. Dosunmu),44-52, ,,3,52,44,8,1567.0
9:32.0, ,44-52,J. Jaquez misses 2-pt hook shot from 4 ft,,3,52,44,8,1588.0
9:30.0,Defensive rebound by N. Vučević,44-52, ,,3,52,44,8,1590.0
9:15.0,N. Vučević misses 2-pt layup from 3 ft,44-52, ,,3,52,44,8,1605.0
9:15.0,Offensive rebound by Team,44-52, ,,3,52,44,8,1605.0
9:15.0, ,44-52,Loose ball foul by C. Martin (drawn by N. Vučević),,3,52,44,8,1605.0
9:04.0,D. DeRozan misses 2-pt layup from 5 ft,44-52, ,,3,52,44,8,1616.0
9:01.0, ,44-52,Defensive rebound by N. Jović,,3,52,44,8,1619.0
8:56.0, ,44-55,C. Martin makes 3-pt jump shot from 24 ft (assist by N. Jović),,3,55,44,11,1624.0
8:42.0, ,44-55,Violation by Team (kicked ball),,3,55,44,11,1638.0
8:32.0,A. Caruso misses 2-pt jump shot from 3 ft (block by B. Adebayo),44-55, ,,3,55,44,11,1648.0
8:32.0,Offensive rebound by Team,44-55, ,,3,55,44,11,1648.0
8:30.0,Turnover by C. White (traveling),44-55, ,,3,55,44,11,1650.0
8:09.0, ,44-57,T. Herro makes 2-pt jump shot from 14 ft,,3,57,44,13,1671.0
7:58.0,Personal foul by N. Jović (drawn by N. Vučević),44-57, ,,3,57,44,13,1682.0
7:45.0,N. Vučević misses 2-pt hook shot from 4 ft,44-57, ,,3,57,44,13,1695.0
7:42.0, ,44-57,Defensive rebound by N. Jović,,3,57,44,13,1698.0
7:35.0, ,44-59,J. Jaquez makes 2-pt dunk from 2 ft (assist by N. Jović),,3,59,44,15,1705.0
7:35.0,Chicago full timeout,44-59, ,,3,59,44,15,1705.0
7:22.0,A. Dosunmu makes 2-pt layup from 6 ft (assist by D. DeRozan),46-59, ,,3,59,46,13,1718.0
6:56.0, ,46-59,N. Jović misses 3-pt jump shot from 25 ft,,3,59,46,13,1744.0
6:54.0,Defensive rebound by D. DeRozan,46-59, ,,3,59,46,13,1746.0
6:44.0,A. Dosunmu makes 3-pt jump shot from 23 ft (assist by C. White),49-59, ,,3,59,49,10,1756.0
6:21.0, ,49-61,J. Jaquez makes 2-pt dunk from 1 ft (assist by B. Adebayo),,3,61,49,12,1779.0
6:02.0,C. White makes 2-pt layup from 5 ft (assist by N. Vučević),51-61, ,,3,61,51,10,1798.0
5:52.0, ,51-63,T. Herro makes 2-pt layup from 6 ft,,3,63,51,12,1808.0
5:34.0,A. Dosunmu misses 3-pt jump shot from 23 ft,51-63, ,,3,63,51,12,1826.0
5:32.0, ,51-63,Defensive rebound by C. Martin,,3,63,51,12,1828.0
5:26.0, ,51-63,Personal foul by A. Dosunmu (drawn by B. Adebayo),,3,63,51,12,1834.0
5:26.0,J. Green enters the game for A. Caruso,51-63, ,,3,63,51,12,1834.0
5:19.0, ,51-63,J. Jaquez misses 2-pt layup from 4 ft,,3,63,51,12,1841.0
5:18.0,Defensive rebound by Team,51-63, ,,3,63,51,12,1842.0
5:18.0, ,51-63,Loose ball foul by J. Jaquez (drawn by N. Vučević),,3,63,51,12,1842.0
5:18.0, ,51-63,H. Highsmith enters the game for J. Jaquez,,3,63,51,12,1842.0
5:05.0,N. Vučević makes 3-pt jump shot from 26 ft (assist by C. White),54-63, ,,3,63,54,9,1855.0
4:49.0, ,54-63,Shooting foul by D. DeRozan (drawn by T. Herro),,3,63,54,9,1871.0
4:49.0, ,54-64,T. Herro makes free throw 1 of 2,,3,64,54,10,1871.0
4:49.0, ,54-65,T. Herro makes free throw 2 of 2,,3,65,54,11,1871.0
4:35.0,N. Vučević misses 2-pt layup from 4 ft,54-65, ,,3,65,54,11,1885.0
4:32.0, ,54-65,Defensive rebound by N. Jović,,3,65,54,11,1888.0
4:23.0, ,54-67,C. Martin makes 2-pt jump shot from 21 ft (assist by T. Herro),,3,67,54,13,1897.0
4:11.0,C. White makes 2-pt layup from 6 ft,56-67, ,,3,67,56,11,1909.0
3:56.0, ,56-70,B. Adebayo makes 3-pt jump shot from 25 ft,,3,70,56,14,1924.0
3:44.0,J. Green makes 2-pt layup from 2 ft (assist by C. White),58-70, ,,3,70,58,12,1936.0
3:36.0, ,58-70,Miami full timeout,,3,70,58,12,1944.0
3:36.0,A. Caruso enters the game for D. DeRozan,58-70, ,,3,70,58,12,1944.0
3:36.0,D. Terry enters the game for N. Vučević,58-70, ,,3,70,58,12,1944.0
3:36.0, ,58-70,K. Love enters the game for B. Adebayo,,3,70,58,12,1944.0
3:18.0, ,58-70,Turnover by T. Herro (bad pass; steal by J. Green),,3,70,58,12,1962.0
3:15.0,J. Green makes 2-pt layup from 5 ft (assist by C. White),60-70, ,,3,70,60,10,1965.0
3:00.0, ,60-70,C. Martin misses 3-pt jump shot from 26 ft,,3,70,60,10,1980.0
2:57.0, ,60-70,Offensive rebound by T. Herro,,3,70,60,10,1983.0
2:54.0, ,60-70,T. Herro misses 2-pt layup from 6 ft,,3,70,60,10,1986.0
2:51.0, ,60-70,Offensive rebound by C. Martin,,3,70,60,10,1989.0
2:45.0, ,60-70,T. Herro misses 2-pt jump shot from 6 ft,,3,70,60,10,1995.0
2:44.0, ,60-70,Offensive rebound by K. Love,,3,70,60,10,1996.0
2:44.0, ,60-70,Shooting foul by A. Dosunmu (drawn by K. Love),,3,70,60,10,1996.0
2:44.0, ,60-71,K. Love makes free throw 1 of 2,,3,71,60,11,1996.0
2:44.0, ,60-71,J. Jaquez enters the game for N. Jović,,3,71,60,11,1996.0
2:44.0, ,60-71,D. Wright enters the game for C. Martin,,3,71,60,11,1996.0
2:44.0, ,60-72,K. Love makes free throw 2 of 2,,3,72,60,12,1996.0
