Time,Charlotte,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:55.0,Turnover by G. Hayward (lost ball; steal by D. Robinson),75-91, ,,4,91,75,16,2285.0
9:48.0, ,75-93,C. Martin makes 2-pt dunk from 1 ft (assist by J. Jaquez),,4,93,75,18,2292.0
9:34.0,B. Miller makes 3-pt jump shot from 25 ft (assist by T. Rozier),78-93, ,,4,93,78,15,2306.0
9:15.0, ,78-95,J. Jaquez makes 2-pt jump shot from 7 ft,,4,95,78,17,2325.0
8:49.0,T. Rozier makes 3-pt jump shot from 24 ft (assist by B. Miller),81-95, ,,4,95,81,14,2351.0
8:33.0, ,81-97,K. Love makes 2-pt layup from 2 ft (assist by D. Robinson),,4,97,81,16,2367.0
8:15.0,Turnover by B. Miller (out of bounds lost ball),81-97, ,,4,97,81,16,2385.0
8:15.0, ,81-97,T. Bryant enters the game for K. Love,,4,97,81,16,2385.0
7:59.0, ,81-97,J. Jaquez misses 2-pt hook shot from 3 ft (block by N. Richards),,4,97,81,16,2401.0
7:55.0, ,81-97,Offensive rebound by J. Jaquez,,4,97,81,16,2405.0
7:53.0, ,81-97,J. Cain misses 2-pt jump shot from 9 ft,,4,97,81,16,2407.0
7:51.0,Defensive rebound by G. Hayward,81-97, ,,4,97,81,16,2409.0
7:46.0,Turnover by G. Hayward (lost ball; steal by J. Cain),81-97, ,,4,97,81,16,2414.0
7:44.0, ,81-97,Turnover by D. Robinson (bad pass; steal by M. Bridges),,4,97,81,16,2416.0
7:36.0,B. Miller misses 3-pt jump shot from 23 ft,81-97, ,,4,97,81,16,2424.0
7:36.0, ,81-97,Defensive rebound by J. Jaquez,,4,97,81,16,2424.0
7:32.0, ,81-99,J. Jaquez makes 2-pt layup from 1 ft,,4,99,81,18,2428.0
7:32.0,Charlotte full timeout,81-99, ,,4,99,81,18,2428.0
7:18.0,M. Bridges makes 2-pt layup from 2 ft (assist by T. Rozier),83-99, ,,4,99,83,16,2442.0
6:59.0, ,83-99,J. Cain misses 3-pt jump shot from 23 ft,,4,99,83,16,2461.0
6:57.0,Defensive rebound by M. Bridges,83-99, ,,4,99,83,16,2463.0
6:53.0,G. Hayward misses 2-pt dunk from 1 ft,83-99, ,,4,99,83,16,2467.0
6:53.0, ,83-99,Defensive rebound by T. Bryant,,4,99,83,16,2467.0
6:38.0, ,83-101,J. Jaquez makes 2-pt jump shot from 8 ft (assist by D. Robinson),,4,101,83,18,2482.0
6:11.0,M. Bridges misses 3-pt jump shot from 25 ft,83-101, ,,4,101,83,18,2509.0
6:08.0,Offensive rebound by G. Hayward,83-101, ,,4,101,83,18,2512.0
6:02.0,G. Hayward makes 2-pt jump shot from 9 ft,85-101, ,,4,101,85,16,2518.0
5:41.0, ,85-101,C. Martin misses 3-pt jump shot from 24 ft,,4,101,85,16,2539.0
5:39.0,Defensive rebound by G. Hayward,85-101, ,,4,101,85,16,2541.0
5:32.0,T. Rozier makes 3-pt jump shot from 26 ft (assist by B. Miller),88-101, ,,4,101,88,13,2548.0
5:31.0, ,88-101,Miami full timeout,,4,101,88,13,2549.0
5:18.0, ,88-103,T. Bryant makes 2-pt dunk at rim (assist by J. Jaquez),,4,103,88,15,2562.0
4:56.0,G. Hayward misses 2-pt jump shot from 11 ft,88-103, ,,4,103,88,15,2584.0
4:55.0, ,88-103,Defensive rebound by C. Martin,,4,103,88,15,2585.0
4:53.0, ,88-103,Personal foul by G. Hayward (drawn by C. Martin),,4,103,88,15,2587.0
4:36.0, ,88-103,Turnover by J. Jaquez (bad pass; steal by B. Miller),,4,103,88,15,2604.0
4:32.0,Turnover by B. Miller (bad pass; steal by D. Robinson),88-103, ,,4,103,88,15,2608.0
4:13.0, ,88-106,C. Martin makes 3-pt jump shot from 26 ft (assist by D. Robinson),,4,106,88,18,2627.0
3:57.0,T. Rozier makes 3-pt jump shot from 25 ft (assist by M. Bridges),91-106, ,,4,106,91,15,2643.0
3:38.0, ,91-108,T. Bryant makes 2-pt dunk from 1 ft (assist by C. Martin),,4,108,91,17,2662.0
3:21.0,B. Miller makes 3-pt jump shot from 24 ft (assist by T. Rozier),94-108, ,,4,108,94,14,2679.0
3:07.0, ,94-108,Offensive foul by T. Bryant (drawn by T. Rozier),,4,108,94,14,2693.0
3:07.0, ,94-108,Turnover by T. Bryant (offensive foul),,4,108,94,14,2693.0
2:49.0,M. Bridges makes 2-pt jump shot from 17 ft (assist by G. Hayward),96-108, ,,4,108,96,12,2711.0
2:30.0, ,96-108,J. Jaquez misses 2-pt jump shot from 10 ft,,4,108,96,12,2730.0
2:27.0, ,96-108,Offensive rebound by T. Bryant,,4,108,96,12,2733.0
2:23.0, ,96-110,C. Martin makes 2-pt jump shot from 17 ft,,4,110,96,14,2737.0
2:07.0,N. Richards makes 2-pt layup from 3 ft (assist by T. Rozier),98-110, ,,4,110,98,12,2753.0
1:44.0, ,98-110,D. Robinson misses 3-pt jump shot from 26 ft,,4,110,98,12,2776.0
1:41.0,Defensive rebound by N. Richards,98-110, ,,4,110,98,12,2779.0
1:26.0,T. Rozier makes 3-pt jump shot from 26 ft (assist by B. Miller),101-110, ,,4,110,101,9,2794.0
1:11.0, ,101-112,J. Cain makes 2-pt dunk from 1 ft (assist by J. Jaquez),,4,112,101,11,2809.0
1:02.0,M. Bridges misses 3-pt jump shot from 26 ft,101-112, ,,4,112,101,11,2818.0
0:58.0, ,101-112,Defensive rebound by J. Jaquez,,4,112,101,11,2822.0
0:54.0, ,101-112,J. Jaquez misses 2-pt layup from 3 ft,,4,112,101,11,2826.0
0:53.0, ,101-112,Offensive rebound by T. Bryant,,4,112,101,11,2827.0
0:53.0, ,101-112,T. Bryant misses 2-pt dunk from 2 ft,,4,112,101,11,2827.0
0:52.0, ,101-112,Offensive rebound by T. Bryant,,4,112,101,11,2828.0
0:51.0, ,101-112,T. Bryant misses 2-pt layup at rim,,4,112,101,11,2829.0
0:51.0, ,101-112,Offensive rebound by Team,,4,112,101,11,2829.0
0:51.0,Charlotte full timeout,101-112, ,,4,112,101,11,2829.0
0:44.0, ,101-115,D. Robinson makes 3-pt jump shot from 24 ft (assist by J. Jaquez),,4,115,101,14,2836.0
0:33.0,M. Bridges makes 3-pt jump shot from 23 ft (assist by T. Rozier),104-115, ,,4,115,104,11,2847.0
0:08.0, ,104-115,Turnover by Team (shot clock),,4,115,104,11,2872.0
0:00.0,End of 4th quarter,104-115,,,4,115,104,11,2880.0
