Time,Charlotte,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:45.0, ,29-33,D. Robinson makes 2-pt layup from 2 ft (assist by J. Jaquez),,2,33,29,4,915.0
8:30.0,T. Rozier makes 2-pt jump shot from 21 ft,31-33, ,,2,33,31,2,930.0
8:13.0, ,31-35,J. Cain makes 2-pt jump shot from 6 ft (assist by J. Jaquez),,2,35,31,4,947.0
8:00.0,B. Miller misses 2-pt jump shot from 13 ft,31-35, ,,2,35,31,4,960.0
7:55.0, ,31-35,Defensive rebound by T. Bryant,,2,35,31,4,965.0
7:48.0, ,31-35,Turnover by D. Robinson (out of bounds lost ball),,2,35,31,4,972.0
7:48.0,G. Hayward enters the game for B. McGowens,31-35, ,,2,35,31,4,972.0
7:48.0,I. Smith enters the game for T. Rozier,31-35, ,,2,35,31,4,972.0
7:34.0,G. Hayward misses 2-pt jump shot from 18 ft,31-35, ,,2,35,31,4,986.0
7:29.0, ,31-35,Defensive rebound by J. Cain,,2,35,31,4,991.0
7:17.0, ,31-37,J. Jaquez makes 2-pt layup from 2 ft,,2,37,31,6,1003.0
7:06.0,N. Richards makes 2-pt layup from 2 ft (assist by G. Hayward),33-37, ,,2,37,33,4,1014.0
6:47.0, ,33-37,J. Jaquez misses 2-pt jump shot from 4 ft,,2,37,33,4,1033.0
6:45.0,Defensive rebound by I. Smith,33-37, ,,2,37,33,4,1035.0
6:29.0,G. Hayward makes 2-pt jump shot from 13 ft (assist by I. Smith),35-37, ,,2,37,35,2,1051.0
6:13.0, ,35-37,J. Jaquez misses 2-pt jump shot from 8 ft (block by N. Richards),,2,37,35,2,1067.0
6:10.0,Defensive rebound by N. Richards,35-37, ,,2,37,35,2,1070.0
6:08.0,B. Miller makes 2-pt dunk from 1 ft (assist by I. Smith),37-37, ,Tie,2,37,37,0,1072.0
6:06.0, ,37-37,Miami full timeout,,2,37,37,0,1074.0
6:06.0,M. Bridges enters the game for B. Miller,37-37, ,,2,37,37,0,1074.0
6:06.0,B. McGowens enters the game for N. Richards,37-37, ,,2,37,37,0,1074.0
6:06.0, ,37-37,K. Lowry enters the game for J. Cain,,2,37,37,0,1074.0
5:45.0, ,37-37,D. Robinson misses 3-pt jump shot from 26 ft,,2,37,37,0,1095.0
5:41.0,Defensive rebound by G. Hayward,37-37, ,,2,37,37,0,1099.0
5:35.0,G. Hayward makes 2-pt jump shot from 11 ft,39-37, ,Lead change,2,37,39,-2,1105.0
5:16.0, ,39-37,C. Martin misses 2-pt layup from 4 ft,,2,37,39,-2,1124.0
5:15.0, ,39-37,Offensive rebound by T. Bryant,,2,37,39,-2,1125.0
5:14.0, ,39-39,T. Bryant makes 2-pt layup from 2 ft,Tie,2,39,39,0,1126.0
5:14.0, ,39-39,Shooting foul by J. Thor (drawn by T. Bryant),,2,39,39,0,1126.0
5:14.0, ,39-39,J. Butler enters the game for D. Robinson,,2,39,39,0,1126.0
5:14.0, ,39-40,T. Bryant makes free throw 1 of 1,Lead change,2,40,39,1,1126.0
4:55.0,M. Bridges makes 2-pt layup from 1 ft (assist by I. Smith),41-40, ,Lead change,2,40,41,-1,1145.0
4:33.0, ,41-40,Shooting foul by J. Thor (drawn by K. Lowry),,2,40,41,-1,1167.0
4:33.0, ,41-41,K. Lowry makes free throw 1 of 3,Tie,2,41,41,0,1167.0
4:33.0, ,41-42,K. Lowry makes free throw 2 of 3,Lead change,2,42,41,1,1167.0
4:33.0, ,41-42,K. Love enters the game for T. Bryant,,2,42,41,1,1167.0
4:33.0, ,41-43,K. Lowry makes free throw 3 of 3,,2,43,41,2,1167.0
4:20.0,Turnover by G. Hayward (lost ball; steal by K. Love),41-43, ,,2,43,41,2,1180.0
4:14.0, ,41-43,J. Jaquez misses 2-pt layup from 4 ft,,2,43,41,2,1186.0
4:10.0,Defensive rebound by M. Bridges,41-43, ,,2,43,41,2,1190.0
4:07.0,G. Hayward makes 2-pt jump shot from 23 ft,43-43, ,Tie,2,43,43,0,1193.0
3:46.0, ,43-43,Turnover by C. Martin (bad pass; steal by J. Thor),,2,43,43,0,1214.0
3:43.0,Shooting foul by K. Lowry (drawn by G. Hayward),43-43, ,,2,43,43,0,1217.0
