Time,LA Lakers,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
10:11.0,Turnover by L. James (lost ball; steal by J. Jaquez),35-38, ,,2,38,35,3,829.0
10:02.0, ,35-40,T. Bryant makes 2-pt dunk at rim (assist by D. Robinson),,2,40,35,5,838.0
10:01.0,LA Lakers full timeout,35-40, ,,2,40,35,5,839.0
9:49.0,Shooting foul by T. Bryant (drawn by C. Reddish),35-40, ,,2,40,35,5,851.0
9:49.0,C. Reddish makes free throw 1 of 2,36-40, ,,2,40,36,4,851.0
9:49.0,C. Reddish makes free throw 2 of 2,37-40, ,,2,40,37,3,851.0
9:32.0, ,37-40,J. Jaquez misses 3-pt jump shot from 26 ft,,2,40,37,3,868.0
9:30.0,Defensive rebound by Team,37-40, ,,2,40,37,3,870.0
9:24.0,C. Wood misses 2-pt layup from 2 ft,37-40, ,,2,40,37,3,876.0
9:21.0, ,37-40,Defensive rebound by T. Bryant,,2,40,37,3,879.0
9:15.0, ,37-40,T. Herro misses 3-pt jump shot from 25 ft,,2,40,37,3,885.0
9:12.0,Defensive rebound by C. Wood,37-40, ,,2,40,37,3,888.0
8:58.0,Personal foul by J. Richardson (drawn by A. Reaves),37-40, ,,2,40,37,3,902.0
8:42.0,A. Reaves misses 3-pt jump shot from 30 ft,37-40, ,,2,40,37,3,918.0
8:40.0, ,37-40,Defensive rebound by T. Herro,,2,40,37,3,920.0
8:28.0, ,37-42,J. Jaquez makes 2-pt hook shot from 3 ft (assist by D. Robinson),,2,42,37,5,932.0
8:18.0,C. Reddish makes 2-pt layup from 2 ft (assist by C. Wood),39-42, ,,2,42,39,3,942.0
8:10.0, ,39-44,T. Herro makes 2-pt jump shot from 20 ft,,2,44,39,5,950.0
8:00.0,L. James misses 2-pt layup from 4 ft (block by T. Bryant),39-44, ,,2,44,39,5,960.0
7:57.0, ,39-44,Defensive rebound by T. Bryant,,2,44,39,5,963.0
7:54.0, ,39-44,Turnover by T. Herro (lost ball; steal by C. Reddish),,2,44,39,5,966.0
7:49.0,A. Reaves makes 2-pt jump shot from 2 ft,41-44, ,,2,44,41,3,971.0
7:49.0,Shooting foul by J. Richardson (drawn by A. Reaves),41-44, ,,2,44,41,3,971.0
7:49.0,M. Christie enters the game for C. Reddish,41-44, ,,2,44,41,3,971.0
7:49.0, ,41-44,B. Adebayo enters the game for T. Bryant,,2,44,41,3,971.0
7:49.0, ,41-44,K. Lowry enters the game for J. Richardson,,2,44,41,3,971.0
7:49.0,A. Reaves misses free throw 1 of 1,41-44, ,,2,44,41,3,971.0
7:46.0, ,41-44,Defensive rebound by B. Adebayo,,2,44,41,3,974.0
7:42.0, ,41-44,D. Robinson misses 3-pt jump shot from 25 ft,,2,44,41,3,978.0
7:37.0,Defensive rebound by M. Christie,41-44, ,,2,44,41,3,983.0
7:37.0,A. Davis enters the game for C. Wood,41-44, ,,2,44,41,3,983.0
7:32.0,A. Davis makes 2-pt jump shot from 10 ft (assist by T. Prince),43-44, ,,2,44,43,1,988.0
7:11.0, ,43-47,T. Herro makes 3-pt jump shot from 28 ft (assist by B. Adebayo),,2,47,43,4,1009.0
7:01.0,Turnover by A. Reaves (bad pass),43-47, ,,2,47,43,4,1019.0
6:47.0, ,43-47,J. Jaquez misses 3-pt jump shot from 23 ft,,2,47,43,4,1033.0
6:43.0,Defensive rebound by A. Reaves,43-47, ,,2,47,43,4,1037.0
6:40.0,L. James makes 2-pt layup from 2 ft (assist by A. Reaves),45-47, ,,2,47,45,2,1040.0
6:22.0, ,45-47,T. Herro misses 2-pt jump shot from 15 ft,,2,47,45,2,1058.0
6:22.0, ,45-47,Offensive rebound by B. Adebayo,,2,47,45,2,1058.0
6:22.0, ,45-47,Personal foul by L. James (drawn by B. Adebayo),,2,47,45,2,1058.0
6:22.0,D. Russell enters the game for L. James,45-47, ,,2,47,45,2,1058.0
6:22.0, ,45-47,J. Butler enters the game for T. Herro,,2,47,45,2,1058.0
6:08.0, ,45-47,Turnover by Team (shot clock),,2,47,45,2,1072.0
6:08.0,C. Reddish enters the game for A. Reaves,45-47, ,,2,47,45,2,1072.0
5:55.0,M. Christie makes 2-pt layup from 1 ft (assist by D. Russell),47-47, ,Tie,2,47,47,0,1085.0
5:40.0, ,47-47,B. Adebayo misses 2-pt jump shot from 14 ft,,2,47,47,0,1100.0
5:37.0, ,47-47,Offensive rebound by J. Jaquez,,2,47,47,0,1103.0
5:35.0, ,47-47,D. Robinson misses 3-pt jump shot from 27 ft,,2,47,47,0,1105.0
5:35.0,Defensive rebound by A. Davis,47-47, ,,2,47,47,0,1105.0
5:18.0,T. Prince misses 2-pt jump shot from 14 ft,47-47, ,,2,47,47,0,1122.0
5:15.0, ,47-47,Defensive rebound by K. Lowry,,2,47,47,0,1125.0
5:11.0, ,47-47,B. Adebayo misses 2-pt jump shot from 15 ft,,2,47,47,0,1129.0
5:07.0,Defensive rebound by C. Reddish,47-47, ,,2,47,47,0,1133.0
5:06.0,Turnover by C. Reddish (lost ball; steal by K. Lowry),47-47, ,,2,47,47,0,1134.0
4:58.0, ,47-49,J. Butler makes 2-pt jump shot from 6 ft (assist by J. Jaquez),,2,49,47,2,1142.0
4:36.0,D. Russell makes 2-pt jump shot from 13 ft,49-49, ,Tie,2,49,49,0,1164.0
4:17.0, ,49-49,Offensive foul by B. Adebayo (drawn by T. Prince),,2,49,49,0,1183.0
4:17.0, ,49-49,Turnover by B. Adebayo (offensive foul),,2,49,49,0,1183.0
4:03.0,A. Davis misses 2-pt hook shot from 4 ft,49-49, ,,2,49,49,0,1197.0
3:59.0, ,49-49,Defensive rebound by J. Jaquez,,2,49,49,0,1201.0
3:46.0, ,49-49,Personal foul by A. Davis (drawn by B. Adebayo),,2,49,49,0,1214.0
3:40.0, ,49-51,J. Butler makes 2-pt layup from 1 ft (assist by B. Adebayo),,2,51,49,2,1220.0
3:18.0,T. Prince makes 3-pt jump shot from 26 ft (assist by M. Christie),52-51, ,Lead change,2,51,52,-1,1242.0
3:00.0, ,52-51,Def 3 sec tech foul by Team,,2,51,52,-1,1260.0
3:00.0, ,52-52,J. Butler makes technical free throw,Tie,2,52,52,0,1260.0
3:00.0,L. James enters the game for M. Christie,52-52, ,,2,52,52,0,1260.0
3:00.0,A. Reaves enters the game for T. Prince,52-52, ,,2,52,52,0,1260.0
3:00.0, ,52-52,H. Highsmith enters the game for J. Jaquez,,2,52,52,0,1260.0
2:46.0, ,52-52,B. Adebayo misses 2-pt jump shot from 17 ft,,2,52,52,0,1274.0
2:44.0, ,52-52,Offensive rebound by J. Butler,,2,52,52,0,1276.0
2:38.0, ,52-54,K. Lowry makes 2-pt layup from 2 ft,Lead change,2,54,52,2,1282.0
2:29.0,C. Reddish misses 2-pt layup from 2 ft (block by B. Adebayo),52-54, ,,2,54,52,2,1291.0
2:25.0, ,52-54,Defensive rebound by D. Robinson,,2,54,52,2,1295.0
2:23.0, ,52-54,H. Highsmith misses 3-pt jump shot from 24 ft,,2,54,52,2,1297.0
2:18.0,Defensive rebound by A. Davis,52-54, ,,2,54,52,2,1302.0
2:17.0,LA Lakers full timeout,52-54, ,,2,54,52,2,1303.0
2:17.0,C. Wood enters the game for A. Davis,52-54, ,,2,54,52,2,1303.0
2:17.0, ,52-54,T. Herro enters the game for D. Robinson,,2,54,52,2,1303.0
2:08.0,C. Wood makes 3-pt jump shot from 26 ft (assist by A. Reaves),55-54, ,Lead change,2,54,55,-1,1312.0
1:41.0, ,55-57,H. Highsmith makes 3-pt jump shot from 24 ft (assist by J. Butler),Lead change,2,57,55,2,1339.0
1:22.0,A. Reaves makes 2-pt layup from 1 ft (assist by L. James),57-57, ,Tie,2,57,57,0,1358.0
1:01.0, ,57-59,B. Adebayo makes 2-pt hook shot from 6 ft (assist by J. Butler),,2,59,57,2,1379.0
0:48.0,C. Wood misses 3-pt jump shot from 27 ft,57-59, ,,2,59,57,2,1392.0
0:46.0,Offensive rebound by C. Reddish,57-59, ,,2,59,57,2,1394.0
0:46.0,Turnover by C. Reddish (step out of bounds),57-59, ,,2,59,57,2,1394.0
0:27.0, ,57-62,K. Lowry makes 3-pt jump shot from 26 ft (assist by J. Butler),,2,62,57,5,1413.0
0:03.0,L. James misses 3-pt jump shot from 27 ft,57-62, ,,2,62,57,5,1437.0
0:03.0,Offensive rebound by A. Reaves,57-62, ,,2,62,57,5,1437.0
0:03.0,A. Reaves makes 2-pt dunk at rim,59-62, ,,2,62,59,3,1437.0
0:00.0, ,59-62,K. Lowry misses 3-pt jump shot from 29 ft,,2,62,59,3,1440.0
0:00.0, ,59-62,Offensive rebound by Team,,2,62,59,3,1440.0
0:00.0,End of 2nd quarter,59-62,,,2,62,59,3,1440.0
12:00.0,Start of 3rd quarter,59-62,,,3,62,59,3,1440.0
11:35.0,T. Prince makes 2-pt jump shot from 7 ft (assist by A. Davis),61-62, ,,3,62,61,1,1465.0
11:17.0, ,61-62,T. Herro misses 3-pt jump shot from 24 ft,,3,62,61,1,1483.0
11:15.0,Defensive rebound by D. Russell,61-62, ,,3,62,61,1,1485.0
11:05.0,D. Russell makes 2-pt layup from 2 ft,63-62, ,Lead change,3,62,63,-1,1495.0
10:54.0, ,63-65,J. Butler makes 3-pt jump shot from 23 ft,Lead change,3,65,63,2,1506.0
10:37.0,T. Prince makes 2-pt layup from 2 ft (assist by A. Reaves),65-65, ,Tie,3,65,65,0,1523.0
10:28.0, ,65-65,H. Highsmith misses 3-pt jump shot from 24 ft,,3,65,65,0,1532.0
10:25.0,Defensive rebound by A. Reaves,65-65, ,,3,65,65,0,1535.0
10:21.0,T. Prince misses 3-pt jump shot from 25 ft,65-65, ,,3,65,65,0,1539.0
10:16.0, ,65-65,Defensive rebound by B. Adebayo,,3,65,65,0,1544.0
10:07.0, ,65-67,B. Adebayo makes 2-pt jump shot from 11 ft (assist by J. Butler),,3,67,65,2,1553.0
10:01.0,LA Lakers full timeout,65-67, ,,3,67,65,2,1559.0
10:01.0,C. Wood enters the game for A. Davis,65-67, ,,3,67,65,2,1559.0
9:52.0,L. James misses 2-pt jump shot from 10 ft,65-67, ,,3,67,65,2,1568.0
9:48.0, ,65-67,Defensive rebound by T. Herro,,3,67,65,2,1572.0
9:39.0, ,65-69,T. Herro makes 2-pt jump shot from 8 ft,,3,69,65,4,1581.0
9:26.0,D. Russell makes 2-pt jump shot from 12 ft,67-69, ,,3,69,67,2,1594.0
9:07.0, ,67-69,Turnover by T. Herro (lost ball; steal by L. James),,3,69,67,2,1613.0
9:03.0,L. James makes 2-pt dunk from 3 ft (assist by D. Russell),69-69, ,Tie,3,69,69,0,1617.0
8:44.0, ,69-69,H. Highsmith misses 3-pt jump shot from 27 ft,,3,69,69,0,1636.0
8:44.0, ,69-69,Offensive rebound by B. Adebayo,,3,69,69,0,1636.0
8:42.0, ,69-71,B. Adebayo makes 2-pt layup from 3 ft,,3,71,69,2,1638.0
8:42.0, ,69-71,Shooting foul by A. Reaves (drawn by B. Adebayo),,3,71,69,2,1638.0
8:42.0, ,69-72,B. Adebayo makes free throw 1 of 1,,3,72,69,3,1638.0
8:26.0,Turnover by A. Reaves (bad pass; steal by T. Herro),69-72, ,,3,72,69,3,1654.0
8:17.0, ,69-72,Turnover by J. Butler (bad pass; steal by T. Prince),,3,72,69,3,1663.0
8:11.0,L. James makes 2-pt dunk from 2 ft (assist by T. Prince),71-72, ,,3,72,71,1,1669.0
7:54.0, ,71-72,Personal foul by T. Prince (drawn by T. Herro),,3,72,71,1,1686.0
7:45.0, ,71-72,Turnover by T. Herro (bad pass),,3,72,71,1,1695.0
7:32.0,Personal foul by H. Highsmith (drawn by D. Russell),71-72, ,,3,72,71,1,1708.0
7:29.0,C. Wood misses 2-pt jump shot from 19 ft,71-72, ,,3,72,71,1,1711.0
7:25.0,Offensive rebound by A. Reaves,71-72, ,,3,72,71,1,1715.0
7:23.0,D. Russell misses 3-pt jump shot from 25 ft,71-72, ,,3,72,71,1,1717.0
7:19.0, ,71-72,Defensive rebound by B. Adebayo,,3,72,71,1,1721.0
7:14.0, ,71-72,Personal foul by L. James (drawn by B. Adebayo),,3,72,71,1,1726.0
7:14.0,A. Davis enters the game for C. Wood,71-72, ,,3,72,71,1,1726.0
7:08.0, ,71-75,J. Butler makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,3,75,71,4,1732.0
6:52.0,L. James misses 3-pt jump shot from 26 ft,71-75, ,,3,75,71,4,1748.0
6:52.0, ,71-75,Defensive rebound by Team,,3,75,71,4,1748.0
6:30.0, ,71-75,B. Adebayo misses 2-pt jump shot from 6 ft,,3,75,71,4,1770.0
6:30.0,Defensive rebound by A. Reaves,71-75, ,,3,75,71,4,1770.0
6:24.0,A. Reaves makes 3-pt jump shot from 28 ft,74-75, ,,3,75,74,1,1776.0
6:01.0, ,74-75,T. Herro misses 3-pt jump shot from 26 ft,,3,75,74,1,1799.0
5:54.0, ,74-75,Offensive rebound by B. Adebayo,,3,75,74,1,1806.0
5:51.0, ,74-75,B. Adebayo misses 2-pt layup from 3 ft (block by L. James),,3,75,74,1,1809.0
5:45.0, ,74-75,Offensive rebound by T. Herro,,3,75,74,1,1815.0
5:44.0, ,74-77,T. Herro makes 2-pt layup from 2 ft,,3,77,74,3,1816.0
5:37.0,A. Davis misses 2-pt layup from 2 ft,74-77, ,,3,77,74,3,1823.0
5:33.0, ,74-77,Defensive rebound by T. Herro,,3,77,74,3,1827.0
5:31.0, ,74-79,B. Adebayo makes 2-pt dunk from 2 ft (assist by T. Herro),,3,79,74,5,1829.0
5:31.0,LA Lakers full timeout,74-79, ,,3,79,74,5,1829.0
5:31.0,M. Christie enters the game for L. James,74-79, ,,3,79,74,5,1829.0
5:31.0,C. Reddish enters the game for T. Prince,74-79, ,,3,79,74,5,1829.0
5:31.0,C. Wood enters the game for D. Russell,74-79, ,,3,79,74,5,1829.0
5:31.0, ,74-79,D. Robinson enters the game for T. Herro,,3,79,74,5,1829.0
5:21.0,C. Wood misses 2-pt jump shot from 20 ft,74-79, ,,3,79,74,5,1839.0
5:17.0, ,74-79,Defensive rebound by B. Adebayo,,3,79,74,5,1843.0
5:04.0, ,74-81,B. Adebayo makes 2-pt jump shot from 12 ft (assist by K. Lowry),,3,81,74,7,1856.0
4:42.0,Turnover by A. Davis (bad pass; steal by D. Robinson),74-81, ,,3,81,74,7,1878.0
4:29.0, ,74-83,D. Robinson makes 2-pt layup from 2 ft (assist by K. Lowry),,3,83,74,9,1891.0
4:17.0,Turnover by C. Wood (lost ball; steal by J. Butler),74-83, ,,3,83,74,9,1903.0
4:04.0, ,74-85,J. Butler makes 2-pt hook shot from 6 ft,,3,85,74,11,1916.0
3:49.0,Shooting foul by K. Lowry (drawn by C. Wood),74-85, ,,3,85,74,11,1931.0
3:49.0,C. Wood misses free throw 1 of 2,74-85, ,,3,85,74,11,1931.0
3:49.0,Offensive rebound by Team,74-85, ,,3,85,74,11,1931.0
3:49.0,C. Wood makes free throw 2 of 2,75-85, ,,3,85,75,10,1931.0
3:38.0, ,75-85,K. Lowry misses 3-pt jump shot from 24 ft,,3,85,75,10,1942.0
3:33.0,Defensive rebound by C. Wood,75-85, ,,3,85,75,10,1947.0
3:24.0,Turnover by A. Reaves (bad pass; steal by H. Highsmith),75-85, ,,3,85,75,10,1956.0
3:16.0, ,75-85,B. Adebayo misses 2-pt dunk from 1 ft,,3,85,75,10,1964.0
3:12.0, ,75-85,Offensive rebound by K. Lowry,,3,85,75,10,1968.0
3:11.0, ,75-87,H. Highsmith makes 2-pt jump shot from 20 ft (assist by K. Lowry),,3,87,75,12,1969.0
2:49.0,C. Reddish misses 2-pt jump shot from 11 ft,75-87, ,,3,87,75,12,1991.0
2:45.0, ,75-87,Defensive rebound by B. Adebayo,,3,87,75,12,1995.0
2:39.0, ,75-87,D. Robinson misses 2-pt jump shot from 22 ft,,3,87,75,12,2001.0
2:35.0,Defensive rebound by A. Reaves,75-87, ,,3,87,75,12,2005.0
2:27.0,A. Reaves misses 3-pt jump shot from 25 ft,75-87, ,,3,87,75,12,2013.0
2:23.0, ,75-87,Defensive rebound by B. Adebayo,,3,87,75,12,2017.0
2:01.0, ,75-87,J. Butler misses 2-pt jump shot from 13 ft,,3,87,75,12,2039.0
1:58.0,Defensive rebound by C. Reddish,75-87, ,,3,87,75,12,2042.0
1:45.0,C. Wood misses 3-pt jump shot from 28 ft,75-87, ,,3,87,75,12,2055.0
1:42.0, ,75-87,Defensive rebound by B. Adebayo,,3,87,75,12,2058.0
1:41.0, ,75-87,Turnover by B. Adebayo (bad pass),,3,87,75,12,2059.0
1:41.0,L. James enters the game for A. Davis,75-87, ,,3,87,75,12,2059.0
1:41.0,D. Russell enters the game for A. Reaves,75-87, ,,3,87,75,12,2059.0
