Time,Miami,Score,Charlotte,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:05.0, ,29-36,L. Black enters the game for L. Ball,,2,29,36,-7,955.0
8:05.0, ,29-36,T. Maledon enters the game for B. McGowens,,2,29,36,-7,955.0
8:05.0,J. Richardson makes free throw 2 of 2,30-36, ,,2,30,36,-6,955.0
7:40.0, ,30-36,L. Black misses 2-pt layup from 5 ft (block by B. Adebayo),,2,30,36,-6,980.0
7:36.0,Defensive rebound by D. Robinson,30-36, ,,2,30,36,-6,984.0
7:34.0,Shooting foul by N. Richards (drawn by B. Adebayo),30-36, ,,2,30,36,-6,986.0
7:34.0,B. Adebayo makes free throw 1 of 2,31-36, ,,2,31,36,-5,986.0
7:34.0, ,31-36,M. Williams enters the game for N. Richards,,2,31,36,-5,986.0
7:34.0,B. Adebayo misses free throw 2 of 2,31-36, ,,2,31,36,-5,986.0
7:32.0, ,31-36,Defensive rebound by M. Williams,,2,31,36,-5,988.0
7:10.0, ,31-36,T. Maledon misses 2-pt jump shot from 12 ft (block by H. Highsmith),,2,31,36,-5,1010.0
7:07.0,Defensive rebound by D. Robinson,31-36, ,,2,31,36,-5,1013.0
6:59.0,H. Highsmith makes 2-pt dunk from 2 ft (assist by B. Adebayo),33-36, ,,2,33,36,-3,1021.0
6:59.0, ,33-36,Charlotte full timeout,,2,33,36,-3,1021.0
6:47.0, ,33-36,Turnover by P. Washington (lost ball; steal by H. Highsmith),,2,33,36,-3,1033.0
6:43.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by J. Richardson),35-36, ,,2,35,36,-1,1037.0
6:33.0, ,35-36,L. Black misses 3-pt jump shot from 23 ft,,2,35,36,-1,1047.0
6:33.0,Defensive rebound by D. Robinson,35-36, ,,2,35,36,-1,1047.0
6:26.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by B. Adebayo),38-36, ,Lead change,2,38,36,2,1054.0
6:10.0, ,38-36,T. Maledon misses 2-pt layup from 5 ft,,2,38,36,2,1070.0
6:10.0, ,38-36,Offensive rebound by M. Williams,,2,38,36,2,1070.0
6:02.0, ,38-38,M. Williams makes 2-pt dunk from 3 ft,Tie,2,38,38,0,1078.0
