Time,Miami,Score,Cleveland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:26.0, ,19-14,Defensive rebound by C. LeVert,,1,19,14,5,394.0
5:17.0, ,19-16,E. Mobley makes 2-pt layup from 1 ft (assist by C. LeVert),,1,19,16,3,403.0
5:17.0,Miami full timeout,19-16, ,,1,19,16,3,403.0
5:17.0,O. Robinson enters the game for T. Bryant,19-16, ,,1,19,16,3,403.0
5:04.0,Personal foul by D. Garland (drawn by J. Butler),19-16, ,,1,19,16,3,416.0
4:50.0,O. Robinson makes 2-pt layup from 1 ft (assist by H. Highsmith),21-16, ,,1,21,16,5,430.0
4:32.0, ,21-16,D. Garland misses 2-pt jump shot from 8 ft,,1,21,16,5,448.0
4:30.0,Defensive rebound by O. Robinson,21-16, ,,1,21,16,5,450.0
4:20.0,Shooting foul by T. Thompson (drawn by J. Butler),21-16, ,,1,21,16,5,460.0
4:20.0,J. Butler makes free throw 1 of 2,22-16, ,,1,22,16,6,460.0
4:20.0, ,22-16,G. Niang enters the game for M. Strus,,1,22,16,6,460.0
4:20.0,J. Butler misses free throw 2 of 2,22-16, ,,1,22,16,6,460.0
4:18.0, ,22-16,Defensive rebound by G. Niang,,1,22,16,6,462.0
4:09.0, ,22-16,Shooting foul by H. Highsmith (drawn by D. Garland),,1,22,16,6,471.0
4:09.0, ,22-17,D. Garland makes free throw 1 of 2,,1,22,17,5,471.0
4:09.0,C. Martin enters the game for H. Highsmith,22-17, ,,1,22,17,5,471.0
4:09.0, ,22-17,D. Garland misses free throw 2 of 2,,1,22,17,5,471.0
4:07.0,Defensive rebound by C. Martin,22-17, ,,1,22,17,5,473.0
3:57.0,Shooting foul by G. Niang (drawn by J. Butler),22-17, ,,1,22,17,5,483.0
3:57.0,J. Butler makes free throw 1 of 2,23-17, ,,1,23,17,6,483.0
3:57.0,J. Butler makes free throw 2 of 2,24-17, ,,1,24,17,7,483.0
3:57.0, ,24-17,J. Allen enters the game for D. Garland,,1,24,17,7,483.0
3:57.0, ,24-17,S. Merrill enters the game for E. Mobley,,1,24,17,7,483.0
3:57.0, ,24-17,C. Porter enters the game for T. Thompson,,1,24,17,7,483.0
3:45.0, ,24-20,C. LeVert makes 3-pt jump shot from 24 ft (assist by C. Porter),,1,24,20,4,495.0
3:30.0,K. Lowry makes 3-pt jump shot from 23 ft (assist by J. Butler),27-20, ,,1,27,20,7,510.0
3:16.0, ,27-20,Turnover by C. Porter (bad pass; steal by O. Robinson),,1,27,20,7,524.0
3:13.0,O. Robinson makes 2-pt dunk from 1 ft,29-20, ,,1,29,20,9,527.0
3:00.0, ,29-20,Offensive foul by S. Merrill (drawn by K. Lowry),,1,29,20,9,540.0
3:00.0, ,29-20,Turnover by S. Merrill (offensive foul),,1,29,20,9,540.0
2:39.0,Offensive foul by J. Jaquez (drawn by S. Merrill),29-20, ,,1,29,20,9,561.0
2:39.0,Turnover by J. Jaquez (offensive foul),29-20, ,,1,29,20,9,561.0
2:24.0, ,29-20,C. LeVert misses 2-pt jump shot from 11 ft,,1,29,20,9,576.0
2:21.0,Defensive rebound by J. Butler,29-20, ,,1,29,20,9,579.0
2:16.0,K. Lowry misses 3-pt jump shot from 32 ft,29-20, ,,1,29,20,9,584.0
2:12.0, ,29-20,Defensive rebound by J. Allen,,1,29,20,9,588.0
2:02.0, ,29-20,Shooting foul by O. Robinson (drawn by C. LeVert),,1,29,20,9,598.0
2:02.0, ,29-21,C. LeVert makes free throw 1 of 2,,1,29,21,8,598.0
2:02.0,J. Richardson enters the game for K. Lowry,29-21, ,,1,29,21,8,598.0
2:02.0, ,29-22,C. LeVert makes free throw 2 of 2,,1,29,22,7,598.0
1:40.0,J. Richardson misses 3-pt jump shot from 25 ft,29-22, ,,1,29,22,7,620.0
1:37.0, ,29-22,Defensive rebound by J. Allen,,1,29,22,7,623.0
1:37.0,D. Robinson enters the game for J. Butler,29-22, ,,1,29,22,7,623.0
1:23.0, ,29-24,C. LeVert makes 2-pt jump shot from 9 ft,,1,29,24,5,637.0
1:12.0,D. Robinson misses 2-pt jump shot from 6 ft,29-24, ,,1,29,24,5,648.0
1:11.0,Offensive rebound by O. Robinson,29-24, ,,1,29,24,5,649.0
1:09.0,O. Robinson makes 2-pt layup at rim,31-24, ,,1,31,24,7,651.0
0:52.0, ,31-26,C. LeVert makes 2-pt jump shot from 10 ft (assist by J. Allen),,1,31,26,5,668.0
0:46.0,Personal foul by C. Porter (drawn by J. Richardson),31-26, ,,1,31,26,5,674.0
0:46.0,J. Richardson makes free throw 1 of 2,32-26, ,,1,32,26,6,674.0
0:46.0, ,32-26,D. Garland enters the game for C. Porter,,1,32,26,6,674.0
0:46.0,J. Richardson makes free throw 2 of 2,33-26, ,,1,33,26,7,674.0
0:30.0, ,33-26,C. LeVert misses 3-pt jump shot from 25 ft,,1,33,26,7,690.0
0:30.0,Defensive rebound by Team,33-26, ,,1,33,26,7,690.0
0:14.0,C. Martin makes 2-pt jump shot from 20 ft,35-26, ,,1,35,26,9,706.0
0:03.0, ,35-26,Turnover by D. Garland (lost ball; steal by J. Richardson),,1,35,26,9,717.0
0:00.0,Shooting foul by S. Merrill (drawn by C. Martin),35-26, ,,1,35,26,9,720.0
0:00.0,Instant Replay (Request: Ruling Stands),35-26, ,,1,35,26,9,720.0
0:00.0,C. Martin makes free throw 1 of 2,36-26, ,,1,36,26,10,720.0
0:00.0,C. Martin makes free throw 2 of 2,37-26, ,,1,37,26,11,720.0
0:00.0,End of 1st quarter,37-26,,,1,37,26,11,720.0
12:00.0,Start of 2nd quarter,37-26,,,2,37,26,11,720.0
11:46.0,Turnover by J. Jaquez (bad pass),37-26, ,,2,37,26,11,734.0
11:30.0, ,37-26,Turnover by M. Strus (bad pass; steal by C. Martin),,2,37,26,11,750.0
11:23.0,C. Martin misses 2-pt layup from 5 ft (block by C. LeVert),37-26, ,,2,37,26,11,757.0
11:23.0,Offensive rebound by Team,37-26, ,,2,37,26,11,757.0
11:14.0,J. Jaquez makes 2-pt jump shot from 8 ft,39-26, ,,2,39,26,13,766.0
10:55.0, ,39-26,Shooting foul by O. Robinson (drawn by J. Allen),,2,39,26,13,785.0
10:55.0, ,39-27,J. Allen makes free throw 1 of 2,,2,39,27,12,785.0
10:55.0, ,39-28,J. Allen makes free throw 2 of 2,,2,39,28,11,785.0
10:42.0,J. Jaquez makes 2-pt hook shot from 7 ft,41-28, ,,2,41,28,13,798.0
10:19.0, ,41-28,C. LeVert misses 2-pt jump shot from 12 ft,,2,41,28,13,821.0
10:17.0,Defensive rebound by J. Jaquez,41-28, ,,2,41,28,13,823.0
10:12.0,J. Jaquez misses 2-pt dunk from 3 ft,41-28, ,,2,41,28,13,828.0
10:10.0, ,41-28,Defensive rebound by C. LeVert,,2,41,28,13,830.0
10:08.0, ,41-28,Turnover by C. LeVert (step out of bounds),,2,41,28,13,832.0
9:54.0,J. Jaquez misses 2-pt jump shot from 19 ft,41-28, ,,2,41,28,13,846.0
9:51.0,Offensive rebound by O. Robinson,41-28, ,,2,41,28,13,849.0
9:49.0,O. Robinson makes 2-pt layup from 2 ft,43-28, ,,2,43,28,15,851.0
9:49.0, ,43-28,T. Thompson enters the game for J. Allen,,2,43,28,15,851.0
9:41.0,Jump ball: C. LeVert vs. J. Richardson (C. Porter gains possession),43-28,,,2,43,28,15,859.0
9:34.0, ,43-28,Turnover by C. Porter (bad pass; steal by C. Martin),,2,43,28,15,866.0
9:32.0,C. Martin makes 2-pt dunk from 1 ft,45-28, ,,2,45,28,17,868.0
9:23.0, ,45-31,G. Niang makes 3-pt jump shot from 26 ft (assist by C. Porter),,2,45,31,14,877.0
9:18.0,Shooting foul by G. Niang (drawn by J. Jaquez),45-31, ,,2,45,31,14,882.0
9:18.0,J. Jaquez makes free throw 1 of 2,46-31, ,,2,46,31,15,882.0
9:18.0, ,46-31,D. Garland enters the game for C. LeVert,,2,46,31,15,882.0
9:18.0,J. Jaquez makes free throw 2 of 2,47-31, ,,2,47,31,16,882.0
9:06.0, ,47-31,Personal foul by D. Robinson (drawn by C. Porter),,2,47,31,16,894.0
9:06.0,D. Smith enters the game for D. Robinson,47-31, ,,2,47,31,16,894.0
8:53.0, ,47-31,Turnover by M. Strus (traveling),,2,47,31,16,907.0
8:39.0,J. Jaquez misses 2-pt jump shot from 9 ft,47-31, ,,2,47,31,16,921.0
8:39.0,Offensive rebound by Team,47-31, ,,2,47,31,16,921.0
8:39.0, ,47-31,E. Mobley enters the game for C. Porter,,2,47,31,16,921.0
8:33.0,J. Richardson misses 2-pt layup from 2 ft,47-31, ,,2,47,31,16,927.0
8:32.0, ,47-31,Defensive rebound by T. Thompson,,2,47,31,16,928.0
8:19.0, ,47-34,M. Strus makes 3-pt jump shot from 23 ft (assist by G. Niang),,2,47,34,13,941.0
8:03.0,C. Martin misses 3-pt jump shot from 26 ft,47-34, ,,2,47,34,13,957.0
8:00.0, ,47-34,Defensive rebound by D. Garland,,2,47,34,13,960.0
7:59.0, ,47-34,Personal foul by D. Smith (drawn by D. Garland),,2,47,34,13,961.0
7:54.0, ,47-34,M. Strus misses 3-pt jump shot from 23 ft,,2,47,34,13,966.0
7:51.0,Defensive rebound by J. Jaquez,47-34, ,,2,47,34,13,969.0
7:46.0,Turnover by J. Jaquez (bad pass; steal by D. Garland),47-34, ,,2,47,34,13,974.0
7:45.0, ,47-36,D. Garland makes 2-pt layup at rim,,2,47,36,11,975.0
7:45.0,Miami full timeout,47-36, ,,2,47,36,11,975.0
7:45.0,K. Lowry enters the game for D. Smith,47-36, ,,2,47,36,11,975.0
7:20.0,K. Lowry makes 2-pt jump shot from 6 ft (assist by J. Richardson),49-36, ,,2,49,36,13,1000.0
7:11.0, ,49-38,E. Mobley makes 2-pt hook shot from 8 ft (assist by D. Garland),,2,49,38,11,1009.0
7:03.0,C. Martin makes 3-pt jump shot from 24 ft (assist by J. Richardson),52-38, ,,2,52,38,14,1017.0
6:46.0, ,52-41,G. Niang makes 3-pt jump shot from 30 ft (assist by M. Strus),,2,52,41,11,1034.0
6:26.0,Personal foul by G. Niang (drawn by J. Richardson),52-41, ,,2,52,41,11,1054.0
6:26.0,J. Butler enters the game for C. Martin,52-41, ,,2,52,41,11,1054.0
6:26.0, ,52-41,C. LeVert enters the game for M. Strus,,2,52,41,11,1054.0
6:12.0,J. Butler makes 2-pt jump shot from 21 ft,54-41, ,,2,54,41,13,1068.0
5:49.0, ,54-41,G. Niang misses 2-pt jump shot from 4 ft,,2,54,41,13,1091.0
5:44.0, ,54-41,Offensive rebound by G. Niang,,2,54,41,13,1096.0
5:43.0, ,54-41,G. Niang misses 2-pt hook shot from 4 ft,,2,54,41,13,1097.0
5:40.0,Defensive rebound by O. Robinson,54-41, ,,2,54,41,13,1100.0
5:23.0,Turnover by O. Robinson (traveling),54-41, ,,2,54,41,13,1117.0
5:23.0,T. Bryant enters the game for O. Robinson,54-41, ,,2,54,41,13,1117.0
5:23.0, ,54-41,J. Allen enters the game for T. Thompson,,2,54,41,13,1117.0
5:04.0, ,54-41,G. Niang misses 2-pt jump shot from 21 ft,,2,54,41,13,1136.0
5:01.0,Defensive rebound by K. Lowry,54-41, ,,2,54,41,13,1139.0
4:56.0,K. Lowry misses 3-pt jump shot from 26 ft,54-41, ,,2,54,41,13,1144.0
4:52.0,Offensive rebound by J. Richardson,54-41, ,,2,54,41,13,1148.0
4:48.0,J. Jaquez makes 3-pt jump shot from 25 ft (assist by J. Richardson),57-41, ,,2,57,41,16,1152.0
4:26.0, ,57-41,Turnover by J. Allen (bad pass),,2,57,41,16,1174.0
4:26.0, ,57-41,Loose ball foul by J. Allen (drawn by K. Lowry),,2,57,41,16,1174.0
4:26.0, ,57-41,C. Porter enters the game for D. Garland,,2,57,41,16,1174.0
4:26.0, ,57-41,M. Strus enters the game for G. Niang,,2,57,41,16,1174.0
4:17.0,K. Lowry misses 2-pt layup from 4 ft (block by C. Porter),57-41, ,,2,57,41,16,1183.0
4:14.0, ,57-41,Defensive rebound by C. Porter,,2,57,41,16,1186.0
4:09.0, ,57-43,C. Porter makes 2-pt jump shot from 12 ft,,2,57,43,14,1191.0
3:57.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by J. Butler),60-43, ,,2,60,43,17,1203.0
3:40.0, ,60-43,Personal foul by T. Bryant (drawn by J. Allen),,2,60,43,17,1220.0
3:34.0, ,60-45,C. Porter makes 2-pt layup at rim (assist by J. Allen),,2,60,45,15,1226.0
3:34.0, ,60-45,Shooting foul by K. Lowry (drawn by C. Porter),,2,60,45,15,1226.0
3:34.0,C. Martin enters the game for J. Jaquez,60-45, ,,2,60,45,15,1226.0
3:34.0, ,60-46,C. Porter makes free throw 1 of 1,,2,60,46,14,1226.0
3:15.0,T. Bryant makes 2-pt hook shot from 5 ft,62-46, ,,2,62,46,16,1245.0
3:05.0, ,62-48,C. Porter makes 2-pt jump shot from 19 ft,,2,62,48,14,1255.0
2:52.0,C. Martin misses 2-pt jump shot from 5 ft (block by M. Strus),62-48, ,,2,62,48,14,1268.0
2:52.0, ,62-48,Defensive rebound by E. Mobley,,2,62,48,14,1268.0
2:50.0, ,62-48,Turnover by E. Mobley (bad pass; steal by J. Richardson),,2,62,48,14,1270.0
2:44.0,J. Richardson makes 2-pt jump shot from 9 ft (assist by J. Butler),64-48, ,,2,64,48,16,1276.0
2:22.0, ,64-48,Personal foul by K. Lowry (drawn by E. Mobley),,2,64,48,16,1298.0
2:22.0, ,64-48,Cleveland full timeout,,2,64,48,16,1298.0
2:22.0, ,64-48,D. Garland enters the game for C. LeVert,,2,64,48,16,1298.0
2:22.0, ,64-49,E. Mobley makes free throw 1 of 2,,2,64,49,15,1298.0
2:22.0, ,64-50,E. Mobley makes free throw 2 of 2,,2,64,50,14,1298.0
2:01.0,J. Richardson makes 3-pt jump shot from 29 ft (assist by J. Butler),67-50, ,,2,67,50,17,1319.0
1:38.0, ,67-50,D. Garland misses 3-pt jump shot from 28 ft,,2,67,50,17,1342.0
1:35.0, ,67-50,Offensive rebound by E. Mobley,,2,67,50,17,1345.0
1:34.0, ,67-50,Turnover by C. Porter (traveling),,2,67,50,17,1346.0
1:17.0,T. Bryant misses 2-pt dunk from 2 ft,67-50, ,,2,67,50,17,1363.0
1:16.0,Offensive rebound by T. Bryant,67-50, ,,2,67,50,17,1364.0
1:15.0,T. Bryant makes 2-pt layup at rim,69-50, ,,2,69,50,19,1365.0
1:00.0, ,69-52,E. Mobley makes 2-pt dunk at rim (assist by C. Porter),,2,69,52,17,1380.0
0:36.0,T. Bryant misses 2-pt jump shot from 8 ft,69-52, ,,2,69,52,17,1404.0
0:36.0,Offensive rebound by Team,69-52, ,,2,69,52,17,1404.0
0:36.0,Turnover by Team (shot clock),69-52, ,,2,69,52,17,1404.0
0:36.0,H. Highsmith enters the game for K. Lowry,69-52, ,,2,69,52,17,1404.0
0:19.0, ,69-55,M. Strus makes 3-pt jump shot from 23 ft (assist by D. Garland),,2,69,55,14,1421.0
0:02.0,J. Butler misses 3-pt jump shot from 23 ft,69-55, ,,2,69,55,14,1438.0
0:00.0,Offensive rebound by Team,69-55, ,,2,69,55,14,1440.0
0:00.0,End of 2nd quarter,69-55,,,2,69,55,14,1440.0
12:00.0,Start of 3rd quarter,69-55,,,3,69,55,14,1440.0
11:49.0,J. Butler makes 2-pt jump shot from 13 ft (assist by D. Robinson),71-55, ,,3,71,55,16,1451.0
11:29.0, ,71-55,E. Mobley misses 2-pt hook shot from 3 ft (block by H. Highsmith),,3,71,55,16,1471.0
11:27.0,Defensive rebound by T. Bryant,71-55, ,,3,71,55,16,1473.0
11:19.0,D. Robinson misses 2-pt layup from 2 ft (block by C. Porter),71-55, ,,3,71,55,16,1481.0
11:17.0, ,71-55,Defensive rebound by E. Mobley,,3,71,55,16,1483.0
11:09.0, ,71-57,C. Porter makes 2-pt layup from 3 ft (assist by E. Mobley),,3,71,57,14,1491.0
10:55.0,H. Highsmith misses 3-pt jump shot from 27 ft,71-57, ,,3,71,57,14,1505.0
10:55.0, ,71-57,Defensive rebound by E. Mobley,,3,71,57,14,1505.0
10:44.0, ,71-57,J. Allen misses 2-pt layup from 8 ft,,3,71,57,14,1516.0
10:41.0,Defensive rebound by T. Bryant,71-57, ,,3,71,57,14,1519.0
10:38.0,Shooting foul by D. Garland (drawn by K. Lowry),71-57, ,,3,71,57,14,1522.0
10:38.0,K. Lowry misses free throw 1 of 2,71-57, ,,3,71,57,14,1522.0
10:38.0,Offensive rebound by Team,71-57, ,,3,71,57,14,1522.0
10:38.0,K. Lowry makes free throw 2 of 2,72-57, ,,3,72,57,15,1522.0
10:24.0, ,72-57,C. Porter misses 3-pt jump shot from 23 ft,,3,72,57,15,1536.0
10:22.0,Defensive rebound by J. Butler,72-57, ,,3,72,57,15,1538.0
10:05.0,J. Butler misses 2-pt jump shot from 9 ft,72-57, ,,3,72,57,15,1555.0
10:03.0, ,72-57,Defensive rebound by J. Allen,,3,72,57,15,1557.0
9:53.0, ,72-59,D. Garland makes 2-pt jump shot from 8 ft,,3,72,59,13,1567.0
9:39.0,H. Highsmith makes 3-pt jump shot from 23 ft (assist by J. Butler),75-59, ,,3,75,59,16,1581.0
9:30.0, ,75-59,Offensive foul by D. Garland (drawn by D. Robinson),,3,75,59,16,1590.0
9:30.0, ,75-59,Turnover by D. Garland (offensive foul),,3,75,59,16,1590.0
9:11.0,T. Bryant misses 2-pt jump shot from 12 ft,75-59, ,,3,75,59,16,1609.0
9:07.0,Offensive rebound by J. Butler,75-59, ,,3,75,59,16,1613.0
9:02.0,J. Butler misses 3-pt jump shot from 26 ft,75-59, ,,3,75,59,16,1618.0
8:59.0, ,75-59,Defensive rebound by C. Porter,,3,75,59,16,1621.0
8:49.0, ,75-59,Turnover by D. Garland (bad pass; steal by H. Highsmith),,3,75,59,16,1631.0
8:33.0,T. Bryant makes 2-pt hook shot from 7 ft (assist by D. Robinson),77-59, ,,3,77,59,18,1647.0
8:09.0, ,77-59,C. Porter misses 2-pt layup from 1 ft,,3,77,59,18,1671.0
8:08.0,Defensive rebound by Team,77-59, ,,3,77,59,18,1672.0
7:50.0,D. Robinson makes 3-pt jump shot from 30 ft (assist by K. Lowry),80-59, ,,3,80,59,21,1690.0
7:25.0, ,80-59,Turnover by J. Allen (lost ball; steal by J. Butler),,3,80,59,21,1715.0
7:13.0,J. Butler misses 2-pt jump shot from 8 ft,80-59, ,,3,80,59,21,1727.0
7:10.0, ,80-59,Defensive rebound by M. Strus,,3,80,59,21,1730.0
7:04.0, ,80-62,D. Garland makes 3-pt jump shot from 24 ft (assist by C. Porter),,3,80,62,18,1736.0
6:52.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by J. Butler),83-62, ,,3,83,62,21,1748.0
6:38.0, ,83-62,Personal foul by T. Bryant (drawn by J. Allen),,3,83,62,21,1762.0
6:38.0, ,83-62,Cleveland full timeout,,3,83,62,21,1762.0
6:38.0, ,83-62,C. LeVert enters the game for J. Allen,,3,83,62,21,1762.0
6:38.0, ,83-62,T. Thompson enters the game for C. Porter,,3,83,62,21,1762.0
6:27.0, ,83-62,E. Mobley misses 2-pt jump shot from 6 ft,,3,83,62,21,1773.0
6:25.0,Defensive rebound by T. Bryant,83-62, ,,3,83,62,21,1775.0
6:16.0,D. Robinson makes 2-pt layup from 2 ft (assist by K. Lowry),85-62, ,,3,85,62,23,1784.0
5:52.0, ,85-64,D. Garland makes 2-pt jump shot from 20 ft (assist by M. Strus),,3,85,64,21,1808.0
5:23.0,J. Butler misses 2-pt jump shot from 18 ft,85-64, ,,3,85,64,21,1837.0
5:21.0, ,85-64,Defensive rebound by M. Strus,,3,85,64,21,1839.0
5:19.0, ,85-64,C. LeVert misses 2-pt layup from 1 ft,,3,85,64,21,1841.0
5:17.0, ,85-64,Offensive rebound by T. Thompson,,3,85,64,21,1843.0
5:17.0, ,85-64,T. Thompson misses 2-pt layup at rim,,3,85,64,21,1843.0
5:15.0,Defensive rebound by H. Highsmith,85-64, ,,3,85,64,21,1845.0
5:01.0,T. Bryant misses 2-pt hook shot from 7 ft,85-64, ,,3,85,64,21,1859.0
4:59.0, ,85-64,Defensive rebound by E. Mobley,,3,85,64,21,1861.0
4:49.0, ,85-64,Shooting foul by K. Lowry (drawn by T. Thompson),,3,85,64,21,1871.0
4:49.0, ,85-64,T. Thompson misses free throw 1 of 2,,3,85,64,21,1871.0
4:49.0, ,85-64,Offensive rebound by Team,,3,85,64,21,1871.0
4:49.0,J. Jaquez enters the game for D. Robinson,85-64, ,,3,85,64,21,1871.0
4:49.0, ,85-64,G. Niang enters the game for M. Strus,,3,85,64,21,1871.0
4:49.0, ,85-64,T. Thompson misses free throw 2 of 2,,3,85,64,21,1871.0
4:47.0,Defensive rebound by H. Highsmith,85-64, ,,3,85,64,21,1873.0
4:26.0,K. Lowry makes 2-pt jump shot from 18 ft,87-64, ,,3,87,64,23,1894.0
4:10.0, ,87-66,G. Niang makes 2-pt hook shot from 3 ft,,3,87,66,21,1910.0
3:46.0,K. Lowry misses 2-pt layup from 2 ft,87-66, ,,3,87,66,21,1934.0
3:44.0, ,87-66,Defensive rebound by E. Mobley,,3,87,66,21,1936.0
3:38.0, ,87-66,G. Niang misses 3-pt jump shot from 23 ft (block by J. Butler),,3,87,66,21,1942.0
3:38.0, ,87-66,Offensive rebound by Team,,3,87,66,21,1942.0
3:38.0,Loose ball foul by H. Highsmith (drawn by T. Thompson),87-66, ,,3,87,66,21,1942.0
3:38.0,O. Robinson enters the game for T. Bryant,87-66, ,,3,87,66,21,1942.0
3:38.0, ,87-66,E. Bates enters the game for E. Mobley,,3,87,66,21,1942.0
3:23.0, ,87-66,D. Garland misses 2-pt layup from 4 ft (block by J. Butler),,3,87,66,21,1957.0
3:23.0, ,87-66,Offensive rebound by Team,,3,87,66,21,1957.0
3:23.0,Miami full timeout,87-66, ,,3,87,66,21,1957.0
3:23.0,Instant Replay (Challenge: Ruling Stands),87-66, ,,3,87,66,21,1957.0
3:23.0,Jump ball: T. Thompson vs. O. Robinson (C. LeVert gains possession),87-66,,,3,87,66,21,1957.0
3:11.0, ,87-66,G. Niang misses 3-pt jump shot from 26 ft,,3,87,66,21,1969.0
3:11.0,Defensive rebound by J. Butler,87-66, ,,3,87,66,21,1969.0
2:57.0,J. Jaquez makes 2-pt layup from 7 ft,89-66, ,,3,89,66,23,1983.0
2:57.0,Shooting foul by E. Bates (drawn by J. Jaquez),89-66, ,,3,89,66,23,1983.0
2:57.0,J. Jaquez makes free throw 1 of 1,90-66, ,,3,90,66,24,1983.0
2:42.0, ,90-68,T. Thompson makes 2-pt dunk from 1 ft (assist by D. Garland),,3,90,68,22,1998.0
2:31.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by J. Butler),93-68, ,,3,93,68,25,2009.0
