Time,Houston,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:47.0,Shooting foul by N. Jović (drawn by J. Smith),73-79, ,,3,79,73,6,1873.0
4:47.0,J. Smith makes free throw 1 of 2,74-79, ,,3,79,74,5,1873.0
4:47.0,A. Sengun enters the game for J. Green,74-79, ,,3,79,74,5,1873.0
4:47.0,J. Smith makes free throw 2 of 2,75-79, ,,3,79,75,4,1873.0
4:37.0, ,75-82,N. Jović makes 3-pt jump shot from 26 ft,,3,82,75,7,1883.0
4:17.0,J. Tate misses 3-pt jump shot from 26 ft,75-82, ,,3,82,75,7,1903.0
4:12.0, ,75-82,Defensive rebound by J. Jaquez,,3,82,75,7,1908.0
4:09.0, ,75-85,T. Herro makes 3-pt jump shot from 26 ft (assist by N. Jović),,3,85,75,10,1911.0
3:51.0,F. VanVleet misses 3-pt jump shot from 25 ft,75-85, ,,3,85,75,10,1929.0
3:48.0, ,75-85,Defensive rebound by N. Jović,,3,85,75,10,1932.0
3:44.0, ,75-85,T. Herro misses 3-pt jump shot from 28 ft,,3,85,75,10,1936.0
3:42.0,Defensive rebound by J. Smith,75-85, ,,3,85,75,10,1938.0
3:38.0,Turnover by J. Green (bad pass; steal by N. Jović),75-85, ,,3,85,75,10,1942.0
3:31.0, ,75-85,D. Robinson misses 3-pt jump shot from 27 ft,,3,85,75,10,1949.0
3:27.0,Defensive rebound by A. Sengun,75-85, ,,3,85,75,10,1953.0
3:18.0,J. Smith misses 2-pt layup from 4 ft,75-85, ,,3,85,75,10,1962.0
3:17.0, ,75-85,Defensive rebound by J. Jaquez,,3,85,75,10,1963.0
3:11.0, ,75-85,Shooting foul by A. Sengun (drawn by N. Jović),,3,85,75,10,1969.0
3:11.0, ,75-85,N. Jović misses free throw 1 of 2,,3,85,75,10,1969.0
3:11.0, ,75-85,Offensive rebound by Team,,3,85,75,10,1969.0
3:11.0,J. Green enters the game for J. Green,75-85, ,,3,85,75,10,1969.0
3:11.0,A. Holiday enters the game for J. Smith,75-85, ,,3,85,75,10,1969.0
3:11.0,C. Whitmore enters the game for J. Tate,75-85, ,,3,85,75,10,1969.0
3:11.0, ,75-85,K. Love enters the game for B. Adebayo,,3,85,75,10,1969.0
3:11.0, ,75-85,J. Richardson enters the game for J. Jaquez,,3,85,75,10,1969.0
3:11.0, ,75-86,N. Jović makes free throw 2 of 2,,3,86,75,11,1969.0
2:55.0,A. Sengun makes 2-pt layup from 4 ft,77-86, ,,3,86,77,9,1985.0
2:55.0, ,77-86,Violation by Team (def goaltending),,3,86,77,9,1985.0
2:40.0, ,77-86,J. Richardson misses 3-pt jump shot from 26 ft,,3,86,77,9,2000.0
2:36.0,Defensive rebound by A. Holiday,77-86, ,,3,86,77,9,2004.0
2:23.0,C. Whitmore misses 3-pt jump shot from 26 ft,77-86, ,,3,86,77,9,2017.0
2:19.0, ,77-86,Defensive rebound by K. Love,,3,86,77,9,2021.0
2:19.0, ,77-86,D. Robinson misses 2-pt layup from 5 ft,,3,86,77,9,2021.0
2:18.0, ,77-86,Offensive rebound by T. Herro,,3,86,77,9,2022.0
2:18.0, ,77-86,T. Herro misses 2-pt layup at rim,,3,86,77,9,2022.0
2:17.0,Defensive rebound by A. Holiday,77-86, ,,3,86,77,9,2023.0
2:08.0,F. VanVleet makes 2-pt layup from 5 ft,79-86, ,,3,86,79,7,2032.0
2:08.0, ,79-86,Miami full timeout,,3,86,79,7,2032.0
2:08.0, ,79-86,Technical foul by T. Herro,,3,86,79,7,2032.0
2:08.0, ,79-86,H. Highsmith enters the game for N. Jović,,3,86,79,7,2032.0
2:08.0,F. VanVleet makes technical free throw,80-86, ,,3,86,80,6,2032.0
1:46.0, ,80-88,K. Love makes 2-pt layup from 5 ft (assist by T. Herro),,3,88,80,8,2054.0
1:27.0,C. Whitmore makes 2-pt dunk from 4 ft (assist by F. VanVleet),82-88, ,,3,88,82,6,2073.0
1:11.0, ,82-88,H. Highsmith misses 3-pt jump shot from 23 ft,,3,88,82,6,2089.0
1:09.0,Defensive rebound by C. Whitmore,82-88, ,,3,88,82,6,2091.0
0:58.0,Turnover by A. Sengun (out of bounds lost ball),82-88, ,,3,88,82,6,2102.0
0:58.0,A. Thompson enters the game for A. Sengun,82-88, ,,3,88,82,6,2102.0
0:47.0, ,82-88,Personal foul by C. Whitmore (drawn by K. Love),,3,88,82,6,2113.0
0:33.0, ,82-88,T. Herro misses 2-pt jump shot from 10 ft,,3,88,82,6,2127.0
0:30.0,Defensive rebound by C. Whitmore,82-88, ,,3,88,82,6,2130.0
0:12.0,Offensive foul by C. Whitmore (drawn by K. Love),82-88, ,,3,88,82,6,2148.0
0:12.0,Turnover by C. Whitmore (offensive foul),82-88, ,,3,88,82,6,2148.0
0:02.0, ,82-88,T. Herro misses 2-pt layup from 6 ft,,3,88,82,6,2158.0
0:01.0, ,82-88,Offensive rebound by K. Love,,3,88,82,6,2159.0
0:01.0, ,82-90,K. Love makes 2-pt layup from 4 ft,,3,90,82,8,2159.0
0:01.0, ,82-90,Shooting foul by J. Green (drawn by K. Love),,3,90,82,8,2159.0
0:01.0, ,82-91,K. Love makes free throw 1 of 1,,3,91,82,9,2159.0
0:00.0,End of 3rd quarter,82-91,,,3,91,82,9,2160.0
12:00.0,Start of 4th quarter,82-91,,,4,91,82,9,2160.0
11:47.0, ,82-91,Personal foul by A. Thompson (drawn by K. Love),,4,91,82,9,2173.0
11:43.0, ,82-91,D. Robinson misses 3-pt jump shot from 27 ft,,4,91,82,9,2177.0
11:39.0,Defensive rebound by C. Whitmore,82-91, ,,4,91,82,9,2181.0
11:32.0,J. Smith misses 3-pt jump shot from 25 ft,82-91, ,,4,91,82,9,2188.0
11:28.0, ,82-91,Defensive rebound by D. Robinson,,4,91,82,9,2192.0
11:25.0, ,82-93,B. Adebayo makes 2-pt dunk from 6 ft (assist by D. Robinson),,4,93,82,11,2195.0
11:24.0,Houston full timeout,82-93, ,,4,93,82,11,2196.0
11:07.0,C. Whitmore misses 2-pt layup from 4 ft,82-93, ,,4,93,82,11,2213.0
11:05.0, ,82-93,Defensive rebound by K. Love,,4,93,82,11,2215.0
11:02.0, ,82-93,Personal foul by C. Whitmore (drawn by J. Jaquez),,4,93,82,11,2218.0
10:46.0, ,82-96,J. Jaquez makes 3-pt jump shot from 24 ft (assist by D. Robinson),,4,96,82,14,2234.0
10:32.0,A. Thompson makes 2-pt layup from 3 ft,84-96, ,,4,96,84,12,2248.0
10:32.0,Shooting foul by D. Robinson (drawn by A. Thompson),84-96, ,,4,96,84,12,2248.0
10:32.0,A. Thompson makes free throw 1 of 1,85-96, ,,4,96,85,11,2248.0
10:23.0, ,85-96,Personal foul by J. Smith (drawn by K. Love),,4,96,85,11,2257.0
10:11.0, ,85-96,Turnover by B. Adebayo (lost ball; steal by A. Thompson),,4,96,85,11,2269.0
10:07.0,C. Whitmore makes 2-pt dunk from 3 ft (assist by A. Thompson),87-96, ,,4,96,87,9,2273.0
9:48.0, ,87-98,J. Richardson makes 2-pt layup from 6 ft,,4,98,87,11,2292.0
9:30.0,J. Smith misses 2-pt jump shot from 18 ft,87-98, ,,4,98,87,11,2310.0
9:27.0, ,87-98,Defensive rebound by B. Adebayo,,4,98,87,11,2313.0
9:14.0, ,87-100,B. Adebayo makes 2-pt jump shot from 13 ft (assist by K. Love),,4,100,87,13,2326.0
8:59.0,Def 3 sec tech foul by Team,87-100, ,,4,100,87,13,2341.0
8:59.0,A. Holiday makes technical free throw,88-100, ,,4,100,88,12,2341.0
8:51.0,Turnover by A. Thompson (bad pass; steal by J. Jaquez),88-100, ,,4,100,88,12,2349.0
8:47.0, ,88-103,D. Robinson makes 3-pt jump shot from 26 ft (assist by J. Jaquez),,4,103,88,15,2353.0
8:37.0,Personal foul by D. Robinson (drawn by J. Smith),88-103, ,,4,103,88,15,2363.0
8:37.0,J. Tate enters the game for J. Green,88-103, ,,4,103,88,15,2363.0
8:30.0,A. Holiday makes 2-pt jump shot from 10 ft,90-103, ,,4,103,90,13,2370.0
8:11.0, ,90-103,B. Adebayo misses 2-pt layup from 8 ft (block by A. Thompson),,4,103,90,13,2389.0
8:08.0,Defensive rebound by A. Holiday,90-103, ,,4,103,90,13,2392.0
8:08.0,Shooting foul by D. Robinson (drawn by A. Holiday),90-103, ,,4,103,90,13,2392.0
8:08.0,A. Holiday makes free throw 1 of 2,91-103, ,,4,103,91,12,2392.0
8:08.0,F. VanVleet enters the game for A. Thompson,91-103, ,,4,103,91,12,2392.0
8:08.0,A. Holiday makes free throw 2 of 2,92-103, ,,4,103,92,11,2392.0
7:59.0, ,92-105,B. Adebayo makes 2-pt layup from 6 ft (assist by D. Robinson),,4,105,92,13,2401.0
7:59.0, ,92-105,Shooting foul by F. VanVleet (drawn by B. Adebayo),,4,105,92,13,2401.0
7:59.0, ,92-106,B. Adebayo makes free throw 1 of 1,,4,106,92,14,2401.0
7:48.0,F. VanVleet makes 3-pt jump shot from 27 ft,95-106, ,,4,106,95,11,2412.0
7:32.0, ,95-106,Personal foul by A. Holiday (drawn by B. Adebayo),,4,106,95,11,2428.0
7:32.0, ,95-107,B. Adebayo makes free throw 1 of 2,,4,107,95,12,2428.0
7:32.0,A. Sengun enters the game for C. Whitmore,95-107, ,,4,107,95,12,2428.0
7:32.0, ,95-108,B. Adebayo makes free throw 2 of 2,,4,108,95,13,2428.0
7:18.0, ,95-108,Violation by Team (kicked ball),,4,108,95,13,2442.0
7:11.0,J. Smith misses 3-pt jump shot from 26 ft,95-108, ,,4,108,95,13,2449.0
7:10.0, ,95-108,Defensive rebound by B. Adebayo,,4,108,95,13,2450.0
7:02.0, ,95-108,Turnover by D. Robinson (out of bounds lost ball),,4,108,95,13,2458.0
7:02.0, ,95-108,Miami full timeout,,4,108,95,13,2458.0
7:02.0, ,95-108,Instant Replay (Challenge: Ruling Stands),,4,108,95,13,2458.0
6:49.0,J. Smith misses 3-pt jump shot from 26 ft,95-108, ,,4,108,95,13,2471.0
6:46.0, ,95-108,Defensive rebound by D. Robinson,,4,108,95,13,2474.0
6:31.0, ,95-108,Turnover by J. Jaquez (bad pass; steal by A. Sengun),,4,108,95,13,2489.0
6:20.0,F. VanVleet misses 3-pt jump shot from 24 ft,95-108, ,,4,108,95,13,2500.0
6:12.0,Offensive rebound by A. Sengun,95-108, ,,4,108,95,13,2508.0
6:12.0,A. Sengun makes 2-pt layup at rim,97-108, ,,4,108,97,11,2508.0
6:01.0, ,97-108,Shooting foul by J. Smith (drawn by J. Jaquez),,4,108,97,11,2519.0
6:01.0, ,97-109,J. Jaquez makes free throw 1 of 2,,4,109,97,12,2519.0
6:01.0,J. Green enters the game for J. Smith,97-109, ,,4,109,97,12,2519.0
6:01.0, ,97-109,T. Herro enters the game for K. Love,,4,109,97,12,2519.0
6:01.0, ,97-110,J. Jaquez makes free throw 2 of 2,,4,110,97,13,2519.0
5:36.0,A. Holiday misses 3-pt jump shot from 25 ft,97-110, ,,4,110,97,13,2544.0
5:34.0, ,97-110,Defensive rebound by B. Adebayo,,4,110,97,13,2546.0
5:29.0, ,97-110,D. Robinson misses 3-pt jump shot from 26 ft,,4,110,97,13,2551.0
5:26.0,Defensive rebound by F. VanVleet,97-110, ,,4,110,97,13,2554.0
5:23.0,Personal foul by D. Robinson (drawn by J. Tate),97-110, ,,4,110,97,13,2557.0
5:05.0,A. Sengun makes 2-pt hook shot from 7 ft (assist by F. VanVleet),99-110, ,,4,110,99,11,2575.0
4:47.0, ,99-110,J. Jaquez misses 3-pt jump shot from 26 ft,,4,110,99,11,2593.0
4:44.0,Defensive rebound by J. Tate,99-110, ,,4,110,99,11,2596.0
4:30.0,F. VanVleet misses 3-pt jump shot from 26 ft,99-110, ,,4,110,99,11,2610.0
4:28.0,Offensive rebound by J. Tate,99-110, ,,4,110,99,11,2612.0
4:21.0,F. VanVleet makes 2-pt jump shot from 7 ft (assist by A. Holiday),101-110, ,,4,110,101,9,2619.0
4:20.0, ,101-110,Miami full timeout,,4,110,101,9,2620.0
4:04.0, ,101-110,T. Herro misses 2-pt jump shot from 10 ft,,4,110,101,9,2636.0
4:02.0,Defensive rebound by F. VanVleet,101-110, ,,4,110,101,9,2638.0
3:58.0,F. VanVleet misses 2-pt layup from 5 ft,101-110, ,,4,110,101,9,2642.0
3:57.0,Offensive rebound by A. Sengun,101-110, ,,4,110,101,9,2643.0
3:57.0,A. Sengun misses 2-pt layup at rim,101-110, ,,4,110,101,9,2643.0
3:57.0,Offensive rebound by Team,101-110, ,,4,110,101,9,2643.0
3:57.0, ,101-110,Loose ball foul by B. Adebayo (drawn by A. Sengun),,4,110,101,9,2643.0
3:57.0,A. Sengun makes free throw 1 of 2,102-110, ,,4,110,102,8,2643.0
3:57.0,A. Sengun misses free throw 2 of 2,102-110, ,,4,110,102,8,2643.0
3:55.0, ,102-110,Defensive rebound by B. Adebayo,,4,110,102,8,2645.0
3:46.0, ,102-110,Personal foul by A. Sengun (drawn by D. Robinson),,4,110,102,8,2654.0
3:46.0, ,102-111,D. Robinson makes free throw 1 of 2,,4,111,102,9,2654.0
3:46.0, ,102-112,D. Robinson makes free throw 2 of 2,,4,112,102,10,2654.0
3:35.0,Personal foul by T. Herro (drawn by J. Tate),102-112, ,,4,112,102,10,2665.0
3:35.0,J. Tate makes free throw 1 of 2,103-112, ,,4,112,103,9,2665.0
3:35.0,J. Tate makes free throw 2 of 2,104-112, ,,4,112,104,8,2665.0
3:22.0, ,104-112,D. Robinson misses 3-pt jump shot from 27 ft,,4,112,104,8,2678.0
3:19.0,Defensive rebound by A. Holiday,104-112, ,,4,112,104,8,2681.0
3:15.0,Houston full timeout,104-112, ,,4,112,104,8,2685.0
3:08.0,A. Sengun makes 2-pt dunk from 3 ft,106-112, ,,4,112,106,6,2692.0
2:53.0, ,106-114,T. Herro makes 2-pt jump shot from 11 ft (assist by J. Richardson),,4,114,106,8,2707.0
2:53.0, ,106-114,Shooting foul by J. Tate (drawn by T. Herro),,4,114,106,8,2707.0
2:53.0, ,106-115,T. Herro makes free throw 1 of 1,,4,115,106,9,2707.0
2:37.0,A. Sengun misses 2-pt jump shot from 18 ft,106-115, ,,4,115,106,9,2723.0
2:34.0,Offensive rebound by Team,106-115, ,,4,115,106,9,2726.0
2:34.0,Jump ball: A. Sengun vs. B. Adebayo (F. VanVleet gains possession),106-115,,,4,115,106,9,2726.0
2:27.0,A. Sengun misses 3-pt jump shot from 26 ft,106-115, ,,4,115,106,9,2733.0
2:24.0, ,106-115,Defensive rebound by B. Adebayo,,4,115,106,9,2736.0
2:06.0, ,106-115,B. Adebayo misses 2-pt jump shot from 16 ft,,4,115,106,9,2754.0
2:03.0,Defensive rebound by J. Green,106-115, ,,4,115,106,9,2757.0
2:00.0,Shooting foul by D. Robinson (drawn by F. VanVleet),106-115, ,,4,115,106,9,2760.0
2:00.0, ,106-115,K. Love enters the game for D. Robinson,,4,115,106,9,2760.0
2:00.0,F. VanVleet makes free throw 1 of 2,107-115, ,,4,115,107,8,2760.0
2:00.0,F. VanVleet makes free throw 2 of 2,108-115, ,,4,115,108,7,2760.0
1:39.0, ,108-118,T. Herro makes 3-pt jump shot from 24 ft (assist by K. Love),,4,118,108,10,2781.0
1:31.0,F. VanVleet misses 3-pt jump shot from 25 ft,108-118, ,,4,118,108,10,2789.0
1:28.0, ,108-118,Defensive rebound by B. Adebayo,,4,118,108,10,2792.0
1:05.0, ,108-118,J. Jaquez misses 2-pt jump shot from 12 ft,,4,118,108,10,2815.0
1:03.0,Defensive rebound by A. Sengun,108-118, ,,4,118,108,10,2817.0
1:00.0,J. Green misses 3-pt jump shot from 29 ft,108-118, ,,4,118,108,10,2820.0
0:58.0, ,108-118,Defensive rebound by Team,,4,118,108,10,2822.0
0:58.0,Loose ball foul by J. Tate (drawn by K. Love),108-118, ,,4,118,108,10,2822.0
0:58.0, ,108-118,K. Love misses free throw 1 of 2,,4,118,108,10,2822.0
0:58.0, ,108-118,Offensive rebound by Team,,4,118,108,10,2822.0
0:58.0, ,108-119,K. Love makes free throw 2 of 2,,4,119,108,11,2822.0
0:47.0,A. Sengun makes 2-pt jump shot from 8 ft (assist by J. Green),110-119, ,,4,119,110,9,2833.0
0:23.0, ,110-119,Shooting foul by A. Sengun (drawn by B. Adebayo),,4,119,110,9,2857.0
0:23.0,C. Whitmore enters the game for A. Sengun,110-119, ,,4,119,110,9,2857.0
0:23.0, ,110-119,B. Adebayo misses free throw 1 of 2,,4,119,110,9,2857.0
0:23.0, ,110-119,Offensive rebound by Team,,4,119,110,9,2857.0
0:23.0, ,110-120,B. Adebayo makes free throw 2 of 2,,4,120,110,10,2857.0
0:19.0,F. VanVleet misses 3-pt jump shot from 29 ft,110-120, ,,4,120,110,10,2861.0
0:16.0,Offensive rebound by F. VanVleet,110-120, ,,4,120,110,10,2864.0
0:15.0,F. VanVleet makes 3-pt jump shot from 27 ft,113-120, ,,4,120,113,7,2865.0
0:00.0,End of 4th quarter,113-120,,,4,120,113,7,2880.0
