Time,Houston,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:41.0,Offensive rebound by J. Smith,24-32, ,,1,32,24,8,619.0
1:39.0,Shooting foul by K. Love (drawn by J. Green),24-32, ,,1,32,24,8,621.0
1:39.0,J. Green misses free throw 1 of 2,24-32, ,,1,32,24,8,621.0
1:39.0,Offensive rebound by Team,24-32, ,,1,32,24,8,621.0
1:39.0, ,24-32,H. Highsmith enters the game for T. Herro,,1,32,24,8,621.0
1:39.0, ,24-32,J. Jaquez enters the game for N. Jović,,1,32,24,8,621.0
1:39.0,J. Green makes free throw 2 of 2,25-32, ,,1,32,25,7,621.0
1:26.0, ,25-32,Personal foul by J. Smith (drawn by K. Love),,1,32,25,7,634.0
1:26.0, ,25-33,K. Love makes free throw 1 of 2,,1,33,25,8,634.0
1:26.0, ,25-34,K. Love makes free throw 2 of 2,,1,34,25,9,634.0
1:12.0,Turnover by A. Thompson (bad pass),25-34, ,,1,34,25,9,648.0
0:56.0, ,25-34,J. Jaquez misses 2-pt jump shot from 13 ft,,1,34,25,9,664.0
0:52.0,Defensive rebound by C. Whitmore,25-34, ,,1,34,25,9,668.0
0:45.0,J. Green misses 3-pt jump shot from 27 ft,25-34, ,,1,34,25,9,675.0
0:45.0, ,25-34,Defensive rebound by D. Robinson,,1,34,25,9,675.0
0:26.0, ,25-34,K. Love misses 3-pt jump shot from 27 ft,,1,34,25,9,694.0
0:23.0,Defensive rebound by J. Smith,25-34, ,,1,34,25,9,697.0
0:09.0,Shooting foul by J. Richardson (drawn by A. Thompson),25-34, ,,1,34,25,9,711.0
0:09.0,A. Thompson makes free throw 1 of 2,26-34, ,,1,34,26,8,711.0
0:09.0,A. Thompson makes free throw 2 of 2,27-34, ,,1,34,27,7,711.0
0:01.0, ,27-34,J. Richardson misses 2-pt jump shot from 15 ft,,1,34,27,7,719.0
0:00.0, ,27-34,Offensive rebound by Team,,1,34,27,7,720.0
0:00.0,End of 1st quarter,27-34,,,1,34,27,7,720.0
12:00.0,Start of 2nd quarter,27-34,,,2,34,27,7,720.0
