Time,Miami,Score,Philadelphia,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:07.0, ,17-14,Defensive rebound by T. Maxey,,1,17,14,3,413.0
4:53.0, ,17-16,T. Maxey makes 2-pt jump shot from 14 ft,,1,17,16,1,427.0
4:37.0,Turnover by T. Rozier (bad pass),17-16, ,,1,17,16,1,443.0
4:37.0,D. Wright enters the game for T. Rozier,17-16, ,,1,17,16,1,443.0
4:37.0, ,17-16,C. Payne enters the game for K. Lowry,,1,17,16,1,443.0
4:15.0, ,17-19,T. Maxey makes 3-pt jump shot from 28 ft,Lead change,1,17,19,-2,465.0
3:55.0,D. Wright misses 2-pt layup from 1 ft,17-19, ,,1,17,19,-2,485.0
3:53.0,Offensive rebound by B. Adebayo,17-19, ,,1,17,19,-2,487.0
3:52.0,B. Adebayo makes 2-pt layup at rim,19-19, ,Tie,1,19,19,0,488.0
3:41.0, ,19-19,T. Maxey misses 2-pt layup from 1 ft,,1,19,19,0,499.0
3:39.0, ,19-19,Offensive rebound by P. Reed,,1,19,19,0,501.0
3:36.0, ,19-21,P. Reed makes 2-pt dunk at rim,,1,19,21,-2,504.0
3:33.0,C. Martin makes 2-pt jump shot from 21 ft (assist by D. Wright),21-21, ,Tie,1,21,21,0,507.0
3:05.0, ,21-24,C. Payne makes 3-pt jump shot from 27 ft (assist by P. Reed),,1,21,24,-3,535.0
2:49.0,Turnover by D. Robinson (bad pass),21-24, ,,1,21,24,-3,551.0
2:49.0,Miami full timeout,21-24, ,,1,21,24,-3,551.0
2:49.0,T. Bryant enters the game for B. Adebayo,21-24, ,,1,21,24,-3,551.0
2:49.0,J. Jaquez enters the game for H. Highsmith,21-24, ,,1,21,24,-3,551.0
2:49.0, ,21-24,K. Oubre enters the game for N. Batum,,1,21,24,-3,551.0
2:27.0, ,21-26,K. Oubre makes 2-pt jump shot from 6 ft (assist by C. Payne),,1,21,26,-5,573.0
2:11.0,T. Bryant misses 2-pt layup from 5 ft (block by K. Oubre),21-26, ,,1,21,26,-5,589.0
2:08.0, ,21-26,Defensive rebound by T. Maxey,,1,21,26,-5,592.0
1:53.0, ,21-26,B. Hield misses 3-pt jump shot from 27 ft,,1,21,26,-5,607.0
1:50.0,Defensive rebound by C. Martin,21-26, ,,1,21,26,-5,610.0
1:39.0,D. Robinson misses 2-pt jump shot from 7 ft,21-26, ,,1,21,26,-5,621.0
1:37.0,Offensive rebound by D. Robinson,21-26, ,,1,21,26,-5,623.0
1:36.0,D. Robinson misses 2-pt layup at rim,21-26, ,,1,21,26,-5,624.0
1:34.0, ,21-26,Defensive rebound by P. Reed,,1,21,26,-5,626.0
1:31.0, ,21-26,Personal foul by D. Wright (drawn by T. Maxey),,1,21,26,-5,629.0
1:31.0,T. Rozier enters the game for D. Robinson,21-26, ,,1,21,26,-5,629.0
1:23.0, ,21-28,K. Oubre makes 2-pt dunk at rim (assist by C. Payne),,1,21,28,-7,637.0
1:04.0,D. Wright misses 2-pt jump shot from 10 ft,21-28, ,,1,21,28,-7,656.0
1:02.0, ,21-28,Defensive rebound by P. Reed,,1,21,28,-7,658.0
0:52.0, ,21-31,T. Maxey makes 3-pt jump shot from 25 ft (assist by B. Hield),,1,21,31,-10,668.0
0:39.0, ,21-31,Philadelphia full timeout,,1,21,31,-10,681.0
0:39.0, ,21-31,Instant Replay (Challenge: Ruling Stands),,1,21,31,-10,681.0
0:39.0,J. Jaquez misses 2-pt layup from 2 ft (block by K. Oubre),21-31, ,,1,21,31,-10,681.0
0:37.0,Offensive rebound by Team,21-31, ,,1,21,31,-10,683.0
0:37.0,Jump ball: T. Bryant vs. P. Reed (D. Wright gains possession),21-31,,,1,21,31,-10,683.0
0:27.0,C. Martin makes 2-pt jump shot from 17 ft,23-31, ,,1,23,31,-8,693.0
0:05.0, ,23-31,B. Hield misses 3-pt jump shot from 24 ft,,1,23,31,-8,715.0
0:04.0,Defensive rebound by J. Jaquez,23-31, ,,1,23,31,-8,716.0
0:00.0,End of 1st quarter,23-31,,,1,23,31,-8,720.0
12:00.0,Start of 2nd quarter,23-31,,,2,23,31,-8,720.0
11:40.0,T. Rozier makes 2-pt jump shot from 6 ft (assist by T. Bryant),25-31, ,,2,25,31,-6,740.0
11:40.0,Shooting foul by K. Oubre (drawn by T. Rozier),25-31, ,,2,25,31,-6,740.0
11:40.0,T. Rozier makes free throw 1 of 1,26-31, ,,2,26,31,-5,740.0
11:24.0, ,26-31,Turnover by K. Oubre (bad pass; steal by T. Bryant),,2,26,31,-5,756.0
11:19.0,T. Rozier misses 3-pt jump shot from 26 ft,26-31, ,,2,26,31,-5,761.0
11:16.0, ,26-31,Defensive rebound by K. Oubre,,2,26,31,-5,764.0
11:09.0, ,26-31,Turnover by C. Payne (lost ball; steal by D. Wright),,2,26,31,-5,771.0
11:04.0,J. Jaquez makes 2-pt layup at rim (assist by D. Wright),28-31, ,,2,28,31,-3,776.0
10:45.0, ,28-31,P. Reed misses 2-pt jump shot from 14 ft,,2,28,31,-3,795.0
10:43.0,Defensive rebound by T. Rozier,28-31, ,,2,28,31,-3,797.0
10:37.0,T. Rozier misses 2-pt layup from 3 ft,28-31, ,,2,28,31,-3,803.0
10:35.0, ,28-31,Defensive rebound by K. Oubre,,2,28,31,-3,805.0
10:29.0, ,28-31,C. Payne misses 3-pt jump shot from 31 ft,,2,28,31,-3,811.0
10:26.0,Defensive rebound by J. Jaquez,28-31, ,,2,28,31,-3,814.0
10:16.0,T. Bryant makes 2-pt dunk from 1 ft (assist by J. Jaquez),30-31, ,,2,30,31,-1,824.0
9:59.0, ,30-31,K. Oubre misses 2-pt layup from 2 ft (block by T. Bryant),,2,30,31,-1,841.0
9:58.0,Defensive rebound by Team,30-31, ,,2,30,31,-1,842.0
9:58.0,Jump ball: T. Bryant vs. K. Oubre (T. Rozier gains possession),30-31,,,2,30,31,-1,842.0
9:58.0, ,30-31,K. Martin enters the game for P. Reed,,2,30,31,-1,842.0
9:43.0,T. Bryant misses 2-pt hook shot from 3 ft,30-31, ,,2,30,31,-1,857.0
9:42.0,Offensive rebound by D. Wright,30-31, ,,2,30,31,-1,858.0
9:42.0,Shooting foul by B. Hield (drawn by D. Wright),30-31, ,,2,30,31,-1,858.0
9:42.0,D. Wright makes free throw 1 of 2,31-31, ,Tie,2,31,31,0,858.0
9:42.0,D. Wright misses free throw 2 of 2,31-31, ,,2,31,31,0,858.0
9:40.0, ,31-31,Defensive rebound by K. Lowry,,2,31,31,0,860.0
9:30.0, ,31-31,C. Payne misses 2-pt jump shot from 12 ft,,2,31,31,0,870.0
9:28.0,Defensive rebound by T. Bryant,31-31, ,,2,31,31,0,872.0
9:22.0,T. Bryant misses 2-pt layup from 5 ft (block by K. Lowry),31-31, ,,2,31,31,0,878.0
9:21.0,Offensive rebound by Team,31-31, ,,2,31,31,0,879.0
9:16.0,J. Jaquez misses 3-pt jump shot from 27 ft,31-31, ,,2,31,31,0,884.0
9:16.0, ,31-31,Defensive rebound by K. Oubre,,2,31,31,0,884.0
9:02.0, ,31-33,K. Oubre makes 2-pt jump shot from 7 ft,,2,31,33,-2,898.0
8:45.0,D. Wright misses 2-pt jump shot from 7 ft,31-33, ,,2,31,33,-2,915.0
8:42.0, ,31-33,Defensive rebound by C. Payne,,2,31,33,-2,918.0
8:35.0, ,31-33,K. Oubre misses 3-pt jump shot from 24 ft,,2,31,33,-2,925.0
8:33.0,Defensive rebound by J. Jaquez,31-33, ,,2,31,33,-2,927.0
8:25.0,Shooting foul by K. Martin (drawn by T. Bryant),31-33, ,,2,31,33,-2,935.0
8:25.0,P. Mills enters the game for D. Wright,31-33, ,,2,31,33,-2,935.0
8:25.0,T. Bryant makes free throw 1 of 2,32-33, ,,2,32,33,-1,935.0
8:25.0, ,32-33,N. Batum enters the game for B. Hield,,2,32,33,-1,935.0
8:25.0, ,32-33,T. Maxey enters the game for K. Oubre,,2,32,33,-1,935.0
8:25.0,T. Bryant makes free throw 2 of 2,33-33, ,Tie,2,33,33,0,935.0
8:03.0, ,33-36,K. Lowry makes 3-pt jump shot from 23 ft (assist by C. Payne),,2,33,36,-3,957.0
7:53.0,J. Jaquez misses 3-pt jump shot from 25 ft,33-36, ,,2,33,36,-3,967.0
7:49.0,Offensive rebound by P. Mills,33-36, ,,2,33,36,-3,971.0
7:42.0,Personal foul by K. Lowry (drawn by P. Mills),33-36, ,,2,33,36,-3,978.0
7:32.0,T. Rozier makes 3-pt jump shot from 27 ft (assist by P. Mills),36-36, ,Tie,2,36,36,0,988.0
7:11.0, ,36-36,N. Batum misses 3-pt jump shot from 23 ft,,2,36,36,0,1009.0
7:09.0,Defensive rebound by C. Martin,36-36, ,,2,36,36,0,1011.0
7:02.0,T. Rozier makes 2-pt layup from 2 ft,38-36, ,Lead change,2,38,36,2,1018.0
6:51.0, ,38-36,Shooting foul by J. Jaquez (drawn by K. Martin),,2,38,36,2,1029.0
6:51.0, ,38-36,Philadelphia full timeout,,2,38,36,2,1029.0
6:51.0,B. Adebayo enters the game for T. Bryant,38-36, ,,2,38,36,2,1029.0
6:51.0,H. Highsmith enters the game for J. Jaquez,38-36, ,,2,38,36,2,1029.0
6:51.0,D. Robinson enters the game for T. Rozier,38-36, ,,2,38,36,2,1029.0
6:51.0, ,38-37,K. Martin makes free throw 1 of 2,,2,38,37,1,1029.0
6:51.0, ,38-37,K. Martin misses free throw 2 of 2,,2,38,37,1,1029.0
6:49.0,Defensive rebound by B. Adebayo,38-37, ,,2,38,37,1,1031.0
6:30.0,B. Adebayo makes 2-pt hook shot from 9 ft,40-37, ,,2,40,37,3,1050.0
6:05.0, ,40-37,K. Martin misses 2-pt jump shot from 8 ft,,2,40,37,3,1075.0
6:03.0,Defensive rebound by B. Adebayo,40-37, ,,2,40,37,3,1077.0
5:50.0,C. Martin misses 2-pt layup from 2 ft,40-37, ,,2,40,37,3,1090.0
5:49.0,Offensive rebound by Team,40-37, ,,2,40,37,3,1091.0
5:49.0,Turnover by C. Martin (traveling),40-37, ,,2,40,37,3,1091.0
5:49.0, ,40-37,K. Oubre enters the game for C. Payne,,2,40,37,3,1091.0
5:40.0, ,40-37,Personal foul by P. Mills (drawn by T. Maxey),,2,40,37,3,1100.0
5:30.0, ,40-37,Personal foul by P. Mills (drawn by T. Maxey),,2,40,37,3,1110.0
5:19.0, ,40-39,K. Lowry makes 2-pt jump shot from 10 ft (assist by K. Oubre),,2,40,39,1,1121.0
5:04.0,Turnover by C. Martin (traveling),40-39, ,,2,40,39,1,1136.0
4:54.0, ,40-39,Offensive foul by K. Martin (drawn by P. Mills),,2,40,39,1,1146.0
4:54.0, ,40-39,Turnover by K. Martin (offensive foul),,2,40,39,1,1146.0
4:39.0,H. Highsmith makes 2-pt layup from 2 ft,42-39, ,,2,42,39,3,1161.0
4:28.0, ,42-39,T. Maxey misses 3-pt jump shot from 27 ft,,2,42,39,3,1172.0
4:25.0,Defensive rebound by D. Robinson,42-39, ,,2,42,39,3,1175.0
4:12.0,P. Mills misses 2-pt layup from 6 ft,42-39, ,,2,42,39,3,1188.0
4:10.0, ,42-39,Defensive rebound by N. Batum,,2,42,39,3,1190.0
3:54.0, ,42-41,N. Batum makes 2-pt jump shot from 10 ft (assist by T. Maxey),,2,42,41,1,1206.0
3:36.0,C. Martin misses 3-pt jump shot from 23 ft,42-41, ,,2,42,41,1,1224.0
3:35.0, ,42-41,Defensive rebound by K. Oubre,,2,42,41,1,1225.0
3:24.0, ,42-41,T. Maxey misses 2-pt layup from 6 ft,,2,42,41,1,1236.0
3:21.0,Defensive rebound by H. Highsmith,42-41, ,,2,42,41,1,1239.0
3:20.0,C. Martin misses 2-pt layup from 1 ft,42-41, ,,2,42,41,1,1240.0
3:17.0, ,42-41,Defensive rebound by N. Batum,,2,42,41,1,1243.0
3:13.0, ,42-44,K. Oubre makes 3-pt jump shot from 27 ft (assist by T. Maxey),Lead change,2,42,44,-2,1247.0
3:13.0,Miami full timeout,42-44, ,,2,42,44,-2,1247.0
3:13.0,Technical foul by C. Martin,42-44, ,,2,42,44,-2,1247.0
3:13.0,T. Rozier enters the game for P. Mills,42-44, ,,2,42,44,-2,1247.0
3:13.0, ,42-44,M. Bamba enters the game for K. Martin,,2,42,44,-2,1247.0
3:13.0, ,42-45,T. Maxey makes technical free throw,,2,42,45,-3,1247.0
2:52.0,H. Highsmith misses 3-pt jump shot from 27 ft,42-45, ,,2,42,45,-3,1268.0
2:49.0, ,42-45,Defensive rebound by K. Lowry,,2,42,45,-3,1271.0
2:41.0, ,42-45,K. Lowry misses 3-pt jump shot from 29 ft,,2,42,45,-3,1279.0
2:39.0,Defensive rebound by B. Adebayo,42-45, ,,2,42,45,-3,1281.0
2:26.0,B. Adebayo makes 2-pt jump shot from 8 ft,44-45, ,,2,44,45,-1,1294.0
2:11.0, ,44-45,K. Lowry misses 3-pt jump shot from 23 ft,,2,44,45,-1,1309.0
2:09.0,Defensive rebound by T. Rozier,44-45, ,,2,44,45,-1,1311.0
2:03.0,T. Rozier misses 2-pt layup from 2 ft (block by N. Batum),44-45, ,,2,44,45,-1,1317.0
2:00.0, ,44-45,Defensive rebound by T. Maxey,,2,44,45,-1,1320.0
1:59.0, ,44-47,K. Lowry makes 2-pt layup from 3 ft (assist by T. Maxey),,2,44,47,-3,1321.0
1:59.0, ,44-47,Shooting foul by C. Martin (drawn by K. Lowry),,2,44,47,-3,1321.0
1:59.0,J. Jaquez enters the game for C. Martin,44-47, ,,2,44,47,-3,1321.0
1:59.0, ,44-48,K. Lowry makes free throw 1 of 1,,2,44,48,-4,1321.0
1:43.0,Turnover by B. Adebayo (bad pass),44-48, ,,2,44,48,-4,1337.0
1:27.0, ,44-48,K. Oubre misses 2-pt layup from 2 ft,,2,44,48,-4,1353.0
1:24.0,Defensive rebound by T. Rozier,44-48, ,,2,44,48,-4,1356.0
1:17.0,D. Robinson makes 2-pt layup from 1 ft (assist by B. Adebayo),46-48, ,,2,46,48,-2,1363.0
1:00.0, ,46-48,T. Maxey misses 2-pt layup from 8 ft (block by T. Rozier),,2,46,48,-2,1380.0
0:58.0, ,46-48,Offensive rebound by K. Oubre,,2,46,48,-2,1382.0
0:55.0, ,46-48,N. Batum misses 2-pt jump shot from 4 ft,,2,46,48,-2,1385.0
0:52.0,Defensive rebound by J. Jaquez,46-48, ,,2,46,48,-2,1388.0
0:47.0,H. Highsmith makes 3-pt jump shot from 24 ft (assist by J. Jaquez),49-48, ,Lead change,2,49,48,1,1393.0
0:37.0, ,49-48,T. Maxey misses 3-pt jump shot from 27 ft,,2,49,48,1,1403.0
0:35.0,Defensive rebound by B. Adebayo,49-48, ,,2,49,48,1,1405.0
0:23.0,Shooting foul by M. Bamba (drawn by H. Highsmith),49-48, ,,2,49,48,1,1417.0
0:23.0,H. Highsmith misses free throw 1 of 2,49-48, ,,2,49,48,1,1417.0
0:23.0,Offensive rebound by Team,49-48, ,,2,49,48,1,1417.0
0:23.0,C. Martin enters the game for D. Robinson,49-48, ,,2,49,48,1,1417.0
0:23.0, ,49-48,B. Hield enters the game for M. Bamba,,2,49,48,1,1417.0
0:23.0,H. Highsmith misses free throw 2 of 2,49-48, ,,2,49,48,1,1417.0
0:22.0, ,49-48,Defensive rebound by K. Lowry,,2,49,48,1,1418.0
0:00.0, ,49-51,K. Oubre makes 3-pt jump shot from 23 ft (assist by T. Maxey),Lead change,2,49,51,-2,1440.0
0:00.0,End of 2nd quarter,49-51,,,2,49,51,-2,1440.0
12:00.0,Start of 3rd quarter,49-51,,,3,49,51,-2,1440.0
11:36.0,B. Adebayo misses 2-pt jump shot from 11 ft,49-51, ,,3,49,51,-2,1464.0
11:33.0, ,49-51,Defensive rebound by T. Maxey,,3,49,51,-2,1467.0
11:26.0, ,49-53,M. Bamba makes 2-pt dunk from 1 ft (assist by K. Lowry),,3,49,53,-4,1474.0
11:15.0,Personal foul by T. Maxey (drawn by T. Rozier),49-53, ,,3,49,53,-4,1485.0
11:06.0,B. Adebayo makes 2-pt jump shot from 11 ft (assist by J. Jaquez),51-53, ,,3,51,53,-2,1494.0
10:42.0, ,51-53,K. Oubre misses 2-pt jump shot from 9 ft,,3,51,53,-2,1518.0
10:38.0,Defensive rebound by H. Highsmith,51-53, ,,3,51,53,-2,1522.0
10:27.0,J. Jaquez misses 2-pt layup at rim (block by K. Oubre),51-53, ,,3,51,53,-2,1533.0
10:25.0, ,51-53,Defensive rebound by T. Maxey,,3,51,53,-2,1535.0
10:17.0, ,51-53,Personal foul by D. Robinson (drawn by N. Batum),,3,51,53,-2,1543.0
10:06.0, ,51-55,T. Maxey makes 2-pt layup from 2 ft,,3,51,55,-4,1554.0
10:06.0,Violation by Team (def goaltending),51-55, ,,3,51,55,-4,1554.0
9:51.0,B. Adebayo misses 2-pt jump shot from 2 ft,51-55, ,,3,51,55,-4,1569.0
9:50.0,Offensive rebound by Team,51-55, ,,3,51,55,-4,1570.0
9:45.0,Turnover by B. Adebayo (bad pass; steal by T. Maxey),51-55, ,,3,51,55,-4,1575.0
9:43.0, ,51-57,T. Maxey makes 2-pt layup from 1 ft,,3,51,57,-6,1577.0
9:30.0,Turnover by B. Adebayo (bad pass; steal by K. Lowry),51-57, ,,3,51,57,-6,1590.0
9:26.0, ,51-57,Personal foul by D. Robinson (drawn by K. Lowry),,3,51,57,-6,1594.0
9:12.0, ,51-60,K. Lowry makes 3-pt jump shot from 26 ft (assist by M. Bamba),,3,51,60,-9,1608.0
8:56.0,T. Rozier misses 2-pt jump shot from 16 ft,51-60, ,,3,51,60,-9,1624.0
8:54.0, ,51-60,Defensive rebound by K. Oubre,,3,51,60,-9,1626.0
8:48.0, ,51-63,M. Bamba makes 3-pt jump shot from 27 ft (assist by K. Oubre),,3,51,63,-12,1632.0
8:48.0,Miami full timeout,51-63, ,,3,51,63,-12,1632.0
8:40.0,Personal foul by T. Maxey (drawn by T. Rozier),51-63, ,,3,51,63,-12,1640.0
8:29.0,Turnover by T. Rozier (bad pass),51-63, ,,3,51,63,-12,1651.0
8:17.0, ,51-63,K. Oubre misses 3-pt jump shot from 25 ft,,3,51,63,-12,1663.0
8:14.0,Defensive rebound by D. Robinson,51-63, ,,3,51,63,-12,1666.0
8:07.0,T. Rozier misses 2-pt layup from 2 ft (block by T. Maxey),51-63, ,,3,51,63,-12,1673.0
8:04.0, ,51-63,Defensive rebound by K. Oubre,,3,51,63,-12,1676.0
8:01.0, ,51-66,T. Maxey makes 3-pt jump shot from 26 ft (assist by K. Oubre),,3,51,66,-15,1679.0
7:48.0,H. Highsmith misses 3-pt jump shot from 25 ft,51-66, ,,3,51,66,-15,1692.0
7:46.0, ,51-66,Defensive rebound by M. Bamba,,3,51,66,-15,1694.0
7:29.0, ,51-66,K. Lowry misses 2-pt jump shot from 17 ft,,3,51,66,-15,1711.0
7:25.0, ,51-66,Offensive rebound by K. Oubre,,3,51,66,-15,1715.0
7:18.0, ,51-66,K. Oubre misses 2-pt jump shot from 3 ft,,3,51,66,-15,1722.0
7:17.0,Defensive rebound by H. Highsmith,51-66, ,,3,51,66,-15,1723.0
7:17.0,Turnover by H. Highsmith (bad pass; steal by M. Bamba),51-66, ,,3,51,66,-15,1723.0
7:07.0, ,51-68,K. Oubre makes 2-pt dunk from 1 ft (assist by M. Bamba),,3,51,68,-17,1733.0
7:07.0,Miami full timeout,51-68, ,,3,51,68,-17,1733.0
7:07.0,C. Martin enters the game for J. Jaquez,51-68, ,,3,51,68,-17,1733.0
6:55.0,T. Rozier misses 2-pt jump shot from 6 ft (block by M. Bamba),51-68, ,,3,51,68,-17,1745.0
6:52.0,Offensive rebound by T. Rozier,51-68, ,,3,51,68,-17,1748.0
6:50.0,C. Martin makes 3-pt jump shot from 27 ft (assist by H. Highsmith),54-68, ,,3,54,68,-14,1750.0
6:26.0, ,54-68,T. Maxey misses 2-pt jump shot from 21 ft,,3,54,68,-14,1774.0
6:24.0,Defensive rebound by T. Rozier,54-68, ,,3,54,68,-14,1776.0
6:19.0, ,54-68,Violation by Team (kicked ball),,3,54,68,-14,1781.0
6:15.0,Personal foul by N. Batum (drawn by D. Robinson),54-68, ,,3,54,68,-14,1785.0
6:06.0,C. Martin misses 3-pt jump shot from 27 ft,54-68, ,,3,54,68,-14,1794.0
6:03.0,Offensive rebound by B. Adebayo,54-68, ,,3,54,68,-14,1797.0
5:58.0,C. Martin misses 3-pt jump shot from 23 ft,54-68, ,,3,54,68,-14,1802.0
5:56.0,Offensive rebound by T. Rozier,54-68, ,,3,54,68,-14,1804.0
5:54.0,T. Rozier misses 3-pt jump shot from 25 ft,54-68, ,,3,54,68,-14,1806.0
5:52.0, ,54-68,Defensive rebound by N. Batum,,3,54,68,-14,1808.0
5:45.0, ,54-68,T. Maxey misses 3-pt jump shot from 27 ft,,3,54,68,-14,1815.0
5:43.0,Defensive rebound by H. Highsmith,54-68, ,,3,54,68,-14,1817.0
5:28.0,Shooting foul by N. Batum (drawn by B. Adebayo),54-68, ,,3,54,68,-14,1832.0
5:28.0,B. Adebayo makes free throw 1 of 2,55-68, ,,3,55,68,-13,1832.0
5:28.0,D. Wright enters the game for T. Rozier,55-68, ,,3,55,68,-13,1832.0
5:28.0, ,55-68,B. Hield enters the game for M. Bamba,,3,55,68,-13,1832.0
5:28.0, ,55-68,P. Reed enters the game for N. Batum,,3,55,68,-13,1832.0
5:28.0,B. Adebayo makes free throw 2 of 2,56-68, ,,3,56,68,-12,1832.0
5:16.0, ,56-68,Turnover by T. Maxey (bad pass),,3,56,68,-12,1844.0
5:06.0,Personal foul by T. Maxey (drawn by D. Robinson),56-68, ,,3,56,68,-12,1854.0
5:06.0,D. Robinson misses free throw 1 of 2,56-68, ,,3,56,68,-12,1854.0
5:06.0,Offensive rebound by Team,56-68, ,,3,56,68,-12,1854.0
5:06.0,D. Robinson makes free throw 2 of 2,57-68, ,,3,57,68,-11,1854.0
4:44.0, ,57-68,Personal foul by D. Robinson (drawn by K. Lowry),,3,57,68,-11,1876.0
4:44.0,P. Mills enters the game for D. Robinson,57-68, ,,3,57,68,-11,1876.0
4:30.0, ,57-70,T. Maxey makes 2-pt jump shot from 21 ft,,3,57,70,-13,1890.0
4:05.0,H. Highsmith misses 3-pt jump shot from 24 ft,57-70, ,,3,57,70,-13,1915.0
4:02.0, ,57-70,Defensive rebound by P. Reed,,3,57,70,-13,1918.0
3:40.0, ,57-72,B. Hield makes 2-pt layup from 3 ft,,3,57,72,-15,1940.0
3:40.0,Violation by Team (def goaltending),57-72, ,,3,57,72,-15,1940.0
