Time,Miami,Score,Milwaukee,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:01.0, ,62-52,B. Lopez misses 3-pt jump shot from 27 ft,,2,62,52,10,1319.0
1:58.0,Defensive rebound by N. Jović,62-52, ,,2,62,52,10,1322.0
1:50.0,Miami full timeout,62-52, ,,2,62,52,10,1330.0
1:50.0,T. Herro enters the game for J. Jaquez,62-52, ,,2,62,52,10,1330.0
1:50.0, ,62-52,B. Portis enters the game for B. Lopez,,2,62,52,10,1330.0
1:43.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by B. Adebayo),65-52, ,,2,65,52,13,1337.0
1:21.0, ,65-52,Turnover by J. Crowder (traveling),,2,65,52,13,1359.0
1:12.0,B. Adebayo misses 2-pt layup from 2 ft,65-52, ,,2,65,52,13,1368.0
1:10.0, ,65-52,Defensive rebound by G. Antetokounmpo,,2,65,52,13,1370.0
1:03.0, ,65-52,Turnover by G. Antetokounmpo (lost ball; steal by D. Robinson),,2,65,52,13,1377.0
1:00.0,T. Herro makes 2-pt layup from 2 ft (assist by D. Robinson),67-52, ,,2,67,52,15,1380.0
0:42.0, ,67-52,Turnover by D. Lillard (bad pass),,2,67,52,15,1398.0
0:26.0,B. Adebayo makes 2-pt jump shot from 10 ft,69-52, ,,2,69,52,17,1414.0
0:06.0, ,69-52,D. Lillard misses 3-pt jump shot from 32 ft,,2,69,52,17,1434.0
0:03.0,Defensive rebound by C. Martin,69-52, ,,2,69,52,17,1437.0
0:01.0,T. Herro misses 3-pt jump shot from 34 ft,69-52, ,,2,69,52,17,1439.0
0:01.0,Offensive rebound by Team,69-52, ,,2,69,52,17,1439.0
0:00.0,End of 2nd quarter,69-52,,,2,69,52,17,1440.0
12:00.0,Start of 3rd quarter,69-52,,,3,69,52,17,1440.0
11:43.0,D. Robinson misses 3-pt jump shot from 24 ft,69-52, ,,3,69,52,17,1457.0
11:40.0, ,69-52,Defensive rebound by G. Antetokounmpo,,3,69,52,17,1460.0
11:28.0, ,69-54,G. Antetokounmpo makes 2-pt jump shot from 11 ft,,3,69,54,15,1472.0
11:09.0,T. Herro makes 2-pt jump shot from 14 ft,71-54, ,,3,71,54,17,1491.0
10:51.0, ,71-54,Turnover by D. Lillard (bad pass; steal by B. Adebayo),,3,71,54,17,1509.0
10:43.0,N. Jović makes 2-pt layup from 6 ft (assist by B. Adebayo),73-54, ,,3,73,54,19,1517.0
10:24.0, ,73-57,D. Lillard makes 3-pt jump shot from 28 ft (assist by G. Antetokounmpo),,3,73,57,16,1536.0
10:09.0,C. Martin misses 3-pt jump shot from 26 ft,73-57, ,,3,73,57,16,1551.0
10:06.0, ,73-57,Defensive rebound by M. Beasley,,3,73,57,16,1554.0
9:58.0, ,73-60,D. Lillard makes 3-pt jump shot from 27 ft,,3,73,60,13,1562.0
9:47.0,Personal foul by D. Lillard (drawn by T. Herro),73-60, ,,3,73,60,13,1573.0
9:36.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by D. Robinson),75-60, ,,3,75,60,15,1584.0
9:18.0, ,75-63,M. Beasley makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,3,75,63,12,1602.0
8:53.0,N. Jović makes 2-pt jump shot from 7 ft (assist by T. Herro),77-63, ,,3,77,63,14,1627.0
8:27.0, ,77-63,Shooting foul by N. Jović (drawn by D. Lillard),,3,77,63,14,1653.0
