Time,Miami,Score,Chicago,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
2:09.0,Miami full timeout,29-21, ,,1,29,21,8,591.0
2:09.0,C. Martin enters the game for H. Highsmith,29-21, ,,1,29,21,8,591.0
2:09.0,J. Richardson enters the game for K. Lowry,29-21, ,,1,29,21,8,591.0
2:09.0,J. Butler misses technical free throw,29-21, ,,1,29,21,8,591.0
2:09.0,Offensive rebound by Team,29-21, ,,1,29,21,8,591.0
1:54.0,J. Butler makes 2-pt layup from 6 ft,31-21, ,,1,31,21,10,606.0
1:28.0, ,31-21,T. Craig misses 2-pt jump shot from 10 ft,,1,31,21,10,632.0
1:26.0,Defensive rebound by C. Martin,31-21, ,,1,31,21,10,634.0
1:21.0,K. Love misses 3-pt jump shot from 27 ft,31-21, ,,1,31,21,10,639.0
1:17.0, ,31-21,Defensive rebound by A. Dosunmu,,1,31,21,10,643.0
1:02.0, ,31-21,J. Carter misses 2-pt jump shot from 11 ft,,1,31,21,10,658.0
1:01.0,Defensive rebound by K. Love,31-21, ,,1,31,21,10,659.0
0:54.0,J. Richardson misses 2-pt layup from 1 ft,31-21, ,,1,31,21,10,666.0
0:52.0, ,31-21,Defensive rebound by D. DeRozan,,1,31,21,10,668.0
0:45.0, ,31-21,A. Drummond misses 2-pt jump shot from 7 ft,,1,31,21,10,675.0
0:45.0, ,31-21,Offensive rebound by A. Dosunmu,,1,31,21,10,675.0
0:45.0, ,31-21,Shooting foul by K. Love (drawn by A. Dosunmu),,1,31,21,10,675.0
0:45.0, ,31-22,A. Dosunmu makes free throw 1 of 2,,1,31,22,9,675.0
0:45.0,B. Adebayo enters the game for J. Butler,31-22, ,,1,31,22,9,675.0
0:45.0,D. Robinson enters the game for K. Love,31-22, ,,1,31,22,9,675.0
0:45.0, ,31-23,A. Dosunmu makes free throw 2 of 2,,1,31,23,8,675.0
0:30.0,J. Richardson misses 2-pt jump shot from 22 ft,31-23, ,,1,31,23,8,690.0
0:28.0, ,31-23,Defensive rebound by D. DeRozan,,1,31,23,8,692.0
0:26.0, ,31-25,A. Drummond makes 2-pt dunk from 1 ft (assist by D. DeRozan),,1,31,25,6,694.0
0:11.0,J. Jaquez makes 2-pt layup from 1 ft,33-25, ,,1,33,25,8,709.0
0:00.0, ,33-27,A. Dosunmu makes 2-pt jump shot from 16 ft (assist by D. DeRozan),,1,33,27,6,720.0
0:00.0,End of 1st quarter,33-27,,,1,33,27,6,720.0
12:00.0,Start of 2nd quarter,33-27,,,2,33,27,6,720.0
11:51.0, ,33-27,Turnover by J. Carter (bad pass),,2,33,27,6,729.0
11:36.0,Shooting foul by A. Dosunmu (drawn by B. Adebayo),33-27, ,,2,33,27,6,744.0
11:36.0,B. Adebayo makes free throw 1 of 2,34-27, ,,2,34,27,7,744.0
11:36.0, ,34-27,C. White enters the game for A. Dosunmu,,2,34,27,7,744.0
11:36.0,B. Adebayo misses free throw 2 of 2,34-27, ,,2,34,27,7,744.0
11:33.0,Offensive rebound by Team,34-27, ,,2,34,27,7,747.0
11:23.0,Turnover by J. Richardson (traveling),34-27, ,,2,34,27,7,757.0
10:59.0, ,34-29,D. DeRozan makes 2-pt jump shot from 15 ft,,2,34,29,5,781.0
10:46.0,D. Robinson misses 2-pt layup from 3 ft (block by A. Drummond),34-29, ,,2,34,29,5,794.0
10:46.0, ,34-29,Defensive rebound by P. Williams,,2,34,29,5,794.0
10:36.0, ,34-31,P. Williams makes 2-pt layup at rim,,2,34,31,3,804.0
10:22.0,B. Adebayo makes 2-pt jump shot from 4 ft (assist by C. Martin),36-31, ,,2,36,31,5,818.0
10:05.0, ,36-34,P. Williams makes 3-pt jump shot from 23 ft (assist by C. White),,2,36,34,2,835.0
9:54.0,J. Jaquez misses 2-pt jump shot from 4 ft (block by P. Williams),36-34, ,,2,36,34,2,846.0
9:54.0,Offensive rebound by Team,36-34, ,,2,36,34,2,846.0
9:54.0, ,36-34,Loose ball foul by A. Drummond (drawn by J. Jaquez),,2,36,34,2,846.0
9:43.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by J. Jaquez),38-34, ,,2,38,34,4,857.0
9:28.0, ,38-37,D. DeRozan makes 3-pt jump shot from 24 ft (assist by C. White),,2,38,37,1,872.0
9:19.0,J. Jaquez misses 2-pt layup from 6 ft (block by D. DeRozan),38-37, ,,2,38,37,1,881.0
9:16.0, ,38-37,Defensive rebound by P. Williams,,2,38,37,1,884.0
9:13.0, ,38-37,J. Carter misses 3-pt jump shot from 26 ft,,2,38,37,1,887.0
9:11.0,Defensive rebound by J. Jaquez,38-37, ,,2,38,37,1,889.0
9:07.0,C. Martin makes 2-pt dunk from 1 ft (assist by D. Robinson),40-37, ,,2,40,37,3,893.0
9:07.0, ,40-37,Chicago full timeout,,2,40,37,3,893.0
9:07.0, ,40-37,Z. LaVine enters the game for J. Carter,,2,40,37,3,893.0
8:42.0, ,40-40,C. White makes 3-pt jump shot from 23 ft (assist by A. Drummond),Tie,2,40,40,0,918.0
8:18.0,J. Jaquez makes 3-pt jump shot from 23 ft (assist by B. Adebayo),43-40, ,,2,43,40,3,942.0
7:57.0, ,43-40,P. Williams misses 2-pt dunk from 1 ft,,2,43,40,3,963.0
7:52.0,Defensive rebound by B. Adebayo,43-40, ,,2,43,40,3,968.0
7:37.0,J. Jaquez makes 2-pt layup from 1 ft,45-40, ,,2,45,40,5,983.0
7:12.0, ,45-43,C. White makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,2,45,43,2,1008.0
6:54.0,J. Jaquez misses 3-pt jump shot from 23 ft,45-43, ,,2,45,43,2,1026.0
6:51.0, ,45-43,Defensive rebound by A. Drummond,,2,45,43,2,1029.0
6:47.0, ,45-43,Personal foul by C. Martin (drawn by D. DeRozan),,2,45,43,2,1033.0
6:47.0, ,45-43,T. Craig enters the game for D. DeRozan,,2,45,43,2,1033.0
6:47.0, ,45-43,N. Vučević enters the game for A. Drummond,,2,45,43,2,1033.0
6:34.0, ,45-43,N. Vučević misses 2-pt jump shot from 16 ft,,2,45,43,2,1046.0
6:32.0,Defensive rebound by B. Adebayo,45-43, ,,2,45,43,2,1048.0
6:19.0,J. Richardson makes 2-pt jump shot from 19 ft (assist by C. Martin),47-43, ,,2,47,43,4,1061.0
6:01.0, ,47-43,Def 3 sec tech foul by Team,,2,47,43,4,1079.0
6:01.0, ,47-44,Z. LaVine makes technical free throw,,2,47,44,3,1079.0
6:01.0,J. Butler enters the game for B. Adebayo,47-44, ,,2,47,44,3,1079.0
6:01.0,K. Love enters the game for D. Robinson,47-44, ,,2,47,44,3,1079.0
5:53.0, ,47-44,T. Craig misses 3-pt jump shot from 24 ft,,2,47,44,3,1087.0
5:49.0,Defensive rebound by C. Martin,47-44, ,,2,47,44,3,1091.0
5:43.0,C. Martin misses 2-pt layup from 2 ft,47-44, ,,2,47,44,3,1097.0
5:42.0, ,47-44,Defensive rebound by T. Craig,,2,47,44,3,1098.0
5:34.0, ,47-44,C. White misses 3-pt jump shot from 25 ft,,2,47,44,3,1106.0
5:32.0,Defensive rebound by J. Richardson,47-44, ,,2,47,44,3,1108.0
5:23.0,J. Jaquez makes 2-pt jump shot from 7 ft (assist by K. Love),49-44, ,,2,49,44,5,1117.0
5:05.0, ,49-46,P. Williams makes 2-pt layup from 1 ft,,2,49,46,3,1135.0
4:43.0,Shooting foul by T. Craig (drawn by J. Butler),49-46, ,,2,49,46,3,1157.0
4:43.0,J. Butler makes free throw 1 of 2,50-46, ,,2,50,46,4,1157.0
4:43.0,K. Lowry enters the game for C. Martin,50-46, ,,2,50,46,4,1157.0
4:43.0, ,50-46,A. Caruso enters the game for T. Craig,,2,50,46,4,1157.0
4:43.0,J. Butler makes free throw 2 of 2,51-46, ,,2,51,46,5,1157.0
4:27.0, ,51-46,P. Williams misses 3-pt jump shot from 22 ft,,2,51,46,5,1173.0
4:23.0,Defensive rebound by K. Love,51-46, ,,2,51,46,5,1177.0
4:23.0, ,51-46,D. DeRozan enters the game for P. Williams,,2,51,46,5,1177.0
4:03.0,K. Love makes 3-pt jump shot from 26 ft (assist by J. Butler),54-46, ,,2,54,46,8,1197.0
3:48.0, ,54-46,N. Vučević misses 3-pt jump shot from 25 ft,,2,54,46,8,1212.0
3:46.0,Defensive rebound by K. Love,54-46, ,,2,54,46,8,1214.0
3:35.0,J. Richardson misses 3-pt jump shot from 23 ft,54-46, ,,2,54,46,8,1225.0
3:30.0, ,54-46,Defensive rebound by N. Vučević,,2,54,46,8,1230.0
3:26.0, ,54-46,Z. LaVine misses 3-pt jump shot from 25 ft,,2,54,46,8,1234.0
3:24.0,Defensive rebound by K. Love,54-46, ,,2,54,46,8,1236.0
3:17.0,J. Richardson makes 3-pt jump shot from 24 ft (assist by K. Lowry),57-46, ,,2,57,46,11,1243.0
2:56.0, ,57-48,N. Vučević makes 2-pt layup at rim (assist by Z. LaVine),,2,57,48,9,1264.0
2:40.0,Miami full timeout,57-48, ,,2,57,48,9,1280.0
2:38.0,Personal foul by Z. LaVine (drawn by J. Butler),57-48, ,,2,57,48,9,1282.0
2:30.0,K. Lowry misses 3-pt jump shot from 26 ft,57-48, ,,2,57,48,9,1290.0
2:24.0,Offensive rebound by J. Richardson,57-48, ,,2,57,48,9,1296.0
2:24.0,J. Richardson makes 2-pt dunk at rim,59-48, ,,2,59,48,11,1296.0
2:07.0, ,59-48,Shooting foul by J. Butler (drawn by A. Caruso),,2,59,48,11,1313.0
2:07.0, ,59-48,A. Caruso misses free throw 1 of 2,,2,59,48,11,1313.0
2:07.0, ,59-48,Offensive rebound by Team,,2,59,48,11,1313.0
2:07.0, ,59-49,A. Caruso makes free throw 2 of 2,,2,59,49,10,1313.0
1:57.0,K. Love makes 3-pt jump shot from 26 ft (assist by J. Butler),62-49, ,,2,62,49,13,1323.0
1:37.0, ,62-49,N. Vučević misses 2-pt jump shot from 1 ft,,2,62,49,13,1343.0
1:37.0, ,62-49,Offensive rebound by A. Caruso,,2,62,49,13,1343.0
1:37.0, ,62-49,A. Caruso misses 2-pt layup at rim,,2,62,49,13,1343.0
1:37.0, ,62-49,Personal foul by J. Butler (drawn by A. Caruso),,2,62,49,13,1343.0
1:25.0, ,62-51,Z. LaVine makes 2-pt dunk at rim,,2,62,51,11,1355.0
1:14.0,K. Love makes 3-pt jump shot from 26 ft (assist by K. Lowry),65-51, ,,2,65,51,14,1366.0
0:57.0, ,65-51,Personal foul by J. Richardson (drawn by A. Caruso),,2,65,51,14,1383.0
0:57.0, ,65-52,A. Caruso makes free throw 1 of 2,,2,65,52,13,1383.0
0:57.0, ,65-53,A. Caruso makes free throw 2 of 2,,2,65,53,12,1383.0
0:41.0,Turnover by J. Richardson (traveling),65-53, ,,2,65,53,12,1399.0
0:41.0,B. Adebayo enters the game for K. Love,65-53, ,,2,65,53,12,1399.0
0:32.0, ,65-53,N. Vučević misses 2-pt layup from 4 ft (block by J. Richardson),,2,65,53,12,1408.0
0:32.0,Defensive rebound by Team,65-53, ,,2,65,53,12,1408.0
0:20.0,J. Richardson misses 3-pt jump shot from 26 ft,65-53, ,,2,65,53,12,1420.0
0:18.0,Offensive rebound by B. Adebayo,65-53, ,,2,65,53,12,1422.0
0:08.0,J. Butler misses 3-pt jump shot from 25 ft,65-53, ,,2,65,53,12,1432.0
0:05.0, ,65-53,Defensive rebound by C. White,,2,65,53,12,1435.0
0:00.0,End of 2nd quarter,65-53,,,2,65,53,12,1440.0
12:00.0,Start of 3rd quarter,65-53,,,3,65,53,12,1440.0
11:51.0, ,65-56,Z. LaVine makes 3-pt jump shot from 25 ft (assist by N. Vučević),,3,65,56,9,1449.0
11:40.0,Offensive foul by B. Adebayo (drawn by C. White),65-56, ,,3,65,56,9,1460.0
11:40.0,Turnover by B. Adebayo (offensive foul),65-56, ,,3,65,56,9,1460.0
11:29.0, ,65-58,A. Caruso makes 2-pt layup from 2 ft (assist by Z. LaVine),,3,65,58,7,1471.0
11:05.0,B. Adebayo makes 2-pt jump shot from 17 ft,67-58, ,,3,67,58,9,1495.0
10:49.0, ,67-61,D. DeRozan makes 3-pt jump shot from 23 ft (assist by N. Vučević),,3,67,61,6,1511.0
10:35.0,K. Lowry misses 2-pt jump shot from 20 ft,67-61, ,,3,67,61,6,1525.0
10:32.0, ,67-61,Defensive rebound by Z. LaVine,,3,67,61,6,1528.0
10:25.0, ,67-64,Z. LaVine makes 3-pt jump shot from 26 ft,,3,67,64,3,1535.0
10:15.0,B. Adebayo makes 2-pt jump shot from 1 ft,69-64, ,,3,69,64,5,1545.0
10:15.0,Shooting foul by N. Vučević (drawn by B. Adebayo),69-64, ,,3,69,64,5,1545.0
10:15.0,B. Adebayo makes free throw 1 of 1,70-64, ,,3,70,64,6,1545.0
10:02.0, ,70-64,Personal foul by H. Highsmith (drawn by D. DeRozan),,3,70,64,6,1558.0
9:52.0, ,70-64,N. Vučević misses 3-pt jump shot from 25 ft,,3,70,64,6,1568.0
9:49.0,Defensive rebound by K. Lowry,70-64, ,,3,70,64,6,1571.0
9:41.0,J. Butler misses 2-pt layup from 1 ft,70-64, ,,3,70,64,6,1579.0
9:39.0, ,70-64,Defensive rebound by C. White,,3,70,64,6,1581.0
9:35.0, ,70-64,C. White misses 3-pt jump shot from 26 ft,,3,70,64,6,1585.0
9:33.0,Defensive rebound by B. Adebayo,70-64, ,,3,70,64,6,1587.0
9:19.0,B. Adebayo misses 2-pt layup from 7 ft (block by A. Caruso),70-64, ,,3,70,64,6,1601.0
9:19.0, ,70-64,Defensive rebound by C. White,,3,70,64,6,1601.0
9:07.0, ,70-64,D. DeRozan misses 3-pt jump shot from 23 ft,,3,70,64,6,1613.0
9:02.0,Defensive rebound by J. Butler,70-64, ,,3,70,64,6,1618.0
8:44.0,J. Butler misses 2-pt layup from 2 ft (block by C. White),70-64, ,,3,70,64,6,1636.0
8:43.0,Offensive rebound by B. Adebayo,70-64, ,,3,70,64,6,1637.0
8:42.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by B. Adebayo),73-64, ,,3,73,64,9,1638.0
8:27.0, ,73-66,C. White makes 2-pt jump shot from 15 ft,,3,73,66,7,1653.0
8:27.0, ,73-66,Shooting foul by D. Robinson (drawn by C. White),,3,73,66,7,1653.0
8:27.0, ,73-67,C. White makes free throw 1 of 1,,3,73,67,6,1653.0
8:15.0,J. Butler makes 2-pt jump shot from 8 ft (assist by B. Adebayo),75-67, ,,3,75,67,8,1665.0
8:02.0, ,75-70,C. White makes 3-pt jump shot from 28 ft (assist by A. Caruso),,3,75,70,5,1678.0
7:40.0,D. Robinson misses 3-pt jump shot from 23 ft,75-70, ,,3,75,70,5,1700.0
7:37.0, ,75-70,Defensive rebound by N. Vučević,,3,75,70,5,1703.0
7:31.0, ,75-70,Shooting foul by B. Adebayo (drawn by N. Vučević),,3,75,70,5,1709.0
7:31.0, ,75-71,N. Vučević makes free throw 1 of 2,,3,75,71,4,1709.0
7:31.0, ,75-72,N. Vučević makes free throw 2 of 2,,3,75,72,3,1709.0
7:20.0,Personal foul by C. White (drawn by K. Lowry),75-72, ,,3,75,72,3,1720.0
7:10.0,K. Lowry makes 3-pt jump shot from 23 ft (assist by J. Butler),78-72, ,,3,78,72,6,1730.0
6:52.0, ,78-72,N. Vučević misses 2-pt jump shot from 18 ft,,3,78,72,6,1748.0
6:49.0,Defensive rebound by B. Adebayo,78-72, ,,3,78,72,6,1751.0
6:35.0,B. Adebayo makes 2-pt layup from 6 ft (assist by K. Lowry),80-72, ,,3,80,72,8,1765.0
6:35.0, ,80-72,Chicago full timeout,,3,80,72,8,1765.0
6:22.0, ,80-72,Z. LaVine misses 3-pt jump shot from 30 ft,,3,80,72,8,1778.0
6:16.0, ,80-72,Offensive rebound by N. Vučević,,3,80,72,8,1784.0
6:16.0, ,80-74,N. Vučević makes 2-pt layup at rim,,3,80,74,6,1784.0
6:13.0,Turnover by K. Lowry (bad pass),80-74, ,,3,80,74,6,1787.0
6:01.0, ,80-74,D. DeRozan misses 2-pt jump shot from 9 ft,,3,80,74,6,1799.0
5:59.0,Defensive rebound by K. Lowry,80-74, ,,3,80,74,6,1801.0
5:43.0,H. Highsmith makes 2-pt layup from 2 ft (assist by B. Adebayo),82-74, ,,3,82,74,8,1817.0
5:31.0, ,82-74,Turnover by N. Vučević (lost ball; steal by J. Butler),,3,82,74,8,1829.0
5:23.0,J. Butler misses 2-pt jump shot from 14 ft,82-74, ,,3,82,74,8,1837.0
5:19.0, ,82-74,Defensive rebound by D. DeRozan,,3,82,74,8,1841.0
5:04.0, ,82-74,D. DeRozan misses 2-pt jump shot from 19 ft,,3,82,74,8,1856.0
5:02.0,Defensive rebound by B. Adebayo,82-74, ,,3,82,74,8,1858.0
4:56.0,Offensive foul by H. Highsmith (drawn by C. White),82-74, ,,3,82,74,8,1864.0
4:56.0,Turnover by H. Highsmith (offensive foul),82-74, ,,3,82,74,8,1864.0
4:56.0,J. Jaquez enters the game for B. Adebayo,82-74, ,,3,82,74,8,1864.0
4:56.0,K. Love enters the game for D. Robinson,82-74, ,,3,82,74,8,1864.0
4:56.0, ,82-74,T. Craig enters the game for D. DeRozan,,3,82,74,8,1864.0
4:41.0, ,82-76,N. Vučević makes 2-pt layup from 5 ft,,3,82,76,6,1879.0
4:26.0,H. Highsmith makes 3-pt jump shot from 25 ft (assist by J. Butler),85-76, ,,3,85,76,9,1894.0
4:01.0, ,85-76,Z. LaVine misses 3-pt jump shot from 26 ft,,3,85,76,9,1919.0
4:00.0,Defensive rebound by Team,85-76, ,,3,85,76,9,1920.0
3:48.0,Turnover by J. Butler (bad pass; steal by A. Caruso),85-76, ,,3,85,76,9,1932.0
3:41.0, ,85-76,A. Caruso misses 2-pt layup from 2 ft,,3,85,76,9,1939.0
3:40.0,Defensive rebound by K. Love,85-76, ,,3,85,76,9,1940.0
3:36.0,Shooting foul by C. White (drawn by J. Butler),85-76, ,,3,85,76,9,1944.0
3:36.0,J. Butler makes free throw 1 of 2,86-76, ,,3,86,76,10,1944.0
3:36.0,J. Richardson enters the game for H. Highsmith,86-76, ,,3,86,76,10,1944.0
3:36.0, ,86-76,A. Dosunmu enters the game for A. Caruso,,3,86,76,10,1944.0
3:36.0,J. Butler makes free throw 2 of 2,87-76, ,,3,87,76,11,1944.0
3:16.0, ,87-76,C. White misses 3-pt jump shot from 25 ft,,3,87,76,11,1964.0
3:14.0,Defensive rebound by K. Love,87-76, ,,3,87,76,11,1966.0
3:12.0,Turnover by K. Love (bad pass; steal by C. White),87-76, ,,3,87,76,11,1968.0
3:06.0, ,87-78,C. White makes 2-pt layup from 1 ft,,3,87,78,9,1974.0
3:06.0, ,87-78,Shooting foul by J. Jaquez (drawn by C. White),,3,87,78,9,1974.0
3:06.0, ,87-79,C. White makes free throw 1 of 1,,3,87,79,8,1974.0
2:47.0,J. Jaquez makes 3-pt jump shot from 23 ft (assist by J. Butler),90-79, ,,3,90,79,11,1993.0
2:23.0, ,90-79,A. Dosunmu misses 2-pt jump shot from 18 ft,,3,90,79,11,2017.0
2:21.0,Defensive rebound by K. Lowry,90-79, ,,3,90,79,11,2019.0
2:21.0,Personal foul by N. Vučević (drawn by K. Lowry),90-79, ,,3,90,79,11,2019.0
2:21.0,Miami full timeout,90-79, ,,3,90,79,11,2019.0
2:21.0, ,90-79,A. Drummond enters the game for N. Vučević,,3,90,79,11,2019.0
2:21.0, ,90-79,P. Williams enters the game for C. White,,3,90,79,11,2019.0
1:58.0,J. Butler misses 2-pt layup from 1 ft,90-79, ,,3,90,79,11,2042.0
1:58.0, ,90-79,Defensive rebound by Team,,3,90,79,11,2042.0
1:45.0, ,90-79,A. Drummond misses 2-pt dunk from 1 ft,,3,90,79,11,2055.0
1:43.0,Defensive rebound by J. Butler,90-79, ,,3,90,79,11,2057.0
1:38.0,J. Jaquez makes 3-pt jump shot from 23 ft (assist by J. Butler),93-79, ,,3,93,79,14,2062.0
1:38.0, ,93-79,Chicago full timeout,,3,93,79,14,2062.0
1:38.0, ,93-79,D. DeRozan enters the game for Z. LaVine,,3,93,79,14,2062.0
1:18.0, ,93-79,T. Craig misses 3-pt jump shot from 23 ft,,3,93,79,14,2082.0
1:15.0,Defensive rebound by K. Love,93-79, ,,3,93,79,14,2085.0
1:04.0,K. Love misses 3-pt jump shot from 23 ft,93-79, ,,3,93,79,14,2096.0
0:58.0,Offensive rebound by J. Richardson,93-79, ,,3,93,79,14,2102.0
0:56.0,J. Butler misses 3-pt jump shot from 25 ft,93-79, ,,3,93,79,14,2104.0
0:54.0, ,93-79,Defensive rebound by A. Drummond,,3,93,79,14,2106.0
0:44.0, ,93-81,D. DeRozan makes 2-pt jump shot from 16 ft,,3,93,81,12,2116.0
0:19.0,J. Jaquez misses 2-pt jump shot from 10 ft,93-81, ,,3,93,81,12,2141.0
0:18.0,Offensive rebound by K. Lowry,93-81, ,,3,93,81,12,2142.0
0:15.0,J. Richardson misses 2-pt jump shot from 20 ft,93-81, ,,3,93,81,12,2145.0
0:15.0, ,93-81,Defensive rebound by A. Drummond,,3,93,81,12,2145.0
0:00.0,End of 3rd quarter,93-81,,,3,93,81,12,2160.0
