Time,Indiana,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:10.0, ,7-14,K. Love makes 3-pt jump shot from 26 ft (assist by K. Lowry),,1,14,7,7,410.0
4:58.0,I. Jackson makes 2-pt dunk from 3 ft (assist by A. Nembhard),9-14, ,,1,14,9,5,422.0
4:39.0, ,9-14,J. Butler misses 2-pt jump shot from 10 ft,,1,14,9,5,441.0
4:36.0,Defensive rebound by B. Mathurin,9-14, ,,1,14,9,5,444.0
4:29.0,B. Mathurin makes 3-pt jump shot from 27 ft,12-14, ,,1,14,12,2,451.0
4:06.0, ,12-14,K. Love misses 3-pt jump shot from 23 ft,,1,14,12,2,474.0
4:03.0,Defensive rebound by A. Nesmith,12-14, ,,1,14,12,2,477.0
3:48.0,A. Nembhard misses 3-pt jump shot from 27 ft,12-14, ,,1,14,12,2,492.0
3:46.0, ,12-14,Defensive rebound by Team,,1,14,12,2,494.0
3:46.0,T. McConnell enters the game for A. Nembhard,12-14, ,,1,14,12,2,494.0
3:36.0, ,12-17,K. Love makes 3-pt jump shot from 26 ft (assist by K. Lowry),,1,17,12,5,504.0
3:36.0, ,12-17,Shooting foul by I. Jackson (drawn by K. Love),,1,17,12,5,504.0
3:36.0,Indiana full timeout,12-17, ,,1,17,12,5,504.0
3:36.0,B. Hield enters the game for O. Toppin,12-17, ,,1,17,12,5,504.0
3:36.0, ,12-18,K. Love makes free throw 1 of 1,,1,18,12,6,504.0
3:21.0,Offensive foul by B. Mathurin (drawn by K. Lowry),12-18, ,,1,18,12,6,519.0
3:21.0,Turnover by B. Mathurin (offensive foul),12-18, ,,1,18,12,6,519.0
3:21.0, ,12-18,J. Richardson enters the game for K. Lowry,,1,18,12,6,519.0
3:10.0, ,12-20,C. Martin makes 2-pt layup from 4 ft (assist by K. Love),,1,20,12,8,530.0
2:55.0,I. Jackson makes 2-pt layup from 6 ft (assist by T. McConnell),14-20, ,,1,20,14,6,545.0
2:38.0, ,14-20,C. Martin misses 3-pt jump shot from 25 ft,,1,20,14,6,562.0
2:35.0,Defensive rebound by I. Jackson,14-20, ,,1,20,14,6,565.0
2:26.0,B. Hield misses 3-pt jump shot from 27 ft,14-20, ,,1,20,14,6,574.0
2:22.0, ,14-20,Defensive rebound by J. Richardson,,1,20,14,6,578.0
2:17.0, ,14-20,C. Martin misses 2-pt layup from 3 ft,,1,20,14,6,583.0
2:16.0, ,14-20,Offensive rebound by C. Martin,,1,20,14,6,584.0
2:16.0, ,14-20,C. Martin misses 2-pt layup at rim (block by I. Jackson),,1,20,14,6,584.0
2:16.0,Defensive rebound by I. Jackson,14-20, ,,1,20,14,6,584.0
2:16.0,Personal foul by C. Martin (drawn by I. Jackson),14-20, ,,1,20,14,6,584.0
2:16.0,I. Jackson makes free throw 1 of 2,15-20, ,,1,20,15,5,584.0
2:16.0,B. Sheppard enters the game for B. Hield,15-20, ,,1,20,15,5,584.0
2:16.0,I. Jackson makes free throw 2 of 2,16-20, ,,1,20,16,4,584.0
2:13.0, ,16-22,C. Martin makes 2-pt layup from 4 ft (assist by K. Love),,1,22,16,6,587.0
