Time,Golden State,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
8:56.0, ,5-5,Offensive rebound by B. Adebayo,,1,5,5,0,184.0
8:53.0, ,5-5,B. Adebayo misses 2-pt jump shot from 12 ft,,1,5,5,0,187.0
8:50.0,Defensive rebound by A. Wiggins,5-5, ,,1,5,5,0,190.0
8:45.0,J. Kuminga makes 2-pt layup from 3 ft,7-5, ,,1,5,7,-2,195.0
8:30.0, ,7-5,B. Adebayo misses 2-pt hook shot from 8 ft,,1,5,7,-2,210.0
8:30.0,Defensive rebound by Team,7-5, ,,1,5,7,-2,210.0
8:09.0,A. Wiggins makes 2-pt layup from 2 ft (assist by K. Thompson),9-5, ,,1,5,9,-4,231.0
7:59.0, ,9-5,J. Jaquez misses 2-pt layup from 1 ft (block by J. Kuminga),,1,5,9,-4,241.0
7:59.0, ,9-5,Offensive rebound by Team,,1,5,9,-4,241.0
7:51.0, ,9-5,T. Rozier misses 2-pt layup from 2 ft,,1,5,9,-4,249.0
7:47.0,Defensive rebound by K. Thompson,9-5, ,,1,5,9,-4,253.0
7:34.0,K. Thompson makes 2-pt jump shot from 19 ft,11-5, ,,1,5,11,-6,266.0
7:16.0, ,11-5,B. Adebayo misses 2-pt layup from 1 ft,,1,5,11,-6,284.0
7:14.0,Defensive rebound by D. Green,11-5, ,,1,5,11,-6,286.0
7:11.0,K. Thompson makes 2-pt layup from 2 ft (assist by S. Curry),13-5, ,,1,5,13,-8,289.0
7:11.0, ,13-5,Miami full timeout,,1,5,13,-8,289.0
7:11.0,B. Podziemski enters the game for K. Thompson,13-5, ,,1,5,13,-8,289.0
6:58.0, ,13-7,J. Jaquez makes 2-pt layup from 2 ft (assist by N. Jović),,1,7,13,-6,302.0
6:41.0,S. Curry makes 2-pt jump shot from 12 ft,15-7, ,,1,7,15,-8,319.0
6:22.0, ,15-10,N. Jović makes 3-pt jump shot from 24 ft (assist by P. Mills),,1,10,15,-5,338.0
6:16.0, ,15-10,Violation by Team (kicked ball),,1,10,15,-5,344.0
6:16.0,G. Payton enters the game for J. Kuminga,15-10, ,,1,10,15,-5,344.0
6:16.0, ,15-10,C. Martin enters the game for J. Jaquez,,1,10,15,-5,344.0
6:02.0,A. Wiggins makes 3-pt jump shot from 27 ft,18-10, ,,1,10,18,-8,358.0
5:44.0, ,18-10,C. Martin misses 3-pt jump shot from 25 ft,,1,10,18,-8,376.0
5:41.0, ,18-10,Offensive rebound by B. Adebayo,,1,10,18,-8,379.0
5:34.0, ,18-12,C. Martin makes 2-pt layup from 2 ft (assist by N. Jović),,1,12,18,-6,386.0
5:21.0,Turnover by A. Wiggins (out of bounds lost ball),18-12, ,,1,12,18,-6,399.0
5:21.0,K. Looney enters the game for D. Green,18-12, ,,1,12,18,-6,399.0
5:08.0, ,18-12,P. Mills misses 3-pt jump shot from 22 ft,,1,12,18,-6,412.0
5:06.0,Defensive rebound by K. Looney,18-12, ,,1,12,18,-6,414.0
4:57.0,S. Curry misses 3-pt jump shot from 26 ft,18-12, ,,1,12,18,-6,423.0
4:55.0,Offensive rebound by Team,18-12, ,,1,12,18,-6,425.0
4:46.0, ,18-12,Violation by Team (kicked ball),,1,12,18,-6,434.0
4:30.0,S. Curry makes 2-pt jump shot from 2 ft,20-12, ,,1,12,20,-8,450.0
4:18.0, ,20-14,B. Adebayo makes 2-pt jump shot from 7 ft,,1,14,20,-6,462.0
4:12.0,B. Podziemski misses 3-pt jump shot from 27 ft,20-14, ,,1,14,20,-6,468.0
4:10.0, ,20-14,Defensive rebound by Team,,1,14,20,-6,470.0
4:10.0,C. Paul enters the game for S. Curry,20-14, ,,1,14,20,-6,470.0
4:10.0, ,20-14,H. Highsmith enters the game for P. Mills,,1,14,20,-6,470.0
3:53.0, ,20-14,C. Martin misses 2-pt jump shot from 14 ft,,1,14,20,-6,487.0
3:51.0,Defensive rebound by A. Wiggins,20-14, ,,1,14,20,-6,489.0
3:48.0,Offensive foul by C. Paul (drawn by T. Rozier),20-14, ,,1,14,20,-6,492.0
3:48.0,Turnover by C. Paul (offensive foul),20-14, ,,1,14,20,-6,492.0
3:48.0,J. Kuminga enters the game for A. Wiggins,20-14, ,,1,14,20,-6,492.0
3:25.0, ,20-16,B. Adebayo makes 2-pt hook shot from 5 ft (assist by C. Martin),,1,16,20,-4,515.0
3:12.0,Turnover by C. Paul (out of bounds lost ball),20-16, ,,1,16,20,-4,528.0
3:02.0, ,20-18,B. Adebayo makes 2-pt hook shot from 2 ft (assist by C. Martin),,1,18,20,-2,538.0
3:02.0,Golden State full timeout,20-18, ,,1,18,20,-2,538.0
3:02.0,K. Thompson enters the game for G. Payton,20-18, ,,1,18,20,-2,538.0
3:02.0, ,20-18,D. Wright enters the game for T. Rozier,,1,18,20,-2,538.0
2:54.0,Turnover by  (8 sec),20-18, ,,1,18,20,-2,546.0
2:43.0, ,20-20,N. Jović makes 2-pt layup from 1 ft (assist by B. Adebayo),Tie,1,20,20,0,557.0
2:22.0,B. Podziemski makes 2-pt jump shot from 12 ft (assist by J. Kuminga),22-20, ,,1,20,22,-2,578.0
1:55.0, ,22-23,H. Highsmith makes 3-pt jump shot from 26 ft (assist by C. Martin),Lead change,1,23,22,1,605.0
1:31.0,J. Kuminga makes 2-pt jump shot from 21 ft (assist by C. Paul),24-23, ,Lead change,1,23,24,-1,629.0
1:22.0, ,24-26,B. Adebayo makes 3-pt jump shot from 25 ft (assist by C. Martin),Lead change,1,26,24,2,638.0
0:54.0,B. Podziemski misses 3-pt jump shot from 23 ft,24-26, ,,1,26,24,2,666.0
0:54.0, ,24-26,Defensive rebound by N. Jović,,1,26,24,2,666.0
0:54.0, ,24-26,T. Bryant enters the game for B. Adebayo,,1,26,24,2,666.0
0:54.0, ,24-26,J. Jaquez enters the game for N. Jović,,1,26,24,2,666.0
0:31.0, ,24-26,J. Jaquez misses 3-pt jump shot from 23 ft,,1,26,24,2,689.0
0:29.0,Defensive rebound by K. Looney,24-26, ,,1,26,24,2,691.0
0:10.0,K. Thompson misses 3-pt jump shot from 27 ft,24-26, ,,1,26,24,2,710.0
0:08.0, ,24-26,Defensive rebound by C. Martin,,1,26,24,2,712.0
0:01.0, ,24-26,C. Martin misses 2-pt jump shot from 12 ft,,1,26,24,2,719.0
0:01.0,Defensive rebound by B. Podziemski,24-26, ,,1,26,24,2,719.0
0:00.0,End of 1st quarter,24-26,,,1,26,24,2,720.0
12:00.0,Start of 2nd quarter,24-26,,,2,26,24,2,720.0
11:39.0,J. Kuminga makes 2-pt jump shot from 14 ft (assist by B. Podziemski),26-26, ,Tie,2,26,26,0,741.0
11:22.0, ,26-26,T. Bryant misses 3-pt jump shot from 25 ft,,2,26,26,0,758.0
11:20.0,Defensive rebound by K. Thompson,26-26, ,,2,26,26,0,760.0
11:13.0,J. Kuminga misses 2-pt jump shot from 10 ft,26-26, ,,2,26,26,0,767.0
11:10.0, ,26-26,Defensive rebound by T. Bryant,,2,26,26,0,770.0
10:56.0, ,26-26,D. Wright misses 3-pt jump shot from 26 ft,,2,26,26,0,784.0
10:51.0,Defensive rebound by B. Podziemski,26-26, ,,2,26,26,0,789.0
10:43.0,J. Kuminga misses 2-pt jump shot from 19 ft,26-26, ,,2,26,26,0,797.0
10:37.0, ,26-26,Defensive rebound by H. Highsmith,,2,26,26,0,803.0
10:30.0, ,26-29,J. Jaquez makes 3-pt jump shot from 24 ft (assist by D. Wright),,2,29,26,3,810.0
10:07.0,B. Podziemski makes 2-pt layup from 1 ft (assist by K. Looney),28-29, ,,2,29,28,1,833.0
10:07.0,Shooting foul by J. Jaquez (drawn by B. Podziemski),28-29, ,,2,29,28,1,833.0
10:07.0,B. Podziemski misses free throw 1 of 1,28-29, ,,2,29,28,1,833.0
10:05.0,Offensive rebound by Team,28-29, ,,2,29,28,1,835.0
9:56.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by C. Paul),31-29, ,Lead change,2,29,31,-2,844.0
9:42.0, ,31-31,C. Martin makes 2-pt layup from 2 ft (assist by D. Wright),Tie,2,31,31,0,858.0
9:24.0,K. Thompson makes 3-pt jump shot from 29 ft (assist by C. Paul),34-31, ,,2,31,34,-3,876.0
9:23.0, ,34-31,Miami full timeout,,2,31,34,-3,877.0
9:04.0, ,34-31,Turnover by J. Jaquez (bad pass; steal by B. Podziemski),,2,31,34,-3,896.0
8:57.0,J. Kuminga makes 2-pt layup from 2 ft (assist by K. Thompson),36-31, ,,2,31,36,-5,903.0
8:57.0,Violation by Team (delay of game),36-31, ,,2,31,36,-5,903.0
8:34.0, ,36-34,H. Highsmith makes 3-pt jump shot from 24 ft (assist by J. Jaquez),,2,34,36,-2,926.0
8:10.0,K. Looney makes 2-pt jump shot from 12 ft (assist by J. Kuminga),38-34, ,,2,34,38,-4,950.0
8:02.0, ,38-34,Turnover by J. Jaquez (bad pass; steal by C. Paul),,2,34,38,-4,958.0
7:57.0,B. Podziemski makes 2-pt layup from 2 ft,40-34, ,,2,34,40,-6,963.0
7:42.0, ,40-36,J. Jaquez makes 2-pt jump shot from 15 ft (assist by C. Martin),,2,36,40,-4,978.0
7:25.0,J. Kuminga misses 3-pt jump shot from 26 ft,40-36, ,,2,36,40,-4,995.0
7:22.0, ,40-36,Defensive rebound by T. Bryant,,2,36,40,-4,998.0
7:10.0, ,40-36,D. Wright misses 2-pt layup from 4 ft,,2,36,40,-4,1010.0
7:08.0,Defensive rebound by K. Looney,40-36, ,,2,36,40,-4,1012.0
6:55.0,K. Looney misses 2-pt layup from 1 ft,40-36, ,,2,36,40,-4,1025.0
6:53.0, ,40-36,Defensive rebound by T. Bryant,,2,36,40,-4,1027.0
6:43.0, ,40-36,Turnover by T. Bryant (3 sec),,2,36,40,-4,1037.0
6:43.0,S. Curry enters the game for J. Kuminga,40-36, ,,2,36,40,-4,1037.0
6:43.0,D. Green enters the game for K. Looney,40-36, ,,2,36,40,-4,1037.0
6:43.0,G. Payton enters the game for B. Podziemski,40-36, ,,2,36,40,-4,1037.0
6:43.0,A. Wiggins enters the game for K. Thompson,40-36, ,,2,36,40,-4,1037.0
6:43.0, ,40-36,B. Adebayo enters the game for T. Bryant,,2,36,40,-4,1037.0
6:43.0, ,40-36,T. Rozier enters the game for J. Jaquez,,2,36,40,-4,1037.0
6:28.0,A. Wiggins misses 3-pt jump shot from 25 ft,40-36, ,,2,36,40,-4,1052.0
6:24.0, ,40-36,Defensive rebound by Team,,2,36,40,-4,1056.0
6:06.0, ,40-36,Personal foul by G. Payton (drawn by B. Adebayo),,2,36,40,-4,1074.0
6:06.0,M. Moody enters the game for C. Paul,40-36, ,,2,36,40,-4,1074.0
6:06.0, ,40-36,P. Mills enters the game for D. Wright,,2,36,40,-4,1074.0
5:58.0, ,40-38,T. Rozier makes 2-pt jump shot from 10 ft,,2,38,40,-2,1082.0
5:50.0,Personal foul by P. Mills (drawn by A. Wiggins),40-38, ,,2,38,40,-2,1090.0
5:43.0,D. Green misses 2-pt jump shot from 7 ft,40-38, ,,2,38,40,-2,1097.0
5:40.0, ,40-38,Defensive rebound by B. Adebayo,,2,38,40,-2,1100.0
5:30.0, ,40-38,T. Rozier misses 3-pt jump shot from 26 ft,,2,38,40,-2,1110.0
5:26.0, ,40-38,Offensive rebound by H. Highsmith,,2,38,40,-2,1114.0
5:23.0, ,40-40,C. Martin makes 2-pt layup from 1 ft (assist by H. Highsmith),Tie,2,40,40,0,1117.0
5:15.0,Shooting foul by T. Rozier (drawn by M. Moody),40-40, ,,2,40,40,0,1125.0
5:15.0, ,40-40,Miami full timeout,,2,40,40,0,1125.0
5:15.0,M. Moody makes free throw 1 of 2,41-40, ,,2,40,41,-1,1125.0
5:15.0,M. Moody misses free throw 2 of 2,41-40, ,,2,40,41,-1,1125.0
5:13.0, ,41-40,Defensive rebound by B. Adebayo,,2,40,41,-1,1127.0
5:02.0, ,41-43,H. Highsmith makes 3-pt jump shot from 27 ft (assist by T. Rozier),Lead change,2,43,41,2,1138.0
4:44.0,G. Payton misses 2-pt layup from 4 ft,41-43, ,,2,43,41,2,1156.0
4:42.0, ,41-43,Defensive rebound by B. Adebayo,,2,43,41,2,1158.0
4:38.0, ,41-45,C. Martin makes 2-pt layup from 1 ft (assist by B. Adebayo),,2,45,41,4,1162.0
4:27.0,G. Payton misses 2-pt layup from 3 ft (block by T. Rozier),41-45, ,,2,45,41,4,1173.0
4:27.0, ,41-45,Defensive rebound by Team,,2,45,41,4,1173.0
4:17.0, ,41-45,Turnover by B. Adebayo (lost ball; steal by D. Green),,2,45,41,4,1183.0
4:06.0,M. Moody makes 3-pt jump shot from 26 ft (assist by D. Green),44-45, ,,2,45,44,1,1194.0
3:50.0, ,44-45,T. Rozier misses 2-pt layup from 3 ft,,2,45,44,1,1210.0
3:47.0,Defensive rebound by D. Green,44-45, ,,2,45,44,1,1213.0
3:36.0,M. Moody makes 2-pt jump shot from 8 ft,46-45, ,Lead change,2,45,46,-1,1224.0
3:30.0, ,46-45,Personal foul by A. Wiggins (drawn by C. Martin),,2,45,46,-1,1230.0
3:23.0, ,46-47,P. Mills makes 2-pt jump shot from 20 ft (assist by B. Adebayo),Lead change,2,47,46,1,1237.0
3:09.0,A. Wiggins misses 3-pt jump shot from 25 ft,46-47, ,,2,47,46,1,1251.0
3:04.0, ,46-47,Defensive rebound by C. Martin,,2,47,46,1,1256.0
2:45.0, ,46-47,B. Adebayo misses 2-pt jump shot from 21 ft,,2,47,46,1,1275.0
2:44.0, ,46-47,Offensive rebound by Team,,2,47,46,1,1276.0
2:43.0, ,46-47,Turnover by Team (shot clock),,2,47,46,1,1277.0
2:43.0, ,46-47,N. Jović enters the game for P. Mills,,2,47,46,1,1277.0
2:26.0,D. Green misses 2-pt jump shot from 3 ft (block by B. Adebayo),46-47, ,,2,47,46,1,1294.0
2:20.0, ,46-47,Defensive rebound by H. Highsmith,,2,47,46,1,1300.0
2:20.0, ,46-49,H. Highsmith makes 2-pt layup from 1 ft,,2,49,46,3,1300.0
2:20.0,Golden State full timeout,46-49, ,,2,49,46,3,1300.0
2:20.0,K. Thompson enters the game for G. Payton,46-49, ,,2,49,46,3,1300.0
2:09.0,S. Curry misses 3-pt jump shot from 27 ft,46-49, ,,2,49,46,3,1311.0
2:06.0, ,46-49,Defensive rebound by T. Rozier,,2,49,46,3,1314.0
1:49.0, ,46-49,B. Adebayo misses 2-pt jump shot from 13 ft,,2,49,46,3,1331.0
1:47.0,Defensive rebound by S. Curry,46-49, ,,2,49,46,3,1333.0
1:37.0,Offensive foul by M. Moody (drawn by C. Martin),46-49, ,,2,49,46,3,1343.0
1:37.0,Turnover by M. Moody (offensive foul),46-49, ,,2,49,46,3,1343.0
1:37.0,C. Paul enters the game for M. Moody,46-49, ,,2,49,46,3,1343.0
1:27.0, ,46-49,Personal foul by D. Green (drawn by B. Adebayo),,2,49,46,3,1353.0
1:15.0, ,46-49,T. Rozier misses 2-pt jump shot from 13 ft,,2,49,46,3,1365.0
1:13.0,Defensive rebound by K. Thompson,46-49, ,,2,49,46,3,1367.0
1:01.0,A. Wiggins makes 2-pt hook shot from 8 ft,48-49, ,,2,49,48,1,1379.0
0:48.0, ,48-51,B. Adebayo makes 2-pt jump shot from 6 ft,,2,51,48,3,1392.0
0:41.0,Turnover by C. Paul (lost ball; steal by H. Highsmith),48-51, ,,2,51,48,3,1399.0
0:40.0, ,48-53,H. Highsmith makes 2-pt layup from 1 ft,,2,53,48,5,1400.0
0:32.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by D. Green),51-53, ,,2,53,51,2,1408.0
0:17.0, ,51-55,B. Adebayo makes 2-pt hook shot from 6 ft (assist by H. Highsmith),,2,55,51,4,1423.0
0:02.0,D. Green makes 2-pt layup from 2 ft (assist by C. Paul),53-55, ,,2,55,53,2,1438.0
0:01.0, ,53-55,N. Jović misses 3-pt jump shot from 43 ft,,2,55,53,2,1439.0
0:01.0, ,53-55,Offensive rebound by Team,,2,55,53,2,1439.0
0:00.0,End of 2nd quarter,53-55,,,2,55,53,2,1440.0
12:00.0,Start of 3rd quarter,53-55,,,3,55,53,2,1440.0
11:47.0,K. Thompson makes 3-pt jump shot from 27 ft (assist by D. Green),56-55, ,Lead change,3,55,56,-1,1453.0
11:27.0, ,56-57,J. Jaquez makes 2-pt layup from 4 ft (assist by N. Jović),Lead change,3,57,56,1,1473.0
11:13.0,A. Wiggins makes 2-pt layup from 1 ft,58-57, ,Lead change,3,57,58,-1,1487.0
10:56.0, ,58-57,N. Jović misses 3-pt jump shot from 26 ft,,3,57,58,-1,1504.0
10:53.0,Defensive rebound by A. Wiggins,58-57, ,,3,57,58,-1,1507.0
10:45.0,A. Wiggins makes 2-pt jump shot from 21 ft,60-57, ,,3,57,60,-3,1515.0
10:30.0, ,60-57,P. Mills misses 2-pt layup from 3 ft,,3,57,60,-3,1530.0
10:26.0, ,60-57,Offensive rebound by J. Jaquez,,3,57,60,-3,1534.0
10:26.0, ,60-57,J. Jaquez misses 2-pt layup at rim,,3,57,60,-3,1534.0
10:26.0,Defensive rebound by K. Thompson,60-57, ,,3,57,60,-3,1534.0
10:23.0,K. Thompson misses 3-pt jump shot from 26 ft,60-57, ,,3,57,60,-3,1537.0
10:20.0, ,60-57,Defensive rebound by T. Rozier,,3,57,60,-3,1540.0
10:15.0, ,60-57,T. Rozier misses 2-pt layup from 4 ft,,3,57,60,-3,1545.0
10:13.0,Defensive rebound by D. Green,60-57, ,,3,57,60,-3,1547.0
10:09.0,J. Kuminga makes 2-pt dunk from 2 ft (assist by D. Green),62-57, ,,3,57,62,-5,1551.0
9:51.0, ,62-59,T. Rozier makes 2-pt jump shot from 15 ft,,3,59,62,-3,1569.0
9:39.0,A. Wiggins makes 2-pt jump shot from 21 ft,64-59, ,,3,59,64,-5,1581.0
9:16.0, ,64-59,J. Jaquez misses 3-pt jump shot from 24 ft,,3,59,64,-5,1604.0
9:13.0,Defensive rebound by D. Green,64-59, ,,3,59,64,-5,1607.0
9:12.0,Shooting foul by J. Jaquez (drawn by A. Wiggins),64-59, ,,3,59,64,-5,1608.0
9:12.0,A. Wiggins makes free throw 1 of 2,65-59, ,,3,59,65,-6,1608.0
9:12.0,A. Wiggins makes free throw 2 of 2,66-59, ,,3,59,66,-7,1608.0
8:51.0, ,66-61,T. Rozier makes 2-pt jump shot from 8 ft,,3,61,66,-5,1629.0
8:39.0,J. Kuminga makes 2-pt layup from 2 ft (assist by S. Curry),68-61, ,,3,61,68,-7,1641.0
8:39.0,Shooting foul by T. Rozier (drawn by J. Kuminga),68-61, ,,3,61,68,-7,1641.0
8:39.0,J. Kuminga misses free throw 1 of 1,68-61, ,,3,61,68,-7,1641.0
8:36.0, ,68-61,Defensive rebound by B. Adebayo,,3,61,68,-7,1644.0
8:26.0, ,68-63,T. Rozier makes 2-pt layup from 3 ft (assist by B. Adebayo),,3,63,68,-5,1654.0
8:11.0,K. Thompson makes 2-pt layup from 2 ft (assist by D. Green),70-63, ,,3,63,70,-7,1669.0
8:00.0, ,70-63,Turnover by P. Mills (bad pass; steal by D. Green),,3,63,70,-7,1680.0
7:52.0,Offensive foul by J. Kuminga (drawn by T. Rozier),70-63, ,,3,63,70,-7,1688.0
7:52.0,Turnover by J. Kuminga (offensive foul),70-63, ,,3,63,70,-7,1688.0
7:42.0, ,70-65,B. Adebayo makes 2-pt layup from 2 ft (assist by N. Jović),,3,65,70,-5,1698.0
7:27.0,D. Green misses 3-pt jump shot from 26 ft,70-65, ,,3,65,70,-5,1713.0
7:23.0,Offensive rebound by J. Kuminga,70-65, ,,3,65,70,-5,1717.0
7:18.0,S. Curry makes 3-pt jump shot from 33 ft (assist by D. Green),73-65, ,,3,65,73,-8,1722.0
7:11.0, ,73-65,Shooting foul by K. Thompson (drawn by J. Jaquez),,3,65,73,-8,1729.0
7:11.0, ,73-66,J. Jaquez makes free throw 1 of 2,,3,66,73,-7,1729.0
7:11.0,G. Payton enters the game for J. Kuminga,73-66, ,,3,66,73,-7,1729.0
7:11.0, ,73-67,J. Jaquez makes free throw 2 of 2,,3,67,73,-6,1729.0
7:01.0,Turnover by S. Curry (traveling),73-67, ,,3,67,73,-6,1739.0
7:01.0,B. Podziemski enters the game for K. Thompson,73-67, ,,3,67,73,-6,1739.0
6:46.0, ,73-69,B. Adebayo makes 2-pt jump shot from 14 ft,,3,69,73,-4,1754.0
6:21.0,G. Payton makes 2-pt dunk from 1 ft (assist by D. Green),75-69, ,,3,69,75,-6,1779.0
5:55.0, ,75-69,P. Mills misses 2-pt jump shot from 13 ft (block by G. Payton),,3,69,75,-6,1805.0
5:50.0,Defensive rebound by A. Wiggins,75-69, ,,3,69,75,-6,1810.0
5:47.0,S. Curry misses 3-pt jump shot from 25 ft,75-69, ,,3,69,75,-6,1813.0
5:45.0, ,75-69,Defensive rebound by T. Rozier,,3,69,75,-6,1815.0
5:35.0, ,75-69,Shooting foul by D. Green (drawn by J. Jaquez),,3,69,75,-6,1825.0
5:35.0, ,75-69,Miami full timeout,,3,69,75,-6,1825.0
5:35.0,K. Looney enters the game for D. Green,75-69, ,,3,69,75,-6,1825.0
5:35.0, ,75-69,C. Martin enters the game for P. Mills,,3,69,75,-6,1825.0
5:35.0, ,75-69,J. Jaquez misses free throw 1 of 2,,3,69,75,-6,1825.0
5:35.0, ,75-69,Offensive rebound by Team,,3,69,75,-6,1825.0
5:35.0, ,75-70,J. Jaquez makes free throw 2 of 2,,3,70,75,-5,1825.0
5:18.0,S. Curry misses 3-pt jump shot from 26 ft,75-70, ,,3,70,75,-5,1842.0
5:15.0, ,75-70,Defensive rebound by B. Adebayo,,3,70,75,-5,1845.0
5:09.0, ,75-70,B. Adebayo misses 3-pt jump shot from 27 ft,,3,70,75,-5,1851.0
5:05.0,Defensive rebound by A. Wiggins,75-70, ,,3,70,75,-5,1855.0
4:48.0,A. Wiggins misses 2-pt jump shot from 19 ft,75-70, ,,3,70,75,-5,1872.0
4:44.0,Offensive rebound by K. Looney,75-70, ,,3,70,75,-5,1876.0
4:43.0,S. Curry misses 3-pt jump shot from 26 ft,75-70, ,,3,70,75,-5,1877.0
4:40.0, ,75-70,Defensive rebound by T. Rozier,,3,70,75,-5,1880.0
4:35.0, ,75-70,C. Martin misses 3-pt jump shot from 24 ft,,3,70,75,-5,1885.0
4:32.0, ,75-70,Offensive rebound by N. Jović,,3,70,75,-5,1888.0
4:29.0, ,75-70,N. Jović misses 2-pt layup from 3 ft (block by A. Wiggins),,3,70,75,-5,1891.0
4:29.0, ,75-70,Offensive rebound by N. Jović,,3,70,75,-5,1891.0
4:21.0, ,75-70,T. Rozier misses 3-pt jump shot from 26 ft,,3,70,75,-5,1899.0
4:17.0,Defensive rebound by K. Looney,75-70, ,,3,70,75,-5,1903.0
4:05.0,S. Curry makes 2-pt jump shot from 22 ft,77-70, ,,3,70,77,-7,1915.0
3:39.0, ,77-70,C. Martin misses 2-pt jump shot from 4 ft (block by A. Wiggins),,3,70,77,-7,1941.0
3:35.0,Defensive rebound by B. Podziemski,77-70, ,,3,70,77,-7,1945.0
3:26.0,S. Curry misses 3-pt jump shot from 27 ft,77-70, ,,3,70,77,-7,1954.0
3:23.0,Offensive rebound by B. Podziemski,77-70, ,,3,70,77,-7,1957.0
3:22.0,Golden State full timeout,77-70, ,,3,70,77,-7,1958.0
3:22.0,C. Paul enters the game for S. Curry,77-70, ,,3,70,77,-7,1958.0
3:22.0,K. Thompson enters the game for A. Wiggins,77-70, ,,3,70,77,-7,1958.0
3:22.0, ,77-70,T. Bryant enters the game for B. Adebayo,,3,70,77,-7,1958.0
3:22.0, ,77-70,H. Highsmith enters the game for J. Jaquez,,3,70,77,-7,1958.0
3:10.0,Shooting foul by T. Bryant (drawn by K. Looney),77-70, ,,3,70,77,-7,1970.0
3:10.0,K. Looney misses free throw 1 of 2,77-70, ,,3,70,77,-7,1970.0
3:10.0,Offensive rebound by Team,77-70, ,,3,70,77,-7,1970.0
3:10.0,K. Looney makes free throw 2 of 2,78-70, ,,3,70,78,-8,1970.0
2:55.0, ,78-70,T. Rozier misses 2-pt jump shot from 21 ft,,3,70,78,-8,1985.0
2:55.0, ,78-70,Offensive rebound by Team,,3,70,78,-8,1985.0
2:55.0,Loose ball foul by K. Looney (drawn by T. Bryant),78-70, ,,3,70,78,-8,1985.0
2:55.0,J. Kuminga enters the game for G. Payton,78-70, ,,3,70,78,-8,1985.0
2:46.0, ,78-70,T. Bryant misses 3-pt jump shot from 26 ft,,3,70,78,-8,1994.0
2:42.0,Defensive rebound by J. Kuminga,78-70, ,,3,70,78,-8,1998.0
2:39.0,K. Thompson misses 3-pt jump shot from 27 ft,78-70, ,,3,70,78,-8,2001.0
2:37.0, ,78-70,Defensive rebound by N. Jović,,3,70,78,-8,2003.0
2:27.0, ,78-70,T. Bryant misses 2-pt layup from 3 ft (block by K. Thompson),,3,70,78,-8,2013.0
2:22.0,Defensive rebound by J. Kuminga,78-70, ,,3,70,78,-8,2018.0
2:05.0,K. Looney makes 2-pt layup from 2 ft (assist by C. Paul),80-70, ,,3,70,80,-10,2035.0
1:46.0, ,80-70,Turnover by T. Rozier (bad pass; steal by C. Paul),,3,70,80,-10,2054.0
1:41.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by C. Paul),83-70, ,,3,70,83,-13,2059.0
1:41.0, ,83-70,B. Adebayo enters the game for T. Bryant,,3,70,83,-13,2059.0
