Time,Toronto,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:10.0, ,13-14,T. Herro misses 3-pt jump shot from 26 ft,,1,14,13,1,350.0
6:09.0,Defensive rebound by I. Quickley,13-14, ,,1,14,13,1,351.0
6:06.0,Turnover by I. Quickley (bad pass),13-14, ,,1,14,13,1,354.0
6:06.0, ,13-14,J. Jaquez enters the game for J. Butler,,1,14,13,1,354.0
5:43.0, ,13-17,T. Herro makes 3-pt jump shot from 23 ft (assist by J. Jaquez),,1,17,13,4,377.0
5:22.0,G. Dick misses 3-pt jump shot from 27 ft,13-17, ,,1,17,13,4,398.0
5:20.0, ,13-17,Defensive rebound by B. Adebayo,,1,17,13,4,400.0
5:03.0, ,13-17,N. Jović misses 2-pt layup at rim,,1,17,13,4,417.0
5:01.0, ,13-17,Offensive rebound by N. Jović,,1,17,13,4,419.0
4:59.0, ,13-19,N. Jović makes 2-pt layup from 1 ft,,1,19,13,6,421.0
4:48.0,G. Trent misses 3-pt jump shot from 26 ft,13-19, ,,1,19,13,6,432.0
4:47.0,Offensive rebound by Team,13-19, ,,1,19,13,6,433.0
4:47.0, ,13-19,Loose ball foul by N. Jović (drawn by K. Olynyk),,1,19,13,6,433.0
4:47.0,B. Brown enters the game for G. Dick,13-19, ,,1,19,13,6,433.0
4:35.0,Shooting foul by C. Martin (drawn by I. Quickley),13-19, ,,1,19,13,6,445.0
4:35.0,I. Quickley makes free throw 1 of 2,14-19, ,,1,19,14,5,445.0
4:35.0,M. Williams enters the game for K. Olynyk,14-19, ,,1,19,14,5,445.0
4:35.0,I. Quickley makes free throw 2 of 2,15-19, ,,1,19,15,4,445.0
4:17.0, ,15-22,N. Jović makes 3-pt jump shot from 26 ft (assist by T. Herro),,1,22,15,7,463.0
4:11.0,Toronto full timeout,15-22, ,,1,22,15,7,469.0
4:11.0,J. Freeman-Liberty enters the game for I. Quickley,15-22, ,,1,22,15,7,469.0
3:51.0,B. Brown makes 2-pt jump shot from 15 ft (assist by G. Trent),17-22, ,,1,22,17,5,489.0
3:40.0, ,17-22,Personal foul by B. Brown (drawn by N. Jović),,1,22,17,5,500.0
3:40.0, ,17-22,H. Highsmith enters the game for B. Adebayo,,1,22,17,5,500.0
3:40.0, ,17-22,K. Love enters the game for C. Martin,,1,22,17,5,500.0
3:28.0, ,17-22,K. Love misses 3-pt jump shot from 24 ft,,1,22,17,5,512.0
3:25.0,Defensive rebound by M. Williams,17-22, ,,1,22,17,5,515.0
3:14.0,G. Trent misses 2-pt jump shot from 5 ft,17-22, ,,1,22,17,5,526.0
3:11.0, ,17-22,Defensive rebound by K. Love,,1,22,17,5,529.0
2:55.0, ,17-24,K. Love makes 2-pt layup at rim (assist by T. Herro),,1,24,17,7,545.0
2:32.0,B. Brown makes 2-pt layup at rim,19-24, ,,1,24,19,5,568.0
2:18.0, ,19-27,T. Herro makes 3-pt jump shot from 27 ft (assist by N. Jović),,1,27,19,8,582.0
1:57.0,M. Williams misses 2-pt jump shot from 7 ft,19-27, ,,1,27,19,8,603.0
1:54.0, ,19-27,Defensive rebound by T. Herro,,1,27,19,8,606.0
1:38.0, ,19-27,N. Jović misses 3-pt jump shot from 26 ft,,1,27,19,8,622.0
1:36.0,Defensive rebound by G. Trent,19-27, ,,1,27,19,8,624.0
1:28.0,J. Freeman-Liberty misses 3-pt jump shot from 23 ft,19-27, ,,1,27,19,8,632.0
1:22.0, ,19-27,Defensive rebound by K. Love,,1,27,19,8,638.0
1:17.0, ,19-27,Personal foul by G. Trent (drawn by J. Jaquez),,1,27,19,8,643.0
1:17.0,R. Barrett enters the game for G. Trent,19-27, ,,1,27,19,8,643.0
1:17.0, ,19-27,J. Butler enters the game for T. Herro,,1,27,19,8,643.0
1:17.0, ,19-27,D. Wright enters the game for N. Jović,,1,27,19,8,643.0
1:10.0, ,19-27,Personal foul by J. Freeman-Liberty (drawn by J. Butler),,1,27,19,8,650.0
1:10.0, ,19-28,J. Butler makes free throw 1 of 2,,1,28,19,9,650.0
1:10.0, ,19-29,J. Butler makes free throw 2 of 2,,1,29,19,10,650.0
0:50.0,Turnover by B. Brown (step out of bounds),19-29, ,,1,29,19,10,670.0
0:35.0, ,19-31,H. Highsmith makes 2-pt jump shot from 5 ft (assist by J. Butler),,1,31,19,12,685.0
0:31.0,R. Barrett makes 2-pt jump shot from 8 ft,21-31, ,,1,31,21,10,689.0
0:31.0,Shooting foul by D. Wright (drawn by R. Barrett),21-31, ,,1,31,21,10,689.0
0:31.0,R. Barrett makes free throw 1 of 1,22-31, ,,1,31,22,9,689.0
0:22.0, ,22-31,Personal foul by M. Williams (drawn by K. Love),,1,31,22,9,698.0
0:22.0, ,22-32,K. Love makes free throw 1 of 2,,1,32,22,10,698.0
0:22.0, ,22-33,K. Love makes free throw 2 of 2,,1,33,22,11,698.0
0:05.0,J. Freeman-Liberty misses 3-pt jump shot from 25 ft,22-33, ,,1,33,22,11,715.0
0:04.0, ,22-33,Defensive rebound by K. Love,,1,33,22,11,716.0
0:00.0,End of 1st quarter,22-33,,,1,33,22,11,720.0
12:00.0,Start of 2nd quarter,22-33,,,2,33,22,11,720.0
11:46.0,J. Freeman-Liberty makes 2-pt layup from 2 ft (assist by B. Brown),24-33, ,,2,33,24,9,734.0
11:28.0, ,24-33,K. Love misses 3-pt jump shot from 27 ft,,2,33,24,9,752.0
11:24.0,Defensive rebound by B. Brown,24-33, ,,2,33,24,9,756.0
11:21.0,Shooting foul by H. Highsmith (drawn by B. Brown),24-33, ,,2,33,24,9,759.0
11:21.0,B. Brown makes free throw 1 of 2,25-33, ,,2,33,25,8,759.0
11:21.0,B. Brown makes free throw 2 of 2,26-33, ,,2,33,26,7,759.0
11:10.0, ,26-35,J. Jaquez makes 2-pt jump shot from 5 ft (assist by J. Butler),,2,35,26,9,770.0
10:59.0,R. Barrett makes 2-pt layup from 1 ft,28-35, ,,2,35,28,7,781.0
10:45.0, ,28-38,K. Love makes 3-pt jump shot from 26 ft (assist by J. Butler),,2,38,28,10,795.0
10:31.0,J. Freeman-Liberty misses 2-pt jump shot from 7 ft,28-38, ,,2,38,28,10,809.0
10:31.0, ,28-38,Defensive rebound by K. Love,,2,38,28,10,809.0
10:25.0, ,28-38,K. Love misses 3-pt jump shot from 27 ft,,2,38,28,10,815.0
10:23.0, ,28-38,Offensive rebound by Team,,2,38,28,10,817.0
10:23.0,Loose ball foul by R. Barrett (drawn by J. Butler),28-38, ,,2,38,28,10,817.0
10:09.0, ,28-38,Turnover by Team (shot clock),,2,38,28,10,831.0
9:55.0,B. Brown makes 3-pt jump shot from 27 ft (assist by R. Barrett),31-38, ,,2,38,31,7,845.0
9:29.0, ,31-38,K. Love misses 3-pt jump shot from 31 ft,,2,38,31,7,871.0
9:28.0, ,31-38,Offensive rebound by Team,,2,38,31,7,872.0
9:28.0, ,31-38,Turnover by Team (shot clock),,2,38,31,7,872.0
9:07.0,G. Dick misses 2-pt layup from 6 ft,31-38, ,,2,38,31,7,893.0
9:06.0,Offensive rebound by M. Williams,31-38, ,,2,38,31,7,894.0
9:02.0,R. Barrett misses 3-pt jump shot from 25 ft,31-38, ,,2,38,31,7,898.0
8:59.0, ,31-38,Defensive rebound by Team,,2,38,31,7,901.0
8:46.0, ,31-40,J. Butler makes 2-pt jump shot from 7 ft (assist by J. Jaquez),,2,40,31,9,914.0
8:27.0,B. Brown makes 3-pt jump shot from 26 ft (assist by J. Freeman-Liberty),34-40, ,,2,40,34,6,933.0
8:11.0, ,34-43,H. Highsmith makes 3-pt jump shot from 26 ft (assist by D. Wright),,2,43,34,9,949.0
8:11.0,O. Agbaji enters the game for G. Dick,34-43, ,,2,43,34,9,949.0
8:11.0,I. Quickley enters the game for J. Freeman-Liberty,34-43, ,,2,43,34,9,949.0
8:11.0, ,34-43,B. Adebayo enters the game for K. Love,,2,43,34,9,949.0
7:54.0,Turnover by R. Barrett (bad pass; steal by J. Jaquez),34-43, ,,2,43,34,9,966.0
7:54.0, ,34-43,Personal foul by R. Barrett (drawn by J. Jaquez),,2,43,34,9,966.0
7:41.0, ,34-45,J. Jaquez makes 2-pt layup from 1 ft,,2,45,34,11,979.0
7:28.0,Turnover by I. Quickley (bad pass),34-45, ,,2,45,34,11,992.0
7:10.0, ,34-45,H. Highsmith misses 3-pt jump shot from 23 ft,,2,45,34,11,1010.0
7:05.0,Defensive rebound by R. Barrett,34-45, ,,2,45,34,11,1015.0
6:51.0,I. Quickley makes 2-pt jump shot from 9 ft,36-45, ,,2,45,36,9,1029.0
6:39.0, ,36-48,J. Jaquez makes 3-pt jump shot from 26 ft (assist by J. Butler),,2,48,36,12,1041.0
6:17.0,Turnover by R. Barrett (bad pass; steal by D. Wright),36-48, ,,2,48,36,12,1063.0
6:12.0, ,36-50,B. Adebayo makes 2-pt dunk from 1 ft (assist by J. Jaquez),,2,50,36,14,1068.0
6:12.0,Toronto full timeout,36-50, ,,2,50,36,14,1068.0
6:12.0,K. Olynyk enters the game for R. Barrett,36-50, ,,2,50,36,14,1068.0
6:12.0,G. Trent enters the game for M. Williams,36-50, ,,2,50,36,14,1068.0
6:12.0, ,36-50,T. Herro enters the game for J. Butler,,2,50,36,14,1068.0
6:12.0, ,36-50,C. Martin enters the game for D. Wright,,2,50,36,14,1068.0
6:06.0,Shooting foul by H. Highsmith (drawn by I. Quickley),36-50, ,,2,50,36,14,1074.0
6:06.0,I. Quickley makes free throw 1 of 2,37-50, ,,2,50,37,13,1074.0
6:06.0,I. Quickley makes free throw 2 of 2,38-50, ,,2,50,38,12,1074.0
5:55.0, ,38-50,Personal foul by I. Quickley (drawn by C. Martin),,2,50,38,12,1085.0
5:49.0, ,38-50,B. Adebayo misses 2-pt jump shot from 11 ft,,2,50,38,12,1091.0
5:46.0,Defensive rebound by K. Olynyk,38-50, ,,2,50,38,12,1094.0
5:31.0,K. Olynyk makes 2-pt jump shot from 19 ft (assist by O. Agbaji),40-50, ,,2,50,40,10,1109.0
5:12.0, ,40-50,T. Herro misses 3-pt jump shot from 26 ft,,2,50,40,10,1128.0
5:11.0, ,40-50,Offensive rebound by B. Adebayo,,2,50,40,10,1129.0
5:10.0, ,40-52,B. Adebayo makes 2-pt layup at rim,,2,52,40,12,1130.0
4:49.0,G. Trent misses 2-pt jump shot from 15 ft,40-52, ,,2,52,40,12,1151.0
4:47.0, ,40-52,Defensive rebound by B. Adebayo,,2,52,40,12,1153.0
4:38.0, ,40-52,Personal foul by I. Quickley (drawn by H. Highsmith),,2,52,40,12,1162.0
4:32.0, ,40-52,Personal foul by G. Trent (drawn by T. Herro),,2,52,40,12,1168.0
4:32.0, ,40-53,T. Herro makes free throw 1 of 2,,2,53,40,13,1168.0
4:32.0, ,40-54,T. Herro makes free throw 2 of 2,,2,54,40,14,1168.0
4:14.0,O. Agbaji misses 2-pt jump shot from 8 ft,40-54, ,,2,54,40,14,1186.0
4:11.0, ,40-54,Defensive rebound by C. Martin,,2,54,40,14,1189.0
3:55.0, ,40-57,C. Martin makes 3-pt jump shot from 26 ft (assist by J. Jaquez),,2,57,40,17,1205.0
3:40.0,Turnover by K. Olynyk (bad pass),40-57, ,,2,57,40,17,1220.0
3:40.0,R. Barrett enters the game for O. Agbaji,40-57, ,,2,57,40,17,1220.0
3:40.0,G. Dick enters the game for B. Brown,40-57, ,,2,57,40,17,1220.0
3:40.0, ,40-57,N. Jović enters the game for H. Highsmith,,2,57,40,17,1220.0
3:29.0, ,40-57,T. Herro misses 3-pt jump shot from 23 ft,,2,57,40,17,1231.0
3:26.0,Defensive rebound by R. Barrett,40-57, ,,2,57,40,17,1234.0
3:18.0,R. Barrett misses 2-pt layup from 1 ft,40-57, ,,2,57,40,17,1242.0
3:17.0,Offensive rebound by K. Olynyk,40-57, ,,2,57,40,17,1243.0
3:16.0,K. Olynyk makes 2-pt layup at rim,42-57, ,,2,57,42,15,1244.0
3:00.0, ,42-57,J. Jaquez misses 2-pt jump shot from 6 ft,,2,57,42,15,1260.0
2:59.0,Defensive rebound by K. Olynyk,42-57, ,,2,57,42,15,1261.0
2:49.0,I. Quickley misses 3-pt jump shot from 27 ft,42-57, ,,2,57,42,15,1271.0
2:46.0, ,42-57,Defensive rebound by J. Jaquez,,2,57,42,15,1274.0
2:41.0, ,42-60,B. Adebayo makes 3-pt jump shot from 25 ft (assist by J. Jaquez),,2,60,42,18,1279.0
2:29.0,I. Quickley misses 2-pt layup from 1 ft (block by J. Jaquez),42-60, ,,2,60,42,18,1291.0
2:25.0, ,42-60,Defensive rebound by J. Jaquez,,2,60,42,18,1295.0
2:15.0, ,42-60,C. Martin misses 3-pt jump shot from 26 ft,,2,60,42,18,1305.0
2:12.0,Defensive rebound by K. Olynyk,42-60, ,,2,60,42,18,1308.0
2:03.0,Turnover by K. Olynyk (bad pass; steal by C. Martin),42-60, ,,2,60,42,18,1317.0
1:54.0, ,42-60,N. Jović misses 3-pt jump shot from 26 ft,,2,60,42,18,1326.0
1:51.0,Defensive rebound by G. Dick,42-60, ,,2,60,42,18,1329.0
1:44.0,Shooting foul by T. Herro (drawn by R. Barrett),42-60, ,,2,60,42,18,1336.0
1:44.0, ,42-60,Miami full timeout,,2,60,42,18,1336.0
1:44.0, ,42-60,J. Butler enters the game for J. Jaquez,,2,60,42,18,1336.0
1:44.0,R. Barrett misses free throw 1 of 2,42-60, ,,2,60,42,18,1336.0
1:44.0,Offensive rebound by Team,42-60, ,,2,60,42,18,1336.0
1:44.0,R. Barrett makes free throw 2 of 2,43-60, ,,2,60,43,17,1336.0
1:29.0, ,43-62,N. Jović makes 2-pt layup from 1 ft (assist by B. Adebayo),,2,62,43,19,1351.0
1:11.0,R. Barrett makes 2-pt layup from 1 ft (assist by K. Olynyk),45-62, ,,2,62,45,17,1369.0
0:50.0, ,45-64,B. Adebayo makes 2-pt dunk from 1 ft (assist by C. Martin),,2,64,45,19,1390.0
0:38.0,G. Dick makes 3-pt jump shot from 26 ft (assist by R. Barrett),48-64, ,,2,64,48,16,1402.0
0:21.0, ,48-66,N. Jović makes 2-pt layup at rim (assist by J. Butler),,2,66,48,18,1419.0
0:00.0,R. Barrett makes 2-pt hook shot from 3 ft (assist by I. Quickley),50-66, ,,2,66,50,16,1440.0
0:00.0,End of 2nd quarter,50-66,,,2,66,50,16,1440.0
12:00.0,Start of 3rd quarter,50-66,,,3,66,50,16,1440.0
11:41.0,K. Olynyk misses 2-pt layup from 1 ft,50-66, ,,3,66,50,16,1459.0
11:39.0, ,50-66,Defensive rebound by J. Butler,,3,66,50,16,1461.0
11:28.0, ,50-69,N. Jović makes 3-pt jump shot from 26 ft (assist by J. Butler),,3,69,50,19,1472.0
11:09.0,R. Barrett makes 2-pt dunk from 1 ft (assist by K. Olynyk),52-69, ,,3,69,52,17,1491.0
10:52.0, ,52-71,B. Adebayo makes 2-pt jump shot from 11 ft (assist by T. Herro),,3,71,52,19,1508.0
10:40.0,G. Trent misses 2-pt jump shot from 20 ft,52-71, ,,3,71,52,19,1520.0
10:36.0, ,52-71,Defensive rebound by B. Adebayo,,3,71,52,19,1524.0
10:23.0, ,52-71,Personal foul by K. Olynyk (drawn by B. Adebayo),,3,71,52,19,1537.0
10:09.0, ,52-73,J. Butler makes 2-pt layup from 4 ft,,3,73,52,21,1551.0
9:57.0,I. Quickley misses 2-pt jump shot from 11 ft,52-73, ,,3,73,52,21,1563.0
9:55.0,Offensive rebound by R. Barrett,52-73, ,,3,73,52,21,1565.0
9:52.0,R. Barrett makes 2-pt layup at rim,54-73, ,,3,73,54,19,1568.0
9:33.0, ,54-73,Shooting foul by K. Olynyk (drawn by J. Butler),,3,73,54,19,1587.0
9:33.0, ,54-73,J. Butler misses free throw 1 of 2,,3,73,54,19,1587.0
9:33.0, ,54-73,Offensive rebound by Team,,3,73,54,19,1587.0
9:33.0, ,54-73,J. Butler misses free throw 2 of 2,,3,73,54,19,1587.0
9:30.0,Defensive rebound by R. Barrett,54-73, ,,3,73,54,19,1590.0
9:15.0,G. Trent makes 2-pt layup from 2 ft (assist by I. Quickley),56-73, ,,3,73,56,17,1605.0
9:02.0, ,56-73,B. Adebayo misses 3-pt jump shot from 24 ft,,3,73,56,17,1618.0
8:59.0,Defensive rebound by R. Barrett,56-73, ,,3,73,56,17,1621.0
8:55.0,Turnover by R. Barrett (bad pass; steal by N. Jović),56-73, ,,3,73,56,17,1625.0
8:36.0, ,56-73,T. Herro misses 2-pt jump shot from 8 ft,,3,73,56,17,1644.0
8:34.0,Defensive rebound by R. Barrett,56-73, ,,3,73,56,17,1646.0
8:34.0,G. Trent misses 3-pt jump shot from 23 ft,56-73, ,,3,73,56,17,1646.0
8:32.0, ,56-73,Defensive rebound by Team,,3,73,56,17,1648.0
8:19.0, ,56-73,Shooting foul by I. Quickley (drawn by T. Herro),,3,73,56,17,1661.0
8:19.0, ,56-74,T. Herro makes free throw 1 of 2,,3,74,56,18,1661.0
8:19.0, ,56-75,T. Herro makes free throw 2 of 2,,3,75,56,19,1661.0
7:59.0,G. Trent misses 3-pt jump shot from 27 ft,56-75, ,,3,75,56,19,1681.0
7:58.0, ,56-75,Defensive rebound by T. Herro,,3,75,56,19,1682.0
7:53.0, ,56-75,C. Martin misses 3-pt jump shot from 25 ft,,3,75,56,19,1687.0
7:50.0,Defensive rebound by K. Olynyk,56-75, ,,3,75,56,19,1690.0
7:44.0,G. Dick makes 3-pt jump shot from 26 ft (assist by K. Olynyk),59-75, ,,3,75,59,16,1696.0
7:24.0, ,59-75,T. Herro misses 2-pt jump shot from 14 ft,,3,75,59,16,1716.0
7:22.0,Defensive rebound by R. Barrett,59-75, ,,3,75,59,16,1718.0
7:22.0,Toronto full timeout,59-75, ,,3,75,59,16,1718.0
7:22.0,Instant Replay (Challenge: Ruling Stands),59-75, ,,3,75,59,16,1718.0
7:13.0,G. Trent misses 3-pt jump shot from 27 ft,59-75, ,,3,75,59,16,1727.0
7:07.0,Offensive rebound by K. Olynyk,59-75, ,,3,75,59,16,1733.0
7:07.0,K. Olynyk makes 2-pt layup at rim,61-75, ,,3,75,61,14,1733.0
6:56.0, ,61-75,J. Butler misses 2-pt jump shot from 7 ft,,3,75,61,14,1744.0
6:55.0,Defensive rebound by Team,61-75, ,,3,75,61,14,1745.0
6:41.0,Turnover by K. Olynyk (out of bounds lost ball),61-75, ,,3,75,61,14,1759.0
6:20.0, ,61-75,N. Jović misses 2-pt layup from 1 ft,,3,75,61,14,1780.0
6:18.0,Defensive rebound by R. Barrett,61-75, ,,3,75,61,14,1782.0
6:11.0,R. Barrett makes 2-pt layup from 1 ft,63-75, ,,3,75,63,12,1789.0
5:53.0, ,63-75,J. Butler misses 2-pt jump shot from 14 ft,,3,75,63,12,1807.0
5:52.0,Defensive rebound by R. Barrett,63-75, ,,3,75,63,12,1808.0
5:30.0,R. Barrett misses 3-pt jump shot from 24 ft,63-75, ,,3,75,63,12,1830.0
5:27.0, ,63-75,Defensive rebound by N. Jović,,3,75,63,12,1833.0
5:14.0, ,63-75,Personal foul by I. Quickley (drawn by B. Adebayo),,3,75,63,12,1846.0
5:14.0,O. Agbaji enters the game for G. Dick,63-75, ,,3,75,63,12,1846.0
5:14.0, ,63-75,J. Jaquez enters the game for J. Butler,,3,75,63,12,1846.0
5:07.0, ,63-75,Shooting foul by R. Barrett (drawn by T. Herro),,3,75,63,12,1853.0
5:07.0, ,63-76,T. Herro makes free throw 1 of 2,,3,76,63,13,1853.0
5:07.0, ,63-77,T. Herro makes free throw 2 of 2,,3,77,63,14,1853.0
4:59.0,I. Quickley makes 3-pt jump shot from 26 ft (assist by R. Barrett),66-77, ,,3,77,66,11,1861.0
4:31.0, ,66-80,N. Jović makes 3-pt jump shot from 27 ft (assist by C. Martin),,3,80,66,14,1889.0
4:15.0,Shooting foul by J. Jaquez (drawn by R. Barrett),66-80, ,,3,80,66,14,1905.0
4:15.0,R. Barrett makes free throw 1 of 2,67-80, ,,3,80,67,13,1905.0
4:15.0,M. Williams enters the game for K. Olynyk,67-80, ,,3,80,67,13,1905.0
4:15.0,R. Barrett makes free throw 2 of 2,68-80, ,,3,80,68,12,1905.0
4:05.0, ,68-82,B. Adebayo makes 2-pt dunk from 1 ft (assist by T. Herro),,3,82,68,14,1915.0
3:53.0,Shooting foul by J. Jaquez (drawn by R. Barrett),68-82, ,,3,82,68,14,1927.0
3:53.0,R. Barrett makes free throw 1 of 2,69-82, ,,3,82,69,13,1927.0
3:53.0,B. Brown enters the game for G. Trent,69-82, ,,3,82,69,13,1927.0
3:53.0,R. Barrett makes free throw 2 of 2,70-82, ,,3,82,70,12,1927.0
3:44.0, ,70-82,J. Jaquez misses 3-pt jump shot from 25 ft,,3,82,70,12,1936.0
3:41.0,Defensive rebound by B. Brown,70-82, ,,3,82,70,12,1939.0
3:38.0,I. Quickley misses 3-pt jump shot from 26 ft,70-82, ,,3,82,70,12,1942.0
3:35.0, ,70-82,Defensive rebound by B. Adebayo,,3,82,70,12,1945.0
3:28.0, ,70-82,N. Jović misses 3-pt jump shot from 26 ft,,3,82,70,12,1952.0
3:26.0,Defensive rebound by I. Quickley,70-82, ,,3,82,70,12,1954.0
3:13.0,R. Barrett misses 3-pt jump shot from 27 ft,70-82, ,,3,82,70,12,1967.0
3:10.0, ,70-82,Defensive rebound by C. Martin,,3,82,70,12,1970.0
3:03.0, ,70-82,Personal foul by O. Agbaji (drawn by B. Adebayo),,3,82,70,12,1977.0
3:03.0, ,70-83,B. Adebayo makes free throw 1 of 2,,3,83,70,13,1977.0
3:03.0, ,70-83,B. Adebayo misses free throw 2 of 2,,3,83,70,13,1977.0
3:03.0,J. Freeman-Liberty enters the game for I. Quickley,70-83, ,,3,83,70,13,1977.0
3:03.0, ,70-83,H. Highsmith enters the game for N. Jović,,3,83,70,13,1977.0
3:00.0,Defensive rebound by M. Williams,70-83, ,,3,83,70,13,1980.0
2:52.0,Personal foul by T. Herro (drawn by J. Freeman-Liberty),70-83, ,,3,83,70,13,1988.0
2:52.0, ,70-83,Miami full timeout,,3,83,70,13,1988.0
2:52.0,G. Dick enters the game for R. Barrett,70-83, ,,3,83,70,13,1988.0
2:52.0, ,70-83,K. Love enters the game for B. Adebayo,,3,83,70,13,1988.0
2:36.0,O. Agbaji makes 3-pt jump shot from 23 ft (assist by B. Brown),73-83, ,,3,83,73,10,2004.0
2:12.0, ,73-85,H. Highsmith makes 2-pt layup from 1 ft,,3,85,73,12,2028.0
2:12.0, ,73-85,Shooting foul by B. Brown (drawn by H. Highsmith),,3,85,73,12,2028.0
2:12.0, ,73-85,H. Highsmith misses free throw 1 of 1,,3,85,73,12,2028.0
2:09.0,Defensive rebound by B. Brown,73-85, ,,3,85,73,12,2031.0
2:01.0,Offensive foul by M. Williams (drawn by H. Highsmith),73-85, ,,3,85,73,12,2039.0
2:01.0,Turnover by M. Williams (offensive foul),73-85, ,,3,85,73,12,2039.0
1:49.0, ,73-85,Turnover by T. Herro (bad pass),,3,85,73,12,2051.0
1:39.0,Turnover by J. Freeman-Liberty (out of bounds lost ball),73-85, ,,3,85,73,12,2061.0
1:27.0, ,73-87,J. Jaquez makes 2-pt jump shot from 10 ft,,3,87,73,14,2073.0
1:05.0,O. Agbaji makes 2-pt layup at rim (assist by B. Brown),75-87, ,,3,87,75,12,2095.0
0:55.0, ,75-89,T. Herro makes 2-pt jump shot from 8 ft (assist by K. Love),,3,89,75,14,2105.0
0:34.0,B. Brown misses 2-pt jump shot from 8 ft,75-89, ,,3,89,75,14,2126.0
0:31.0,Offensive rebound by M. Williams,75-89, ,,3,89,75,14,2129.0
