Time,Miami,Score,New York,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:39.0,Turnover by B. Adebayo (offensive foul),37-37, ,,2,37,37,0,1101.0
5:39.0,J. Butler enters the game for B. Adebayo,37-37, ,,2,37,37,0,1101.0
5:39.0,K. Love enters the game for J. Richardson,37-37, ,,2,37,37,0,1101.0
5:39.0,K. Lowry enters the game for C. Swider,37-37, ,,2,37,37,0,1101.0
5:39.0, ,37-37,Q. Grimes enters the game for D. DiVincenzo,,2,37,37,0,1101.0
5:26.0, ,37-37,J. Hart misses 3-pt jump shot from 23 ft,,2,37,37,0,1114.0
5:24.0,Defensive rebound by Team,37-37, ,,2,37,37,0,1116.0
5:07.0,K. Love misses 3-pt jump shot from 25 ft,37-37, ,,2,37,37,0,1133.0
5:05.0,Offensive rebound by J. Jaquez,37-37, ,,2,37,37,0,1135.0
5:05.0,J. Jaquez makes 2-pt layup from 2 ft,39-37, ,,2,39,37,2,1135.0
4:49.0, ,39-39,J. Brunson makes 2-pt jump shot from 1 ft,Tie,2,39,39,0,1151.0
4:43.0,J. Butler makes 2-pt layup from 1 ft (assist by J. Jaquez),41-39, ,,2,41,39,2,1157.0
4:43.0,Shooting foul by Q. Grimes (drawn by J. Butler),41-39, ,,2,41,39,2,1157.0
4:43.0, ,41-39,R. Barrett enters the game for J. Hart,,2,41,39,2,1157.0
4:43.0,J. Butler makes free throw 1 of 1,42-39, ,,2,42,39,3,1157.0
4:29.0, ,42-39,Turnover by J. Randle (bad pass; steal by J. Butler),,2,42,39,3,1171.0
4:22.0,J. Butler makes 3-pt jump shot from 23 ft (assist by C. Martin),45-39, ,,2,45,39,6,1178.0
4:03.0, ,45-41,M. Robinson makes 2-pt dunk from 1 ft (assist by Q. Grimes),,2,45,41,4,1197.0
3:46.0,J. Jaquez makes 2-pt jump shot from 4 ft (assist by K. Love),47-41, ,,2,47,41,6,1214.0
3:27.0, ,47-43,J. Brunson makes 2-pt jump shot from 6 ft,,2,47,43,4,1233.0
3:15.0,J. Butler misses 2-pt layup from 4 ft,47-43, ,,2,47,43,4,1245.0
3:13.0, ,47-43,Defensive rebound by J. Randle,,2,47,43,4,1247.0
3:07.0, ,47-43,R. Barrett misses 3-pt jump shot from 23 ft,,2,47,43,4,1253.0
3:05.0,Defensive rebound by K. Love,47-43, ,,2,47,43,4,1255.0
2:57.0,Miami full timeout,47-43, ,,2,47,43,4,1263.0
2:51.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by J. Butler),50-43, ,,2,50,43,7,1269.0
2:31.0, ,50-45,J. Brunson makes 2-pt jump shot from 18 ft,,2,50,45,5,1289.0
2:31.0, ,50-45,Shooting foul by C. Martin (drawn by J. Brunson),,2,50,45,5,1289.0
2:31.0,J. Richardson enters the game for C. Martin,50-45, ,,2,50,45,5,1289.0
2:31.0, ,50-46,J. Brunson makes free throw 1 of 1,,2,50,46,4,1289.0
2:14.0,J. Richardson misses 3-pt jump shot from 26 ft,50-46, ,,2,50,46,4,1306.0
2:12.0, ,50-46,Defensive rebound by J. Brunson,,2,50,46,4,1308.0
2:08.0, ,50-46,J. Brunson misses 3-pt jump shot from 25 ft,,2,50,46,4,1312.0
2:06.0,Defensive rebound by J. Butler,50-46, ,,2,50,46,4,1314.0
1:52.0,J. Jaquez misses 2-pt jump shot from 6 ft,50-46, ,,2,50,46,4,1328.0
1:50.0, ,50-46,Defensive rebound by M. Robinson,,2,50,46,4,1330.0
1:47.0, ,50-46,Shooting foul by J. Richardson (drawn by R. Barrett),,2,50,46,4,1333.0
1:47.0, ,50-47,R. Barrett makes free throw 1 of 2,,2,50,47,3,1333.0
1:47.0,B. Adebayo enters the game for K. Love,50-47, ,,2,50,47,3,1333.0
1:47.0, ,50-48,R. Barrett makes free throw 2 of 2,,2,50,48,2,1333.0
1:34.0,B. Adebayo misses 2-pt jump shot from 15 ft,50-48, ,,2,50,48,2,1346.0
1:32.0, ,50-48,Defensive rebound by J. Randle,,2,50,48,2,1348.0
1:25.0, ,50-48,Turnover by J. Randle (traveling),,2,50,48,2,1355.0
1:09.0,K. Lowry misses 3-pt jump shot from 25 ft,50-48, ,,2,50,48,2,1371.0
1:07.0, ,50-48,Defensive rebound by M. Robinson,,2,50,48,2,1373.0
0:57.0, ,50-48,J. Randle misses 2-pt jump shot from 7 ft,,2,50,48,2,1383.0
0:56.0, ,50-48,Offensive rebound by M. Robinson,,2,50,48,2,1384.0
0:56.0, ,50-48,M. Robinson misses 2-pt layup from 1 ft,,2,50,48,2,1384.0
0:54.0, ,50-48,Offensive rebound by Team,,2,50,48,2,1386.0
0:54.0,Loose ball foul by B. Adebayo (drawn by M. Robinson),50-48, ,,2,50,48,2,1386.0
0:54.0, ,50-48,M. Robinson misses free throw 1 of 2,,2,50,48,2,1386.0
0:54.0,H. Highsmith enters the game for B. Adebayo,50-48, ,,2,50,48,2,1386.0
0:54.0,K. Love enters the game for J. Richardson,50-48, ,,2,50,48,2,1386.0
0:54.0, ,50-48,M. Robinson misses free throw 2 of 2,,2,50,48,2,1386.0
0:52.0,Defensive rebound by K. Lowry,50-48, ,,2,50,48,2,1388.0
0:32.0,J. Jaquez misses 2-pt jump shot from 6 ft,50-48, ,,2,50,48,2,1408.0
0:30.0,Offensive rebound by K. Lowry,50-48, ,,2,50,48,2,1410.0
0:25.0,H. Highsmith misses 3-pt jump shot from 25 ft,50-48, ,,2,50,48,2,1415.0
0:23.0,Offensive rebound by K. Love,50-48, ,,2,50,48,2,1417.0
0:10.0,K. Love misses 3-pt jump shot from 25 ft,50-48, ,,2,50,48,2,1430.0
0:08.0, ,50-48,Defensive rebound by J. Randle,,2,50,48,2,1432.0
0:00.0, ,50-51,Q. Grimes makes 3-pt jump shot from 23 ft (assist by J. Randle),Lead change,2,50,51,-1,1440.0
0:00.0, ,50-51,Instant Replay (Request: Ruling Stands),,2,50,51,-1,1440.0
0:00.0,End of 2nd quarter,50-51,,,2,50,51,-1,1440.0
12:00.0,Start of 3rd quarter,50-51,,,3,50,51,-1,1440.0
11:43.0, ,50-51,J. Brunson misses 2-pt jump shot from 21 ft,,3,50,51,-1,1457.0
11:41.0,Defensive rebound by B. Adebayo,50-51, ,,3,50,51,-1,1459.0
11:29.0,B. Adebayo makes 2-pt jump shot from 10 ft,52-51, ,Lead change,3,52,51,1,1471.0
11:07.0, ,52-51,Turnover by R. Barrett (bad pass; steal by J. Richardson),,3,52,51,1,1493.0
11:04.0,Shooting foul by Q. Grimes (drawn by H. Highsmith),52-51, ,,3,52,51,1,1496.0
11:04.0,H. Highsmith makes free throw 1 of 2,53-51, ,,3,53,51,2,1496.0
11:04.0,H. Highsmith makes free throw 2 of 2,54-51, ,,3,54,51,3,1496.0
10:54.0, ,54-51,Turnover by J. Brunson (bad pass; steal by B. Adebayo),,3,54,51,3,1506.0
10:48.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by H. Highsmith),57-51, ,,3,57,51,6,1512.0
10:47.0, ,57-51,New York full timeout,,3,57,51,6,1513.0
10:30.0, ,57-51,R. Barrett misses 2-pt jump shot from 16 ft,,3,57,51,6,1530.0
10:28.0,Defensive rebound by B. Adebayo,57-51, ,,3,57,51,6,1532.0
10:19.0,J. Butler makes 3-pt jump shot from 25 ft (assist by J. Richardson),60-51, ,,3,60,51,9,1541.0
9:56.0, ,60-51,Q. Grimes misses 3-pt jump shot from 23 ft,,3,60,51,9,1564.0
9:54.0,Defensive rebound by H. Highsmith,60-51, ,,3,60,51,9,1566.0
9:37.0,H. Highsmith misses 3-pt jump shot from 26 ft,60-51, ,,3,60,51,9,1583.0
9:35.0,Offensive rebound by K. Lowry,60-51, ,,3,60,51,9,1585.0
9:24.0,Turnover by J. Butler (bad pass),60-51, ,,3,60,51,9,1596.0
9:13.0, ,60-51,Personal foul by J. Richardson (drawn by J. Brunson),,3,60,51,9,1607.0
9:02.0, ,60-51,J. Randle misses 2-pt jump shot from 5 ft,,3,60,51,9,1618.0
9:01.0,Defensive rebound by Team,60-51, ,,3,60,51,9,1619.0
8:47.0,Shooting foul by Q. Grimes (drawn by J. Butler),60-51, ,,3,60,51,9,1633.0
8:47.0,J. Butler makes free throw 1 of 2,61-51, ,,3,61,51,10,1633.0
8:47.0,J. Butler makes free throw 2 of 2,62-51, ,,3,62,51,11,1633.0
8:39.0, ,62-51,J. Randle misses 3-pt jump shot from 25 ft,,3,62,51,11,1641.0
8:37.0,Defensive rebound by B. Adebayo,62-51, ,,3,62,51,11,1643.0
8:25.0,H. Highsmith makes 3-pt jump shot from 24 ft (assist by K. Lowry),65-51, ,,3,65,51,14,1655.0
8:02.0, ,65-51,Turnover by J. Brunson (bad pass; steal by H. Highsmith),,3,65,51,14,1678.0
7:58.0,K. Lowry makes 2-pt layup at rim (assist by B. Adebayo),67-51, ,,3,67,51,16,1682.0
7:58.0, ,67-51,New York full timeout,,3,67,51,16,1682.0
7:40.0, ,67-51,Q. Grimes misses 2-pt layup from 2 ft,,3,67,51,16,1700.0
7:39.0, ,67-51,Offensive rebound by M. Robinson,,3,67,51,16,1701.0
7:38.0, ,67-51,M. Robinson misses 2-pt layup from 1 ft,,3,67,51,16,1702.0
7:37.0,Defensive rebound by B. Adebayo,67-51, ,,3,67,51,16,1703.0
