Time,Miami,Score,Charlotte,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
2:46.0,Defensive rebound by K. Love,22-16, ,,1,22,16,6,554.0
2:42.0,J. Butler makes 2-pt layup from 2 ft (assist by K. Lowry),24-16, ,,1,24,16,8,558.0
2:26.0, ,24-19,T. Rozier makes 3-pt jump shot from 23 ft (assist by I. Smith),,1,24,19,5,574.0
2:12.0,K. Love makes 2-pt layup from 1 ft (assist by J. Butler),26-19, ,,1,26,19,7,588.0
2:12.0,Shooting foul by M. Bridges (drawn by K. Love),26-19, ,,1,26,19,7,588.0
2:12.0,Miami full timeout,26-19, ,,1,26,19,7,588.0
2:12.0,C. Martin enters the game for K. Lowry,26-19, ,,1,26,19,7,588.0
2:12.0,K. Love makes free throw 1 of 1,27-19, ,,1,27,19,8,588.0
1:53.0, ,27-19,Def 3 sec tech foul by Team,,1,27,19,8,607.0
1:53.0, ,27-20,T. Rozier makes technical free throw,,1,27,20,7,607.0
1:41.0, ,27-20,I. Smith misses 2-pt jump shot from 7 ft,,1,27,20,7,619.0
1:41.0,Defensive rebound by Team,27-20, ,,1,27,20,7,619.0
1:24.0,J. Butler misses 2-pt jump shot from 6 ft,27-20, ,,1,27,20,7,636.0
1:24.0, ,27-20,Defensive rebound by Team,,1,27,20,7,636.0
1:03.0, ,27-22,M. Bridges makes 2-pt hook shot from 8 ft (assist by T. Rozier),,1,27,22,5,657.0
0:55.0,Personal foul by M. Bridges (drawn by J. Richardson),27-22, ,,1,27,22,5,665.0
0:55.0,J. Richardson makes free throw 1 of 2,28-22, ,,1,28,22,6,665.0
0:55.0,D. Robinson enters the game for J. Butler,28-22, ,,1,28,22,6,665.0
0:55.0, ,28-22,J. Thor enters the game for M. Bridges,,1,28,22,6,665.0
0:55.0,J. Richardson makes free throw 2 of 2,29-22, ,,1,29,22,7,665.0
0:47.0, ,29-24,T. Rozier makes 2-pt layup from 3 ft,,1,29,24,5,673.0
0:37.0,J. Richardson misses 3-pt jump shot from 26 ft,29-24, ,,1,29,24,5,683.0
0:35.0, ,29-24,Defensive rebound by B. McGowens,,1,29,24,5,685.0
0:29.0, ,29-24,P. Washington misses 3-pt jump shot from 26 ft,,1,29,24,5,691.0
0:25.0,Defensive rebound by C. Martin,29-24, ,,1,29,24,5,695.0
0:02.0,J. Richardson misses 2-pt layup from 2 ft,29-24, ,,1,29,24,5,718.0
0:00.0, ,29-24,Defensive rebound by P. Washington,,1,29,24,5,720.0
0:00.0, ,29-24,T. Rozier misses 3-pt jump shot from 35 ft,,1,29,24,5,720.0
0:00.0, ,29-24,Offensive rebound by Team,,1,29,24,5,720.0
0:00.0,End of 1st quarter,29-24,,,1,29,24,5,720.0
12:00.0,Start of 2nd quarter,29-24,,,2,29,24,5,720.0
11:40.0,Shooting foul by B. McGowens (drawn by C. Martin),29-24, ,,2,29,24,5,740.0
11:40.0,C. Martin makes free throw 1 of 2,30-24, ,,2,30,24,6,740.0
11:40.0,C. Martin makes free throw 2 of 2,31-24, ,,2,31,24,7,740.0
11:17.0, ,31-24,B. Miller misses 2-pt jump shot from 6 ft,,2,31,24,7,763.0
11:14.0,Defensive rebound by O. Robinson,31-24, ,,2,31,24,7,766.0
11:06.0,D. Robinson misses 3-pt jump shot from 25 ft,31-24, ,,2,31,24,7,774.0
11:02.0, ,31-24,Defensive rebound by P. Washington,,2,31,24,7,778.0
10:57.0, ,31-24,T. Rozier misses 2-pt jump shot from 7 ft,,2,31,24,7,783.0
10:55.0,Defensive rebound by D. Robinson,31-24, ,,2,31,24,7,785.0
10:45.0,C. Martin makes 2-pt layup from 2 ft (assist by D. Robinson),33-24, ,,2,33,24,9,795.0
10:33.0, ,33-27,B. Miller makes 3-pt jump shot from 24 ft (assist by P. Washington),,2,33,27,6,807.0
10:20.0,J. Jaquez misses 2-pt layup from 2 ft,33-27, ,,2,33,27,6,820.0
10:17.0,Offensive rebound by D. Robinson,33-27, ,,2,33,27,6,823.0
10:10.0,Turnover by C. Martin (bad pass; steal by J. Thor),33-27, ,,2,33,27,6,830.0
10:04.0, ,33-30,P. Washington makes 3-pt jump shot from 26 ft (assist by T. Rozier),,2,33,30,3,836.0
9:39.0,C. Martin misses 3-pt jump shot from 26 ft,33-30, ,,2,33,30,3,861.0
9:37.0, ,33-30,Defensive rebound by B. Miller,,2,33,30,3,863.0
9:20.0, ,33-30,B. McGowens misses 3-pt jump shot from 24 ft,,2,33,30,3,880.0
9:18.0,Defensive rebound by J. Richardson,33-30, ,,2,33,30,3,882.0
9:08.0,O. Robinson misses 2-pt dunk from 3 ft,33-30, ,,2,33,30,3,892.0
9:06.0, ,33-30,Defensive rebound by P. Washington,,2,33,30,3,894.0
9:02.0, ,33-33,B. Miller makes 3-pt jump shot from 27 ft (assist by T. Rozier),Tie,2,33,33,0,898.0
8:48.0,Turnover by O. Robinson (bad pass),33-33, ,,2,33,33,0,912.0
8:25.0, ,33-33,J. Thor misses 3-pt jump shot from 24 ft,,2,33,33,0,935.0
8:23.0,Defensive rebound by C. Martin,33-33, ,,2,33,33,0,937.0
8:08.0,O. Robinson makes 2-pt hook shot from 3 ft (assist by J. Jaquez),35-33, ,,2,35,33,2,952.0
8:00.0, ,35-33,B. Miller misses 3-pt jump shot from 31 ft,,2,35,33,2,960.0
7:57.0,Defensive rebound by D. Robinson,35-33, ,,2,35,33,2,963.0
7:47.0,C. Martin misses 2-pt layup from 4 ft (block by J. Thor),35-33, ,,2,35,33,2,973.0
7:47.0, ,35-33,Defensive rebound by Team,,2,35,33,2,973.0
7:47.0,T. Bryant enters the game for O. Robinson,35-33, ,,2,35,33,2,973.0
7:47.0, ,35-33,G. Hayward enters the game for B. McGowens,,2,35,33,2,973.0
7:47.0, ,35-33,I. Smith enters the game for T. Rozier,,2,35,33,2,973.0
7:29.0, ,35-33,J. Thor misses 3-pt jump shot from 26 ft,,2,35,33,2,991.0
7:26.0,Defensive rebound by D. Robinson,35-33, ,,2,35,33,2,994.0
7:21.0,Shooting foul by B. Miller (drawn by J. Jaquez),35-33, ,,2,35,33,2,999.0
7:21.0,J. Jaquez makes free throw 1 of 2,36-33, ,,2,36,33,3,999.0
7:21.0,J. Jaquez makes free throw 2 of 2,37-33, ,,2,37,33,4,999.0
7:21.0, ,37-33,Turnover by  (5 sec),,2,37,33,4,999.0
7:10.0,D. Robinson makes 2-pt jump shot from 10 ft (assist by T. Bryant),39-33, ,,2,39,33,6,1010.0
6:52.0, ,39-35,P. Washington makes 2-pt jump shot from 6 ft (assist by G. Hayward),,2,39,35,4,1028.0
6:42.0,C. Martin makes 2-pt layup from 2 ft (assist by J. Richardson),41-35, ,,2,41,35,6,1038.0
6:42.0,Shooting foul by P. Washington (drawn by C. Martin),41-35, ,,2,41,35,6,1038.0
6:42.0, ,41-35,Charlotte full timeout,,2,41,35,6,1038.0
6:42.0, ,41-35,M. Bridges enters the game for B. Miller,,2,41,35,6,1038.0
6:42.0, ,41-35,B. McGowens enters the game for J. Thor,,2,41,35,6,1038.0
6:42.0, ,41-35,N. Richards enters the game for P. Washington,,2,41,35,6,1038.0
6:42.0,C. Martin makes free throw 1 of 1,42-35, ,,2,42,35,7,1038.0
6:35.0, ,42-35,N. Richards misses 2-pt dunk from 3 ft,,2,42,35,7,1045.0
6:33.0,Defensive rebound by C. Martin,42-35, ,,2,42,35,7,1047.0
6:23.0,C. Martin misses 2-pt jump shot from 18 ft,42-35, ,,2,42,35,7,1057.0
6:23.0, ,42-35,Defensive rebound by Team,,2,42,35,7,1057.0
6:23.0,J. Butler enters the game for C. Martin,42-35, ,,2,42,35,7,1057.0
6:23.0,K. Lowry enters the game for D. Robinson,42-35, ,,2,42,35,7,1057.0
6:06.0, ,42-35,I. Smith misses 2-pt layup from 3 ft,,2,42,35,7,1074.0
6:03.0,Defensive rebound by T. Bryant,42-35, ,,2,42,35,7,1077.0
5:56.0,J. Richardson misses 2-pt jump shot from 15 ft,42-35, ,,2,42,35,7,1084.0
5:53.0, ,42-35,Defensive rebound by G. Hayward,,2,42,35,7,1087.0
5:39.0, ,42-35,M. Bridges misses 2-pt layup from 3 ft,,2,42,35,7,1101.0
5:37.0,Defensive rebound by K. Lowry,42-35, ,,2,42,35,7,1103.0
5:29.0,J. Jaquez makes 2-pt layup from 1 ft (assist by J. Butler),44-35, ,,2,44,35,9,1111.0
5:10.0, ,44-35,G. Hayward misses 3-pt jump shot from 27 ft,,2,44,35,9,1130.0
5:06.0,Defensive rebound by T. Bryant,44-35, ,,2,44,35,9,1134.0
4:51.0,Offensive foul by J. Jaquez (drawn by B. McGowens),44-35, ,,2,44,35,9,1149.0
4:51.0,Turnover by J. Jaquez (offensive foul),44-35, ,,2,44,35,9,1149.0
4:34.0, ,44-38,I. Smith makes 3-pt jump shot from 24 ft (assist by M. Bridges),,2,44,38,6,1166.0
4:34.0, ,44-38,Violation by Team (delay of game),,2,44,38,6,1166.0
4:09.0,J. Butler misses 2-pt jump shot from 9 ft,44-38, ,,2,44,38,6,1191.0
4:07.0, ,44-38,Defensive rebound by N. Richards,,2,44,38,6,1193.0
3:59.0, ,44-40,G. Hayward makes 2-pt jump shot from 19 ft (assist by I. Smith),,2,44,40,4,1201.0
3:59.0,Miami full timeout,44-40, ,,2,44,40,4,1201.0
3:59.0,K. Love enters the game for T. Bryant,44-40, ,,2,44,40,4,1201.0
3:59.0, ,44-40,T. Rozier enters the game for I. Smith,,2,44,40,4,1201.0
3:42.0,J. Jaquez makes 3-pt jump shot from 23 ft (assist by J. Butler),47-40, ,,2,47,40,7,1218.0
3:23.0, ,47-40,Personal foul by J. Butler (drawn by G. Hayward),,2,47,40,7,1237.0
3:10.0, ,47-42,T. Rozier makes 2-pt layup from 2 ft (assist by G. Hayward),,2,47,42,5,1250.0
2:51.0,K. Love misses 3-pt jump shot from 26 ft,47-42, ,,2,47,42,5,1269.0
2:50.0, ,47-42,Defensive rebound by Team,,2,47,42,5,1270.0
2:50.0,C. Martin enters the game for J. Richardson,47-42, ,,2,47,42,5,1270.0
2:33.0, ,47-42,G. Hayward misses 2-pt jump shot from 6 ft,,2,47,42,5,1287.0
2:33.0, ,47-42,Offensive rebound by Team,,2,47,42,5,1287.0
2:33.0, ,47-42,J. Thor enters the game for M. Bridges,,2,47,42,5,1287.0
2:26.0, ,47-44,G. Hayward makes 2-pt layup from 3 ft,,2,47,44,3,1294.0
2:18.0,J. Jaquez makes 2-pt dunk from 1 ft (assist by J. Butler),49-44, ,,2,49,44,5,1302.0
1:52.0, ,49-47,T. Rozier makes 3-pt jump shot from 26 ft (assist by G. Hayward),,2,49,47,2,1328.0
1:45.0,Shooting foul by B. McGowens (drawn by J. Jaquez),49-47, ,,2,49,47,2,1335.0
1:45.0,J. Jaquez makes free throw 1 of 2,50-47, ,,2,50,47,3,1335.0
1:45.0,J. Jaquez makes free throw 2 of 2,51-47, ,,2,51,47,4,1335.0
1:32.0, ,51-47,Shooting foul by J. Jaquez (drawn by G. Hayward),,2,51,47,4,1348.0
1:32.0, ,51-47,G. Hayward misses free throw 1 of 2,,2,51,47,4,1348.0
1:32.0, ,51-47,Offensive rebound by Team,,2,51,47,4,1348.0
1:32.0, ,51-48,G. Hayward makes free throw 2 of 2,,2,51,48,3,1348.0
1:15.0,J. Jaquez misses 3-pt jump shot from 23 ft,51-48, ,,2,51,48,3,1365.0
1:12.0, ,51-48,Defensive rebound by G. Hayward,,2,51,48,3,1368.0
1:07.0, ,51-48,B. McGowens misses 3-pt jump shot from 22 ft,,2,51,48,3,1373.0
1:03.0,Defensive rebound by C. Martin,51-48, ,,2,51,48,3,1377.0
0:59.0,K. Love makes 3-pt jump shot from 26 ft (assist by C. Martin),54-48, ,,2,54,48,6,1381.0
0:42.0, ,54-48,Shooting foul by C. Martin (drawn by N. Richards),,2,54,48,6,1398.0
0:42.0, ,54-49,N. Richards makes free throw 1 of 2,,2,54,49,5,1398.0
0:42.0, ,54-50,N. Richards makes free throw 2 of 2,,2,54,50,4,1398.0
0:26.0,K. Love makes 3-pt jump shot from 25 ft (assist by K. Lowry),57-50, ,,2,57,50,7,1414.0
0:06.0, ,57-50,Turnover by T. Rozier (lost ball; steal by K. Love),,2,57,50,7,1434.0
0:04.0,C. Martin makes 2-pt dunk at rim (assist by K. Love),59-50, ,,2,59,50,9,1436.0
0:00.0, ,59-50,T. Rozier misses 3-pt jump shot from 30 ft (block by J. Butler),,2,59,50,9,1440.0
0:00.0, ,59-50,Offensive rebound by Team,,2,59,50,9,1440.0
0:00.0,End of 2nd quarter,59-50,,,2,59,50,9,1440.0
12:00.0,Start of 3rd quarter,59-50,,,3,59,50,9,1440.0
11:46.0,J. Butler makes 2-pt jump shot from 12 ft (assist by C. Martin),61-50, ,,3,61,50,11,1454.0
11:21.0, ,61-53,T. Rozier makes 3-pt jump shot from 25 ft (assist by G. Hayward),,3,61,53,8,1479.0
10:55.0,D. Robinson makes 2-pt layup from 3 ft (assist by O. Robinson),63-53, ,,3,63,53,10,1505.0
10:48.0, ,63-56,M. Bridges makes 3-pt jump shot from 25 ft (assist by T. Rozier),,3,63,56,7,1512.0
10:29.0,J. Butler makes 3-pt jump shot from 23 ft (assist by C. Martin),66-56, ,,3,66,56,10,1531.0
10:22.0, ,66-56,Offensive foul by B. Miller (drawn by D. Robinson),,3,66,56,10,1538.0
10:22.0, ,66-56,Turnover by B. Miller (offensive foul),,3,66,56,10,1538.0
10:13.0,Personal foul by G. Hayward (drawn by J. Butler),66-56, ,,3,66,56,10,1547.0
10:06.0,Offensive foul by C. Martin (drawn by B. Miller),66-56, ,,3,66,56,10,1554.0
10:06.0,Turnover by C. Martin (offensive foul),66-56, ,,3,66,56,10,1554.0
9:56.0, ,66-56,Personal foul by O. Robinson (drawn by N. Richards),,3,66,56,10,1564.0
9:48.0, ,66-59,M. Bridges makes 3-pt jump shot from 26 ft (assist by G. Hayward),,3,66,59,7,1572.0
9:29.0,C. Martin misses 3-pt jump shot from 29 ft,66-59, ,,3,66,59,7,1591.0
9:24.0, ,66-59,Defensive rebound by B. Miller,,3,66,59,7,1596.0
9:13.0, ,66-59,Turnover by B. Miller (bad pass),,3,66,59,7,1607.0
9:00.0,Shooting foul by G. Hayward (drawn by O. Robinson),66-59, ,,3,66,59,7,1620.0
9:00.0,O. Robinson misses free throw 1 of 2,66-59, ,,3,66,59,7,1620.0
9:00.0,Offensive rebound by Team,66-59, ,,3,66,59,7,1620.0
9:00.0,O. Robinson makes free throw 2 of 2,67-59, ,,3,67,59,8,1620.0
8:39.0, ,67-62,T. Rozier makes 3-pt jump shot from 23 ft,,3,67,62,5,1641.0
8:19.0,J. Butler makes 2-pt layup from 2 ft (assist by C. Martin),69-62, ,,3,69,62,7,1661.0
8:13.0, ,69-62,Personal foul by K. Lowry (drawn by G. Hayward),,3,69,62,7,1667.0
8:04.0, ,69-62,B. Miller misses 3-pt jump shot from 23 ft,,3,69,62,7,1676.0
8:03.0, ,69-62,Offensive rebound by N. Richards,,3,69,62,7,1677.0
8:01.0, ,69-62,N. Richards misses 2-pt layup from 2 ft (block by O. Robinson),,3,69,62,7,1679.0
8:01.0,Defensive rebound by J. Butler,69-62, ,,3,69,62,7,1679.0
7:55.0,Shooting foul by B. Miller (drawn by J. Butler),69-62, ,,3,69,62,7,1685.0
7:55.0,J. Butler makes free throw 1 of 2,70-62, ,,3,70,62,8,1685.0
7:55.0, ,70-62,P. Washington enters the game for B. Miller,,3,70,62,8,1685.0
7:55.0,J. Butler makes free throw 2 of 2,71-62, ,,3,71,62,9,1685.0
7:38.0, ,71-62,T. Rozier misses 2-pt jump shot from 10 ft,,3,71,62,9,1702.0
7:35.0, ,71-62,Offensive rebound by N. Richards,,3,71,62,9,1705.0
7:35.0, ,71-64,N. Richards makes 2-pt dunk at rim,,3,71,64,7,1705.0
7:24.0,D. Robinson makes 3-pt jump shot from 23 ft (assist by K. Lowry),74-64, ,,3,74,64,10,1716.0
7:05.0, ,74-64,N. Richards misses 2-pt jump shot from 16 ft,,3,74,64,10,1735.0
7:02.0,Defensive rebound by O. Robinson,74-64, ,,3,74,64,10,1738.0
6:46.0,K. Lowry misses 3-pt jump shot from 27 ft,74-64, ,,3,74,64,10,1754.0
6:44.0,Offensive rebound by J. Butler,74-64, ,,3,74,64,10,1756.0
6:44.0,J. Butler makes 2-pt layup at rim,76-64, ,,3,76,64,12,1756.0
6:44.0, ,76-64,Charlotte full timeout,,3,76,64,12,1756.0
6:26.0, ,76-64,M. Bridges misses 2-pt layup from 3 ft (block by O. Robinson),,3,76,64,12,1774.0
6:20.0, ,76-64,Offensive rebound by M. Bridges,,3,76,64,12,1780.0
6:18.0, ,76-64,P. Washington misses 2-pt jump shot from 8 ft,,3,76,64,12,1782.0
6:16.0, ,76-64,Offensive rebound by P. Washington,,3,76,64,12,1784.0
6:16.0, ,76-64,Personal foul by O. Robinson (drawn by G. Hayward),,3,76,64,12,1784.0
6:06.0, ,76-64,M. Bridges misses 3-pt jump shot from 25 ft,,3,76,64,12,1794.0
6:01.0,Defensive rebound by O. Robinson,76-64, ,,3,76,64,12,1799.0
5:54.0,O. Robinson misses 3-pt jump shot from 27 ft,76-64, ,,3,76,64,12,1806.0
5:50.0, ,76-64,Defensive rebound by M. Bridges,,3,76,64,12,1810.0
5:45.0, ,76-64,Shooting foul by O. Robinson (drawn by M. Bridges),,3,76,64,12,1815.0
5:45.0, ,76-65,M. Bridges makes free throw 1 of 2,,3,76,65,11,1815.0
5:45.0,J. Jaquez enters the game for C. Martin,76-65, ,,3,76,65,11,1815.0
5:45.0,K. Love enters the game for D. Robinson,76-65, ,,3,76,65,11,1815.0
5:45.0,J. Richardson enters the game for O. Robinson,76-65, ,,3,76,65,11,1815.0
5:45.0, ,76-65,I. Smith enters the game for T. Rozier,,3,76,65,11,1815.0
5:45.0, ,76-66,M. Bridges makes free throw 2 of 2,,3,76,66,10,1815.0
5:32.0,K. Lowry misses 3-pt jump shot from 26 ft,76-66, ,,3,76,66,10,1828.0
5:30.0, ,76-66,Defensive rebound by P. Washington,,3,76,66,10,1830.0
5:19.0, ,76-66,P. Washington misses 2-pt hook shot from 7 ft,,3,76,66,10,1841.0
5:17.0,Defensive rebound by K. Love,76-66, ,,3,76,66,10,1843.0
5:01.0,Turnover by K. Lowry (bad pass; steal by I. Smith),76-66, ,,3,76,66,10,1859.0
4:46.0, ,76-68,I. Smith makes 2-pt jump shot from 15 ft (assist by G. Hayward),,3,76,68,8,1874.0
4:25.0,Shooting foul by N. Richards (drawn by J. Butler),76-68, ,,3,76,68,8,1895.0
4:25.0,J. Butler makes free throw 1 of 2,77-68, ,,3,77,68,9,1895.0
4:25.0,J. Butler makes free throw 2 of 2,78-68, ,,3,78,68,10,1895.0
4:10.0, ,78-68,Turnover by I. Smith (bad pass; steal by J. Richardson),,3,78,68,10,1910.0
4:03.0,J. Jaquez makes 2-pt layup from 7 ft (assist by J. Richardson),80-68, ,,3,80,68,12,1917.0
3:54.0, ,80-68,Personal foul by J. Jaquez (drawn by P. Washington),,3,80,68,12,1926.0
3:54.0, ,80-69,P. Washington makes free throw 1 of 2,,3,80,69,11,1926.0
3:54.0, ,80-69,B. McGowens enters the game for G. Hayward,,3,80,69,11,1926.0
3:54.0, ,80-69,P. Washington misses free throw 2 of 2,,3,80,69,11,1926.0
3:49.0,Defensive rebound by J. Richardson,80-69, ,,3,80,69,11,1931.0
3:31.0,K. Love makes 3-pt jump shot from 29 ft (assist by J. Richardson),83-69, ,,3,83,69,14,1949.0
3:21.0, ,83-69,Turnover by I. Smith (bad pass; steal by K. Lowry),,3,83,69,14,1959.0
3:13.0,K. Love misses 3-pt jump shot from 26 ft,83-69, ,,3,83,69,14,1967.0
3:11.0,Offensive rebound by K. Lowry,83-69, ,,3,83,69,14,1969.0
2:59.0,K. Lowry misses 2-pt jump shot from 14 ft,83-69, ,,3,83,69,14,1981.0
2:59.0,Offensive rebound by Team,83-69, ,,3,83,69,14,1981.0
2:59.0,Turnover by Team (shot clock),83-69, ,,3,83,69,14,1981.0
2:59.0,Miami full timeout,83-69, ,,3,83,69,14,1981.0
2:59.0, ,83-69,T. Rozier enters the game for N. Richards,,3,83,69,14,1981.0
2:48.0, ,83-69,Shooting foul by J. Jaquez (drawn by T. Rozier),,3,83,69,14,1992.0
2:48.0, ,83-70,T. Rozier makes free throw 1 of 2,,3,83,70,13,1992.0
