Time,Brooklyn,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:59.0,A. Brooks makes 3-pt jump shot from 25 ft (assist by L. Walker),20-26, ,,1,26,20,6,541.0
2:31.0, ,20-26,J. Richardson misses 2-pt jump shot from 9 ft,,1,26,20,6,569.0
2:28.0,Defensive rebound by D. Sharpe,20-26, ,,1,26,20,6,572.0
2:26.0,A. Brooks makes 3-pt jump shot from 31 ft (assist by T. Watford),23-26, ,,1,26,23,3,574.0
2:04.0, ,23-26,Turnover by D. Robinson (bad pass; steal by L. Walker),,1,26,23,3,596.0
2:02.0,Shooting foul by J. Butler (drawn by L. Walker),23-26, ,,1,26,23,3,598.0
2:02.0,L. Walker makes free throw 1 of 2,24-26, ,,1,26,24,2,598.0
2:02.0, ,24-26,T. Herro enters the game for J. Butler,,1,26,24,2,598.0
2:02.0,L. Walker makes free throw 2 of 2,25-26, ,,1,26,25,1,598.0
1:49.0, ,25-28,T. Bryant makes 2-pt jump shot from 15 ft (assist by D. Robinson),,1,28,25,3,611.0
1:37.0,L. Walker misses 2-pt jump shot from 20 ft,25-28, ,,1,28,25,3,623.0
1:34.0, ,25-28,Defensive rebound by J. Richardson,,1,28,25,3,626.0
1:29.0, ,25-28,T. Herro misses 3-pt jump shot from 26 ft,,1,28,25,3,631.0
1:24.0,Defensive rebound by D. Sharpe,25-28, ,,1,28,25,3,636.0
1:18.0,A. Brooks makes 2-pt layup from 3 ft (assist by T. Watford),27-28, ,,1,28,27,1,642.0
0:52.0, ,27-28,D. Robinson misses 3-pt jump shot from 23 ft,,1,28,27,1,668.0
0:49.0,Defensive rebound by L. Walker,27-28, ,,1,28,27,1,671.0
0:41.0,T. Watford misses 3-pt jump shot from 24 ft,27-28, ,,1,28,27,1,679.0
0:39.0, ,27-28,Defensive rebound by H. Highsmith,,1,28,27,1,681.0
0:25.0, ,27-31,T. Herro makes 3-pt jump shot from 26 ft,,1,31,27,4,695.0
0:05.0,Shooting foul by T. Herro (drawn by L. Walker),27-31, ,,1,31,27,4,715.0
0:05.0,L. Walker misses free throw 1 of 3,27-31, ,,1,31,27,4,715.0
0:05.0,Offensive rebound by Team,27-31, ,,1,31,27,4,715.0
0:05.0,L. Walker makes free throw 2 of 3,28-31, ,,1,31,28,3,715.0
0:05.0,M. Bridges enters the game for A. Brooks,28-31, ,,1,31,28,3,715.0
0:05.0,D. Finney-Smith enters the game for D. Sharpe,28-31, ,,1,31,28,3,715.0
