Time,Minnesota,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:35.0,A. Edwards misses 2-pt jump shot from 17 ft,70-75, ,,3,75,70,5,1945.0
3:34.0, ,70-75,Defensive rebound by K. Love,,3,75,70,5,1946.0
3:28.0, ,70-77,J. Butler makes 2-pt layup from 1 ft (assist by K. Love),,3,77,70,7,1952.0
3:10.0,N. Alexander-Walker makes 3-pt jump shot from 25 ft (assist by N. Reid),73-77, ,,3,77,73,4,1970.0
2:44.0, ,73-80,K. Love makes 3-pt jump shot from 25 ft (assist by J. Butler),,3,80,73,7,1996.0
2:25.0,K. Towns makes 2-pt layup from 2 ft (assist by N. Alexander-Walker),75-80, ,,3,80,75,5,2015.0
2:03.0, ,75-80,K. Love misses 3-pt jump shot from 29 ft (block by N. Reid),,3,80,75,5,2037.0
1:58.0, ,75-80,Offensive rebound by J. Jaquez,,3,80,75,5,2042.0
1:57.0, ,75-80,Turnover by T. Herro (lost ball; steal by A. Edwards),,3,80,75,5,2043.0
1:51.0,N. Reid misses 3-pt jump shot from 23 ft,75-80, ,,3,80,75,5,2049.0
1:47.0, ,75-80,Defensive rebound by K. Love,,3,80,75,5,2053.0
1:43.0, ,75-80,T. Herro misses 2-pt jump shot from 16 ft (block by K. Anderson),,3,80,75,5,2057.0
1:43.0,Defensive rebound by A. Edwards,75-80, ,,3,80,75,5,2057.0
1:32.0,Personal foul by K. Love (drawn by K. Towns),75-80, ,,3,80,75,5,2068.0
1:32.0,Minnesota full timeout,75-80, ,,3,80,75,5,2068.0
1:32.0, ,75-80,B. Adebayo enters the game for T. Herro,,3,80,75,5,2068.0
1:32.0, ,75-80,J. Richardson enters the game for K. Love,,3,80,75,5,2068.0
1:32.0, ,75-80,D. Robinson enters the game for C. Martin,,3,80,75,5,2068.0
1:19.0,A. Edwards misses 3-pt jump shot from 28 ft,75-80, ,,3,80,75,5,2081.0
1:14.0, ,75-80,Defensive rebound by D. Robinson,,3,80,75,5,2086.0
0:59.0, ,75-82,B. Adebayo makes 2-pt jump shot from 13 ft (assist by J. Butler),,3,82,75,7,2101.0
0:35.0,Turnover by K. Towns (bad pass; steal by J. Jaquez),75-82, ,,3,82,75,7,2125.0
0:24.0, ,75-82,Shooting foul by K. Anderson (drawn by J. Butler),,3,82,75,7,2136.0
0:24.0, ,75-83,J. Butler makes free throw 1 of 2,,3,83,75,8,2136.0
0:24.0,R. Gobert enters the game for K. Towns,75-83, ,,3,83,75,8,2136.0
0:24.0, ,75-83,H. Highsmith enters the game for D. Robinson,,3,83,75,8,2136.0
0:24.0, ,75-83,J. Butler misses free throw 2 of 2,,3,83,75,8,2136.0
0:23.0,Defensive rebound by N. Reid,75-83, ,,3,83,75,8,2137.0
0:01.0,A. Edwards makes 2-pt jump shot from 17 ft,77-83, ,,3,83,77,6,2159.0
0:00.0,Instant Replay (Request: Ruling Stands),77-83, ,,3,83,77,6,2160.0
0:00.0,End of 3rd quarter,77-83,,,3,83,77,6,2160.0
12:00.0,Start of 4th quarter,77-83,,,4,83,77,6,2160.0
11:39.0, ,77-83,J. Jaquez misses 2-pt hook shot from 6 ft,,4,83,77,6,2181.0
11:37.0,Defensive rebound by R. Gobert,77-83, ,,4,83,77,6,2183.0
11:30.0,N. Alexander-Walker makes 3-pt jump shot from 23 ft (assist by K. Anderson),80-83, ,,4,83,80,3,2190.0
11:13.0, ,80-83,B. Adebayo misses 2-pt jump shot from 12 ft,,4,83,80,3,2207.0
11:12.0, ,80-83,Offensive rebound by B. Adebayo,,4,83,80,3,2208.0
11:11.0, ,80-83,Shooting foul by R. Gobert (drawn by B. Adebayo),,4,83,80,3,2209.0
11:11.0, ,80-84,B. Adebayo makes free throw 1 of 2,,4,84,80,4,2209.0
11:11.0, ,80-84,B. Adebayo misses free throw 2 of 2,,4,84,80,4,2209.0
11:08.0,Defensive rebound by R. Gobert,80-84, ,,4,84,80,4,2212.0
10:46.0,N. Reid misses 3-pt jump shot from 26 ft,80-84, ,,4,84,80,4,2234.0
10:42.0, ,80-84,Defensive rebound by D. Robinson,,4,84,80,4,2238.0
10:32.0, ,80-84,B. Adebayo misses 2-pt jump shot from 6 ft,,4,84,80,4,2248.0
10:32.0, ,80-84,Offensive rebound by Team,,4,84,80,4,2248.0
10:32.0,Minnesota full timeout,80-84, ,,4,84,80,4,2248.0
10:32.0,Instant Replay (Challenge: Ruling Stands),80-84, ,,4,84,80,4,2248.0
10:28.0,Jump ball: B. Adebayo vs. R. Gobert (J. Richardson gains possession),80-84,,,4,84,80,4,2252.0
10:26.0, ,80-84,D. Robinson misses 3-pt jump shot from 26 ft,,4,84,80,4,2254.0
10:25.0, ,80-84,Offensive rebound by H. Highsmith,,4,84,80,4,2255.0
10:24.0, ,80-84,Turnover by H. Highsmith (bad pass; steal by K. Anderson),,4,84,80,4,2256.0
10:07.0,N. Reid makes 2-pt layup from 1 ft (assist by K. Anderson),82-84, ,,4,84,82,2,2273.0
9:47.0, ,82-84,Turnover by B. Adebayo (bad pass; steal by N. Alexander-Walker),,4,84,82,2,2293.0
9:38.0,N. Reid misses 2-pt jump shot from 8 ft,82-84, ,,4,84,82,2,2302.0
9:36.0, ,82-84,Defensive rebound by J. Jaquez,,4,84,82,2,2304.0
9:26.0, ,82-84,B. Adebayo misses 2-pt layup from 4 ft,,4,84,82,2,2314.0
9:24.0,Defensive rebound by R. Gobert,82-84, ,,4,84,82,2,2316.0
9:20.0,N. Reid misses 3-pt jump shot from 23 ft,82-84, ,,4,84,82,2,2320.0
9:16.0, ,82-84,Defensive rebound by D. Robinson,,4,84,82,2,2324.0
9:09.0, ,82-84,J. Richardson misses 3-pt jump shot from 25 ft,,4,84,82,2,2331.0
9:06.0,Defensive rebound by K. Anderson,82-84, ,,4,84,82,2,2334.0
8:53.0,Shooting foul by D. Robinson (drawn by N. Reid),82-84, ,,4,84,82,2,2347.0
8:53.0,M. Conley makes free throw 1 of 2,83-84, ,,4,84,83,1,2347.0
8:53.0,A. Edwards enters the game for K. Anderson,83-84, ,,4,84,83,1,2347.0
8:53.0,M. Conley makes free throw 2 of 2,84-84, ,Tie,4,84,84,0,2347.0
8:44.0, ,84-84,J. Jaquez misses 2-pt layup from 2 ft,,4,84,84,0,2356.0
8:43.0,Defensive rebound by R. Gobert,84-84, ,,4,84,84,0,2357.0
8:37.0,M. Conley makes 3-pt jump shot from 26 ft (assist by A. Edwards),87-84, ,Lead change,4,84,87,-3,2363.0
8:36.0, ,87-84,Miami full timeout,,4,84,87,-3,2364.0
8:26.0, ,87-84,Personal foul by N. Alexander-Walker (drawn by J. Jaquez),,4,84,87,-3,2374.0
8:18.0, ,87-84,D. Robinson misses 3-pt jump shot from 23 ft,,4,84,87,-3,2382.0
8:16.0, ,87-84,Offensive rebound by B. Adebayo,,4,84,87,-3,2384.0
8:16.0, ,87-84,Personal foul by N. Alexander-Walker (drawn by B. Adebayo),,4,84,87,-3,2384.0
8:11.0, ,87-86,J. Jaquez makes 2-pt layup from 1 ft (assist by B. Adebayo),,4,86,87,-1,2389.0
7:55.0,N. Reid makes 3-pt jump shot from 23 ft (assist by A. Edwards),90-86, ,,4,86,90,-4,2405.0
7:36.0, ,90-86,J. Jaquez misses 2-pt layup from 3 ft,,4,86,90,-4,2424.0
7:35.0, ,90-86,Offensive rebound by Team,,4,86,90,-4,2425.0
7:31.0, ,90-86,J. Jaquez misses 2-pt hook shot from 5 ft (block by R. Gobert),,4,86,90,-4,2429.0
7:29.0, ,90-86,Offensive rebound by B. Adebayo,,4,86,90,-4,2431.0
7:29.0, ,90-86,Turnover by B. Adebayo (bad pass),,4,86,90,-4,2431.0
7:16.0,A. Edwards misses 3-pt jump shot from 25 ft,90-86, ,,4,86,90,-4,2444.0
7:12.0, ,90-86,Defensive rebound by B. Adebayo,,4,86,90,-4,2448.0
7:07.0, ,90-88,B. Adebayo makes 2-pt jump shot from 13 ft,,4,88,90,-2,2453.0
6:44.0,Personal foul by J. Jaquez (drawn by R. Gobert),90-88, ,,4,88,90,-2,2476.0
6:44.0,J. McDaniels enters the game for N. Alexander-Walker,90-88, ,,4,88,90,-2,2476.0
6:44.0, ,90-88,T. Herro enters the game for H. Highsmith,,4,88,90,-2,2476.0
6:37.0,M. Conley makes 3-pt jump shot from 26 ft (assist by R. Gobert),93-88, ,,4,88,93,-5,2483.0
6:24.0, ,93-91,D. Robinson makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,4,91,93,-2,2496.0
6:08.0,N. Reid misses 3-pt jump shot from 25 ft,93-91, ,,4,91,93,-2,2512.0
6:03.0, ,93-91,Defensive rebound by B. Adebayo,,4,91,93,-2,2517.0
5:54.0, ,93-94,J. Richardson makes 3-pt jump shot from 27 ft (assist by D. Robinson),Lead change,4,94,93,1,2526.0
5:35.0,M. Conley misses 3-pt jump shot from 26 ft,93-94, ,,4,94,93,1,2545.0
5:31.0,Offensive rebound by N. Reid,93-94, ,,4,94,93,1,2549.0
5:26.0,N. Reid makes 2-pt jump shot from 6 ft,95-94, ,Lead change,4,94,95,-1,2554.0
4:59.0, ,95-94,T. Herro misses 3-pt jump shot from 26 ft (block by J. McDaniels),,4,94,95,-1,2581.0
4:52.0,Defensive rebound by A. Edwards,95-94, ,,4,94,95,-1,2588.0
4:51.0,A. Edwards makes 2-pt layup from 2 ft,97-94, ,,4,94,97,-3,2589.0
4:51.0, ,97-94,Miami full timeout,,4,94,97,-3,2589.0
4:51.0,K. Towns enters the game for N. Reid,97-94, ,,4,94,97,-3,2589.0
4:51.0, ,97-94,J. Butler enters the game for J. Jaquez,,4,94,97,-3,2589.0
4:33.0, ,97-94,B. Adebayo misses 2-pt jump shot from 12 ft,,4,94,97,-3,2607.0
4:30.0,Defensive rebound by R. Gobert,97-94, ,,4,94,97,-3,2610.0
4:15.0,R. Gobert misses 2-pt hook shot from 3 ft,97-94, ,,4,94,97,-3,2625.0
4:13.0, ,97-94,Defensive rebound by J. Richardson,,4,94,97,-3,2627.0
4:04.0, ,97-94,Personal foul by J. McDaniels (drawn by J. Richardson),,4,94,97,-3,2636.0
3:57.0, ,97-97,D. Robinson makes 3-pt jump shot from 25 ft (assist by B. Adebayo),Tie,4,97,97,0,2643.0
3:29.0,A. Edwards makes 2-pt dunk from 1 ft (assist by K. Towns),99-97, ,,4,97,99,-2,2671.0
3:06.0, ,99-97,B. Adebayo misses 2-pt jump shot from 5 ft (block by R. Gobert),,4,97,99,-2,2694.0
3:03.0,Defensive rebound by A. Edwards,99-97, ,,4,97,99,-2,2697.0
3:02.0,A. Edwards makes 2-pt dunk from 1 ft,101-97, ,,4,97,101,-4,2698.0
2:41.0, ,101-97,B. Adebayo misses 2-pt hook shot from 7 ft,,4,97,101,-4,2719.0
2:40.0, ,101-97,Offensive rebound by Team,,4,97,101,-4,2720.0
2:39.0,Loose ball foul by J. McDaniels (drawn by T. Herro),101-97, ,,4,97,101,-4,2721.0
2:39.0,N. Alexander-Walker enters the game for J. McDaniels,101-97, ,,4,97,101,-4,2721.0
2:39.0, ,101-98,T. Herro makes free throw 1 of 2,,4,98,101,-3,2721.0
2:39.0, ,101-99,T. Herro makes free throw 2 of 2,,4,99,101,-2,2721.0
2:28.0,A. Edwards makes 2-pt jump shot from 14 ft (assist by M. Conley),103-99, ,,4,99,103,-4,2732.0
2:11.0, ,103-102,J. Richardson makes 3-pt jump shot from 24 ft (assist by J. Butler),,4,102,103,-1,2749.0
1:50.0,Personal foul by J. Butler (drawn by K. Towns),103-102, ,,4,102,103,-1,2770.0
1:42.0,K. Towns makes 2-pt jump shot from 13 ft,105-102, ,,4,102,105,-3,2778.0
1:24.0, ,105-104,B. Adebayo makes 2-pt jump shot from 9 ft (assist by J. Richardson),,4,104,105,-1,2796.0
1:08.0,A. Edwards misses 3-pt jump shot from 27 ft,105-104, ,,4,104,105,-1,2812.0
1:05.0,Offensive rebound by K. Towns,105-104, ,,4,104,105,-1,2815.0
1:03.0,R. Gobert makes 2-pt dunk from 1 ft (assist by K. Towns),107-104, ,,4,104,107,-3,2817.0
0:46.0, ,107-106,T. Herro makes 2-pt jump shot from 18 ft,,4,106,107,-1,2834.0
0:26.0,A. Edwards makes 2-pt jump shot from 14 ft,109-106, ,,4,106,109,-3,2854.0
0:25.0, ,109-106,Miami full timeout,,4,106,109,-3,2855.0
0:25.0,K. Anderson enters the game for K. Towns,109-106, ,,4,106,109,-3,2855.0
0:23.0, ,109-106,J. Butler misses 3-pt jump shot from 25 ft,,4,106,109,-3,2857.0
0:21.0,Defensive rebound by R. Gobert,109-106, ,,4,106,109,-3,2859.0
0:21.0,Personal take foul by J. Richardson (drawn by R. Gobert),109-106, ,,4,106,109,-3,2859.0
0:21.0,R. Gobert makes free throw 1 of 2,110-106, ,,4,106,110,-4,2859.0
0:21.0,R. Gobert misses free throw 2 of 2,110-106, ,,4,106,110,-4,2859.0
0:19.0, ,110-106,Defensive rebound by T. Herro,,4,106,110,-4,2861.0
0:10.0, ,110-108,B. Adebayo makes 2-pt hook shot from 3 ft (assist by J. Richardson),,4,108,110,-2,2870.0
0:04.0,Personal take foul by T. Herro (drawn by N. Alexander-Walker),110-108, ,,4,108,110,-2,2876.0
0:04.0,N. Alexander-Walker makes free throw 1 of 2,111-108, ,,4,108,111,-3,2876.0
0:04.0, ,111-108,K. Love enters the game for D. Robinson,,4,108,111,-3,2876.0
0:04.0,N. Alexander-Walker makes free throw 2 of 2,112-108, ,,4,108,112,-4,2876.0
0:04.0, ,112-108,Miami full timeout,,4,108,112,-4,2876.0
0:04.0, ,112-108,D. Robinson enters the game for B. Adebayo,,4,108,112,-4,2876.0
0:02.0, ,112-108,T. Herro misses 3-pt jump shot from 25 ft,,4,108,112,-4,2878.0
0:00.0,Defensive rebound by Team,112-108, ,,4,108,112,-4,2880.0
0:00.0,End of 4th quarter,112-108,,,4,108,112,-4,2880.0
