Time,Minnesota,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:00.0, ,10-14,J. Jaquez enters the game for K. Love,,1,14,10,4,360.0
6:00.0, ,10-15,B. Adebayo makes free throw 1 of 1,,1,15,10,5,360.0
5:44.0,A. Edwards misses 3-pt jump shot from 23 ft,10-15, ,,1,15,10,5,376.0
5:39.0, ,10-15,Defensive rebound by J. Butler,,1,15,10,5,381.0
5:30.0, ,10-17,B. Adebayo makes 2-pt jump shot from 17 ft (assist by C. Martin),,1,17,10,7,390.0
5:15.0,Turnover by M. Conley (bad pass; steal by J. Jaquez),10-17, ,,1,17,10,7,405.0
5:13.0, ,10-17,Personal foul by A. Edwards (drawn by J. Jaquez),,1,17,10,7,407.0
5:13.0,N. Reid enters the game for K. Towns,10-17, ,,1,17,10,7,407.0
5:13.0, ,10-17,K. Love enters the game for B. Adebayo,,1,17,10,7,407.0
4:55.0, ,10-19,T. Herro makes 2-pt jump shot from 6 ft (assist by K. Love),,1,19,10,9,425.0
4:42.0,Turnover by R. Gobert (bad pass; steal by C. Martin),10-19, ,,1,19,10,9,438.0
4:39.0, ,10-19,T. Herro misses 2-pt layup from 6 ft (block by A. Edwards),,1,19,10,9,441.0
4:39.0, ,10-19,Offensive rebound by Team,,1,19,10,9,441.0
4:39.0,K. Anderson enters the game for M. Conley,10-19, ,,1,19,10,9,441.0
4:30.0, ,10-22,K. Love makes 3-pt jump shot from 24 ft (assist by T. Herro),,1,22,10,12,450.0
4:14.0,N. Reid misses 2-pt layup from 2 ft,10-22, ,,1,22,10,12,466.0
4:11.0,Offensive rebound by R. Gobert,10-22, ,,1,22,10,12,469.0
4:09.0,R. Gobert misses 2-pt hook shot from 5 ft,10-22, ,,1,22,10,12,471.0
4:07.0,Offensive rebound by J. McDaniels,10-22, ,,1,22,10,12,473.0
4:05.0,J. McDaniels makes 2-pt layup from 1 ft,12-22, ,,1,22,12,10,475.0
3:59.0, ,12-22,T. Herro misses 3-pt jump shot from 27 ft,,1,22,12,10,481.0
