Time,Miami,Score,Memphis,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:52.0,J. Butler enters the game for D. Smith,43-38, ,,2,43,38,5,1088.0
5:52.0, ,43-38,M. Smart enters the game for D. Roddy,,2,43,38,5,1088.0
5:45.0,Turnover by J. Butler (bad pass; steal by D. Bane),43-38, ,,2,43,38,5,1095.0
5:42.0, ,43-41,D. Bane makes 3-pt jump shot from 26 ft,,2,43,41,2,1098.0
5:15.0,J. Butler misses 2-pt jump shot from 15 ft,43-41, ,,2,43,41,2,1125.0
5:13.0, ,43-41,Defensive rebound by S. Aldama,,2,43,41,2,1127.0
5:06.0, ,43-41,D. Bane misses 2-pt jump shot from 18 ft,,2,43,41,2,1134.0
5:02.0,Defensive rebound by Team,43-41, ,,2,43,41,2,1138.0
5:02.0,H. Highsmith enters the game for J. Jaquez,43-41, ,,2,43,41,2,1138.0
5:02.0,K. Lowry enters the game for D. Robinson,43-41, ,,2,43,41,2,1138.0
4:47.0,J. Butler misses 2-pt jump shot from 7 ft,43-41, ,,2,43,41,2,1153.0
4:43.0, ,43-41,Defensive rebound by M. Smart,,2,43,41,2,1157.0
4:28.0, ,43-41,M. Smart misses 2-pt jump shot from 5 ft,,2,43,41,2,1172.0
4:25.0,Defensive rebound by T. Bryant,43-41, ,,2,43,41,2,1175.0
4:11.0,J. Richardson misses 2-pt jump shot from 10 ft,43-41, ,,2,43,41,2,1189.0
4:06.0,Offensive rebound by T. Bryant,43-41, ,,2,43,41,2,1194.0
4:06.0,T. Bryant misses 2-pt layup at rim,43-41, ,,2,43,41,2,1194.0
4:06.0, ,43-41,Defensive rebound by Z. Williams,,2,43,41,2,1194.0
4:03.0, ,43-41,D. Bane misses 3-pt jump shot from 26 ft,,2,43,41,2,1197.0
4:02.0,Defensive rebound by K. Lowry,43-41, ,,2,43,41,2,1198.0
4:02.0,Personal foul by B. Biyombo (drawn by K. Lowry),43-41, ,,2,43,41,2,1198.0
4:02.0,D. Robinson enters the game for J. Richardson,43-41, ,,2,43,41,2,1198.0
3:50.0,K. Lowry misses 3-pt jump shot from 26 ft,43-41, ,,2,43,41,2,1210.0
3:48.0, ,43-41,Defensive rebound by S. Aldama,,2,43,41,2,1212.0
3:28.0, ,43-41,D. Bane misses 3-pt jump shot from 25 ft,,2,43,41,2,1232.0
3:24.0,Defensive rebound by D. Robinson,43-41, ,,2,43,41,2,1236.0
3:08.0,Shooting foul by M. Smart (drawn by H. Highsmith),43-41, ,,2,43,41,2,1252.0
3:08.0,H. Highsmith makes free throw 1 of 2,44-41, ,,2,44,41,3,1252.0
3:08.0,B. Adebayo enters the game for T. Bryant,44-41, ,,2,44,41,3,1252.0
3:08.0,H. Highsmith makes free throw 2 of 2,45-41, ,,2,45,41,4,1252.0
2:51.0, ,45-41,Turnover by Z. Williams (bad pass; steal by K. Lowry),,2,45,41,4,1269.0
2:49.0,J. Butler makes 2-pt dunk from 2 ft (assist by K. Lowry),47-41, ,,2,47,41,6,1271.0
2:40.0, ,47-41,Z. Williams misses 2-pt jump shot from 17 ft,,2,47,41,6,1280.0
2:37.0,Defensive rebound by B. Adebayo,47-41, ,,2,47,41,6,1283.0
2:28.0,B. Adebayo misses 2-pt jump shot from 10 ft,47-41, ,,2,47,41,6,1292.0
2:26.0, ,47-41,Defensive rebound by B. Biyombo,,2,47,41,6,1294.0
2:22.0, ,47-41,Shooting foul by H. Highsmith (drawn by M. Smart),,2,47,41,6,1298.0
2:22.0,Miami full timeout,47-41, ,,2,47,41,6,1298.0
2:22.0, ,47-41,J. Jackson enters the game for S. Aldama,,2,47,41,6,1298.0
2:22.0, ,47-41,L. Kennard enters the game for Z. Williams,,2,47,41,6,1298.0
2:22.0, ,47-41,M. Smart misses free throw 1 of 2,,2,47,41,6,1298.0
2:22.0, ,47-41,Offensive rebound by Team,,2,47,41,6,1298.0
2:22.0, ,47-42,M. Smart makes free throw 2 of 2,,2,47,42,5,1298.0
2:08.0,K. Lowry misses 2-pt jump shot from 11 ft (block by D. Bane),47-42, ,,2,47,42,5,1312.0
2:08.0,Offensive rebound by K. Lowry,47-42, ,,2,47,42,5,1312.0
2:08.0,Shooting foul by D. Bane (drawn by K. Lowry),47-42, ,,2,47,42,5,1312.0
2:08.0,K. Lowry makes free throw 1 of 2,48-42, ,,2,48,42,6,1312.0
2:08.0,K. Lowry makes free throw 2 of 2,49-42, ,,2,49,42,7,1312.0
2:00.0, ,49-42,M. Smart misses 2-pt layup from 3 ft (block by B. Adebayo),,2,49,42,7,1320.0
1:53.0,Defensive rebound by Team,49-42, ,,2,49,42,7,1327.0
1:53.0,Jump ball: B. Adebayo vs. J. Jackson (K. Lowry gains possession),49-42,,,2,49,42,7,1327.0
1:42.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by J. Butler),52-42, ,,2,52,42,10,1338.0
1:25.0, ,52-44,M. Smart makes 2-pt jump shot from 5 ft,,2,52,44,8,1355.0
1:09.0,Turnover by D. Robinson (traveling),52-44, ,,2,52,44,8,1371.0
0:57.0,Miami full timeout,52-44, ,,2,52,44,8,1383.0
0:57.0,Instant Replay (Challenge: Ruling Stands),52-44, ,,2,52,44,8,1383.0
0:57.0, ,52-44,Turnover by L. Kennard (lost ball; steal by J. Butler),,2,52,44,8,1383.0
0:43.0,J. Butler makes 2-pt layup from 4 ft,54-44, ,,2,54,44,10,1397.0
0:34.0, ,54-44,Offensive foul by D. Bane (drawn by K. Lowry),,2,54,44,10,1406.0
0:34.0, ,54-44,Turnover by D. Bane (offensive foul),,2,54,44,10,1406.0
0:34.0, ,54-44,D. Roddy enters the game for D. Bane,,2,54,44,10,1406.0
0:25.0,K. Lowry misses 3-pt jump shot from 26 ft,54-44, ,,2,54,44,10,1415.0
0:23.0, ,54-44,Defensive rebound by M. Smart,,2,54,44,10,1417.0
0:07.0, ,54-46,J. Jackson makes 2-pt layup from 3 ft (assist by M. Smart),,2,54,46,8,1433.0
0:00.0,J. Butler misses 2-pt jump shot from 9 ft,54-46, ,,2,54,46,8,1440.0
0:00.0,Offensive rebound by Team,54-46, ,,2,54,46,8,1440.0
0:00.0,End of 2nd quarter,54-46,,,2,54,46,8,1440.0
12:00.0,Start of 3rd quarter,54-46,,,3,54,46,8,1440.0
11:49.0, ,54-49,D. Bane makes 3-pt jump shot from 26 ft (assist by J. Jackson),,3,54,49,5,1451.0
11:28.0,Def 3 sec tech foul by Team,54-49, ,,3,54,49,5,1472.0
11:28.0,J. Butler makes technical free throw,55-49, ,,3,55,49,6,1472.0
11:23.0,B. Adebayo makes 2-pt jump shot from 13 ft (assist by K. Lowry),57-49, ,,3,57,49,8,1477.0
11:09.0, ,57-51,J. Jackson makes 2-pt jump shot from 5 ft (assist by D. Bane),,3,57,51,6,1491.0
10:51.0,Turnover by B. Adebayo (bad pass; steal by Z. Williams),57-51, ,,3,57,51,6,1509.0
10:48.0, ,57-53,Z. Williams makes 2-pt dunk from 1 ft,,3,57,53,4,1512.0
10:38.0,B. Adebayo makes 2-pt jump shot from 16 ft (assist by K. Lowry),59-53, ,,3,59,53,6,1522.0
10:27.0, ,59-53,Shooting foul by K. Lowry (drawn by D. Bane),,3,59,53,6,1533.0
10:27.0, ,59-53,D. Bane misses free throw 1 of 2,,3,59,53,6,1533.0
10:27.0, ,59-53,Offensive rebound by Team,,3,59,53,6,1533.0
10:27.0, ,59-54,D. Bane makes free throw 2 of 2,,3,59,54,5,1533.0
10:21.0,Turnover by K. Lowry (bad pass; steal by M. Smart),59-54, ,,3,59,54,5,1539.0
10:15.0, ,59-54,Turnover by M. Smart (bad pass; steal by J. Butler),,3,59,54,5,1545.0
10:04.0,J. Butler misses 2-pt jump shot from 9 ft,59-54, ,,3,59,54,5,1556.0
9:57.0,Offensive rebound by J. Butler,59-54, ,,3,59,54,5,1563.0
9:57.0,J. Butler makes 2-pt layup at rim,61-54, ,,3,61,54,7,1563.0
9:49.0, ,61-54,Z. Williams misses 3-pt jump shot from 25 ft,,3,61,54,7,1571.0
9:46.0,Defensive rebound by K. Lowry,61-54, ,,3,61,54,7,1574.0
9:29.0,J. Butler misses 2-pt layup from 5 ft,61-54, ,,3,61,54,7,1591.0
9:27.0, ,61-54,Defensive rebound by B. Biyombo,,3,61,54,7,1593.0
9:24.0, ,61-56,D. Bane makes 2-pt layup from 2 ft (assist by M. Smart),,3,61,56,5,1596.0
9:24.0, ,61-56,Shooting foul by H. Highsmith (drawn by D. Bane),,3,61,56,5,1596.0
9:24.0,Technical foul by H. Highsmith,61-56, ,,3,61,56,5,1596.0
9:24.0, ,61-57,D. Bane makes technical free throw,,3,61,57,4,1596.0
9:24.0, ,61-58,D. Bane makes free throw 1 of 1,,3,61,58,3,1596.0
9:07.0,K. Lowry misses 2-pt jump shot from 11 ft (block by D. Bane),61-58, ,,3,61,58,3,1613.0
9:06.0,Offensive rebound by K. Lowry,61-58, ,,3,61,58,3,1614.0
9:05.0,K. Lowry makes 2-pt jump shot from 7 ft,63-58, ,,3,63,58,5,1615.0
8:45.0, ,63-58,M. Smart misses 2-pt jump shot from 12 ft,,3,63,58,5,1635.0
8:45.0,Defensive rebound by Team,63-58, ,,3,63,58,5,1635.0
8:45.0, ,63-58,Loose ball foul by J. Jackson (drawn by B. Adebayo),,3,63,58,5,1635.0
8:36.0,Turnover by K. Lowry (dbl dribble),63-58, ,,3,63,58,5,1644.0
8:22.0, ,63-60,J. Jackson makes 2-pt jump shot from 6 ft,,3,63,60,3,1658.0
8:22.0, ,63-60,Shooting foul by B. Adebayo (drawn by J. Jackson),,3,63,60,3,1658.0
8:22.0, ,63-61,J. Jackson makes free throw 1 of 1,,3,63,61,2,1658.0
8:11.0,B. Adebayo makes 2-pt jump shot from 12 ft,65-61, ,,3,65,61,4,1669.0
7:49.0, ,65-64,J. Jackson makes 3-pt jump shot from 27 ft (assist by M. Smart),,3,65,64,1,1691.0
7:31.0,K. Lowry makes 3-pt jump shot from 28 ft (assist by H. Highsmith),68-64, ,,3,68,64,4,1709.0
7:08.0, ,68-64,D. Bane misses 3-pt jump shot from 26 ft,,3,68,64,4,1732.0
7:06.0,Defensive rebound by B. Adebayo,68-64, ,,3,68,64,4,1734.0
6:51.0,H. Highsmith makes 3-pt jump shot from 23 ft (assist by K. Lowry),71-64, ,,3,71,64,7,1749.0
6:33.0, ,71-64,J. Jackson misses 3-pt jump shot from 27 ft,,3,71,64,7,1767.0
6:31.0,Defensive rebound by K. Lowry,71-64, ,,3,71,64,7,1769.0
