Time,Miami,Score,Phoenix,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:02.0,K. Lowry misses 2-pt layup from 4 ft (block by B. Bol),55-62, ,,2,55,62,-7,1438.0
0:02.0, ,55-62,Defensive rebound by J. Nurkić,,2,55,62,-7,1438.0
0:00.0, ,55-62,D. Booker misses 3-pt jump shot from 34 ft,,2,55,62,-7,1440.0
0:00.0, ,55-62,Offensive rebound by Team,,2,55,62,-7,1440.0
0:00.0,End of 2nd quarter,55-62,,,2,55,62,-7,1440.0
12:00.0,Start of 3rd quarter,55-62,,,3,55,62,-7,1440.0
11:42.0, ,55-64,C. Metu makes 2-pt hook shot from 9 ft (assist by G. Allen),,3,55,64,-9,1458.0
11:20.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by T. Herro),57-64, ,,3,57,64,-7,1480.0
11:08.0, ,57-67,B. Beal makes 3-pt jump shot from 26 ft (assist by D. Booker),,3,57,67,-10,1492.0
10:49.0,N. Jović makes 3-pt jump shot from 26 ft (assist by T. Herro),60-67, ,,3,60,67,-7,1511.0
10:32.0, ,60-69,B. Beal makes 2-pt jump shot from 11 ft,,3,60,69,-9,1528.0
10:20.0,T. Herro makes 3-pt jump shot from 26 ft (assist by K. Lowry),63-69, ,,3,63,69,-6,1540.0
10:01.0, ,63-71,B. Beal makes 2-pt jump shot from 12 ft (assist by J. Nurkić),,3,63,71,-8,1559.0
9:50.0,T. Herro misses 3-pt jump shot from 26 ft,63-71, ,,3,63,71,-8,1570.0
9:46.0, ,63-71,Defensive rebound by J. Nurkić,,3,63,71,-8,1574.0
9:42.0, ,63-73,D. Booker makes 2-pt jump shot from 19 ft,,3,63,73,-10,1578.0
9:23.0,B. Adebayo misses 2-pt jump shot from 9 ft,63-73, ,,3,63,73,-10,1597.0
9:20.0, ,63-73,Defensive rebound by G. Allen,,3,63,73,-10,1600.0
9:10.0, ,63-73,D. Booker misses 2-pt jump shot from 16 ft,,3,63,73,-10,1610.0
9:08.0,Defensive rebound by J. Jaquez,63-73, ,,3,63,73,-10,1612.0
8:58.0,Turnover by K. Lowry (bad pass; steal by C. Metu),63-73, ,,3,63,73,-10,1622.0
8:53.0, ,63-75,C. Metu makes 2-pt dunk from 1 ft (assist by D. Booker),,3,63,75,-12,1627.0
8:35.0,T. Herro misses 2-pt layup from 2 ft,63-75, ,,3,63,75,-12,1645.0
8:33.0, ,63-75,Defensive rebound by J. Nurkić,,3,63,75,-12,1647.0
8:32.0, ,63-77,C. Metu makes 2-pt layup from 1 ft (assist by B. Beal),,3,63,77,-14,1648.0
8:32.0,Violation by Team (def goaltending),63-77, ,,3,63,77,-14,1648.0
8:32.0, ,63-77,Shooting foul by K. Lowry (drawn by C. Metu),,3,63,77,-14,1648.0
8:32.0,Miami full timeout,63-77, ,,3,63,77,-14,1648.0
8:32.0, ,63-78,C. Metu makes free throw 1 of 1,,3,63,78,-15,1648.0
8:17.0,J. Jaquez misses 3-pt jump shot from 24 ft,63-78, ,,3,63,78,-15,1663.0
8:14.0, ,63-78,Defensive rebound by B. Beal,,3,63,78,-15,1666.0
8:01.0, ,63-80,G. Allen makes 2-pt layup from 1 ft (assist by D. Booker),,3,63,80,-17,1679.0
7:42.0,K. Lowry misses 3-pt jump shot from 23 ft,63-80, ,,3,63,80,-17,1698.0
7:37.0,Offensive rebound by N. Jović,63-80, ,,3,63,80,-17,1703.0
7:34.0,T. Herro misses 2-pt jump shot from 9 ft (block by G. Allen),63-80, ,,3,63,80,-17,1706.0
7:32.0, ,63-80,Defensive rebound by B. Beal,,3,63,80,-17,1708.0
7:28.0, ,63-80,G. Allen misses 2-pt layup from 2 ft (block by B. Adebayo),,3,63,80,-17,1712.0
7:28.0,Defensive rebound by K. Lowry,63-80, ,,3,63,80,-17,1712.0
7:24.0,T. Herro misses 3-pt jump shot from 23 ft,63-80, ,,3,63,80,-17,1716.0
7:24.0,Offensive rebound by J. Jaquez,63-80, ,,3,63,80,-17,1716.0
7:13.0,K. Lowry misses 3-pt jump shot from 26 ft,63-80, ,,3,63,80,-17,1727.0
7:11.0, ,63-80,Defensive rebound by C. Metu,,3,63,80,-17,1729.0
7:03.0, ,63-80,Turnover by  (8 sec),,3,63,80,-17,1737.0
7:03.0,J. Richardson enters the game for N. Jović,63-80, ,,3,63,80,-17,1737.0
6:44.0,T. Herro misses 3-pt jump shot from 25 ft,63-80, ,,3,63,80,-17,1756.0
6:41.0,Offensive rebound by B. Adebayo,63-80, ,,3,63,80,-17,1759.0
6:32.0,J. Richardson makes 2-pt jump shot from 17 ft (assist by K. Lowry),65-80, ,,3,65,80,-15,1768.0
6:11.0, ,65-83,G. Allen makes 3-pt jump shot from 24 ft (assist by D. Booker),,3,65,83,-18,1789.0
5:52.0,Personal foul by B. Beal (drawn by B. Adebayo),65-83, ,,3,65,83,-18,1808.0
