Time,Miami,Score,Washington,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
0:21.0,J. Jaquez makes 2-pt dunk from 2 ft (assist by C. Martin),31-33, ,,1,31,33,-2,699.0
0:00.0, ,31-33,L. Shamet misses 2-pt jump shot from 13 ft,,1,31,33,-2,720.0
0:00.0, ,31-33,Offensive rebound by Team,,1,31,33,-2,720.0
0:00.0,End of 1st quarter,31-33,,,1,31,33,-2,720.0
12:00.0,Start of 2nd quarter,31-33,,,2,31,33,-2,720.0
11:35.0, ,31-33,Shooting foul by B. Adebayo (drawn by L. Shamet),,2,31,33,-2,745.0
11:35.0, ,31-34,L. Shamet makes free throw 1 of 2,,2,31,34,-3,745.0
11:35.0, ,31-35,L. Shamet makes free throw 2 of 2,,2,31,35,-4,745.0
11:22.0,T. Herro makes 3-pt jump shot from 28 ft (assist by J. Jaquez),34-35, ,,2,34,35,-1,758.0
11:06.0, ,34-38,C. Kispert makes 3-pt jump shot from 28 ft (assist by D. Wright),,2,34,38,-4,774.0
10:51.0,J. Jaquez misses 3-pt jump shot from 23 ft,34-38, ,,2,34,38,-4,789.0
10:48.0, ,34-38,Defensive rebound by B. Coulibaly,,2,34,38,-4,792.0
10:32.0, ,34-38,C. Kispert misses 3-pt jump shot from 25 ft,,2,34,38,-4,808.0
10:29.0,Defensive rebound by C. Martin,34-38, ,,2,34,38,-4,811.0
10:23.0,C. Martin misses 2-pt layup from 7 ft (block by D. Gafford),34-38, ,,2,34,38,-4,817.0
10:20.0, ,34-38,Defensive rebound by C. Kispert,,2,34,38,-4,820.0
10:08.0, ,34-40,D. Gafford makes 2-pt layup from 3 ft (assist by C. Kispert),,2,34,40,-6,832.0
9:51.0,B. Adebayo misses 2-pt jump shot from 10 ft,34-40, ,,2,34,40,-6,849.0
9:49.0, ,34-40,Defensive rebound by D. Gafford,,2,34,40,-6,851.0
9:34.0, ,34-40,B. Coulibaly misses 3-pt jump shot from 27 ft,,2,34,40,-6,866.0
9:31.0, ,34-40,Offensive rebound by Team,,2,34,40,-6,869.0
9:28.0, ,34-40,L. Shamet misses 3-pt jump shot from 23 ft,,2,34,40,-6,872.0
9:25.0,Defensive rebound by B. Adebayo,34-40, ,,2,34,40,-6,875.0
9:18.0,T. Herro misses 3-pt jump shot from 26 ft,34-40, ,,2,34,40,-6,882.0
9:14.0, ,34-40,Defensive rebound by D. Wright,,2,34,40,-6,886.0
9:05.0, ,34-40,Shooting foul by C. Martin (drawn by D. Gafford),,2,34,40,-6,895.0
9:05.0, ,34-41,D. Gafford makes free throw 1 of 2,,2,34,41,-7,895.0
9:05.0, ,34-42,D. Gafford makes free throw 2 of 2,,2,34,42,-8,895.0
8:54.0,T. Herro misses 2-pt jump shot from 13 ft,34-42, ,,2,34,42,-8,906.0
8:50.0, ,34-42,Defensive rebound by L. Shamet,,2,34,42,-8,910.0
8:43.0, ,34-42,D. Wright misses 2-pt jump shot from 13 ft,,2,34,42,-8,917.0
8:39.0, ,34-42,Offensive rebound by D. Wright,,2,34,42,-8,921.0
8:34.0, ,34-45,D. Wright makes 3-pt jump shot from 24 ft (assist by B. Coulibaly),,2,34,45,-11,926.0
8:33.0,Miami full timeout,34-45, ,,2,34,45,-11,927.0
8:19.0,J. Jaquez misses 2-pt jump shot from 7 ft (block by D. Wright),34-45, ,,2,34,45,-11,941.0
8:15.0,Offensive rebound by B. Adebayo,34-45, ,,2,34,45,-11,945.0
8:09.0,B. Adebayo misses 2-pt jump shot from 15 ft,34-45, ,,2,34,45,-11,951.0
8:05.0, ,34-45,Defensive rebound by B. Coulibaly,,2,34,45,-11,955.0
7:53.0, ,34-45,C. Kispert misses 3-pt jump shot from 27 ft,,2,34,45,-11,967.0
7:49.0,Defensive rebound by B. Adebayo,34-45, ,,2,34,45,-11,971.0
7:40.0,B. Adebayo makes 2-pt jump shot from 12 ft,36-45, ,,2,36,45,-9,980.0
7:21.0, ,36-45,C. Kispert misses 3-pt jump shot from 26 ft,,2,36,45,-9,999.0
7:16.0,Defensive rebound by B. Adebayo,36-45, ,,2,36,45,-9,1004.0
7:13.0,T. Herro makes 3-pt jump shot from 26 ft (assist by B. Adebayo),39-45, ,,2,39,45,-6,1007.0
7:11.0, ,39-45,Washington full timeout,,2,39,45,-6,1009.0
7:11.0,J. Butler enters the game for J. Jaquez,39-45, ,,2,39,45,-6,1009.0
7:11.0, ,39-45,D. Avdija enters the game for B. Coulibaly,,2,39,45,-6,1009.0
7:11.0, ,39-45,K. Kuzma enters the game for C. Kispert,,2,39,45,-6,1009.0
6:53.0, ,39-45,L. Shamet misses 2-pt jump shot from 16 ft,,2,39,45,-6,1027.0
6:48.0,Defensive rebound by J. Butler,39-45, ,,2,39,45,-6,1032.0
6:37.0,T. Herro misses 2-pt layup from 5 ft,39-45, ,,2,39,45,-6,1043.0
6:35.0, ,39-45,Defensive rebound by D. Gafford,,2,39,45,-6,1045.0
6:27.0, ,39-47,K. Kuzma makes 2-pt hook shot from 7 ft (assist by L. Shamet),,2,39,47,-8,1053.0
6:01.0,C. Martin misses 2-pt jump shot from 18 ft,39-47, ,,2,39,47,-8,1079.0
5:58.0,Offensive rebound by C. Martin,39-47, ,,2,39,47,-8,1082.0
5:55.0,J. Richardson misses 3-pt jump shot from 26 ft,39-47, ,,2,39,47,-8,1085.0
5:52.0, ,39-47,Defensive rebound by D. Avdija,,2,39,47,-8,1088.0
5:46.0, ,39-47,D. Avdija misses 2-pt layup from 7 ft (block by B. Adebayo),,2,39,47,-8,1094.0
5:46.0, ,39-47,Offensive rebound by Team,,2,39,47,-8,1094.0
5:46.0,J. Jaquez enters the game for B. Adebayo,39-47, ,,2,39,47,-8,1094.0
5:46.0,K. Love enters the game for T. Herro,39-47, ,,2,39,47,-8,1094.0
5:46.0,T. Rozier enters the game for C. Martin,39-47, ,,2,39,47,-8,1094.0
5:46.0, ,39-47,B. Coulibaly enters the game for D. Gafford,,2,39,47,-8,1094.0
5:46.0, ,39-47,T. Jones enters the game for L. Shamet,,2,39,47,-8,1094.0
5:46.0, ,39-47,J. Poole enters the game for D. Wright,,2,39,47,-8,1094.0
5:39.0, ,39-47,B. Coulibaly misses 3-pt jump shot from 24 ft,,2,39,47,-8,1101.0
5:36.0,Defensive rebound by K. Love,39-47, ,,2,39,47,-8,1104.0
5:32.0,T. Rozier misses 2-pt layup from 7 ft,39-47, ,,2,39,47,-8,1108.0
5:28.0, ,39-47,Defensive rebound by T. Jones,,2,39,47,-8,1112.0
5:26.0, ,39-47,K. Kuzma misses 2-pt jump shot from 13 ft,,2,39,47,-8,1114.0
5:22.0,Defensive rebound by K. Love,39-47, ,,2,39,47,-8,1118.0
5:01.0,J. Richardson misses 3-pt jump shot from 26 ft,39-47, ,,2,39,47,-8,1139.0
4:58.0,Offensive rebound by J. Butler,39-47, ,,2,39,47,-8,1142.0
4:57.0,J. Butler makes 2-pt layup from 3 ft,41-47, ,,2,41,47,-6,1143.0
4:41.0, ,41-50,J. Poole makes 3-pt jump shot from 27 ft (assist by B. Coulibaly),,2,41,50,-9,1159.0
4:18.0,Shooting foul by B. Coulibaly (drawn by J. Butler),41-50, ,,2,41,50,-9,1182.0
4:18.0,J. Butler makes free throw 1 of 2,42-50, ,,2,42,50,-8,1182.0
4:18.0,J. Butler makes free throw 2 of 2,43-50, ,,2,43,50,-7,1182.0
4:04.0, ,43-50,K. Kuzma misses 2-pt jump shot from 16 ft,,2,43,50,-7,1196.0
4:00.0,Defensive rebound by J. Richardson,43-50, ,,2,43,50,-7,1200.0
3:57.0,J. Richardson makes 2-pt layup from 3 ft,45-50, ,,2,45,50,-5,1203.0
3:52.0, ,45-52,D. Avdija makes 2-pt layup from 2 ft (assist by J. Poole),,2,45,52,-7,1208.0
3:52.0, ,45-52,Shooting foul by J. Jaquez (drawn by D. Avdija),,2,45,52,-7,1208.0
3:52.0, ,45-52,D. Avdija misses free throw 1 of 1,,2,45,52,-7,1208.0
3:49.0,Defensive rebound by K. Love,45-52, ,,2,45,52,-7,1211.0
3:32.0,T. Rozier misses 2-pt layup from 9 ft,45-52, ,,2,45,52,-7,1228.0
3:30.0, ,45-52,Defensive rebound by B. Coulibaly,,2,45,52,-7,1230.0
3:18.0, ,45-54,D. Avdija makes 2-pt dunk from 1 ft (assist by J. Poole),,2,45,54,-9,1242.0
3:08.0,Shooting foul by D. Avdija (drawn by J. Butler),45-54, ,,2,45,54,-9,1252.0
3:08.0, ,45-54,Washington full timeout,,2,45,54,-9,1252.0
3:08.0, ,45-54,Instant Replay (Challenge: Stands),,2,45,54,-9,1252.0
3:08.0,J. Butler makes free throw 1 of 2,46-54, ,,2,46,54,-8,1252.0
3:08.0,B. Adebayo enters the game for J. Jaquez,46-54, ,,2,46,54,-8,1252.0
3:08.0,T. Herro enters the game for K. Love,46-54, ,,2,46,54,-8,1252.0
3:08.0,C. Martin enters the game for J. Richardson,46-54, ,,2,46,54,-8,1252.0
3:08.0,J. Butler makes free throw 2 of 2,47-54, ,,2,47,54,-7,1252.0
2:56.0, ,47-54,T. Jones misses 2-pt jump shot from 14 ft,,2,47,54,-7,1264.0
2:53.0,Defensive rebound by T. Rozier,47-54, ,,2,47,54,-7,1267.0
2:40.0,T. Rozier misses 2-pt hook shot from 7 ft,47-54, ,,2,47,54,-7,1280.0
2:38.0,Offensive rebound by T. Rozier,47-54, ,,2,47,54,-7,1282.0
2:36.0,T. Rozier makes 2-pt layup from 4 ft,49-54, ,,2,49,54,-5,1284.0
2:27.0, ,49-54,J. Poole misses 3-pt jump shot from 29 ft,,2,49,54,-5,1293.0
2:23.0,Defensive rebound by J. Butler,49-54, ,,2,49,54,-5,1297.0
2:11.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by T. Rozier),51-54, ,,2,51,54,-3,1309.0
1:42.0, ,51-54,J. Poole misses 3-pt jump shot from 26 ft,,2,51,54,-3,1338.0
1:38.0,Defensive rebound by T. Rozier,51-54, ,,2,51,54,-3,1342.0
1:36.0,Turnover by B. Adebayo (bad pass),51-54, ,,2,51,54,-3,1344.0
1:36.0, ,51-54,C. Kispert enters the game for B. Coulibaly,,2,51,54,-3,1344.0
1:22.0, ,51-54,J. Poole misses 2-pt layup from 5 ft,,2,51,54,-3,1358.0
1:19.0,Defensive rebound by T. Herro,51-54, ,,2,51,54,-3,1361.0
1:14.0,T. Herro misses 2-pt layup from 6 ft,51-54, ,,2,51,54,-3,1366.0
1:10.0,Offensive rebound by J. Butler,51-54, ,,2,51,54,-3,1370.0
1:09.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by J. Butler),53-54, ,,2,53,54,-1,1371.0
1:09.0,Shooting foul by C. Kispert (drawn by B. Adebayo),53-54, ,,2,53,54,-1,1371.0
1:09.0,B. Adebayo misses free throw 1 of 1,53-54, ,,2,53,54,-1,1371.0
1:05.0, ,53-54,Defensive rebound by K. Kuzma,,2,53,54,-1,1375.0
0:49.0, ,53-56,T. Jones makes 2-pt jump shot from 13 ft (assist by C. Kispert),,2,53,56,-3,1391.0
0:27.0,B. Adebayo misses 2-pt jump shot from 16 ft,53-56, ,,2,53,56,-3,1413.0
0:27.0, ,53-56,Defensive rebound by K. Kuzma,,2,53,56,-3,1413.0
0:04.0, ,53-59,C. Kispert makes 3-pt jump shot from 28 ft (assist by T. Jones),,2,53,59,-6,1436.0
0:00.0,J. Butler makes 3-pt jump shot from 26 ft (assist by T. Herro),56-59, ,,2,56,59,-3,1440.0
0:00.0,Instant Replay (Request: Stands),56-59, ,,2,56,59,-3,1440.0
0:00.0,End of 2nd quarter,56-59,,,2,56,59,-3,1440.0
12:00.0,Start of 3rd quarter,56-59,,,3,56,59,-3,1440.0
11:42.0, ,56-59,K. Kuzma misses 3-pt jump shot from 28 ft,,3,56,59,-3,1458.0
11:38.0,Defensive rebound by B. Adebayo,56-59, ,,3,56,59,-3,1462.0
11:27.0,H. Highsmith makes 2-pt jump shot from 9 ft (assist by T. Rozier),58-59, ,,3,58,59,-1,1473.0
11:10.0, ,58-59,K. Kuzma misses 2-pt jump shot from 11 ft,,3,58,59,-1,1490.0
11:06.0,Defensive rebound by J. Butler,58-59, ,,3,58,59,-1,1494.0
11:03.0,T. Herro misses 3-pt jump shot from 26 ft,58-59, ,,3,58,59,-1,1497.0
11:03.0,Offensive rebound by Team,58-59, ,,3,58,59,-1,1497.0
10:58.0,Shooting foul by T. Jones (drawn by T. Rozier),58-59, ,,3,58,59,-1,1502.0
10:58.0,T. Rozier makes free throw 1 of 2,59-59, ,Tie,3,59,59,0,1502.0
10:58.0,T. Rozier makes free throw 2 of 2,60-59, ,Lead change,3,60,59,1,1502.0
10:38.0, ,60-59,K. Kuzma misses 2-pt jump shot from 21 ft,,3,60,59,1,1522.0
10:35.0,Defensive rebound by B. Adebayo,60-59, ,,3,60,59,1,1525.0
10:25.0,Personal foul by J. Poole (drawn by J. Butler),60-59, ,,3,60,59,1,1535.0
10:15.0,Turnover by T. Herro (bad pass; steal by T. Jones),60-59, ,,3,60,59,1,1545.0
10:11.0, ,60-61,K. Kuzma makes 2-pt layup from 5 ft,Lead change,3,60,61,-1,1549.0
9:52.0,B. Adebayo misses 2-pt jump shot from 12 ft,60-61, ,,3,60,61,-1,1568.0
9:48.0, ,60-61,Defensive rebound by D. Avdija,,3,60,61,-1,1572.0
9:34.0, ,60-61,J. Poole misses 3-pt jump shot from 29 ft,,3,60,61,-1,1586.0
9:31.0,Defensive rebound by T. Rozier,60-61, ,,3,60,61,-1,1589.0
9:26.0,J. Butler misses 2-pt layup from 6 ft,60-61, ,,3,60,61,-1,1594.0
9:24.0, ,60-61,Defensive rebound by J. Poole,,3,60,61,-1,1596.0
9:19.0, ,60-61,K. Kuzma misses 3-pt jump shot from 23 ft,,3,60,61,-1,1601.0
9:19.0,Defensive rebound by T. Rozier,60-61, ,,3,60,61,-1,1601.0
9:13.0,Shooting foul by T. Jones (drawn by T. Rozier),60-61, ,,3,60,61,-1,1607.0
9:13.0,T. Rozier makes free throw 1 of 2,61-61, ,Tie,3,61,61,0,1607.0
9:13.0,T. Rozier makes free throw 2 of 2,62-61, ,Lead change,3,62,61,1,1607.0
9:01.0, ,62-61,D. Avdija misses 3-pt jump shot from 28 ft,,3,62,61,1,1619.0
8:56.0,Defensive rebound by B. Adebayo,62-61, ,,3,62,61,1,1624.0
8:40.0,T. Rozier misses 3-pt jump shot from 27 ft,62-61, ,,3,62,61,1,1640.0
8:36.0, ,62-61,Defensive rebound by J. Poole,,3,62,61,1,1644.0
8:27.0, ,62-64,D. Avdija makes 3-pt jump shot from 26 ft (assist by K. Kuzma),Lead change,3,62,64,-2,1653.0
8:12.0,H. Highsmith misses 3-pt jump shot from 24 ft,62-64, ,,3,62,64,-2,1668.0
8:10.0,Offensive rebound by J. Butler,62-64, ,,3,62,64,-2,1670.0
8:06.0,T. Herro misses 3-pt jump shot from 24 ft,62-64, ,,3,62,64,-2,1674.0
8:02.0, ,62-64,Defensive rebound by Team,,3,62,64,-2,1678.0
7:48.0, ,62-64,J. Poole misses 3-pt jump shot from 27 ft,,3,62,64,-2,1692.0
7:44.0,Defensive rebound by B. Adebayo,62-64, ,,3,62,64,-2,1696.0
7:37.0,Personal foul by J. Poole (drawn by T. Herro),62-64, ,,3,62,64,-2,1703.0
7:32.0,J. Butler makes 2-pt layup from 3 ft (assist by T. Herro),64-64, ,Tie,3,64,64,0,1708.0
7:32.0,Shooting foul by D. Gafford (drawn by J. Butler),64-64, ,,3,64,64,0,1708.0
7:32.0,J. Butler misses free throw 1 of 1,64-64, ,,3,64,64,0,1708.0
7:28.0, ,64-64,Defensive rebound by D. Gafford,,3,64,64,0,1712.0
7:18.0, ,64-66,T. Jones makes 2-pt jump shot from 9 ft,,3,64,66,-2,1722.0
7:00.0,J. Butler misses 2-pt jump shot from 12 ft,64-66, ,,3,64,66,-2,1740.0
6:56.0, ,64-66,Defensive rebound by J. Poole,,3,64,66,-2,1744.0
6:53.0, ,64-68,J. Poole makes 2-pt layup from 2 ft,,3,64,68,-4,1747.0
6:28.0,Turnover by B. Adebayo (bad pass; steal by D. Gafford),64-68, ,,3,64,68,-4,1772.0
6:17.0, ,64-68,Personal foul by T. Rozier (drawn by T. Jones),,3,64,68,-4,1783.0
6:17.0, ,64-68,Washington full timeout,,3,64,68,-4,1783.0
6:17.0,J. Jaquez enters the game for B. Adebayo,64-68, ,,3,64,68,-4,1783.0
6:17.0,K. Love enters the game for T. Herro,64-68, ,,3,64,68,-4,1783.0
6:17.0, ,64-68,B. Coulibaly enters the game for D. Gafford,,3,64,68,-4,1783.0
6:17.0, ,64-68,C. Kispert enters the game for J. Poole,,3,64,68,-4,1783.0
6:03.0, ,64-68,Personal foul by T. Rozier (drawn by D. Avdija),,3,64,68,-4,1797.0
6:03.0, ,64-68,Instant Replay (Request: Ruling Stands),,3,64,68,-4,1797.0
6:03.0, ,64-68,Technical foul by D. Avdija,,3,64,68,-4,1797.0
6:03.0,T. Rozier makes technical free throw,65-68, ,,3,65,68,-3,1797.0
5:49.0, ,65-68,Turnover by Team (shot clock),,3,65,68,-3,1811.0
5:37.0,T. Rozier misses 2-pt layup from 3 ft (block by B. Coulibaly),65-68, ,,3,65,68,-3,1823.0
5:36.0,Offensive rebound by J. Butler,65-68, ,,3,65,68,-3,1824.0
5:36.0,Shooting foul by D. Avdija (drawn by J. Butler),65-68, ,,3,65,68,-3,1824.0
5:36.0,J. Butler makes free throw 1 of 2,66-68, ,,3,66,68,-2,1824.0
5:36.0,J. Butler misses free throw 2 of 2,66-68, ,,3,66,68,-2,1824.0
5:33.0, ,66-68,Defensive rebound by C. Kispert,,3,66,68,-2,1827.0
