Time,Charlotte,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
9:50.0,N. Richards makes 2-pt hook shot from 7 ft (assist by C. Martin),2-2, ,Tie,1,2,2,0,130.0
9:36.0, ,2-2,N. Jović misses 2-pt jump shot from 7 ft,,1,2,2,0,144.0
9:34.0,Defensive rebound by M. Bridges,2-2, ,,1,2,2,0,146.0
9:22.0,T. Rozier misses 3-pt jump shot from 25 ft,2-2, ,,1,2,2,0,158.0
9:19.0, ,2-2,Defensive rebound by J. Jaquez,,1,2,2,0,161.0
9:10.0, ,2-2,T. Herro misses 2-pt jump shot from 6 ft,,1,2,2,0,170.0
9:08.0,Defensive rebound by N. Richards,2-2, ,,1,2,2,0,172.0
9:03.0,T. Rozier misses 2-pt layup from 5 ft (block by K. Lowry),2-2, ,,1,2,2,0,177.0
9:03.0,Offensive rebound by Team,2-2, ,,1,2,2,0,177.0
8:58.0,L. Ball misses 2-pt jump shot from 8 ft,2-2, ,,1,2,2,0,182.0
8:55.0, ,2-2,Defensive rebound by N. Jović,,1,2,2,0,185.0
8:48.0, ,2-2,Shooting foul by N. Richards (drawn by B. Adebayo),,1,2,2,0,192.0
8:48.0, ,2-3,B. Adebayo makes free throw 1 of 2,,1,3,2,1,192.0
8:48.0, ,2-4,B. Adebayo makes free throw 2 of 2,,1,4,2,2,192.0
8:33.0,N. Richards misses 2-pt jump shot from 14 ft,2-4, ,,1,4,2,2,207.0
8:27.0,Offensive rebound by M. Bridges,2-4, ,,1,4,2,2,213.0
8:27.0,M. Bridges makes 2-pt layup at rim,4-4, ,Tie,1,4,4,0,213.0
8:13.0, ,4-6,J. Jaquez makes 2-pt hook shot from 4 ft,,1,6,4,2,227.0
8:00.0,N. Richards misses 2-pt hook shot from 6 ft,4-6, ,,1,6,4,2,240.0
7:58.0,Offensive rebound by C. Martin,4-6, ,,1,6,4,2,242.0
7:56.0,T. Rozier misses 3-pt jump shot from 23 ft,4-6, ,,1,6,4,2,244.0
7:54.0, ,4-6,Defensive rebound by J. Jaquez,,1,6,4,2,246.0
7:46.0, ,4-8,J. Jaquez makes 2-pt layup from 4 ft (assist by B. Adebayo),,1,8,4,4,254.0
7:21.0,C. Martin misses 3-pt jump shot from 25 ft,4-8, ,,1,8,4,4,279.0
7:18.0, ,4-8,Defensive rebound by T. Herro,,1,8,4,4,282.0
7:12.0, ,4-8,Turnover by T. Herro (step out of bounds),,1,8,4,4,288.0
6:52.0,T. Rozier makes 2-pt jump shot from 18 ft,6-8, ,,1,8,6,2,308.0
6:36.0, ,6-8,K. Lowry misses 2-pt jump shot from 3 ft,,1,8,6,2,324.0
6:34.0,Defensive rebound by L. Ball,6-8, ,,1,8,6,2,326.0
6:29.0,M. Bridges misses 3-pt jump shot from 26 ft,6-8, ,,1,8,6,2,331.0
6:27.0, ,6-8,Defensive rebound by J. Jaquez,,1,8,6,2,333.0
6:22.0, ,6-10,J. Jaquez makes 2-pt hook shot from 9 ft,,1,10,6,4,338.0
6:22.0, ,6-10,Shooting foul by C. Martin (drawn by J. Jaquez),,1,10,6,4,338.0
6:22.0, ,6-10,Miami full timeout,,1,10,6,4,338.0
6:22.0,I. Smith enters the game for L. Ball,6-10, ,,1,10,6,4,338.0
6:22.0,P. Washington enters the game for C. Martin,6-10, ,,1,10,6,4,338.0
6:22.0, ,6-11,J. Jaquez makes free throw 1 of 1,,1,11,6,5,338.0
6:03.0,Turnover by T. Rozier (step out of bounds),6-11, ,,1,11,6,5,357.0
5:53.0, ,6-11,T. Herro misses 2-pt jump shot from 7 ft,,1,11,6,5,367.0
5:51.0,Defensive rebound by P. Washington,6-11, ,,1,11,6,5,369.0
5:46.0,M. Bridges makes 2-pt dunk from 4 ft (assist by T. Rozier),8-11, ,,1,11,8,3,374.0
5:20.0, ,8-13,B. Adebayo makes 2-pt jump shot from 8 ft,,1,13,8,5,400.0
5:09.0, ,8-13,Violation by Team (kicked ball),,1,13,8,5,411.0
5:09.0, ,8-13,H. Highsmith enters the game for B. Adebayo,,1,13,8,5,411.0
4:52.0,P. Washington misses 3-pt jump shot from 26 ft,8-13, ,,1,13,8,5,428.0
4:50.0, ,8-13,Defensive rebound by N. Jović,,1,13,8,5,430.0
4:39.0, ,8-13,J. Jaquez misses 2-pt hook shot from 7 ft,,1,13,8,5,441.0
4:35.0,Defensive rebound by M. Bridges,8-13, ,,1,13,8,5,445.0
4:24.0,T. Rozier misses 2-pt jump shot from 8 ft,8-13, ,,1,13,8,5,456.0
4:21.0, ,8-13,Defensive rebound by T. Herro,,1,13,8,5,459.0
4:18.0, ,8-15,J. Jaquez makes 2-pt layup from 2 ft (assist by T. Herro),,1,15,8,7,462.0
3:53.0,N. Richards misses 2-pt jump shot from 19 ft,8-15, ,,1,15,8,7,487.0
3:50.0, ,8-15,Defensive rebound by T. Herro,,1,15,8,7,490.0
3:43.0, ,8-15,T. Herro misses 3-pt jump shot from 26 ft,,1,15,8,7,497.0
3:38.0,Defensive rebound by P. Washington,8-15, ,,1,15,8,7,502.0
3:30.0,Turnover by M. Bridges (lost ball; steal by J. Jaquez),8-15, ,,1,15,8,7,510.0
3:26.0, ,8-17,J. Jaquez makes 2-pt dunk at rim (assist by H. Highsmith),,1,17,8,9,514.0
3:08.0,N. Richards misses 2-pt jump shot from 1 ft (block by N. Jović),8-17, ,,1,17,8,9,532.0
3:04.0,Offensive rebound by T. Rozier,8-17, ,,1,17,8,9,536.0
3:01.0,P. Washington makes 3-pt jump shot from 25 ft (assist by T. Rozier),11-17, ,,1,17,11,6,539.0
2:43.0, ,11-20,T. Herro makes 3-pt jump shot from 26 ft (assist by N. Jović),,1,20,11,9,557.0
2:28.0,T. Rozier misses 3-pt jump shot from 25 ft,11-20, ,,1,20,11,9,572.0
2:28.0, ,11-20,Defensive rebound by Team,,1,20,11,9,572.0
2:28.0,Loose ball foul by N. Richards (drawn by N. Jović),11-20, ,,1,20,11,9,572.0
2:28.0,Charlotte full timeout,11-20, ,,1,20,11,9,572.0
2:28.0,L. Ball enters the game for N. Richards,11-20, ,,1,20,11,9,572.0
2:28.0,N. Mensah enters the game for T. Rozier,11-20, ,,1,20,11,9,572.0
2:28.0, ,11-20,J. Richardson enters the game for T. Herro,,1,20,11,9,572.0
2:28.0, ,11-20,D. Robinson enters the game for K. Lowry,,1,20,11,9,572.0
2:10.0, ,11-22,J. Jaquez makes 2-pt hook shot from 6 ft,,1,22,11,11,590.0
1:50.0,M. Bridges makes 2-pt layup from 2 ft,13-22, ,,1,22,13,9,610.0
1:50.0, ,13-22,Violation by Team (def goaltending),,1,22,13,9,610.0
1:38.0, ,13-24,J. Richardson makes 2-pt layup from 2 ft (assist by J. Jaquez),,1,24,13,11,622.0
1:25.0,Shooting foul by D. Robinson (drawn by I. Smith),13-24, ,,1,24,13,11,635.0
1:25.0,I. Smith misses free throw 1 of 2,13-24, ,,1,24,13,11,635.0
1:25.0,Offensive rebound by Team,13-24, ,,1,24,13,11,635.0
1:25.0, ,13-24,B. Adebayo enters the game for J. Jaquez,,1,24,13,11,635.0
1:25.0, ,13-24,C. Martin enters the game for N. Jović,,1,24,13,11,635.0
1:25.0,I. Smith makes free throw 2 of 2,14-24, ,,1,24,14,10,635.0
1:09.0, ,14-26,B. Adebayo makes 2-pt dunk from 3 ft (assist by D. Robinson),,1,26,14,12,651.0
0:58.0,L. Ball misses 3-pt jump shot from 26 ft,14-26, ,,1,26,14,12,662.0
0:55.0, ,14-26,Defensive rebound by B. Adebayo,,1,26,14,12,665.0
0:36.0, ,14-26,C. Martin misses 2-pt jump shot from 19 ft,,1,26,14,12,684.0
0:33.0,Defensive rebound by L. Ball,14-26, ,,1,26,14,12,687.0
0:15.0,M. Bridges makes 2-pt jump shot from 21 ft (assist by L. Ball),16-26, ,,1,26,16,10,705.0
0:01.0, ,16-26,B. Adebayo misses 2-pt jump shot from 13 ft,,1,26,16,10,719.0
0:01.0, ,16-26,Offensive rebound by Team,,1,26,16,10,719.0
0:00.0,End of 1st quarter,16-26,,,1,26,16,10,720.0
12:00.0,Start of 2nd quarter,16-26,,,2,26,16,10,720.0
11:38.0,L. Ball misses 2-pt layup from 1 ft,16-26, ,,2,26,16,10,742.0
11:35.0,Offensive rebound by N. Mensah,16-26, ,,2,26,16,10,745.0
11:34.0,N. Mensah makes 2-pt dunk from 1 ft,18-26, ,,2,26,18,8,746.0
11:23.0, ,18-26,Turnover by C. Martin (lost ball; steal by L. Ball),,2,26,18,8,757.0
11:15.0,L. Ball misses 3-pt jump shot from 26 ft,18-26, ,,2,26,18,8,765.0
11:13.0, ,18-26,Defensive rebound by Team,,2,26,18,8,767.0
11:13.0,Loose ball foul by P. Washington (drawn by B. Adebayo),18-26, ,,2,26,18,8,767.0
11:00.0, ,18-28,C. Martin makes 2-pt layup from 2 ft (assist by B. Adebayo),,2,28,18,10,780.0
10:40.0,Turnover by C. Martin (bad pass),18-28, ,,2,28,18,10,800.0
10:36.0,Violation by Team (kicked ball),18-28, ,,2,28,18,10,804.0
10:22.0, ,18-28,Turnover by J. Richardson (bad pass; steal by P. Washington),,2,28,18,10,818.0
10:10.0,N. Smith makes 2-pt jump shot from 7 ft,20-28, ,,2,28,20,8,830.0
9:56.0, ,20-28,Shooting foul by N. Mensah (drawn by D. Robinson),,2,28,20,8,844.0
9:56.0, ,20-29,D. Robinson makes free throw 1 of 2,,2,29,20,9,844.0
9:56.0, ,20-30,D. Robinson makes free throw 2 of 2,,2,30,20,10,844.0
9:44.0,L. Ball misses 3-pt jump shot from 27 ft,20-30, ,,2,30,20,10,856.0
9:40.0, ,20-30,Defensive rebound by D. Robinson,,2,30,20,10,860.0
9:31.0, ,20-30,J. Richardson misses 2-pt jump shot from 10 ft,,2,30,20,10,869.0
9:28.0,Defensive rebound by L. Ball,20-30, ,,2,30,20,10,872.0
9:24.0,Offensive foul by L. Ball (drawn by J. Richardson),20-30, ,,2,30,20,10,876.0
9:24.0,Turnover by L. Ball (offensive foul),20-30, ,,2,30,20,10,876.0
9:24.0,T. Rozier enters the game for L. Ball,20-30, ,,2,30,20,10,876.0
9:09.0, ,20-32,B. Adebayo makes 2-pt hook shot from 7 ft,,2,32,20,12,891.0
8:59.0,Personal foul by J. Richardson (drawn by N. Mensah),20-32, ,,2,32,20,12,901.0
8:46.0,T. Rozier misses 3-pt jump shot from 29 ft,20-32, ,,2,32,20,12,914.0
8:44.0,Offensive rebound by Team,20-32, ,,2,32,20,12,916.0
8:44.0,Turnover by Team (shot clock),20-32, ,,2,32,20,12,916.0
8:33.0, ,20-32,Shooting foul by N. Mensah (drawn by B. Adebayo),,2,32,20,12,927.0
8:33.0, ,20-32,B. Adebayo misses free throw 1 of 2,,2,32,20,12,927.0
8:33.0, ,20-32,Offensive rebound by Team,,2,32,20,12,927.0
8:33.0, ,20-33,B. Adebayo makes free throw 2 of 2,,2,33,20,13,927.0
8:11.0,T. Rozier makes 2-pt jump shot from 13 ft,22-33, ,,2,33,22,11,949.0
8:02.0, ,22-33,Shooting foul by N. Mensah (drawn by B. Adebayo),,2,33,22,11,958.0
8:02.0, ,22-33,B. Adebayo misses free throw 1 of 2,,2,33,22,11,958.0
8:02.0, ,22-33,Offensive rebound by Team,,2,33,22,11,958.0
8:02.0,M. Bridges enters the game for N. Mensah,22-33, ,,2,33,22,11,958.0
8:02.0,N. Richards enters the game for P. Washington,22-33, ,,2,33,22,11,958.0
8:02.0, ,22-34,B. Adebayo makes free throw 2 of 2,,2,34,22,12,958.0
7:47.0,N. Smith misses 3-pt jump shot from 22 ft,22-34, ,,2,34,22,12,973.0
7:44.0, ,22-34,Defensive rebound by B. Adebayo,,2,34,22,12,976.0
7:39.0, ,22-34,B. Adebayo misses 2-pt jump shot from 12 ft,,2,34,22,12,981.0
7:34.0, ,22-34,Offensive rebound by J. Richardson,,2,34,22,12,986.0
7:34.0, ,22-34,J. Richardson misses 2-pt layup at rim,,2,34,22,12,986.0
7:33.0,Defensive rebound by M. Bridges,22-34, ,,2,34,22,12,987.0
7:16.0,Turnover by C. Martin (lost ball; steal by D. Robinson),22-34, ,,2,34,22,12,1004.0
7:13.0, ,22-36,D. Robinson makes 2-pt jump shot from 8 ft,,2,36,22,14,1007.0
7:13.0,Charlotte full timeout,22-36, ,,2,36,22,14,1007.0
6:53.0,Turnover by M. Bridges (bad pass),22-36, ,,2,36,22,14,1027.0
6:39.0, ,22-36,C. Martin misses 3-pt jump shot from 29 ft,,2,36,22,14,1041.0
6:35.0,Defensive rebound by N. Richards,22-36, ,,2,36,22,14,1045.0
6:19.0,M. Bridges misses 3-pt jump shot from 25 ft,22-36, ,,2,36,22,14,1061.0
6:15.0, ,22-36,Defensive rebound by J. Richardson,,2,36,22,14,1065.0
6:03.0, ,22-38,B. Adebayo makes 2-pt dunk from 2 ft (assist by D. Robinson),,2,38,22,16,1077.0
6:03.0, ,22-38,Technical foul by B. Adebayo,,2,38,22,16,1077.0
6:03.0,T. Rozier makes technical free throw,23-38, ,,2,38,23,15,1077.0
6:03.0,J. Thor enters the game for C. Martin,23-38, ,,2,38,23,15,1077.0
6:03.0, ,23-38,T. Herro enters the game for B. Adebayo,,2,38,23,15,1077.0
6:03.0, ,23-38,N. Jović enters the game for J. Richardson,,2,38,23,15,1077.0
5:44.0,T. Rozier misses 3-pt jump shot from 23 ft,23-38, ,,2,38,23,15,1096.0
5:40.0,Offensive rebound by J. Thor,23-38, ,,2,38,23,15,1100.0
5:31.0,Turnover by N. Smith (bad pass; steal by H. Highsmith),23-38, ,,2,38,23,15,1109.0
5:26.0, ,23-41,T. Herro makes 3-pt jump shot from 27 ft (assist by H. Highsmith),,2,41,23,18,1114.0
4:59.0,T. Rozier misses 2-pt layup from 3 ft,23-41, ,,2,41,23,18,1141.0
4:57.0, ,23-41,Defensive rebound by N. Jović,,2,41,23,18,1143.0
4:53.0, ,23-41,N. Jović misses 2-pt layup from 3 ft,,2,41,23,18,1147.0
4:51.0,Defensive rebound by N. Smith,23-41, ,,2,41,23,18,1149.0
4:40.0,M. Bridges misses 2-pt layup from 2 ft (block by H. Highsmith),23-41, ,,2,41,23,18,1160.0
4:36.0, ,23-41,Defensive rebound by C. Martin,,2,41,23,18,1164.0
4:33.0, ,23-43,D. Robinson makes 2-pt layup at rim (assist by N. Jović),,2,43,23,20,1167.0
4:11.0,T. Rozier misses 2-pt layup from 2 ft,23-43, ,,2,43,23,20,1189.0
4:08.0, ,23-43,Defensive rebound by D. Robinson,,2,43,23,20,1192.0
4:03.0, ,23-46,N. Jović makes 3-pt jump shot from 26 ft (assist by D. Robinson),,2,46,23,23,1197.0
4:02.0,Charlotte full timeout,23-46, ,,2,46,23,23,1198.0
4:02.0,L. Ball enters the game for N. Smith,23-46, ,,2,46,23,23,1198.0
4:02.0,P. Washington enters the game for J. Thor,23-46, ,,2,46,23,23,1198.0
4:02.0, ,23-46,J. Jaquez enters the game for H. Highsmith,,2,46,23,23,1198.0
3:52.0,Personal foul by J. Jaquez (drawn by M. Bridges),23-46, ,,2,46,23,23,1208.0
3:41.0,M. Bridges makes 2-pt jump shot from 13 ft (assist by P. Washington),25-46, ,,2,46,25,21,1219.0
3:23.0, ,25-46,D. Robinson misses 3-pt jump shot from 26 ft,,2,46,25,21,1237.0
3:21.0,Defensive rebound by P. Washington,25-46, ,,2,46,25,21,1239.0
3:10.0,Offensive foul by N. Richards (drawn by N. Jović),25-46, ,,2,46,25,21,1250.0
3:10.0,Turnover by N. Richards (offensive foul),25-46, ,,2,46,25,21,1250.0
3:10.0,B. McGowens enters the game for N. Richards,25-46, ,,2,46,25,21,1250.0
2:54.0, ,25-49,D. Robinson makes 3-pt jump shot from 29 ft (assist by J. Jaquez),,2,49,25,24,1266.0
2:46.0,Turnover by L. Ball (bad pass),25-49, ,,2,49,25,24,1274.0
2:36.0, ,25-49,Offensive foul by N. Jović (drawn by B. McGowens),,2,49,25,24,1284.0
2:36.0, ,25-49,Turnover by N. Jović (offensive foul),,2,49,25,24,1284.0
2:27.0,L. Ball makes 2-pt layup from 2 ft,27-49, ,,2,49,27,22,1293.0
2:06.0, ,27-49,T. Herro misses 2-pt layup from 3 ft,,2,49,27,22,1314.0
2:04.0,Defensive rebound by T. Rozier,27-49, ,,2,49,27,22,1316.0
2:00.0,L. Ball misses 3-pt jump shot from 24 ft,27-49, ,,2,49,27,22,1320.0
1:55.0, ,27-49,Defensive rebound by D. Robinson,,2,49,27,22,1325.0
1:55.0, ,27-49,B. Adebayo enters the game for N. Jović,,2,49,27,22,1325.0
1:55.0, ,27-49,H. Highsmith enters the game for C. Martin,,2,49,27,22,1325.0
1:53.0, ,27-49,T. Herro misses 3-pt jump shot from 25 ft,,2,49,27,22,1327.0
1:49.0,Defensive rebound by L. Ball,27-49, ,,2,49,27,22,1331.0
1:39.0,T. Rozier misses 2-pt jump shot from 11 ft,27-49, ,,2,49,27,22,1341.0
1:36.0,Offensive rebound by P. Washington,27-49, ,,2,49,27,22,1344.0
1:34.0,T. Rozier misses 2-pt layup from 2 ft,27-49, ,,2,49,27,22,1346.0
1:33.0,Offensive rebound by T. Rozier,27-49, ,,2,49,27,22,1347.0
1:33.0,Shooting foul by B. Adebayo (drawn by T. Rozier),27-49, ,,2,49,27,22,1347.0
1:33.0,T. Rozier makes free throw 1 of 2,28-49, ,,2,49,28,21,1347.0
1:33.0,T. Rozier makes free throw 2 of 2,29-49, ,,2,49,29,20,1347.0
1:23.0, ,29-49,Turnover by D. Robinson (back court),,2,49,29,20,1357.0
1:02.0,L. Ball misses 3-pt jump shot from 24 ft,29-49, ,,2,49,29,20,1378.0
0:58.0, ,29-49,Defensive rebound by J. Jaquez,,2,49,29,20,1382.0
0:52.0, ,29-49,J. Jaquez misses 2-pt jump shot from 6 ft,,2,49,29,20,1388.0
0:49.0,Defensive rebound by T. Rozier,29-49, ,,2,49,29,20,1391.0
0:37.0,L. Ball misses 2-pt layup from 2 ft,29-49, ,,2,49,29,20,1403.0
0:35.0, ,29-49,Defensive rebound by T. Herro,,2,49,29,20,1405.0
0:30.0, ,29-52,T. Herro makes 3-pt jump shot from 27 ft (assist by D. Robinson),,2,52,29,23,1410.0
0:15.0,T. Rozier misses 3-pt jump shot from 28 ft,29-52, ,,2,52,29,23,1425.0
0:12.0,Offensive rebound by B. McGowens,29-52, ,,2,52,29,23,1428.0
0:12.0,B. McGowens makes 2-pt layup from 4 ft,31-52, ,,2,52,31,21,1428.0
0:00.0, ,31-52,B. Adebayo misses 2-pt jump shot from 4 ft,,2,52,31,21,1440.0
0:00.0, ,31-52,Offensive rebound by Team,,2,52,31,21,1440.0
0:00.0,End of 2nd quarter,31-52,,,2,52,31,21,1440.0
12:00.0,Start of 3rd quarter,31-52,,,3,52,31,21,1440.0
11:42.0,T. Rozier makes 3-pt jump shot from 27 ft (assist by L. Ball),34-52, ,,3,52,34,18,1458.0
11:25.0, ,34-54,N. Jović makes 2-pt layup from 5 ft,,3,54,34,20,1475.0
11:06.0,L. Ball makes 3-pt jump shot from 24 ft (assist by T. Rozier),37-54, ,,3,54,37,17,1494.0
10:51.0, ,37-54,Offensive foul by N. Jović (drawn by L. Ball),,3,54,37,17,1509.0
10:51.0, ,37-54,Turnover by N. Jović (offensive foul),,3,54,37,17,1509.0
10:38.0,L. Ball misses 3-pt jump shot from 29 ft,37-54, ,,3,54,37,17,1522.0
10:34.0,Offensive rebound by C. Martin,37-54, ,,3,54,37,17,1526.0
10:32.0,L. Ball makes 3-pt jump shot from 25 ft (assist by C. Martin),40-54, ,,3,54,40,14,1528.0
10:22.0, ,40-54,Turnover by K. Lowry (dbl dribble),,3,54,40,14,1538.0
10:04.0,L. Ball misses 3-pt jump shot from 30 ft,40-54, ,,3,54,40,14,1556.0
10:00.0, ,40-54,Defensive rebound by K. Lowry,,3,54,40,14,1560.0
9:58.0, ,40-56,H. Highsmith makes 2-pt dunk from 2 ft (assist by K. Lowry),,3,56,40,16,1562.0
9:38.0,M. Bridges misses 2-pt hook shot from 7 ft,40-56, ,,3,56,40,16,1582.0
9:36.0, ,40-56,Defensive rebound by T. Herro,,3,56,40,16,1584.0
9:31.0, ,40-56,Personal foul by L. Ball (drawn by N. Jović),,3,56,40,16,1589.0
9:30.0, ,40-56,Personal foul by N. Richards (drawn by H. Highsmith),,3,56,40,16,1590.0
9:30.0, ,40-56,Instant Replay (Request: Stands),,3,56,40,16,1590.0
9:30.0,N. Mensah enters the game for N. Richards,40-56, ,,3,56,40,16,1590.0
9:23.0, ,40-58,B. Adebayo makes 2-pt dunk from 2 ft (assist by T. Herro),,3,58,40,18,1597.0
9:05.0,Turnover by M. Bridges (bad pass; steal by H. Highsmith),40-58, ,,3,58,40,18,1615.0
9:01.0, ,40-58,Turnover by T. Herro (out of bounds lost ball),,3,58,40,18,1619.0
8:46.0,L. Ball makes 2-pt jump shot from 7 ft,42-58, ,,3,58,42,16,1634.0
8:37.0, ,42-58,T. Herro misses 3-pt jump shot from 27 ft,,3,58,42,16,1643.0
8:34.0,Defensive rebound by T. Rozier,42-58, ,,3,58,42,16,1646.0
8:23.0,T. Rozier makes 2-pt jump shot from 2 ft,44-58, ,,3,58,44,14,1657.0
8:12.0, ,44-58,Turnover by K. Lowry (bad pass),,3,58,44,14,1668.0
8:03.0,M. Bridges makes 2-pt layup from 4 ft (assist by L. Ball),46-58, ,,3,58,46,12,1677.0
8:03.0,Shooting foul by N. Jović (drawn by M. Bridges),46-58, ,,3,58,46,12,1677.0
8:03.0,M. Bridges makes free throw 1 of 1,47-58, ,,3,58,47,11,1677.0
7:48.0, ,47-60,B. Adebayo makes 2-pt dunk from 2 ft (assist by T. Herro),,3,60,47,13,1692.0
7:36.0,L. Ball misses 2-pt jump shot from 6 ft,47-60, ,,3,60,47,13,1704.0
7:32.0, ,47-60,Defensive rebound by N. Jović,,3,60,47,13,1708.0
7:30.0, ,47-63,T. Herro makes 3-pt jump shot from 26 ft,,3,63,47,16,1710.0
7:12.0,T. Rozier makes 3-pt jump shot from 23 ft,50-63, ,,3,63,50,13,1728.0
6:56.0, ,50-63,Def 3 sec tech foul by Team,,3,63,50,13,1744.0
6:56.0, ,50-63,Miami full timeout,,3,63,50,13,1744.0
6:56.0,P. Washington enters the game for N. Mensah,50-63, ,,3,63,50,13,1744.0
6:56.0, ,50-64,T. Herro makes technical free throw,,3,64,50,14,1744.0
6:54.0, ,50-64,Personal foul by T. Rozier (drawn by T. Herro),,3,64,50,14,1746.0
6:42.0, ,50-64,T. Herro misses 3-pt jump shot from 24 ft,,3,64,50,14,1758.0
6:38.0,Defensive rebound by M. Bridges,50-64, ,,3,64,50,14,1762.0
6:28.0,T. Rozier misses 2-pt layup from 1 ft (block by N. Jović),50-64, ,,3,64,50,14,1772.0
6:27.0,Offensive rebound by Team,50-64, ,,3,64,50,14,1773.0
6:22.0,L. Ball makes 2-pt jump shot from 7 ft (assist by T. Rozier),52-64, ,,3,64,52,12,1778.0
6:06.0, ,52-66,T. Herro makes 2-pt jump shot from 5 ft,,3,66,52,14,1794.0
6:06.0, ,52-66,Shooting foul by P. Washington (drawn by T. Herro),,3,66,52,14,1794.0
6:06.0,I. Smith enters the game for L. Ball,52-66, ,,3,66,52,14,1794.0
6:06.0,J. Thor enters the game for C. Martin,52-66, ,,3,66,52,14,1794.0
6:06.0, ,52-67,T. Herro makes free throw 1 of 1,,3,67,52,15,1794.0
5:46.0,Turnover by P. Washington (lost ball; steal by T. Herro),52-67, ,,3,67,52,15,1814.0
5:31.0, ,52-69,H. Highsmith makes 2-pt hook shot from 6 ft (assist by K. Lowry),,3,69,52,17,1829.0
5:06.0,P. Washington misses 2-pt jump shot from 13 ft (block by B. Adebayo),52-69, ,,3,69,52,17,1854.0
5:02.0, ,52-69,Defensive rebound by T. Herro,,3,69,52,17,1858.0
4:59.0, ,52-69,K. Lowry misses 3-pt jump shot from 27 ft,,3,69,52,17,1861.0
4:55.0,Defensive rebound by M. Bridges,52-69, ,,3,69,52,17,1865.0
4:42.0,P. Washington misses 3-pt jump shot from 24 ft,52-69, ,,3,69,52,17,1878.0
4:40.0,Offensive rebound by P. Washington,52-69, ,,3,69,52,17,1880.0
4:37.0,M. Bridges makes 3-pt jump shot from 26 ft (assist by T. Rozier),55-69, ,,3,69,55,14,1883.0
4:20.0, ,55-71,T. Herro makes 2-pt layup from 5 ft (assist by B. Adebayo),,3,71,55,16,1900.0
4:09.0,P. Washington misses 3-pt jump shot from 26 ft,55-71, ,,3,71,55,16,1911.0
4:06.0,Offensive rebound by I. Smith,55-71, ,,3,71,55,16,1914.0
4:02.0,M. Bridges misses 3-pt jump shot from 27 ft,55-71, ,,3,71,55,16,1918.0
4:00.0, ,55-71,Defensive rebound by K. Lowry,,3,71,55,16,1920.0
3:52.0, ,55-71,N. Jović misses 2-pt hook shot from 7 ft,,3,71,55,16,1928.0
3:50.0,Defensive rebound by P. Washington,55-71, ,,3,71,55,16,1930.0
3:43.0,T. Rozier misses 3-pt jump shot from 25 ft,55-71, ,,3,71,55,16,1937.0
3:40.0, ,55-71,Defensive rebound by K. Lowry,,3,71,55,16,1940.0
3:36.0, ,55-71,Personal foul by J. Thor (drawn by T. Herro),,3,71,55,16,1944.0
3:36.0, ,55-71,T. Herro misses free throw 1 of 2,,3,71,55,16,1944.0
3:36.0, ,55-71,Offensive rebound by Team,,3,71,55,16,1944.0
3:36.0, ,55-71,C. Martin enters the game for B. Adebayo,,3,71,55,16,1944.0
3:36.0, ,55-71,D. Robinson enters the game for K. Lowry,,3,71,55,16,1944.0
3:36.0, ,55-72,T. Herro makes free throw 2 of 2,,3,72,55,17,1944.0
3:21.0,J. Thor misses 2-pt layup from 2 ft,55-72, ,,3,72,55,17,1959.0
