Time,Atlanta,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
4:17.0, ,22-14,T. Herro misses 3-pt jump shot from 23 ft,,1,14,22,-8,463.0
4:15.0,Defensive rebound by O. Okongwu,22-14, ,,1,14,22,-8,465.0
4:11.0,P. Mills misses 3-pt jump shot from 23 ft,22-14, ,,1,14,22,-8,469.0
4:07.0, ,22-14,Defensive rebound by T. Herro,,1,14,22,-8,473.0
4:02.0, ,22-14,C. Martin misses 2-pt layup from 2 ft,,1,14,22,-8,478.0
3:59.0, ,22-14,Offensive rebound by K. Love,,1,14,22,-8,481.0
3:57.0, ,22-14,K. Love misses 2-pt hook shot from 4 ft,,1,14,22,-8,483.0
3:52.0, ,22-14,Offensive rebound by J. Butler,,1,14,22,-8,488.0
3:52.0, ,22-16,J. Butler makes 2-pt layup at rim,,1,16,22,-6,488.0
3:49.0,Offensive foul by O. Okongwu (drawn by N. Jović),22-16, ,,1,16,22,-6,491.0
3:49.0,Turnover by O. Okongwu (offensive foul),22-16, ,,1,16,22,-6,491.0
3:49.0, ,22-16,K. Lowry enters the game for N. Jović,,1,16,22,-6,491.0
3:49.0, ,22-16,J. Richardson enters the game for C. Martin,,1,16,22,-6,491.0
3:33.0, ,22-16,Turnover by T. Herro (bad pass; steal by D. Murray),,1,16,22,-6,507.0
3:28.0,D. Murray makes 2-pt layup from 1 ft (assist by P. Mills),24-16, ,,1,16,24,-8,512.0
3:11.0, ,24-18,J. Butler makes 2-pt dunk from 3 ft (assist by K. Love),,1,18,24,-6,529.0
2:54.0,D. Murray misses 3-pt jump shot from 25 ft,24-18, ,,1,18,24,-6,546.0
2:51.0, ,24-18,Defensive rebound by J. Richardson,,1,18,24,-6,549.0
2:46.0, ,24-18,K. Love misses 3-pt jump shot from 25 ft,,1,18,24,-6,554.0
2:43.0,Defensive rebound by D. Murray,24-18, ,,1,18,24,-6,557.0
2:40.0,P. Mills misses 3-pt jump shot from 27 ft,24-18, ,,1,18,24,-6,560.0
2:36.0, ,24-18,Defensive rebound by K. Love,,1,18,24,-6,564.0
2:31.0, ,24-18,T. Herro misses 3-pt jump shot from 26 ft,,1,18,24,-6,569.0
2:28.0,Defensive rebound by P. Mills,24-18, ,,1,18,24,-6,572.0
2:19.0,D. Murray makes 2-pt layup from 3 ft,26-18, ,,1,18,26,-8,581.0
2:01.0, ,26-20,K. Lowry makes 2-pt jump shot from 3 ft (assist by J. Butler),,1,20,26,-6,599.0
2:01.0,Atlanta full timeout,26-20, ,,1,20,26,-6,599.0
2:01.0,B. Bogdanović enters the game for S. Bey,26-20, ,,1,20,26,-6,599.0
2:01.0,T. Forrest enters the game for P. Mills,26-20, ,,1,20,26,-6,599.0
2:01.0,J. Johnson enters the game for D. Murray,26-20, ,,1,20,26,-6,599.0
2:01.0, ,26-20,D. Robinson enters the game for T. Herro,,1,20,26,-6,599.0
1:49.0,Turnover by T. Forrest (bad pass; steal by K. Love),26-20, ,,1,20,26,-6,611.0
1:41.0, ,26-20,D. Robinson misses 3-pt jump shot from 27 ft,,1,20,26,-6,619.0
1:37.0, ,26-20,Offensive rebound by J. Butler,,1,20,26,-6,623.0
1:33.0, ,26-23,D. Robinson makes 3-pt jump shot from 26 ft (assist by J. Butler),,1,23,26,-3,627.0
1:15.0,B. Bogdanović misses 2-pt jump shot from 2 ft,26-23, ,,1,23,26,-3,645.0
1:13.0, ,26-23,Defensive rebound by K. Love,,1,23,26,-3,647.0
1:13.0, ,26-23,Shooting foul by G. Mathews (drawn by J. Butler),,1,23,26,-3,647.0
1:13.0, ,26-23,J. Butler misses free throw 1 of 2,,1,23,26,-3,647.0
1:13.0, ,26-23,Offensive rebound by Team,,1,23,26,-3,647.0
1:13.0, ,26-24,J. Butler makes free throw 2 of 2,,1,24,26,-2,647.0
0:54.0,G. Mathews makes 3-pt jump shot from 26 ft (assist by T. Forrest),29-24, ,,1,24,29,-5,666.0
0:35.0, ,29-24,K. Lowry misses 3-pt jump shot from 25 ft,,1,24,29,-5,685.0
0:31.0,Defensive rebound by O. Okongwu,29-24, ,,1,24,29,-5,689.0
0:18.0,T. Forrest makes 3-pt jump shot from 25 ft (assist by G. Mathews),32-24, ,,1,24,32,-8,702.0
0:03.0, ,32-24,Turnover by K. Lowry (bad pass; steal by O. Okongwu),,1,24,32,-8,717.0
0:00.0,T. Forrest misses 3-pt jump shot from 38 ft,32-24, ,,1,24,32,-8,720.0
0:00.0,Offensive rebound by Team,32-24, ,,1,24,32,-8,720.0
0:00.0,End of 1st quarter,32-24,,,1,24,32,-8,720.0
12:00.0,Start of 2nd quarter,32-24,,,2,24,32,-8,720.0
11:40.0, ,32-24,B. Adebayo misses 2-pt jump shot from 8 ft,,2,24,32,-8,740.0
11:39.0,Defensive rebound by J. Johnson,32-24, ,,2,24,32,-8,741.0
11:30.0,O. Okongwu makes 2-pt hook shot from 3 ft (assist by J. Johnson),34-24, ,,2,24,34,-10,750.0
11:15.0, ,34-27,D. Robinson makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,2,27,34,-7,765.0
10:48.0,Turnover by Team (shot clock),34-27, ,,2,27,34,-7,792.0
10:37.0, ,34-30,J. Richardson makes 3-pt jump shot from 26 ft (assist by K. Lowry),,2,30,34,-4,803.0
10:22.0,T. Forrest misses 2-pt layup from 2 ft (block by J. Richardson),34-30, ,,2,30,34,-4,818.0
10:18.0, ,34-30,Defensive rebound by J. Richardson,,2,30,34,-4,822.0
10:18.0, ,34-30,H. Highsmith misses 2-pt layup from 2 ft,,2,30,34,-4,822.0
10:18.0, ,34-30,Offensive rebound by Team,,2,30,34,-4,822.0
10:09.0, ,34-30,J. Richardson misses 3-pt jump shot from 25 ft,,2,30,34,-4,831.0
10:03.0,Defensive rebound by P. Mills,34-30, ,,2,30,34,-4,837.0
9:57.0,J. Johnson misses 3-pt jump shot from 27 ft,34-30, ,,2,30,34,-4,843.0
9:56.0,Offensive rebound by Team,34-30, ,,2,30,34,-4,844.0
9:56.0, ,34-30,Loose ball foul by K. Lowry (drawn by O. Okongwu),,2,30,34,-4,844.0
9:53.0,B. Bogdanović misses 2-pt layup from 2 ft,34-30, ,,2,30,34,-4,847.0
9:51.0, ,34-30,Defensive rebound by D. Robinson,,2,30,34,-4,849.0
9:42.0, ,34-30,B. Adebayo misses 2-pt jump shot from 12 ft,,2,30,34,-4,858.0
9:39.0,Defensive rebound by J. Johnson,34-30, ,,2,30,34,-4,861.0
9:32.0,Turnover by J. Johnson (lost ball; steal by K. Lowry),34-30, ,,2,30,34,-4,868.0
9:26.0, ,34-32,D. Robinson makes 2-pt layup from 2 ft (assist by B. Adebayo),,2,32,34,-2,874.0
9:08.0,B. Bogdanović misses 3-pt jump shot from 26 ft,34-32, ,,2,32,34,-2,892.0
9:03.0, ,34-32,Defensive rebound by B. Adebayo,,2,32,34,-2,897.0
9:01.0, ,34-32,Turnover by B. Adebayo (dbl dribble),,2,32,34,-2,899.0
9:01.0,D. Murray enters the game for P. Mills,34-32, ,,2,32,34,-2,899.0
8:41.0,B. Bogdanović misses 2-pt jump shot from 6 ft,34-32, ,,2,32,34,-2,919.0
8:41.0, ,34-32,Defensive rebound by Team,,2,32,34,-2,919.0
8:32.0, ,34-32,Turnover by D. Robinson (traveling),,2,32,34,-2,928.0
8:32.0,S. Bey enters the game for J. Johnson,34-32, ,,2,32,34,-2,928.0
8:15.0,B. Bogdanović misses 3-pt jump shot from 24 ft,34-32, ,,2,32,34,-2,945.0
8:12.0, ,34-32,Defensive rebound by B. Adebayo,,2,32,34,-2,948.0
7:51.0, ,34-34,B. Adebayo makes 2-pt jump shot from 11 ft,Tie,2,34,34,0,969.0
7:33.0,Personal foul by B. Adebayo (drawn by T. Forrest),34-34, ,,2,34,34,0,987.0
7:33.0,G. Mathews enters the game for T. Forrest,34-34, ,,2,34,34,0,987.0
7:19.0,O. Okongwu makes 2-pt layup from 1 ft (assist by G. Mathews),36-34, ,,2,34,36,-2,1001.0
6:53.0, ,36-34,J. Richardson misses 2-pt jump shot from 14 ft,,2,34,36,-2,1027.0
6:49.0,Defensive rebound by S. Bey,36-34, ,,2,34,36,-2,1031.0
6:36.0,Turnover by D. Murray (bad pass; steal by H. Highsmith),36-34, ,,2,34,36,-2,1044.0
6:34.0, ,36-34,Personal foul by S. Bey (drawn by D. Robinson),,2,34,36,-2,1046.0
6:34.0, ,36-34,Miami full timeout,,2,34,36,-2,1046.0
6:34.0,J. Johnson enters the game for B. Bogdanović,36-34, ,,2,34,36,-2,1046.0
6:34.0, ,36-34,J. Butler enters the game for J. Richardson,,2,34,36,-2,1046.0
6:22.0, ,36-34,D. Robinson misses 3-pt jump shot from 25 ft,,2,34,36,-2,1058.0
6:16.0, ,36-34,Offensive rebound by K. Lowry,,2,34,36,-2,1064.0
6:14.0, ,36-34,K. Lowry misses 3-pt jump shot from 25 ft,,2,34,36,-2,1066.0
6:11.0,Defensive rebound by G. Mathews,36-34, ,,2,34,36,-2,1069.0
5:55.0,J. Johnson makes 2-pt jump shot from 4 ft,38-34, ,,2,34,38,-4,1085.0
5:41.0, ,38-34,Shooting foul by O. Okongwu (drawn by B. Adebayo),,2,34,38,-4,1099.0
5:41.0, ,38-35,B. Adebayo makes free throw 1 of 2,,2,35,38,-3,1099.0
5:41.0, ,38-35,T. Herro enters the game for H. Highsmith,,2,35,38,-3,1099.0
5:41.0, ,38-35,C. Martin enters the game for K. Lowry,,2,35,38,-3,1099.0
5:41.0, ,38-36,B. Adebayo makes free throw 2 of 2,,2,36,38,-2,1099.0
5:25.0,O. Okongwu makes 3-pt jump shot from 23 ft (assist by J. Johnson),41-36, ,,2,36,41,-5,1115.0
5:06.0, ,41-39,D. Robinson makes 3-pt jump shot from 25 ft (assist by C. Martin),,2,39,41,-2,1134.0
4:49.0,Shooting foul by T. Herro (drawn by S. Bey),41-39, ,,2,39,41,-2,1151.0
4:49.0,S. Bey misses free throw 1 of 2,41-39, ,,2,39,41,-2,1151.0
4:49.0,Offensive rebound by Team,41-39, ,,2,39,41,-2,1151.0
4:49.0,B. Bogdanović enters the game for G. Mathews,41-39, ,,2,39,41,-2,1151.0
4:49.0,C. Capela enters the game for O. Okongwu,41-39, ,,2,39,41,-2,1151.0
4:49.0,S. Bey makes free throw 2 of 2,42-39, ,,2,39,42,-3,1151.0
4:28.0, ,42-42,C. Martin makes 3-pt jump shot from 25 ft (assist by D. Robinson),Tie,2,42,42,0,1172.0
4:11.0,D. Murray makes 2-pt jump shot from 17 ft,44-42, ,,2,42,44,-2,1189.0
3:59.0, ,44-45,D. Robinson makes 3-pt jump shot from 23 ft (assist by B. Adebayo),Lead change,2,45,44,1,1201.0
3:56.0,Atlanta full timeout,44-45, ,,2,45,44,1,1204.0
3:56.0, ,44-45,K. Love enters the game for B. Adebayo,,2,45,44,1,1204.0
3:43.0,J. Johnson makes 2-pt dunk at rim (assist by B. Bogdanović),46-45, ,Lead change,2,45,46,-1,1217.0
3:22.0, ,46-45,Turnover by C. Martin (traveling),,2,45,46,-1,1238.0
3:09.0,Shooting foul by K. Love (drawn by S. Bey),46-45, ,,2,45,46,-1,1251.0
3:09.0,S. Bey makes free throw 1 of 2,47-45, ,,2,45,47,-2,1251.0
3:09.0,S. Bey makes free throw 2 of 2,48-45, ,,2,45,48,-3,1251.0
2:46.0, ,48-47,T. Herro makes 2-pt jump shot from 21 ft,,2,47,48,-1,1274.0
2:25.0,D. Murray misses 3-pt jump shot from 28 ft,48-47, ,,2,47,48,-1,1295.0
2:20.0, ,48-47,Defensive rebound by D. Robinson,,2,47,48,-1,1300.0
2:11.0, ,48-47,Shooting foul by B. Bogdanović (drawn by J. Butler),,2,47,48,-1,1309.0
2:11.0, ,48-48,J. Butler makes free throw 1 of 2,Tie,2,48,48,0,1309.0
2:11.0, ,48-48,B. Adebayo enters the game for K. Love,,2,48,48,0,1309.0
2:11.0, ,48-49,J. Butler makes free throw 2 of 2,Lead change,2,49,48,1,1309.0
2:00.0,S. Bey makes 2-pt layup from 1 ft (assist by D. Murray),50-49, ,Lead change,2,49,50,-1,1320.0
1:40.0, ,50-49,T. Herro misses 2-pt jump shot from 21 ft,,2,49,50,-1,1340.0
1:38.0, ,50-49,Offensive rebound by C. Martin,,2,49,50,-1,1342.0
1:28.0, ,50-51,J. Butler makes 2-pt layup from 1 ft,Lead change,2,51,50,1,1352.0
1:17.0,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by D. Murray),53-51, ,Lead change,2,51,53,-2,1363.0
1:01.0, ,53-51,C. Martin misses 2-pt jump shot from 10 ft,,2,51,53,-2,1379.0
0:58.0,Defensive rebound by B. Bogdanović,53-51, ,,2,51,53,-2,1382.0
0:46.0,C. Capela misses 2-pt hook shot from 2 ft,53-51, ,,2,51,53,-2,1394.0
0:45.0, ,53-51,Defensive rebound by Team,,2,51,53,-2,1395.0
0:45.0,Loose ball foul by C. Capela (drawn by B. Adebayo),53-51, ,,2,51,53,-2,1395.0
0:31.0, ,53-54,T. Herro makes 3-pt jump shot from 29 ft,Lead change,2,54,53,1,1409.0
0:10.0,D. Murray makes 3-pt jump shot from 23 ft,56-54, ,Lead change,2,54,56,-2,1430.0
0:10.0,Shooting foul by T. Herro (drawn by D. Murray),56-54, ,,2,54,56,-2,1430.0
0:10.0,D. Murray makes free throw 1 of 1,57-54, ,,2,54,57,-3,1430.0
0:02.0, ,57-56,J. Butler makes 2-pt layup from 3 ft,,2,56,57,-1,1438.0
0:00.0,S. Bey misses 3-pt jump shot from 40 ft,57-56, ,,2,56,57,-1,1440.0
0:00.0,Offensive rebound by Team,57-56, ,,2,56,57,-1,1440.0
0:00.0,End of 2nd quarter,57-56,,,2,56,57,-1,1440.0
12:00.0,Start of 3rd quarter,57-56,,,3,56,57,-1,1440.0
11:38.0, ,57-58,J. Butler makes 2-pt jump shot from 13 ft,Lead change,3,58,57,1,1462.0
11:23.0,B. Bogdanović misses 2-pt jump shot from 19 ft,57-58, ,,3,58,57,1,1477.0
11:21.0, ,57-58,Defensive rebound by C. Martin,,3,58,57,1,1479.0
11:16.0, ,57-60,C. Martin makes 2-pt layup from 2 ft,,3,60,57,3,1484.0
10:51.0,J. Johnson makes 2-pt jump shot from 11 ft (assist by D. Murray),59-60, ,,3,60,59,1,1509.0
10:32.0, ,59-60,Def 3 sec tech foul by Team,,3,60,59,1,1528.0
10:32.0, ,59-61,J. Butler makes technical free throw,,3,61,59,2,1528.0
10:18.0, ,59-61,B. Adebayo misses 2-pt jump shot from 14 ft,,3,61,59,2,1542.0
10:15.0,Defensive rebound by J. Johnson,59-61, ,,3,61,59,2,1545.0
10:14.0,Turnover by J. Johnson (lost ball; steal by J. Butler),59-61, ,,3,61,59,2,1546.0
10:09.0, ,59-64,T. Herro makes 3-pt jump shot from 26 ft (assist by J. Butler),,3,64,59,5,1551.0
9:57.0,B. Bogdanović misses 3-pt jump shot from 25 ft,59-64, ,,3,64,59,5,1563.0
9:54.0, ,59-64,Defensive rebound by T. Herro,,3,64,59,5,1566.0
9:47.0, ,59-64,Personal foul by B. Bogdanović (drawn by J. Butler),,3,64,59,5,1573.0
9:39.0, ,59-67,T. Herro makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,3,67,59,8,1581.0
9:38.0,Atlanta full timeout,59-67, ,,3,67,59,8,1582.0
9:26.0,D. Murray makes 2-pt layup from 1 ft,61-67, ,,3,67,61,6,1594.0
9:11.0, ,61-67,Shooting foul by C. Capela (drawn by B. Adebayo),,3,67,61,6,1609.0
9:11.0, ,61-68,B. Adebayo makes free throw 1 of 2,,3,68,61,7,1609.0
9:11.0, ,61-69,B. Adebayo makes free throw 2 of 2,,3,69,61,8,1609.0
9:00.0,B. Bogdanović makes 2-pt jump shot from 12 ft,63-69, ,,3,69,63,6,1620.0
8:44.0, ,63-71,T. Herro makes 2-pt layup from 2 ft (assist by B. Adebayo),,3,71,63,8,1636.0
8:33.0,S. Bey misses 3-pt jump shot from 23 ft,63-71, ,,3,71,63,8,1647.0
8:30.0,Offensive rebound by J. Johnson,63-71, ,,3,71,63,8,1650.0
8:23.0,J. Johnson makes 3-pt jump shot from 27 ft (assist by D. Murray),66-71, ,,3,71,66,5,1657.0
7:57.0, ,66-73,N. Jović makes 2-pt jump shot from 4 ft,,3,73,66,7,1683.0
7:46.0,Turnover by S. Bey (traveling),66-73, ,,3,73,66,7,1694.0
7:34.0, ,66-75,B. Adebayo makes 2-pt dunk from 1 ft (assist by T. Herro),,3,75,66,9,1706.0
7:17.0,D. Murray misses 3-pt jump shot from 26 ft,66-75, ,,3,75,66,9,1723.0
7:13.0, ,66-75,Defensive rebound by C. Martin,,3,75,66,9,1727.0
7:06.0, ,66-75,T. Herro misses 3-pt jump shot from 27 ft,,3,75,66,9,1734.0
7:02.0,Defensive rebound by B. Bogdanović,66-75, ,,3,75,66,9,1738.0
6:54.0,D. Murray misses 2-pt jump shot from 7 ft,66-75, ,,3,75,66,9,1746.0
6:54.0,Offensive rebound by C. Capela,66-75, ,,3,75,66,9,1746.0
6:53.0,C. Capela makes 2-pt layup from 1 ft,68-75, ,,3,75,68,7,1747.0
6:53.0,Shooting foul by N. Jović (drawn by C. Capela),68-75, ,,3,75,68,7,1747.0
6:53.0,G. Mathews enters the game for B. Bogdanović,68-75, ,,3,75,68,7,1747.0
6:53.0,P. Mills enters the game for J. Johnson,68-75, ,,3,75,68,7,1747.0
6:53.0,C. Capela makes free throw 1 of 1,69-75, ,,3,75,69,6,1747.0
6:40.0, ,69-77,B. Adebayo makes 2-pt hook shot from 2 ft,,3,77,69,8,1760.0
6:32.0,Shooting foul by B. Adebayo (drawn by C. Capela),69-77, ,,3,77,69,8,1768.0
6:32.0,C. Capela makes free throw 1 of 2,70-77, ,,3,77,70,7,1768.0
6:32.0,C. Capela misses free throw 2 of 2,70-77, ,,3,77,70,7,1768.0
6:30.0, ,70-77,Defensive rebound by B. Adebayo,,3,77,70,7,1770.0
6:26.0, ,70-77,Personal foul by P. Mills (drawn by J. Butler),,3,77,70,7,1774.0
6:15.0, ,70-77,B. Adebayo misses 2-pt jump shot from 8 ft (block by C. Capela),,3,77,70,7,1785.0
6:11.0, ,70-77,Offensive rebound by N. Jović,,3,77,70,7,1789.0
6:09.0, ,70-77,N. Jović misses 2-pt jump shot from 2 ft,,3,77,70,7,1791.0
6:05.0,Defensive rebound by G. Mathews,70-77, ,,3,77,70,7,1795.0
6:02.0,Turnover by D. Murray (lost ball; steal by J. Butler),70-77, ,,3,77,70,7,1798.0
5:55.0, ,70-77,Shooting foul by D. Murray (drawn by J. Butler),,3,77,70,7,1805.0
5:55.0, ,70-78,J. Butler makes free throw 1 of 2,,3,78,70,8,1805.0
5:55.0,O. Okongwu enters the game for C. Capela,70-78, ,,3,78,70,8,1805.0
5:55.0, ,70-79,J. Butler makes free throw 2 of 2,,3,79,70,9,1805.0
5:32.0,D. Murray makes 2-pt jump shot from 11 ft,72-79, ,,3,79,72,7,1828.0
5:14.0, ,72-79,B. Adebayo misses 2-pt layup from 2 ft (block by O. Okongwu),,3,79,72,7,1846.0
5:13.0, ,72-79,Offensive rebound by B. Adebayo,,3,79,72,7,1847.0
5:13.0, ,72-79,Shooting foul by O. Okongwu (drawn by B. Adebayo),,3,79,72,7,1847.0
5:13.0, ,72-80,B. Adebayo makes free throw 1 of 2,,3,80,72,8,1847.0
5:13.0, ,72-80,K. Lowry enters the game for N. Jović,,3,80,72,8,1847.0
5:13.0, ,72-81,B. Adebayo makes free throw 2 of 2,,3,81,72,9,1847.0
5:13.0, ,72-81,K. Love enters the game for B. Adebayo,,3,81,72,9,1847.0
4:51.0,P. Mills makes 2-pt jump shot from 11 ft (assist by O. Okongwu),74-81, ,,3,81,74,7,1869.0
4:31.0, ,74-83,T. Herro makes 2-pt layup from 1 ft (assist by K. Lowry),,3,83,74,9,1889.0
4:27.0,D. Murray misses 2-pt layup from 1 ft,74-83, ,,3,83,74,9,1893.0
4:27.0,Offensive rebound by O. Okongwu,74-83, ,,3,83,74,9,1893.0
4:26.0,O. Okongwu makes 2-pt dunk from 4 ft,76-83, ,,3,83,76,7,1894.0
4:12.0, ,76-83,K. Lowry misses 3-pt jump shot from 24 ft,,3,83,76,7,1908.0
4:09.0,Defensive rebound by O. Okongwu,76-83, ,,3,83,76,7,1911.0
3:59.0,O. Okongwu misses 2-pt hook shot from 8 ft,76-83, ,,3,83,76,7,1921.0
3:57.0, ,76-83,Defensive rebound by T. Herro,,3,83,76,7,1923.0
3:53.0, ,76-83,Turnover by K. Love (step out of bounds),,3,83,76,7,1927.0
3:39.0,G. Mathews misses 3-pt jump shot from 25 ft,76-83, ,,3,83,76,7,1941.0
3:35.0, ,76-83,Defensive rebound by K. Love,,3,83,76,7,1945.0
3:27.0, ,76-83,K. Love misses 3-pt jump shot from 24 ft,,3,83,76,7,1953.0
