Time,Memphis,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:04.0, ,21-22,B. Adebayo misses 2-pt jump shot from 11 ft,,1,22,21,1,716.0
0:02.0, ,21-22,Offensive rebound by T. Rozier,,1,22,21,1,718.0
0:00.0,End of 1st quarter,21-22,,,1,22,21,1,720.0
12:00.0,Start of 2nd quarter,21-22,,,2,22,21,1,720.0
11:49.0, ,21-22,B. Adebayo misses 2-pt layup from 7 ft (block by D. Roddy),,2,22,21,1,731.0
11:49.0, ,21-22,Offensive rebound by Team,,2,22,21,1,731.0
11:46.0, ,21-22,D. Robinson misses 3-pt jump shot from 24 ft,,2,22,21,1,734.0
11:42.0,Defensive rebound by S. Pippen ,21-22, ,,2,22,21,1,738.0
11:30.0,D. Roddy misses 2-pt hook shot from 4 ft,21-22, ,,2,22,21,1,750.0
11:28.0, ,21-22,Defensive rebound by K. Love,,2,22,21,1,752.0
11:19.0, ,21-22,T. Rozier misses 2-pt jump shot from 1 ft,,2,22,21,1,761.0
11:17.0,Defensive rebound by X. Tillman,21-22, ,,2,22,21,1,763.0
11:05.0,S. Pippen  makes 2-pt jump shot from 20 ft (assist by X. Tillman),23-22, ,Lead change,2,22,23,-1,775.0
10:45.0, ,23-22,Turnover by D. Robinson (bad pass; steal by X. Tillman),,2,22,23,-1,795.0
10:42.0,X. Tillman makes 2-pt dunk from 2 ft,25-22, ,,2,22,25,-3,798.0
10:31.0, ,25-22,Shooting foul by G. Jackson (drawn by B. Adebayo),,2,22,25,-3,809.0
10:31.0, ,25-23,B. Adebayo makes free throw 1 of 2,,2,23,25,-2,809.0
10:31.0,J. Konchar enters the game for G. Jackson,25-23, ,,2,23,25,-2,809.0
10:31.0, ,25-23,H. Highsmith enters the game for K. Love,,2,23,25,-2,809.0
10:31.0, ,25-24,B. Adebayo makes free throw 2 of 2,,2,24,25,-1,809.0
10:19.0,Turnover by S. Pippen  (bad pass; steal by C. Martin),25-24, ,,2,24,25,-1,821.0
10:18.0, ,25-24,Shooting foul by Z. Williams (drawn by C. Martin),,2,24,25,-1,822.0
10:18.0, ,25-25,C. Martin makes free throw 1 of 2,Tie,2,25,25,0,822.0
10:18.0, ,25-26,C. Martin makes free throw 2 of 2,Lead change,2,26,25,1,822.0
10:01.0,J. Konchar misses 3-pt jump shot from 23 ft,25-26, ,,2,26,25,1,839.0
9:58.0, ,25-26,Defensive rebound by C. Martin,,2,26,25,1,842.0
9:43.0, ,25-26,Turnover by D. Robinson (bad pass),,2,26,25,1,857.0
9:24.0,Z. Williams misses 3-pt jump shot from 25 ft,25-26, ,,2,26,25,1,876.0
9:22.0, ,25-26,Defensive rebound by B. Adebayo,,2,26,25,1,878.0
9:06.0, ,25-26,D. Robinson misses 2-pt layup from 5 ft (block by X. Tillman),,2,26,25,1,894.0
9:02.0,Defensive rebound by J. Konchar,25-26, ,,2,26,25,1,898.0
8:58.0,Z. Williams misses 2-pt jump shot from 2 ft (block by C. Martin),25-26, ,,2,26,25,1,902.0
8:54.0, ,25-26,Defensive rebound by T. Rozier,,2,26,25,1,906.0
8:53.0, ,25-26,Offensive foul by T. Rozier (drawn by S. Pippen ),,2,26,25,1,907.0
8:53.0, ,25-26,Turnover by T. Rozier (offensive foul),,2,26,25,1,907.0
8:44.0,Offensive foul by J. Konchar (drawn by T. Rozier),25-26, ,,2,26,25,1,916.0
8:44.0,Turnover by J. Konchar (offensive foul),25-26, ,,2,26,25,1,916.0
8:30.0, ,25-26,D. Robinson misses 2-pt jump shot from 17 ft,,2,26,25,1,930.0
8:27.0,Defensive rebound by X. Tillman,25-26, ,,2,26,25,1,933.0
8:14.0,J. Konchar makes 2-pt layup from 2 ft (assist by S. Pippen ),27-26, ,Lead change,2,26,27,-1,946.0
7:56.0, ,27-26,C. Martin misses 3-pt jump shot from 23 ft,,2,26,27,-1,964.0
7:53.0,Defensive rebound by X. Tillman,27-26, ,,2,26,27,-1,967.0
7:48.0,X. Tillman makes 3-pt jump shot from 28 ft (assist by S. Pippen ),30-26, ,,2,26,30,-4,972.0
7:47.0, ,30-26,Miami full timeout,,2,26,30,-4,973.0
7:47.0, ,30-26,J. Butler enters the game for H. Highsmith,,2,26,30,-4,973.0
7:47.0, ,30-26,T. Herro enters the game for D. Robinson,,2,26,30,-4,973.0
7:27.0, ,30-29,T. Rozier makes 3-pt jump shot from 24 ft (assist by T. Herro),,2,29,30,-1,993.0
7:11.0,Turnover by X. Tillman (lost ball; steal by T. Rozier),30-29, ,,2,29,30,-1,1009.0
7:10.0, ,30-29,Personal foul by X. Tillman (drawn by T. Rozier),,2,29,30,-1,1010.0
7:10.0,G. Jackson enters the game for D. Roddy,30-29, ,,2,29,30,-1,1010.0
7:10.0,J. Jackson enters the game for X. Tillman,30-29, ,,2,29,30,-1,1010.0
7:10.0,V. Williams enters the game for Z. Williams,30-29, ,,2,29,30,-1,1010.0
7:10.0, ,30-29,T. Bryant enters the game for B. Adebayo,,2,29,30,-1,1010.0
6:53.0, ,30-29,T. Rozier misses 3-pt jump shot from 27 ft,,2,29,30,-1,1027.0
