Time,Miami,Score,Dallas,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:58.0, ,48-44,Defensive rebound by P. Washington,,2,48,44,4,1082.0
5:51.0, ,48-44,T. Hardaway misses 3-pt jump shot from 27 ft,,2,48,44,4,1089.0
5:46.0,Defensive rebound by H. Highsmith,48-44, ,,2,48,44,4,1094.0
5:35.0,J. Jaquez makes 2-pt jump shot from 9 ft (assist by T. Rozier),50-44, ,,2,50,44,6,1105.0
5:35.0, ,50-44,Dallas full timeout,,2,50,44,6,1105.0
5:35.0,D. Robinson enters the game for H. Highsmith,50-44, ,,2,50,44,6,1105.0
5:13.0, ,50-44,Shooting foul by B. Adebayo (drawn by D. Gafford),,2,50,44,6,1127.0
5:13.0, ,50-45,D. Gafford makes free throw 1 of 2,,2,50,45,5,1127.0
5:13.0, ,50-45,D. Gafford misses free throw 2 of 2,,2,50,45,5,1127.0
5:11.0, ,50-45,Offensive rebound by P. Washington,,2,50,45,5,1129.0
5:07.0, ,50-45,D. Jones misses 3-pt jump shot from 23 ft,,2,50,45,5,1133.0
5:04.0, ,50-45,Offensive rebound by P. Washington,,2,50,45,5,1136.0
5:01.0, ,50-45,P. Washington misses 2-pt jump shot from 7 ft,,2,50,45,5,1139.0
5:00.0, ,50-45,Offensive rebound by D. Gafford,,2,50,45,5,1140.0
5:00.0, ,50-45,Shooting foul by C. Martin (drawn by D. Gafford),,2,50,45,5,1140.0
5:00.0, ,50-45,D. Gafford misses free throw 1 of 2,,2,50,45,5,1140.0
5:00.0, ,50-45,Offensive rebound by Team,,2,50,45,5,1140.0
5:00.0, ,50-45,L. Dončić enters the game for D. Jones,,2,50,45,5,1140.0
5:00.0, ,50-45,M. Kleber enters the game for P. Washington,,2,50,45,5,1140.0
5:00.0, ,50-46,D. Gafford makes free throw 2 of 2,,2,50,46,4,1140.0
4:47.0,Turnover by B. Adebayo (bad pass; steal by D. Gafford),50-46, ,,2,50,46,4,1153.0
4:32.0, ,50-46,Turnover by L. Dončić (bad pass; steal by B. Adebayo),,2,50,46,4,1168.0
4:27.0,Personal foul by D. Gafford (drawn by T. Rozier),50-46, ,,2,50,46,4,1173.0
4:21.0,C. Martin misses 3-pt jump shot from 24 ft,50-46, ,,2,50,46,4,1179.0
4:16.0, ,50-46,Defensive rebound by D. Gafford,,2,50,46,4,1184.0
4:13.0, ,50-46,Shooting foul by D. Robinson (drawn by T. Hardaway),,2,50,46,4,1187.0
4:13.0, ,50-47,T. Hardaway makes free throw 1 of 2,,2,50,47,3,1187.0
4:13.0, ,50-48,T. Hardaway makes free throw 2 of 2,,2,50,48,2,1187.0
4:00.0,T. Rozier misses 3-pt jump shot from 25 ft,50-48, ,,2,50,48,2,1200.0
3:56.0, ,50-48,Defensive rebound by M. Kleber,,2,50,48,2,1204.0
3:49.0, ,50-48,T. Hardaway misses 3-pt jump shot from 26 ft,,2,50,48,2,1211.0
3:49.0, ,50-48,Offensive rebound by D. Gafford,,2,50,48,2,1211.0
3:45.0, ,50-50,D. Gafford makes 2-pt layup from 3 ft,Tie,2,50,50,0,1215.0
3:29.0,B. Adebayo makes 2-pt layup from 1 ft,52-50, ,,2,52,50,2,1231.0
3:16.0, ,52-50,L. Dončić misses 2-pt jump shot from 18 ft,,2,52,50,2,1244.0
3:13.0,Defensive rebound by B. Adebayo,52-50, ,,2,52,50,2,1247.0
3:06.0,D. Robinson makes 3-pt jump shot from 23 ft (assist by C. Martin),55-50, ,,2,55,50,5,1254.0
2:54.0, ,55-50,K. Irving misses 3-pt jump shot from 27 ft,,2,55,50,5,1266.0
2:50.0,Defensive rebound by J. Jaquez,55-50, ,,2,55,50,5,1270.0
2:44.0,B. Adebayo misses 2-pt jump shot from 6 ft,55-50, ,,2,55,50,5,1276.0
2:43.0,Offensive rebound by Team,55-50, ,,2,55,50,5,1277.0
2:43.0,J. Butler enters the game for J. Jaquez,55-50, ,,2,55,50,5,1277.0
2:43.0, ,55-50,P. Washington enters the game for D. Gafford,,2,55,50,5,1277.0
2:28.0,B. Adebayo misses 3-pt jump shot from 26 ft,55-50, ,,2,55,50,5,1292.0
2:25.0, ,55-50,Defensive rebound by P. Washington,,2,55,50,5,1295.0
2:13.0, ,55-50,T. Hardaway misses 2-pt jump shot from 4 ft,,2,55,50,5,1307.0
2:11.0,Defensive rebound by J. Butler,55-50, ,,2,55,50,5,1309.0
2:01.0,Turnover by J. Butler (bad pass),55-50, ,,2,55,50,5,1319.0
1:52.0, ,55-50,Personal foul by T. Rozier (drawn by K. Irving),,2,55,50,5,1328.0
1:52.0, ,55-51,K. Irving makes free throw 1 of 2,,2,55,51,4,1328.0
1:52.0, ,55-52,K. Irving makes free throw 2 of 2,,2,55,52,3,1328.0
1:34.0,T. Rozier misses 3-pt jump shot from 23 ft,55-52, ,,2,55,52,3,1346.0
1:31.0, ,55-52,Defensive rebound by L. Dončić,,2,55,52,3,1349.0
1:22.0, ,55-52,Turnover by P. Washington (lost ball; steal by B. Adebayo),,2,55,52,3,1358.0
1:17.0,Shooting foul by T. Hardaway (drawn by C. Martin),55-52, ,,2,55,52,3,1363.0
1:17.0,C. Martin makes free throw 1 of 2,56-52, ,,2,56,52,4,1363.0
