Time,Philadelphia,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
0:54.0, ,22-22,Defensive rebound by D. Robinson,,1,22,22,0,666.0
0:52.0, ,22-22,J. Cain misses 2-pt layup from 3 ft,,1,22,22,0,668.0
0:47.0, ,22-22,Offensive rebound by K. Love,,1,22,22,0,673.0
0:45.0, ,22-22,Shooting foul by P. Beverley (drawn by K. Love),,1,22,22,0,675.0
0:45.0, ,22-23,K. Love makes free throw 1 of 2,Lead change,1,23,22,1,675.0
0:45.0,D. Melton enters the game for M. Bamba,22-23, ,,1,23,22,1,675.0
0:45.0, ,22-23,B. Adebayo enters the game for J. Jaquez,,1,23,22,1,675.0
0:45.0, ,22-24,K. Love makes free throw 2 of 2,,1,24,22,2,675.0
0:34.0,D. House misses 3-pt jump shot from 23 ft,22-24, ,,1,24,22,2,686.0
0:31.0,Offensive rebound by Team,22-24, ,,1,24,22,2,689.0
0:29.0,M. Morris misses 3-pt jump shot from 24 ft,22-24, ,,1,24,22,2,691.0
0:25.0, ,22-24,Defensive rebound by B. Adebayo,,1,24,22,2,695.0
0:03.0, ,22-26,B. Adebayo makes 2-pt jump shot from 17 ft,,1,26,22,4,717.0
0:00.0,M. Morris misses 3-pt jump shot from 27 ft,22-26, ,,1,26,22,4,720.0
0:00.0,Offensive rebound by Team,22-26, ,,1,26,22,4,720.0
0:00.0,End of 1st quarter,22-26,,,1,26,22,4,720.0
12:00.0,Start of 2nd quarter,22-26,,,2,26,22,4,720.0
11:49.0, ,22-28,K. Lowry makes 2-pt layup from 3 ft (assist by K. Love),,2,28,22,6,731.0
11:39.0,Personal take foul by J. Cain (drawn by T. Maxey),22-28, ,,2,28,22,6,741.0
11:23.0,T. Harris misses 3-pt jump shot from 25 ft,22-28, ,,2,28,22,6,757.0
11:18.0, ,22-28,Defensive rebound by K. Love,,2,28,22,6,762.0
11:07.0, ,22-28,B. Adebayo misses 2-pt jump shot from 14 ft,,2,28,22,6,773.0
11:05.0,Defensive rebound by D. Melton,22-28, ,,2,28,22,6,775.0
10:53.0,T. Harris misses 3-pt jump shot from 24 ft,22-28, ,,2,28,22,6,787.0
10:49.0, ,22-28,Defensive rebound by J. Cain,,2,28,22,6,791.0
10:46.0, ,22-28,Personal foul by P. Reed (drawn by K. Lowry),,2,28,22,6,794.0
10:46.0, ,22-28,T. Herro enters the game for K. Love,,2,28,22,6,794.0
10:33.0, ,22-31,D. Robinson makes 3-pt jump shot from 26 ft,,2,31,22,9,807.0
10:14.0,Shooting foul by B. Adebayo (drawn by P. Reed),22-31, ,,2,31,22,9,826.0
10:14.0,P. Reed misses free throw 1 of 2,22-31, ,,2,31,22,9,826.0
10:14.0,Offensive rebound by Team,22-31, ,,2,31,22,9,826.0
10:14.0,P. Reed misses free throw 2 of 2,22-31, ,,2,31,22,9,826.0
10:12.0, ,22-31,Defensive rebound by J. Cain,,2,31,22,9,828.0
10:03.0, ,22-33,B. Adebayo makes 2-pt hook shot from 6 ft,,2,33,22,11,837.0
9:47.0,D. Melton misses 2-pt layup from 3 ft,22-33, ,,2,33,22,11,853.0
9:44.0, ,22-33,Defensive rebound by J. Cain,,2,33,22,11,856.0
9:39.0, ,22-33,Shooting foul by P. Reed (drawn by B. Adebayo),,2,33,22,11,861.0
9:39.0, ,22-33,B. Adebayo misses free throw 1 of 2,,2,33,22,11,861.0
9:39.0, ,22-33,Offensive rebound by Team,,2,33,22,11,861.0
9:39.0,M. Bamba enters the game for P. Reed,22-33, ,,2,33,22,11,861.0
9:39.0, ,22-34,B. Adebayo makes free throw 2 of 2,,2,34,22,12,861.0
9:26.0,T. Harris makes 2-pt jump shot from 11 ft,24-34, ,,2,34,24,10,874.0
9:12.0, ,24-34,Shooting foul by D. Melton (drawn by T. Herro),,2,34,24,10,888.0
9:12.0, ,24-34,T. Herro misses free throw 1 of 2,,2,34,24,10,888.0
9:12.0, ,24-34,Offensive rebound by Team,,2,34,24,10,888.0
9:12.0, ,24-35,T. Herro makes free throw 2 of 2,,2,35,24,11,888.0
9:00.0,T. Maxey misses 2-pt jump shot from 18 ft,24-35, ,,2,35,24,11,900.0
8:58.0, ,24-35,Defensive rebound by B. Adebayo,,2,35,24,11,902.0
8:50.0, ,24-35,Turnover by B. Adebayo (bad pass; steal by K. Martin),,2,35,24,11,910.0
8:44.0,K. Martin makes 2-pt layup from 3 ft (assist by T. Harris),26-35, ,,2,35,26,9,916.0
8:23.0, ,26-35,B. Adebayo misses 2-pt jump shot from 7 ft,,2,35,26,9,937.0
8:20.0,Defensive rebound by M. Bamba,26-35, ,,2,35,26,9,940.0
8:12.0,D. Melton misses 3-pt jump shot from 26 ft,26-35, ,,2,35,26,9,948.0
8:09.0, ,26-35,Defensive rebound by T. Herro,,2,35,26,9,951.0
8:07.0, ,26-35,Shooting foul by M. Bamba (drawn by J. Cain),,2,35,26,9,953.0
8:07.0, ,26-36,J. Cain makes free throw 1 of 2,,2,36,26,10,953.0
8:07.0,K. Oubre enters the game for T. Harris,26-36, ,,2,36,26,10,953.0
8:07.0, ,26-37,J. Cain makes free throw 2 of 2,,2,37,26,11,953.0
7:55.0,K. Oubre misses 2-pt layup from 3 ft,26-37, ,,2,37,26,11,965.0
7:53.0, ,26-37,Defensive rebound by B. Adebayo,,2,37,26,11,967.0
7:46.0, ,26-37,D. Robinson misses 2-pt layup from 2 ft (block by D. Melton),,2,37,26,11,974.0
7:43.0,Defensive rebound by D. Melton,26-37, ,,2,37,26,11,977.0
7:39.0,M. Bamba makes 2-pt layup from 2 ft (assist by K. Martin),28-37, ,,2,37,28,9,981.0
7:24.0, ,28-40,K. Lowry makes 3-pt jump shot from 24 ft (assist by D. Robinson),,2,40,28,12,996.0
7:07.0,M. Bamba makes 3-pt jump shot from 26 ft (assist by T. Maxey),31-40, ,,2,40,31,9,1013.0
6:53.0, ,31-42,B. Adebayo makes 2-pt dunk from 1 ft (assist by T. Herro),,2,42,31,11,1027.0
6:40.0,M. Bamba makes 2-pt dunk from 1 ft (assist by D. Melton),33-42, ,,2,42,33,9,1040.0
6:39.0, ,33-42,Miami full timeout,,2,42,33,9,1041.0
6:39.0,T. Harris enters the game for K. Martin,33-42, ,,2,42,33,9,1041.0
6:39.0, ,33-42,R. Hampton enters the game for B. Adebayo,,2,42,33,9,1041.0
6:39.0, ,33-42,J. Jaquez enters the game for J. Cain,,2,42,33,9,1041.0
6:39.0, ,33-42,K. Love enters the game for K. Lowry,,2,42,33,9,1041.0
6:16.0, ,33-45,T. Herro makes 3-pt jump shot from 24 ft (assist by K. Love),,2,45,33,12,1064.0
5:58.0,D. Melton misses 2-pt jump shot from 4 ft,33-45, ,,2,45,33,12,1082.0
5:54.0,Offensive rebound by M. Bamba,33-45, ,,2,45,33,12,1086.0
5:54.0,M. Bamba makes 2-pt layup at rim,35-45, ,,2,45,35,10,1086.0
5:47.0, ,35-47,T. Herro makes 2-pt layup from 1 ft (assist by K. Love),,2,47,35,12,1093.0
5:23.0,T. Harris misses 2-pt jump shot from 10 ft,35-47, ,,2,47,35,12,1117.0
5:20.0, ,35-47,Defensive rebound by K. Love,,2,47,35,12,1120.0
5:19.0, ,35-47,Turnover by K. Love (bad pass; steal by M. Bamba),,2,47,35,12,1121.0
5:15.0,M. Bamba makes 2-pt layup from 4 ft,37-47, ,,2,47,37,10,1125.0
5:08.0, ,37-50,K. Love makes 3-pt jump shot from 26 ft (assist by T. Herro),,2,50,37,13,1132.0
4:55.0,T. Harris makes 3-pt jump shot from 22 ft (assist by K. Oubre),40-50, ,,2,50,40,10,1145.0
4:40.0, ,40-50,D. Robinson misses 3-pt jump shot from 26 ft,,2,50,40,10,1160.0
4:37.0,Defensive rebound by K. Oubre,40-50, ,,2,50,40,10,1163.0
4:24.0,M. Bamba makes 3-pt jump shot from 26 ft (assist by D. Melton),43-50, ,,2,50,43,7,1176.0
4:07.0, ,43-52,J. Jaquez makes 2-pt layup from 1 ft (assist by T. Herro),,2,52,43,9,1193.0
3:46.0,T. Maxey misses 2-pt jump shot from 13 ft,43-52, ,,2,52,43,9,1214.0
3:44.0, ,43-52,Defensive rebound by K. Love,,2,52,43,9,1216.0
3:40.0, ,43-52,D. Robinson misses 3-pt jump shot from 24 ft,,2,52,43,9,1220.0
3:37.0, ,43-52,Offensive rebound by Team,,2,52,43,9,1223.0
3:37.0, ,43-52,B. Adebayo enters the game for K. Love,,2,52,43,9,1223.0
3:30.0, ,43-54,T. Herro makes 2-pt jump shot from 9 ft (assist by B. Adebayo),,2,54,43,11,1230.0
3:22.0,Philadelphia full timeout,43-54, ,,2,54,43,11,1238.0
3:22.0,P. Beverley enters the game for D. Melton,43-54, ,,2,54,43,11,1238.0
3:15.0,Personal foul by D. Robinson (drawn by K. Oubre),43-54, ,,2,54,43,11,1245.0
3:06.0,M. Bamba misses 2-pt dunk from 2 ft,43-54, ,,2,54,43,11,1254.0
3:03.0,Offensive rebound by T. Harris,43-54, ,,2,54,43,11,1257.0
3:02.0,Turnover by T. Harris (lost ball; steal by J. Jaquez),43-54, ,,2,54,43,11,1258.0
3:01.0, ,43-54,Shooting foul by K. Oubre (drawn by J. Jaquez),,2,54,43,11,1259.0
3:01.0, ,43-55,J. Jaquez makes free throw 1 of 2,,2,55,43,12,1259.0
3:01.0, ,43-56,J. Jaquez makes free throw 2 of 2,,2,56,43,13,1259.0
2:48.0,K. Oubre misses 2-pt layup from 2 ft,43-56, ,,2,56,43,13,1272.0
2:45.0, ,43-56,Defensive rebound by J. Jaquez,,2,56,43,13,1275.0
2:43.0, ,43-58,J. Jaquez makes 2-pt layup from 3 ft,,2,58,43,15,1277.0
2:43.0,Violation by Team (def goaltending),43-58, ,,2,58,43,15,1277.0
2:20.0,T. Maxey misses 3-pt jump shot from 30 ft,43-58, ,,2,58,43,15,1300.0
2:16.0, ,43-58,Defensive rebound by J. Jaquez,,2,58,43,15,1304.0
2:11.0, ,43-58,T. Herro misses 2-pt layup from 2 ft,,2,58,43,15,1309.0
2:08.0,Defensive rebound by P. Beverley,43-58, ,,2,58,43,15,1312.0
2:05.0,T. Harris misses 2-pt layup from 2 ft (block by B. Adebayo),43-58, ,,2,58,43,15,1315.0
2:05.0,Offensive rebound by Team,43-58, ,,2,58,43,15,1315.0
1:56.0,P. Beverley misses 3-pt jump shot from 26 ft,43-58, ,,2,58,43,15,1324.0
1:53.0, ,43-58,Defensive rebound by B. Adebayo,,2,58,43,15,1327.0
1:46.0, ,43-60,B. Adebayo makes 2-pt dunk from 1 ft,,2,60,43,17,1334.0
1:27.0,P. Beverley makes 3-pt jump shot from 25 ft (assist by T. Harris),46-60, ,,2,60,46,14,1353.0
1:12.0, ,46-60,T. Herro misses 2-pt layup from 6 ft,,2,60,46,14,1368.0
1:11.0,Defensive rebound by T. Harris,46-60, ,,2,60,46,14,1369.0
1:08.0,K. Oubre makes 3-pt jump shot from 26 ft (assist by T. Harris),49-60, ,,2,60,49,11,1372.0
0:47.0, ,49-63,T. Herro makes 3-pt jump shot from 24 ft (assist by R. Hampton),,2,63,49,14,1393.0
0:25.0,K. Oubre misses 3-pt jump shot from 28 ft,49-63, ,,2,63,49,14,1415.0
0:22.0, ,49-63,Defensive rebound by B. Adebayo,,2,63,49,14,1418.0
0:03.0, ,49-63,D. Robinson misses 3-pt jump shot from 26 ft,,2,63,49,14,1437.0
0:02.0, ,49-63,Offensive rebound by B. Adebayo,,2,63,49,14,1438.0
0:00.0, ,49-63,B. Adebayo misses 2-pt layup at rim,,2,63,49,14,1440.0
0:00.0, ,49-63,Offensive rebound by Team,,2,63,49,14,1440.0
0:00.0,End of 2nd quarter,49-63,,,2,63,49,14,1440.0
12:00.0,Start of 3rd quarter,49-63,,,3,63,49,14,1440.0
11:42.0, ,49-63,Def 3 sec tech foul by Team,,3,63,49,14,1458.0
11:42.0, ,49-64,T. Herro makes technical free throw,,3,64,49,15,1458.0
11:34.0, ,49-67,T. Herro makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,3,67,49,18,1466.0
11:11.0,D. Melton misses 3-pt jump shot from 26 ft,49-67, ,,3,67,49,18,1489.0
11:08.0, ,49-67,Defensive rebound by B. Adebayo,,3,67,49,18,1492.0
10:54.0, ,49-70,J. Jaquez makes 3-pt jump shot from 24 ft (assist by B. Adebayo),,3,70,49,21,1506.0
10:40.0,Turnover by M. Bamba (traveling),49-70, ,,3,70,49,21,1520.0
10:23.0, ,49-70,Personal foul by T. Maxey (drawn by K. Lowry),,3,70,49,21,1537.0
10:16.0, ,49-70,R. Hampton misses 3-pt jump shot from 23 ft,,3,70,49,21,1544.0
10:13.0,Defensive rebound by T. Harris,49-70, ,,3,70,49,21,1547.0
10:05.0,K. Oubre makes 3-pt jump shot from 25 ft (assist by M. Bamba),52-70, ,,3,70,52,18,1555.0
9:48.0, ,52-70,R. Hampton misses 2-pt layup from 3 ft,,3,70,52,18,1572.0
9:46.0,Defensive rebound by K. Oubre,52-70, ,,3,70,52,18,1574.0
9:40.0,T. Maxey makes 2-pt layup from 2 ft (assist by D. Melton),54-70, ,,3,70,54,16,1580.0
9:23.0, ,54-72,B. Adebayo makes 2-pt jump shot from 11 ft (assist by T. Herro),,3,72,54,18,1597.0
9:02.0,T. Harris makes 2-pt jump shot from 8 ft,56-72, ,,3,72,56,16,1618.0
8:49.0, ,56-72,Turnover by B. Adebayo (bad pass; steal by T. Harris),,3,72,56,16,1631.0
8:46.0,T. Maxey misses 2-pt layup from 2 ft (block by K. Lowry),56-72, ,,3,72,56,16,1634.0
8:46.0,Offensive rebound by Team,56-72, ,,3,72,56,16,1634.0
8:36.0,D. Melton makes 3-pt jump shot from 24 ft (assist by M. Bamba),59-72, ,,3,72,59,13,1644.0
8:20.0, ,59-72,T. Herro misses 3-pt jump shot from 27 ft,,3,72,59,13,1660.0
8:20.0,Defensive rebound by T. Harris,59-72, ,,3,72,59,13,1660.0
8:12.0,T. Maxey misses 2-pt jump shot from 12 ft,59-72, ,,3,72,59,13,1668.0
8:09.0, ,59-72,Defensive rebound by B. Adebayo,,3,72,59,13,1671.0
8:02.0, ,59-72,K. Lowry misses 3-pt jump shot from 27 ft,,3,72,59,13,1678.0
7:58.0,Defensive rebound by M. Bamba,59-72, ,,3,72,59,13,1682.0
7:49.0,M. Bamba makes 3-pt jump shot from 26 ft (assist by T. Harris),62-72, ,,3,72,62,10,1691.0
7:47.0, ,62-72,Miami full timeout,,3,72,62,10,1693.0
7:32.0, ,62-72,T. Herro misses 3-pt jump shot from 25 ft,,3,72,62,10,1708.0
7:29.0, ,62-72,Offensive rebound by B. Adebayo,,3,72,62,10,1711.0
7:25.0, ,62-72,T. Herro misses 2-pt jump shot from 18 ft,,3,72,62,10,1715.0
7:25.0, ,62-72,Offensive rebound by J. Jaquez,,3,72,62,10,1715.0
7:19.0, ,62-72,R. Hampton misses 3-pt jump shot from 27 ft,,3,72,62,10,1721.0
7:17.0, ,62-72,Offensive rebound by J. Jaquez,,3,72,62,10,1723.0
7:17.0, ,62-72,Personal foul by M. Bamba (drawn by J. Jaquez),,3,72,62,10,1723.0
7:09.0, ,62-74,T. Herro makes 2-pt layup from 3 ft,,3,74,62,12,1731.0
6:45.0,T. Maxey misses 3-pt jump shot from 25 ft,62-74, ,,3,74,62,12,1755.0
6:42.0, ,62-74,Defensive rebound by T. Herro,,3,74,62,12,1758.0
6:31.0, ,62-74,Shooting foul by T. Maxey (drawn by B. Adebayo),,3,74,62,12,1769.0
6:31.0, ,62-74,B. Adebayo misses free throw 1 of 2,,3,74,62,12,1769.0
6:31.0, ,62-74,Offensive rebound by Team,,3,74,62,12,1769.0
6:31.0, ,62-74,B. Adebayo misses free throw 2 of 2,,3,74,62,12,1769.0
6:27.0,Defensive rebound by M. Bamba,62-74, ,,3,74,62,12,1773.0
6:20.0,D. Melton misses 2-pt jump shot from 6 ft (block by B. Adebayo),62-74, ,,3,74,62,12,1780.0
6:16.0,Offensive rebound by Team,62-74, ,,3,74,62,12,1784.0
6:16.0,P. Reed enters the game for M. Bamba,62-74, ,,3,74,62,12,1784.0
6:12.0,D. Melton makes 2-pt dunk from 1 ft (assist by T. Maxey),64-74, ,,3,74,64,10,1788.0
5:49.0, ,64-74,B. Adebayo misses 2-pt jump shot from 17 ft,,3,74,64,10,1811.0
5:46.0,Defensive rebound by K. Oubre,64-74, ,,3,74,64,10,1814.0
5:41.0,K. Oubre makes 3-pt jump shot from 27 ft,67-74, ,,3,74,67,7,1819.0
5:23.0, ,67-74,Turnover by T. Herro (lost ball; steal by D. Melton),,3,74,67,7,1837.0
5:21.0,T. Maxey makes 2-pt layup from 1 ft (assist by D. Melton),69-74, ,,3,74,69,5,1839.0
5:20.0, ,69-74,Miami full timeout,,3,74,69,5,1840.0
5:20.0, ,69-74,K. Love enters the game for B. Adebayo,,3,74,69,5,1840.0
5:20.0, ,69-74,D. Robinson enters the game for K. Lowry,,3,74,69,5,1840.0
5:11.0, ,69-74,Shooting foul by T. Harris (drawn by K. Love),,3,74,69,5,1849.0
5:11.0, ,69-75,K. Love makes free throw 1 of 2,,3,75,69,6,1849.0
