A,B,C,D,E,F,Event
10:34.0,T. Herro misses 3-pt jump shot from 26 ft, ,33-32, , ,
10:30.0, , ,33-32, ,Defensive rebound by C. Johnson,
10:23.0, , ,33-32, ,Turnover by C. Paul (lost ball; steal by C. Martin),
10:21.0,T. Herro misses 2-pt layup from 2 ft (block by D. Ayton), ,33-32, , ,
10:20.0,Offensive rebound by Team, ,33-32, , ,
10:20.0,O. Yurtseven enters the game for C. Silva, ,33-32, , ,
10:09.0,C. Martin makes 3-pt jump shot from 25 ft (assist by K. Guy),+3,36-32, , ,
9:49.0, , ,36-32, ,C. Johnson misses 3-pt jump shot from 25 ft,
9:48.0,Defensive rebound by Team, ,36-32, , ,
9:39.0,T. Herro misses 2-pt jump shot from 22 ft, ,36-32, , ,
9:37.0,Offensive rebound by Team, ,36-32, , ,
9:37.0, , ,36-32, ,M. Bridges enters the game for C. Payne,
9:35.0,D. Robinson misses 3-pt jump shot from 24 ft, ,36-32, , ,
9:32.0,Offensive rebound by O. Yurtseven, ,36-32, , ,
9:31.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by O. Yurtseven),+3,39-32, , ,
9:17.0, , ,39-32, ,Shooting foul by O. Yurtseven (drawn by C. Paul),
9:17.0, , ,39-33,+1,C. Paul makes free throw 1 of 2,
9:17.0, , ,39-34,+1,C. Paul makes free throw 2 of 2,
9:01.0,T. Herro makes 2-pt layup from 2 ft (assist by O. Yurtseven),+2,41-34, , ,
8:49.0, , ,41-36,+2,C. Paul makes 2-pt jump shot from 19 ft,
8:39.0,O. Yurtseven misses 2-pt jump shot from 17 ft, ,41-36, , ,
8:35.0, , ,41-36, ,Defensive rebound by C. Johnson,
8:31.0, , ,41-38,+2,M. Bridges makes 2-pt layup from 1 ft (assist by C. Paul),
8:10.0,K. Guy makes 2-pt jump shot from 12 ft (assist by O. Yurtseven),+2,43-38, , ,
7:54.0, , ,43-38, ,C. Johnson misses 2-pt jump shot from 16 ft,
7:51.0,Defensive rebound by T. Herro, ,43-38, , ,
7:45.0,D. Robinson makes 3-pt jump shot from 25 ft,+3,46-38, , ,
7:28.0, , ,46-38, ,D. Ayton misses 2-pt jump shot from 10 ft,
7:26.0,Defensive rebound by O. Yurtseven, ,46-38, , ,
7:14.0,T. Herro makes 2-pt layup from 1 ft (assist by K. Guy),+2,48-38, , ,
7:14.0, , ,48-38, ,Phoenix full timeout,
7:14.0, , ,48-38, ,Violation by Team (delay of game),
6:54.0, , ,48-38, ,C. Johnson misses 3-pt jump shot from 23 ft,
6:50.0,Defensive rebound by O. Yurtseven, ,48-38, , ,
6:39.0,K. Guy misses 3-pt jump shot from 24 ft, ,48-38, , ,
6:36.0, , ,48-38, ,Defensive rebound by J. Crowder,
6:27.0, , ,48-38, ,C. Paul misses 2-pt jump shot from 14 ft,
6:25.0,Defensive rebound by O. Yurtseven, ,48-38, , ,
6:10.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by O. Yurtseven),+3,51-38, , ,
5:51.0, , ,51-40,+2,D. Ayton makes 2-pt jump shot from 14 ft (assist by M. Bridges),
5:31.0,O. Yurtseven misses 2-pt jump shot from 12 ft, ,51-40, , ,
5:28.0,Offensive rebound by D. Robinson, ,51-40, , ,
5:25.0,T. Herro misses 2-pt jump shot from 6 ft, ,51-40, , ,
5:25.0, , ,51-40, ,Defensive rebound by C. Johnson,
5:19.0, , ,51-40, ,Turnover by M. Bridges (bad pass),
5:19.0,K. Lowry enters the game for K. Guy, ,51-40, , ,
5:19.0,M. Strus enters the game for T. Herro, ,51-40, , ,
5:19.0,P. Tucker enters the game for C. Martin, ,51-40, , ,
5:19.0, , ,51-40, ,D. Booker enters the game for J. Crowder,
5:19.0, , ,51-40, ,C. Payne enters the game for C. Paul,
5:01.0,D. Robinson misses 3-pt jump shot from 25 ft, ,51-40, , ,
4:58.0, , ,51-40, ,Defensive rebound by C. Johnson,
4:50.0, , ,51-40, ,C. Payne misses 2-pt jump shot from 18 ft,
4:47.0,Defensive rebound by M. Strus, ,51-40, , ,
4:42.0,D. Robinson misses 3-pt jump shot from 25 ft, ,51-40, , ,
4:38.0,Offensive rebound by O. Yurtseven, ,51-40, , ,
4:34.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by D. Robinson),+3,54-40, , ,
4:17.0, , ,54-42,+2,D. Ayton makes 2-pt hook shot from 4 ft (assist by M. Bridges),
4:06.0,Turnover by K. Lowry (bad pass; steal by D. Booker), ,54-42, , ,
