Time,Detroit,Score,Houston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
11:05.0,Offensive foul by K. Hayes (drawn by A. Thompson),29-35, ,,2,29,35,-6,775.0
11:05.0,Turnover by K. Hayes (offensive foul),29-35, ,,2,29,35,-6,775.0
10:51.0, ,29-37,J. Tate makes 2-pt hook shot from 3 ft (assist by J. Green),,2,29,37,-8,789.0
10:29.0,K. Hayes misses 2-pt jump shot from 22 ft,29-37, ,,2,29,37,-8,811.0
10:28.0, ,29-37,Defensive rebound by T. Eason,,2,29,37,-8,812.0
10:08.0, ,29-37,J. Tate misses 2-pt jump shot from 17 ft (block by J. Wiseman),,2,29,37,-8,832.0
10:07.0, ,29-37,Offensive rebound by A. Thompson,,2,29,37,-8,833.0
10:03.0, ,29-37,J. Tate misses 2-pt jump shot from 17 ft,,2,29,37,-8,837.0
10:03.0,Defensive rebound by A. Burks,29-37, ,,2,29,37,-8,837.0
9:55.0,J. Wiseman makes 2-pt dunk from 4 ft (assist by A. Burks),31-37, ,,2,31,37,-6,845.0
9:35.0, ,31-39,T. Eason makes 2-pt layup from 3 ft,,2,31,39,-8,865.0
9:20.0,Turnover by B. Bogdanović (lost ball; steal by T. Eason),31-39, ,,2,31,39,-8,880.0
9:14.0, ,31-41,J. Tate makes 2-pt layup at rim,,2,31,41,-10,886.0
9:13.0,Detroit full timeout,31-41, ,,2,31,41,-10,887.0
9:02.0,B. Bogdanović misses 2-pt jump shot from 13 ft,31-41, ,,2,31,41,-10,898.0
9:01.0, ,31-41,Defensive rebound by A. Thompson,,2,31,41,-10,899.0
8:52.0, ,31-43,J. Tate makes 2-pt layup from 3 ft (assist by A. Thompson),,2,31,43,-12,908.0
8:33.0,A. Burks makes 2-pt hook shot from 6 ft,33-43, ,,2,33,43,-10,927.0
8:18.0, ,33-43,T. Eason misses 3-pt jump shot from 25 ft,,2,33,43,-10,942.0
8:17.0,Defensive rebound by J. Wiseman,33-43, ,,2,33,43,-10,943.0
8:10.0,A. Burks makes 2-pt layup at rim,35-43, ,,2,35,43,-8,950.0
7:56.0, ,35-46,A. Thompson makes 3-pt jump shot from 27 ft (assist by J. Green),,2,35,46,-11,964.0
7:46.0,B. Bogdanović misses 3-pt jump shot from 25 ft,35-46, ,,2,35,46,-11,974.0
7:44.0, ,35-46,Defensive rebound by J. Green,,2,35,46,-11,976.0
7:34.0, ,35-46,T. Eason misses 2-pt layup from 1 ft,,2,35,46,-11,986.0
7:33.0,Defensive rebound by A. Thompson,35-46, ,,2,35,46,-11,987.0
7:26.0,A. Burks misses 3-pt jump shot from 26 ft,35-46, ,,2,35,46,-11,994.0
7:26.0,Offensive rebound by J. Wiseman,35-46, ,,2,35,46,-11,994.0
7:18.0,A. Burks makes 3-pt jump shot from 24 ft,38-46, ,,2,38,46,-8,1002.0
7:00.0, ,38-46,R. Bullock misses 3-pt jump shot from 25 ft (block by A. Thompson),,2,38,46,-8,1020.0
6:59.0,Defensive rebound by B. Bogdanović,38-46, ,,2,38,46,-8,1021.0
6:52.0,K. Hayes makes 2-pt layup from 4 ft,40-46, ,,2,40,46,-6,1028.0
6:41.0, ,40-46,Shooting foul by J. Wiseman (drawn by J. Green),,2,40,46,-6,1039.0
6:41.0, ,40-47,J. Green makes free throw 1 of 2,,2,40,47,-7,1039.0
6:41.0,C. Cunningham enters the game for B. Bogdanović,40-47, ,,2,40,47,-7,1039.0
6:41.0,J. Duren enters the game for A. Thompson,40-47, ,,2,40,47,-7,1039.0
6:41.0,J. Ivey enters the game for J. Wiseman,40-47, ,,2,40,47,-7,1039.0
