Time,Brooklyn,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:51.0, ,7-18,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by C. Cunningham),,1,18,7,11,309.0
6:30.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,7-18, ,,1,18,7,11,330.0
6:28.0, ,7-18,Defensive rebound by I. Stewart,,1,18,7,11,332.0
6:22.0, ,7-20,B. Bogdanović makes 2-pt jump shot from 7 ft (assist by I. Stewart),,1,20,7,13,338.0
6:22.0, ,7-20,Shooting foul by S. Dinwiddie (drawn by B. Bogdanović),,1,20,7,13,338.0
6:22.0,D. Finney-Smith enters the game for N. Claxton,7-20, ,,1,20,7,13,338.0
6:22.0,D. Sharpe enters the game for C. Johnson,7-20, ,,1,20,7,13,338.0
6:22.0,D. Smith enters the game for C. Thomas,7-20, ,,1,20,7,13,338.0
6:22.0, ,7-20,M. Sasser enters the game for J. Ivey,,1,20,7,13,338.0
6:22.0, ,7-20,B. Bogdanović misses free throw 1 of 1,,1,20,7,13,338.0
6:19.0,Defensive rebound by D. Finney-Smith,7-20, ,,1,20,7,13,341.0
6:07.0,Shooting foul by C. Cunningham (drawn by D. Sharpe),7-20, ,,1,20,7,13,353.0
6:07.0,D. Sharpe misses free throw 1 of 2,7-20, ,,1,20,7,13,353.0
6:07.0,Offensive rebound by Team,7-20, ,,1,20,7,13,353.0
6:07.0,D. Sharpe makes free throw 2 of 2,8-20, ,,1,20,8,12,353.0
5:51.0, ,8-20,B. Bogdanović misses 2-pt layup from 1 ft (block by D. Sharpe),,1,20,8,12,369.0
5:51.0, ,8-20,Offensive rebound by J. Duren,,1,20,8,12,369.0
5:49.0, ,8-22,J. Duren makes 2-pt dunk at rim,,1,22,8,14,371.0
5:42.0,Shooting foul by C. Cunningham (drawn by S. Dinwiddie),8-22, ,,1,22,8,14,378.0
5:42.0,S. Dinwiddie makes free throw 1 of 2,9-22, ,,1,22,9,13,378.0
5:42.0, ,9-22,K. Knox enters the game for B. Bogdanović,,1,22,9,13,378.0
5:42.0,S. Dinwiddie makes free throw 2 of 2,10-22, ,,1,22,10,12,378.0
5:23.0, ,10-22,C. Cunningham misses 3-pt jump shot from 24 ft,,1,22,10,12,397.0
5:20.0,Defensive rebound by M. Bridges,10-22, ,,1,22,10,12,400.0
5:13.0,D. Sharpe makes 2-pt layup from 2 ft (assist by D. Smith),12-22, ,,1,22,12,10,407.0
5:02.0, ,12-22,J. Duren misses 2-pt jump shot from 6 ft,,1,22,12,10,418.0
4:59.0,Defensive rebound by D. Sharpe,12-22, ,,1,22,12,10,421.0
4:42.0,D. Smith makes 2-pt jump shot from 13 ft (assist by M. Bridges),14-22, ,,1,22,14,8,438.0
4:41.0, ,14-22,Detroit full timeout,,1,22,14,8,439.0
4:41.0, ,14-22,J. Wiseman enters the game for J. Duren,,1,22,14,8,439.0
4:24.0, ,14-22,I. Stewart misses 2-pt layup from 5 ft,,1,22,14,8,456.0
4:18.0,Defensive rebound by D. Finney-Smith,14-22, ,,1,22,14,8,462.0
4:14.0,Turnover by D. Smith (bad pass),14-22, ,,1,22,14,8,466.0
4:12.0,Loose ball foul by D. Finney-Smith (drawn by M. Sasser),14-22, ,,1,22,14,8,468.0
4:12.0, ,14-22,A. Thompson enters the game for I. Stewart,,1,22,14,8,468.0
4:02.0, ,14-22,K. Knox misses 3-pt jump shot from 25 ft,,1,22,14,8,478.0
3:59.0,Defensive rebound by D. Sharpe,14-22, ,,1,22,14,8,481.0
3:54.0,Brooklyn full timeout,14-22, ,,1,22,14,8,486.0
3:54.0,R. O'Neale enters the game for M. Bridges,14-22, ,,1,22,14,8,486.0
3:54.0,C. Thomas enters the game for S. Dinwiddie,14-22, ,,1,22,14,8,486.0
3:54.0, ,14-22,A. Burks enters the game for C. Cunningham,,1,22,14,8,486.0
3:45.0,R. O'Neale misses 2-pt jump shot from 10 ft,14-22, ,,1,22,14,8,495.0
3:43.0,Offensive rebound by Team,14-22, ,,1,22,14,8,497.0
3:38.0,C. Thomas makes 2-pt jump shot from 9 ft (assist by D. Sharpe),16-22, ,,1,22,16,6,502.0
3:25.0, ,16-22,A. Burks misses 3-pt jump shot from 25 ft,,1,22,16,6,515.0
3:22.0, ,16-22,Offensive rebound by J. Wiseman,,1,22,16,6,518.0
3:12.0, ,16-22,Personal foul by D. Finney-Smith (drawn by A. Thompson),,1,22,16,6,528.0
3:12.0, ,16-23,A. Thompson makes free throw 1 of 2,,1,23,16,7,528.0
3:12.0, ,16-23,B. Bogdanović enters the game for K. Knox,,1,23,16,7,528.0
3:12.0, ,16-24,A. Thompson makes free throw 2 of 2,,1,24,16,8,528.0
2:52.0,D. Smith misses 2-pt jump shot from 16 ft,16-24, ,,1,24,16,8,548.0
2:49.0,Offensive rebound by D. Sharpe,16-24, ,,1,24,16,8,551.0
2:49.0,D. Sharpe misses 2-pt layup from 1 ft,16-24, ,,1,24,16,8,551.0
2:49.0,Offensive rebound by Team,16-24, ,,1,24,16,8,551.0
2:44.0,Jump ball: R. O'Neale vs. A. Thompson (D. Smith gains possession),16-24,,,1,24,16,8,556.0
2:40.0,D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by D. Smith),19-24, ,,1,24,19,5,560.0
2:21.0, ,19-26,B. Bogdanović makes 2-pt jump shot from 16 ft,,1,26,19,7,579.0
2:11.0,C. Thomas makes 2-pt jump shot from 10 ft,21-26, ,,1,26,21,5,589.0
1:56.0, ,21-28,A. Burks makes 2-pt jump shot from 7 ft,,1,28,21,7,604.0
1:56.0, ,21-28,J. Ivey enters the game for M. Sasser,,1,28,21,7,604.0
1:33.0,C. Thomas makes 2-pt jump shot from 16 ft (assist by D. Finney-Smith),23-28, ,,1,28,23,5,627.0
1:21.0, ,23-28,Shooting foul by D. Smith (drawn by J. Ivey),,1,28,23,5,639.0
1:21.0, ,23-28,J. Ivey misses free throw 1 of 2,,1,28,23,5,639.0
1:21.0, ,23-28,Offensive rebound by Team,,1,28,23,5,639.0
1:21.0, ,23-29,J. Ivey makes free throw 2 of 2,,1,29,23,6,639.0
1:08.0,C. Thomas misses 2-pt jump shot from 9 ft (block by A. Thompson),23-29, ,,1,29,23,6,652.0
1:08.0, ,23-29,Defensive rebound by Team,,1,29,23,6,652.0
0:57.0, ,23-29,Turnover by B. Bogdanović (lost ball; steal by D. Smith),,1,29,23,6,663.0
0:52.0,Turnover by D. Smith (traveling),23-29, ,,1,29,23,6,668.0
0:36.0, ,23-29,B. Bogdanović misses 3-pt jump shot from 25 ft,,1,29,23,6,684.0
0:34.0,Defensive rebound by D. Sharpe,23-29, ,,1,29,23,6,686.0
0:23.0,C. Thomas makes 2-pt jump shot from 18 ft (assist by D. Sharpe),25-29, ,,1,29,25,4,697.0
0:03.0, ,25-31,J. Ivey makes 2-pt layup from 1 ft,,1,31,25,6,717.0
0:01.0,Turnover by C. Thomas (lost ball; steal by A. Thompson),25-31, ,,1,31,25,6,719.0
0:01.0, ,25-31,A. Thompson misses 2-pt jump shot from 13 ft,,1,31,25,6,719.0
0:01.0,Defensive rebound by D. Smith,25-31, ,,1,31,25,6,719.0
0:00.0,End of 1st quarter,25-31,,,1,31,25,6,720.0
12:00.0,Start of 2nd quarter,25-31,,,2,31,25,6,720.0
11:37.0,D. Smith makes 2-pt jump shot from 8 ft,27-31, ,,2,31,27,4,743.0
11:20.0, ,27-31,B. Bogdanović misses 2-pt jump shot from 18 ft,,2,31,27,4,760.0
11:18.0,Defensive rebound by D. Sharpe,27-31, ,,2,31,27,4,762.0
11:11.0,D. Smith misses 3-pt jump shot from 26 ft,27-31, ,,2,31,27,4,769.0
11:08.0, ,27-31,Defensive rebound by A. Burks,,2,31,27,4,772.0
10:55.0, ,27-31,I. Stewart misses 2-pt hook shot from 2 ft,,2,31,27,4,785.0
10:48.0, ,27-31,Offensive rebound by J. Duren,,2,31,27,4,792.0
10:48.0, ,27-33,J. Duren makes 2-pt layup at rim,,2,33,27,6,792.0
10:37.0,M. Bridges misses 3-pt jump shot from 26 ft,27-33, ,,2,33,27,6,803.0
10:33.0, ,27-33,Defensive rebound by I. Stewart,,2,33,27,6,807.0
10:18.0, ,27-33,Turnover by B. Bogdanović (lost ball; steal by D. Sharpe),,2,33,27,6,822.0
10:18.0,S. Dinwiddie enters the game for D. Smith,27-33, ,,2,33,27,6,822.0
10:03.0,M. Bridges misses 2-pt jump shot from 9 ft,27-33, ,,2,33,27,6,837.0
10:01.0, ,27-33,Defensive rebound by B. Bogdanović,,2,33,27,6,839.0
9:54.0, ,27-33,Turnover by J. Ivey (bad pass),,2,33,27,6,846.0
9:54.0, ,27-33,Loose ball foul by J. Ivey (drawn by D. Finney-Smith),,2,33,27,6,846.0
9:54.0,N. Claxton enters the game for D. Sharpe,27-33, ,,2,33,27,6,846.0
9:42.0,R. O'Neale makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),30-33, ,,2,33,30,3,858.0
9:19.0, ,30-36,A. Burks makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),,2,36,30,6,881.0
8:59.0,N. Claxton makes 2-pt layup from 4 ft (assist by R. O'Neale),32-36, ,,2,36,32,4,901.0
8:59.0,Shooting foul by A. Burks (drawn by N. Claxton),32-36, ,,2,36,32,4,901.0
8:59.0,N. Claxton misses free throw 1 of 1,32-36, ,,2,36,32,4,901.0
8:56.0, ,32-36,Defensive rebound by I. Stewart,,2,36,32,4,904.0
8:45.0, ,32-36,J. Ivey misses 3-pt jump shot from 26 ft,,2,36,32,4,915.0
8:42.0,Defensive rebound by N. Claxton,32-36, ,,2,36,32,4,918.0
8:36.0,Shooting foul by B. Bogdanović (drawn by S. Dinwiddie),32-36, ,,2,36,32,4,924.0
8:36.0,S. Dinwiddie makes free throw 1 of 2,33-36, ,,2,36,33,3,924.0
8:36.0, ,33-36,C. Cunningham enters the game for J. Ivey,,2,36,33,3,924.0
8:36.0,S. Dinwiddie misses free throw 2 of 2,33-36, ,,2,36,33,3,924.0
8:34.0, ,33-36,Defensive rebound by J. Duren,,2,36,33,3,926.0
8:22.0, ,33-38,B. Bogdanović makes 2-pt jump shot from 14 ft (assist by J. Duren),,2,38,33,5,938.0
7:57.0,R. O'Neale makes 2-pt layup from 7 ft,35-38, ,,2,38,35,3,963.0
7:45.0, ,35-38,J. Duren misses 2-pt layup from 3 ft,,2,38,35,3,975.0
7:43.0,Defensive rebound by R. O'Neale,35-38, ,,2,38,35,3,977.0
7:39.0,M. Bridges makes 2-pt jump shot from 18 ft (assist by R. O'Neale),37-38, ,,2,38,37,1,981.0
7:15.0, ,37-38,B. Bogdanović misses 3-pt jump shot from 23 ft,,2,38,37,1,1005.0
7:12.0,Defensive rebound by N. Claxton,37-38, ,,2,38,37,1,1008.0
7:03.0,M. Bridges makes 2-pt jump shot from 8 ft,39-38, ,Lead change,2,38,39,-1,1017.0
6:45.0, ,39-38,Turnover by C. Cunningham (lost ball; steal by D. Finney-Smith),,2,38,39,-1,1035.0
6:38.0,D. Finney-Smith misses 2-pt layup from 5 ft,39-38, ,,2,38,39,-1,1042.0
6:35.0, ,39-38,Defensive rebound by A. Burks,,2,38,39,-1,1045.0
6:31.0, ,39-38,Turnover by A. Burks (bad pass; steal by S. Dinwiddie),,2,38,39,-1,1049.0
6:25.0,D. Finney-Smith misses 3-pt jump shot from 28 ft,39-38, ,,2,38,39,-1,1055.0
6:23.0,Offensive rebound by S. Dinwiddie,39-38, ,,2,38,39,-1,1057.0
6:20.0,R. O'Neale makes 3-pt jump shot from 27 ft (assist by S. Dinwiddie),42-38, ,,2,38,42,-4,1060.0
6:19.0, ,42-38,Detroit full timeout,,2,38,42,-4,1061.0
6:19.0, ,42-38,J. Ivey enters the game for B. Bogdanović,,2,38,42,-4,1061.0
6:19.0, ,42-38,K. Knox enters the game for A. Burks,,2,38,42,-4,1061.0
6:03.0, ,42-41,I. Stewart makes 3-pt jump shot from 23 ft (assist by C. Cunningham),,2,41,42,-1,1077.0
5:42.0,R. O'Neale misses 2-pt layup from 9 ft (block by J. Ivey),42-41, ,,2,41,42,-1,1098.0
5:39.0,Offensive rebound by N. Claxton,42-41, ,,2,41,42,-1,1101.0
5:38.0,D. Finney-Smith misses 3-pt jump shot from 26 ft,42-41, ,,2,41,42,-1,1102.0
5:35.0,Offensive rebound by N. Claxton,42-41, ,,2,41,42,-1,1105.0
5:30.0,N. Claxton makes 2-pt layup from 2 ft,44-41, ,,2,41,44,-3,1110.0
5:13.0, ,44-43,C. Cunningham makes 2-pt layup from 3 ft,,2,43,44,-1,1127.0
5:06.0,Shooting foul by J. Ivey (drawn by S. Dinwiddie),44-43, ,,2,43,44,-1,1134.0
5:06.0,S. Dinwiddie misses free throw 1 of 2,44-43, ,,2,43,44,-1,1134.0
5:06.0,Offensive rebound by Team,44-43, ,,2,43,44,-1,1134.0
5:06.0,C. Johnson enters the game for R. O'Neale,44-43, ,,2,43,44,-1,1134.0
5:06.0, ,44-43,A. Thompson enters the game for J. Duren,,2,43,44,-1,1134.0
5:06.0, ,44-43,J. Wiseman enters the game for J. Ivey,,2,43,44,-1,1134.0
5:06.0,S. Dinwiddie makes free throw 2 of 2,45-43, ,,2,43,45,-2,1134.0
4:53.0, ,45-43,C. Cunningham misses 2-pt jump shot from 8 ft,,2,43,45,-2,1147.0
4:52.0, ,45-43,Offensive rebound by C. Cunningham,,2,43,45,-2,1148.0
4:51.0, ,45-43,Turnover by C. Cunningham (bad pass),,2,43,45,-2,1149.0
4:29.0,C. Johnson misses 2-pt layup from 3 ft,45-43, ,,2,43,45,-2,1171.0
4:27.0, ,45-43,Defensive rebound by K. Knox,,2,43,45,-2,1173.0
4:24.0, ,45-45,K. Knox makes 2-pt layup from 2 ft,Tie,2,45,45,0,1176.0
4:24.0, ,45-45,Shooting foul by D. Finney-Smith (drawn by K. Knox),,2,45,45,0,1176.0
4:24.0,C. Thomas enters the game for D. Finney-Smith,45-45, ,,2,45,45,0,1176.0
4:24.0, ,45-45,A. Burks enters the game for I. Stewart,,2,45,45,0,1176.0
4:24.0, ,45-46,K. Knox makes free throw 1 of 1,Lead change,2,46,45,1,1176.0
4:10.0,Shooting foul by C. Cunningham (drawn by M. Bridges),45-46, ,,2,46,45,1,1190.0
4:10.0,M. Bridges makes free throw 1 of 2,46-46, ,Tie,2,46,46,0,1190.0
4:10.0, ,46-46,M. Sasser enters the game for C. Cunningham,,2,46,46,0,1190.0
4:10.0,M. Bridges makes free throw 2 of 2,47-46, ,Lead change,2,46,47,-1,1190.0
3:53.0, ,47-46,K. Knox misses 2-pt dunk from 3 ft (block by N. Claxton),,2,46,47,-1,1207.0
3:50.0,Defensive rebound by N. Claxton,47-46, ,,2,46,47,-1,1210.0
3:48.0,N. Claxton makes 2-pt dunk from 1 ft (assist by S. Dinwiddie),49-46, ,,2,46,49,-3,1212.0
3:31.0, ,49-46,Personal foul by S. Dinwiddie (drawn by A. Burks),,2,46,49,-3,1229.0
3:31.0,D. Smith enters the game for S. Dinwiddie,49-46, ,,2,46,49,-3,1229.0
3:26.0, ,49-46,Shooting foul by D. Smith (drawn by A. Burks),,2,46,49,-3,1234.0
3:26.0, ,49-47,A. Burks makes free throw 1 of 2,,2,47,49,-2,1234.0
3:26.0, ,49-47,B. Bogdanović enters the game for A. Thompson,,2,47,49,-2,1234.0
3:26.0, ,49-48,A. Burks makes free throw 2 of 2,,2,48,49,-1,1234.0
3:11.0,C. Johnson makes 2-pt jump shot from 17 ft,51-48, ,,2,48,51,-3,1249.0
2:55.0, ,51-50,A. Burks makes 2-pt jump shot from 7 ft,,2,50,51,-1,1265.0
2:44.0,Personal foul by K. Knox (drawn by M. Bridges),51-50, ,,2,50,51,-1,1276.0
2:44.0,Brooklyn full timeout,51-50, ,,2,50,51,-1,1276.0
2:44.0,M. Bridges makes free throw 1 of 2,52-50, ,,2,50,52,-2,1276.0
2:44.0,M. Bridges misses free throw 2 of 2,52-50, ,,2,50,52,-2,1276.0
2:41.0, ,52-50,Defensive rebound by K. Knox,,2,50,52,-2,1279.0
2:26.0, ,52-50,M. Sasser misses 3-pt jump shot from 25 ft,,2,50,52,-2,1294.0
2:22.0,Defensive rebound by N. Claxton,52-50, ,,2,50,52,-2,1298.0
2:11.0,D. Smith makes 2-pt layup from 5 ft,54-50, ,,2,50,54,-4,1309.0
2:11.0, ,54-50,Violation by Team (def goaltending),,2,50,54,-4,1309.0
1:59.0, ,54-50,A. Burks misses 3-pt jump shot from 25 ft,,2,50,54,-4,1321.0
1:56.0,Defensive rebound by N. Claxton,54-50, ,,2,50,54,-4,1324.0
1:49.0,N. Claxton makes 2-pt dunk from 2 ft (assist by D. Smith),56-50, ,,2,50,56,-6,1331.0
1:49.0,Violation by Team (delay of game),56-50, ,,2,50,56,-6,1331.0
1:42.0, ,56-50,Offensive foul by J. Wiseman (drawn by N. Claxton),,2,50,56,-6,1338.0
1:42.0, ,56-50,Turnover by J. Wiseman (offensive foul),,2,50,56,-6,1338.0
1:42.0, ,56-50,J. Duren enters the game for K. Knox,,2,50,56,-6,1338.0
1:42.0, ,56-50,I. Stewart enters the game for J. Wiseman,,2,50,56,-6,1338.0
1:30.0,C. Johnson makes 3-pt jump shot from 27 ft (assist by N. Claxton),59-50, ,,2,50,59,-9,1350.0
1:15.0, ,59-50,B. Bogdanović misses 2-pt layup from 3 ft (block by N. Claxton),,2,50,59,-9,1365.0
1:13.0,Defensive rebound by C. Johnson,59-50, ,,2,50,59,-9,1367.0
1:07.0,C. Thomas misses 2-pt layup from 4 ft,59-50, ,,2,50,59,-9,1373.0
1:05.0, ,59-50,Defensive rebound by I. Stewart,,2,50,59,-9,1375.0
1:03.0, ,59-50,A. Burks misses 2-pt layup from 2 ft,,2,50,59,-9,1377.0
1:02.0, ,59-50,Offensive rebound by J. Duren,,2,50,59,-9,1378.0
1:02.0, ,59-52,J. Duren makes 2-pt layup at rim,,2,52,59,-7,1378.0
0:46.0,C. Johnson misses 2-pt jump shot from 11 ft,59-52, ,,2,52,59,-7,1394.0
0:43.0, ,59-52,Defensive rebound by A. Burks,,2,52,59,-7,1397.0
0:38.0, ,59-52,J. Duren misses 2-pt layup from 2 ft,,2,52,59,-7,1402.0
0:37.0, ,59-52,Offensive rebound by A. Burks,,2,52,59,-7,1403.0
0:36.0, ,59-52,Shooting foul by C. Thomas (drawn by A. Burks),,2,52,59,-7,1404.0
0:36.0, ,59-53,A. Burks makes free throw 1 of 2,,2,53,59,-6,1404.0
0:36.0, ,59-53,A. Thompson enters the game for M. Sasser,,2,53,59,-6,1404.0
0:36.0, ,59-54,A. Burks makes free throw 2 of 2,,2,54,59,-5,1404.0
0:24.0,C. Johnson makes 2-pt jump shot from 12 ft,61-54, ,,2,54,61,-7,1416.0
0:02.0, ,61-54,A. Thompson misses 2-pt hook shot from 1 ft,,2,54,61,-7,1438.0
0:01.0, ,61-54,Offensive rebound by J. Duren,,2,54,61,-7,1439.0
0:00.0, ,61-54,J. Duren misses 2-pt layup from 1 ft,,2,54,61,-7,1440.0
0:00.0, ,61-54,Offensive rebound by Team,,2,54,61,-7,1440.0
0:00.0,End of 2nd quarter,61-54,,,2,54,61,-7,1440.0
12:00.0,Start of 3rd quarter,61-54,,,3,54,61,-7,1440.0
11:45.0,C. Johnson makes 2-pt jump shot from 19 ft (assist by M. Bridges),63-54, ,,3,54,63,-9,1455.0
11:19.0, ,63-54,Turnover by Team (shot clock),,3,54,63,-9,1481.0
11:05.0, ,63-54,Violation by Team (kicked ball),,3,54,63,-9,1495.0
10:56.0,C. Thomas misses 2-pt jump shot from 11 ft,63-54, ,,3,54,63,-9,1504.0
10:55.0, ,63-54,Defensive rebound by I. Stewart,,3,54,63,-9,1505.0
10:45.0, ,63-56,C. Cunningham makes 2-pt layup from 2 ft,,3,56,63,-7,1515.0
10:45.0, ,63-56,Shooting foul by C. Thomas (drawn by C. Cunningham),,3,56,63,-7,1515.0
10:45.0, ,63-57,C. Cunningham makes free throw 1 of 1,,3,57,63,-6,1515.0
10:32.0,Personal foul by B. Bogdanović (drawn by N. Claxton),63-57, ,,3,57,63,-6,1528.0
10:25.0,S. Dinwiddie makes 2-pt layup from 3 ft (assist by N. Claxton),65-57, ,,3,57,65,-8,1535.0
10:07.0, ,65-57,C. Cunningham misses 2-pt jump shot from 6 ft,,3,57,65,-8,1553.0
10:04.0,Defensive rebound by N. Claxton,65-57, ,,3,57,65,-8,1556.0
9:59.0,N. Claxton makes 2-pt hook shot from 4 ft,67-57, ,,3,57,67,-10,1561.0
9:52.0, ,67-57,Shooting foul by C. Thomas (drawn by J. Ivey),,3,57,67,-10,1568.0
9:52.0, ,67-57,J. Ivey misses free throw 1 of 2,,3,57,67,-10,1568.0
9:52.0, ,67-57,Offensive rebound by Team,,3,57,67,-10,1568.0
9:52.0, ,67-57,J. Ivey misses free throw 2 of 2,,3,57,67,-10,1568.0
9:50.0, ,67-57,Offensive rebound by I. Stewart,,3,57,67,-10,1570.0
9:49.0, ,67-57,I. Stewart misses 2-pt layup from 3 ft (block by N. Claxton),,3,57,67,-10,1571.0
9:46.0,Defensive rebound by S. Dinwiddie,67-57, ,,3,57,67,-10,1574.0
9:34.0,S. Dinwiddie misses 2-pt jump shot from 4 ft,67-57, ,,3,57,67,-10,1586.0
9:31.0, ,67-57,Defensive rebound by I. Stewart,,3,57,67,-10,1589.0
9:28.0, ,67-60,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by I. Stewart),,3,60,67,-7,1592.0
9:08.0,M. Bridges makes 2-pt jump shot from 12 ft,69-60, ,,3,60,69,-9,1612.0
8:54.0, ,69-60,B. Bogdanović misses 3-pt jump shot from 26 ft,,3,60,69,-9,1626.0
8:51.0, ,69-60,Offensive rebound by I. Stewart,,3,60,69,-9,1629.0
8:49.0, ,69-60,I. Stewart misses 2-pt hook shot from 3 ft,,3,60,69,-9,1631.0
8:43.0,Defensive rebound by N. Claxton,69-60, ,,3,60,69,-9,1637.0
8:35.0,C. Johnson makes 2-pt jump shot from 8 ft,71-60, ,,3,60,71,-11,1645.0
8:14.0, ,71-63,C. Cunningham makes 3-pt jump shot from 27 ft (assist by J. Ivey),,3,63,71,-8,1666.0
8:00.0,S. Dinwiddie misses 3-pt jump shot from 24 ft,71-63, ,,3,63,71,-8,1680.0
7:58.0, ,71-63,Defensive rebound by J. Ivey,,3,63,71,-8,1682.0
7:39.0, ,71-65,C. Cunningham makes 2-pt jump shot from 11 ft,,3,65,71,-6,1701.0
7:25.0,Turnover by M. Bridges (lost ball; steal by J. Duren),71-65, ,,3,65,71,-6,1715.0
7:21.0, ,71-67,J. Ivey makes 2-pt dunk at rim (assist by J. Duren),,3,67,71,-4,1719.0
7:08.0,Turnover by M. Bridges (step out of bounds),71-67, ,,3,67,71,-4,1732.0
