Time,Detroit,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:07.0,Offensive rebound by J. Duren,42-51, ,,2,42,51,-9,1073.0
6:07.0,J. Duren makes 2-pt dunk from 3 ft,44-51, ,,2,44,51,-7,1073.0
5:52.0, ,44-51,Turnover by O. Robinson (bad pass),,2,44,51,-7,1088.0
5:52.0, ,44-51,Miami full timeout,,2,44,51,-7,1088.0
5:52.0,C. Cunningham enters the game for M. Sasser,44-51, ,,2,44,51,-7,1088.0
5:52.0, ,44-51,B. Adebayo enters the game for D. Robinson,,2,44,51,-7,1088.0
5:52.0, ,44-51,T. Rozier enters the game for O. Robinson,,2,44,51,-7,1088.0
5:32.0,S. Fontecchio misses 3-pt jump shot from 25 ft,44-51, ,,2,44,51,-7,1108.0
5:28.0, ,44-51,Defensive rebound by T. Rozier,,2,44,51,-7,1112.0
5:15.0, ,44-53,T. Rozier makes 2-pt jump shot from 21 ft,,2,44,53,-9,1125.0
4:57.0,J. Duren makes 2-pt dunk from 4 ft (assist by S. Fontecchio),46-53, ,,2,46,53,-7,1143.0
4:37.0, ,46-53,B. Adebayo misses 2-pt layup from 4 ft,,2,46,53,-7,1163.0
4:34.0,Defensive rebound by J. Duren,46-53, ,,2,46,53,-7,1166.0
4:25.0,I. Stewart makes 2-pt layup from 4 ft,48-53, ,,2,48,53,-5,1175.0
3:56.0, ,48-53,C. Martin misses 2-pt layup from 9 ft,,2,48,53,-5,1204.0
3:56.0,Defensive rebound by I. Stewart,48-53, ,,2,48,53,-5,1204.0
3:51.0,Shooting foul by J. Jaquez (drawn by A. Thompson),48-53, ,,2,48,53,-5,1209.0
3:51.0,A. Thompson misses free throw 1 of 2,48-53, ,,2,48,53,-5,1209.0
3:51.0,Offensive rebound by Team,48-53, ,,2,48,53,-5,1209.0
3:51.0,J. Ivey enters the game for S. Fontecchio,48-53, ,,2,48,53,-5,1209.0
3:51.0, ,48-53,H. Highsmith enters the game for J. Butler,,2,48,53,-5,1209.0
3:51.0, ,48-53,D. Robinson enters the game for C. Martin,,2,48,53,-5,1209.0
3:51.0,A. Thompson makes free throw 2 of 2,49-53, ,,2,49,53,-4,1209.0
3:40.0, ,49-55,B. Adebayo makes 2-pt dunk from 3 ft (assist by T. Rozier),,2,49,55,-6,1220.0
3:23.0,Shooting foul by H. Highsmith (drawn by J. Ivey),49-55, ,,2,49,55,-6,1237.0
3:23.0,J. Ivey makes free throw 1 of 2,50-55, ,,2,50,55,-5,1237.0
3:23.0,J. Ivey makes free throw 2 of 2,51-55, ,,2,51,55,-4,1237.0
3:13.0, ,51-57,T. Rozier makes 2-pt jump shot from 19 ft,,2,51,57,-6,1247.0
2:49.0,A. Thompson makes 2-pt jump shot from 18 ft (assist by C. Cunningham),53-57, ,,2,53,57,-4,1271.0
2:34.0, ,53-57,T. Rozier misses 2-pt jump shot from 12 ft,,2,53,57,-4,1286.0
2:30.0,Defensive rebound by J. Ivey,53-57, ,,2,53,57,-4,1290.0
2:21.0,C. Cunningham misses 2-pt jump shot from 14 ft,53-57, ,,2,53,57,-4,1299.0
2:20.0, ,53-57,Defensive rebound by D. Robinson,,2,53,57,-4,1300.0
2:09.0, ,53-57,H. Highsmith misses 3-pt jump shot from 23 ft,,2,53,57,-4,1311.0
2:09.0, ,53-57,Offensive rebound by Team,,2,53,57,-4,1311.0
2:09.0,Detroit full timeout,53-57, ,,2,53,57,-4,1311.0
2:09.0, ,53-57,J. Butler enters the game for H. Highsmith,,2,53,57,-4,1311.0
2:09.0, ,53-57,N. Jović enters the game for J. Jaquez,,2,53,57,-4,1311.0
1:57.0, ,53-57,J. Butler misses 2-pt layup from 3 ft,,2,53,57,-4,1323.0
1:55.0,Defensive rebound by C. Cunningham,53-57, ,,2,53,57,-4,1325.0
1:52.0,A. Thompson misses 2-pt layup from 6 ft,53-57, ,,2,53,57,-4,1328.0
1:49.0, ,53-57,Defensive rebound by N. Jović,,2,53,57,-4,1331.0
1:47.0, ,53-59,J. Butler makes 2-pt dunk from 4 ft (assist by T. Rozier),,2,53,59,-6,1333.0
1:31.0,J. Duren makes 2-pt dunk from 3 ft (assist by C. Cunningham),55-59, ,,2,55,59,-4,1349.0
1:11.0, ,55-61,D. Robinson makes 2-pt jump shot from 7 ft (assist by J. Butler),,2,55,61,-6,1369.0
0:54.0,J. Duren makes 2-pt dunk from 4 ft,57-61, ,,2,57,61,-4,1386.0
0:42.0, ,57-61,B. Adebayo misses 2-pt jump shot from 7 ft,,2,57,61,-4,1398.0
0:39.0,Defensive rebound by C. Cunningham,57-61, ,,2,57,61,-4,1401.0
0:31.0,C. Cunningham makes 3-pt jump shot from 25 ft,60-61, ,,2,60,61,-1,1409.0
0:16.0, ,60-61,N. Jović misses 3-pt jump shot from 23 ft,,2,60,61,-1,1424.0
0:10.0,Defensive rebound by J. Duren,60-61, ,,2,60,61,-1,1430.0
0:02.0,Turnover by J. Ivey (out of bounds lost ball),60-61, ,,2,60,61,-1,1438.0
0:00.0,Instant Replay,60-61, ,,2,60,61,-1,1440.0
0:00.0,End of 2nd quarter,60-61,,,2,60,61,-1,1440.0
12:00.0,Start of 3rd quarter,60-61,,,3,60,61,-1,1440.0
11:41.0,I. Stewart misses 2-pt hook shot from 6 ft,60-61, ,,3,60,61,-1,1459.0
11:40.0,Offensive rebound by I. Stewart,60-61, ,,3,60,61,-1,1460.0
11:38.0,I. Stewart makes 2-pt layup from 3 ft,62-61, ,Lead change,3,62,61,1,1462.0
11:19.0, ,62-61,T. Rozier misses 2-pt jump shot from 8 ft,,3,62,61,1,1481.0
11:16.0,Defensive rebound by I. Stewart,62-61, ,,3,62,61,1,1484.0
11:11.0,C. Cunningham makes 3-pt jump shot from 26 ft (assist by A. Thompson),65-61, ,,3,65,61,4,1489.0
10:54.0, ,65-63,B. Adebayo makes 2-pt jump shot from 7 ft (assist by T. Rozier),,3,65,63,2,1506.0
10:37.0,J. Ivey misses 3-pt jump shot from 26 ft,65-63, ,,3,65,63,2,1523.0
10:34.0, ,65-63,Defensive rebound by N. Jović,,3,65,63,2,1526.0
10:30.0, ,65-63,N. Jović misses 2-pt layup from 6 ft (block by A. Thompson),,3,65,63,2,1530.0
10:30.0,Defensive rebound by J. Ivey,65-63, ,,3,65,63,2,1530.0
10:17.0,I. Stewart makes 2-pt dunk from 3 ft (assist by J. Ivey),67-63, ,,3,67,63,4,1543.0
9:57.0, ,67-65,B. Adebayo makes 2-pt jump shot from 6 ft (assist by D. Robinson),,3,67,65,2,1563.0
9:40.0,J. Duren makes 2-pt dunk from 4 ft (assist by C. Cunningham),69-65, ,,3,69,65,4,1580.0
9:24.0, ,69-67,B. Adebayo makes 2-pt jump shot from 12 ft,,3,69,67,2,1596.0
9:08.0,A. Thompson misses 3-pt jump shot from 23 ft,69-67, ,,3,69,67,2,1612.0
9:06.0, ,69-67,Defensive rebound by D. Robinson,,3,69,67,2,1614.0
8:45.0, ,69-67,Shooting foul by C. Cunningham (drawn by J. Butler),,3,69,67,2,1635.0
8:45.0, ,69-68,J. Butler makes free throw 1 of 2,,3,69,68,1,1635.0
8:45.0, ,69-69,J. Butler makes free throw 2 of 2,Tie,3,69,69,0,1635.0
8:31.0,C. Cunningham misses 2-pt layup from 6 ft,69-69, ,,3,69,69,0,1649.0
8:29.0, ,69-69,Defensive rebound by B. Adebayo,,3,69,69,0,1651.0
8:17.0, ,69-72,T. Rozier makes 3-pt jump shot from 25 ft (assist by J. Butler),Lead change,3,69,72,-3,1663.0
8:02.0,Turnover by J. Duren (lost ball; steal by N. Jović),69-72, ,,3,69,72,-3,1678.0
7:59.0, ,69-72,J. Butler misses 2-pt layup from 4 ft (block by J. Ivey),,3,69,72,-3,1681.0
7:59.0, ,69-72,Offensive rebound by Team,,3,69,72,-3,1681.0
7:55.0, ,69-75,D. Robinson makes 3-pt jump shot from 24 ft (assist by T. Rozier),,3,69,75,-6,1685.0
7:32.0,Turnover by J. Duren (bad pass; steal by D. Robinson),69-75, ,,3,69,75,-6,1708.0
7:27.0, ,69-77,B. Adebayo makes 2-pt dunk from 4 ft (assist by D. Robinson),,3,69,77,-8,1713.0
