Time,Detroit,Score,Washington,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:29.0,Defensive rebound by C. Cunningham,13-8, ,,1,13,8,5,271.0
7:24.0,J. Ivey misses 3-pt jump shot from 27 ft,13-8, ,,1,13,8,5,276.0
7:19.0, ,13-8,Defensive rebound by D. Avdija,,1,13,8,5,281.0
7:14.0, ,13-10,C. Kispert makes 2-pt layup from 3 ft (assist by D. Avdija),,1,13,10,3,286.0
7:04.0,C. Cunningham misses 3-pt jump shot from 26 ft,13-10, ,,1,13,10,3,296.0
7:01.0, ,13-10,Defensive rebound by C. Kispert,,1,13,10,3,299.0
6:53.0, ,13-10,D. Avdija misses 3-pt jump shot from 23 ft,,1,13,10,3,307.0
6:51.0,Defensive rebound by J. Duren,13-10, ,,1,13,10,3,309.0
6:48.0,Shooting foul by C. Kispert (drawn by T. Brown),13-10, ,,1,13,10,3,312.0
6:48.0, ,13-10,Washington full timeout,,1,13,10,3,312.0
6:48.0, ,13-10,J. Davis enters the game for D. Avdija,,1,13,10,3,312.0
6:48.0, ,13-10,A. Gill enters the game for M. Bagley,,1,13,10,3,312.0
6:48.0,T. Brown misses free throw 1 of 2,13-10, ,,1,13,10,3,312.0
6:48.0,Offensive rebound by Team,13-10, ,,1,13,10,3,312.0
6:48.0,T. Brown makes free throw 2 of 2,14-10, ,,1,14,10,4,312.0
6:37.0, ,14-10,Turnover by C. Kispert (bad pass),,1,14,10,4,323.0
6:20.0,Shooting foul by A. Gill (drawn by T. Evbuomwan),14-10, ,,1,14,10,4,340.0
6:20.0,T. Evbuomwan makes free throw 1 of 2,15-10, ,,1,15,10,5,340.0
6:20.0,T. Evbuomwan makes free throw 2 of 2,16-10, ,,1,16,10,6,340.0
6:04.0, ,16-10,K. Kuzma misses 2-pt jump shot from 14 ft,,1,16,10,6,356.0
6:02.0,Defensive rebound by C. Cunningham,16-10, ,,1,16,10,6,358.0
5:57.0,J. Duren misses 2-pt dunk from 3 ft,16-10, ,,1,16,10,6,363.0
5:55.0,Offensive rebound by T. Evbuomwan,16-10, ,,1,16,10,6,365.0
5:53.0,J. Ivey misses 3-pt jump shot from 24 ft,16-10, ,,1,16,10,6,367.0
5:53.0,Offensive rebound by J. Duren,16-10, ,,1,16,10,6,367.0
5:47.0,J. Duren makes 2-pt dunk from 3 ft,18-10, ,,1,18,10,8,373.0
5:39.0, ,18-13,C. Kispert makes 3-pt jump shot from 32 ft (assist by J. Poole),,1,18,13,5,381.0
5:28.0,Turnover by J. Duren (bad pass),18-13, ,,1,18,13,5,392.0
5:28.0,C. Metu enters the game for T. Brown,18-13, ,,1,18,13,5,392.0
5:13.0, ,18-13,Personal foul by C. Cunningham (drawn by J. Poole),,1,18,13,5,407.0
5:13.0, ,18-13,Personal foul by J. Duren (drawn by J. Poole),,1,18,13,5,407.0
5:02.0, ,18-13,A. Gill misses 2-pt layup from 4 ft,,1,18,13,5,418.0
4:58.0, ,18-13,Offensive rebound by A. Gill,,1,18,13,5,422.0
4:58.0, ,18-13,A. Gill misses 2-pt layup at rim,,1,18,13,5,422.0
4:57.0,Defensive rebound by J. Ivey,18-13, ,,1,18,13,5,423.0
4:54.0,Personal foul by A. Gill (drawn by J. Ivey),18-13, ,,1,18,13,5,426.0
4:49.0,C. Metu misses 3-pt jump shot from 26 ft,18-13, ,,1,18,13,5,431.0
4:45.0, ,18-13,Defensive rebound by C. Kispert,,1,18,13,5,435.0
4:38.0, ,18-13,J. Davis misses 3-pt jump shot from 23 ft,,1,18,13,5,442.0
4:36.0,Defensive rebound by J. Duren,18-13, ,,1,18,13,5,444.0
4:32.0,Turnover by C. Cunningham (out of bounds lost ball),18-13, ,,1,18,13,5,448.0
4:15.0, ,18-13,A. Gill misses 2-pt jump shot from 13 ft,,1,18,13,5,465.0
4:13.0,Defensive rebound by C. Metu,18-13, ,,1,18,13,5,467.0
4:06.0,J. Ivey makes 2-pt layup from 2 ft,20-13, ,,1,20,13,7,474.0
3:49.0, ,20-16,C. Kispert makes 3-pt jump shot from 28 ft (assist by K. Kuzma),,1,20,16,4,491.0
3:38.0,C. Cunningham misses 2-pt layup from 5 ft (block by J. Poole),20-16, ,,1,20,16,4,502.0
3:35.0, ,20-16,Defensive rebound by K. Kuzma,,1,20,16,4,505.0
