Time,Detroit,Score,Washington,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:13.0, ,12-8,D. Avdija makes 3-pt jump shot from 29 ft (assist by J. Poole),,1,12,8,4,287.0
6:54.0,I. Stewart makes 2-pt layup from 1 ft (assist by J. Duren),14-8, ,,1,14,8,6,306.0
6:54.0, ,14-8,Washington full timeout,,1,14,8,6,306.0
6:54.0, ,14-8,B. Coulibaly enters the game for D. Avdija,,1,14,8,6,306.0
6:37.0, ,14-8,T. Jones misses 3-pt jump shot from 23 ft,,1,14,8,6,323.0
6:33.0,Defensive rebound by J. Duren,14-8, ,,1,14,8,6,327.0
6:22.0,Turnover by J. Ivey (bad pass; steal by K. Kuzma),14-8, ,,1,14,8,6,338.0
6:17.0, ,14-10,T. Jones makes 2-pt layup from 1 ft (assist by K. Kuzma),,1,14,10,4,343.0
6:07.0,Offensive foul by J. Duren (drawn by D. Gafford),14-10, ,,1,14,10,4,353.0
6:07.0,Turnover by J. Duren (offensive foul),14-10, ,,1,14,10,4,353.0
6:07.0,J. Wiseman enters the game for J. Duren,14-10, ,,1,14,10,4,353.0
5:56.0, ,14-12,J. Poole makes 2-pt jump shot from 11 ft,,1,14,12,2,364.0
5:43.0,K. Knox misses 2-pt jump shot from 14 ft,14-12, ,,1,14,12,2,377.0
5:40.0, ,14-12,Defensive rebound by T. Jones,,1,14,12,2,380.0
5:37.0, ,14-12,J. Poole misses 3-pt jump shot from 28 ft,,1,14,12,2,383.0
5:34.0, ,14-12,Offensive rebound by B. Coulibaly,,1,14,12,2,386.0
5:31.0, ,14-15,T. Jones makes 3-pt jump shot from 23 ft (assist by D. Gafford),Lead change,1,14,15,-1,389.0
5:18.0,I. Stewart misses 3-pt jump shot from 26 ft,14-15, ,,1,14,15,-1,402.0
5:16.0, ,14-15,Defensive rebound by Team,,1,14,15,-1,404.0
5:16.0,Loose ball foul by J. Wiseman (drawn by D. Gafford),14-15, ,,1,14,15,-1,404.0
5:16.0,A. Burks enters the game for K. Hayes,14-15, ,,1,14,15,-1,404.0
5:02.0, ,14-15,K. Kuzma misses 2-pt jump shot from 10 ft,,1,14,15,-1,418.0
4:59.0,Defensive rebound by I. Stewart,14-15, ,,1,14,15,-1,421.0
4:54.0,I. Stewart misses 3-pt jump shot from 26 ft,14-15, ,,1,14,15,-1,426.0
4:49.0,Offensive rebound by J. Ivey,14-15, ,,1,14,15,-1,431.0
4:45.0,A. Burks makes 3-pt jump shot from 27 ft (assist by J. Ivey),17-15, ,Lead change,1,17,15,2,435.0
4:28.0, ,17-15,T. Jones misses 2-pt layup from 4 ft (block by J. Ivey),,1,17,15,2,452.0
4:26.0,Defensive rebound by J. Wiseman,17-15, ,,1,17,15,2,454.0
4:20.0,Shooting foul by J. Poole (drawn by A. Burks),17-15, ,,1,17,15,2,460.0
4:20.0,A. Burks makes free throw 1 of 2,18-15, ,,1,18,15,3,460.0
4:20.0,A. Thompson enters the game for K. Knox,18-15, ,,1,18,15,3,460.0
4:20.0, ,18-15,D. Wright enters the game for T. Jones,,1,18,15,3,460.0
4:20.0,A. Burks makes free throw 2 of 2,19-15, ,,1,19,15,4,460.0
4:03.0, ,19-15,K. Kuzma misses 3-pt jump shot from 27 ft,,1,19,15,4,477.0
3:58.0, ,19-15,Offensive rebound by D. Wright,,1,19,15,4,482.0
3:52.0, ,19-15,D. Gafford misses 2-pt jump shot from 11 ft,,1,19,15,4,488.0
3:48.0,Defensive rebound by A. Burks,19-15, ,,1,19,15,4,492.0
3:42.0,A. Burks misses 2-pt jump shot from 10 ft,19-15, ,,1,19,15,4,498.0
3:39.0, ,19-15,Defensive rebound by K. Kuzma,,1,19,15,4,501.0
3:34.0, ,19-17,K. Kuzma makes 2-pt jump shot from 10 ft,,1,19,17,2,506.0
3:34.0, ,19-17,Shooting foul by A. Thompson (drawn by K. Kuzma),,1,19,17,2,506.0
3:34.0, ,19-17,C. Kispert enters the game for J. Poole,,1,19,17,2,506.0
3:34.0, ,19-18,K. Kuzma makes free throw 1 of 1,,1,19,18,1,506.0
3:22.0,I. Stewart misses 3-pt jump shot from 26 ft,19-18, ,,1,19,18,1,518.0
3:21.0,Offensive rebound by J. Wiseman,19-18, ,,1,19,18,1,519.0
3:20.0,J. Wiseman misses 2-pt layup from 3 ft (block by D. Gafford),19-18, ,,1,19,18,1,520.0
3:18.0, ,19-18,Defensive rebound by K. Kuzma,,1,19,18,1,522.0
3:12.0, ,19-20,K. Kuzma makes 2-pt jump shot from 2 ft,Lead change,1,19,20,-1,528.0
3:11.0,Detroit full timeout,19-20, ,,1,19,20,-1,529.0
3:11.0,M. Sasser enters the game for J. Ivey,19-20, ,,1,19,20,-1,529.0
3:02.0,Personal foul by D. Wright (drawn by M. Sasser),19-20, ,,1,19,20,-1,538.0
2:53.0,Turnover by A. Burks (bad pass; steal by D. Gafford),19-20, ,,1,19,20,-1,547.0
2:47.0, ,19-20,C. Kispert misses 2-pt layup from 3 ft (block by M. Sasser),,1,19,20,-1,553.0
2:46.0,Defensive rebound by J. Wiseman,19-20, ,,1,19,20,-1,554.0
2:38.0,J. Wiseman makes 2-pt layup from 2 ft,21-20, ,Lead change,1,21,20,1,562.0
2:18.0, ,21-20,K. Kuzma misses 3-pt jump shot from 27 ft,,1,21,20,1,582.0
2:13.0,Defensive rebound by J. Wiseman,21-20, ,,1,21,20,1,587.0
2:08.0,A. Burks makes 3-pt jump shot from 26 ft (assist by M. Sasser),24-20, ,,1,24,20,4,592.0
1:45.0, ,24-20,K. Kuzma misses 2-pt jump shot from 18 ft,,1,24,20,4,615.0
1:42.0,Defensive rebound by M. Sasser,24-20, ,,1,24,20,4,618.0
1:33.0,A. Thompson makes 2-pt layup from 2 ft (assist by I. Stewart),26-20, ,,1,26,20,6,627.0
1:33.0,Shooting foul by C. Kispert (drawn by A. Thompson),26-20, ,,1,26,20,6,627.0
1:33.0,J. Harris enters the game for I. Stewart,26-20, ,,1,26,20,6,627.0
1:33.0, ,26-20,D. Avdija enters the game for D. Gafford,,1,26,20,6,627.0
1:33.0, ,26-20,P. Baldwin enters the game for K. Kuzma,,1,26,20,6,627.0
1:33.0,A. Thompson makes free throw 1 of 1,27-20, ,,1,27,20,7,627.0
1:21.0, ,27-20,D. Wright misses 2-pt layup from 5 ft,,1,27,20,7,639.0
1:17.0,Defensive rebound by A. Thompson,27-20, ,,1,27,20,7,643.0
1:12.0,Turnover by M. Sasser (traveling),27-20, ,,1,27,20,7,648.0
0:53.0, ,27-22,C. Kispert makes 2-pt layup from 4 ft (assist by D. Avdija),,1,27,22,5,667.0
0:38.0,J. Wiseman makes 2-pt layup from 4 ft (assist by J. Harris),29-22, ,,1,29,22,7,682.0
0:29.0, ,29-22,D. Wright misses 2-pt jump shot from 15 ft (block by J. Wiseman),,1,29,22,7,691.0
0:29.0,Defensive rebound by M. Sasser,29-22, ,,1,29,22,7,691.0
0:05.0,A. Burks misses 3-pt jump shot from 27 ft,29-22, ,,1,29,22,7,715.0
0:01.0, ,29-22,Defensive rebound by C. Kispert,,1,29,22,7,719.0
0:00.0,End of 1st quarter,29-22,,,1,29,22,7,720.0
12:00.0,Start of 2nd quarter,29-22,,,2,29,22,7,720.0
11:41.0,A. Thompson makes 2-pt layup from 2 ft (assist by M. Sasser),31-22, ,,2,31,22,9,739.0
11:27.0, ,31-25,P. Baldwin makes 3-pt jump shot from 26 ft (assist by C. Kispert),,2,31,25,6,753.0
11:10.0,M. Sasser makes 2-pt jump shot from 7 ft,33-25, ,,2,33,25,8,770.0
10:58.0, ,33-25,Turnover by D. Avdija (bad pass),,2,33,25,8,782.0
10:39.0,Turnover by J. Harris (bad pass; steal by P. Baldwin),33-25, ,,2,33,25,8,801.0
10:31.0, ,33-25,L. Shamet misses 2-pt layup from 3 ft (block by J. Wiseman),,2,33,25,8,809.0
10:29.0,Defensive rebound by A. Burks,33-25, ,,2,33,25,8,811.0
10:20.0,Personal foul by C. Kispert (drawn by A. Burks),33-25, ,,2,33,25,8,820.0
10:15.0,Personal foul by C. Kispert (drawn by A. Burks),33-25, ,,2,33,25,8,825.0
10:03.0,A. Burks misses 3-pt jump shot from 24 ft,33-25, ,,2,33,25,8,837.0
10:00.0, ,33-25,Defensive rebound by P. Baldwin,,2,33,25,8,840.0
9:54.0, ,33-25,D. Avdija misses 2-pt layup from 5 ft (block by M. Sasser),,2,33,25,8,846.0
9:54.0, ,33-25,Offensive rebound by Team,,2,33,25,8,846.0
9:54.0,J. Ivey enters the game for M. Sasser,33-25, ,,2,33,25,8,846.0
9:49.0, ,33-28,P. Baldwin makes 3-pt jump shot from 26 ft (assist by C. Kispert),,2,33,28,5,851.0
9:30.0,Turnover by J. Ivey (bad pass; steal by L. Shamet),33-28, ,,2,33,28,5,870.0
9:27.0, ,33-30,L. Shamet makes 2-pt layup from 3 ft,,2,33,30,3,873.0
9:27.0, ,33-30,Shooting foul by A. Burks (drawn by L. Shamet),,2,33,30,3,873.0
9:27.0,K. Hayes enters the game for A. Burks,33-30, ,,2,33,30,3,873.0
9:27.0, ,33-30,J. Poole enters the game for C. Kispert,,2,33,30,3,873.0
9:27.0, ,33-31,L. Shamet makes free throw 1 of 1,,2,33,31,2,873.0
9:14.0,Turnover by J. Ivey (bad pass; steal by D. Wright),33-31, ,,2,33,31,2,886.0
9:12.0, ,33-33,L. Shamet makes 2-pt layup from 1 ft (assist by D. Wright),Tie,2,33,33,0,888.0
9:12.0,Detroit full timeout,33-33, ,,2,33,33,0,888.0
9:12.0,K. Knox enters the game for J. Harris,33-33, ,,2,33,33,0,888.0
8:56.0,K. Knox misses 3-pt jump shot from 24 ft,33-33, ,,2,33,33,0,904.0
8:50.0, ,33-33,Defensive rebound by P. Baldwin,,2,33,33,0,910.0
8:42.0, ,33-35,J. Poole makes 2-pt layup from 4 ft (assist by D. Wright),Lead change,2,33,35,-2,918.0
8:31.0,Shooting foul by P. Baldwin (drawn by K. Knox),33-35, ,,2,33,35,-2,929.0
8:31.0,K. Knox makes free throw 1 of 2,34-35, ,,2,34,35,-1,929.0
8:31.0,J. Duren enters the game for J. Wiseman,34-35, ,,2,34,35,-1,929.0
8:31.0,K. Knox makes free throw 2 of 2,35-35, ,Tie,2,35,35,0,929.0
8:19.0, ,35-38,L. Shamet makes 3-pt jump shot from 26 ft (assist by D. Wright),,2,35,38,-3,941.0
8:02.0,Shooting foul by P. Baldwin (drawn by A. Thompson),35-38, ,,2,35,38,-3,958.0
8:02.0,A. Thompson makes free throw 1 of 2,36-38, ,,2,36,38,-2,958.0
8:02.0,A. Thompson misses free throw 2 of 2,36-38, ,,2,36,38,-2,958.0
7:58.0, ,36-38,Defensive rebound by P. Baldwin,,2,36,38,-2,962.0
7:42.0, ,36-41,P. Baldwin makes 3-pt jump shot from 27 ft (assist by D. Avdija),,2,36,41,-5,978.0
7:25.0,J. Ivey makes 2-pt layup from 2 ft (assist by A. Thompson),38-41, ,,2,38,41,-3,995.0
7:19.0, ,38-41,Personal foul by A. Thompson (drawn by J. Poole),,2,38,41,-3,1001.0
7:19.0, ,38-41,T. Jones enters the game for D. Wright,,2,38,41,-3,1001.0
7:12.0, ,38-41,L. Shamet misses 2-pt jump shot from 6 ft,,2,38,41,-3,1008.0
7:10.0,Defensive rebound by J. Duren,38-41, ,,2,38,41,-3,1010.0
7:06.0,Turnover by J. Ivey (bad pass; steal by T. Jones),38-41, ,,2,38,41,-3,1014.0
7:01.0, ,38-43,J. Poole makes 2-pt layup from 2 ft (assist by T. Jones),,2,38,43,-5,1019.0
6:42.0,K. Hayes makes 2-pt jump shot from 15 ft,40-43, ,,2,40,43,-3,1038.0
6:32.0, ,40-43,J. Poole misses 2-pt layup from 3 ft (block by J. Duren),,2,40,43,-3,1048.0
6:30.0,Defensive rebound by J. Ivey,40-43, ,,2,40,43,-3,1050.0
6:21.0,J. Ivey misses 2-pt layup from 10 ft (block by L. Shamet),40-43, ,,2,40,43,-3,1059.0
6:21.0,Offensive rebound by Team,40-43, ,,2,40,43,-3,1059.0
6:21.0, ,40-43,B. Coulibaly enters the game for D. Avdija,,2,40,43,-3,1059.0
6:21.0, ,40-43,D. Gafford enters the game for P. Baldwin,,2,40,43,-3,1059.0
6:07.0,A. Thompson makes 2-pt layup from 4 ft,42-43, ,,2,42,43,-1,1073.0
5:53.0, ,42-43,J. Poole misses 3-pt jump shot from 26 ft,,2,42,43,-1,1087.0
5:52.0, ,42-43,Offensive rebound by D. Gafford,,2,42,43,-1,1088.0
5:51.0, ,42-43,Turnover by D. Gafford (bad pass; steal by A. Thompson),,2,42,43,-1,1089.0
5:36.0,K. Knox misses 2-pt layup from 7 ft,42-43, ,,2,42,43,-1,1104.0
5:32.0, ,42-43,Defensive rebound by B. Coulibaly,,2,42,43,-1,1108.0
5:29.0, ,42-46,T. Jones makes 3-pt jump shot from 24 ft (assist by B. Coulibaly),,2,42,46,-4,1111.0
5:03.0,J. Ivey makes 2-pt jump shot from 16 ft (assist by J. Duren),44-46, ,,2,44,46,-2,1137.0
4:42.0, ,44-46,B. Coulibaly misses 2-pt layup from 6 ft,,2,44,46,-2,1158.0
4:38.0,Defensive rebound by J. Ivey,44-46, ,,2,44,46,-2,1162.0
4:24.0,J. Duren makes 2-pt layup from 3 ft (assist by K. Hayes),46-46, ,Tie,2,46,46,0,1176.0
4:24.0,Shooting foul by D. Gafford (drawn by J. Duren),46-46, ,,2,46,46,0,1176.0
4:24.0,A. Burks enters the game for J. Ivey,46-46, ,,2,46,46,0,1176.0
4:24.0,I. Stewart enters the game for A. Thompson,46-46, ,,2,46,46,0,1176.0
4:24.0, ,46-46,K. Kuzma enters the game for L. Shamet,,2,46,46,0,1176.0
4:24.0,J. Duren makes free throw 1 of 1,47-46, ,Lead change,2,47,46,1,1176.0
4:10.0, ,47-49,J. Poole makes 3-pt jump shot from 26 ft,Lead change,2,47,49,-2,1190.0
4:10.0,Loose ball foul by I. Stewart (drawn by K. Kuzma),47-49, ,,2,47,49,-2,1190.0
4:10.0, ,47-50,K. Kuzma makes free throw 1 of 1,,2,47,50,-3,1190.0
3:54.0,I. Stewart misses 2-pt layup from 3 ft,47-50, ,,2,47,50,-3,1206.0
3:54.0,Offensive rebound by I. Stewart,47-50, ,,2,47,50,-3,1206.0
3:54.0,I. Stewart misses 2-pt layup from 2 ft (block by K. Kuzma),47-50, ,,2,47,50,-3,1206.0
3:54.0,Offensive rebound by Team,47-50, ,,2,47,50,-3,1206.0
3:52.0,A. Burks misses 2-pt jump shot from 10 ft,47-50, ,,2,47,50,-3,1208.0
3:52.0, ,47-50,Defensive rebound by D. Gafford,,2,47,50,-3,1208.0
3:43.0, ,47-50,Shooting foul by A. Burks (drawn by J. Poole),,2,47,50,-3,1217.0
3:43.0, ,47-51,J. Poole makes free throw 1 of 2,,2,47,51,-4,1217.0
3:43.0, ,47-52,J. Poole makes free throw 2 of 2,,2,47,52,-5,1217.0
3:31.0,K. Knox misses 3-pt jump shot from 25 ft,47-52, ,,2,47,52,-5,1229.0
3:27.0, ,47-52,Defensive rebound by D. Gafford,,2,47,52,-5,1233.0
3:19.0, ,47-54,B. Coulibaly makes 2-pt dunk from 2 ft (assist by T. Jones),,2,47,54,-7,1241.0
3:06.0,A. Burks makes 3-pt jump shot from 25 ft (assist by K. Hayes),50-54, ,,2,50,54,-4,1254.0
2:56.0, ,50-57,T. Jones makes 3-pt jump shot from 26 ft,,2,50,57,-7,1264.0
2:42.0,A. Burks makes 3-pt jump shot from 27 ft (assist by K. Hayes),53-57, ,,2,53,57,-4,1278.0
2:19.0, ,53-57,T. Jones misses 3-pt jump shot from 23 ft,,2,53,57,-4,1301.0
2:16.0,Defensive rebound by J. Duren,53-57, ,,2,53,57,-4,1304.0
2:09.0,A. Burks misses 3-pt jump shot from 25 ft,53-57, ,,2,53,57,-4,1311.0
2:06.0, ,53-57,Defensive rebound by K. Kuzma,,2,53,57,-4,1314.0
2:00.0, ,53-60,T. Jones makes 3-pt jump shot from 26 ft (assist by K. Kuzma),,2,53,60,-7,1320.0
1:45.0,J. Duren makes 2-pt layup from 3 ft (assist by A. Burks),55-60, ,,2,55,60,-5,1335.0
1:45.0, ,55-60,Washington full timeout,,2,55,60,-5,1335.0
1:31.0, ,55-60,T. Jones misses 3-pt jump shot from 23 ft,,2,55,60,-5,1349.0
1:29.0,Defensive rebound by J. Duren,55-60, ,,2,55,60,-5,1351.0
1:14.0,J. Duren makes 2-pt jump shot from 4 ft (assist by I. Stewart),57-60, ,,2,57,60,-3,1366.0
0:54.0, ,57-60,K. Kuzma misses 2-pt layup from 4 ft (block by I. Stewart),,2,57,60,-3,1386.0
0:52.0,Defensive rebound by J. Duren,57-60, ,,2,57,60,-3,1388.0
0:45.0,A. Burks makes 3-pt jump shot from 27 ft (assist by J. Duren),60-60, ,Tie,2,60,60,0,1395.0
0:37.0, ,60-60,J. Poole misses 3-pt jump shot from 29 ft,,2,60,60,0,1403.0
0:32.0,Defensive rebound by J. Duren,60-60, ,,2,60,60,0,1408.0
0:17.0,A. Burks makes 3-pt jump shot from 27 ft (assist by K. Hayes),63-60, ,Lead change,2,63,60,3,1423.0
0:01.0, ,63-60,T. Jones misses 2-pt jump shot from 16 ft,,2,63,60,3,1439.0
0:01.0, ,63-60,Offensive rebound by D. Gafford,,2,63,60,3,1439.0
0:00.0, ,63-62,D. Gafford makes 2-pt layup at rim,,2,63,62,1,1440.0
0:00.0, ,63-62,Instant Replay (Request: Stands),,2,63,62,1,1440.0
0:00.0,End of 2nd quarter,63-62,,,2,63,62,1,1440.0
12:00.0,Start of 3rd quarter,63-62,,,3,63,62,1,1440.0
11:45.0,I. Stewart makes 3-pt jump shot from 26 ft (assist by K. Hayes),66-62, ,,3,66,62,4,1455.0
11:26.0, ,66-64,D. Gafford makes 2-pt dunk from 2 ft (assist by D. Avdija),,3,66,64,2,1474.0
11:14.0,J. Ivey misses 3-pt jump shot from 26 ft,66-64, ,,3,66,64,2,1486.0
11:10.0,Offensive rebound by K. Knox,66-64, ,,3,66,64,2,1490.0
11:06.0,I. Stewart makes 2-pt jump shot from 6 ft (assist by K. Knox),68-64, ,,3,68,64,4,1494.0
10:54.0, ,68-67,J. Poole makes 3-pt jump shot from 26 ft,,3,68,67,1,1506.0
10:35.0,K. Knox makes 3-pt jump shot from 23 ft (assist by I. Stewart),71-67, ,,3,71,67,4,1525.0
10:23.0, ,71-67,K. Kuzma misses 2-pt layup from 4 ft,,3,71,67,4,1537.0
10:20.0, ,71-67,Offensive rebound by T. Jones,,3,71,67,4,1540.0
10:16.0, ,71-69,D. Gafford makes 2-pt layup from 2 ft (assist by T. Jones),,3,71,69,2,1544.0
9:59.0,I. Stewart misses 2-pt jump shot from 9 ft,71-69, ,,3,71,69,2,1561.0
9:55.0, ,71-69,Defensive rebound by K. Kuzma,,3,71,69,2,1565.0
9:54.0, ,71-69,K. Kuzma misses 2-pt jump shot from 6 ft,,3,71,69,2,1566.0
9:53.0,Defensive rebound by J. Duren,71-69, ,,3,71,69,2,1567.0
9:44.0,Turnover by I. Stewart (out of bounds lost ball),71-69, ,,3,71,69,2,1576.0
9:27.0, ,71-69,J. Poole misses 3-pt jump shot from 27 ft,,3,71,69,2,1593.0
9:23.0,Defensive rebound by J. Duren,71-69, ,,3,71,69,2,1597.0
9:17.0,Shooting foul by D. Gafford (drawn by J. Duren),71-69, ,,3,71,69,2,1603.0
9:17.0,J. Duren makes free throw 1 of 2,72-69, ,,3,72,69,3,1603.0
9:17.0,J. Duren makes free throw 2 of 2,73-69, ,,3,73,69,4,1603.0
9:09.0, ,73-71,D. Gafford makes 2-pt dunk at rim (assist by J. Poole),,3,73,71,2,1611.0
8:54.0,K. Hayes makes 2-pt jump shot from 12 ft (assist by J. Ivey),75-71, ,,3,75,71,4,1626.0
8:41.0, ,75-71,J. Poole misses 2-pt jump shot from 15 ft,,3,75,71,4,1639.0
8:39.0,Defensive rebound by J. Duren,75-71, ,,3,75,71,4,1641.0
8:25.0,Shooting foul by J. Poole (drawn by J. Ivey),75-71, ,,3,75,71,4,1655.0
8:25.0,J. Ivey makes free throw 1 of 2,76-71, ,,3,76,71,5,1655.0
8:25.0,J. Ivey misses free throw 2 of 2,76-71, ,,3,76,71,5,1655.0
8:21.0,Offensive rebound by J. Duren,76-71, ,,3,76,71,5,1659.0
8:20.0,J. Ivey misses 3-pt jump shot from 26 ft,76-71, ,,3,76,71,5,1660.0
8:14.0, ,76-71,Defensive rebound by T. Jones,,3,76,71,5,1666.0
8:12.0, ,76-71,Offensive foul by D. Gafford (drawn by K. Hayes),,3,76,71,5,1668.0
8:12.0, ,76-71,Turnover by D. Gafford (offensive foul),,3,76,71,5,1668.0
8:01.0,I. Stewart misses 3-pt jump shot from 24 ft,76-71, ,,3,76,71,5,1679.0
7:57.0, ,76-71,Defensive rebound by T. Jones,,3,76,71,5,1683.0
7:45.0, ,76-74,K. Kuzma makes 3-pt jump shot from 25 ft (assist by T. Jones),,3,76,74,2,1695.0
7:22.0,Turnover by K. Hayes (step out of bounds),76-74, ,,3,76,74,2,1718.0
7:13.0, ,76-74,T. Jones misses 2-pt jump shot from 10 ft (block by J. Ivey),,3,76,74,2,1727.0
7:12.0, ,76-74,Offensive rebound by D. Gafford,,3,76,74,2,1728.0
7:11.0, ,76-74,D. Gafford misses 2-pt jump shot from 2 ft,,3,76,74,2,1729.0
7:10.0,Defensive rebound by J. Duren,76-74, ,,3,76,74,2,1730.0
7:02.0,Turnover by J. Duren (bad pass; steal by K. Kuzma),76-74, ,,3,76,74,2,1738.0
6:58.0, ,76-76,T. Jones makes 2-pt layup from 2 ft (assist by K. Kuzma),Tie,3,76,76,0,1742.0
6:50.0,K. Knox misses 3-pt jump shot from 26 ft,76-76, ,,3,76,76,0,1750.0
6:50.0, ,76-76,Defensive rebound by T. Jones,,3,76,76,0,1750.0
6:42.0, ,76-76,Shooting foul by J. Duren (drawn by D. Avdija),,3,76,76,0,1758.0
6:42.0, ,76-76,Washington full timeout,,3,76,76,0,1758.0
6:42.0, ,76-77,D. Avdija makes free throw 1 of 2,Lead change,3,76,77,-1,1758.0
6:42.0, ,76-78,D. Avdija makes free throw 2 of 2,,3,76,78,-2,1758.0
6:24.0,K. Knox misses 2-pt layup from 6 ft (block by D. Avdija),76-78, ,,3,76,78,-2,1776.0
6:24.0,Offensive rebound by Team,76-78, ,,3,76,78,-2,1776.0
6:17.0,J. Ivey makes 2-pt layup from 3 ft,78-78, ,Tie,3,78,78,0,1783.0
5:56.0, ,78-80,J. Poole makes 2-pt hook shot from 6 ft (assist by D. Gafford),,3,78,80,-2,1804.0
5:40.0,J. Duren makes 2-pt layup from 3 ft (assist by I. Stewart),80-80, ,Tie,3,80,80,0,1820.0
5:24.0, ,80-83,K. Kuzma makes 3-pt jump shot from 26 ft (assist by T. Jones),,3,80,83,-3,1836.0
5:06.0,J. Ivey misses 3-pt jump shot from 27 ft,80-83, ,,3,80,83,-3,1854.0
5:03.0, ,80-83,Defensive rebound by D. Avdija,,3,80,83,-3,1857.0
4:45.0, ,80-83,D. Avdija misses 2-pt jump shot from 8 ft,,3,80,83,-3,1875.0
4:43.0,Defensive rebound by J. Duren,80-83, ,,3,80,83,-3,1877.0
4:24.0,K. Hayes misses 2-pt jump shot from 8 ft,80-83, ,,3,80,83,-3,1896.0
4:24.0,Offensive rebound by Team,80-83, ,,3,80,83,-3,1896.0
4:24.0,A. Burks enters the game for K. Hayes,80-83, ,,3,80,83,-3,1896.0
4:24.0, ,80-83,B. Coulibaly enters the game for D. Avdija,,3,80,83,-3,1896.0
4:12.0, ,80-83,Violation by Team (kicked ball),,3,80,83,-3,1908.0
4:05.0,J. Duren makes 2-pt layup from 2 ft (assist by J. Ivey),82-83, ,,3,82,83,-1,1915.0
4:05.0,Shooting foul by B. Coulibaly (drawn by J. Duren),82-83, ,,3,82,83,-1,1915.0
