Time,Oklahoma City,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:11.0, ,25-22,K. Knox enters the game for B. Bogdanović,,1,22,25,-3,529.0
3:11.0, ,25-22,M. Morris enters the game for J. Duren,,1,22,25,-3,529.0
3:11.0, ,25-22,M. Muscala enters the game for J. Ivey,,1,22,25,-3,529.0
2:46.0,C. Wallace makes 2-pt jump shot from 16 ft (assist by S. Gilgeous-Alexander),27-22, ,,1,22,27,-5,554.0
2:32.0, ,27-22,M. Morris misses 2-pt jump shot from 20 ft,,1,22,27,-5,568.0
2:26.0,Defensive rebound by J. Williams,27-22, ,,1,22,27,-5,574.0
2:15.0,K. Williams misses 2-pt layup from 7 ft,27-22, ,,1,22,27,-5,585.0
2:11.0, ,27-22,Defensive rebound by M. Muscala,,1,22,27,-5,589.0
1:59.0, ,27-22,Turnover by A. Burks (bad pass; steal by J. Williams),,1,22,27,-5,601.0
1:45.0,S. Gilgeous-Alexander makes 2-pt jump shot from 5 ft,29-22, ,,1,22,29,-7,615.0
1:28.0, ,29-22,A. Thompson misses 3-pt jump shot from 23 ft,,1,22,29,-7,632.0
1:25.0,Defensive rebound by C. Wallace,29-22, ,,1,22,29,-7,635.0
1:21.0,Shooting foul by K. Knox (drawn by S. Gilgeous-Alexander),29-22, ,,1,22,29,-7,639.0
1:21.0,S. Gilgeous-Alexander makes free throw 1 of 2,30-22, ,,1,22,30,-8,639.0
1:21.0,S. Gilgeous-Alexander makes free throw 2 of 2,31-22, ,,1,22,31,-9,639.0
0:58.0, ,31-22,A. Thompson misses 2-pt jump shot from 10 ft,,1,22,31,-9,662.0
0:55.0,Defensive rebound by S. Gilgeous-Alexander,31-22, ,,1,22,31,-9,665.0
0:48.0,J. Williams misses 3-pt jump shot from 24 ft,31-22, ,,1,22,31,-9,672.0
0:45.0, ,31-22,Defensive rebound by M. Morris,,1,22,31,-9,675.0
0:34.0, ,31-22,M. Morris misses 2-pt jump shot from 7 ft,,1,22,31,-9,686.0
0:32.0,Defensive rebound by J. Williams,31-22, ,,1,22,31,-9,688.0
0:25.0,I. Joe misses 3-pt jump shot from 26 ft,31-22, ,,1,22,31,-9,695.0
0:22.0, ,31-22,Defensive rebound by A. Burks,,1,22,31,-9,698.0
0:07.0, ,31-22,Personal foul by C. Wallace (drawn by M. Morris),,1,22,31,-9,713.0
0:01.0, ,31-24,M. Morris makes 2-pt jump shot from 17 ft,,1,24,31,-7,719.0
0:00.0,K. Williams misses 3-pt jump shot from 34 ft,31-24, ,,1,24,31,-7,720.0
0:00.0,Offensive rebound by Team,31-24, ,,1,24,31,-7,720.0
0:00.0,End of 1st quarter,31-24,,,1,24,31,-7,720.0
12:00.0,Start of 2nd quarter,31-24,,,2,24,31,-7,720.0
11:47.0,C. Wallace makes 2-pt dunk from 2 ft (assist by J. Giddey),33-24, ,,2,24,33,-9,733.0
11:31.0, ,33-26,M. Morris makes 2-pt jump shot from 12 ft,,2,26,33,-7,749.0
11:18.0,C. Wallace misses 3-pt jump shot from 25 ft,33-26, ,,2,26,33,-7,762.0
11:14.0, ,33-26,Defensive rebound by M. Muscala,,2,26,33,-7,766.0
11:10.0, ,33-26,M. Morris misses 3-pt jump shot from 23 ft,,2,26,33,-7,770.0
11:07.0,Defensive rebound by J. Giddey,33-26, ,,2,26,33,-7,773.0
10:58.0,A. Wiggins makes 2-pt layup from 3 ft,35-26, ,,2,26,35,-9,782.0
10:40.0, ,35-26,A. Burks misses 2-pt jump shot from 13 ft,,2,26,35,-9,800.0
10:38.0, ,35-26,Offensive rebound by A. Thompson,,2,26,35,-9,802.0
10:35.0, ,35-26,A. Thompson misses 2-pt layup from 3 ft,,2,26,35,-9,805.0
10:32.0,Defensive rebound by C. Holmgren,35-26, ,,2,26,35,-9,808.0
10:24.0,J. Williams misses 2-pt jump shot from 12 ft,35-26, ,,2,26,35,-9,816.0
10:22.0, ,35-26,Defensive rebound by M. Muscala,,2,26,35,-9,818.0
10:06.0, ,35-28,K. Knox makes 2-pt jump shot from 14 ft (assist by A. Thompson),,2,28,35,-7,834.0
9:51.0,Turnover by J. Giddey (bad pass; steal by A. Burks),35-28, ,,2,28,35,-7,849.0
9:47.0, ,35-28,Shooting foul by A. Wiggins (drawn by A. Burks),,2,28,35,-7,853.0
9:47.0, ,35-29,A. Burks makes free throw 1 of 2,,2,29,35,-6,853.0
9:47.0, ,35-29,M. Sasser enters the game for M. Morris,,2,29,35,-6,853.0
9:47.0, ,35-30,A. Burks makes free throw 2 of 2,,2,30,35,-5,853.0
9:24.0,J. Williams makes 2-pt layup from 5 ft,37-30, ,,2,30,37,-7,876.0
9:01.0, ,37-32,K. Knox makes 2-pt jump shot from 15 ft,,2,32,37,-5,899.0
8:44.0,C. Holmgren misses 2-pt jump shot from 10 ft,37-32, ,,2,32,37,-5,916.0
8:41.0, ,37-32,Defensive rebound by K. Knox,,2,32,37,-5,919.0
8:33.0, ,37-35,A. Burks makes 3-pt jump shot from 25 ft (assist by K. Knox),,2,35,37,-2,927.0
8:14.0,Turnover by J. Giddey (bad pass; steal by A. Burks),37-35, ,,2,35,37,-2,946.0
8:10.0, ,37-37,K. Knox makes 2-pt dunk from 3 ft (assist by A. Burks),Tie,2,37,37,0,950.0
8:10.0,Oklahoma City full timeout,37-37, ,,2,37,37,0,950.0
8:10.0,I. Joe enters the game for J. Giddey,37-37, ,,2,37,37,0,950.0
8:10.0,J. Williams enters the game for C. Holmgren,37-37, ,,2,37,37,0,950.0
8:10.0, ,37-37,I. Stewart enters the game for M. Muscala,,2,37,37,0,950.0
7:58.0,J. Williams misses 2-pt layup from 4 ft,37-37, ,,2,37,37,0,962.0
7:57.0,Offensive rebound by C. Wallace,37-37, ,,2,37,37,0,963.0
7:57.0,Personal foul by A. Thompson (drawn by C. Wallace),37-37, ,,2,37,37,0,963.0
7:48.0,I. Joe makes 2-pt jump shot from 18 ft (assist by J. Williams),39-37, ,,2,37,39,-2,972.0
7:31.0, ,39-39,A. Thompson makes 2-pt dunk from 2 ft (assist by M. Sasser),Tie,2,39,39,0,989.0
7:17.0,A. Wiggins makes 3-pt jump shot from 25 ft (assist by J. Williams),42-39, ,,2,39,42,-3,1003.0
7:07.0, ,42-41,A. Thompson makes 2-pt layup from 4 ft (assist by M. Sasser),,2,41,42,-1,1013.0
7:07.0, ,42-41,Shooting foul by J. Williams (drawn by A. Thompson),,2,41,42,-1,1013.0
7:07.0, ,42-41,B. Bogdanović enters the game for A. Burks,,2,41,42,-1,1013.0
7:07.0, ,42-42,A. Thompson makes free throw 1 of 1,Tie,2,42,42,0,1013.0
6:56.0,J. Williams makes 2-pt layup from 3 ft,44-42, ,,2,42,44,-2,1024.0
6:40.0, ,44-44,I. Stewart makes 2-pt layup from 3 ft (assist by B. Bogdanović),Tie,2,44,44,0,1040.0
6:28.0,J. Williams misses 2-pt jump shot from 11 ft,44-44, ,,2,44,44,0,1052.0
6:26.0, ,44-44,Defensive rebound by A. Thompson,,2,44,44,0,1054.0
6:23.0, ,44-44,B. Bogdanović misses 2-pt layup from 6 ft (block by J. Williams),,2,44,44,0,1057.0
6:19.0,Defensive rebound by C. Wallace,44-44, ,,2,44,44,0,1061.0
6:19.0,L. Dort enters the game for C. Wallace,44-44, ,,2,44,44,0,1061.0
6:19.0, ,44-44,J. Ivey enters the game for A. Thompson,,2,44,44,0,1061.0
6:11.0,Turnover by J. Williams (bad pass; steal by K. Knox),44-44, ,,2,44,44,0,1069.0
6:08.0, ,44-44,Shooting foul by J. Williams (drawn by B. Bogdanović),,2,44,44,0,1072.0
6:08.0, ,44-45,B. Bogdanović makes free throw 1 of 2,Lead change,2,45,44,1,1072.0
6:08.0, ,44-46,B. Bogdanović makes free throw 2 of 2,,2,46,44,2,1072.0
5:56.0,J. Williams makes 2-pt jump shot from 17 ft,46-46, ,Tie,2,46,46,0,1084.0
5:40.0, ,46-49,M. Sasser makes 3-pt jump shot from 26 ft,,2,49,46,3,1100.0
5:31.0,J. Williams makes 2-pt layup from 3 ft,48-49, ,,2,49,48,1,1109.0
