Time,Chicago,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:53.0, ,40-43,M. Bagley enters the game for J. Duren,,2,43,40,3,1147.0
4:34.0, ,40-43,Turnover by I. Stewart (traveling),,2,43,40,3,1166.0
4:18.0,Z. LaVine misses 2-pt layup from 3 ft,40-43, ,,2,43,40,3,1182.0
4:15.0, ,40-43,Defensive rebound by Team,,2,43,40,3,1185.0
4:15.0, ,40-43,A. Burks enters the game for A. Thompson,,2,43,40,3,1185.0
4:08.0, ,40-43,Personal foul by C. White (drawn by A. Burks),,2,43,40,3,1192.0
3:55.0, ,40-46,A. Burks makes 3-pt jump shot from 27 ft (assist by K. Hayes),,2,46,40,6,1205.0
3:41.0,C. White misses 2-pt layup from 3 ft,40-46, ,,2,46,40,6,1219.0
3:38.0,Offensive rebound by A. Caruso,40-46, ,,2,46,40,6,1222.0
3:36.0,A. Caruso makes 2-pt jump shot from 6 ft,42-46, ,,2,46,42,4,1224.0
3:25.0, ,42-49,A. Burks makes 3-pt jump shot from 26 ft (assist by C. Cunningham),,2,49,42,7,1235.0
3:03.0,Turnover by P. Williams (traveling),42-49, ,,2,49,42,7,1257.0
3:03.0,D. DeRozan enters the game for P. Williams,42-49, ,,2,49,42,7,1257.0
3:03.0, ,42-49,J. Ivey enters the game for C. Cunningham,,2,49,42,7,1257.0
2:47.0, ,42-49,K. Hayes misses 2-pt jump shot from 16 ft,,2,49,42,7,1273.0
2:44.0,Defensive rebound by A. Caruso,42-49, ,,2,49,42,7,1276.0
2:41.0,Turnover by Z. LaVine (bad pass),42-49, ,,2,49,42,7,1279.0
2:27.0, ,42-51,M. Bagley makes 2-pt jump shot from 4 ft,,2,51,42,9,1293.0
2:08.0,N. Vučević misses 2-pt hook shot from 4 ft,42-51, ,,2,51,42,9,1312.0
2:05.0, ,42-51,Defensive rebound by I. Stewart,,2,51,42,9,1315.0
1:58.0, ,42-51,Shooting foul by N. Vučević (drawn by I. Stewart),,2,51,42,9,1322.0
1:58.0, ,42-52,I. Stewart makes free throw 1 of 2,,2,52,42,10,1322.0
1:58.0, ,42-53,I. Stewart makes free throw 2 of 2,,2,53,42,11,1322.0
1:48.0,Personal foul by A. Burks (drawn by A. Caruso),42-53, ,,2,53,42,11,1332.0
1:43.0,D. DeRozan makes 2-pt jump shot from 19 ft,44-53, ,,2,53,44,9,1337.0
1:21.0, ,44-53,M. Bagley misses 2-pt jump shot from 13 ft,,2,53,44,9,1359.0
1:17.0, ,44-53,Offensive rebound by K. Hayes,,2,53,44,9,1363.0
1:15.0, ,44-55,M. Bagley makes 2-pt dunk from 2 ft (assist by K. Hayes),,2,55,44,11,1365.0
0:57.0,C. White misses 2-pt jump shot from 16 ft,44-55, ,,2,55,44,11,1383.0
0:57.0, ,44-55,Defensive rebound by I. Stewart,,2,55,44,11,1383.0
0:38.0, ,44-55,I. Stewart misses 2-pt layup from 2 ft (block by D. DeRozan),,2,55,44,11,1402.0
0:38.0,Defensive rebound by Team,44-55, ,,2,55,44,11,1402.0
0:38.0, ,44-55,C. Cunningham enters the game for M. Bagley,,2,55,44,11,1402.0
0:38.0, ,44-55,J. Duren enters the game for K. Hayes,,2,55,44,11,1402.0
0:38.0, ,44-55,A. Thompson enters the game for I. Stewart,,2,55,44,11,1402.0
0:30.0,D. DeRozan misses 2-pt layup from 2 ft,44-55, ,,2,55,44,11,1410.0
0:27.0, ,44-55,Defensive rebound by A. Thompson,,2,55,44,11,1413.0
0:07.0, ,44-57,C. Cunningham makes 2-pt jump shot from 18 ft,,2,57,44,13,1433.0
0:01.0,N. Vučević misses 3-pt jump shot from 31 ft,44-57, ,,2,57,44,13,1439.0
0:01.0, ,44-57,Defensive rebound by A. Thompson,,2,57,44,13,1439.0
0:00.0,End of 2nd quarter,44-57,,,2,57,44,13,1440.0
12:00.0,Start of 3rd quarter,44-57,,,3,57,44,13,1440.0
11:46.0,Def 3 sec tech foul by Team,44-57, ,,3,57,44,13,1454.0
11:46.0,Z. LaVine makes technical free throw,45-57, ,,3,57,45,12,1454.0
11:39.0,C. White misses 3-pt jump shot from 24 ft,45-57, ,,3,57,45,12,1461.0
11:36.0, ,45-57,Defensive rebound by J. Duren,,3,57,45,12,1464.0
11:15.0, ,45-57,Turnover by Team (shot clock),,3,57,45,12,1485.0
11:02.0,Z. LaVine makes 2-pt jump shot from 4 ft,47-57, ,,3,57,47,10,1498.0
10:49.0, ,47-57,K. Hayes misses 3-pt jump shot from 26 ft,,3,57,47,10,1511.0
10:46.0,Defensive rebound by N. Vučević,47-57, ,,3,57,47,10,1514.0
10:36.0,Personal foul by K. Hayes (drawn by D. DeRozan),47-57, ,,3,57,47,10,1524.0
10:26.0,Z. LaVine makes 3-pt jump shot from 24 ft,50-57, ,,3,57,50,7,1534.0
10:14.0, ,50-57,Personal foul by Z. LaVine (drawn by I. Stewart),,3,57,50,7,1546.0
10:10.0, ,50-59,J. Duren makes 2-pt dunk from 4 ft (assist by C. Cunningham),,3,59,50,9,1550.0
10:10.0, ,50-59,Shooting foul by P. Williams (drawn by J. Duren),,3,59,50,9,1550.0
10:10.0, ,50-60,J. Duren makes free throw 1 of 1,,3,60,50,10,1550.0
9:56.0,Z. LaVine makes 3-pt jump shot from 27 ft (assist by N. Vučević),53-60, ,,3,60,53,7,1564.0
9:34.0, ,53-60,Turnover by C. Cunningham (bad pass; steal by D. DeRozan),,3,60,53,7,1586.0
9:33.0,Shooting foul by I. Stewart (drawn by D. DeRozan),53-60, ,,3,60,53,7,1587.0
9:33.0,D. DeRozan makes free throw 1 of 2,54-60, ,,3,60,54,6,1587.0
9:33.0,D. DeRozan makes free throw 2 of 2,55-60, ,,3,60,55,5,1587.0
9:12.0, ,55-60,K. Hayes misses 2-pt jump shot from 10 ft,,3,60,55,5,1608.0
9:11.0, ,55-60,Offensive rebound by J. Duren,,3,60,55,5,1609.0
9:10.0, ,55-62,J. Duren makes 2-pt dunk from 3 ft,,3,62,55,7,1610.0
8:49.0,Z. LaVine makes 2-pt layup from 3 ft,57-62, ,,3,62,57,5,1631.0
8:43.0, ,57-62,Personal foul by D. DeRozan (drawn by I. Stewart),,3,62,57,5,1637.0
8:29.0, ,57-62,C. Cunningham misses 3-pt jump shot from 29 ft,,3,62,57,5,1651.0
8:27.0, ,57-62,Offensive rebound by J. Duren,,3,62,57,5,1653.0
8:18.0, ,57-62,A. Thompson misses 3-pt jump shot from 23 ft,,3,62,57,5,1662.0
8:15.0,Defensive rebound by N. Vučević,57-62, ,,3,62,57,5,1665.0
8:07.0,D. DeRozan makes 2-pt jump shot from 5 ft,59-62, ,,3,62,59,3,1673.0
7:56.0, ,59-64,C. Cunningham makes 2-pt jump shot from 6 ft,,3,64,59,5,1684.0
7:49.0,Personal foul by C. Cunningham (drawn by Z. LaVine),59-64, ,,3,64,59,5,1691.0
7:41.0,Z. LaVine misses 3-pt jump shot from 26 ft,59-64, ,,3,64,59,5,1699.0
7:38.0,Offensive rebound by P. Williams,59-64, ,,3,64,59,5,1702.0
7:27.0,D. DeRozan misses 3-pt jump shot from 26 ft,59-64, ,,3,64,59,5,1713.0
7:24.0, ,59-64,Defensive rebound by A. Thompson,,3,64,59,5,1716.0
7:17.0, ,59-66,I. Stewart makes 2-pt layup from 2 ft (assist by A. Thompson),,3,66,59,7,1723.0
7:17.0,Chicago full timeout,59-66, ,,3,66,59,7,1723.0
7:03.0,Def 3 sec tech foul by Team,59-66, ,,3,66,59,7,1737.0
7:03.0,D. DeRozan makes technical free throw,60-66, ,,3,66,60,6,1737.0
6:56.0,Shooting foul by J. Duren (drawn by Z. LaVine),60-66, ,,3,66,60,6,1744.0
6:56.0,Z. LaVine makes free throw 1 of 2,61-66, ,,3,66,61,5,1744.0
6:56.0,Z. LaVine makes free throw 2 of 2,62-66, ,,3,66,62,4,1744.0
6:45.0, ,62-66,Offensive foul by C. Cunningham (drawn by C. White),,3,66,62,4,1755.0
6:45.0, ,62-66,Turnover by C. Cunningham (offensive foul),,3,66,62,4,1755.0
6:45.0, ,62-66,A. Burks enters the game for K. Hayes,,3,66,62,4,1755.0
6:40.0,Personal foul by A. Thompson (drawn by D. DeRozan),62-66, ,,3,66,62,4,1760.0
6:40.0,D. DeRozan misses free throw 1 of 2,62-66, ,,3,66,62,4,1760.0
6:40.0,Offensive rebound by Team,62-66, ,,3,66,62,4,1760.0
6:40.0,D. DeRozan makes free throw 2 of 2,63-66, ,,3,66,63,3,1760.0
6:32.0, ,63-66,Personal foul by P. Williams (drawn by A. Burks),,3,66,63,3,1768.0
6:32.0,A. Caruso enters the game for Z. LaVine,63-66, ,,3,66,63,3,1768.0
6:21.0, ,63-69,C. Cunningham makes 3-pt jump shot from 28 ft,,3,69,63,6,1779.0
6:12.0,N. Vučević makes 3-pt jump shot from 26 ft (assist by A. Caruso),66-69, ,,3,69,66,3,1788.0
5:55.0, ,66-71,C. Cunningham makes 2-pt jump shot from 15 ft,,3,71,66,5,1805.0
5:33.0,N. Vučević makes 2-pt hook shot from 3 ft (assist by C. White),68-71, ,,3,71,68,3,1827.0
5:21.0, ,68-71,C. Cunningham misses 2-pt jump shot from 15 ft,,3,71,68,3,1839.0
5:18.0,Defensive rebound by C. White,68-71, ,,3,71,68,3,1842.0
5:14.0,D. DeRozan misses 2-pt layup from 1 ft,68-71, ,,3,71,68,3,1846.0
5:12.0, ,68-71,Defensive rebound by J. Duren,,3,71,68,3,1848.0
5:10.0, ,68-71,Shooting foul by P. Williams (drawn by C. Cunningham),,3,71,68,3,1850.0
5:10.0, ,68-71,M. Bagley enters the game for J. Duren,,3,71,68,3,1850.0
5:10.0, ,68-72,C. Cunningham makes free throw 1 of 2,,3,72,68,4,1850.0
5:10.0, ,68-73,C. Cunningham makes free throw 2 of 2,,3,73,68,5,1850.0
4:54.0,N. Vučević misses 2-pt layup from 4 ft,68-73, ,,3,73,68,5,1866.0
4:51.0, ,68-73,Defensive rebound by A. Thompson,,3,73,68,5,1869.0
4:46.0, ,68-73,Shooting foul by N. Vučević (drawn by A. Thompson),,3,73,68,5,1874.0
4:46.0, ,68-73,A. Thompson misses free throw 1 of 2,,3,73,68,5,1874.0
4:46.0, ,68-73,Offensive rebound by Team,,3,73,68,5,1874.0
4:46.0,T. Craig enters the game for C. White,68-73, ,,3,73,68,5,1874.0
4:46.0,A. Dosunmu enters the game for P. Williams,68-73, ,,3,73,68,5,1874.0
4:46.0, ,68-74,A. Thompson makes free throw 2 of 2,,3,74,68,6,1874.0
4:27.0,A. Dosunmu misses 3-pt jump shot from 24 ft,68-74, ,,3,74,68,6,1893.0
4:25.0, ,68-74,Defensive rebound by A. Thompson,,3,74,68,6,1895.0
4:13.0, ,68-77,A. Burks makes 3-pt jump shot from 27 ft (assist by A. Thompson),,3,77,68,9,1907.0
4:06.0, ,68-77,Violation by Team (kicked ball),,3,77,68,9,1914.0
4:06.0,Z. LaVine enters the game for D. DeRozan,68-77, ,,3,77,68,9,1914.0
4:06.0, ,68-77,J. Harris enters the game for I. Stewart,,3,77,68,9,1914.0
4:06.0, ,68-77,J. Ivey enters the game for A. Thompson,,3,77,68,9,1914.0
3:59.0,Z. LaVine misses 2-pt layup from 4 ft,68-77, ,,3,77,68,9,1921.0
3:56.0, ,68-77,Defensive rebound by A. Burks,,3,77,68,9,1924.0
3:41.0, ,68-77,J. Harris misses 3-pt jump shot from 25 ft,,3,77,68,9,1939.0
3:41.0,Defensive rebound by Team,68-77, ,,3,77,68,9,1939.0
3:41.0,A. Drummond enters the game for N. Vučević,68-77, ,,3,77,68,9,1939.0
3:27.0,Z. LaVine makes 3-pt jump shot from 27 ft,71-77, ,,3,77,71,6,1953.0
3:12.0, ,71-77,Turnover by J. Harris (bad pass; steal by A. Drummond),,3,77,71,6,1968.0
3:08.0,A. Drummond misses 2-pt layup from 2 ft,71-77, ,,3,77,71,6,1972.0
3:07.0, ,71-77,Defensive rebound by M. Bagley,,3,77,71,6,1973.0
2:56.0, ,71-77,M. Bagley misses 2-pt layup from 4 ft (block by A. Caruso),,3,77,71,6,1984.0
2:56.0, ,71-77,Offensive rebound by Team,,3,77,71,6,1984.0
2:56.0, ,71-77,Detroit full timeout,,3,77,71,6,1984.0
2:56.0, ,71-77,M. Sasser enters the game for C. Cunningham,,3,77,71,6,1984.0
2:46.0, ,71-77,A. Burks misses 2-pt jump shot from 12 ft,,3,77,71,6,1994.0
2:46.0,Defensive rebound by Team,71-77, ,,3,77,71,6,1994.0
2:31.0,Z. LaVine misses 2-pt jump shot from 15 ft,71-77, ,,3,77,71,6,2009.0
2:28.0, ,71-77,Defensive rebound by M. Bagley,,3,77,71,6,2012.0
