Time,Detroit,Score,Cleveland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:15.0, ,15-17,Offensive rebound by Team,,1,15,17,-2,345.0
6:15.0, ,15-18,D. Mitchell makes free throw 2 of 2,,1,15,18,-3,345.0
5:57.0,Turnover by B. Bogdanović (bad pass; steal by J. Allen),15-18, ,,1,15,18,-3,363.0
5:50.0, ,15-21,D. Mitchell makes 3-pt jump shot from 31 ft (assist by C. LeVert),,1,15,21,-6,370.0
5:30.0,Turnover by J. Ivey (out of bounds lost ball),15-21, ,,1,15,21,-6,390.0
5:18.0, ,15-21,D. Mitchell misses 3-pt jump shot from 26 ft,,1,15,21,-6,402.0
5:14.0, ,15-21,Offensive rebound by I. Okoro,,1,15,21,-6,406.0
5:01.0, ,15-21,Turnover by C. LeVert (bad pass; steal by B. Bogdanović),,1,15,21,-6,419.0
4:57.0,K. Knox misses 2-pt layup from 1 ft (block by D. Mitchell),15-21, ,,1,15,21,-6,423.0
4:57.0,Offensive rebound by Team,15-21, ,,1,15,21,-6,423.0
4:57.0,A. Burks enters the game for B. Bogdanović,15-21, ,,1,15,21,-6,423.0
4:57.0,A. Thompson enters the game for J. Ivey,15-21, ,,1,15,21,-6,423.0
4:54.0,K. Knox misses 2-pt layup from 1 ft (block by J. Allen),15-21, ,,1,15,21,-6,426.0
4:52.0,Offensive rebound by K. Knox,15-21, ,,1,15,21,-6,428.0
4:43.0,C. Cunningham misses 2-pt jump shot from 9 ft,15-21, ,,1,15,21,-6,437.0
4:40.0, ,15-21,Defensive rebound by J. Allen,,1,15,21,-6,440.0
4:29.0, ,15-21,Turnover by C. LeVert (bad pass; steal by C. Cunningham),,1,15,21,-6,451.0
4:22.0,K. Knox misses 3-pt jump shot from 23 ft,15-21, ,,1,15,21,-6,458.0
4:19.0, ,15-21,Defensive rebound by J. Allen,,1,15,21,-6,461.0
4:10.0, ,15-21,D. Mitchell misses 2-pt hook shot from 4 ft,,1,15,21,-6,470.0
4:05.0,Defensive rebound by K. Knox,15-21, ,,1,15,21,-6,475.0
4:00.0,Turnover by J. Duren (bad pass; steal by D. Mitchell),15-21, ,,1,15,21,-6,480.0
3:55.0, ,15-23,D. Mitchell makes 2-pt layup from 2 ft,,1,15,23,-8,485.0
3:34.0,C. Cunningham misses 2-pt jump shot from 9 ft,15-23, ,,1,15,23,-8,506.0
3:33.0,Offensive rebound by J. Duren,15-23, ,,1,15,23,-8,507.0
3:28.0,J. Duren makes 2-pt layup at rim,17-23, ,,1,17,23,-6,512.0
3:07.0, ,17-23,D. Wade misses 3-pt jump shot from 23 ft,,1,17,23,-6,533.0
3:07.0,Defensive rebound by Team,17-23, ,,1,17,23,-6,533.0
3:07.0,D. Gallinari enters the game for C. Cunningham,17-23, ,,1,17,23,-6,533.0
3:07.0,M. Morris enters the game for J. Duren,17-23, ,,1,17,23,-6,533.0
3:07.0, ,17-23,E. Mobley enters the game for J. Allen,,1,17,23,-6,533.0
3:07.0, ,17-23,G. Niang enters the game for D. Mitchell,,1,17,23,-6,533.0
3:07.0, ,17-23,M. Strus enters the game for D. Wade,,1,17,23,-6,533.0
2:53.0,A. Burks misses 3-pt jump shot from 26 ft,17-23, ,,1,17,23,-6,547.0
2:48.0, ,17-23,Defensive rebound by M. Strus,,1,17,23,-6,552.0
2:44.0, ,17-23,Turnover by M. Strus (bad pass; steal by A. Thompson),,1,17,23,-6,556.0
2:40.0,K. Knox makes 2-pt dunk from 1 ft (assist by A. Burks),19-23, ,,1,19,23,-4,560.0
2:22.0, ,19-23,E. Mobley misses 2-pt jump shot from 6 ft,,1,19,23,-4,578.0
2:20.0,Defensive rebound by M. Morris,19-23, ,,1,19,23,-4,580.0
2:07.0,D. Gallinari makes 2-pt layup from 1 ft (assist by M. Morris),21-23, ,,1,21,23,-2,593.0
1:51.0, ,21-23,C. LeVert misses 2-pt layup from 6 ft,,1,21,23,-2,609.0
1:47.0,Defensive rebound by A. Thompson,21-23, ,,1,21,23,-2,613.0
1:34.0,M. Morris misses 3-pt jump shot from 23 ft,21-23, ,,1,21,23,-2,626.0
1:30.0, ,21-23,Defensive rebound by M. Strus,,1,21,23,-2,630.0
1:24.0, ,21-25,I. Okoro makes 2-pt layup from 2 ft (assist by G. Niang),,1,21,25,-4,636.0
1:11.0,Detroit full timeout,21-25, ,,1,21,25,-4,649.0
0:59.0,D. Gallinari misses 2-pt jump shot from 13 ft,21-25, ,,1,21,25,-4,661.0
0:56.0, ,21-25,Defensive rebound by E. Mobley,,1,21,25,-4,664.0
0:40.0, ,21-25,E. Mobley misses 2-pt layup from 3 ft,,1,21,25,-4,680.0
0:38.0,Defensive rebound by D. Gallinari,21-25, ,,1,21,25,-4,682.0
0:35.0,Turnover by A. Burks (lost ball; steal by I. Okoro),21-25, ,,1,21,25,-4,685.0
0:29.0, ,21-27,I. Okoro makes 2-pt layup from 1 ft (assist by E. Mobley),,1,21,27,-6,691.0
0:15.0,M. Morris makes 2-pt jump shot from 15 ft,23-27, ,,1,23,27,-4,705.0
0:02.0, ,23-30,C. LeVert makes 3-pt jump shot from 24 ft,,1,23,30,-7,718.0
0:00.0,A. Thompson misses 3-pt jump shot from 81 ft,23-30, ,,1,23,30,-7,720.0
0:00.0,Offensive rebound by Team,23-30, ,,1,23,30,-7,720.0
0:00.0,End of 1st quarter,23-30,,,1,23,30,-7,720.0
12:00.0,Start of 2nd quarter,23-30,,,2,23,30,-7,720.0
11:44.0,D. Gallinari makes 3-pt jump shot from 26 ft (assist by A. Burks),26-30, ,,2,26,30,-4,736.0
11:28.0, ,26-32,G. Niang makes 2-pt layup from 1 ft (assist by D. Garland),,2,26,32,-6,752.0
11:20.0,Turnover by A. Thompson (lost ball; steal by E. Mobley),26-32, ,,2,26,32,-6,760.0
11:15.0, ,26-32,Turnover by D. Garland (bad pass; steal by D. Gallinari),,2,26,32,-6,765.0
11:12.0,Turnover by A. Burks (bad pass; steal by S. Merrill),26-32, ,,2,26,32,-6,768.0
10:58.0, ,26-34,D. Garland makes 2-pt layup from 1 ft (assist by C. LeVert),,2,26,34,-8,782.0
10:38.0,A. Burks makes 2-pt layup at rim (assist by A. Thompson),28-34, ,,2,28,34,-6,802.0
10:27.0, ,28-34,D. Garland misses 3-pt jump shot from 26 ft,,2,28,34,-6,813.0
10:24.0,Defensive rebound by A. Thompson,28-34, ,,2,28,34,-6,816.0
10:19.0,M. Morris makes 2-pt layup from 3 ft (assist by A. Thompson),30-34, ,,2,30,34,-4,821.0
9:53.0, ,30-34,D. Garland misses 3-pt jump shot from 25 ft,,2,30,34,-4,847.0
9:50.0,Defensive rebound by M. Morris,30-34, ,,2,30,34,-4,850.0
9:37.0,Personal foul by E. Mobley (drawn by D. Gallinari),30-34, ,,2,30,34,-4,863.0
9:37.0,M. Sasser enters the game for K. Knox,30-34, ,,2,30,34,-4,863.0
9:27.0,A. Thompson makes 2-pt layup at rim (assist by M. Sasser),32-34, ,,2,32,34,-2,873.0
9:09.0, ,32-34,C. LeVert misses 3-pt jump shot from 24 ft,,2,32,34,-2,891.0
9:08.0, ,32-34,Offensive rebound by Team,,2,32,34,-2,892.0
9:05.0, ,32-37,S. Merrill makes 3-pt jump shot from 23 ft (assist by C. LeVert),,2,32,37,-5,895.0
8:42.0,A. Burks makes 2-pt jump shot from 12 ft (assist by M. Sasser),34-37, ,,2,34,37,-3,918.0
8:26.0, ,34-39,G. Niang makes 2-pt jump shot from 1 ft,,2,34,39,-5,934.0
8:08.0,D. Gallinari makes 3-pt jump shot from 27 ft (assist by M. Sasser),37-39, ,,2,37,39,-2,952.0
7:53.0, ,37-39,C. LeVert misses 3-pt jump shot from 25 ft,,2,37,39,-2,967.0
7:50.0,Defensive rebound by D. Gallinari,37-39, ,,2,37,39,-2,970.0
7:42.0,M. Sasser makes 3-pt jump shot from 27 ft,40-39, ,Lead change,2,40,39,1,978.0
7:20.0, ,40-41,D. Garland makes 2-pt layup from 2 ft,Lead change,2,40,41,-1,1000.0
7:04.0,D. Gallinari makes 3-pt jump shot from 31 ft (assist by M. Morris),43-41, ,Lead change,2,43,41,2,1016.0
6:55.0, ,43-41,Shooting foul by A. Burks (drawn by E. Mobley),,2,43,41,2,1025.0
6:55.0, ,43-41,Cleveland full timeout,,2,43,41,2,1025.0
6:55.0,J. Ivey enters the game for M. Morris,43-41, ,,2,43,41,2,1025.0
6:55.0, ,43-41,D. Mitchell enters the game for D. Garland,,2,43,41,2,1025.0
6:55.0, ,43-41,I. Okoro enters the game for C. LeVert,,2,43,41,2,1025.0
6:55.0, ,43-42,E. Mobley makes free throw 1 of 2,,2,43,42,1,1025.0
6:55.0, ,43-43,E. Mobley makes free throw 2 of 2,Tie,2,43,43,0,1025.0
6:31.0,J. Ivey makes 2-pt jump shot from 3 ft,45-43, ,,2,45,43,2,1049.0
6:10.0, ,45-46,S. Merrill makes 3-pt jump shot from 23 ft (assist by E. Mobley),Lead change,2,45,46,-1,1070.0
6:10.0,B. Bogdanović enters the game for A. Burks,45-46, ,,2,45,46,-1,1070.0
6:10.0,C. Cunningham enters the game for D. Gallinari,45-46, ,,2,45,46,-1,1070.0
6:10.0,J. Duren enters the game for A. Thompson,45-46, ,,2,45,46,-1,1070.0
6:10.0, ,45-46,J. Allen enters the game for E. Mobley,,2,45,46,-1,1070.0
5:48.0,Turnover by J. Ivey (bad pass; steal by I. Okoro),45-46, ,,2,45,46,-1,1092.0
5:41.0, ,45-46,I. Okoro misses 2-pt layup from 2 ft (block by J. Ivey),,2,45,46,-1,1099.0
5:41.0, ,45-46,Offensive rebound by Team,,2,45,46,-1,1099.0
5:23.0, ,45-46,Shooting foul by C. Cunningham (drawn by D. Mitchell),,2,45,46,-1,1117.0
5:23.0, ,45-46,Instant Replay (Request: Ruling Stands),,2,45,46,-1,1117.0
5:23.0, ,45-47,D. Mitchell makes free throw 1 of 2,,2,45,47,-2,1117.0
5:23.0, ,45-48,D. Mitchell makes free throw 2 of 2,,2,45,48,-3,1117.0
5:12.0,J. Ivey misses 3-pt jump shot from 25 ft,45-48, ,,2,45,48,-3,1128.0
5:08.0, ,45-48,Defensive rebound by G. Niang,,2,45,48,-3,1132.0
5:01.0, ,45-51,S. Merrill makes 3-pt jump shot from 26 ft (assist by G. Niang),,2,45,51,-6,1139.0
4:50.0,J. Duren makes 2-pt layup from 1 ft,47-51, ,,2,47,51,-4,1150.0
4:33.0, ,47-51,S. Merrill misses 3-pt jump shot from 25 ft,,2,47,51,-4,1167.0
4:31.0, ,47-51,Offensive rebound by J. Allen,,2,47,51,-4,1169.0
4:30.0, ,47-51,Turnover by J. Allen (lost ball; steal by J. Ivey),,2,47,51,-4,1170.0
4:17.0,M. Sasser misses 2-pt jump shot from 7 ft,47-51, ,,2,47,51,-4,1183.0
4:12.0, ,47-51,Defensive rebound by S. Merrill,,2,47,51,-4,1188.0
4:06.0, ,47-53,J. Allen makes 2-pt layup from 2 ft (assist by S. Merrill),,2,47,53,-6,1194.0
3:52.0,Turnover by J. Ivey (bad pass; steal by D. Mitchell),47-53, ,,2,47,53,-6,1208.0
3:49.0, ,47-55,I. Okoro makes 2-pt layup from 1 ft (assist by G. Niang),,2,47,55,-8,1211.0
3:49.0,Violation by Team (def goaltending),47-55, ,,2,47,55,-8,1211.0
3:49.0,Detroit full timeout,47-55, ,,2,47,55,-8,1211.0
3:49.0, ,47-55,M. Strus enters the game for G. Niang,,2,47,55,-8,1211.0
3:25.0,B. Bogdanović makes 2-pt jump shot from 11 ft,49-55, ,,2,49,55,-6,1235.0
3:11.0, ,49-55,Personal foul by M. Sasser (drawn by S. Merrill),,2,49,55,-6,1249.0
3:11.0,A. Burks enters the game for M. Sasser,49-55, ,,2,49,55,-6,1249.0
3:01.0, ,49-55,M. Strus misses 2-pt layup from 2 ft (block by A. Burks),,2,49,55,-6,1259.0
2:57.0, ,49-55,Offensive rebound by J. Allen,,2,49,55,-6,1263.0
2:56.0, ,49-57,J. Allen makes 2-pt hook shot from 7 ft,,2,49,57,-8,1264.0
2:44.0,J. Duren makes 2-pt dunk at rim (assist by C. Cunningham),51-57, ,,2,51,57,-6,1276.0
2:31.0, ,51-60,D. Mitchell makes 3-pt jump shot from 24 ft,,2,51,60,-9,1289.0
2:17.0,C. Cunningham misses 2-pt layup from 2 ft,51-60, ,,2,51,60,-9,1303.0
2:15.0, ,51-60,Defensive rebound by S. Merrill,,2,51,60,-9,1305.0
2:09.0, ,51-60,Turnover by M. Strus (back court),,2,51,60,-9,1311.0
1:52.0,C. Cunningham makes 2-pt jump shot from 9 ft,53-60, ,,2,53,60,-7,1328.0
1:35.0, ,53-60,D. Mitchell misses 3-pt jump shot from 25 ft,,2,53,60,-7,1345.0
1:33.0,Defensive rebound by J. Ivey,53-60, ,,2,53,60,-7,1347.0
1:31.0,J. Ivey makes 2-pt dunk at rim,55-60, ,,2,55,60,-5,1349.0
1:18.0, ,55-62,S. Merrill makes 2-pt layup from 2 ft (assist by D. Mitchell),,2,55,62,-7,1362.0
0:52.0,Turnover by Team (shot clock),55-62, ,,2,55,62,-7,1388.0
0:39.0, ,55-64,D. Mitchell makes 2-pt layup from 1 ft,,2,55,64,-9,1401.0
0:29.0,C. Cunningham makes 2-pt jump shot from 13 ft,57-64, ,,2,57,64,-7,1411.0
0:08.0, ,57-64,S. Merrill misses 3-pt jump shot from 26 ft,,2,57,64,-7,1432.0
0:08.0, ,57-64,Offensive rebound by J. Allen,,2,57,64,-7,1432.0
0:05.0, ,57-64,J. Allen misses 2-pt hook shot from 2 ft,,2,57,64,-7,1435.0
0:04.0,Defensive rebound by Team,57-64, ,,2,57,64,-7,1436.0
0:04.0, ,57-64,D. Wade enters the game for D. Mitchell,,2,57,64,-7,1436.0
0:00.0,C. Cunningham misses 3-pt jump shot from 36 ft,57-64, ,,2,57,64,-7,1440.0
0:00.0,Offensive rebound by Team,57-64, ,,2,57,64,-7,1440.0
0:00.0,End of 2nd quarter,57-64,,,2,57,64,-7,1440.0
12:00.0,Start of 3rd quarter,57-64,,,3,57,64,-7,1440.0
11:31.0,D. Gallinari makes 3-pt jump shot from 23 ft,60-64, ,,3,60,64,-4,1469.0
11:16.0, ,60-64,E. Mobley misses 3-pt jump shot from 27 ft,,3,60,64,-4,1484.0
11:13.0,Defensive rebound by J. Duren,60-64, ,,3,60,64,-4,1487.0
11:03.0,J. Duren makes 2-pt layup from 1 ft (assist by C. Cunningham),62-64, ,,3,62,64,-2,1497.0
10:49.0, ,62-66,J. Allen makes 2-pt layup from 1 ft (assist by E. Mobley),,3,62,66,-4,1511.0
10:38.0,Offensive foul by J. Ivey (drawn by D. Garland),62-66, ,,3,62,66,-4,1522.0
10:38.0,Turnover by J. Ivey (offensive foul),62-66, ,,3,62,66,-4,1522.0
10:23.0, ,62-68,D. Garland makes 2-pt jump shot from 11 ft,,3,62,68,-6,1537.0
10:11.0,J. Ivey makes 3-pt jump shot from 25 ft (assist by C. Cunningham),65-68, ,,3,65,68,-3,1549.0
9:58.0, ,65-68,D. Mitchell misses 2-pt layup from 2 ft,,3,65,68,-3,1562.0
9:55.0, ,65-68,Offensive rebound by D. Mitchell,,3,65,68,-3,1565.0
9:54.0, ,65-68,Shooting foul by J. Ivey (drawn by D. Mitchell),,3,65,68,-3,1566.0
9:54.0, ,65-69,D. Mitchell makes free throw 1 of 2,,3,65,69,-4,1566.0
9:54.0, ,65-70,D. Mitchell makes free throw 2 of 2,,3,65,70,-5,1566.0
9:43.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by C. Cunningham),68-70, ,,3,68,70,-2,1577.0
9:23.0, ,68-70,D. Mitchell misses 3-pt jump shot from 25 ft,,3,68,70,-2,1597.0
9:20.0,Defensive rebound by C. Cunningham,68-70, ,,3,68,70,-2,1600.0
9:10.0,Personal foul by E. Mobley (drawn by J. Ivey),68-70, ,,3,68,70,-2,1610.0
9:02.0,J. Duren misses 2-pt jump shot from 11 ft,68-70, ,,3,68,70,-2,1618.0
9:01.0, ,68-70,Defensive rebound by Team,,3,68,70,-2,1619.0
8:47.0, ,68-70,Turnover by D. Mitchell (bad pass; steal by C. Cunningham),,3,68,70,-2,1633.0
8:41.0,C. Cunningham makes 3-pt jump shot from 32 ft (assist by D. Gallinari),71-70, ,Lead change,3,71,70,1,1639.0
8:24.0, ,71-73,D. Garland makes 3-pt jump shot from 23 ft (assist by D. Mitchell),Lead change,3,71,73,-2,1656.0
8:10.0,B. Bogdanović misses 3-pt jump shot from 25 ft,71-73, ,,3,71,73,-2,1670.0
8:03.0, ,71-73,Defensive rebound by D. Mitchell,,3,71,73,-2,1677.0
8:03.0, ,71-75,D. Mitchell makes 2-pt layup at rim,,3,71,75,-4,1677.0
7:51.0,C. Cunningham makes 2-pt jump shot from 16 ft,73-75, ,,3,73,75,-2,1689.0
7:35.0, ,73-77,J. Allen makes 2-pt hook shot from 8 ft (assist by D. Garland),,3,73,77,-4,1705.0
7:06.0,J. Duren misses 2-pt hook shot from 7 ft,73-77, ,,3,73,77,-4,1734.0
7:04.0, ,73-77,Defensive rebound by J. Allen,,3,73,77,-4,1736.0
7:00.0, ,73-77,Shooting foul by J. Ivey (drawn by D. Garland),,3,73,77,-4,1740.0
7:00.0, ,73-78,D. Garland makes free throw 1 of 2,,3,73,78,-5,1740.0
7:00.0,K. Knox enters the game for D. Gallinari,73-78, ,,3,73,78,-5,1740.0
7:00.0, ,73-78,D. Wade enters the game for E. Mobley,,3,73,78,-5,1740.0
7:00.0, ,73-79,D. Garland makes free throw 2 of 2,,3,73,79,-6,1740.0
6:51.0,Shooting foul by D. Wade (drawn by C. Cunningham),73-79, ,,3,73,79,-6,1749.0
6:51.0, ,73-79,Cleveland full timeout,,3,73,79,-6,1749.0
6:51.0, ,73-79,I. Okoro enters the game for D. Garland,,3,73,79,-6,1749.0
6:51.0,C. Cunningham misses free throw 1 of 2,73-79, ,,3,73,79,-6,1749.0
6:51.0,Offensive rebound by Team,73-79, ,,3,73,79,-6,1749.0
6:51.0,C. Cunningham makes free throw 2 of 2,74-79, ,,3,74,79,-5,1749.0
6:37.0, ,74-79,M. Strus misses 3-pt jump shot from 26 ft,,3,74,79,-5,1763.0
6:34.0,Defensive rebound by B. Bogdanović,74-79, ,,3,74,79,-5,1766.0
6:16.0,B. Bogdanović misses 2-pt jump shot from 19 ft,74-79, ,,3,74,79,-5,1784.0
6:10.0,Offensive rebound by K. Knox,74-79, ,,3,74,79,-5,1790.0
6:10.0,Turnover by K. Knox (bad pass; steal by I. Okoro),74-79, ,,3,74,79,-5,1790.0
6:10.0, ,74-79,Shooting foul by C. Cunningham (drawn by I. Okoro),,3,74,79,-5,1790.0
6:10.0, ,74-80,I. Okoro makes free throw 1 of 2,,3,74,80,-6,1790.0
6:10.0, ,74-81,I. Okoro makes free throw 2 of 2,,3,74,81,-7,1790.0
5:55.0,Personal foul by J. Allen (drawn by C. Cunningham),74-81, ,,3,74,81,-7,1805.0
5:55.0, ,74-81,C. LeVert enters the game for M. Strus,,3,74,81,-7,1805.0
5:49.0,K. Knox makes 2-pt dunk from 1 ft (assist by C. Cunningham),76-81, ,,3,76,81,-5,1811.0
5:49.0,Shooting foul by J. Allen (drawn by K. Knox),76-81, ,,3,76,81,-5,1811.0
5:49.0,K. Knox makes free throw 1 of 1,77-81, ,,3,77,81,-4,1811.0
5:32.0, ,77-81,D. Wade misses 2-pt layup from 1 ft,,3,77,81,-4,1828.0
5:29.0,Defensive rebound by J. Duren,77-81, ,,3,77,81,-4,1831.0
5:24.0,J. Ivey misses 2-pt layup from 2 ft,77-81, ,,3,77,81,-4,1836.0
5:24.0, ,77-81,Defensive rebound by Team,,3,77,81,-4,1836.0
5:04.0, ,77-81,J. Allen misses 2-pt hook shot from 8 ft,,3,77,81,-4,1856.0
5:02.0,Defensive rebound by K. Knox,77-81, ,,3,77,81,-4,1858.0
4:58.0,K. Knox makes 2-pt layup from 2 ft,79-81, ,,3,79,81,-2,1862.0
4:48.0, ,79-83,D. Mitchell makes 2-pt layup from 1 ft,,3,79,83,-4,1872.0
4:28.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by J. Ivey),82-83, ,,3,82,83,-1,1892.0
4:10.0, ,82-85,C. LeVert makes 2-pt jump shot from 11 ft,,3,82,85,-3,1910.0
3:53.0,Shooting foul by D. Wade (drawn by J. Ivey),82-85, ,,3,82,85,-3,1927.0
3:53.0,J. Ivey misses free throw 1 of 2,82-85, ,,3,82,85,-3,1927.0
3:53.0,Offensive rebound by Team,82-85, ,,3,82,85,-3,1927.0
3:53.0,D. Gallinari enters the game for J. Duren,82-85, ,,3,82,85,-3,1927.0
3:53.0, ,82-85,E. Mobley enters the game for J. Allen,,3,82,85,-3,1927.0
3:53.0, ,82-85,G. Niang enters the game for D. Wade,,3,82,85,-3,1927.0
3:53.0,J. Ivey makes free throw 2 of 2,83-85, ,,3,83,85,-2,1927.0
3:36.0, ,83-88,D. Mitchell makes 3-pt jump shot from 25 ft (assist by E. Mobley),,3,83,88,-5,1944.0
3:36.0,A. Burks enters the game for C. Cunningham,83-88, ,,3,83,88,-5,1944.0
3:36.0,M. Morris enters the game for J. Ivey,83-88, ,,3,83,88,-5,1944.0
3:28.0,Turnover by B. Bogdanović (lost ball; steal by I. Okoro),83-88, ,,3,83,88,-5,1952.0
3:23.0, ,83-90,I. Okoro makes 2-pt dunk from 1 ft,,3,83,90,-7,1957.0
3:11.0,Personal foul by I. Okoro (drawn by B. Bogdanović),83-90, ,,3,83,90,-7,1969.0
3:11.0,B. Bogdanović makes free throw 1 of 2,84-90, ,,3,84,90,-6,1969.0
3:11.0,B. Bogdanović makes free throw 2 of 2,85-90, ,,3,85,90,-5,1969.0
2:54.0, ,85-92,E. Mobley makes 2-pt dunk from 1 ft (assist by G. Niang),,3,85,92,-7,1986.0
2:38.0,D. Gallinari misses 2-pt dunk from 1 ft (block by C. LeVert),85-92, ,,3,85,92,-7,2002.0
2:34.0, ,85-92,Defensive rebound by C. LeVert,,3,85,92,-7,2006.0
2:31.0, ,85-92,C. LeVert misses 2-pt jump shot from 2 ft,,3,85,92,-7,2009.0
