Time,Detroit,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:46.0, ,12-10,T. Herro misses 2-pt jump shot from 16 ft,,1,12,10,2,254.0
7:43.0,Defensive rebound by A. Thompson,12-10, ,,1,12,10,2,257.0
7:42.0,Turnover by A. Thompson (lost ball; steal by T. Herro),12-10, ,,1,12,10,2,258.0
7:39.0, ,12-12,J. Butler makes 2-pt layup from 3 ft (assist by T. Herro),Tie,1,12,12,0,261.0
7:39.0, ,12-12,Shooting foul by J. Duren (drawn by J. Butler),,1,12,12,0,261.0
7:39.0, ,12-13,J. Butler makes free throw 1 of 1,Lead change,1,12,13,-1,261.0
7:27.0,Turnover by J. Duren (bad pass; steal by J. Butler),12-13, ,,1,12,13,-1,273.0
7:23.0, ,12-13,Shooting foul by J. Duren (drawn by B. Adebayo),,1,12,13,-1,277.0
7:23.0, ,12-13,B. Adebayo misses free throw 1 of 2,,1,12,13,-1,277.0
7:23.0, ,12-13,Offensive rebound by Team,,1,12,13,-1,277.0
7:23.0, ,12-14,B. Adebayo makes free throw 2 of 2,,1,12,14,-2,277.0
7:09.0,Turnover by C. Cunningham (bad pass; steal by J. Butler),12-14, ,,1,12,14,-2,291.0
7:03.0, ,12-14,B. Adebayo misses 2-pt layup from 6 ft,,1,12,14,-2,297.0
7:00.0, ,12-14,Offensive rebound by K. Love,,1,12,14,-2,300.0
7:00.0, ,12-14,K. Love misses 2-pt layup from 2 ft (block by J. Duren),,1,12,14,-2,300.0
7:00.0, ,12-14,Shooting foul by I. Stewart (drawn by K. Love),,1,12,14,-2,300.0
7:00.0, ,12-15,K. Love makes free throw 1 of 2,,1,12,15,-3,300.0
7:00.0, ,12-16,K. Love makes free throw 2 of 2,,1,12,16,-4,300.0
6:45.0,C. Cunningham makes 2-pt layup from 6 ft (assist by K. Hayes),14-16, ,,1,14,16,-2,315.0
6:37.0, ,14-16,Turnover by T. Herro (bad pass; steal by K. Hayes),,1,14,16,-2,323.0
6:31.0,Turnover by J. Duren (bad pass; steal by K. Lowry),14-16, ,,1,14,16,-2,329.0
6:24.0, ,14-18,J. Butler makes 2-pt jump shot from 6 ft (assist by B. Adebayo),,1,14,18,-4,336.0
6:23.0,Detroit full timeout,14-18, ,,1,14,18,-4,337.0
6:23.0,M. Bagley enters the game for J. Duren,14-18, ,,1,14,18,-4,337.0
6:23.0, ,14-18,C. Martin enters the game for T. Herro,,1,14,18,-4,337.0
6:09.0,C. Cunningham makes 2-pt jump shot from 15 ft,16-18, ,,1,16,18,-2,351.0
5:53.0, ,16-20,J. Butler makes 2-pt jump shot from 13 ft (assist by K. Lowry),,1,16,20,-4,367.0
5:30.0,C. Cunningham makes 2-pt jump shot from 13 ft,18-20, ,,1,18,20,-2,390.0
5:19.0, ,18-20,Personal foul by A. Thompson (drawn by B. Adebayo),,1,18,20,-2,401.0
5:19.0,J. Ivey enters the game for K. Hayes,18-20, ,,1,18,20,-2,401.0
5:08.0, ,18-20,C. Martin misses 3-pt jump shot from 25 ft,,1,18,20,-2,412.0
5:03.0,Defensive rebound by M. Bagley,18-20, ,,1,18,20,-2,417.0
4:51.0,I. Stewart misses 2-pt hook shot from 7 ft,18-20, ,,1,18,20,-2,429.0
4:48.0, ,18-20,Defensive rebound by J. Butler,,1,18,20,-2,432.0
4:48.0, ,18-20,Personal foul by C. Cunningham (drawn by B. Adebayo),,1,18,20,-2,432.0
4:48.0, ,18-21,B. Adebayo makes free throw 1 of 2,,1,18,21,-3,432.0
4:48.0, ,18-22,B. Adebayo makes free throw 2 of 2,,1,18,22,-4,432.0
4:29.0,Turnover by I. Stewart (bad pass),18-22, ,,1,18,22,-4,451.0
4:18.0, ,18-22,B. Adebayo misses 2-pt jump shot from 12 ft,,1,18,22,-4,462.0
4:13.0,Defensive rebound by I. Stewart,18-22, ,,1,18,22,-4,467.0
4:04.0,J. Ivey misses 2-pt jump shot from 10 ft,18-22, ,,1,18,22,-4,476.0
3:58.0,Offensive rebound by A. Thompson,18-22, ,,1,18,22,-4,482.0
3:56.0,I. Stewart makes 3-pt jump shot from 24 ft (assist by M. Bagley),21-22, ,,1,21,22,-1,484.0
3:30.0, ,21-22,C. Martin misses 2-pt jump shot from 13 ft,,1,21,22,-1,510.0
3:26.0,Defensive rebound by J. Ivey,21-22, ,,1,21,22,-1,514.0
3:19.0,J. Ivey misses 2-pt layup from 9 ft (block by B. Adebayo),21-22, ,,1,21,22,-1,521.0
3:15.0, ,21-22,Defensive rebound by K. Love,,1,21,22,-1,525.0
3:13.0, ,21-24,B. Adebayo makes 2-pt dunk from 1 ft (assist by K. Love),,1,21,24,-3,527.0
2:54.0,J. Ivey misses 3-pt jump shot from 24 ft,21-24, ,,1,21,24,-3,546.0
2:53.0, ,21-24,Defensive rebound by Team,,1,21,24,-3,547.0
2:53.0, ,21-24,Miami full timeout,,1,21,24,-3,547.0
2:53.0,A. Burks enters the game for C. Cunningham,21-24, ,,1,21,24,-3,547.0
2:53.0,J. Harris enters the game for I. Stewart,21-24, ,,1,21,24,-3,547.0
2:53.0,M. Sasser enters the game for A. Thompson,21-24, ,,1,21,24,-3,547.0
2:53.0, ,21-24,T. Bryant enters the game for B. Adebayo,,1,21,24,-3,547.0
2:53.0, ,21-24,T. Herro enters the game for J. Butler,,1,21,24,-3,547.0
2:53.0, ,21-24,J. Jaquez enters the game for K. Love,,1,21,24,-3,547.0
2:53.0, ,21-24,D. Robinson enters the game for K. Lowry,,1,21,24,-3,547.0
2:34.0, ,21-24,T. Herro misses 2-pt jump shot from 17 ft,,1,21,24,-3,566.0
2:30.0,Defensive rebound by M. Bagley,21-24, ,,1,21,24,-3,570.0
2:07.0,J. Ivey misses 2-pt layup from 6 ft,21-24, ,,1,21,24,-3,593.0
2:02.0,Offensive rebound by M. Bagley,21-24, ,,1,21,24,-3,598.0
2:02.0,M. Bagley makes 2-pt layup at rim,23-24, ,,1,23,24,-1,598.0
1:44.0, ,23-24,T. Bryant misses 2-pt hook shot from 3 ft,,1,23,24,-1,616.0
1:41.0,Defensive rebound by M. Bagley,23-24, ,,1,23,24,-1,619.0
1:38.0,Offensive foul by M. Bagley (drawn by C. Martin),23-24, ,,1,23,24,-1,622.0
1:38.0,Turnover by M. Bagley (offensive foul),23-24, ,,1,23,24,-1,622.0
1:26.0, ,23-24,T. Herro misses 3-pt jump shot from 27 ft,,1,23,24,-1,634.0
1:23.0,Defensive rebound by M. Bagley,23-24, ,,1,23,24,-1,637.0
1:16.0,M. Sasser makes 3-pt jump shot from 25 ft (assist by M. Bagley),26-24, ,Lead change,1,26,24,2,644.0
0:58.0, ,26-24,T. Bryant misses 2-pt jump shot from 16 ft,,1,26,24,2,662.0
0:55.0,Defensive rebound by A. Burks,26-24, ,,1,26,24,2,665.0
0:41.0,Turnover by J. Ivey (lost ball; steal by J. Jaquez),26-24, ,,1,26,24,2,679.0
0:36.0, ,26-24,T. Herro misses 2-pt layup from 2 ft (block by M. Bagley),,1,26,24,2,684.0
0:32.0, ,26-24,Offensive rebound by C. Martin,,1,26,24,2,688.0
0:26.0, ,26-26,J. Jaquez makes 2-pt layup from 3 ft (assist by C. Martin),Tie,1,26,26,0,694.0
0:05.0,A. Burks makes 3-pt jump shot from 26 ft (assist by M. Sasser),29-26, ,,1,29,26,3,715.0
0:01.0, ,29-26,T. Herro misses 3-pt jump shot from 24 ft,,1,29,26,3,719.0
0:00.0, ,29-26,Offensive rebound by Team,,1,29,26,3,720.0
0:00.0,End of 1st quarter,29-26,,,1,29,26,3,720.0
12:00.0,Start of 2nd quarter,29-26,,,2,29,26,3,720.0
11:39.0, ,29-28,J. Jaquez makes 2-pt layup from 2 ft,,2,29,28,1,741.0
11:18.0,Turnover by K. Hayes (bad pass; steal by C. Martin),29-28, ,,2,29,28,1,762.0
11:14.0, ,29-28,C. Martin misses 2-pt layup from 6 ft (block by K. Hayes),,2,29,28,1,766.0
11:14.0,Defensive rebound by Team,29-28, ,,2,29,28,1,766.0
10:59.0,J. Duren misses 2-pt hook shot from 6 ft,29-28, ,,2,29,28,1,781.0
10:57.0, ,29-28,Defensive rebound by C. Martin,,2,29,28,1,783.0
10:44.0, ,29-31,D. Robinson makes 3-pt jump shot from 26 ft (assist by T. Bryant),Lead change,2,29,31,-2,796.0
10:31.0,A. Burks misses 2-pt jump shot from 16 ft,29-31, ,,2,29,31,-2,809.0
10:29.0,Offensive rebound by J. Duren,29-31, ,,2,29,31,-2,811.0
10:26.0,Turnover by M. Sasser (traveling),29-31, ,,2,29,31,-2,814.0
10:26.0, ,29-31,D. Smith enters the game for C. Martin,,2,29,31,-2,814.0
10:04.0, ,29-33,T. Herro makes 2-pt jump shot from 7 ft,,2,29,33,-4,836.0
9:50.0,Shooting foul by J. Jaquez (drawn by A. Burks),29-33, ,,2,29,33,-4,850.0
9:50.0,A. Burks makes free throw 1 of 2,30-33, ,,2,30,33,-3,850.0
9:50.0,C. Cunningham enters the game for M. Sasser,30-33, ,,2,30,33,-3,850.0
9:50.0,A. Burks misses free throw 2 of 2,30-33, ,,2,30,33,-3,850.0
9:46.0, ,30-33,Defensive rebound by J. Jaquez,,2,30,33,-3,854.0
9:41.0, ,30-33,D. Smith misses 3-pt jump shot from 23 ft,,2,30,33,-3,859.0
9:39.0, ,30-33,Offensive rebound by T. Bryant,,2,30,33,-3,861.0
9:39.0, ,30-33,Shooting foul by J. Harris (drawn by T. Bryant),,2,30,33,-3,861.0
9:39.0, ,30-33,T. Bryant misses free throw 1 of 2,,2,30,33,-3,861.0
9:39.0, ,30-33,Offensive rebound by Team,,2,30,33,-3,861.0
9:39.0,A. Thompson enters the game for J. Harris,30-33, ,,2,30,33,-3,861.0
9:39.0, ,30-34,T. Bryant makes free throw 2 of 2,,2,30,34,-4,861.0
9:27.0,K. Hayes misses 3-pt jump shot from 25 ft,30-34, ,,2,30,34,-4,873.0
9:23.0,Offensive rebound by J. Duren,30-34, ,,2,30,34,-4,877.0
9:16.0,A. Thompson misses 2-pt layup from 2 ft,30-34, ,,2,30,34,-4,884.0
9:12.0, ,30-34,Defensive rebound by T. Bryant,,2,30,34,-4,888.0
9:05.0, ,30-36,D. Robinson makes 2-pt layup from 3 ft (assist by D. Smith),,2,30,36,-6,895.0
8:38.0,Turnover by C. Cunningham (lost ball; steal by J. Jaquez),30-36, ,,2,30,36,-6,922.0
8:35.0, ,30-38,T. Bryant makes 2-pt jump shot from 9 ft (assist by J. Jaquez),,2,30,38,-8,925.0
8:35.0, ,30-38,Shooting foul by K. Hayes (drawn by T. Bryant),,2,30,38,-8,925.0
8:35.0, ,30-38,C. Martin enters the game for J. Jaquez,,2,30,38,-8,925.0
8:35.0, ,30-39,T. Bryant makes free throw 1 of 1,,2,30,39,-9,925.0
8:21.0,J. Duren makes 2-pt jump shot from 4 ft (assist by C. Cunningham),32-39, ,,2,32,39,-7,939.0
8:21.0,Shooting foul by D. Robinson (drawn by J. Duren),32-39, ,,2,32,39,-7,939.0
8:21.0,J. Duren misses free throw 1 of 1,32-39, ,,2,32,39,-7,939.0
8:20.0, ,32-39,Defensive rebound by T. Herro,,2,32,39,-7,940.0
8:02.0, ,32-39,Turnover by T. Bryant (3 sec),,2,32,39,-7,958.0
8:02.0,I. Stewart enters the game for K. Hayes,32-39, ,,2,32,39,-7,958.0
7:52.0,A. Burks misses 3-pt jump shot from 26 ft,32-39, ,,2,32,39,-7,968.0
7:49.0, ,32-39,Defensive rebound by Team,,2,32,39,-7,971.0
7:49.0,J. Ivey enters the game for A. Burks,32-39, ,,2,32,39,-7,971.0
7:30.0, ,32-39,D. Robinson misses 2-pt jump shot from 6 ft,,2,32,39,-7,990.0
7:28.0, ,32-39,Offensive rebound by D. Robinson,,2,32,39,-7,992.0
7:28.0, ,32-39,J. Butler enters the game for C. Martin,,2,32,39,-7,992.0
7:16.0, ,32-39,T. Herro misses 2-pt jump shot from 17 ft,,2,32,39,-7,1004.0
7:10.0,Defensive rebound by A. Thompson,32-39, ,,2,32,39,-7,1010.0
7:04.0,A. Thompson makes 3-pt jump shot from 25 ft,35-39, ,,2,35,39,-4,1016.0
6:46.0, ,35-41,D. Smith makes 2-pt jump shot from 6 ft,,2,35,41,-6,1034.0
6:36.0,Personal foul by D. Smith (drawn by A. Thompson),35-41, ,,2,35,41,-6,1044.0
6:36.0, ,35-41,Miami full timeout,,2,35,41,-6,1044.0
6:36.0, ,35-41,B. Adebayo enters the game for T. Bryant,,2,35,41,-6,1044.0
6:36.0, ,35-41,K. Lowry enters the game for T. Herro,,2,35,41,-6,1044.0
6:33.0,C. Cunningham misses 2-pt jump shot from 6 ft (block by K. Lowry),35-41, ,,2,35,41,-6,1047.0
6:29.0,Offensive rebound by I. Stewart,35-41, ,,2,35,41,-6,1051.0
6:25.0,A. Thompson misses 2-pt jump shot from 11 ft,35-41, ,,2,35,41,-6,1055.0
6:21.0, ,35-41,Defensive rebound by D. Robinson,,2,35,41,-6,1059.0
6:07.0, ,35-41,Shooting foul by J. Ivey (drawn by J. Butler),,2,35,41,-6,1073.0
6:07.0, ,35-42,J. Butler makes free throw 1 of 2,,2,35,42,-7,1073.0
6:07.0, ,35-43,J. Butler makes free throw 2 of 2,,2,35,43,-8,1073.0
5:58.0,C. Cunningham makes 2-pt jump shot from 19 ft (assist by J. Duren),37-43, ,,2,37,43,-6,1082.0
5:36.0, ,37-43,Personal foul by A. Thompson (drawn by D. Robinson),,2,37,43,-6,1104.0
5:27.0, ,37-43,J. Butler misses 2-pt jump shot from 14 ft,,2,37,43,-6,1113.0
5:24.0,Defensive rebound by A. Thompson,37-43, ,,2,37,43,-6,1116.0
5:24.0,M. Bagley enters the game for J. Duren,37-43, ,,2,37,43,-6,1116.0
5:17.0,C. Cunningham makes 2-pt jump shot from 15 ft (assist by J. Ivey),39-43, ,,2,39,43,-4,1123.0
4:58.0, ,39-46,D. Robinson makes 3-pt jump shot from 23 ft (assist by J. Butler),,2,39,46,-7,1142.0
4:38.0,C. Cunningham makes 2-pt layup from 6 ft (assist by J. Ivey),41-46, ,,2,41,46,-5,1162.0
4:20.0, ,41-48,B. Adebayo makes 2-pt jump shot from 8 ft,,2,41,48,-7,1180.0
4:10.0,Turnover by J. Ivey (lost ball; steal by K. Lowry),41-48, ,,2,41,48,-7,1190.0
4:09.0, ,41-48,Personal foul by J. Ivey (drawn by B. Adebayo),,2,41,48,-7,1191.0
4:09.0, ,41-49,B. Adebayo makes free throw 1 of 2,,2,41,49,-8,1191.0
4:09.0,K. Hayes enters the game for C. Cunningham,41-49, ,,2,41,49,-8,1191.0
4:09.0, ,41-49,K. Love enters the game for D. Smith,,2,41,49,-8,1191.0
4:09.0, ,41-50,B. Adebayo makes free throw 2 of 2,,2,41,50,-9,1191.0
3:47.0,K. Hayes makes 2-pt jump shot from 15 ft (assist by M. Bagley),43-50, ,,2,43,50,-7,1213.0
3:28.0, ,43-52,D. Robinson makes 2-pt layup from 2 ft (assist by B. Adebayo),,2,43,52,-9,1232.0
3:12.0,K. Hayes misses 3-pt jump shot from 25 ft,43-52, ,,2,43,52,-9,1248.0
3:08.0, ,43-52,Defensive rebound by B. Adebayo,,2,43,52,-9,1252.0
3:03.0, ,43-52,D. Robinson misses 3-pt jump shot from 23 ft,,2,43,52,-9,1257.0
2:58.0,Defensive rebound by J. Ivey,43-52, ,,2,43,52,-9,1262.0
2:55.0,J. Ivey misses 2-pt jump shot from 16 ft,43-52, ,,2,43,52,-9,1265.0
2:47.0,Offensive rebound by A. Thompson,43-52, ,,2,43,52,-9,1273.0
2:47.0,A. Thompson misses 2-pt dunk at rim,43-52, ,,2,43,52,-9,1273.0
2:47.0, ,43-52,Defensive rebound by B. Adebayo,,2,43,52,-9,1273.0
2:45.0, ,43-52,D. Robinson misses 2-pt jump shot from 7 ft,,2,43,52,-9,1275.0
2:41.0,Defensive rebound by I. Stewart,43-52, ,,2,43,52,-9,1279.0
2:38.0,A. Thompson misses 3-pt jump shot from 23 ft,43-52, ,,2,43,52,-9,1282.0
2:34.0, ,43-52,Defensive rebound by K. Lowry,,2,43,52,-9,1286.0
2:18.0, ,43-52,Shooting foul by J. Ivey (drawn by B. Adebayo),,2,43,52,-9,1302.0
2:18.0,Detroit full timeout,43-52, ,,2,43,52,-9,1302.0
2:18.0,C. Cunningham enters the game for M. Bagley,43-52, ,,2,43,52,-9,1302.0
2:18.0,J. Duren enters the game for J. Ivey,43-52, ,,2,43,52,-9,1302.0
2:18.0, ,43-52,T. Herro enters the game for D. Robinson,,2,43,52,-9,1302.0
2:18.0, ,43-53,B. Adebayo makes free throw 1 of 2,,2,43,53,-10,1302.0
2:18.0, ,43-53,B. Adebayo misses free throw 2 of 2,,2,43,53,-10,1302.0
2:15.0,Defensive rebound by J. Duren,43-53, ,,2,43,53,-10,1305.0
1:53.0,Turnover by A. Thompson (lost ball; steal by T. Herro),43-53, ,,2,43,53,-10,1327.0
1:48.0, ,43-53,Offensive foul by B. Adebayo (drawn by C. Cunningham),,2,43,53,-10,1332.0
1:48.0, ,43-53,Turnover by B. Adebayo (offensive foul),,2,43,53,-10,1332.0
1:48.0,A. Burks enters the game for K. Hayes,43-53, ,,2,43,53,-10,1332.0
1:32.0,C. Cunningham makes 3-pt jump shot from 26 ft (assist by A. Thompson),46-53, ,,2,46,53,-7,1348.0
1:09.0, ,46-55,T. Herro makes 2-pt layup from 4 ft,,2,46,55,-9,1371.0
1:00.0,A. Thompson misses 2-pt layup from 4 ft,46-55, ,,2,46,55,-9,1380.0
0:56.0,Offensive rebound by A. Thompson,46-55, ,,2,46,55,-9,1384.0
0:56.0,A. Thompson misses 2-pt layup at rim,46-55, ,,2,46,55,-9,1384.0
0:54.0,Offensive rebound by I. Stewart,46-55, ,,2,46,55,-9,1386.0
0:47.0,Personal foul by B. Adebayo (drawn by A. Burks),46-55, ,,2,46,55,-9,1393.0
0:47.0, ,46-55,T. Bryant enters the game for B. Adebayo,,2,46,55,-9,1393.0
0:40.0,C. Cunningham misses 2-pt jump shot from 18 ft,46-55, ,,2,46,55,-9,1400.0
0:37.0, ,46-55,Defensive rebound by J. Butler,,2,46,55,-9,1403.0
0:31.0, ,46-58,K. Love makes 3-pt jump shot from 26 ft (assist by J. Butler),,2,46,58,-12,1409.0
0:07.0,I. Stewart misses 2-pt layup from 3 ft,46-58, ,,2,46,58,-12,1433.0
0:07.0,Offensive rebound by I. Stewart,46-58, ,,2,46,58,-12,1433.0
0:06.0,Turnover by Team (shot clock),46-58, ,,2,46,58,-12,1434.0
0:06.0, ,46-58,D. Robinson enters the game for T. Bryant,,2,46,58,-12,1434.0
0:05.0, ,46-58,Offensive foul by K. Love (drawn by A. Thompson),,2,46,58,-12,1435.0
0:05.0, ,46-58,Turnover by K. Love (offensive foul),,2,46,58,-12,1435.0
0:05.0, ,46-58,T. Bryant enters the game for D. Robinson,,2,46,58,-12,1435.0
0:00.0,Shooting foul by K. Love (drawn by A. Thompson),46-58, ,,2,46,58,-12,1440.0
0:00.0,Instant Replay (Request: Ruling Stands),46-58, ,,2,46,58,-12,1440.0
0:00.0,A. Thompson makes free throw 1 of 2,47-58, ,,2,47,58,-11,1440.0
0:00.0,A. Thompson misses free throw 2 of 2,47-58, ,,2,47,58,-11,1440.0
0:00.0,Offensive rebound by Team,47-58, ,,2,47,58,-11,1440.0
0:00.0,End of 2nd quarter,47-58,,,2,47,58,-11,1440.0
12:00.0,Start of 3rd quarter,47-58,,,3,47,58,-11,1440.0
11:47.0, ,47-58,J. Butler misses 2-pt jump shot from 9 ft,,3,47,58,-11,1453.0
11:43.0,Defensive rebound by J. Duren,47-58, ,,3,47,58,-11,1457.0
11:27.0,J. Duren misses 2-pt layup from 2 ft,47-58, ,,3,47,58,-11,1473.0
11:25.0, ,47-58,Defensive rebound by B. Adebayo,,3,47,58,-11,1475.0
11:16.0, ,47-61,K. Love makes 3-pt jump shot from 25 ft (assist by T. Herro),,3,47,61,-14,1484.0
10:58.0,K. Hayes makes 2-pt jump shot from 15 ft,49-61, ,,3,49,61,-12,1502.0
10:49.0, ,49-61,Personal foul by J. Duren (drawn by J. Butler),,3,49,61,-12,1511.0
10:40.0, ,49-63,T. Herro makes 2-pt jump shot from 9 ft,,3,49,63,-14,1520.0
10:23.0,Def 3 sec tech foul by Team,49-63, ,,3,49,63,-14,1537.0
10:23.0,K. Hayes misses technical free throw,49-63, ,,3,49,63,-14,1537.0
10:23.0,Offensive rebound by Team,49-63, ,,3,49,63,-14,1537.0
10:19.0,C. Cunningham misses 3-pt jump shot from 28 ft,49-63, ,,3,49,63,-14,1541.0
10:14.0, ,49-63,Defensive rebound by K. Love,,3,49,63,-14,1546.0
10:11.0, ,49-63,T. Herro misses 2-pt jump shot from 2 ft (block by C. Cunningham),,3,49,63,-14,1549.0
10:11.0, ,49-63,Offensive rebound by J. Butler,,3,49,63,-14,1549.0
10:06.0, ,49-63,J. Butler misses 2-pt jump shot from 4 ft (block by J. Duren),,3,49,63,-14,1554.0
10:06.0, ,49-63,Offensive rebound by J. Butler,,3,49,63,-14,1554.0
10:02.0, ,49-63,K. Love misses 3-pt jump shot from 26 ft,,3,49,63,-14,1558.0
10:02.0, ,49-63,Offensive rebound by J. Butler,,3,49,63,-14,1558.0
9:49.0, ,49-63,T. Herro misses 3-pt jump shot from 25 ft,,3,49,63,-14,1571.0
9:45.0,Defensive rebound by J. Duren,49-63, ,,3,49,63,-14,1575.0
9:37.0,C. Cunningham misses 2-pt layup from 4 ft,49-63, ,,3,49,63,-14,1583.0
9:34.0,Offensive rebound by J. Duren,49-63, ,,3,49,63,-14,1586.0
9:34.0,J. Duren misses 2-pt layup at rim,49-63, ,,3,49,63,-14,1586.0
9:34.0, ,49-63,Defensive rebound by Team,,3,49,63,-14,1586.0
9:34.0,Loose ball foul by C. Cunningham (drawn by K. Love),49-63, ,,3,49,63,-14,1586.0
9:15.0, ,49-63,B. Adebayo misses 2-pt jump shot from 12 ft,,3,49,63,-14,1605.0
9:11.0,Defensive rebound by I. Stewart,49-63, ,,3,49,63,-14,1609.0
9:07.0,J. Duren makes 2-pt dunk at rim (assist by A. Thompson),51-63, ,,3,51,63,-12,1613.0
8:42.0, ,51-63,J. Butler misses 2-pt jump shot from 4 ft,,3,51,63,-12,1638.0
8:40.0,Defensive rebound by I. Stewart,51-63, ,,3,51,63,-12,1640.0
8:36.0,J. Duren makes 2-pt layup from 3 ft (assist by C. Cunningham),53-63, ,,3,53,63,-10,1644.0
8:36.0,Shooting foul by K. Lowry (drawn by J. Duren),53-63, ,,3,53,63,-10,1644.0
8:36.0,J. Duren misses free throw 1 of 1,53-63, ,,3,53,63,-10,1644.0
8:35.0,Offensive rebound by I. Stewart,53-63, ,,3,53,63,-10,1645.0
8:34.0,I. Stewart misses 2-pt layup from 3 ft,53-63, ,,3,53,63,-10,1646.0
8:33.0, ,53-63,Defensive rebound by K. Love,,3,53,63,-10,1647.0
8:20.0, ,53-63,B. Adebayo misses 2-pt layup from 10 ft (block by A. Thompson),,3,53,63,-10,1660.0
8:15.0,Defensive rebound by J. Duren,53-63, ,,3,53,63,-10,1665.0
8:11.0,J. Duren makes 2-pt dunk from 1 ft (assist by A. Thompson),55-63, ,,3,55,63,-8,1669.0
7:59.0, ,55-63,J. Butler misses 2-pt layup from 3 ft (block by A. Thompson),,3,55,63,-8,1681.0
7:56.0, ,55-63,Offensive rebound by J. Butler,,3,55,63,-8,1684.0
7:54.0, ,55-65,B. Adebayo makes 2-pt jump shot from 11 ft (assist by J. Butler),,3,55,65,-10,1686.0
7:43.0,C. Cunningham misses 3-pt jump shot from 27 ft,55-65, ,,3,55,65,-10,1697.0
7:41.0, ,55-65,Defensive rebound by T. Herro,,3,55,65,-10,1699.0
7:23.0, ,55-67,T. Herro makes 2-pt jump shot from 5 ft (assist by K. Lowry),,3,55,67,-12,1717.0
7:08.0,K. Hayes misses 2-pt jump shot from 16 ft,55-67, ,,3,55,67,-12,1732.0
7:05.0, ,55-67,Defensive rebound by K. Lowry,,3,55,67,-12,1735.0
6:58.0, ,55-70,T. Herro makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,3,55,70,-15,1742.0
6:56.0,Detroit full timeout,55-70, ,,3,55,70,-15,1744.0
