Time,Detroit,Score,Charlotte,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:14.0,A. Burks makes technical free throw,23-16, ,,1,23,16,7,586.0
2:08.0,J. Ivey makes 3-pt jump shot from 27 ft (assist by M. Bagley),26-16, ,,1,26,16,10,592.0
1:58.0, ,26-19,L. Ball makes 3-pt jump shot from 23 ft,,1,26,19,7,602.0
1:45.0,Turnover by J. Ivey (traveling),26-19, ,,1,26,19,7,615.0
1:34.0, ,26-19,Shooting foul by J. Ivey (drawn by L. Ball),,1,26,19,7,626.0
1:34.0, ,26-20,L. Ball makes free throw 1 of 2,,1,26,20,6,626.0
1:34.0, ,26-21,L. Ball makes free throw 2 of 2,,1,26,21,5,626.0
1:20.0,J. Harris misses 3-pt jump shot from 26 ft,26-21, ,,1,26,21,5,640.0
1:18.0, ,26-21,Defensive rebound by L. Ball,,1,26,21,5,642.0
1:10.0, ,26-21,L. Ball misses 3-pt jump shot from 25 ft,,1,26,21,5,650.0
1:08.0, ,26-21,Offensive rebound by N. Richards,,1,26,21,5,652.0
1:08.0, ,26-21,Turnover by L. Ball (step out of bounds),,1,26,21,5,652.0
1:00.0,M. Sasser misses 3-pt jump shot from 26 ft,26-21, ,,1,26,21,5,660.0
0:58.0, ,26-21,Defensive rebound by T. Maledon,,1,26,21,5,662.0
0:52.0, ,26-21,T. Maledon misses 2-pt layup from 2 ft,,1,26,21,5,668.0
0:50.0,Defensive rebound by A. Burks,26-21, ,,1,26,21,5,670.0
0:47.0,Shooting foul by J. Thor (drawn by A. Burks),26-21, ,,1,26,21,5,673.0
0:47.0,A. Burks misses free throw 1 of 2,26-21, ,,1,26,21,5,673.0
0:47.0,Offensive rebound by Team,26-21, ,,1,26,21,5,673.0
0:47.0,A. Burks makes free throw 2 of 2,27-21, ,,1,27,21,6,673.0
0:37.0, ,27-21,Turnover by L. Ball (lost ball; steal by J. Ivey),,1,27,21,6,683.0
0:34.0,J. Ivey makes 2-pt layup from 2 ft,29-21, ,,1,29,21,8,686.0
0:28.0, ,29-21,Offensive foul by B. Miller (drawn by A. Burks),,1,29,21,8,692.0
0:28.0, ,29-21,Turnover by B. Miller (offensive foul),,1,29,21,8,692.0
0:28.0,C. Cunningham enters the game for J. Harris,29-21, ,,1,29,21,8,692.0
0:12.0,Turnover by C. Cunningham (lost ball; steal by J. Thor),29-21, ,,1,29,21,8,708.0
0:12.0, ,29-21,Turnover by T. Maledon (bad pass; steal by C. Cunningham),,1,29,21,8,708.0
0:02.0,C. Cunningham makes 3-pt jump shot from 28 ft (assist by M. Sasser),32-21, ,,1,32,21,11,718.0
0:00.0, ,32-21,B. Miller misses 3-pt jump shot from 53 ft,,1,32,21,11,720.0
0:00.0, ,32-21,Offensive rebound by Team,,1,32,21,11,720.0
0:00.0,End of 1st quarter,32-21,,,1,32,21,11,720.0
12:00.0,Start of 2nd quarter,32-21,,,2,32,21,11,720.0
11:45.0,A. Burks misses 2-pt jump shot from 16 ft,32-21, ,,2,32,21,11,735.0
11:45.0,Offensive rebound by Team,32-21, ,,2,32,21,11,735.0
11:45.0, ,32-21,Loose ball foul by P. Washington (drawn by I. Stewart),,2,32,21,11,735.0
11:42.0,Turnover by J. Duren (bad pass; steal by T. Maledon),32-21, ,,2,32,21,11,738.0
11:37.0, ,32-21,Personal foul by J. Ivey (drawn by L. Ball),,2,32,21,11,743.0
11:27.0, ,32-21,Turnover by P. Washington (bad pass; steal by J. Duren),,2,32,21,11,753.0
