Time,Detroit,Score,Cleveland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:22.0,Turnover by A. Thompson (bad pass),35-46, ,,2,35,46,-11,1058.0
6:22.0, ,35-46,Cleveland full timeout,,2,35,46,-11,1058.0
6:22.0,A. Burks enters the game for C. Cunningham,35-46, ,,2,35,46,-11,1058.0
6:22.0,K. Hayes enters the game for S. Umude,35-46, ,,2,35,46,-11,1058.0
6:07.0, ,35-46,C. LeVert misses 2-pt layup from 2 ft,,2,35,46,-11,1073.0
6:04.0,Defensive rebound by A. Thompson,35-46, ,,2,35,46,-11,1076.0
6:03.0,A. Thompson makes 2-pt layup at rim,37-46, ,,2,37,46,-9,1077.0
6:03.0,Shooting foul by D. Wade (drawn by A. Thompson),37-46, ,,2,37,46,-9,1077.0
6:03.0,J. Ivey enters the game for K. Knox,37-46, ,,2,37,46,-9,1077.0
6:03.0, ,37-46,M. Strus enters the game for D. Wade,,2,37,46,-9,1077.0
6:03.0,A. Thompson misses free throw 1 of 1,37-46, ,,2,37,46,-9,1077.0
6:02.0, ,37-46,Defensive rebound by G. Niang,,2,37,46,-9,1078.0
5:52.0, ,37-46,D. Garland misses 2-pt jump shot from 5 ft,,2,37,46,-9,1088.0
5:49.0,Defensive rebound by A. Thompson,37-46, ,,2,37,46,-9,1091.0
5:46.0,A. Thompson makes 2-pt layup from 1 ft,39-46, ,,2,39,46,-7,1094.0
5:29.0, ,39-48,G. Niang makes 2-pt layup from 2 ft (assist by E. Mobley),,2,39,48,-9,1111.0
5:05.0,A. Thompson misses 2-pt layup from 2 ft,39-48, ,,2,39,48,-9,1135.0
5:03.0,Offensive rebound by A. Thompson,39-48, ,,2,39,48,-9,1137.0
4:53.0,A. Thompson makes 2-pt jump shot from 12 ft,41-48, ,,2,41,48,-7,1147.0
4:43.0, ,41-48,Personal foul by A. Thompson (drawn by M. Strus),,2,41,48,-7,1157.0
4:32.0, ,41-48,C. LeVert misses 2-pt jump shot from 11 ft,,2,41,48,-7,1168.0
4:30.0,Defensive rebound by I. Stewart,41-48, ,,2,41,48,-7,1170.0
4:23.0,A. Burks misses 3-pt jump shot from 23 ft,41-48, ,,2,41,48,-7,1177.0
4:21.0, ,41-48,Defensive rebound by E. Mobley,,2,41,48,-7,1179.0
