Time,Detroit,Score,Cleveland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:56.0, ,71-78,D. Garland makes 3-pt jump shot from 26 ft,,3,71,78,-7,2044.0
1:38.0,Shooting foul by E. Mobley (drawn by M. Bagley),71-78, ,,3,71,78,-7,2062.0
1:38.0, ,71-78,Cleveland full timeout,,3,71,78,-7,2062.0
1:38.0, ,71-78,Instant Replay (Challenge: Ruling Stands),,3,71,78,-7,2062.0
1:38.0,M. Sasser enters the game for C. Cunningham,71-78, ,,3,71,78,-7,2062.0
1:38.0,S. Umude enters the game for K. Knox,71-78, ,,3,71,78,-7,2062.0
1:38.0, ,71-78,J. Allen enters the game for D. Garland,,3,71,78,-7,2062.0
1:38.0, ,71-78,C. Porter enters the game for E. Mobley,,3,71,78,-7,2062.0
1:38.0, ,71-78,D. Wade enters the game for M. Strus,,3,71,78,-7,2062.0
1:38.0,M. Bagley makes free throw 1 of 2,72-78, ,,3,72,78,-6,2062.0
1:38.0,M. Bagley makes free throw 2 of 2,73-78, ,,3,73,78,-5,2062.0
1:22.0, ,73-78,C. LeVert misses 2-pt jump shot from 7 ft,,3,73,78,-5,2078.0
1:19.0,Defensive rebound by M. Bagley,73-78, ,,3,73,78,-5,2081.0
1:01.0,M. Bagley misses 2-pt layup from 4 ft,73-78, ,,3,73,78,-5,2099.0
0:57.0,Offensive rebound by M. Bagley,73-78, ,,3,73,78,-5,2103.0
0:57.0,M. Bagley misses 2-pt layup at rim,73-78, ,,3,73,78,-5,2103.0
0:56.0, ,73-78,Defensive rebound by J. Allen,,3,73,78,-5,2104.0
0:45.0, ,73-80,C. Porter makes 2-pt layup at rim,,3,73,80,-7,2115.0
0:30.0,M. Sasser misses 2-pt jump shot from 14 ft,73-80, ,,3,73,80,-7,2130.0
0:27.0, ,73-80,Defensive rebound by J. Allen,,3,73,80,-7,2133.0
0:07.0, ,73-80,C. Porter misses 2-pt jump shot from 9 ft,,3,73,80,-7,2153.0
0:06.0, ,73-80,Offensive rebound by J. Allen,,3,73,80,-7,2154.0
0:06.0, ,73-80,J. Allen misses 2-pt layup from 1 ft,,3,73,80,-7,2154.0
0:05.0,Defensive rebound by S. Umude,73-80, ,,3,73,80,-7,2155.0
0:00.0,M. Sasser misses 3-pt jump shot from 29 ft,73-80, ,,3,73,80,-7,2160.0
0:00.0,Offensive rebound by Team,73-80, ,,3,73,80,-7,2160.0
0:00.0,End of 3rd quarter,73-80,,,3,73,80,-7,2160.0
12:00.0,Start of 4th quarter,73-80,,,4,73,80,-7,2160.0
11:38.0, ,73-80,C. LeVert misses 2-pt jump shot from 8 ft,,4,73,80,-7,2182.0
11:35.0,Defensive rebound by A. Burks,73-80, ,,4,73,80,-7,2185.0
11:17.0,A. Burks makes 2-pt jump shot from 13 ft (assist by M. Bagley),75-80, ,,4,75,80,-5,2203.0
11:02.0, ,75-80,Shooting foul by A. Burks (drawn by C. Porter),,4,75,80,-5,2218.0
11:02.0, ,75-81,C. Porter makes free throw 1 of 2,,4,75,81,-6,2218.0
11:02.0, ,75-82,C. Porter makes free throw 2 of 2,,4,75,82,-7,2218.0
10:45.0,J. Ivey misses 2-pt layup from 1 ft,75-82, ,,4,75,82,-7,2235.0
10:43.0,Offensive rebound by J. Ivey,75-82, ,,4,75,82,-7,2237.0
10:42.0,J. Ivey makes 2-pt layup at rim,77-82, ,,4,77,82,-5,2238.0
10:32.0, ,77-82,Personal foul by M. Sasser (drawn by J. Allen),,4,77,82,-5,2248.0
10:25.0, ,77-82,M. Strus misses 2-pt layup from 2 ft,,4,77,82,-5,2255.0
10:22.0,Defensive rebound by M. Bagley,77-82, ,,4,77,82,-5,2258.0
10:21.0,Turnover by M. Bagley (bad pass; steal by C. Porter),77-82, ,,4,77,82,-5,2259.0
10:14.0, ,77-82,J. Allen misses 2-pt hook shot from 5 ft (block by M. Bagley),,4,77,82,-5,2266.0
10:06.0,Defensive rebound by S. Umude,77-82, ,,4,77,82,-5,2274.0
10:06.0,Turnover by J. Ivey (traveling),77-82, ,,4,77,82,-5,2274.0
9:46.0, ,77-84,J. Allen makes 2-pt layup from 1 ft (assist by C. Porter),,4,77,84,-7,2294.0
9:35.0,S. Umude misses 3-pt jump shot from 23 ft,77-84, ,,4,77,84,-7,2305.0
9:33.0, ,77-84,Defensive rebound by J. Allen,,4,77,84,-7,2307.0
9:32.0, ,77-84,C. Porter misses 2-pt layup from 2 ft (block by S. Umude),,4,77,84,-7,2308.0
9:32.0,Defensive rebound by S. Umude,77-84, ,,4,77,84,-7,2308.0
9:07.0,M. Sasser misses 3-pt jump shot from 23 ft,77-84, ,,4,77,84,-7,2333.0
9:04.0, ,77-84,Defensive rebound by C. Porter,,4,77,84,-7,2336.0
8:53.0, ,77-87,M. Strus makes 3-pt jump shot from 25 ft (assist by C. Porter),,4,77,87,-10,2347.0
8:38.0,A. Burks misses 2-pt layup from 1 ft (block by J. Allen),77-87, ,,4,77,87,-10,2362.0
8:30.0,Offensive rebound by A. Burks,77-87, ,,4,77,87,-10,2370.0
8:30.0,A. Burks makes 2-pt layup at rim,79-87, ,,4,79,87,-8,2370.0
8:21.0, ,79-87,Shooting foul by S. Umude (drawn by G. Niang),,4,79,87,-8,2379.0
8:21.0, ,79-88,G. Niang makes free throw 1 of 2,,4,79,88,-9,2379.0
8:21.0,C. Cunningham enters the game for M. Bagley,79-88, ,,4,79,88,-9,2379.0
8:21.0,K. Hayes enters the game for J. Ivey,79-88, ,,4,79,88,-9,2379.0
8:21.0,I. Stewart enters the game for M. Sasser,79-88, ,,4,79,88,-9,2379.0
8:21.0, ,79-88,D. Garland enters the game for J. Allen,,4,79,88,-9,2379.0
8:21.0, ,79-88,E. Mobley enters the game for C. LeVert,,4,79,88,-9,2379.0
8:21.0, ,79-89,G. Niang makes free throw 2 of 2,,4,79,89,-10,2379.0
8:02.0,C. Cunningham makes 2-pt jump shot from 13 ft,81-89, ,,4,81,89,-8,2398.0
7:48.0, ,81-89,Turnover by E. Mobley (lost ball; steal by A. Burks),,4,81,89,-8,2412.0
7:44.0,Shooting foul by G. Niang (drawn by S. Umude),81-89, ,,4,81,89,-8,2416.0
7:44.0,Instant Replay (Request: Stands),81-89, ,,4,81,89,-8,2416.0
7:44.0,S. Umude makes free throw 1 of 2,82-89, ,,4,82,89,-7,2416.0
7:44.0,S. Umude makes free throw 2 of 2,83-89, ,,4,83,89,-6,2416.0
7:26.0, ,83-91,E. Mobley makes 2-pt jump shot from 8 ft,,4,83,91,-8,2434.0
7:11.0,A. Burks misses 3-pt jump shot from 26 ft,83-91, ,,4,83,91,-8,2449.0
7:08.0, ,83-91,Defensive rebound by M. Strus,,4,83,91,-8,2452.0
6:53.0, ,83-91,Shooting foul by C. Cunningham (drawn by D. Garland),,4,83,91,-8,2467.0
6:53.0, ,83-91,Cleveland full timeout,,4,83,91,-8,2467.0
6:53.0,J. Ivey enters the game for A. Burks,83-91, ,,4,83,91,-8,2467.0
6:53.0,K. Knox enters the game for K. Hayes,83-91, ,,4,83,91,-8,2467.0
6:53.0, ,83-91,D. Wade enters the game for C. Porter,,4,83,91,-8,2467.0
6:53.0, ,83-92,D. Garland makes free throw 1 of 2,,4,83,92,-9,2467.0
6:53.0, ,83-93,D. Garland makes free throw 2 of 2,,4,83,93,-10,2467.0
6:32.0,Turnover by J. Ivey (lost ball; steal by M. Strus),83-93, ,,4,83,93,-10,2488.0
6:21.0, ,83-93,Turnover by E. Mobley (bad pass; steal by J. Ivey),,4,83,93,-10,2499.0
6:15.0,I. Stewart misses 3-pt jump shot from 27 ft,83-93, ,,4,83,93,-10,2505.0
6:11.0,Offensive rebound by S. Umude,83-93, ,,4,83,93,-10,2509.0
6:06.0,C. Cunningham misses 2-pt layup from 7 ft,83-93, ,,4,83,93,-10,2514.0
6:04.0, ,83-93,Defensive rebound by G. Niang,,4,83,93,-10,2516.0
5:50.0, ,83-95,E. Mobley makes 2-pt jump shot from 15 ft (assist by D. Garland),,4,83,95,-12,2530.0
5:34.0,S. Umude makes 3-pt jump shot from 29 ft (assist by C. Cunningham),86-95, ,,4,86,95,-9,2546.0
5:12.0, ,86-97,D. Garland makes 2-pt jump shot from 12 ft,,4,86,97,-11,2568.0
4:58.0,C. Cunningham misses 2-pt jump shot from 11 ft,86-97, ,,4,86,97,-11,2582.0
4:55.0, ,86-97,Defensive rebound by G. Niang,,4,86,97,-11,2585.0
4:50.0, ,86-97,Shooting foul by K. Knox (drawn by D. Garland),,4,86,97,-11,2590.0
4:50.0, ,86-97,D. Garland misses free throw 1 of 2,,4,86,97,-11,2590.0
4:50.0, ,86-97,Offensive rebound by Team,,4,86,97,-11,2590.0
4:50.0,Detroit full timeout,86-97, ,,4,86,97,-11,2590.0
4:50.0, ,86-97,C. LeVert enters the game for M. Strus,,4,86,97,-11,2590.0
4:50.0, ,86-98,D. Garland makes free throw 2 of 2,,4,86,98,-12,2590.0
4:33.0,C. Cunningham misses 3-pt jump shot from 25 ft,86-98, ,,4,86,98,-12,2607.0
4:32.0, ,86-98,Defensive rebound by E. Mobley,,4,86,98,-12,2608.0
4:30.0, ,86-98,Turnover by E. Mobley (lost ball; steal by K. Knox),,4,86,98,-12,2610.0
4:21.0,J. Ivey makes 2-pt layup from 2 ft (assist by K. Knox),88-98, ,,4,88,98,-10,2619.0
4:00.0, ,88-101,C. LeVert makes 3-pt jump shot from 26 ft,,4,88,101,-13,2640.0
3:48.0,Shooting foul by E. Mobley (drawn by J. Ivey),88-101, ,,4,88,101,-13,2652.0
3:48.0,J. Ivey makes free throw 1 of 2,89-101, ,,4,89,101,-12,2652.0
3:48.0, ,89-101,J. Allen enters the game for G. Niang,,4,89,101,-12,2652.0
3:48.0, ,89-101,M. Strus enters the game for D. Wade,,4,89,101,-12,2652.0
3:48.0,J. Ivey makes free throw 2 of 2,90-101, ,,4,90,101,-11,2652.0
3:34.0, ,90-101,Offensive foul by D. Garland (drawn by S. Umude),,4,90,101,-11,2666.0
3:34.0, ,90-101,Turnover by D. Garland (offensive foul),,4,90,101,-11,2666.0
3:34.0,A. Burks enters the game for S. Umude,90-101, ,,4,90,101,-11,2666.0
3:28.0,C. Cunningham misses 2-pt jump shot from 3 ft,90-101, ,,4,90,101,-11,2672.0
3:26.0,Offensive rebound by I. Stewart,90-101, ,,4,90,101,-11,2674.0
3:25.0,I. Stewart makes 2-pt layup at rim,92-101, ,,4,92,101,-9,2675.0
3:03.0, ,92-101,E. Mobley misses 2-pt layup from 2 ft,,4,92,101,-9,2697.0
3:03.0, ,92-101,Offensive rebound by E. Mobley,,4,92,101,-9,2697.0
3:03.0, ,92-101,Shooting foul by J. Ivey (drawn by E. Mobley),,4,92,101,-9,2697.0
3:03.0, ,92-101,E. Mobley misses free throw 1 of 2,,4,92,101,-9,2697.0
3:03.0, ,92-101,Offensive rebound by Team,,4,92,101,-9,2697.0
3:03.0,Detroit full timeout,92-101, ,,4,92,101,-9,2697.0
3:03.0, ,92-102,E. Mobley makes free throw 2 of 2,,4,92,102,-10,2697.0
2:44.0,Turnover by J. Ivey (step out of bounds),92-102, ,,4,92,102,-10,2716.0
2:27.0, ,92-104,D. Garland makes 2-pt jump shot from 10 ft,,4,92,104,-12,2733.0
2:17.0,A. Burks misses 3-pt jump shot from 24 ft,92-104, ,,4,92,104,-12,2743.0
2:14.0, ,92-104,Defensive rebound by M. Strus,,4,92,104,-12,2746.0
2:00.0, ,92-106,C. LeVert makes 2-pt jump shot from 9 ft,,4,92,106,-14,2760.0
1:42.0,K. Knox misses 2-pt layup from 6 ft (block by J. Allen),92-106, ,,4,92,106,-14,2778.0
1:39.0, ,92-106,Defensive rebound by C. LeVert,,4,92,106,-14,2781.0
1:37.0, ,92-108,E. Mobley makes 2-pt dunk from 1 ft,,4,92,108,-16,2783.0
1:37.0,Detroit full timeout,92-108, ,,4,92,108,-16,2783.0
1:37.0,M. Sasser enters the game for A. Burks,92-108, ,,4,92,108,-16,2783.0
1:37.0,S. Umude enters the game for C. Cunningham,92-108, ,,4,92,108,-16,2783.0
1:37.0,J. Wiseman enters the game for I. Stewart,92-108, ,,4,92,108,-16,2783.0
1:26.0,Shooting foul by M. Strus (drawn by S. Umude),92-108, ,,4,92,108,-16,2794.0
1:26.0,S. Umude makes free throw 1 of 2,93-108, ,,4,93,108,-15,2794.0
1:26.0,S. Umude makes free throw 2 of 2,94-108, ,,4,94,108,-14,2794.0
1:06.0, ,94-108,C. LeVert misses 2-pt jump shot from 11 ft,,4,94,108,-14,2814.0
1:04.0,Defensive rebound by J. Wiseman,94-108, ,,4,94,108,-14,2816.0
1:02.0,M. Sasser makes 2-pt layup from 1 ft,96-108, ,,4,96,108,-12,2818.0
0:45.0, ,96-108,M. Strus misses 3-pt jump shot from 30 ft,,4,96,108,-12,2835.0
0:45.0,Defensive rebound by K. Knox,96-108, ,,4,96,108,-12,2835.0
0:38.0,Personal foul by E. Mobley (drawn by M. Sasser),96-108, ,,4,96,108,-12,2842.0
0:38.0,M. Sasser makes free throw 1 of 2,97-108, ,,4,97,108,-11,2842.0
0:38.0, ,97-108,E. Bates enters the game for J. Allen,,4,97,108,-11,2842.0
0:38.0, ,97-108,D. Jones enters the game for D. Garland,,4,97,108,-11,2842.0
0:38.0, ,97-108,S. Merrill enters the game for C. LeVert,,4,97,108,-11,2842.0
0:38.0, ,97-108,C. Porter enters the game for E. Mobley,,4,97,108,-11,2842.0
0:38.0, ,97-108,T. Thompson enters the game for M. Strus,,4,97,108,-11,2842.0
0:38.0,M. Sasser makes free throw 2 of 2,98-108, ,,4,98,108,-10,2842.0
0:18.0, ,98-108,C. Porter misses 2-pt jump shot from 7 ft,,4,98,108,-10,2862.0
0:15.0,Defensive rebound by J. Wiseman,98-108, ,,4,98,108,-10,2865.0
0:13.0,K. Knox makes 2-pt dunk from 1 ft (assist by J. Ivey),100-108, ,,4,100,108,-8,2867.0
0:00.0,End of 4th quarter,100-108,,,4,100,108,-8,2880.0
