Time,Detroit,Score,Phoenix,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:37.0, ,41-66,Defensive rebound by S. Lee,,2,41,66,-25,1343.0
1:34.0, ,41-66,Turnover by S. Lee (palming),,2,41,66,-25,1346.0
1:34.0, ,41-66,G. Allen enters the game for D. Eubanks,,2,41,66,-25,1346.0
1:34.0, ,41-66,E. Gordon enters the game for S. Lee,,2,41,66,-25,1346.0
1:34.0, ,41-66,J. Nurkić enters the game for J. Okogie,,2,41,66,-25,1346.0
1:23.0,M. Sasser misses 3-pt jump shot from 26 ft,41-66, ,,2,41,66,-25,1357.0
1:21.0, ,41-66,Defensive rebound by J. Nurkić,,2,41,66,-25,1359.0
1:11.0, ,41-69,R. O'Neale makes 3-pt jump shot from 24 ft (assist by K. Durant),,2,41,69,-28,1369.0
0:57.0,S. Milton misses 3-pt jump shot from 26 ft,41-69, ,,2,41,69,-28,1383.0
0:53.0, ,41-69,Defensive rebound by K. Durant,,2,41,69,-28,1387.0
0:46.0, ,41-69,Turnover by E. Gordon (lost ball; steal by J. Wiseman),,2,41,69,-28,1394.0
0:38.0,Offensive foul by J. Wiseman (drawn by R. O'Neale),41-69, ,,2,41,69,-28,1402.0
0:38.0,Turnover by J. Wiseman (offensive foul),41-69, ,,2,41,69,-28,1402.0
0:29.0, ,41-69,Shooting foul by J. Wiseman (drawn by J. Nurkić),,2,41,69,-28,1411.0
0:29.0, ,41-70,J. Nurkić makes free throw 1 of 2,,2,41,70,-29,1411.0
0:29.0,M. Muscala enters the game for J. Wiseman,41-70, ,,2,41,70,-29,1411.0
0:29.0, ,41-70,S. Lee enters the game for G. Allen,,2,41,70,-29,1411.0
0:29.0, ,41-70,J. Nurkić misses free throw 2 of 2,,2,41,70,-29,1411.0
0:27.0,Defensive rebound by S. Milton,41-70, ,,2,41,70,-29,1413.0
0:06.0,M. Muscala misses 2-pt jump shot from 8 ft (block by K. Durant),41-70, ,,2,41,70,-29,1434.0
0:03.0, ,41-70,Defensive rebound by S. Lee,,2,41,70,-29,1437.0
0:01.0, ,41-70,Turnover by E. Gordon (traveling),,2,41,70,-29,1439.0
0:00.0,M. Muscala misses 3-pt jump shot from 26 ft (block by K. Durant),41-70, ,,2,41,70,-29,1440.0
0:00.0,Offensive rebound by Team,41-70, ,,2,41,70,-29,1440.0
0:00.0,End of 2nd quarter,41-70,,,2,41,70,-29,1440.0
12:00.0,Start of 3rd quarter,41-70,,,3,41,70,-29,1440.0
11:44.0,J. Duren misses 2-pt layup from 5 ft,41-70, ,,3,41,70,-29,1456.0
11:42.0, ,41-70,Defensive rebound by J. Nurkić,,3,41,70,-29,1458.0
11:37.0, ,41-73,K. Durant makes 3-pt jump shot from 25 ft (assist by J. Nurkić),,3,41,73,-32,1463.0
11:23.0,J. Ivey misses 2-pt jump shot from 13 ft,41-73, ,,3,41,73,-32,1477.0
11:20.0, ,41-73,Defensive rebound by J. Nurkić,,3,41,73,-32,1480.0
11:12.0, ,41-73,G. Allen misses 3-pt jump shot from 26 ft,,3,41,73,-32,1488.0
11:07.0,Defensive rebound by C. Cunningham,41-73, ,,3,41,73,-32,1493.0
11:02.0,Personal foul by G. Allen (drawn by C. Cunningham),41-73, ,,3,41,73,-32,1498.0
10:52.0,J. Ivey misses 3-pt jump shot from 25 ft,41-73, ,,3,41,73,-32,1508.0
10:47.0, ,41-73,Defensive rebound by K. Durant,,3,41,73,-32,1513.0
10:42.0, ,41-76,R. O'Neale makes 3-pt jump shot from 26 ft (assist by J. Nurkić),,3,41,76,-35,1518.0
10:24.0,Shooting foul by R. O'Neale (drawn by S. Fontecchio),41-76, ,,3,41,76,-35,1536.0
10:24.0,S. Fontecchio makes free throw 1 of 2,42-76, ,,3,42,76,-34,1536.0
10:24.0,S. Fontecchio makes free throw 2 of 2,43-76, ,,3,43,76,-33,1536.0
10:11.0, ,43-76,Turnover by R. O'Neale (bad pass; steal by J. Ivey),,3,43,76,-33,1549.0
10:08.0,C. Cunningham makes 2-pt layup from 1 ft (assist by A. Thompson),45-76, ,,3,45,76,-31,1552.0
10:08.0, ,45-76,Violation by Team (def goaltending),,3,45,76,-31,1552.0
9:54.0, ,45-76,E. Gordon misses 2-pt layup from 1 ft,,3,45,76,-31,1566.0
9:52.0,Defensive rebound by S. Fontecchio,45-76, ,,3,45,76,-31,1568.0
