Time,Houston,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:03.0,Violation by Team (delay of game),61-70, ,,3,70,61,9,1677.0
8:03.0, ,61-71,K. Knox makes technical free throw,,3,71,61,10,1677.0
8:03.0, ,61-72,K. Knox makes free throw 2 of 2,,3,72,61,11,1677.0
7:45.0,A. Sengun makes 2-pt hook shot from 7 ft,63-72, ,,3,72,63,9,1695.0
7:34.0, ,63-72,J. Duren misses 2-pt hook shot from 5 ft (block by J. Smith),,3,72,63,9,1706.0
7:32.0,Defensive rebound by R. Bullock,63-72, ,,3,72,63,9,1708.0
7:23.0,Turnover by R. Bullock (bad pass; steal by J. Duren),63-72, ,,3,72,63,9,1717.0
7:15.0, ,63-72,Shooting foul by A. Sengun (drawn by J. Duren),,3,72,63,9,1725.0
7:15.0, ,63-72,J. Duren misses free throw 1 of 2,,3,72,63,9,1725.0
7:15.0, ,63-72,Offensive rebound by Team,,3,72,63,9,1725.0
7:15.0,J. Green enters the game for A. Sengun,63-72, ,,3,72,63,9,1725.0
7:15.0, ,63-73,J. Duren makes free throw 2 of 2,,3,73,63,10,1725.0
7:00.0,J. Smith makes 3-pt jump shot from 23 ft (assist by F. VanVleet),66-73, ,,3,73,66,7,1740.0
6:50.0, ,66-73,J. Duren misses 2-pt jump shot from 6 ft,,3,73,66,7,1750.0
6:49.0, ,66-73,Offensive rebound by J. Ivey,,3,73,66,7,1751.0
6:48.0, ,66-75,J. Ivey makes 2-pt layup at rim,,3,75,66,9,1752.0
6:36.0,Shooting foul by K. Hayes (drawn by J. Smith),66-75, ,,3,75,66,9,1764.0
6:36.0,J. Smith makes free throw 1 of 2,67-75, ,,3,75,67,8,1764.0
6:36.0,J. Smith makes free throw 2 of 2,68-75, ,,3,75,68,7,1764.0
6:23.0, ,68-77,J. Duren makes 2-pt dunk from 3 ft (assist by J. Ivey),,3,77,68,9,1777.0
6:09.0,F. VanVleet misses 3-pt jump shot from 25 ft,68-77, ,,3,77,68,9,1791.0
6:06.0,Offensive rebound by J. Smith,68-77, ,,3,77,68,9,1794.0
5:53.0,J. Smith makes 2-pt layup from 3 ft (assist by F. VanVleet),70-77, ,,3,77,70,7,1807.0
5:46.0, ,70-77,Shooting foul by C. Whitmore (drawn by J. Ivey),,3,77,70,7,1814.0
5:46.0,Houston full timeout,70-77, ,,3,77,70,7,1814.0
5:46.0,Instant Replay (Challenge: Stands),70-77, ,,3,77,70,7,1814.0
5:46.0,J. Green enters the game for C. Whitmore,70-77, ,,3,77,70,7,1814.0
5:46.0, ,70-77,I. Livers enters the game for I. Stewart,,3,77,70,7,1814.0
5:46.0, ,70-77,J. Ivey misses free throw 1 of 2,,3,77,70,7,1814.0
5:46.0, ,70-77,Offensive rebound by Team,,3,77,70,7,1814.0
5:46.0, ,70-78,J. Ivey makes free throw 2 of 2,,3,78,70,8,1814.0
5:24.0,F. VanVleet makes 2-pt jump shot from 8 ft,72-78, ,,3,78,72,6,1836.0
