Time,Denver,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:21.0,J. Pickett enters the game for M. Porter,16-15, ,,1,15,16,-1,519.0
3:21.0, ,16-15,K. Hayes enters the game for C. Cunningham,,1,15,16,-1,519.0
3:21.0, ,16-15,I. Livers enters the game for I. Stewart,,1,15,16,-1,519.0
3:21.0, ,16-15,S. Umude enters the game for A. Thompson,,1,15,16,-1,519.0
3:21.0,A. Gordon misses free throw 1 of 1,16-15, ,,1,15,16,-1,519.0
3:17.0, ,16-15,Defensive rebound by A. Burks,,1,15,16,-1,523.0
3:04.0, ,16-17,I. Livers makes 2-pt jump shot from 19 ft,Lead change,1,17,16,1,536.0
2:45.0,N. Jokić makes 2-pt hook shot from 4 ft (assist by K. Caldwell-Pope),18-17, ,Lead change,1,17,18,-1,555.0
2:39.0,Violation by Team (kicked ball),18-17, ,,1,17,18,-1,561.0
2:39.0,Z. Nnaji enters the game for K. Caldwell-Pope,18-17, ,,1,17,18,-1,561.0
2:39.0,J. Strawther enters the game for A. Gordon,18-17, ,,1,17,18,-1,561.0
2:39.0,P. Watson enters the game for N. Jokić,18-17, ,,1,17,18,-1,561.0
2:29.0, ,18-20,S. Umude makes 3-pt jump shot from 24 ft (assist by A. Burks),Lead change,1,20,18,2,571.0
2:05.0,J. Strawther misses 3-pt jump shot from 28 ft,18-20, ,,1,20,18,2,595.0
2:02.0, ,18-20,Defensive rebound by J. Wiseman,,1,20,18,2,598.0
2:00.0, ,18-20,Personal foul by J. Pickett (drawn by A. Burks),,1,20,18,2,600.0
1:52.0, ,18-20,J. Wiseman misses 2-pt hook shot from 6 ft,,1,20,18,2,608.0
1:49.0,Defensive rebound by P. Watson,18-20, ,,1,20,18,2,611.0
1:39.0,C. Braun makes 3-pt jump shot from 26 ft (assist by P. Watson),21-20, ,Lead change,1,20,21,-1,621.0
1:29.0,Loose ball foul by J. Strawther (drawn by I. Livers),21-20, ,,1,20,21,-1,631.0
1:29.0, ,21-21,I. Livers makes free throw 1 of 2,Tie,1,21,21,0,631.0
1:29.0, ,21-22,I. Livers makes free throw 2 of 2,Lead change,1,22,21,1,631.0
1:21.0,Technical foul by M. Malone,21-22, ,,1,22,21,1,639.0
1:21.0,M. Malone ejected from game,21-22, ,,1,22,21,1,639.0
1:21.0, ,21-22,A. Burks misses technical free throw,,1,22,21,1,639.0
1:21.0,Defensive rebound by Team,21-22, ,,1,22,21,1,639.0
1:21.0, ,21-23,A. Burks makes technical free throw,,1,23,21,2,639.0
1:08.0,C. Braun makes 2-pt jump shot from 3 ft (assist by J. Strawther),23-23, ,Tie,1,23,23,0,652.0
0:56.0, ,23-23,A. Burks misses 3-pt jump shot from 27 ft,,1,23,23,0,664.0
0:56.0,Defensive rebound by C. Braun,23-23, ,,1,23,23,0,664.0
0:50.0,Turnover by C. Braun (lost ball; steal by K. Hayes),23-23, ,,1,23,23,0,670.0
0:46.0, ,23-23,Turnover by S. Umude (out of bounds lost ball),,1,23,23,0,674.0
0:36.0,J. Pickett makes 2-pt jump shot from 20 ft (assist by P. Watson),25-23, ,Lead change,1,23,25,-2,684.0
0:22.0, ,25-23,I. Livers misses 2-pt jump shot from 16 ft (block by Z. Nnaji),,1,23,25,-2,698.0
0:18.0,Defensive rebound by C. Braun,25-23, ,,1,23,25,-2,702.0
0:18.0,P. Watson makes 2-pt dunk from 4 ft (assist by C. Braun),27-23, ,,1,23,27,-4,702.0
0:00.0, ,27-23,A. Burks misses 3-pt jump shot from 28 ft,,1,23,27,-4,720.0
0:00.0,Defensive rebound by J. Pickett,27-23, ,,1,23,27,-4,720.0
0:00.0,End of 1st quarter,27-23,,,1,23,27,-4,720.0
12:00.0,Start of 2nd quarter,27-23,,,2,23,27,-4,720.0
11:46.0,J. Strawther makes 2-pt layup from 3 ft (assist by J. Pickett),29-23, ,,2,23,29,-6,734.0
11:27.0, ,29-23,S. Umude misses 3-pt jump shot from 27 ft,,2,23,29,-6,753.0
11:24.0,Defensive rebound by C. Braun,29-23, ,,2,23,29,-6,756.0
11:19.0,Shooting foul by K. Hayes (drawn by Z. Nnaji),29-23, ,,2,23,29,-6,761.0
11:19.0,Z. Nnaji makes free throw 1 of 2,30-23, ,,2,23,30,-7,761.0
11:19.0,Z. Nnaji misses free throw 2 of 2,30-23, ,,2,23,30,-7,761.0
11:16.0, ,30-23,Defensive rebound by I. Livers,,2,23,30,-7,764.0
11:00.0, ,30-23,Turnover by A. Burks (out of bounds lost ball),,2,23,30,-7,780.0
10:41.0,C. Braun misses 2-pt jump shot from 7 ft,30-23, ,,2,23,30,-7,799.0
10:41.0, ,30-23,Defensive rebound by Team,,2,23,30,-7,799.0
10:41.0, ,30-23,M. Bagley enters the game for A. Burks,,2,23,30,-7,799.0
10:41.0, ,30-23,J. Ivey enters the game for J. Wiseman,,2,23,30,-7,799.0
10:30.0, ,30-23,Personal foul by C. Braun (drawn by K. Hayes),,2,23,30,-7,810.0
10:30.0,R. Jackson enters the game for J. Pickett,30-23, ,,2,23,30,-7,810.0
10:20.0, ,30-25,J. Ivey makes 2-pt layup from 3 ft (assist by M. Bagley),,2,25,30,-5,820.0
10:01.0,R. Jackson makes 2-pt jump shot from 6 ft,32-25, ,,2,25,32,-7,839.0
9:45.0, ,32-25,K. Hayes misses 3-pt jump shot from 27 ft,,2,25,32,-7,855.0
9:43.0,Defensive rebound by J. Strawther,32-25, ,,2,25,32,-7,857.0
9:38.0,J. Strawther misses 3-pt jump shot from 26 ft,32-25, ,,2,25,32,-7,862.0
9:36.0, ,32-25,Defensive rebound by S. Umude,,2,25,32,-7,864.0
9:30.0, ,32-25,S. Umude misses 2-pt layup from 3 ft (block by P. Watson),,2,25,32,-7,870.0
9:30.0, ,32-25,Offensive rebound by Team,,2,25,32,-7,870.0
9:30.0,M. Porter enters the game for C. Braun,32-25, ,,2,25,32,-7,870.0
9:30.0, ,32-25,A. Thompson enters the game for I. Livers,,2,25,32,-7,870.0
9:23.0, ,32-25,Shooting foul by Z. Nnaji (drawn by M. Bagley),,2,25,32,-7,877.0
9:23.0, ,32-25,M. Bagley misses free throw 1 of 2,,2,25,32,-7,877.0
9:23.0, ,32-25,Offensive rebound by Team,,2,25,32,-7,877.0
9:23.0, ,32-26,M. Bagley makes free throw 2 of 2,,2,26,32,-6,877.0
9:07.0,R. Jackson makes 2-pt jump shot from 5 ft,34-26, ,,2,26,34,-8,893.0
8:52.0, ,34-28,M. Bagley makes 2-pt layup from 5 ft (assist by S. Umude),,2,28,34,-6,908.0
8:52.0, ,34-28,Shooting foul by M. Porter (drawn by M. Bagley),,2,28,34,-6,908.0
8:52.0, ,34-29,M. Bagley makes free throw 1 of 1,,2,29,34,-5,908.0
8:33.0,P. Watson misses 2-pt layup from 5 ft (block by A. Thompson),34-29, ,,2,29,34,-5,927.0
8:29.0, ,34-29,Defensive rebound by M. Bagley,,2,29,34,-5,931.0
8:26.0, ,34-29,Turnover by K. Hayes (lost ball; steal by R. Jackson),,2,29,34,-5,934.0
8:18.0,Z. Nnaji makes 2-pt layup from 3 ft (assist by R. Jackson),36-29, ,,2,29,36,-7,942.0
8:18.0,Shooting foul by A. Thompson (drawn by Z. Nnaji),36-29, ,,2,29,36,-7,942.0
8:18.0,A. Gordon enters the game for P. Watson,36-29, ,,2,29,36,-7,942.0
8:18.0, ,36-29,C. Cunningham enters the game for K. Hayes,,2,29,36,-7,942.0
8:18.0, ,36-29,I. Stewart enters the game for A. Thompson,,2,29,36,-7,942.0
8:18.0,Z. Nnaji makes free throw 1 of 1,37-29, ,,2,29,37,-8,942.0
8:03.0, ,37-31,I. Stewart makes 2-pt layup from 3 ft (assist by C. Cunningham),,2,31,37,-6,957.0
7:43.0,A. Gordon misses 2-pt hook shot from 5 ft,37-31, ,,2,31,37,-6,977.0
7:41.0, ,37-31,Defensive rebound by I. Stewart,,2,31,37,-6,979.0
7:33.0, ,37-34,C. Cunningham makes 3-pt jump shot from 28 ft (assist by J. Ivey),,2,34,37,-3,987.0
7:14.0,Shooting foul by C. Cunningham (drawn by J. Strawther),37-34, ,,2,34,37,-3,1006.0
7:14.0,J. Strawther makes free throw 1 of 2,38-34, ,,2,34,38,-4,1006.0
7:14.0,K. Caldwell-Pope enters the game for R. Jackson,38-34, ,,2,34,38,-4,1006.0
7:14.0,N. Jokić enters the game for Z. Nnaji,38-34, ,,2,34,38,-4,1006.0
7:14.0, ,38-34,M. Sasser enters the game for S. Umude,,2,34,38,-4,1006.0
7:14.0,J. Strawther makes free throw 2 of 2,39-34, ,,2,34,39,-5,1006.0
6:58.0, ,39-37,J. Ivey makes 3-pt jump shot from 27 ft (assist by C. Cunningham),,2,37,39,-2,1022.0
6:43.0,K. Caldwell-Pope makes 3-pt jump shot from 24 ft (assist by J. Strawther),42-37, ,,2,37,42,-5,1037.0
6:25.0, ,42-39,C. Cunningham makes 2-pt layup from 4 ft (assist by J. Ivey),,2,39,42,-3,1055.0
6:12.0,M. Porter misses 2-pt jump shot from 19 ft,42-39, ,,2,39,42,-3,1068.0
6:09.0, ,42-39,Defensive rebound by J. Ivey,,2,39,42,-3,1071.0
5:57.0, ,42-41,M. Sasser makes 2-pt jump shot from 10 ft,,2,41,42,-1,1083.0
5:57.0,Denver full timeout,42-41, ,,2,41,42,-1,1083.0
5:57.0,R. Jackson enters the game for J. Strawther,42-41, ,,2,41,42,-1,1083.0
5:38.0,N. Jokić misses 3-pt jump shot from 26 ft,42-41, ,,2,41,42,-1,1102.0
5:34.0,Offensive rebound by M. Porter,42-41, ,,2,41,42,-1,1106.0
5:32.0,Turnover by M. Porter (bad pass; steal by C. Cunningham),42-41, ,,2,41,42,-1,1108.0
5:21.0, ,42-41,C. Cunningham misses 3-pt jump shot from 28 ft,,2,41,42,-1,1119.0
5:19.0,Defensive rebound by M. Porter,42-41, ,,2,41,42,-1,1121.0
5:08.0,K. Caldwell-Pope makes 2-pt layup from 3 ft (assist by N. Jokić),44-41, ,,2,41,44,-3,1132.0
4:54.0, ,44-41,Turnover by C. Cunningham (bad pass),,2,41,44,-3,1146.0
4:43.0,Turnover by M. Porter (out of bounds lost ball),44-41, ,,2,41,44,-3,1157.0
4:28.0, ,44-43,J. Ivey makes 2-pt layup from 3 ft,,2,43,44,-1,1172.0
4:12.0,M. Porter makes 3-pt jump shot from 26 ft (assist by N. Jokić),47-43, ,,2,43,47,-4,1188.0
