Time,Cleveland,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:02.0, ,25-30,Turnover by I. Livers (traveling),,1,30,25,5,718.0
0:00.0,D. Garland misses 3-pt jump shot from 35 ft,25-30, ,,1,30,25,5,720.0
0:00.0,Offensive rebound by Team,25-30, ,,1,30,25,5,720.0
0:00.0,End of 1st quarter,25-30,,,1,30,25,5,720.0
12:00.0,Start of 2nd quarter,25-30,,,2,30,25,5,720.0
11:41.0,Shooting foul by A. Thompson (drawn by G. Niang),25-30, ,,2,30,25,5,739.0
11:41.0,G. Niang misses free throw 1 of 2,25-30, ,,2,30,25,5,739.0
11:41.0,Offensive rebound by Team,25-30, ,,2,30,25,5,739.0
11:41.0,G. Niang makes free throw 2 of 2,26-30, ,,2,30,26,4,739.0
11:29.0, ,26-30,A. Thompson misses 2-pt layup from 4 ft,,2,30,26,4,751.0
11:25.0, ,26-30,Offensive rebound by A. Thompson,,2,30,26,4,755.0
11:25.0, ,26-30,A. Thompson misses 2-pt layup at rim,,2,30,26,4,755.0
11:24.0,Defensive rebound by E. Mobley,26-30, ,,2,30,26,4,756.0
11:17.0,D. Garland misses 2-pt jump shot from 4 ft,26-30, ,,2,30,26,4,763.0
11:15.0, ,26-30,Defensive rebound by I. Stewart,,2,30,26,4,765.0
11:07.0, ,26-30,K. Hayes misses 2-pt jump shot from 15 ft,,2,30,26,4,773.0
11:04.0,Defensive rebound by D. Garland,26-30, ,,2,30,26,4,776.0
11:02.0,D. Garland misses 2-pt jump shot from 14 ft,26-30, ,,2,30,26,4,778.0
10:59.0, ,26-30,Defensive rebound by A. Thompson,,2,30,26,4,781.0
10:56.0, ,26-30,Personal foul by G. Niang (drawn by I. Livers),,2,30,26,4,784.0
10:50.0, ,26-32,M. Sasser makes 2-pt jump shot from 12 ft (assist by I. Stewart),,2,32,26,6,790.0
10:36.0,D. Garland misses 2-pt layup from 5 ft,26-32, ,,2,32,26,6,804.0
10:33.0, ,26-32,Defensive rebound by A. Thompson,,2,32,26,6,807.0
10:32.0, ,26-32,I. Livers misses 3-pt jump shot from 25 ft,,2,32,26,6,808.0
10:32.0,Defensive rebound by I. Okoro,26-32, ,,2,32,26,6,808.0
10:31.0,Personal foul by A. Thompson (drawn by I. Okoro),26-32, ,,2,32,26,6,809.0
10:15.0,E. Mobley misses 2-pt jump shot from 5 ft,26-32, ,,2,32,26,6,825.0
10:11.0, ,26-32,Defensive rebound by M. Sasser,,2,32,26,6,829.0
10:05.0,Violation by Team (kicked ball),26-32, ,,2,32,26,6,835.0
10:05.0,M. Strus enters the game for C. Porter,26-32, ,,2,32,26,6,835.0
10:02.0, ,26-32,Turnover by I. Stewart (traveling),,2,32,26,6,838.0
9:46.0,M. Strus makes 2-pt layup from 2 ft,28-32, ,,2,32,28,4,854.0
9:27.0, ,28-34,A. Thompson makes 2-pt layup from 4 ft,,2,34,28,6,873.0
9:13.0,G. Niang makes 2-pt jump shot from 7 ft (assist by M. Strus),30-34, ,,2,34,30,4,887.0
9:01.0, ,30-34,I. Stewart misses 3-pt jump shot from 29 ft,,2,34,30,4,899.0
8:56.0,Defensive rebound by I. Okoro,30-34, ,,2,34,30,4,904.0
8:53.0,G. Niang misses 3-pt jump shot from 26 ft,30-34, ,,2,34,30,4,907.0
8:49.0, ,30-34,Defensive rebound by K. Hayes,,2,34,30,4,911.0
8:41.0, ,30-34,M. Sasser misses 2-pt jump shot from 22 ft,,2,34,30,4,919.0
8:38.0,Defensive rebound by G. Niang,30-34, ,,2,34,30,4,922.0
8:31.0,D. Garland makes 2-pt jump shot from 5 ft,32-34, ,,2,34,32,2,929.0
8:10.0, ,32-34,A. Thompson misses 3-pt jump shot from 25 ft,,2,34,32,2,950.0
8:07.0,Defensive rebound by E. Mobley,32-34, ,,2,34,32,2,953.0
7:57.0,D. Garland makes 3-pt jump shot from 24 ft (assist by E. Mobley),35-34, ,Lead change,2,34,35,-1,963.0
7:57.0, ,35-34,Detroit full timeout,,2,34,35,-1,963.0
7:57.0, ,35-34,C. Cunningham enters the game for K. Hayes,,2,34,35,-1,963.0
7:57.0, ,35-34,J. Duren enters the game for M. Sasser,,2,34,35,-1,963.0
7:57.0, ,35-34,J. Ivey enters the game for I. Stewart,,2,34,35,-1,963.0
7:39.0, ,35-34,Turnover by J. Duren (bad pass; steal by I. Okoro),,2,34,35,-1,981.0
7:36.0,D. Garland makes 2-pt layup from 5 ft,37-34, ,,2,34,37,-3,984.0
7:36.0, ,37-34,Violation by Team (def goaltending),,2,34,37,-3,984.0
