Time,New Orleans,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:03.0,H. Jones makes free throw 1 of 2,34-19, ,,2,19,34,-15,897.0
9:03.0,J. Hawkins enters the game for J. Alvarado,34-19, ,,2,19,34,-15,897.0
9:03.0, ,34-19,T. Evbuomwan enters the game for M. Flynn,,2,19,34,-15,897.0
9:03.0, ,34-19,M. Sasser enters the game for C. Metu,,2,19,34,-15,897.0
9:03.0,H. Jones misses free throw 2 of 2,34-19, ,,2,19,34,-15,897.0
9:01.0, ,34-19,Defensive rebound by J. Wiseman,,2,19,34,-15,899.0
8:44.0, ,34-19,J. Ivey misses 3-pt jump shot from 26 ft,,2,19,34,-15,916.0
8:41.0,Defensive rebound by J. Valančiūnas,34-19, ,,2,19,34,-15,919.0
8:34.0,C. McCollum misses 2-pt layup from 6 ft,34-19, ,,2,19,34,-15,926.0
8:34.0,Offensive rebound by J. Valančiūnas,34-19, ,,2,19,34,-15,926.0
8:34.0,J. Valančiūnas makes 2-pt layup from 3 ft,36-19, ,,2,19,36,-17,926.0
8:34.0,Shooting foul by B. Boeheim (drawn by J. Valančiūnas),36-19, ,,2,19,36,-17,926.0
8:34.0,J. Valančiūnas misses free throw 1 of 1,36-19, ,,2,19,36,-17,926.0
8:31.0, ,36-19,Defensive rebound by T. Evbuomwan,,2,19,36,-17,929.0
8:18.0, ,36-19,J. Ivey misses 2-pt jump shot from 8 ft,,2,19,36,-17,942.0
8:16.0,Defensive rebound by N. Marshall,36-19, ,,2,19,36,-17,944.0
8:09.0,J. Valančiūnas misses 2-pt hook shot from 5 ft,36-19, ,,2,19,36,-17,951.0
8:07.0, ,36-19,Defensive rebound by J. Wiseman,,2,19,36,-17,953.0
8:00.0, ,36-19,J. Wiseman misses 2-pt hook shot from 4 ft,,2,19,36,-17,960.0
7:58.0,Defensive rebound by J. Valančiūnas,36-19, ,,2,19,36,-17,962.0
7:45.0,H. Jones misses 2-pt layup from 6 ft (block by M. Sasser),36-19, ,,2,19,36,-17,975.0
7:44.0, ,36-19,Defensive rebound by M. Sasser,,2,19,36,-17,976.0
7:38.0, ,36-19,Turnover by M. Sasser (bad pass; steal by H. Jones),,2,19,36,-17,982.0
7:30.0,N. Marshall makes 3-pt jump shot from 24 ft (assist by J. Hawkins),39-19, ,,2,19,39,-20,990.0
7:10.0, ,39-21,J. Wiseman makes 2-pt jump shot from 9 ft (assist by M. Sasser),,2,21,39,-18,1010.0
6:58.0,Turnover by H. Jones (bad pass),39-21, ,,2,21,39,-18,1022.0
6:58.0, ,39-21,Detroit full timeout,,2,21,39,-18,1022.0
