Time,Charlotte,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:36.0,N. Richards makes 2-pt dunk from 4 ft (assist by G. Williams),14-13, ,Lead change,1,13,14,-1,264.0
7:20.0, ,14-13,I. Stewart misses 3-pt jump shot from 24 ft,,1,13,14,-1,280.0
7:18.0,Defensive rebound by Team,14-13, ,,1,13,14,-1,282.0
7:04.0,B. Miller misses 3-pt jump shot from 25 ft,14-13, ,,1,13,14,-1,296.0
7:01.0, ,14-13,Defensive rebound by I. Stewart,,1,13,14,-1,299.0
6:56.0, ,14-16,I. Stewart makes 3-pt jump shot from 26 ft (assist by C. Cunningham),Lead change,1,16,14,2,304.0
6:35.0, ,14-16,Detroit full timeout,,1,16,14,2,325.0
6:29.0,G. Williams misses 2-pt jump shot from 10 ft,14-16, ,,1,16,14,2,331.0
6:27.0, ,14-16,Defensive rebound by I. Stewart,,1,16,14,2,333.0
6:13.0, ,14-16,J. Ivey misses 3-pt jump shot from 27 ft,,1,16,14,2,347.0
6:09.0,Defensive rebound by N. Richards,14-16, ,,1,16,14,2,351.0
6:02.0,Personal foul by S. Fontecchio (drawn by M. Bridges),14-16, ,,1,16,14,2,358.0
6:02.0,J. Thor enters the game for G. Williams,14-16, ,,1,16,14,2,358.0
5:53.0,J. Thor misses 3-pt jump shot from 24 ft,14-16, ,,1,16,14,2,367.0
5:51.0, ,14-16,Defensive rebound by S. Fontecchio,,1,16,14,2,369.0
5:45.0, ,14-18,C. Cunningham makes 2-pt layup from 4 ft,,1,18,14,4,375.0
5:22.0,B. Miller makes 3-pt jump shot from 25 ft (assist by J. Thor),17-18, ,,1,18,17,1,398.0
5:03.0, ,17-20,J. Duren makes 2-pt layup from 3 ft (assist by S. Fontecchio),,1,20,17,3,417.0
4:51.0,J. Thor misses 2-pt layup from 5 ft (block by J. Duren),17-20, ,,1,20,17,3,429.0
4:48.0, ,17-20,Defensive rebound by S. Fontecchio,,1,20,17,3,432.0
4:44.0, ,17-20,J. Duren misses 2-pt layup from 1 ft,,1,20,17,3,436.0
4:41.0,Defensive rebound by J. Thor,17-20, ,,1,20,17,3,439.0
4:29.0,Turnover by V. Micić (bad pass; steal by J. Ivey),17-20, ,,1,20,17,3,451.0
4:25.0, ,17-22,J. Duren makes 2-pt dunk from 2 ft (assist by C. Cunningham),,1,22,17,5,455.0
4:12.0,B. Miller makes 2-pt jump shot from 6 ft,19-22, ,,1,22,19,3,468.0
4:00.0, ,19-22,Shooting foul by J. Thor (drawn by I. Stewart),,1,22,19,3,480.0
4:00.0, ,19-23,I. Stewart makes free throw 1 of 2,,1,23,19,4,480.0
4:00.0,D. Bertāns enters the game for V. Micić,19-23, ,,1,23,19,4,480.0
4:00.0,N. Smith enters the game for B. Miller,19-23, ,,1,23,19,4,480.0
4:00.0, ,19-23,Q. Grimes enters the game for S. Fontecchio,,1,23,19,4,480.0
4:00.0, ,19-23,M. Sasser enters the game for J. Ivey,,1,23,19,4,480.0
4:00.0, ,19-24,I. Stewart makes free throw 2 of 2,,1,24,19,5,480.0
3:38.0,D. Bertāns misses 3-pt jump shot from 35 ft,19-24, ,,1,24,19,5,502.0
3:34.0, ,19-24,Defensive rebound by M. Sasser,,1,24,19,5,506.0
3:30.0, ,19-27,C. Cunningham makes 3-pt jump shot from 22 ft (assist by Q. Grimes),,1,27,19,8,510.0
3:28.0,Charlotte full timeout,19-27, ,,1,27,19,8,512.0
3:28.0, ,19-27,J. Wiseman enters the game for J. Duren,,1,27,19,8,512.0
3:08.0,M. Bridges misses 3-pt jump shot from 27 ft,19-27, ,,1,27,19,8,532.0
3:04.0, ,19-27,Defensive rebound by Q. Grimes,,1,27,19,8,536.0
2:44.0, ,19-29,C. Cunningham makes 2-pt layup from 5 ft,,1,29,19,10,556.0
2:30.0,N. Smith misses 2-pt jump shot from 10 ft,19-29, ,,1,29,19,10,570.0
2:27.0, ,19-29,Defensive rebound by I. Stewart,,1,29,19,10,573.0
2:19.0, ,19-29,C. Cunningham misses 3-pt jump shot from 28 ft,,1,29,19,10,581.0
2:17.0, ,19-29,Offensive rebound by Team,,1,29,19,10,583.0
2:17.0,G. Williams enters the game for N. Richards,19-29, ,,1,29,19,10,583.0
2:17.0, ,19-29,S. Fontecchio enters the game for C. Cunningham,,1,29,19,10,583.0
2:17.0, ,19-29,E. Fournier enters the game for I. Stewart,,1,29,19,10,583.0
2:05.0, ,19-29,Q. Grimes misses 3-pt jump shot from 25 ft,,1,29,19,10,595.0
2:01.0,Defensive rebound by G. Williams,19-29, ,,1,29,19,10,599.0
1:47.0,Turnover by G. Williams (lost ball; steal by Q. Grimes),19-29, ,,1,29,19,10,613.0
1:42.0, ,19-32,E. Fournier makes 3-pt jump shot from 25 ft (assist by Q. Grimes),,1,32,19,13,618.0
1:16.0,M. Bridges makes 2-pt layup from 4 ft (assist by G. Williams),21-32, ,,1,32,21,11,644.0
1:05.0, ,21-34,M. Sasser makes 2-pt jump shot from 13 ft (assist by J. Wiseman),,1,34,21,13,655.0
0:43.0,M. Bridges makes 2-pt layup from 3 ft,23-34, ,,1,34,23,11,677.0
0:43.0,Shooting foul by M. Sasser (drawn by M. Bridges),23-34, ,,1,34,23,11,677.0
0:43.0,M. Bridges misses free throw 1 of 1,23-34, ,,1,34,23,11,677.0
0:40.0, ,23-34,Defensive rebound by J. Wiseman,,1,34,23,11,680.0
0:33.0, ,23-34,Turnover by M. Sasser (lost ball; steal by D. Bertāns),,1,34,23,11,687.0
0:21.0,G. Williams misses 3-pt jump shot from 26 ft,23-34, ,,1,34,23,11,699.0
0:18.0, ,23-34,Defensive rebound by Q. Grimes,,1,34,23,11,702.0
0:05.0, ,23-34,Q. Grimes misses 3-pt jump shot from 25 ft,,1,34,23,11,715.0
0:02.0,Defensive rebound by J. Thor,23-34, ,,1,34,23,11,718.0
0:00.0,N. Smith misses 3-pt jump shot from 57 ft,23-34, ,,1,34,23,11,720.0
0:00.0,Offensive rebound by Team,23-34, ,,1,34,23,11,720.0
0:00.0,End of 1st quarter,23-34,,,1,34,23,11,720.0
12:00.0,Start of 2nd quarter,23-34,,,2,34,23,11,720.0
11:47.0, ,23-34,Turnover by S. Fontecchio (bad pass),,2,34,23,11,733.0
11:38.0,Turnover by G. Williams (bad pass),23-34, ,,2,34,23,11,742.0
11:21.0, ,23-37,S. Fontecchio makes 3-pt jump shot from 27 ft (assist by M. Sasser),,2,37,23,14,759.0
11:10.0,D. Bertāns makes 3-pt jump shot from 28 ft (assist by N. Smith),26-37, ,,2,37,26,11,770.0
11:10.0,Shooting foul by E. Fournier (drawn by D. Bertāns),26-37, ,,2,37,26,11,770.0
11:10.0,D. Bertāns makes free throw 1 of 1,27-37, ,,2,37,27,10,770.0
10:54.0, ,27-37,E. Fournier misses 3-pt jump shot from 25 ft,,2,37,27,10,786.0
10:51.0,Defensive rebound by N. Smith,27-37, ,,2,37,27,10,789.0
10:47.0,G. Williams misses 3-pt jump shot from 26 ft,27-37, ,,2,37,27,10,793.0
10:46.0, ,27-37,Defensive rebound by Team,,2,37,27,10,794.0
10:28.0, ,27-37,S. Fontecchio misses 3-pt jump shot from 25 ft,,2,37,27,10,812.0
10:24.0,Defensive rebound by N. Smith,27-37, ,,2,37,27,10,816.0
10:10.0,B. Miller makes 2-pt jump shot from 13 ft (assist by N. Richards),29-37, ,,2,37,29,8,830.0
9:55.0, ,29-39,M. Sasser makes 2-pt jump shot from 7 ft,,2,39,29,10,845.0
9:38.0,B. Miller misses 3-pt jump shot from 25 ft,29-39, ,,2,39,29,10,862.0
9:35.0,Offensive rebound by N. Richards,29-39, ,,2,39,29,10,865.0
9:25.0,Turnover by N. Smith (bad pass; steal by E. Fournier),29-39, ,,2,39,29,10,875.0
9:21.0, ,29-41,Q. Grimes makes 2-pt dunk from 2 ft (assist by S. Fontecchio),,2,41,29,12,879.0
9:08.0,B. Miller misses 2-pt jump shot from 13 ft,29-41, ,,2,41,29,12,892.0
9:05.0, ,29-41,Defensive rebound by S. Fontecchio,,2,41,29,12,895.0
8:54.0, ,29-41,E. Fournier misses 3-pt jump shot from 26 ft,,2,41,29,12,906.0
8:52.0,Defensive rebound by N. Richards,29-41, ,,2,41,29,12,908.0
8:41.0,Turnover by G. Williams (bad pass; steal by E. Fournier),29-41, ,,2,41,29,12,919.0
8:37.0, ,29-41,Shooting foul by N. Smith (drawn by Q. Grimes),,2,41,29,12,923.0
8:37.0, ,29-42,Q. Grimes makes free throw 1 of 2,,2,42,29,13,923.0
8:37.0,M. Bridges enters the game for B. Miller,29-42, ,,2,42,29,13,923.0
8:37.0,V. Micić enters the game for N. Smith,29-42, ,,2,42,29,13,923.0
8:37.0,A. Pokusevski enters the game for G. Williams,29-42, ,,2,42,29,13,923.0
8:37.0, ,29-42,J. Ivey enters the game for E. Fournier,,2,42,29,13,923.0
8:37.0, ,29-43,Q. Grimes makes free throw 2 of 2,,2,43,29,14,923.0
8:23.0,M. Bridges misses 2-pt jump shot from 11 ft,29-43, ,,2,43,29,14,937.0
8:23.0, ,29-43,Defensive rebound by Team,,2,43,29,14,937.0
8:23.0,Loose ball foul by N. Richards (drawn by S. Fontecchio),29-43, ,,2,43,29,14,937.0
8:11.0, ,29-43,Q. Grimes misses 3-pt jump shot from 23 ft,,2,43,29,14,949.0
8:07.0,Defensive rebound by V. Micić,29-43, ,,2,43,29,14,953.0
8:02.0,M. Bridges misses 2-pt jump shot from 8 ft,29-43, ,,2,43,29,14,958.0
7:59.0,Offensive rebound by N. Richards,29-43, ,,2,43,29,14,961.0
7:59.0,N. Richards makes 2-pt hook shot from 4 ft,31-43, ,,2,43,31,12,961.0
7:42.0, ,31-46,M. Sasser makes 3-pt jump shot from 24 ft (assist by Q. Grimes),,2,46,31,15,978.0
7:31.0,Offensive foul by M. Bridges (drawn by M. Sasser),31-46, ,,2,46,31,15,989.0
7:31.0,Turnover by M. Bridges (offensive foul),31-46, ,,2,46,31,15,989.0
7:10.0, ,31-46,J. Ivey misses 2-pt jump shot from 8 ft (block by A. Pokusevski),,2,46,31,15,1010.0
7:07.0, ,31-46,Offensive rebound by J. Ivey,,2,46,31,15,1013.0
7:05.0, ,31-48,J. Ivey makes 2-pt jump shot from 10 ft,,2,48,31,17,1015.0
6:47.0,D. Bertāns misses 3-pt jump shot from 23 ft,31-48, ,,2,48,31,17,1033.0
6:44.0, ,31-48,Defensive rebound by J. Wiseman,,2,48,31,17,1036.0
6:39.0, ,31-48,Turnover by Q. Grimes (bad pass),,2,48,31,17,1041.0
6:39.0, ,31-48,Detroit full timeout,,2,48,31,17,1041.0
6:39.0,B. Miller enters the game for D. Bertāns,31-48, ,,2,48,31,17,1041.0
6:39.0, ,31-48,J. Duren enters the game for S. Fontecchio,,2,48,31,17,1041.0
6:39.0, ,31-48,I. Stewart enters the game for J. Wiseman,,2,48,31,17,1041.0
6:26.0,N. Richards makes 2-pt dunk from 2 ft (assist by V. Micić),33-48, ,,2,48,33,15,1054.0
6:10.0, ,33-48,Turnover by M. Sasser (out of bounds lost ball),,2,48,33,15,1070.0
5:46.0,V. Micić makes 3-pt jump shot from 25 ft (assist by N. Richards),36-48, ,,2,48,36,12,1094.0
5:23.0, ,36-48,Q. Grimes misses 3-pt jump shot from 25 ft,,2,48,36,12,1117.0
5:23.0,Defensive rebound by B. Miller,36-48, ,,2,48,36,12,1117.0
5:18.0,A. Pokusevski makes 2-pt layup from 1 ft (assist by B. Miller),38-48, ,,2,48,38,10,1122.0
5:18.0, ,38-48,Detroit full timeout,,2,48,38,10,1122.0
5:18.0,G. Williams enters the game for N. Richards,38-48, ,,2,48,38,10,1122.0
5:18.0, ,38-48,C. Cunningham enters the game for Q. Grimes,,2,48,38,10,1122.0
5:18.0, ,38-48,S. Fontecchio enters the game for M. Sasser,,2,48,38,10,1122.0
5:06.0, ,38-48,J. Duren misses 2-pt dunk from 2 ft,,2,48,38,10,1134.0
5:03.0,Defensive rebound by B. Miller,38-48, ,,2,48,38,10,1137.0
4:56.0,A. Pokusevski misses 2-pt jump shot from 8 ft,38-48, ,,2,48,38,10,1144.0
4:53.0, ,38-48,Defensive rebound by J. Duren,,2,48,38,10,1147.0
4:45.0, ,38-48,C. Cunningham misses 3-pt jump shot from 24 ft,,2,48,38,10,1155.0
4:42.0,Defensive rebound by G. Williams,38-48, ,,2,48,38,10,1158.0
4:25.0,V. Micić makes 3-pt jump shot from 26 ft (assist by A. Pokusevski),41-48, ,,2,48,41,7,1175.0
4:15.0, ,41-48,Shooting foul by G. Williams (drawn by J. Duren),,2,48,41,7,1185.0
4:15.0, ,41-48,J. Duren misses free throw 1 of 2,,2,48,41,7,1185.0
4:15.0, ,41-48,Offensive rebound by Team,,2,48,41,7,1185.0
4:15.0, ,41-48,J. Duren misses free throw 2 of 2,,2,48,41,7,1185.0
4:12.0,Defensive rebound by M. Bridges,41-48, ,,2,48,41,7,1188.0
4:02.0,B. Miller makes 3-pt jump shot from 26 ft (assist by V. Micić),44-48, ,,2,48,44,4,1198.0
3:47.0, ,44-48,S. Fontecchio misses 3-pt jump shot from 26 ft,,2,48,44,4,1213.0
3:44.0,Defensive rebound by G. Williams,44-48, ,,2,48,44,4,1216.0
3:41.0,A. Pokusevski misses 2-pt layup from 5 ft,44-48, ,,2,48,44,4,1219.0
3:36.0, ,44-48,Defensive rebound by J. Duren,,2,48,44,4,1224.0
3:33.0, ,44-48,Turnover by J. Ivey (lost ball; steal by B. Miller),,2,48,44,4,1227.0
3:17.0,G. Williams makes 2-pt hook shot from 4 ft (assist by V. Micić),46-48, ,,2,48,46,2,1243.0
3:02.0, ,46-48,J. Ivey misses 3-pt jump shot from 25 ft,,2,48,46,2,1258.0
2:55.0,Defensive rebound by V. Micić,46-48, ,,2,48,46,2,1265.0
2:49.0,B. Miller misses 3-pt jump shot from 24 ft,46-48, ,,2,48,46,2,1271.0
2:44.0, ,46-48,Defensive rebound by S. Fontecchio,,2,48,46,2,1276.0
2:27.0, ,46-51,S. Fontecchio makes 3-pt jump shot from 27 ft (assist by C. Cunningham),,2,51,46,5,1293.0
2:03.0,B. Miller misses 2-pt jump shot from 13 ft (block by S. Fontecchio),46-51, ,,2,51,46,5,1317.0
1:59.0, ,46-51,Defensive rebound by C. Cunningham,,2,51,46,5,1321.0
1:51.0, ,46-53,I. Stewart makes 2-pt layup from 1 ft (assist by C. Cunningham),,2,53,46,7,1329.0
1:37.0,V. Micić misses 3-pt jump shot from 25 ft,46-53, ,,2,53,46,7,1343.0
1:37.0, ,46-53,Defensive rebound by I. Stewart,,2,53,46,7,1343.0
1:21.0, ,46-53,J. Ivey misses 3-pt jump shot from 23 ft,,2,53,46,7,1359.0
1:17.0,Defensive rebound by B. Miller,46-53, ,,2,53,46,7,1363.0
1:13.0,Personal foul by C. Cunningham (drawn by B. Miller),46-53, ,,2,53,46,7,1367.0
1:13.0,D. Bertāns enters the game for A. Pokusevski,46-53, ,,2,53,46,7,1367.0
1:13.0,N. Richards enters the game for G. Williams,46-53, ,,2,53,46,7,1367.0
0:56.0,M. Bridges misses 3-pt jump shot from 29 ft,46-53, ,,2,53,46,7,1384.0
0:53.0, ,46-53,Defensive rebound by C. Cunningham,,2,53,46,7,1387.0
0:45.0,Violation by Team (kicked ball),46-53, ,,2,53,46,7,1395.0
0:33.0, ,46-53,I. Stewart misses 3-pt jump shot from 22 ft,,2,53,46,7,1407.0
0:30.0,Defensive rebound by N. Richards,46-53, ,,2,53,46,7,1410.0
0:20.0,N. Richards misses 2-pt layup from 6 ft (block by I. Stewart),46-53, ,,2,53,46,7,1420.0
0:15.0,Offensive rebound by V. Micić,46-53, ,,2,53,46,7,1425.0
0:14.0,M. Bridges misses 3-pt jump shot from 24 ft,46-53, ,,2,53,46,7,1426.0
0:11.0, ,46-53,Defensive rebound by S. Fontecchio,,2,53,46,7,1429.0
0:01.0, ,46-53,C. Cunningham misses 2-pt jump shot from 12 ft,,2,53,46,7,1439.0
0:01.0, ,46-53,Offensive rebound by Team,,2,53,46,7,1439.0
0:00.0,End of 2nd quarter,46-53,,,2,53,46,7,1440.0
12:00.0,Start of 3rd quarter,46-53,,,3,53,46,7,1440.0
11:49.0, ,46-53,C. Cunningham misses 2-pt layup from 4 ft,,3,53,46,7,1451.0
11:48.0, ,46-53,Offensive rebound by Team,,3,53,46,7,1452.0
11:42.0, ,46-56,I. Stewart makes 3-pt jump shot from 25 ft (assist by J. Ivey),,3,56,46,10,1458.0
11:21.0,B. Miller misses 3-pt jump shot from 26 ft,46-56, ,,3,56,46,10,1479.0
11:18.0, ,46-56,Defensive rebound by S. Fontecchio,,3,56,46,10,1482.0
11:13.0, ,46-58,J. Ivey makes 2-pt layup from 2 ft,,3,58,46,12,1487.0
11:00.0,M. Bridges misses 2-pt jump shot from 6 ft,46-58, ,,3,58,46,12,1500.0
11:00.0, ,46-58,Defensive rebound by J. Duren,,3,58,46,12,1500.0
10:45.0, ,46-60,J. Duren makes 2-pt dunk from 3 ft (assist by C. Cunningham),,3,60,46,14,1515.0
10:23.0,M. Bridges misses 2-pt jump shot from 8 ft,46-60, ,,3,60,46,14,1537.0
10:17.0, ,46-60,Defensive rebound by J. Duren,,3,60,46,14,1543.0
10:07.0, ,46-60,J. Ivey misses 3-pt jump shot from 27 ft,,3,60,46,14,1553.0
10:04.0,Defensive rebound by N. Richards,46-60, ,,3,60,46,14,1556.0
9:52.0,B. Miller makes 2-pt jump shot from 3 ft,48-60, ,,3,60,48,12,1568.0
9:51.0,Technical foul by B. Miller,48-60, ,,3,60,48,12,1569.0
9:51.0, ,48-61,C. Cunningham makes technical free throw,,3,61,48,13,1569.0
9:33.0, ,48-61,I. Stewart misses 3-pt jump shot from 23 ft,,3,61,48,13,1587.0
9:31.0, ,48-61,Offensive rebound by Team,,3,61,48,13,1589.0
9:26.0, ,48-63,S. Fontecchio makes 2-pt layup from 4 ft (assist by J. Duren),,3,63,48,15,1594.0
9:13.0,M. Bridges makes 2-pt dunk from 1 ft (assist by B. Miller),50-63, ,,3,63,50,13,1607.0
8:57.0, ,50-65,I. Stewart makes 2-pt layup from 7 ft (assist by S. Fontecchio),,3,65,50,15,1623.0
8:40.0,N. Richards misses 2-pt jump shot from 14 ft,50-65, ,,3,65,50,15,1640.0
8:37.0, ,50-65,Defensive rebound by I. Stewart,,3,65,50,15,1643.0
8:31.0, ,50-65,Turnover by C. Cunningham (lost ball; steal by G. Williams),,3,65,50,15,1649.0
8:30.0,Personal foul by S. Fontecchio (drawn by G. Williams),50-65, ,,3,65,50,15,1650.0
8:16.0,Turnover by N. Richards (bad pass; steal by S. Fontecchio),50-65, ,,3,65,50,15,1664.0
8:03.0, ,50-68,S. Fontecchio makes 3-pt jump shot from 23 ft (assist by J. Ivey),,3,68,50,18,1677.0
8:02.0,Charlotte full timeout,50-68, ,,3,68,50,18,1678.0
7:48.0,M. Bridges makes 3-pt jump shot from 26 ft (assist by V. Micić),53-68, ,,3,68,53,15,1692.0
7:28.0, ,53-68,J. Ivey misses 2-pt jump shot from 5 ft,,3,68,53,15,1712.0
7:27.0, ,53-68,Offensive rebound by J. Duren,,3,68,53,15,1713.0
7:26.0, ,53-70,J. Duren makes 2-pt dunk at rim,,3,70,53,17,1714.0
7:09.0,Shooting foul by S. Fontecchio (drawn by M. Bridges),53-70, ,,3,70,53,17,1731.0
7:09.0,M. Bridges misses free throw 1 of 2,53-70, ,,3,70,53,17,1731.0
7:09.0,Offensive rebound by Team,53-70, ,,3,70,53,17,1731.0
7:09.0,M. Bridges makes free throw 2 of 2,54-70, ,,3,70,54,16,1731.0
6:53.0, ,54-70,I. Stewart misses 3-pt jump shot from 27 ft,,3,70,54,16,1747.0
6:49.0,Defensive rebound by N. Richards,54-70, ,,3,70,54,16,1751.0
6:44.0,M. Bridges misses 2-pt jump shot from 23 ft,54-70, ,,3,70,54,16,1756.0
6:41.0, ,54-70,Defensive rebound by J. Duren,,3,70,54,16,1759.0
6:33.0, ,54-70,J. Ivey misses 3-pt jump shot from 27 ft,,3,70,54,16,1767.0
6:30.0,Defensive rebound by M. Bridges,54-70, ,,3,70,54,16,1770.0
6:20.0,Shooting foul by J. Duren (drawn by G. Williams),54-70, ,,3,70,54,16,1780.0
6:20.0,G. Williams makes free throw 1 of 2,55-70, ,,3,70,55,15,1780.0
6:20.0,G. Williams makes free throw 2 of 2,56-70, ,,3,70,56,14,1780.0
6:03.0, ,56-72,J. Ivey makes 2-pt layup from 4 ft,,3,72,56,16,1797.0
6:03.0,J. Thor enters the game for G. Williams,56-72, ,,3,72,56,16,1797.0
5:52.0,B. Miller makes 2-pt jump shot from 15 ft (assist by V. Micić),58-72, ,,3,72,58,14,1808.0
5:37.0, ,58-72,Turnover by J. Duren (out of bounds lost ball),,3,72,58,14,1823.0
5:26.0,Personal foul by S. Fontecchio (drawn by B. Miller),58-72, ,,3,72,58,14,1834.0
5:26.0, ,58-72,Q. Grimes enters the game for S. Fontecchio,,3,72,58,14,1834.0
5:13.0,M. Bridges misses 2-pt hook shot from 9 ft,58-72, ,,3,72,58,14,1847.0
5:09.0, ,58-72,Defensive rebound by J. Ivey,,3,72,58,14,1851.0
5:06.0, ,58-74,J. Ivey makes 2-pt layup from 2 ft,,3,74,58,16,1854.0
4:50.0,V. Micić misses 2-pt jump shot from 12 ft,58-74, ,,3,74,58,16,1870.0
4:45.0,Offensive rebound by B. Miller,58-74, ,,3,74,58,16,1875.0
4:41.0,Shooting foul by I. Stewart (drawn by M. Bridges),58-74, ,,3,74,58,16,1879.0
4:41.0,M. Bridges makes free throw 1 of 2,59-74, ,,3,74,59,15,1879.0
4:41.0,M. Bridges makes free throw 2 of 2,60-74, ,,3,74,60,14,1879.0
4:25.0, ,60-76,J. Duren makes 2-pt dunk from 3 ft (assist by C. Cunningham),,3,76,60,16,1895.0
4:03.0,M. Bridges makes 2-pt layup from 4 ft (assist by B. Miller),62-76, ,,3,76,62,14,1917.0
3:55.0, ,62-76,J. Ivey misses 3-pt jump shot from 26 ft,,3,76,62,14,1925.0
3:52.0,Defensive rebound by M. Bridges,62-76, ,,3,76,62,14,1928.0
3:45.0,B. Miller misses 3-pt jump shot from 26 ft,62-76, ,,3,76,62,14,1935.0
3:43.0, ,62-76,Defensive rebound by C. Cunningham,,3,76,62,14,1937.0
3:33.0, ,62-76,Turnover by C. Cunningham (traveling),,3,76,62,14,1947.0
3:33.0,D. Bertāns enters the game for V. Micić,62-76, ,,3,76,62,14,1947.0
3:33.0,N. Smith enters the game for B. Miller,62-76, ,,3,76,62,14,1947.0
3:33.0, ,62-76,M. Sasser enters the game for J. Duren,,3,76,62,14,1947.0
3:33.0, ,62-76,J. Wiseman enters the game for J. Ivey,,3,76,62,14,1947.0
3:21.0,M. Bridges misses 3-pt jump shot from 27 ft,62-76, ,,3,76,62,14,1959.0
3:16.0, ,62-76,Defensive rebound by Q. Grimes,,3,76,62,14,1964.0
3:06.0, ,62-76,Q. Grimes misses 3-pt jump shot from 25 ft,,3,76,62,14,1974.0
3:03.0,Defensive rebound by M. Bridges,62-76, ,,3,76,62,14,1977.0
2:52.0,M. Bridges misses 2-pt layup from 5 ft (block by J. Wiseman),62-76, ,,3,76,62,14,1988.0
2:48.0, ,62-76,Defensive rebound by M. Sasser,,3,76,62,14,1992.0
2:26.0, ,62-79,C. Cunningham makes 3-pt jump shot from 25 ft (assist by M. Sasser),,3,79,62,17,2014.0
2:12.0,J. Thor misses 3-pt jump shot from 23 ft,62-79, ,,3,79,62,17,2028.0
2:08.0, ,62-79,Defensive rebound by I. Stewart,,3,79,62,17,2032.0
2:03.0, ,62-79,C. Cunningham misses 3-pt jump shot from 23 ft,,3,79,62,17,2037.0
2:00.0,Defensive rebound by N. Richards,62-79, ,,3,79,62,17,2040.0
1:52.0,D. Bertāns makes 3-pt jump shot from 25 ft (assist by M. Bridges),65-79, ,,3,79,65,14,2048.0
1:32.0, ,65-79,C. Cunningham misses 3-pt jump shot from 24 ft,,3,79,65,14,2068.0
1:28.0, ,65-79,Offensive rebound by Q. Grimes,,3,79,65,14,2072.0
1:24.0, ,65-79,Shooting foul by D. Bertāns (drawn by J. Wiseman),,3,79,65,14,2076.0
