Time,Detroit,Score,Philadelphia,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:11.0, ,5-17,J. Embiid makes free throw 2 of 2,,1,5,17,-12,409.0
4:51.0,B. Bogdanović makes 2-pt jump shot from 12 ft,7-17, ,,1,7,17,-10,429.0
4:40.0, ,7-17,P. Beverley misses 2-pt jump shot from 6 ft,,1,7,17,-10,440.0
4:38.0,Defensive rebound by C. Cunningham,7-17, ,,1,7,17,-10,442.0
4:32.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by J. Ivey),10-17, ,,1,10,17,-7,448.0
4:14.0, ,10-17,T. Harris misses 3-pt jump shot from 23 ft,,1,10,17,-7,466.0
4:11.0,Defensive rebound by B. Bogdanović,10-17, ,,1,10,17,-7,469.0
4:01.0,I. Stewart makes 2-pt jump shot from 14 ft (assist by B. Bogdanović),12-17, ,,1,12,17,-5,479.0
3:48.0, ,12-19,J. Embiid makes 2-pt jump shot from 15 ft (assist by T. Harris),,1,12,19,-7,492.0
3:38.0,J. Ivey makes 2-pt jump shot from 10 ft,14-19, ,,1,14,19,-5,502.0
3:30.0, ,14-19,Personal foul by C. Cunningham (drawn by P. Beverley),,1,14,19,-5,510.0
3:30.0, ,14-20,P. Beverley makes free throw 1 of 2,,1,14,20,-6,510.0
3:30.0,A. Burks enters the game for B. Bogdanović,14-20, ,,1,14,20,-6,510.0
3:30.0,K. Hayes enters the game for C. Cunningham,14-20, ,,1,14,20,-6,510.0
3:30.0,J. Wiseman enters the game for I. Stewart,14-20, ,,1,14,20,-6,510.0
3:30.0, ,14-20,K. Oubre enters the game for N. Batum,,1,14,20,-6,510.0
3:30.0, ,14-20,P. Beverley misses free throw 2 of 2,,1,14,20,-6,510.0
3:27.0,Defensive rebound by J. Wiseman,14-20, ,,1,14,20,-6,513.0
3:13.0,A. Burks misses 3-pt jump shot from 25 ft,14-20, ,,1,14,20,-6,527.0
3:11.0, ,14-20,Defensive rebound by J. Embiid,,1,14,20,-6,529.0
