Time,Toronto,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:32.0,J. Ramsey makes free throw 1 of 2,30-32, ,,2,32,30,2,808.0
10:32.0,J. Ramsey makes free throw 2 of 2,31-32, ,,2,32,31,1,808.0
10:19.0, ,31-32,M. Sasser misses 2-pt jump shot from 13 ft,,2,32,31,1,821.0
10:17.0,Defensive rebound by J. Ramsey,31-32, ,,2,32,31,1,823.0
10:03.0,J. McDaniels misses 2-pt layup from 4 ft (block by J. Wiseman),31-32, ,,2,32,31,1,837.0
10:01.0, ,31-32,Defensive rebound by J. Wiseman,,2,32,31,1,839.0
9:56.0, ,31-32,Q. Grimes misses 2-pt layup from 3 ft (block by J. Porter),,2,32,31,1,844.0
9:53.0,Defensive rebound by J. Porter,31-32, ,,2,32,31,1,847.0
9:46.0,B. Brown makes 2-pt layup from 3 ft,33-32, ,Lead change,2,32,33,-1,854.0
9:27.0, ,33-32,Turnover by S. Fontecchio (bad pass; steal by G. Dick),,2,32,33,-1,873.0
9:24.0,Turnover by G. Dick (bad pass),33-32, ,,2,32,33,-1,876.0
9:24.0, ,33-32,J. Ivey enters the game for E. Fournier,,2,32,33,-1,876.0
9:09.0, ,33-32,M. Sasser misses 3-pt jump shot from 25 ft,,2,32,33,-1,891.0
9:06.0,Defensive rebound by B. Brown,33-32, ,,2,32,33,-1,894.0
9:01.0,J. Porter makes 3-pt jump shot from 27 ft (assist by B. Brown),36-32, ,,2,32,36,-4,899.0
8:49.0, ,36-32,J. Ivey misses 2-pt jump shot from 12 ft,,2,32,36,-4,911.0
8:47.0,Defensive rebound by J. McDaniels,36-32, ,,2,32,36,-4,913.0
8:43.0,G. Dick makes 2-pt dunk from 4 ft (assist by J. McDaniels),38-32, ,,2,32,38,-6,917.0
8:43.0, ,38-32,Detroit full timeout,,2,32,38,-6,917.0
8:43.0,J. Nwora enters the game for G. Dick,38-32, ,,2,32,38,-6,917.0
8:43.0, ,38-32,C. Cunningham enters the game for Q. Grimes,,2,32,38,-6,917.0
8:43.0, ,38-32,J. Duren enters the game for J. Wiseman,,2,32,38,-6,917.0
8:27.0, ,38-32,J. Ivey misses 2-pt layup from 1 ft (block by J. Porter),,2,32,38,-6,933.0
8:27.0,Defensive rebound by J. Nwora,38-32, ,,2,32,38,-6,933.0
8:16.0,J. Porter misses 3-pt jump shot from 26 ft,38-32, ,,2,32,38,-6,944.0
8:15.0, ,38-32,Defensive rebound by M. Sasser,,2,32,38,-6,945.0
8:05.0, ,38-32,Shooting foul by J. Porter (drawn by J. Duren),,2,32,38,-6,955.0
8:05.0, ,38-33,J. Duren makes free throw 1 of 2,,2,33,38,-5,955.0
8:05.0,I. Quickley enters the game for B. Brown,38-33, ,,2,33,38,-5,955.0
8:05.0, ,38-33,J. Duren misses free throw 2 of 2,,2,33,38,-5,955.0
8:01.0,Defensive rebound by J. McDaniels,38-33, ,,2,33,38,-5,959.0
7:48.0,J. McDaniels makes 2-pt dunk from 3 ft (assist by J. Porter),40-33, ,,2,33,40,-7,972.0
7:29.0, ,40-33,M. Sasser misses 3-pt jump shot from 28 ft,,2,33,40,-7,991.0
7:27.0,Defensive rebound by J. McDaniels,40-33, ,,2,33,40,-7,993.0
7:16.0,J. McDaniels misses 3-pt jump shot from 29 ft,40-33, ,,2,33,40,-7,1004.0
7:11.0, ,40-33,Defensive rebound by J. Ivey,,2,33,40,-7,1009.0
7:07.0, ,40-33,S. Fontecchio misses 3-pt jump shot from 26 ft,,2,33,40,-7,1013.0
7:05.0, ,40-33,Offensive rebound by J. Duren,,2,33,40,-7,1015.0
7:01.0, ,40-33,M. Sasser misses 3-pt jump shot from 26 ft,,2,33,40,-7,1019.0
7:00.0, ,40-33,Offensive rebound by Team,,2,33,40,-7,1020.0
7:00.0,Loose ball foul by J. McDaniels (drawn by J. Duren),40-33, ,,2,33,40,-7,1020.0
7:00.0,O. Agbaji enters the game for J. Porter,40-33, ,,2,33,40,-7,1020.0
7:00.0,K. Olynyk enters the game for J. Ramsey,40-33, ,,2,33,40,-7,1020.0
7:00.0, ,40-33,I. Stewart enters the game for S. Fontecchio,,2,33,40,-7,1020.0
7:00.0, ,40-33,S. Umude enters the game for M. Sasser,,2,33,40,-7,1020.0
6:54.0, ,40-33,Turnover by C. Cunningham (lost ball; steal by J. Nwora),,2,33,40,-7,1026.0
6:50.0,O. Agbaji misses 2-pt layup from 4 ft (block by I. Stewart),40-33, ,,2,33,40,-7,1030.0
6:47.0, ,40-33,Defensive rebound by C. Cunningham,,2,33,40,-7,1033.0
6:42.0, ,40-33,C. Cunningham misses 2-pt jump shot from 6 ft,,2,33,40,-7,1038.0
6:39.0,Defensive rebound by J. Nwora,40-33, ,,2,33,40,-7,1041.0
6:31.0,J. McDaniels misses 2-pt jump shot from 5 ft,40-33, ,,2,33,40,-7,1049.0
6:29.0, ,40-33,Defensive rebound by S. Umude,,2,33,40,-7,1051.0
6:18.0, ,40-33,Turnover by J. Duren (bad pass; steal by J. Nwora),,2,33,40,-7,1062.0
6:11.0,I. Quickley misses 3-pt jump shot from 31 ft,40-33, ,,2,33,40,-7,1069.0
6:09.0, ,40-33,Defensive rebound by S. Umude,,2,33,40,-7,1071.0
5:54.0, ,40-35,C. Cunningham makes 2-pt layup from 3 ft,,2,35,40,-5,1086.0
5:42.0,J. Nwora makes 3-pt jump shot from 31 ft,43-35, ,,2,35,43,-8,1098.0
5:27.0, ,43-35,S. Umude misses 2-pt jump shot from 16 ft (block by I. Quickley),,2,35,43,-8,1113.0
5:24.0,Defensive rebound by I. Quickley,43-35, ,,2,35,43,-8,1116.0
5:22.0,I. Quickley makes 2-pt layup from 2 ft,45-35, ,,2,35,45,-10,1118.0
5:10.0, ,45-37,C. Cunningham makes 2-pt jump shot from 15 ft (assist by J. Duren),,2,37,45,-8,1130.0
4:55.0,J. Nwora makes 2-pt layup from 3 ft,47-37, ,,2,37,47,-10,1145.0
4:39.0, ,47-37,S. Umude misses 3-pt jump shot from 26 ft,,2,37,47,-10,1161.0
4:36.0,Defensive rebound by K. Olynyk,47-37, ,,2,37,47,-10,1164.0
4:28.0,K. Olynyk makes 2-pt layup from 2 ft (assist by I. Quickley),49-37, ,,2,37,49,-12,1172.0
4:14.0, ,49-37,C. Cunningham misses 2-pt jump shot from 8 ft,,2,37,49,-12,1186.0
4:11.0,Defensive rebound by K. Olynyk,49-37, ,,2,37,49,-12,1189.0
4:10.0,Turnover by K. Olynyk (bad pass; steal by J. Ivey),49-37, ,,2,37,49,-12,1190.0
4:07.0, ,49-37,Turnover by J. Ivey (discontinued dribble),,2,37,49,-12,1193.0
4:07.0,Toronto full timeout,49-37, ,,2,37,49,-12,1193.0
4:07.0,B. Brown enters the game for J. McDaniels,49-37, ,,2,37,49,-12,1193.0
4:07.0,G. Dick enters the game for J. Nwora,49-37, ,,2,37,49,-12,1193.0
4:07.0, ,49-37,S. Fontecchio enters the game for S. Umude,,2,37,49,-12,1193.0
4:00.0,I. Quickley misses 2-pt jump shot from 20 ft,49-37, ,,2,37,49,-12,1200.0
3:57.0, ,49-37,Defensive rebound by J. Duren,,2,37,49,-12,1203.0
3:42.0, ,49-37,Turnover by I. Stewart (lost ball; steal by O. Agbaji),,2,37,49,-12,1218.0
3:38.0,B. Brown makes 2-pt layup from 4 ft (assist by O. Agbaji),51-37, ,,2,37,51,-14,1222.0
3:21.0, ,51-37,C. Cunningham misses 3-pt jump shot from 27 ft,,2,37,51,-14,1239.0
3:18.0,Defensive rebound by B. Brown,51-37, ,,2,37,51,-14,1242.0
3:13.0,Shooting foul by I. Stewart (drawn by I. Quickley),51-37, ,,2,37,51,-14,1247.0
3:13.0,I. Quickley makes free throw 1 of 2,52-37, ,,2,37,52,-15,1247.0
3:13.0,I. Quickley makes free throw 2 of 2,53-37, ,,2,37,53,-16,1247.0
2:59.0, ,53-39,J. Duren makes 2-pt dunk from 3 ft (assist by J. Ivey),,2,39,53,-14,1261.0
2:48.0,G. Dick misses 3-pt jump shot from 28 ft,53-39, ,,2,39,53,-14,1272.0
2:47.0, ,53-39,Defensive rebound by Team,,2,39,53,-14,1273.0
2:36.0, ,53-39,J. Ivey misses 2-pt jump shot from 5 ft,,2,39,53,-14,1284.0
2:35.0, ,53-39,Offensive rebound by J. Ivey,,2,39,53,-14,1285.0
2:35.0, ,53-39,Shooting foul by O. Agbaji (drawn by J. Ivey),,2,39,53,-14,1285.0
2:35.0, ,53-40,J. Ivey makes free throw 1 of 2,,2,40,53,-13,1285.0
2:35.0,J. Ramsey enters the game for O. Agbaji,53-40, ,,2,40,53,-13,1285.0
2:35.0, ,53-41,J. Ivey makes free throw 2 of 2,,2,41,53,-12,1285.0
2:28.0,Personal foul by J. Ivey (drawn by B. Brown),53-41, ,,2,41,53,-12,1292.0
2:18.0,G. Dick makes 2-pt dunk from 3 ft (assist by K. Olynyk),55-41, ,,2,41,55,-14,1302.0
2:05.0, ,55-44,C. Cunningham makes 3-pt jump shot from 27 ft (assist by J. Ivey),,2,44,55,-11,1315.0
1:50.0,I. Quickley makes 2-pt layup from 3 ft (assist by B. Brown),57-44, ,,2,44,57,-13,1330.0
1:39.0, ,57-44,Turnover by J. Duren (lost ball; steal by J. Ramsey),,2,44,57,-13,1341.0
1:35.0,Personal foul by C. Cunningham (drawn by I. Quickley),57-44, ,,2,44,57,-13,1345.0
1:31.0,Turnover by K. Olynyk (traveling),57-44, ,,2,44,57,-13,1349.0
1:17.0, ,57-47,C. Cunningham makes 3-pt jump shot from 28 ft (assist by J. Duren),,2,47,57,-10,1363.0
1:02.0,I. Quickley misses 2-pt jump shot from 7 ft (block by I. Stewart),57-47, ,,2,47,57,-10,1378.0
0:58.0, ,57-47,Defensive rebound by J. Duren,,2,47,57,-10,1382.0
0:54.0, ,57-50,S. Fontecchio makes 3-pt jump shot from 24 ft (assist by J. Ivey),,2,50,57,-7,1386.0
0:30.0,J. Ramsey misses 3-pt jump shot from 27 ft,57-50, ,,2,50,57,-7,1410.0
0:27.0, ,57-50,Defensive rebound by I. Stewart,,2,50,57,-7,1413.0
0:06.0, ,57-50,C. Cunningham misses 2-pt jump shot from 17 ft,,2,50,57,-7,1434.0
0:05.0, ,57-50,Offensive rebound by J. Duren,,2,50,57,-7,1435.0
0:05.0, ,57-52,J. Duren makes 2-pt layup at rim,,2,52,57,-5,1435.0
0:00.0,G. Dick misses 3-pt jump shot from 23 ft,57-52, ,,2,52,57,-5,1440.0
0:00.0,Offensive rebound by Team,57-52, ,,2,52,57,-5,1440.0
0:00.0,End of 2nd quarter,57-52,,,2,52,57,-5,1440.0
12:00.0,Start of 3rd quarter,57-52,,,3,52,57,-5,1440.0
11:46.0, ,57-52,C. Cunningham misses 3-pt jump shot from 28 ft,,3,52,57,-5,1454.0
11:44.0,Defensive rebound by I. Quickley,57-52, ,,3,52,57,-5,1456.0
11:40.0,Shooting foul by J. Ivey (drawn by I. Quickley),57-52, ,,3,52,57,-5,1460.0
11:40.0,I. Quickley makes free throw 1 of 2,58-52, ,,3,52,58,-6,1460.0
11:40.0,I. Quickley makes free throw 2 of 2,59-52, ,,3,52,59,-7,1460.0
11:23.0, ,59-52,C. Cunningham misses 2-pt jump shot from 4 ft (block by K. Olynyk),,3,52,59,-7,1477.0
11:23.0, ,59-52,Offensive rebound by Team,,3,52,59,-7,1477.0
11:21.0, ,59-52,Shooting foul by I. Quickley (drawn by S. Fontecchio),,3,52,59,-7,1479.0
11:21.0, ,59-53,S. Fontecchio makes free throw 1 of 2,,3,53,59,-6,1479.0
11:21.0, ,59-54,S. Fontecchio makes free throw 2 of 2,,3,54,59,-5,1479.0
11:04.0,G. Dick misses 3-pt jump shot from 24 ft,59-54, ,,3,54,59,-5,1496.0
11:02.0, ,59-54,Defensive rebound by J. Duren,,3,54,59,-5,1498.0
10:54.0, ,59-54,Turnover by C. Cunningham (bad pass; steal by I. Quickley),,3,54,59,-5,1506.0
10:52.0,I. Quickley misses 2-pt layup from 3 ft (block by I. Stewart),59-54, ,,3,54,59,-5,1508.0
10:50.0, ,59-54,Defensive rebound by J. Duren,,3,54,59,-5,1510.0
10:44.0, ,59-56,J. Ivey makes 2-pt layup from 2 ft (assist by C. Cunningham),,3,56,59,-3,1516.0
10:36.0,K. Olynyk misses 3-pt jump shot from 27 ft,59-56, ,,3,56,59,-3,1524.0
10:33.0, ,59-56,Defensive rebound by J. Ivey,,3,56,59,-3,1527.0
10:31.0, ,59-56,Shooting foul by O. Agbaji (drawn by J. Ivey),,3,56,59,-3,1529.0
10:31.0, ,59-56,J. Ivey misses free throw 1 of 2,,3,56,59,-3,1529.0
10:31.0, ,59-56,Offensive rebound by Team,,3,56,59,-3,1529.0
10:31.0, ,59-56,J. Ivey misses free throw 2 of 2,,3,56,59,-3,1529.0
10:28.0, ,59-56,Offensive rebound by J. Duren,,3,56,59,-3,1532.0
10:27.0, ,59-58,J. Duren makes 2-pt layup from 3 ft,,3,58,59,-1,1533.0
10:08.0,Personal foul by C. Cunningham (drawn by G. Dick),59-58, ,,3,58,59,-1,1552.0
10:08.0,Technical foul by I. Quickley,59-58, ,,3,58,59,-1,1552.0
10:08.0, ,59-58,C. Cunningham misses technical free throw,,3,58,59,-1,1552.0
10:08.0,Defensive rebound by Team,59-58, ,,3,58,59,-1,1552.0
9:52.0,Turnover by K. Olynyk (lost ball; steal by J. Ivey),59-58, ,,3,58,59,-1,1568.0
9:42.0, ,59-58,Def 3 sec tech foul by Team,,3,58,59,-1,1578.0
9:42.0, ,59-59,C. Cunningham makes technical free throw,Tie,3,59,59,0,1578.0
9:30.0, ,59-62,I. Stewart makes 3-pt jump shot from 24 ft (assist by J. Ivey),Lead change,3,62,59,3,1590.0
9:10.0,O. Agbaji misses 3-pt jump shot from 27 ft,59-62, ,,3,62,59,3,1610.0
9:08.0, ,59-62,Defensive rebound by J. Duren,,3,62,59,3,1612.0
8:58.0, ,59-62,Turnover by J. Duren (bad pass; steal by K. Olynyk),,3,62,59,3,1622.0
8:51.0,B. Brown makes 2-pt layup from 4 ft (assist by K. Olynyk),61-62, ,,3,62,61,1,1629.0
8:37.0, ,61-62,Turnover by C. Cunningham (bad pass; steal by O. Agbaji),,3,62,61,1,1643.0
8:35.0,Turnover by O. Agbaji (bad pass; steal by J. Duren),61-62, ,,3,62,61,1,1645.0
8:21.0, ,61-64,I. Stewart makes 2-pt layup from 3 ft (assist by C. Cunningham),,3,64,61,3,1659.0
8:21.0, ,61-64,Shooting foul by B. Brown (drawn by I. Stewart),,3,64,61,3,1659.0
8:21.0, ,61-65,I. Stewart makes free throw 1 of 1,,3,65,61,4,1659.0
8:02.0,Turnover by G. Dick (traveling),61-65, ,,3,65,61,4,1678.0
7:46.0, ,61-65,J. Ivey misses 2-pt jump shot from 13 ft,,3,65,61,4,1694.0
7:43.0,Defensive rebound by B. Brown,61-65, ,,3,65,61,4,1697.0
7:36.0,K. Olynyk makes 2-pt layup from 2 ft (assist by B. Brown),63-65, ,,3,65,63,2,1704.0
7:22.0, ,63-67,C. Cunningham makes 2-pt jump shot from 10 ft (assist by J. Duren),,3,67,63,4,1718.0
7:08.0,G. Dick makes 3-pt jump shot from 23 ft (assist by I. Quickley),66-67, ,,3,67,66,1,1732.0
6:50.0, ,66-67,Turnover by S. Fontecchio (bad pass; steal by B. Brown),,3,67,66,1,1750.0
6:44.0,B. Brown makes 2-pt layup from 3 ft (assist by O. Agbaji),68-67, ,Lead change,3,67,68,-1,1756.0
6:28.0, ,68-67,Shooting foul by K. Olynyk (drawn by J. Duren),,3,67,68,-1,1772.0
6:28.0, ,68-67,Detroit full timeout,,3,67,68,-1,1772.0
6:28.0,J. Nwora enters the game for B. Brown,68-67, ,,3,67,68,-1,1772.0
6:28.0, ,68-68,J. Duren makes free throw 1 of 2,Tie,3,68,68,0,1772.0
6:28.0, ,68-69,J. Duren makes free throw 2 of 2,Lead change,3,69,68,1,1772.0
6:12.0,K. Olynyk makes 2-pt layup from 2 ft (assist by I. Quickley),70-69, ,Lead change,3,69,70,-1,1788.0
5:51.0, ,70-71,J. Ivey makes 2-pt layup from 3 ft (assist by I. Stewart),Lead change,3,71,70,1,1809.0
5:41.0,G. Dick misses 3-pt jump shot from 27 ft,70-71, ,,3,71,70,1,1819.0
5:39.0, ,70-71,Defensive rebound by C. Cunningham,,3,71,70,1,1821.0
5:29.0, ,70-71,C. Cunningham misses 2-pt layup from 3 ft,,3,71,70,1,1831.0
5:27.0,Defensive rebound by I. Quickley,70-71, ,,3,71,70,1,1833.0
5:27.0,J. McDaniels enters the game for G. Dick,70-71, ,,3,71,70,1,1833.0
5:23.0,J. Nwora misses 2-pt layup from 2 ft (block by J. Ivey),70-71, ,,3,71,70,1,1837.0
5:23.0, ,70-71,Defensive rebound by Team,,3,71,70,1,1837.0
5:23.0,Jump ball: J. Duren vs. K. Olynyk (J. Duren gains possession),70-71,,,3,71,70,1,1837.0
5:10.0, ,70-71,Personal foul by K. Olynyk (drawn by J. Ivey),,3,71,70,1,1850.0
5:10.0, ,70-72,J. Ivey makes free throw 1 of 2,,3,72,70,2,1850.0
5:10.0, ,70-73,J. Ivey makes free throw 2 of 2,,3,73,70,3,1850.0
4:56.0,I. Quickley makes 3-pt jump shot from 26 ft (assist by K. Olynyk),73-73, ,Tie,3,73,73,0,1864.0
4:45.0, ,73-73,Shooting foul by J. Nwora (drawn by J. Duren),,3,73,73,0,1875.0
