Time,Memphis,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:21.0, ,24-26,Offensive rebound by Team,,1,26,24,2,579.0
2:21.0,J. Jackson enters the game for D. Bane,24-26, ,,1,26,24,2,579.0
2:21.0,J. Konchar enters the game for B. Biyombo,24-26, ,,1,26,24,2,579.0
2:15.0, ,24-26,A. Burks misses 3-pt jump shot from 25 ft,,1,26,24,2,585.0
2:15.0,Defensive rebound by Team,24-26, ,,1,26,24,2,585.0
2:15.0, ,24-26,Loose ball foul by J. Wiseman (drawn by J. Jackson),,1,26,24,2,585.0
2:03.0,J. Jackson makes 2-pt jump shot from 6 ft (assist by J. Nowell),26-26, ,Tie,1,26,26,0,597.0
2:03.0,Shooting foul by M. Sasser (drawn by J. Jackson),26-26, ,,1,26,26,0,597.0
2:03.0,J. Jackson makes free throw 1 of 1,27-26, ,Lead change,1,26,27,-1,597.0
1:51.0, ,27-26,I. Livers misses 3-pt jump shot from 25 ft,,1,26,27,-1,609.0
1:47.0, ,27-26,Offensive rebound by A. Thompson,,1,26,27,-1,613.0
1:38.0, ,27-26,Turnover by A. Burks (bad pass; steal by S. Aldama),,1,26,27,-1,622.0
1:30.0,Turnover by S. Aldama (bad pass),27-26, ,,1,26,27,-1,630.0
1:22.0, ,27-26,M. Sasser misses 2-pt jump shot from 20 ft,,1,26,27,-1,638.0
1:18.0, ,27-26,Offensive rebound by A. Thompson,,1,26,27,-1,642.0
1:17.0, ,27-26,A. Thompson misses 2-pt dunk from 1 ft,,1,26,27,-1,643.0
1:14.0,Defensive rebound by V. Williams,27-26, ,,1,26,27,-1,646.0
1:08.0,J. Jackson makes 2-pt jump shot from 8 ft,29-26, ,,1,26,29,-3,652.0
0:50.0, ,29-29,A. Thompson makes 3-pt jump shot from 23 ft (assist by A. Burks),Tie,1,29,29,0,670.0
0:31.0,J. Jackson misses 3-pt jump shot from 29 ft,29-29, ,,1,29,29,0,689.0
0:28.0, ,29-29,Defensive rebound by M. Sasser,,1,29,29,0,692.0
0:11.0, ,29-29,M. Sasser misses 2-pt jump shot from 11 ft,,1,29,29,0,709.0
0:08.0,Defensive rebound by J. Konchar,29-29, ,,1,29,29,0,712.0
0:02.0,J. Jackson misses 2-pt hook shot from 6 ft,29-29, ,,1,29,29,0,718.0
0:01.0,Offensive rebound by J. Konchar,29-29, ,,1,29,29,0,719.0
0:00.0,J. Konchar makes 2-pt layup at rim,31-29, ,,1,29,31,-2,720.0
0:00.0,End of 1st quarter,31-29,,,1,29,31,-2,720.0
12:00.0,Start of 2nd quarter,31-29,,,2,29,31,-2,720.0
11:46.0, ,31-29,Turnover by K. Hayes (bad pass; steal by D. Rose),,2,29,31,-2,734.0
11:42.0,Shooting foul by K. Hayes (drawn by J. Konchar),31-29, ,,2,29,31,-2,738.0
11:42.0,J. Konchar misses free throw 1 of 2,31-29, ,,2,29,31,-2,738.0
11:42.0,Offensive rebound by Team,31-29, ,,2,29,31,-2,738.0
11:42.0,J. Konchar makes free throw 2 of 2,32-29, ,,2,29,32,-3,738.0
11:30.0, ,32-31,K. Hayes makes 2-pt jump shot from 8 ft,,2,31,32,-1,750.0
11:19.0,Turnover by D. Rose (bad pass; steal by J. Ivey),32-31, ,,2,31,32,-1,761.0
11:12.0, ,32-31,I. Stewart misses 3-pt jump shot from 25 ft,,2,31,32,-1,768.0
11:06.0,Defensive rebound by D. Rose,32-31, ,,2,31,32,-1,774.0
11:00.0,J. Konchar makes 3-pt jump shot from 24 ft (assist by X. Tillman),35-31, ,,2,31,35,-4,780.0
10:36.0, ,35-31,J. Ivey misses 2-pt layup from 2 ft,,2,31,35,-4,804.0
10:35.0,Defensive rebound by J. Konchar,35-31, ,,2,31,35,-4,805.0
10:26.0,D. Rose misses 2-pt jump shot from 11 ft,35-31, ,,2,31,35,-4,814.0
10:24.0,Offensive rebound by X. Tillman,35-31, ,,2,31,35,-4,816.0
10:22.0,X. Tillman makes 2-pt hook shot from 5 ft,37-31, ,,2,31,37,-6,818.0
10:08.0, ,37-31,Personal foul by J. Jackson (drawn by A. Thompson),,2,31,37,-6,832.0
10:02.0, ,37-31,Offensive foul by K. Hayes (drawn by D. Rose),,2,31,37,-6,838.0
10:02.0, ,37-31,Turnover by K. Hayes (offensive foul),,2,31,37,-6,838.0
9:52.0,Shooting foul by I. Stewart (drawn by J. Jackson),37-31, ,,2,31,37,-6,848.0
9:52.0,J. Jackson makes free throw 1 of 2,38-31, ,,2,31,38,-7,848.0
9:52.0,J. Jackson misses free throw 2 of 2,38-31, ,,2,31,38,-7,848.0
9:49.0, ,38-31,Defensive rebound by I. Stewart,,2,31,38,-7,851.0
9:38.0, ,38-33,I. Stewart makes 2-pt dunk from 1 ft (assist by J. Ivey),,2,33,38,-5,862.0
9:15.0,D. Rose misses 2-pt jump shot from 7 ft,38-33, ,,2,33,38,-5,885.0
9:11.0, ,38-33,Defensive rebound by I. Livers,,2,33,38,-5,889.0
8:59.0, ,38-35,K. Hayes makes 2-pt jump shot from 8 ft (assist by I. Livers),,2,35,38,-3,901.0
8:37.0,Turnover by D. Rose (bad pass; steal by K. Hayes),38-35, ,,2,35,38,-3,923.0
8:33.0, ,38-37,A. Thompson makes 2-pt dunk from 1 ft (assist by J. Ivey),,2,37,38,-1,927.0
8:33.0,Memphis full timeout,38-37, ,,2,37,38,-1,927.0
8:14.0,D. Rose makes 2-pt layup from 2 ft,40-37, ,,2,37,40,-3,946.0
7:56.0, ,40-37,A. Thompson misses 3-pt jump shot from 25 ft,,2,37,40,-3,964.0
7:49.0, ,40-37,Offensive rebound by K. Hayes,,2,37,40,-3,971.0
7:48.0, ,40-37,Turnover by K. Hayes (lost ball; steal by D. Rose),,2,37,40,-3,972.0
7:43.0,X. Tillman misses 2-pt dunk from 1 ft,40-37, ,,2,37,40,-3,977.0
7:41.0, ,40-37,Defensive rebound by I. Stewart,,2,37,40,-3,979.0
7:38.0, ,40-37,K. Hayes misses 3-pt jump shot from 25 ft,,2,37,40,-3,982.0
7:34.0,Defensive rebound by J. Jackson,40-37, ,,2,37,40,-3,986.0
7:29.0,Offensive foul by D. Rose (drawn by A. Thompson),40-37, ,,2,37,40,-3,991.0
7:29.0,Turnover by D. Rose (offensive foul),40-37, ,,2,37,40,-3,991.0
7:29.0,D. Bane enters the game for D. Rose,40-37, ,,2,37,40,-3,991.0
7:29.0,J. Nowell enters the game for V. Williams,40-37, ,,2,37,40,-3,991.0
7:29.0, ,40-37,C. Cunningham enters the game for K. Hayes,,2,37,40,-3,991.0
7:29.0, ,40-37,J. Duren enters the game for I. Livers,,2,37,40,-3,991.0
7:17.0, ,40-37,Turnover by J. Ivey (lost ball; steal by J. Nowell),,2,37,40,-3,1003.0
7:13.0,J. Konchar misses 2-pt layup from 2 ft,40-37, ,,2,37,40,-3,1007.0
7:11.0, ,40-37,Defensive rebound by J. Duren,,2,37,40,-3,1009.0
7:05.0, ,40-37,J. Duren misses 2-pt layup from 4 ft (block by J. Jackson),,2,37,40,-3,1015.0
7:01.0,Defensive rebound by D. Bane,40-37, ,,2,37,40,-3,1019.0
6:53.0,X. Tillman misses 2-pt jump shot from 8 ft,40-37, ,,2,37,40,-3,1027.0
6:50.0, ,40-37,Defensive rebound by A. Thompson,,2,37,40,-3,1030.0
6:36.0, ,40-37,C. Cunningham misses 2-pt layup from 4 ft (block by J. Konchar),,2,37,40,-3,1044.0
6:35.0, ,40-37,Offensive rebound by Team,,2,37,40,-3,1045.0
6:35.0,S. Aldama enters the game for J. Jackson,40-37, ,,2,37,40,-3,1045.0
6:35.0,D. Roddy enters the game for J. Konchar,40-37, ,,2,37,40,-3,1045.0
6:35.0, ,40-37,B. Bogdanović enters the game for I. Stewart,,2,37,40,-3,1045.0
6:35.0, ,40-37,A. Burks enters the game for A. Thompson,,2,37,40,-3,1045.0
6:28.0, ,40-37,Turnover by Team (shot clock),,2,37,40,-3,1052.0
6:14.0,X. Tillman misses 2-pt layup from 2 ft,40-37, ,,2,37,40,-3,1066.0
6:12.0, ,40-37,Defensive rebound by B. Bogdanović,,2,37,40,-3,1068.0
6:08.0, ,40-39,J. Ivey makes 2-pt layup from 1 ft (assist by B. Bogdanović),,2,39,40,-1,1072.0
5:52.0,D. Bane misses 2-pt hook shot from 7 ft,40-39, ,,2,39,40,-1,1088.0
5:50.0, ,40-39,Defensive rebound by J. Ivey,,2,39,40,-1,1090.0
5:48.0, ,40-39,Turnover by B. Bogdanović (bad pass),,2,39,40,-1,1092.0
5:48.0,B. Biyombo enters the game for X. Tillman,40-39, ,,2,39,40,-1,1092.0
5:32.0,J. Nowell misses 3-pt jump shot from 25 ft,40-39, ,,2,39,40,-1,1108.0
5:30.0, ,40-39,Defensive rebound by A. Burks,,2,39,40,-1,1110.0
5:21.0, ,40-42,C. Cunningham makes 3-pt jump shot from 27 ft (assist by A. Burks),Lead change,2,42,40,2,1119.0
5:10.0,D. Bane makes 2-pt jump shot from 17 ft,42-42, ,Tie,2,42,42,0,1130.0
5:00.0, ,42-42,B. Bogdanović misses 3-pt jump shot from 25 ft,,2,42,42,0,1140.0
4:56.0,Defensive rebound by D. Roddy,42-42, ,,2,42,42,0,1144.0
4:47.0,B. Biyombo misses 2-pt hook shot from 4 ft,42-42, ,,2,42,42,0,1153.0
4:45.0, ,42-42,Defensive rebound by B. Bogdanović,,2,42,42,0,1155.0
4:39.0, ,42-44,B. Bogdanović makes 2-pt layup from 3 ft,,2,44,42,2,1161.0
4:20.0,Turnover by D. Bane (traveling),42-44, ,,2,44,42,2,1180.0
4:08.0, ,42-44,B. Bogdanović misses 3-pt jump shot from 24 ft,,2,44,42,2,1192.0
4:05.0,Defensive rebound by D. Roddy,42-44, ,,2,44,42,2,1195.0
3:58.0,Turnover by D. Roddy (lost ball; steal by J. Ivey),42-44, ,,2,44,42,2,1202.0
3:54.0, ,42-46,J. Ivey makes 2-pt layup from 1 ft,,2,46,42,4,1206.0
3:36.0,D. Bane misses 2-pt hook shot from 6 ft,42-46, ,,2,46,42,4,1224.0
3:34.0,Offensive rebound by D. Bane,42-46, ,,2,46,42,4,1226.0
3:30.0,D. Bane misses 2-pt layup from 7 ft (block by J. Ivey),42-46, ,,2,46,42,4,1230.0
3:27.0, ,42-46,Defensive rebound by J. Ivey,,2,46,42,4,1233.0
3:25.0, ,42-48,J. Duren makes 2-pt dunk from 1 ft (assist by C. Cunningham),,2,48,42,6,1235.0
3:25.0,Memphis full timeout,42-48, ,,2,48,42,6,1235.0
3:25.0,J. Jackson enters the game for B. Biyombo,42-48, ,,2,48,42,6,1235.0
3:25.0,V. Williams enters the game for D. Roddy,42-48, ,,2,48,42,6,1235.0
3:14.0,J. Jackson makes 2-pt hook shot from 7 ft (assist by D. Bane),44-48, ,,2,48,44,4,1246.0
2:54.0, ,44-51,J. Ivey makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),,2,51,44,7,1266.0
2:39.0,S. Aldama misses 2-pt layup from 1 ft,44-51, ,,2,51,44,7,1281.0
2:38.0,Offensive rebound by S. Aldama,44-51, ,,2,51,44,7,1282.0
2:38.0,S. Aldama misses 2-pt layup at rim,44-51, ,,2,51,44,7,1282.0
2:37.0,Offensive rebound by S. Aldama,44-51, ,,2,51,44,7,1283.0
2:37.0,S. Aldama misses 2-pt layup from 4 ft,44-51, ,,2,51,44,7,1283.0
2:36.0, ,44-51,Defensive rebound by A. Burks,,2,51,44,7,1284.0
2:31.0, ,44-51,Offensive foul by J. Duren (drawn by J. Jackson),,2,51,44,7,1289.0
2:31.0, ,44-51,Turnover by J. Duren (offensive foul),,2,51,44,7,1289.0
2:19.0,Shooting foul by A. Burks (drawn by D. Bane),44-51, ,,2,51,44,7,1301.0
2:19.0,D. Bane makes free throw 1 of 2,45-51, ,,2,51,45,6,1301.0
2:19.0,J. Konchar enters the game for S. Aldama,45-51, ,,2,51,45,6,1301.0
2:19.0,D. Bane makes free throw 2 of 2,46-51, ,,2,51,46,5,1301.0
2:00.0, ,46-51,A. Burks misses 3-pt jump shot from 23 ft,,2,51,46,5,1320.0
1:57.0,Defensive rebound by V. Williams,46-51, ,,2,51,46,5,1323.0
1:43.0,J. Nowell makes 2-pt jump shot from 10 ft (assist by D. Bane),48-51, ,,2,51,48,3,1337.0
1:26.0, ,48-51,Turnover by C. Cunningham (bad pass; steal by D. Bane),,2,51,48,3,1354.0
1:22.0,D. Bane makes 2-pt layup from 2 ft,50-51, ,,2,51,50,1,1358.0
1:06.0, ,50-51,Turnover by C. Cunningham (bad pass; steal by J. Konchar),,2,51,50,1,1374.0
0:51.0,J. Jackson makes 2-pt hook shot from 9 ft (assist by D. Bane),52-51, ,Lead change,2,51,52,-1,1389.0
0:40.0, ,52-53,J. Ivey makes 2-pt layup from 1 ft (assist by B. Bogdanović),Lead change,2,53,52,1,1400.0
0:29.0,D. Bane misses 2-pt layup from 4 ft,52-53, ,,2,53,52,1,1411.0
0:27.0, ,52-53,Defensive rebound by J. Duren,,2,53,52,1,1413.0
0:08.0, ,52-56,B. Bogdanović makes 3-pt jump shot from 25 ft,,2,56,52,4,1432.0
0:01.0,J. Jackson misses 3-pt jump shot from 25 ft,52-56, ,,2,56,52,4,1439.0
0:01.0, ,52-56,Defensive rebound by B. Bogdanović,,2,56,52,4,1439.0
0:00.0,End of 2nd quarter,52-56,,,2,56,52,4,1440.0
12:00.0,Start of 3rd quarter,52-56,,,3,56,52,4,1440.0
11:44.0, ,52-56,K. Hayes misses 2-pt jump shot from 7 ft,,3,56,52,4,1456.0
11:41.0,Defensive rebound by D. Roddy,52-56, ,,3,56,52,4,1459.0
11:37.0,D. Rose misses 2-pt layup from 2 ft (block by J. Duren),52-56, ,,3,56,52,4,1463.0
11:32.0,Offensive rebound by D. Roddy,52-56, ,,3,56,52,4,1468.0
11:28.0,J. Jackson misses 3-pt jump shot from 23 ft,52-56, ,,3,56,52,4,1472.0
11:26.0, ,52-56,Defensive rebound by C. Cunningham,,3,56,52,4,1474.0
11:12.0, ,52-56,J. Duren misses 2-pt layup from 3 ft (block by B. Biyombo),,3,56,52,4,1488.0
11:08.0,Defensive rebound by B. Biyombo,52-56, ,,3,56,52,4,1492.0
11:00.0,D. Bane makes 2-pt layup from 1 ft,54-56, ,,3,56,54,2,1500.0
10:47.0, ,54-56,Def 3 sec tech foul by Team,,3,56,54,2,1513.0
10:47.0, ,54-57,C. Cunningham makes technical free throw,,3,57,54,3,1513.0
10:42.0, ,54-57,C. Cunningham misses 3-pt jump shot from 26 ft,,3,57,54,3,1518.0
10:41.0,Defensive rebound by J. Jackson,54-57, ,,3,57,54,3,1519.0
10:30.0,D. Bane makes 2-pt layup from 3 ft (assist by B. Biyombo),56-57, ,,3,57,56,1,1530.0
10:19.0, ,56-59,J. Duren makes 2-pt layup from 3 ft (assist by K. Hayes),,3,59,56,3,1541.0
10:19.0,Violation by Team (def goaltending),56-59, ,,3,59,56,3,1541.0
9:59.0,D. Bane misses 2-pt jump shot from 8 ft (block by C. Cunningham),56-59, ,,3,59,56,3,1561.0
9:58.0, ,56-59,Defensive rebound by C. Cunningham,,3,59,56,3,1562.0
9:57.0, ,56-59,C. Cunningham misses 2-pt layup from 5 ft (block by J. Jackson),,3,59,56,3,1563.0
9:56.0, ,56-59,Offensive rebound by Team,,3,59,56,3,1564.0
9:52.0, ,56-61,J. Duren makes 2-pt layup from 2 ft (assist by C. Cunningham),,3,61,56,5,1568.0
9:52.0, ,56-61,Shooting foul by B. Biyombo (drawn by J. Duren),,3,61,56,5,1568.0
9:52.0, ,56-62,J. Duren makes free throw 1 of 1,,3,62,56,6,1568.0
9:41.0,J. Jackson makes 2-pt jump shot from 7 ft (assist by D. Rose),58-62, ,,3,62,58,4,1579.0
9:27.0, ,58-64,J. Duren makes 2-pt dunk from 3 ft (assist by C. Cunningham),,3,64,58,6,1593.0
9:07.0,Turnover by D. Roddy (bad pass; steal by B. Bogdanović),58-64, ,,3,64,58,6,1613.0
9:02.0, ,58-64,I. Stewart misses 2-pt dunk from 1 ft (block by J. Jackson),,3,64,58,6,1618.0
8:58.0,Defensive rebound by B. Biyombo,58-64, ,,3,64,58,6,1622.0
8:55.0,D. Rose makes 2-pt layup from 1 ft (assist by D. Bane),60-64, ,,3,64,60,4,1625.0
8:40.0, ,60-64,Turnover by C. Cunningham (bad pass; steal by D. Roddy),,3,64,60,4,1640.0
8:37.0,Shooting foul by C. Cunningham (drawn by D. Roddy),60-64, ,,3,64,60,4,1643.0
8:37.0,D. Roddy makes free throw 1 of 2,61-64, ,,3,64,61,3,1643.0
8:37.0,D. Roddy misses free throw 2 of 2,61-64, ,,3,64,61,3,1643.0
8:34.0, ,61-64,Defensive rebound by J. Duren,,3,64,61,3,1646.0
8:16.0, ,61-64,J. Duren misses 2-pt jump shot from 9 ft,,3,64,61,3,1664.0
8:13.0,Defensive rebound by B. Biyombo,61-64, ,,3,64,61,3,1667.0
8:07.0,D. Rose misses 3-pt jump shot from 23 ft,61-64, ,,3,64,61,3,1673.0
8:04.0, ,61-64,Defensive rebound by B. Bogdanović,,3,64,61,3,1676.0
7:46.0, ,61-66,B. Bogdanović makes 2-pt jump shot from 14 ft,,3,66,61,5,1694.0
7:34.0,D. Roddy misses 3-pt jump shot from 22 ft,61-66, ,,3,66,61,5,1706.0
7:31.0, ,61-66,Defensive rebound by J. Duren,,3,66,61,5,1709.0
7:28.0, ,61-69,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by K. Hayes),,3,69,61,8,1712.0
7:27.0,Memphis full timeout,61-69, ,,3,69,61,8,1713.0
7:05.0,D. Bane makes 3-pt jump shot from 25 ft,64-69, ,,3,69,64,5,1735.0
6:42.0, ,64-69,C. Cunningham misses 2-pt jump shot from 5 ft,,3,69,64,5,1758.0
6:40.0,Defensive rebound by B. Biyombo,64-69, ,,3,69,64,5,1760.0
6:36.0,D. Bane makes 2-pt layup from 1 ft,66-69, ,,3,69,66,3,1764.0
6:21.0, ,66-69,K. Hayes misses 2-pt jump shot from 12 ft,,3,69,66,3,1779.0
6:18.0,Defensive rebound by B. Biyombo,66-69, ,,3,69,66,3,1782.0
6:14.0,D. Bane makes 2-pt layup from 1 ft,68-69, ,,3,69,68,1,1786.0
6:14.0, ,68-69,Detroit full timeout,,3,69,68,1,1786.0
6:14.0,J. Nowell enters the game for D. Roddy,68-69, ,,3,69,68,1,1786.0
6:14.0,V. Williams enters the game for D. Rose,68-69, ,,3,69,68,1,1786.0
5:58.0, ,68-69,C. Cunningham misses 2-pt jump shot from 16 ft,,3,69,68,1,1802.0
5:57.0,Defensive rebound by D. Bane,68-69, ,,3,69,68,1,1803.0
5:49.0,J. Jackson misses 2-pt hook shot from 4 ft,68-69, ,,3,69,68,1,1811.0
5:46.0, ,68-69,Defensive rebound by I. Stewart,,3,69,68,1,1814.0
5:37.0, ,68-71,J. Duren makes 2-pt dunk from 1 ft (assist by C. Cunningham),,3,71,68,3,1823.0
5:18.0,J. Jackson misses 3-pt jump shot from 23 ft,68-71, ,,3,71,68,3,1842.0
5:15.0, ,68-71,Defensive rebound by C. Cunningham,,3,71,68,3,1845.0
5:09.0, ,68-71,I. Stewart misses 2-pt layup from 1 ft,,3,71,68,3,1851.0
5:04.0,Defensive rebound by J. Jackson,68-71, ,,3,71,68,3,1856.0
5:00.0,Offensive foul by B. Biyombo (drawn by K. Hayes),68-71, ,,3,71,68,3,1860.0
5:00.0,Turnover by B. Biyombo (offensive foul),68-71, ,,3,71,68,3,1860.0
5:00.0,S. Aldama enters the game for J. Jackson,68-71, ,,3,71,68,3,1860.0
5:00.0, ,68-71,J. Ivey enters the game for J. Duren,,3,71,68,3,1860.0
5:00.0, ,68-71,I. Livers enters the game for K. Hayes,,3,71,68,3,1860.0
4:46.0, ,68-71,Offensive foul by I. Stewart (drawn by V. Williams),,3,71,68,3,1874.0
4:46.0, ,68-71,Turnover by I. Stewart (offensive foul),,3,71,68,3,1874.0
4:32.0,D. Bane makes 2-pt layup from 3 ft (assist by B. Biyombo),70-71, ,,3,71,70,1,1888.0
4:32.0,Shooting foul by I. Livers (drawn by D. Bane),70-71, ,,3,71,70,1,1888.0
4:32.0,D. Bane makes free throw 1 of 1,71-71, ,Tie,3,71,71,0,1888.0
4:14.0, ,71-73,C. Cunningham makes 2-pt jump shot from 6 ft (assist by I. Stewart),,3,73,71,2,1906.0
3:53.0,J. Nowell makes 2-pt jump shot from 17 ft (assist by S. Aldama),73-73, ,Tie,3,73,73,0,1927.0
3:37.0, ,73-75,C. Cunningham makes 2-pt layup from 2 ft,,3,75,73,2,1943.0
3:14.0,D. Bane makes 3-pt jump shot from 24 ft (assist by J. Nowell),76-75, ,Lead change,3,75,76,-1,1966.0
3:00.0, ,76-75,B. Bogdanović misses 2-pt layup from 1 ft,,3,75,76,-1,1980.0
2:57.0,Defensive rebound by D. Bane,76-75, ,,3,75,76,-1,1983.0
