Time,Detroit,Score,Golden State,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Start of 3rd quarter,46-50,,,3,46,50,-4,1440.0
11:42.0,J. Duren makes 2-pt dunk from 2 ft (assist by J. Ivey),48-50, ,,3,48,50,-2,1458.0
11:20.0, ,48-53,K. Thompson makes 3-pt jump shot from 26 ft (assist by C. Paul),,3,48,53,-5,1480.0
11:06.0,C. Cunningham makes 2-pt dunk from 3 ft,50-53, ,,3,50,53,-3,1494.0
10:48.0, ,50-53,Offensive foul by J. Kuminga (drawn by C. Cunningham),,3,50,53,-3,1512.0
10:48.0, ,50-53,Turnover by J. Kuminga (offensive foul),,3,50,53,-3,1512.0
10:29.0,C. Cunningham makes 2-pt layup from 4 ft,52-53, ,,3,52,53,-1,1531.0
10:22.0, ,52-53,Personal foul by I. Livers (drawn by J. Kuminga),,3,52,53,-1,1538.0
10:15.0, ,52-56,C. Paul makes 3-pt jump shot from 28 ft (assist by S. Curry),,3,52,56,-4,1545.0
9:57.0,J. Ivey misses 2-pt layup from 5 ft (block by K. Thompson),52-56, ,,3,52,56,-4,1563.0
9:55.0, ,52-56,Defensive rebound by S. Curry,,3,52,56,-4,1565.0
9:50.0, ,52-58,S. Curry makes 2-pt layup from 5 ft,,3,52,58,-6,1570.0
9:29.0,J. Ivey misses 3-pt jump shot from 23 ft,52-58, ,,3,52,58,-6,1591.0
9:25.0, ,52-58,Defensive rebound by K. Looney,,3,52,58,-6,1595.0
9:12.0, ,52-58,Turnover by J. Kuminga (bad pass; steal by B. Bogdanović),,3,52,58,-6,1608.0
9:05.0,J. Ivey makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),55-58, ,,3,55,58,-3,1615.0
8:38.0, ,55-60,K. Thompson makes 2-pt jump shot from 16 ft,,3,55,60,-5,1642.0
8:25.0,Turnover by C. Cunningham (lost ball; steal by K. Thompson),55-60, ,,3,55,60,-5,1655.0
8:16.0, ,55-60,K. Thompson misses 3-pt jump shot from 26 ft,,3,55,60,-5,1664.0
