Time,Chicago,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:17.0,Offensive rebound by N. Vučević,59-53, ,,2,53,59,-6,1303.0
2:13.0,Personal foul by E. Fournier (drawn by D. DeRozan),59-53, ,,2,53,59,-6,1307.0
2:06.0,Turnover by A. Caruso (bad pass; steal by M. Sasser),59-53, ,,2,53,59,-6,1314.0
2:00.0, ,59-55,M. Sasser makes 2-pt layup from 3 ft,,2,55,59,-4,1320.0
1:42.0,Shooting foul by J. Duren (drawn by J. Green),59-55, ,,2,55,59,-4,1338.0
1:42.0, ,59-55,Detroit full timeout,,2,55,59,-4,1338.0
1:42.0, ,59-55,Instant Replay (Challenge: Stands),,2,55,59,-4,1338.0
1:42.0,J. Green misses free throw 1 of 2,59-55, ,,2,55,59,-4,1338.0
1:42.0,Offensive rebound by Team,59-55, ,,2,55,59,-4,1338.0
1:42.0,J. Green makes free throw 2 of 2,60-55, ,,2,55,60,-5,1338.0
1:15.0, ,60-55,E. Fournier misses 3-pt jump shot from 27 ft,,2,55,60,-5,1365.0
1:12.0,Defensive rebound by J. Green,60-55, ,,2,55,60,-5,1368.0
1:01.0,N. Vučević makes 2-pt jump shot from 18 ft (assist by D. DeRozan),62-55, ,,2,55,62,-7,1379.0
0:45.0, ,62-55,J. Ivey misses 3-pt jump shot from 27 ft,,2,55,62,-7,1395.0
0:42.0,Defensive rebound by A. Caruso,62-55, ,,2,55,62,-7,1398.0
0:32.0,C. White makes 2-pt layup from 5 ft (assist by N. Vučević),64-55, ,,2,55,64,-9,1408.0
0:07.0, ,64-55,M. Sasser misses 3-pt jump shot from 30 ft,,2,55,64,-9,1433.0
0:07.0,Defensive rebound by Team,64-55, ,,2,55,64,-9,1433.0
0:07.0,Turnover by A. Caruso (bad pass),64-55, ,,2,55,64,-9,1433.0
0:02.0, ,64-55,Personal foul by C. White (drawn by J. Ivey),,2,55,64,-9,1438.0
0:02.0,D. Terry enters the game for C. White,64-55, ,,2,55,64,-9,1438.0
0:00.0, ,64-55,J. Ivey misses 3-pt jump shot from 28 ft,,2,55,64,-9,1440.0
0:00.0, ,64-55,Offensive rebound by Team,,2,55,64,-9,1440.0
0:00.0,End of 2nd quarter,64-55,,,2,55,64,-9,1440.0
12:00.0,Start of 3rd quarter,64-55,,,3,55,64,-9,1440.0
11:40.0, ,64-55,Turnover by J. Ivey (bad pass; steal by D. DeRozan),,3,55,64,-9,1460.0
11:36.0,J. Green makes 2-pt layup from 3 ft (assist by D. DeRozan),66-55, ,,3,55,66,-11,1464.0
