Time,Detroit,Score,Milwaukee,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:50.0, ,11-12,G. Antetokounmpo makes free throw 1 of 2,Lead change,1,11,12,-1,310.0
6:50.0, ,11-12,G. Antetokounmpo misses free throw 2 of 2,,1,11,12,-1,310.0
6:45.0,Defensive rebound by J. Duren,11-12, ,,1,11,12,-1,315.0
6:32.0,J. Duren makes 2-pt dunk from 2 ft (assist by K. Hayes),13-12, ,Lead change,1,13,12,1,328.0
6:02.0, ,13-12,G. Antetokounmpo misses 3-pt jump shot from 27 ft,,1,13,12,1,358.0
5:58.0,Defensive rebound by K. Hayes,13-12, ,,1,13,12,1,362.0
5:55.0,K. Hayes misses 2-pt layup from 2 ft (block by G. Antetokounmpo),13-12, ,,1,13,12,1,365.0
5:55.0, ,13-12,Defensive rebound by D. Lillard,,1,13,12,1,365.0
5:47.0, ,13-12,G. Antetokounmpo misses 2-pt layup from 5 ft,,1,13,12,1,373.0
5:47.0, ,13-12,Offensive rebound by Team,,1,13,12,1,373.0
5:47.0, ,13-12,Turnover by G. Antetokounmpo (traveling),,1,13,12,1,373.0
5:47.0,M. Sasser enters the game for K. Hayes,13-12, ,,1,13,12,1,373.0
5:47.0, ,13-12,B. Portis enters the game for G. Antetokounmpo,,1,13,12,1,373.0
5:27.0,Personal foul by B. Lopez (drawn by A. Thompson),13-12, ,,1,13,12,1,393.0
5:27.0,S. Umude enters the game for I. Stewart,13-12, ,,1,13,12,1,393.0
5:22.0,J. Duren misses 3-pt jump shot from 26 ft,13-12, ,,1,13,12,1,398.0
5:22.0, ,13-12,Defensive rebound by Team,,1,13,12,1,398.0
5:06.0, ,13-12,J. Crowder misses 3-pt jump shot from 28 ft,,1,13,12,1,414.0
5:03.0,Defensive rebound by A. Thompson,13-12, ,,1,13,12,1,417.0
4:57.0,S. Umude misses 3-pt jump shot from 23 ft,13-12, ,,1,13,12,1,423.0
4:56.0,Offensive rebound by J. Duren,13-12, ,,1,13,12,1,424.0
4:55.0,M. Sasser misses 3-pt jump shot from 26 ft,13-12, ,,1,13,12,1,425.0
4:51.0, ,13-12,Defensive rebound by Team,,1,13,12,1,429.0
4:51.0,M. Bagley enters the game for J. Duren,13-12, ,,1,13,12,1,429.0
4:51.0, ,13-12,P. Connaughton enters the game for J. Crowder,,1,13,12,1,429.0
4:45.0, ,13-12,D. Lillard misses 2-pt layup from 3 ft,,1,13,12,1,435.0
4:45.0,Defensive rebound by Team,13-12, ,,1,13,12,1,435.0
4:31.0,M. Sasser misses 2-pt jump shot from 3 ft,13-12, ,,1,13,12,1,449.0
4:24.0, ,13-12,Defensive rebound by B. Portis,,1,13,12,1,456.0
4:22.0, ,13-14,D. Lillard makes 2-pt layup from 3 ft,Lead change,1,13,14,-1,458.0
4:07.0,Turnover by S. Umude (bad pass; steal by D. Lillard),13-14, ,,1,13,14,-1,473.0
4:04.0, ,13-14,Shooting foul by C. Cunningham (drawn by M. Beauchamp),,1,13,14,-1,476.0
4:04.0, ,13-15,M. Beauchamp makes free throw 1 of 2,,1,13,15,-2,476.0
4:04.0,J. Rhoden enters the game for A. Thompson,13-15, ,,1,13,15,-2,476.0
4:04.0, ,13-15,C. Payne enters the game for D. Lillard,,1,13,15,-2,476.0
4:04.0, ,13-16,M. Beauchamp makes free throw 2 of 2,,1,13,16,-3,476.0
4:04.0,I. Stewart enters the game for S. Umude,13-16, ,,1,13,16,-3,476.0
4:04.0, ,13-16,G. Antetokounmpo enters the game for B. Lopez,,1,13,16,-3,476.0
3:50.0,C. Cunningham makes 2-pt jump shot from 11 ft (assist by J. Rhoden),15-16, ,,1,15,16,-1,490.0
3:34.0, ,15-18,P. Connaughton makes 2-pt layup from 5 ft,,1,15,18,-3,506.0
3:10.0,J. Rhoden makes 2-pt jump shot from 15 ft (assist by I. Stewart),17-18, ,,1,17,18,-1,530.0
2:55.0, ,17-18,Turnover by P. Connaughton (out of bounds lost ball),,1,17,18,-1,545.0
2:55.0,Detroit full timeout,17-18, ,,1,17,18,-1,545.0
2:55.0,K. Hayes enters the game for C. Cunningham,17-18, ,,1,17,18,-1,545.0
2:40.0,K. Hayes misses 2-pt jump shot from 11 ft,17-18, ,,1,17,18,-1,560.0
2:37.0, ,17-18,Defensive rebound by G. Antetokounmpo,,1,17,18,-1,563.0
2:20.0, ,17-21,B. Portis makes 3-pt jump shot from 28 ft (assist by C. Payne),,1,17,21,-4,580.0
2:04.0,Turnover by M. Sasser (bad pass; steal by C. Payne),17-21, ,,1,17,21,-4,596.0
1:56.0, ,17-21,M. Beauchamp misses 3-pt jump shot from 24 ft,,1,17,21,-4,604.0
1:52.0,Defensive rebound by K. Hayes,17-21, ,,1,17,21,-4,608.0
1:41.0,M. Bagley makes 2-pt jump shot from 7 ft (assist by J. Rhoden),19-21, ,,1,19,21,-2,619.0
1:26.0, ,19-21,B. Portis misses 3-pt jump shot from 29 ft,,1,19,21,-2,634.0
1:22.0,Defensive rebound by I. Stewart,19-21, ,,1,19,21,-2,638.0
1:14.0,Personal foul by M. Beauchamp (drawn by J. Rhoden),19-21, ,,1,19,21,-2,646.0
1:05.0,J. Rhoden makes 2-pt jump shot from 16 ft (assist by M. Bagley),21-21, ,Tie,1,21,21,0,655.0
0:52.0, ,21-21,G. Antetokounmpo misses 2-pt jump shot from 19 ft,,1,21,21,0,668.0
0:52.0,Defensive rebound by K. Hayes,21-21, ,,1,21,21,0,668.0
0:47.0,J. Rhoden misses 3-pt jump shot from 25 ft,21-21, ,,1,21,21,0,673.0
0:43.0, ,21-21,Defensive rebound by M. Beauchamp,,1,21,21,0,677.0
0:34.0, ,21-21,Shooting foul by M. Bagley (drawn by G. Antetokounmpo),,1,21,21,0,686.0
0:34.0, ,21-21,G. Antetokounmpo misses free throw 1 of 2,,1,21,21,0,686.0
0:34.0, ,21-21,Offensive rebound by Team,,1,21,21,0,686.0
0:34.0, ,21-22,G. Antetokounmpo makes free throw 2 of 2,,1,21,22,-1,686.0
0:18.0,Personal foul by M. Beauchamp (drawn by K. Hayes),21-22, ,,1,21,22,-1,702.0
0:18.0,K. Hayes makes free throw 1 of 2,22-22, ,Tie,1,22,22,0,702.0
0:18.0,A. Thompson enters the game for M. Sasser,22-22, ,,1,22,22,0,702.0
0:18.0,K. Hayes makes free throw 2 of 2,23-22, ,Lead change,1,23,22,1,702.0
0:06.0, ,23-24,M. Beauchamp makes 2-pt layup from 3 ft (assist by C. Payne),Lead change,1,23,24,-1,714.0
0:00.0,K. Hayes misses 3-pt jump shot from 31 ft,23-24, ,,1,23,24,-1,720.0
0:00.0, ,23-24,Defensive rebound by Team,,1,23,24,-1,720.0
0:00.0,End of 1st quarter,23-24,,,1,23,24,-1,720.0
12:00.0,Start of 2nd quarter,23-24,,,2,23,24,-1,720.0
11:49.0, ,23-24,Shooting foul by M. Sasser (drawn by C. Payne),,2,23,24,-1,731.0
11:49.0, ,23-25,C. Payne makes free throw 1 of 2,,2,23,25,-2,731.0
11:49.0, ,23-26,C. Payne makes free throw 2 of 2,,2,23,26,-3,731.0
11:34.0,M. Bagley makes 2-pt layup at rim (assist by C. Cunningham),25-26, ,,2,25,26,-1,746.0
11:16.0, ,25-28,B. Portis makes 2-pt jump shot from 9 ft,,2,25,28,-3,764.0
11:16.0, ,25-28,Shooting foul by M. Bagley (drawn by B. Portis),,2,25,28,-3,764.0
11:16.0, ,25-29,B. Portis makes free throw 1 of 1,,2,25,29,-4,764.0
10:54.0,C. Cunningham misses 2-pt jump shot from 16 ft,25-29, ,,2,25,29,-4,786.0
10:51.0, ,25-29,Defensive rebound by G. Antetokounmpo,,2,25,29,-4,789.0
10:47.0, ,25-29,B. Portis misses 3-pt jump shot from 27 ft,,2,25,29,-4,793.0
10:44.0, ,25-29,Offensive rebound by B. Portis,,2,25,29,-4,796.0
10:43.0, ,25-29,B. Portis misses 2-pt jump shot from 14 ft,,2,25,29,-4,797.0
10:39.0, ,25-29,Offensive rebound by B. Portis,,2,25,29,-4,801.0
10:37.0, ,25-31,B. Portis makes 2-pt jump shot from 11 ft,,2,25,31,-6,803.0
10:25.0,K. Hayes misses 3-pt jump shot from 26 ft,25-31, ,,2,25,31,-6,815.0
10:21.0, ,25-31,Defensive rebound by G. Antetokounmpo,,2,25,31,-6,819.0
10:14.0, ,25-33,G. Antetokounmpo makes 2-pt layup from 6 ft (assist by C. Payne),,2,25,33,-8,826.0
9:54.0,K. Hayes makes 2-pt jump shot from 15 ft,27-33, ,,2,27,33,-6,846.0
9:39.0, ,27-35,B. Portis makes 2-pt hook shot from 8 ft,,2,27,35,-8,861.0
9:26.0,C. Cunningham misses 2-pt jump shot from 3 ft,27-35, ,,2,27,35,-8,874.0
9:26.0, ,27-35,Defensive rebound by Team,,2,27,35,-8,874.0
9:26.0,Loose ball foul by M. Bagley (drawn by M. Beasley),27-35, ,,2,27,35,-8,874.0
9:26.0,J. Duren enters the game for M. Bagley,27-35, ,,2,27,35,-8,874.0
9:26.0,A. Thompson enters the game for M. Sasser,27-35, ,,2,27,35,-8,874.0
9:26.0, ,27-35,J. Crowder enters the game for G. Antetokounmpo,,2,27,35,-8,874.0
9:16.0, ,27-37,B. Portis makes 2-pt jump shot from 22 ft,,2,27,37,-10,884.0
9:16.0,Loose ball foul by I. Stewart (drawn by J. Crowder),27-37, ,,2,27,37,-10,884.0
9:16.0, ,27-37,Technical foul by J. Crowder,,2,27,37,-10,884.0
9:16.0,Technical foul by I. Stewart,27-37, ,,2,27,37,-10,884.0
9:16.0,S. Umude enters the game for I. Stewart,27-37, ,,2,27,37,-10,884.0
9:16.0, ,27-38,J. Crowder makes free throw 1 of 1,,2,27,38,-11,884.0
8:59.0,Turnover by S. Umude (out of bounds lost ball),27-38, ,,2,27,38,-11,901.0
8:46.0, ,27-40,B. Portis makes 2-pt jump shot from 14 ft,,2,27,40,-13,914.0
8:46.0,Detroit full timeout,27-40, ,,2,27,40,-13,914.0
8:27.0,C. Cunningham misses 2-pt jump shot from 14 ft,27-40, ,,2,27,40,-13,933.0
8:22.0, ,27-40,Defensive rebound by C. Payne,,2,27,40,-13,938.0
8:17.0, ,27-40,Shooting foul by J. Duren (drawn by B. Portis),,2,27,40,-13,943.0
8:17.0, ,27-41,B. Portis makes free throw 1 of 2,,2,27,41,-14,943.0
8:17.0,M. Sasser enters the game for S. Umude,27-41, ,,2,27,41,-14,943.0
8:17.0, ,27-42,B. Portis makes free throw 2 of 2,,2,27,42,-15,943.0
8:05.0,M. Sasser makes 2-pt jump shot from 20 ft (assist by K. Hayes),29-42, ,,2,29,42,-13,955.0
7:51.0, ,29-42,B. Portis misses 3-pt jump shot from 26 ft,,2,29,42,-13,969.0
7:47.0,Defensive rebound by A. Thompson,29-42, ,,2,29,42,-13,973.0
7:40.0,Personal foul by C. Payne (drawn by C. Cunningham),29-42, ,,2,29,42,-13,980.0
7:40.0, ,29-42,M. Beauchamp enters the game for P. Connaughton,,2,29,42,-13,980.0
7:40.0, ,29-42,D. Lillard enters the game for C. Payne,,2,29,42,-13,980.0
7:40.0, ,29-42,B. Lopez enters the game for B. Portis,,2,29,42,-13,980.0
7:35.0,M. Sasser makes 2-pt jump shot from 16 ft (assist by J. Duren),31-42, ,,2,31,42,-11,985.0
7:27.0, ,31-42,Offensive foul by B. Lopez (drawn by A. Thompson),,2,31,42,-11,993.0
7:27.0, ,31-42,Turnover by B. Lopez (offensive foul),,2,31,42,-11,993.0
7:26.0,Turnover by J. Duren (back court),31-42, ,,2,31,42,-11,994.0
7:19.0, ,31-42,Shooting foul by J. Duren (drawn by D. Lillard),,2,31,42,-11,1001.0
7:19.0, ,31-43,D. Lillard makes free throw 1 of 2,,2,31,43,-12,1001.0
7:19.0, ,31-44,D. Lillard makes free throw 2 of 2,,2,31,44,-13,1001.0
7:02.0,J. Duren misses 2-pt hook shot from 10 ft,31-44, ,,2,31,44,-13,1018.0
7:00.0,Offensive rebound by A. Thompson,31-44, ,,2,31,44,-13,1020.0
7:00.0,A. Thompson misses 2-pt layup from 1 ft,31-44, ,,2,31,44,-13,1020.0
6:58.0, ,31-44,Defensive rebound by B. Lopez,,2,31,44,-13,1022.0
6:51.0, ,31-44,D. Lillard misses 2-pt jump shot from 8 ft,,2,31,44,-13,1029.0
6:47.0,Defensive rebound by J. Duren,31-44, ,,2,31,44,-13,1033.0
6:40.0,C. Cunningham makes 2-pt jump shot from 6 ft,33-44, ,,2,33,44,-11,1040.0
6:20.0, ,33-47,B. Lopez makes 3-pt jump shot from 29 ft (assist by M. Beasley),,2,33,47,-14,1060.0
6:09.0,C. Cunningham makes 2-pt jump shot from 13 ft,35-47, ,,2,35,47,-12,1071.0
6:09.0,Shooting foul by B. Lopez (drawn by C. Cunningham),35-47, ,,2,35,47,-12,1071.0
6:09.0, ,35-47,Technical foul by B. Lopez,,2,35,47,-12,1071.0
6:09.0,C. Cunningham makes technical free throw,36-47, ,,2,36,47,-11,1071.0
6:09.0,J. Rhoden enters the game for K. Hayes,36-47, ,,2,36,47,-11,1071.0
6:09.0,I. Stewart enters the game for M. Sasser,36-47, ,,2,36,47,-11,1071.0
6:09.0, ,36-47,G. Antetokounmpo enters the game for B. Lopez,,2,36,47,-11,1071.0
6:09.0,C. Cunningham makes free throw 1 of 1,37-47, ,,2,37,47,-10,1071.0
5:54.0, ,37-49,M. Beauchamp makes 2-pt jump shot from 20 ft (assist by G. Antetokounmpo),,2,37,49,-12,1086.0
5:36.0,C. Cunningham makes 2-pt layup from 4 ft,39-49, ,,2,39,49,-10,1104.0
5:20.0, ,39-49,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,2,39,49,-10,1120.0
5:19.0,Defensive rebound by Team,39-49, ,,2,39,49,-10,1121.0
5:07.0,C. Cunningham makes 3-pt jump shot from 25 ft,42-49, ,,2,42,49,-7,1133.0
4:48.0, ,42-52,J. Crowder makes 3-pt jump shot from 27 ft (assist by D. Lillard),,2,42,52,-10,1152.0
4:27.0,J. Duren misses 2-pt layup from 2 ft,42-52, ,,2,42,52,-10,1173.0
4:24.0, ,42-52,Defensive rebound by G. Antetokounmpo,,2,42,52,-10,1176.0
4:20.0, ,42-52,G. Antetokounmpo misses 2-pt layup from 6 ft (block by I. Stewart),,2,42,52,-10,1180.0
4:15.0,Defensive rebound by J. Duren,42-52, ,,2,42,52,-10,1185.0
4:14.0,Turnover by A. Thompson (bad pass; steal by J. Crowder),42-52, ,,2,42,52,-10,1186.0
4:10.0, ,42-52,Turnover by M. Beauchamp (out of bounds lost ball),,2,42,52,-10,1190.0
4:10.0, ,42-52,A. Jackson enters the game for M. Beasley,,2,42,52,-10,1190.0
3:52.0,C. Cunningham misses 2-pt jump shot from 13 ft,42-52, ,,2,42,52,-10,1208.0
3:48.0, ,42-52,Defensive rebound by J. Crowder,,2,42,52,-10,1212.0
3:47.0, ,42-52,Personal foul by C. Cunningham (drawn by D. Lillard),,2,42,52,-10,1213.0
3:47.0, ,42-52,Technical foul by G. Antetokounmpo,,2,42,52,-10,1213.0
3:47.0,C. Cunningham makes technical free throw,43-52, ,,2,43,52,-9,1213.0
3:47.0, ,43-53,D. Lillard makes free throw 1 of 2,,2,43,53,-10,1213.0
3:47.0,K. Hayes enters the game for C. Cunningham,43-53, ,,2,43,53,-10,1213.0
3:47.0, ,43-54,D. Lillard makes free throw 2 of 2,,2,43,54,-11,1213.0
3:35.0,K. Hayes makes 2-pt jump shot from 12 ft,45-54, ,,2,45,54,-9,1225.0
3:10.0, ,45-54,D. Lillard misses 3-pt jump shot from 23 ft,,2,45,54,-9,1250.0
3:07.0,Defensive rebound by A. Thompson,45-54, ,,2,45,54,-9,1253.0
3:05.0,K. Hayes makes 2-pt layup from 2 ft (assist by A. Thompson),47-54, ,,2,47,54,-7,1255.0
3:05.0, ,47-54,Milwaukee full timeout,,2,47,54,-7,1255.0
3:05.0,M. Bagley enters the game for J. Duren,47-54, ,,2,47,54,-7,1255.0
2:47.0, ,47-56,G. Antetokounmpo makes 2-pt layup from 4 ft (assist by M. Beauchamp),,2,47,56,-9,1273.0
2:26.0,Turnover by K. Hayes (bad pass; steal by A. Jackson),47-56, ,,2,47,56,-9,1294.0
2:22.0, ,47-56,Shooting foul by J. Rhoden (drawn by G. Antetokounmpo),,2,47,56,-9,1298.0
2:22.0, ,47-57,G. Antetokounmpo makes free throw 1 of 2,,2,47,57,-10,1298.0
2:22.0,C. Cunningham enters the game for J. Rhoden,47-57, ,,2,47,57,-10,1298.0
2:22.0, ,47-57,G. Antetokounmpo misses free throw 2 of 2,,2,47,57,-10,1298.0
2:18.0,Defensive rebound by I. Stewart,47-57, ,,2,47,57,-10,1302.0
2:12.0,Personal foul by A. Jackson (drawn by C. Cunningham),47-57, ,,2,47,57,-10,1308.0
2:00.0,M. Bagley makes 2-pt dunk from 1 ft (assist by C. Cunningham),49-57, ,,2,49,57,-8,1320.0
1:47.0, ,49-57,G. Antetokounmpo misses 2-pt hook shot from 12 ft,,2,49,57,-8,1333.0
1:43.0,Defensive rebound by A. Thompson,49-57, ,,2,49,57,-8,1337.0
1:23.0,I. Stewart misses 3-pt jump shot from 25 ft,49-57, ,,2,49,57,-8,1357.0
1:21.0,Offensive rebound by Team,49-57, ,,2,49,57,-8,1359.0
1:18.0,K. Hayes misses 2-pt jump shot from 15 ft,49-57, ,,2,49,57,-8,1362.0
1:15.0, ,49-57,Defensive rebound by G. Antetokounmpo,,2,49,57,-8,1365.0
1:09.0, ,49-59,D. Lillard makes 2-pt layup from 3 ft (assist by G. Antetokounmpo),,2,49,59,-10,1371.0
0:59.0,Turnover by C. Cunningham (lost ball; steal by D. Lillard),49-59, ,,2,49,59,-10,1381.0
0:58.0, ,49-61,D. Lillard makes 2-pt layup from 5 ft (assist by J. Crowder),,2,49,61,-12,1382.0
0:58.0, ,49-61,Shooting foul by I. Stewart (drawn by D. Lillard),,2,49,61,-12,1382.0
0:58.0, ,49-62,D. Lillard makes free throw 1 of 1,,2,49,62,-13,1382.0
0:51.0,C. Cunningham misses 2-pt jump shot from 8 ft,49-62, ,,2,49,62,-13,1389.0
0:50.0,Offensive rebound by Team,49-62, ,,2,49,62,-13,1390.0
0:50.0, ,49-62,Loose ball foul by J. Crowder (drawn by I. Stewart),,2,49,62,-13,1390.0
0:46.0,Personal foul by A. Jackson (drawn by M. Bagley),49-62, ,,2,49,62,-13,1394.0
0:46.0,M. Bagley makes free throw 1 of 2,50-62, ,,2,50,62,-12,1394.0
0:46.0,S. Umude enters the game for I. Stewart,50-62, ,,2,50,62,-12,1394.0
0:46.0,M. Bagley makes free throw 2 of 2,51-62, ,,2,51,62,-11,1394.0
0:31.0, ,51-62,G. Antetokounmpo misses 2-pt hook shot from 8 ft,,2,51,62,-11,1409.0
0:31.0,Defensive rebound by C. Cunningham,51-62, ,,2,51,62,-11,1409.0
0:31.0,Personal foul by A. Jackson (drawn by C. Cunningham),51-62, ,,2,51,62,-11,1409.0
0:31.0,C. Cunningham makes free throw 1 of 2,52-62, ,,2,52,62,-10,1409.0
0:31.0, ,52-62,P. Connaughton enters the game for A. Jackson,,2,52,62,-10,1409.0
0:31.0,C. Cunningham misses free throw 2 of 2,52-62, ,,2,52,62,-10,1409.0
0:26.0,Offensive rebound by C. Cunningham,52-62, ,,2,52,62,-10,1414.0
0:15.0,Turnover by C. Cunningham (traveling),52-62, ,,2,52,62,-10,1425.0
0:04.0, ,52-62,D. Lillard misses 3-pt jump shot from 29 ft,,2,52,62,-10,1436.0
0:01.0,Defensive rebound by K. Hayes,52-62, ,,2,52,62,-10,1439.0
0:00.0,End of 2nd quarter,52-62,,,2,52,62,-10,1440.0
12:00.0,Start of 3rd quarter,52-62,,,3,52,62,-10,1440.0
11:38.0, ,52-62,J. Crowder misses 2-pt jump shot from 16 ft,,3,52,62,-10,1462.0
11:34.0, ,52-62,Offensive rebound by M. Beasley,,3,52,62,-10,1466.0
11:27.0, ,52-64,B. Lopez makes 2-pt layup from 2 ft,,3,52,64,-12,1473.0
11:19.0,Personal foul by J. Crowder (drawn by A. Thompson),52-64, ,,3,52,64,-12,1481.0
11:15.0,C. Cunningham makes 2-pt jump shot from 20 ft (assist by K. Hayes),54-64, ,,3,54,64,-10,1485.0
11:02.0, ,54-67,M. Beasley makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,3,54,67,-13,1498.0
10:46.0,Turnover by C. Cunningham (step out of bounds),54-67, ,,3,54,67,-13,1514.0
10:34.0, ,54-69,G. Antetokounmpo makes 2-pt hook shot from 6 ft,,3,54,69,-15,1526.0
10:21.0,J. Duren makes 2-pt dunk from 3 ft (assist by C. Cunningham),56-69, ,,3,56,69,-13,1539.0
10:06.0, ,56-71,G. Antetokounmpo makes 2-pt layup from 1 ft,,3,56,71,-15,1554.0
9:50.0,C. Cunningham makes 2-pt jump shot from 18 ft,58-71, ,,3,58,71,-13,1570.0
9:37.0, ,58-71,G. Antetokounmpo misses 2-pt jump shot from 16 ft,,3,58,71,-13,1583.0
9:33.0,Defensive rebound by J. Duren,58-71, ,,3,58,71,-13,1587.0
9:27.0,C. Cunningham makes 2-pt layup from 2 ft,60-71, ,,3,60,71,-11,1593.0
9:14.0, ,60-71,D. Lillard misses 3-pt jump shot from 26 ft,,3,60,71,-11,1606.0
9:10.0,Defensive rebound by A. Thompson,60-71, ,,3,60,71,-11,1610.0
9:07.0,A. Thompson misses 2-pt layup from 4 ft (block by G. Antetokounmpo),60-71, ,,3,60,71,-11,1613.0
9:07.0, ,60-71,Defensive rebound by G. Antetokounmpo,,3,60,71,-11,1613.0
9:00.0, ,60-73,G. Antetokounmpo makes 2-pt dunk from 1 ft,,3,60,73,-13,1620.0
9:00.0, ,60-73,Technical foul by G. Antetokounmpo,,3,60,73,-13,1620.0
9:00.0, ,60-73,G. Antetokounmpo ejected from game,,3,60,73,-13,1620.0
9:00.0,C. Cunningham makes technical free throw,61-73, ,,3,61,73,-12,1620.0
9:00.0, ,61-73,B. Portis enters the game for G. Antetokounmpo,,3,61,73,-12,1620.0
9:00.0, ,61-73,Technical foul by T. Antetokounmpo,,3,61,73,-12,1620.0
9:00.0,C. Cunningham makes technical free throw,62-73, ,,3,62,73,-11,1620.0
8:48.0,C. Cunningham makes 2-pt jump shot from 19 ft,64-73, ,,3,64,73,-9,1632.0
8:36.0, ,64-73,D. Lillard misses 2-pt layup from 3 ft (block by I. Stewart),,3,64,73,-9,1644.0
8:33.0,Defensive rebound by A. Thompson,64-73, ,,3,64,73,-9,1647.0
8:29.0,C. Cunningham misses 3-pt jump shot from 26 ft,64-73, ,,3,64,73,-9,1651.0
8:27.0, ,64-73,Defensive rebound by J. Crowder,,3,64,73,-9,1653.0
8:17.0, ,64-75,B. Portis makes 2-pt hook shot from 7 ft (assist by D. Lillard),,3,64,75,-11,1663.0
