Time,Detroit,Score,Oklahoma City,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:17.0, ,8-10,Violation by Team (def goaltending),,1,8,10,-2,283.0
7:07.0, ,8-10,J. Williams misses 3-pt jump shot from 26 ft,,1,8,10,-2,293.0
7:04.0,Defensive rebound by J. Duren,8-10, ,,1,8,10,-2,296.0
6:56.0,K. Hayes misses 3-pt jump shot from 25 ft,8-10, ,,1,8,10,-2,304.0
6:54.0, ,8-10,Defensive rebound by J. Williams,,1,8,10,-2,306.0
6:41.0, ,8-13,C. Holmgren makes 3-pt jump shot from 23 ft (assist by S. Gilgeous-Alexander),,1,8,13,-5,319.0
6:25.0,C. Cunningham misses 3-pt jump shot from 25 ft,8-13, ,,1,8,13,-5,335.0
6:23.0, ,8-13,Defensive rebound by J. Williams,,1,8,13,-5,337.0
6:17.0, ,8-16,C. Holmgren makes 3-pt jump shot from 26 ft (assist by J. Williams),,1,8,16,-8,343.0
6:16.0,Detroit full timeout,8-16, ,,1,8,16,-8,344.0
6:16.0,A. Burks enters the game for K. Hayes,8-16, ,,1,8,16,-8,344.0
5:57.0,Turnover by C. Cunningham (bad pass; steal by C. Holmgren),8-16, ,,1,8,16,-8,363.0
5:57.0, ,8-16,Turnover by C. Holmgren (out of bounds lost ball),,1,8,16,-8,363.0
5:47.0,J. Duren misses 2-pt dunk from 1 ft,8-16, ,,1,8,16,-8,373.0
5:44.0,Offensive rebound by A. Thompson,8-16, ,,1,8,16,-8,376.0
5:40.0,A. Burks makes 3-pt jump shot from 22 ft (assist by A. Thompson),11-16, ,,1,11,16,-5,380.0
5:15.0, ,11-16,L. Dort misses 3-pt jump shot from 25 ft,,1,11,16,-5,405.0
5:11.0,Defensive rebound by A. Thompson,11-16, ,,1,11,16,-5,409.0
5:05.0,C. Cunningham makes 3-pt jump shot from 26 ft (assist by A. Burks),14-16, ,,1,14,16,-2,415.0
4:49.0, ,14-16,Shooting foul by A. Burks (drawn by J. Giddey),,1,14,16,-2,431.0
4:49.0, ,14-16,J. Giddey misses free throw 1 of 2,,1,14,16,-2,431.0
4:49.0, ,14-16,Offensive rebound by Team,,1,14,16,-2,431.0
4:49.0,M. Bagley enters the game for J. Duren,14-16, ,,1,14,16,-2,431.0
4:49.0, ,14-16,O. Sarr enters the game for C. Holmgren,,1,14,16,-2,431.0
4:49.0, ,14-17,J. Giddey makes free throw 2 of 2,,1,14,17,-3,431.0
4:30.0,Turnover by I. Stewart (lost ball; steal by J. Williams),14-17, ,,1,14,17,-3,450.0
4:18.0, ,14-17,S. Gilgeous-Alexander misses 2-pt jump shot from 17 ft,,1,14,17,-3,462.0
4:14.0, ,14-17,Offensive rebound by O. Sarr,,1,14,17,-3,466.0
4:14.0,J. Harris enters the game for C. Cunningham,14-17, ,,1,14,17,-3,466.0
4:14.0,J. Ivey enters the game for I. Stewart,14-17, ,,1,14,17,-3,466.0
4:14.0, ,14-17,D. Bertāns enters the game for J. Giddey,,1,14,17,-3,466.0
4:14.0, ,14-17,I. Joe enters the game for J. Williams,,1,14,17,-3,466.0
4:05.0, ,14-19,S. Gilgeous-Alexander makes 2-pt jump shot from 16 ft,,1,14,19,-5,475.0
3:49.0,M. Bagley misses 2-pt jump shot from 15 ft,14-19, ,,1,14,19,-5,491.0
3:46.0, ,14-19,Defensive rebound by O. Sarr,,1,14,19,-5,494.0
3:37.0, ,14-21,L. Dort makes 2-pt layup from 1 ft,,1,14,21,-7,503.0
3:13.0,A. Burks misses 2-pt layup from 2 ft,14-21, ,,1,14,21,-7,527.0
3:11.0,Offensive rebound by M. Bagley,14-21, ,,1,14,21,-7,529.0
3:11.0,Turnover by Team (shot clock),14-21, ,,1,14,21,-7,529.0
3:11.0, ,14-21,Oklahoma City full timeout,,1,14,21,-7,529.0
3:11.0,M. Sasser enters the game for A. Thompson,14-21, ,,1,14,21,-7,529.0
3:11.0, ,14-21,C. Wallace enters the game for L. Dort,,1,14,21,-7,529.0
2:57.0, ,14-21,Shooting foul by A. Burks (drawn by D. Bertāns),,1,14,21,-7,543.0
2:57.0, ,14-22,D. Bertāns makes free throw 1 of 3,,1,14,22,-8,543.0
2:57.0, ,14-23,D. Bertāns makes free throw 2 of 3,,1,14,23,-9,543.0
2:57.0, ,14-24,D. Bertāns makes free throw 3 of 3,,1,14,24,-10,543.0
2:36.0,A. Burks makes 3-pt jump shot from 26 ft,17-24, ,,1,17,24,-7,564.0
2:17.0, ,17-26,S. Gilgeous-Alexander makes 2-pt jump shot from 9 ft,,1,17,26,-9,583.0
2:11.0,J. Ivey makes 2-pt layup from 3 ft (assist by M. Sasser),19-26, ,,1,19,26,-7,589.0
2:11.0, ,19-26,Violation by Team (def goaltending),,1,19,26,-7,589.0
1:59.0, ,19-26,S. Gilgeous-Alexander misses 2-pt layup from 2 ft,,1,19,26,-7,601.0
1:57.0,Defensive rebound by J. Ivey,19-26, ,,1,19,26,-7,603.0
1:48.0,J. Ivey misses 2-pt jump shot from 19 ft,19-26, ,,1,19,26,-7,612.0
1:46.0, ,19-26,Defensive rebound by D. Bertāns,,1,19,26,-7,614.0
1:39.0, ,19-29,I. Joe makes 3-pt jump shot from 25 ft (assist by S. Gilgeous-Alexander),,1,19,29,-10,621.0
1:24.0,J. Ivey misses 3-pt jump shot from 28 ft,19-29, ,,1,19,29,-10,636.0
1:21.0, ,19-29,Defensive rebound by S. Gilgeous-Alexander,,1,19,29,-10,639.0
1:16.0, ,19-31,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,,1,19,31,-12,644.0
0:52.0,Shooting foul by O. Sarr (drawn by M. Bagley),19-31, ,,1,19,31,-12,668.0
0:52.0,M. Bagley makes free throw 1 of 2,20-31, ,,1,20,31,-11,668.0
0:52.0, ,20-31,C. Holmgren enters the game for O. Sarr,,1,20,31,-11,668.0
0:52.0,M. Bagley makes free throw 2 of 2,21-31, ,,1,21,31,-10,668.0
0:38.0, ,21-31,Personal foul by J. Ivey (drawn by S. Gilgeous-Alexander),,1,21,31,-10,682.0
0:38.0,A. Thompson enters the game for J. Harris,21-31, ,,1,21,31,-10,682.0
0:33.0, ,21-31,Personal foul by A. Thompson (drawn by S. Gilgeous-Alexander),,1,21,31,-10,687.0
0:33.0, ,21-32,S. Gilgeous-Alexander makes free throw 1 of 2,,1,21,32,-11,687.0
0:33.0, ,21-33,S. Gilgeous-Alexander makes free throw 2 of 2,,1,21,33,-12,687.0
0:15.0,J. Ivey misses 2-pt jump shot from 20 ft,21-33, ,,1,21,33,-12,705.0
0:12.0, ,21-33,Defensive rebound by S. Gilgeous-Alexander,,1,21,33,-12,708.0
0:00.0, ,21-33,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,,1,21,33,-12,720.0
0:00.0, ,21-33,Offensive rebound by Team,,1,21,33,-12,720.0
0:00.0,End of 1st quarter,21-33,,,1,21,33,-12,720.0
12:00.0,Start of 2nd quarter,21-33,,,2,21,33,-12,720.0
11:40.0, ,21-33,Turnover by O. Dieng (bad pass; steal by J. Ivey),,2,21,33,-12,740.0
11:24.0,J. Ivey makes 2-pt layup from 1 ft (assist by J. Harris),23-33, ,,2,23,33,-10,756.0
11:13.0, ,23-35,O. Dieng makes 2-pt layup from 2 ft (assist by J. Giddey),,2,23,35,-12,767.0
11:13.0, ,23-35,Shooting foul by J. Harris (drawn by O. Dieng),,2,23,35,-12,767.0
11:13.0, ,23-35,O. Dieng misses free throw 1 of 1,,2,23,35,-12,767.0
11:11.0,Defensive rebound by J. Duren,23-35, ,,2,23,35,-12,769.0
11:03.0,C. Cunningham makes 2-pt layup from 1 ft,25-35, ,,2,25,35,-10,777.0
10:48.0, ,25-35,J. Giddey misses 2-pt layup from 3 ft (block by J. Ivey),,2,25,35,-10,792.0
10:48.0, ,25-35,Offensive rebound by J. Giddey,,2,25,35,-10,792.0
10:48.0, ,25-35,Shooting foul by J. Ivey (drawn by J. Giddey),,2,25,35,-10,792.0
10:48.0,Detroit full timeout,25-35, ,,2,25,35,-10,792.0
10:48.0,Instant Replay (Challenge: Stands),25-35, ,,2,25,35,-10,792.0
10:48.0, ,25-35,J. Giddey misses free throw 1 of 2,,2,25,35,-10,792.0
10:48.0, ,25-35,Offensive rebound by Team,,2,25,35,-10,792.0
10:48.0, ,25-36,J. Giddey makes free throw 2 of 2,,2,25,36,-11,792.0
10:29.0,C. Cunningham makes 2-pt layup from 1 ft (assist by A. Burks),27-36, ,,2,27,36,-9,811.0
10:18.0, ,27-38,J. Williams makes 2-pt jump shot from 2 ft,,2,27,38,-11,822.0
10:08.0,J. Ivey makes 3-pt jump shot from 28 ft (assist by A. Burks),30-38, ,,2,30,38,-8,832.0
9:53.0, ,30-38,C. Wallace misses 3-pt jump shot from 26 ft,,2,30,38,-8,847.0
9:50.0,Defensive rebound by A. Burks,30-38, ,,2,30,38,-8,850.0
9:39.0,J. Duren misses 2-pt layup from 7 ft (block by C. Holmgren),30-38, ,,2,30,38,-8,861.0
9:36.0, ,30-38,Defensive rebound by J. Giddey,,2,30,38,-8,864.0
9:31.0, ,30-38,Shooting foul by J. Duren (drawn by C. Holmgren),,2,30,38,-8,869.0
9:31.0, ,30-39,C. Holmgren makes free throw 1 of 2,,2,30,39,-9,869.0
9:31.0,K. Hayes enters the game for J. Ivey,30-39, ,,2,30,39,-9,869.0
9:31.0, ,30-40,C. Holmgren makes free throw 2 of 2,,2,30,40,-10,869.0
9:14.0,Turnover by C. Cunningham (bad pass; steal by J. Giddey),30-40, ,,2,30,40,-10,886.0
9:08.0, ,30-42,O. Dieng makes 2-pt dunk from 2 ft (assist by J. Williams),,2,30,42,-12,892.0
9:07.0,Detroit full timeout,30-42, ,,2,30,42,-12,893.0
9:07.0,I. Stewart enters the game for J. Harris,30-42, ,,2,30,42,-12,893.0
8:55.0,A. Burks misses 3-pt jump shot from 25 ft,30-42, ,,2,30,42,-12,905.0
8:53.0,Offensive rebound by Team,30-42, ,,2,30,42,-12,907.0
8:51.0,A. Burks misses 2-pt jump shot from 18 ft,30-42, ,,2,30,42,-12,909.0
8:48.0,Offensive rebound by A. Burks,30-42, ,,2,30,42,-12,912.0
8:44.0,J. Duren makes 2-pt layup from 3 ft (assist by A. Burks),32-42, ,,2,32,42,-10,916.0
8:35.0, ,32-42,Offensive foul by C. Wallace (drawn by A. Burks),,2,32,42,-10,925.0
8:35.0, ,32-42,Turnover by C. Wallace (offensive foul),,2,32,42,-10,925.0
8:35.0,A. Thompson enters the game for A. Burks,32-42, ,,2,32,42,-10,925.0
8:21.0,K. Hayes misses 3-pt jump shot from 24 ft,32-42, ,,2,32,42,-10,939.0
8:17.0,Offensive rebound by A. Thompson,32-42, ,,2,32,42,-10,943.0
8:10.0,K. Hayes makes 2-pt jump shot from 14 ft (assist by C. Cunningham),34-42, ,,2,34,42,-8,950.0
7:55.0, ,34-44,J. Giddey makes 2-pt layup from 4 ft (assist by C. Holmgren),,2,34,44,-10,965.0
7:37.0,C. Cunningham misses 3-pt jump shot from 28 ft,34-44, ,,2,34,44,-10,983.0
7:34.0, ,34-44,Defensive rebound by C. Holmgren,,2,34,44,-10,986.0
7:26.0, ,34-44,J. Williams misses 3-pt jump shot from 26 ft,,2,34,44,-10,994.0
7:22.0,Defensive rebound by J. Duren,34-44, ,,2,34,44,-10,998.0
7:13.0,J. Duren makes 2-pt layup from 7 ft,36-44, ,,2,36,44,-8,1007.0
7:13.0,Shooting foul by C. Holmgren (drawn by J. Duren),36-44, ,,2,36,44,-8,1007.0
7:13.0,J. Duren misses free throw 1 of 1,36-44, ,,2,36,44,-8,1007.0
7:11.0, ,36-44,Defensive rebound by J. Williams,,2,36,44,-8,1009.0
