Time,Detroit,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:22.0,I. Stewart makes 3-pt jump shot from 27 ft (assist by M. Sasser),10-7, ,Lead change,1,10,7,3,218.0
8:02.0, ,10-9,L. Kornet makes 2-pt dunk from 2 ft (assist by J. Brown),,1,10,9,1,238.0
7:46.0,M. Sasser misses 2-pt jump shot from 18 ft,10-9, ,,1,10,9,1,254.0
7:45.0, ,10-9,Defensive rebound by K. Porziņģis,,1,10,9,1,255.0
7:36.0, ,10-12,K. Porziņģis makes 3-pt jump shot from 27 ft (assist by D. White),Lead change,1,10,12,-2,264.0
7:34.0,Detroit full timeout,10-12, ,,1,10,12,-2,266.0
7:26.0,J. Ivey makes 2-pt jump shot from 17 ft (assist by M. Sasser),12-12, ,Tie,1,12,12,0,274.0
7:12.0, ,12-12,Turnover by J. Brown (bad pass),,1,12,12,0,288.0
7:04.0,J. Ivey makes 2-pt layup from 5 ft,14-12, ,Lead change,1,14,12,2,296.0
6:46.0, ,14-12,K. Porziņģis misses 2-pt jump shot from 11 ft,,1,14,12,2,314.0
6:44.0,Defensive rebound by I. Stewart,14-12, ,,1,14,12,2,316.0
6:33.0,J. Ivey misses 2-pt jump shot from 14 ft,14-12, ,,1,14,12,2,327.0
6:31.0, ,14-12,Defensive rebound by K. Porziņģis,,1,14,12,2,329.0
6:23.0, ,14-12,J. Brown misses 2-pt jump shot from 9 ft,,1,14,12,2,337.0
6:22.0,Defensive rebound by I. Stewart,14-12, ,,1,14,12,2,338.0
6:16.0,M. Sasser misses 2-pt jump shot from 15 ft,14-12, ,,1,14,12,2,344.0
6:15.0, ,14-12,Defensive rebound by K. Porziņģis,,1,14,12,2,345.0
6:06.0, ,14-15,J. Brown makes 3-pt jump shot from 24 ft (assist by P. Pritchard),Lead change,1,14,15,-1,354.0
5:48.0,Turnover by J. Ivey (bad pass),14-15, ,,1,14,15,-1,372.0
5:48.0, ,14-15,S. Mykhailiuk enters the game for K. Porziņģis,,1,14,15,-1,372.0
5:48.0, ,14-15,X. Tillman enters the game for P. Pritchard,,1,14,15,-1,372.0
5:30.0, ,14-15,S. Mykhailiuk misses 3-pt jump shot from 23 ft,,1,14,15,-1,390.0
5:28.0,Defensive rebound by J. Ivey,14-15, ,,1,14,15,-1,392.0
5:08.0,J. Ivey misses 2-pt jump shot from 15 ft,14-15, ,,1,14,15,-1,412.0
5:07.0, ,14-15,Defensive rebound by L. Kornet,,1,14,15,-1,413.0
4:57.0, ,14-15,S. Mykhailiuk misses 3-pt jump shot from 23 ft,,1,14,15,-1,423.0
4:56.0,Defensive rebound by I. Stewart,14-15, ,,1,14,15,-1,424.0
4:37.0,M. Sasser makes 2-pt jump shot from 15 ft,16-15, ,Lead change,1,16,15,1,443.0
4:29.0, ,16-15,Personal foul by J. Ivey (drawn by D. White),,1,16,15,1,451.0
4:29.0,M. Flynn enters the game for J. Duren,16-15, ,,1,16,15,1,451.0
4:29.0,J. Wiseman enters the game for M. Sasser,16-15, ,,1,16,15,1,451.0
4:22.0, ,16-15,J. Brown misses 2-pt jump shot from 17 ft,,1,16,15,1,458.0
4:20.0, ,16-15,Offensive rebound by L. Kornet,,1,16,15,1,460.0
4:13.0, ,16-18,D. White makes 3-pt jump shot from 27 ft (assist by S. Mykhailiuk),Lead change,1,16,18,-2,467.0
3:52.0,M. Flynn misses 3-pt jump shot from 25 ft,16-18, ,,1,16,18,-2,488.0
3:51.0, ,16-18,Defensive rebound by J. Brown,,1,16,18,-2,489.0
3:40.0, ,16-18,D. White misses 2-pt jump shot from 13 ft,,1,16,18,-2,500.0
3:39.0, ,16-18,Offensive rebound by L. Kornet,,1,16,18,-2,501.0
3:39.0, ,16-18,L. Kornet misses 2-pt layup from 1 ft,,1,16,18,-2,501.0
3:38.0, ,16-18,Offensive rebound by L. Kornet,,1,16,18,-2,502.0
3:38.0, ,16-20,L. Kornet makes 2-pt layup at rim,,1,16,20,-4,502.0
3:10.0,Turnover by Team (shot clock),16-20, ,,1,16,20,-4,530.0
3:10.0,E. Fournier enters the game for J. Ivey,16-20, ,,1,16,20,-4,530.0
2:57.0, ,16-22,D. White makes 2-pt layup from 8 ft,,1,16,22,-6,543.0
2:38.0,S. Umude misses 3-pt jump shot from 26 ft,16-22, ,,1,16,22,-6,562.0
2:37.0, ,16-22,Defensive rebound by J. Brown,,1,16,22,-6,563.0
2:27.0, ,16-24,J. Brown makes 2-pt layup from 5 ft,,1,16,24,-8,573.0
2:06.0,Turnover by E. Fournier (bad pass; steal by S. Mykhailiuk),16-24, ,,1,16,24,-8,594.0
2:04.0, ,16-24,Turnover by S. Mykhailiuk (bad pass; steal by M. Flynn),,1,16,24,-8,596.0
1:59.0,J. Wiseman misses 2-pt layup from 2 ft (block by L. Kornet),16-24, ,,1,16,24,-8,601.0
1:55.0,Offensive rebound by I. Stewart,16-24, ,,1,16,24,-8,605.0
1:55.0,I. Stewart makes 2-pt layup from 2 ft,18-24, ,,1,18,24,-6,605.0
1:52.0, ,18-26,J. Brown makes 2-pt layup from 2 ft (assist by D. White),,1,18,26,-8,608.0
1:40.0,M. Flynn makes 3-pt jump shot from 24 ft (assist by E. Fournier),21-26, ,,1,21,26,-5,620.0
1:23.0, ,21-29,D. White makes 3-pt jump shot from 26 ft,,1,21,29,-8,637.0
1:09.0,Shooting foul by J. Brown (drawn by M. Flynn),21-29, ,,1,21,29,-8,651.0
1:09.0, ,21-29,Boston full timeout,,1,21,29,-8,651.0
1:09.0,T. Brown enters the game for I. Stewart,21-29, ,,1,21,29,-8,651.0
1:09.0,T. Gibson enters the game for S. Umude,21-29, ,,1,21,29,-8,651.0
1:09.0, ,21-29,O. Brissett enters the game for L. Kornet,,1,21,29,-8,651.0
1:09.0, ,21-29,P. Pritchard enters the game for D. White,,1,21,29,-8,651.0
1:09.0,M. Flynn misses free throw 1 of 2,21-29, ,,1,21,29,-8,651.0
1:09.0,Offensive rebound by Team,21-29, ,,1,21,29,-8,651.0
1:09.0,M. Flynn makes free throw 2 of 2,22-29, ,,1,22,29,-7,651.0
0:54.0, ,22-29,Turnover by J. Brown (bad pass; steal by M. Flynn),,1,22,29,-7,666.0
0:52.0,M. Flynn makes 2-pt layup from 1 ft,24-29, ,,1,24,29,-5,668.0
0:37.0, ,24-31,P. Pritchard makes 2-pt jump shot from 11 ft,,1,24,31,-7,683.0
0:22.0,J. Wiseman makes 2-pt dunk from 1 ft (assist by E. Fournier),26-31, ,,1,26,31,-5,698.0
0:05.0, ,26-31,O. Brissett misses 2-pt layup from 8 ft,,1,26,31,-5,715.0
0:04.0,Defensive rebound by M. Flynn,26-31, ,,1,26,31,-5,716.0
0:01.0,Shooting foul by P. Pritchard (drawn by M. Flynn),26-31, ,,1,26,31,-5,719.0
0:01.0,M. Flynn makes free throw 1 of 2,27-31, ,,1,27,31,-4,719.0
0:01.0,M. Flynn makes free throw 2 of 2,28-31, ,,1,28,31,-3,719.0
0:00.0, ,28-31,S. Mykhailiuk misses 3-pt jump shot from 61 ft,,1,28,31,-3,720.0
0:00.0, ,28-31,Offensive rebound by Team,,1,28,31,-3,720.0
0:00.0,End of 1st quarter,28-31,,,1,28,31,-3,720.0
12:00.0,Start of 2nd quarter,28-31,,,2,28,31,-3,720.0
11:42.0,E. Fournier misses 2-pt layup from 7 ft,28-31, ,,2,28,31,-3,738.0
11:40.0, ,28-31,Defensive rebound by D. White,,2,28,31,-3,740.0
11:24.0, ,28-34,D. White makes 3-pt jump shot from 26 ft (assist by P. Pritchard),,2,28,34,-6,756.0
11:03.0,E. Fournier makes 3-pt jump shot from 23 ft (assist by J. Wiseman),31-34, ,,2,31,34,-3,777.0
10:45.0, ,31-34,D. White misses 2-pt layup from 7 ft (block by J. Wiseman),,2,31,34,-3,795.0
10:41.0, ,31-34,Offensive rebound by J. Springer,,2,31,34,-3,799.0
10:39.0, ,31-34,D. White misses 3-pt jump shot from 24 ft,,2,31,34,-3,801.0
10:38.0,Defensive rebound by T. Gibson,31-34, ,,2,31,34,-3,802.0
10:26.0,E. Fournier misses 3-pt jump shot from 27 ft,31-34, ,,2,31,34,-3,814.0
10:24.0, ,31-34,Defensive rebound by X. Tillman,,2,31,34,-3,816.0
10:12.0, ,31-37,P. Pritchard makes 3-pt jump shot from 26 ft,,2,31,37,-6,828.0
9:42.0,E. Fournier misses 3-pt jump shot from 24 ft,31-37, ,,2,31,37,-6,858.0
9:41.0, ,31-37,Defensive rebound by D. White,,2,31,37,-6,859.0
9:36.0, ,31-39,P. Pritchard makes 2-pt layup from 4 ft (assist by D. White),,2,31,39,-8,864.0
9:36.0,Detroit full timeout,31-39, ,,2,31,39,-8,864.0
9:21.0,J. Wiseman misses 2-pt hook shot from 9 ft,31-39, ,,2,31,39,-8,879.0
9:18.0,Offensive rebound by J. Wiseman,31-39, ,,2,31,39,-8,882.0
9:15.0,T. Brown makes 2-pt jump shot from 6 ft (assist by J. Wiseman),33-39, ,,2,33,39,-6,885.0
8:58.0, ,33-42,D. White makes 3-pt jump shot from 26 ft (assist by X. Tillman),,2,33,42,-9,902.0
8:31.0,T. Brown misses 3-pt jump shot from 26 ft,33-42, ,,2,33,42,-9,929.0
8:28.0, ,33-42,Defensive rebound by O. Brissett,,2,33,42,-9,932.0
8:23.0, ,33-42,Personal foul by T. Gibson (drawn by P. Pritchard),,2,33,42,-9,937.0
8:23.0,J. Ivey enters the game for T. Brown,33-42, ,,2,33,42,-9,937.0
8:23.0,S. Umude enters the game for T. Gibson,33-42, ,,2,33,42,-9,937.0
8:23.0, ,33-42,L. Kornet enters the game for X. Tillman,,2,33,42,-9,937.0
8:21.0, ,33-42,Personal foul by E. Fournier (drawn by D. White),,2,33,42,-9,939.0
8:16.0, ,33-42,D. White misses 2-pt jump shot from 14 ft,,2,33,42,-9,944.0
8:14.0, ,33-42,Offensive rebound by L. Kornet,,2,33,42,-9,946.0
8:09.0, ,33-42,Shooting foul by J. Wiseman (drawn by J. Springer),,2,33,42,-9,951.0
8:09.0, ,33-43,J. Springer makes free throw 1 of 2,,2,33,43,-10,951.0
8:09.0,M. Sasser enters the game for M. Flynn,33-43, ,,2,33,43,-10,951.0
8:09.0, ,33-44,J. Springer makes free throw 2 of 2,,2,33,44,-11,951.0
7:52.0,J. Ivey makes 2-pt jump shot from 12 ft,35-44, ,,2,35,44,-9,968.0
7:33.0, ,35-44,D. White misses 3-pt jump shot from 27 ft,,2,35,44,-9,987.0
7:32.0, ,35-44,Offensive rebound by L. Kornet,,2,35,44,-9,988.0
7:31.0, ,35-44,Personal foul by J. Ivey (drawn by L. Kornet),,2,35,44,-9,989.0
7:23.0, ,35-44,P. Pritchard misses 3-pt jump shot from 27 ft,,2,35,44,-9,997.0
7:20.0, ,35-44,Offensive rebound by O. Brissett,,2,35,44,-9,1000.0
7:16.0, ,35-44,O. Brissett misses 2-pt layup from 5 ft,,2,35,44,-9,1004.0
7:14.0, ,35-44,Offensive rebound by J. Springer,,2,35,44,-9,1006.0
7:13.0, ,35-44,J. Springer misses 2-pt layup from 4 ft,,2,35,44,-9,1007.0
7:10.0,Defensive rebound by S. Umude,35-44, ,,2,35,44,-9,1010.0
7:04.0,M. Sasser misses 2-pt jump shot from 11 ft (block by L. Kornet),35-44, ,,2,35,44,-9,1016.0
7:03.0,Offensive rebound by M. Sasser,35-44, ,,2,35,44,-9,1017.0
7:00.0,M. Sasser makes 2-pt layup from 2 ft,37-44, ,,2,37,44,-7,1020.0
6:36.0, ,37-44,D. White misses 3-pt jump shot from 27 ft,,2,37,44,-7,1044.0
6:34.0, ,37-44,Offensive rebound by O. Brissett,,2,37,44,-7,1046.0
6:31.0, ,37-44,O. Brissett misses 2-pt layup from 4 ft (block by J. Wiseman),,2,37,44,-7,1049.0
6:28.0,Defensive rebound by J. Ivey,37-44, ,,2,37,44,-7,1052.0
6:26.0,E. Fournier misses 3-pt jump shot from 26 ft,37-44, ,,2,37,44,-7,1054.0
6:25.0, ,37-44,Defensive rebound by L. Kornet,,2,37,44,-7,1055.0
6:24.0, ,37-44,Boston full timeout,,2,37,44,-7,1056.0
6:24.0,J. Duren enters the game for E. Fournier,37-44, ,,2,37,44,-7,1056.0
6:24.0,I. Stewart enters the game for J. Wiseman,37-44, ,,2,37,44,-7,1056.0
6:24.0, ,37-44,J. Brown enters the game for O. Brissett,,2,37,44,-7,1056.0
6:15.0, ,37-47,J. Brown makes 3-pt jump shot from 26 ft (assist by D. White),,2,37,47,-10,1065.0
5:46.0,Turnover by M. Sasser (bad pass; steal by D. White),37-47, ,,2,37,47,-10,1094.0
5:42.0, ,37-47,J. Brown misses 2-pt layup from 5 ft,,2,37,47,-10,1098.0
5:40.0,Defensive rebound by J. Duren,37-47, ,,2,37,47,-10,1100.0
5:35.0,S. Umude misses 3-pt jump shot from 26 ft,37-47, ,,2,37,47,-10,1105.0
5:33.0, ,37-47,Defensive rebound by D. White,,2,37,47,-10,1107.0
5:27.0, ,37-50,D. White makes 3-pt jump shot from 26 ft,,2,37,50,-13,1113.0
5:10.0,J. Duren misses 2-pt jump shot from 13 ft,37-50, ,,2,37,50,-13,1130.0
5:09.0, ,37-50,Defensive rebound by J. Brown,,2,37,50,-13,1131.0
4:50.0, ,37-50,J. Brown misses 3-pt jump shot from 27 ft,,2,37,50,-13,1150.0
4:49.0,Defensive rebound by J. Ivey,37-50, ,,2,37,50,-13,1151.0
4:43.0,J. Ivey makes 2-pt layup from 2 ft,39-50, ,,2,39,50,-11,1157.0
4:24.0, ,39-50,D. White misses 3-pt jump shot from 27 ft,,2,39,50,-11,1176.0
4:23.0,Defensive rebound by M. Sasser,39-50, ,,2,39,50,-11,1177.0
4:10.0,J. Ivey misses 3-pt jump shot from 25 ft,39-50, ,,2,39,50,-11,1190.0
4:08.0, ,39-50,Defensive rebound by P. Pritchard,,2,39,50,-11,1192.0
3:55.0, ,39-50,Personal foul by J. Ivey (drawn by J. Brown),,2,39,50,-11,1205.0
3:55.0, ,39-51,J. Brown makes free throw 1 of 2,,2,39,51,-12,1205.0
3:55.0, ,39-52,J. Brown makes free throw 2 of 2,,2,39,52,-13,1205.0
3:55.0,E. Fournier enters the game for J. Ivey,39-52, ,,2,39,52,-13,1205.0
3:39.0,Shooting foul by J. Brown (drawn by S. Umude),39-52, ,,2,39,52,-13,1221.0
3:39.0,S. Umude makes free throw 1 of 3,40-52, ,,2,40,52,-12,1221.0
3:39.0,S. Umude makes free throw 2 of 3,41-52, ,,2,41,52,-11,1221.0
3:39.0,S. Umude makes free throw 3 of 3,42-52, ,,2,42,52,-10,1221.0
3:17.0, ,42-55,J. Brown makes 3-pt jump shot from 27 ft,,2,42,55,-13,1243.0
2:48.0,E. Fournier misses 2-pt jump shot from 16 ft,42-55, ,,2,42,55,-13,1272.0
2:47.0, ,42-55,Defensive rebound by L. Kornet,,2,42,55,-13,1273.0
2:43.0, ,42-57,J. Brown makes 2-pt layup from 2 ft (assist by P. Pritchard),,2,42,57,-15,1277.0
2:29.0,E. Fournier misses 3-pt jump shot from 26 ft,42-57, ,,2,42,57,-15,1291.0
2:28.0, ,42-57,Defensive rebound by D. White,,2,42,57,-15,1292.0
2:20.0, ,42-57,J. Brown misses 3-pt jump shot from 25 ft,,2,42,57,-15,1300.0
2:19.0,Defensive rebound by S. Umude,42-57, ,,2,42,57,-15,1301.0
2:12.0,J. Duren makes 2-pt dunk from 1 ft (assist by S. Umude),44-57, ,,2,44,57,-13,1308.0
1:51.0, ,44-57,P. Pritchard misses 3-pt jump shot from 27 ft,,2,44,57,-13,1329.0
1:50.0,Defensive rebound by I. Stewart,44-57, ,,2,44,57,-13,1330.0
1:37.0,J. Duren misses 2-pt jump shot from 17 ft,44-57, ,,2,44,57,-13,1343.0
1:36.0, ,44-57,Defensive rebound by D. White,,2,44,57,-13,1344.0
1:28.0, ,44-57,J. Brown misses 3-pt jump shot from 28 ft,,2,44,57,-13,1352.0
1:26.0,Defensive rebound by J. Duren,44-57, ,,2,44,57,-13,1354.0
1:09.0,J. Duren makes 2-pt layup from 3 ft (assist by E. Fournier),46-57, ,,2,46,57,-11,1371.0
0:44.0, ,46-57,Turnover by P. Pritchard (step out of bounds),,2,46,57,-11,1396.0
0:44.0, ,46-57,X. Tillman enters the game for L. Kornet,,2,46,57,-11,1396.0
0:35.0,E. Fournier misses 3-pt jump shot from 26 ft,46-57, ,,2,46,57,-11,1405.0
0:33.0, ,46-57,Defensive rebound by D. White,,2,46,57,-11,1407.0
0:11.0, ,46-57,P. Pritchard misses 3-pt jump shot from 24 ft,,2,46,57,-11,1429.0
0:09.0, ,46-57,Offensive rebound by J. Springer,,2,46,57,-11,1431.0
0:07.0, ,46-59,J. Springer makes 2-pt jump shot from 13 ft,,2,46,59,-13,1433.0
0:01.0,M. Sasser misses 2-pt layup from 3 ft (block by J. Springer),46-59, ,,2,46,59,-13,1439.0
0:01.0,Offensive rebound by Team,46-59, ,,2,46,59,-13,1439.0
0:01.0, ,46-59,L. Kornet enters the game for P. Pritchard,,2,46,59,-13,1439.0
0:01.0,Turnover by S. Umude (bad pass; steal by L. Kornet),46-59, ,,2,46,59,-13,1439.0
0:00.0,End of 2nd quarter,46-59,,,2,46,59,-13,1440.0
12:00.0,Start of 3rd quarter,46-59,,,3,46,59,-13,1440.0
11:48.0,J. Ivey makes 2-pt layup from 6 ft (assist by M. Sasser),48-59, ,,3,48,59,-11,1452.0
11:29.0, ,48-61,K. Porziņģis makes 2-pt jump shot from 10 ft (assist by J. Brown),,3,48,61,-13,1471.0
11:13.0,Turnover by J. Ivey (bad pass; steal by K. Porziņģis),48-61, ,,3,48,61,-13,1487.0
11:07.0, ,48-61,P. Pritchard misses 3-pt jump shot from 26 ft,,3,48,61,-13,1493.0
11:04.0,Defensive rebound by J. Duren,48-61, ,,3,48,61,-13,1496.0
10:57.0,T. Gibson misses 3-pt jump shot from 26 ft,48-61, ,,3,48,61,-13,1503.0
10:55.0, ,48-61,Defensive rebound by K. Porziņģis,,3,48,61,-13,1505.0
10:43.0, ,48-61,K. Porziņģis misses 3-pt jump shot from 27 ft,,3,48,61,-13,1517.0
10:41.0,Defensive rebound by J. Ivey,48-61, ,,3,48,61,-13,1519.0
10:24.0,M. Sasser misses 2-pt jump shot from 18 ft,48-61, ,,3,48,61,-13,1536.0
10:22.0, ,48-61,Defensive rebound by K. Porziņģis,,3,48,61,-13,1538.0
10:14.0, ,48-61,Shooting foul by S. Umude (drawn by J. Brown),,3,48,61,-13,1546.0
10:14.0, ,48-61,J. Brown misses free throw 1 of 2,,3,48,61,-13,1546.0
10:14.0, ,48-61,Offensive rebound by Team,,3,48,61,-13,1546.0
10:14.0, ,48-62,J. Brown makes free throw 2 of 2,,3,48,62,-14,1546.0
9:57.0,T. Gibson makes 3-pt jump shot from 26 ft (assist by M. Sasser),51-62, ,,3,51,62,-11,1563.0
9:42.0, ,51-64,J. Brown makes 2-pt dunk from 1 ft,,3,51,64,-13,1578.0
9:22.0,J. Duren makes 2-pt layup from 2 ft (assist by J. Ivey),53-64, ,,3,53,64,-11,1598.0
9:15.0, ,53-64,D. White misses 3-pt jump shot from 26 ft,,3,53,64,-11,1605.0
9:15.0,Defensive rebound by J. Duren,53-64, ,,3,53,64,-11,1605.0
9:08.0,Turnover by J. Duren (lost ball),53-64, ,,3,53,64,-11,1612.0
9:08.0,Loose ball foul by J. Duren (drawn by K. Porziņģis),53-64, ,,3,53,64,-11,1612.0
8:55.0, ,53-67,K. Porziņģis makes 3-pt jump shot from 29 ft (assist by J. Brown),,3,53,67,-14,1625.0
8:28.0,J. Ivey makes 2-pt layup from 3 ft,55-67, ,,3,55,67,-12,1652.0
8:09.0, ,55-67,J. Brown misses 2-pt hook shot from 9 ft,,3,55,67,-12,1671.0
8:09.0,Defensive rebound by J. Duren,55-67, ,,3,55,67,-12,1671.0
7:56.0,J. Ivey misses 3-pt jump shot from 28 ft,55-67, ,,3,55,67,-12,1684.0
7:54.0, ,55-67,Defensive rebound by L. Kornet,,3,55,67,-12,1686.0
7:49.0, ,55-70,P. Pritchard makes 3-pt jump shot from 26 ft (assist by D. White),,3,55,70,-15,1691.0
7:27.0,J. Ivey misses 3-pt jump shot from 25 ft,55-70, ,,3,55,70,-15,1713.0
7:26.0, ,55-70,Defensive rebound by D. White,,3,55,70,-15,1714.0
7:18.0, ,55-72,D. White makes 2-pt jump shot from 14 ft,,3,55,72,-17,1722.0
7:18.0,Detroit full timeout,55-72, ,,3,55,72,-17,1722.0
7:18.0, ,55-72,X. Tillman enters the game for L. Kornet,,3,55,72,-17,1722.0
7:03.0,Offensive foul by J. Duren (drawn by P. Pritchard),55-72, ,,3,55,72,-17,1737.0
7:03.0,Turnover by J. Duren (offensive foul),55-72, ,,3,55,72,-17,1737.0
6:49.0, ,55-72,K. Porziņģis misses 2-pt jump shot from 12 ft,,3,55,72,-17,1751.0
6:47.0,Defensive rebound by T. Gibson,55-72, ,,3,55,72,-17,1753.0
6:40.0,S. Umude makes 2-pt jump shot from 10 ft (assist by M. Sasser),57-72, ,,3,57,72,-15,1760.0
6:22.0, ,57-72,Def 3 sec tech foul by Team,,3,57,72,-15,1778.0
6:22.0, ,57-73,K. Porziņģis makes technical free throw,,3,57,73,-16,1778.0
6:15.0, ,57-73,D. White misses 2-pt jump shot from 12 ft,,3,57,73,-16,1785.0
6:13.0,Defensive rebound by J. Duren,57-73, ,,3,57,73,-16,1787.0
6:08.0,J. Ivey misses 2-pt layup from 4 ft (block by K. Porziņģis),57-73, ,,3,57,73,-16,1792.0
6:06.0, ,57-73,Defensive rebound by X. Tillman,,3,57,73,-16,1794.0
6:00.0, ,57-73,Turnover by J. Brown (bad pass; steal by T. Gibson),,3,57,73,-16,1800.0
5:49.0,Shooting foul by K. Porziņģis (drawn by J. Duren),57-73, ,,3,57,73,-16,1811.0
5:49.0,J. Duren makes free throw 1 of 2,58-73, ,,3,58,73,-15,1811.0
5:49.0,T. Evbuomwan enters the game for T. Gibson,58-73, ,,3,58,73,-15,1811.0
5:49.0, ,58-73,S. Mykhailiuk enters the game for D. White,,3,58,73,-15,1811.0
5:49.0,J. Duren makes free throw 2 of 2,59-73, ,,3,59,73,-14,1811.0
5:32.0, ,59-73,J. Brown misses 2-pt layup from 3 ft,,3,59,73,-14,1828.0
5:30.0,Defensive rebound by J. Duren,59-73, ,,3,59,73,-14,1830.0
5:24.0,J. Ivey makes 3-pt jump shot from 27 ft (assist by M. Sasser),62-73, ,,3,62,73,-11,1836.0
5:08.0, ,62-73,K. Porziņģis misses 3-pt jump shot from 28 ft,,3,62,73,-11,1852.0
5:07.0,Defensive rebound by S. Umude,62-73, ,,3,62,73,-11,1853.0
4:58.0,J. Duren misses 2-pt layup from 10 ft,62-73, ,,3,62,73,-11,1862.0
4:56.0, ,62-73,Defensive rebound by J. Brown,,3,62,73,-11,1864.0
4:47.0, ,62-73,Shooting foul by S. Umude (drawn by J. Brown),,3,62,73,-11,1873.0
4:47.0, ,62-74,J. Brown makes free throw 1 of 2,,3,62,74,-12,1873.0
4:47.0, ,62-75,J. Brown makes free throw 2 of 2,,3,62,75,-13,1873.0
4:30.0,M. Sasser misses 3-pt jump shot from 27 ft,62-75, ,,3,62,75,-13,1890.0
4:28.0, ,62-75,Defensive rebound by X. Tillman,,3,62,75,-13,1892.0
4:15.0, ,62-77,J. Brown makes 2-pt jump shot from 9 ft,,3,62,77,-15,1905.0
4:15.0,M. Flynn enters the game for J. Duren,62-77, ,,3,62,77,-15,1905.0
4:15.0,J. Wiseman enters the game for M. Sasser,62-77, ,,3,62,77,-15,1905.0
3:51.0,T. Evbuomwan makes 2-pt layup from 9 ft,64-77, ,,3,64,77,-13,1929.0
3:37.0, ,64-80,K. Porziņģis makes 3-pt jump shot from 27 ft (assist by P. Pritchard),,3,64,80,-16,1943.0
3:23.0,Turnover by J. Ivey (bad pass; steal by J. Brown),64-80, ,,3,64,80,-16,1957.0
3:18.0, ,64-82,X. Tillman makes 2-pt layup from 2 ft (assist by P. Pritchard),,3,64,82,-18,1962.0
3:05.0,M. Flynn misses 2-pt jump shot from 14 ft,64-82, ,,3,64,82,-18,1975.0
3:03.0, ,64-82,Defensive rebound by Team,,3,64,82,-18,1977.0
2:53.0, ,64-85,S. Mykhailiuk makes 3-pt jump shot from 24 ft (assist by P. Pritchard),,3,64,85,-21,1987.0
2:37.0,J. Ivey makes 2-pt layup from 5 ft (assist by J. Wiseman),66-85, ,,3,66,85,-19,2003.0
2:15.0, ,66-85,S. Mykhailiuk misses 3-pt jump shot from 25 ft,,3,66,85,-19,2025.0
2:12.0, ,66-85,Offensive rebound by K. Porziņģis,,3,66,85,-19,2028.0
2:06.0, ,66-87,J. Brown makes 2-pt jump shot from 11 ft (assist by K. Porziņģis),,3,66,87,-21,2034.0
2:06.0, ,66-87,Shooting foul by S. Umude (drawn by J. Brown),,3,66,87,-21,2034.0
2:06.0, ,66-87,Boston full timeout,,3,66,87,-21,2034.0
2:06.0,E. Fournier enters the game for J. Ivey,66-87, ,,3,66,87,-21,2034.0
