Time,Milwaukee,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:51.0, ,18-11,Shooting foul by B. Lopez (drawn by J. Ivey),,1,11,18,-7,309.0
6:51.0, ,18-11,Detroit full timeout,,1,11,18,-7,309.0
6:51.0,B. Portis enters the game for G. Antetokounmpo,18-11, ,,1,11,18,-7,309.0
6:51.0, ,18-12,J. Ivey makes free throw 1 of 2,,1,12,18,-6,309.0
6:51.0, ,18-13,J. Ivey makes free throw 2 of 2,,1,13,18,-5,309.0
6:38.0,D. Lillard misses 3-pt jump shot from 26 ft,18-13, ,,1,13,18,-5,322.0
6:37.0, ,18-13,Defensive rebound by J. Ivey,,1,13,18,-5,323.0
6:33.0, ,18-13,J. Ivey misses 2-pt jump shot from 9 ft,,1,13,18,-5,327.0
6:32.0, ,18-13,Offensive rebound by J. Ivey,,1,13,18,-5,328.0
6:31.0, ,18-13,Shooting foul by B. Portis (drawn by J. Ivey),,1,13,18,-5,329.0
6:31.0, ,18-14,J. Ivey makes free throw 1 of 2,,1,14,18,-4,329.0
6:31.0, ,18-15,J. Ivey makes free throw 2 of 2,,1,15,18,-3,329.0
6:22.0,K. Middleton misses 3-pt jump shot from 26 ft,18-15, ,,1,15,18,-3,338.0
6:20.0, ,18-15,Defensive rebound by J. Duren,,1,15,18,-3,340.0
6:05.0, ,18-15,B. Bogdanović misses 2-pt jump shot from 5 ft,,1,15,18,-3,355.0
6:02.0,Defensive rebound by B. Lopez,18-15, ,,1,15,18,-3,358.0
5:59.0,K. Middleton misses 2-pt layup from 2 ft (block by B. Bogdanović),18-15, ,,1,15,18,-3,361.0
5:59.0, ,18-15,Defensive rebound by Team,,1,15,18,-3,361.0
5:59.0, ,18-15,Detroit full timeout,,1,15,18,-3,361.0
5:59.0, ,18-15,Instant Replay (Challenge: Ruling Stands),,1,15,18,-3,361.0
5:59.0,J. Crowder enters the game for K. Middleton,18-15, ,,1,15,18,-3,361.0
5:36.0, ,18-15,I. Stewart misses 3-pt jump shot from 26 ft,,1,15,18,-3,384.0
5:33.0,Defensive rebound by D. Lillard,18-15, ,,1,15,18,-3,387.0
5:31.0,Personal foul by K. Hayes (drawn by D. Lillard),18-15, ,,1,15,18,-3,389.0
5:31.0, ,18-15,D. Gallinari enters the game for J. Duren,,1,15,18,-3,389.0
5:18.0,D. Lillard misses 2-pt jump shot from 19 ft,18-15, ,,1,15,18,-3,402.0
5:14.0, ,18-15,Defensive rebound by D. Gallinari,,1,15,18,-3,406.0
5:04.0, ,18-15,J. Ivey misses 2-pt jump shot from 15 ft,,1,15,18,-3,416.0
5:03.0, ,18-15,Offensive rebound by Team,,1,15,18,-3,417.0
4:58.0, ,18-15,I. Stewart misses 3-pt jump shot from 27 ft,,1,15,18,-3,422.0
4:55.0,Defensive rebound by J. Crowder,18-15, ,,1,15,18,-3,425.0
4:55.0, ,18-15,A. Burks enters the game for K. Hayes,,1,15,18,-3,425.0
4:41.0,B. Lopez misses 2-pt layup from 7 ft,18-15, ,,1,15,18,-3,439.0
4:41.0,Offensive rebound by Team,18-15, ,,1,15,18,-3,439.0
4:41.0, ,18-15,A. Thompson enters the game for B. Bogdanović,,1,15,18,-3,439.0
4:37.0,Personal foul by D. Gallinari (drawn by D. Lillard),18-15, ,,1,15,18,-3,443.0
4:31.0,B. Lopez makes 2-pt layup from 3 ft (assist by D. Lillard),20-15, ,,1,15,20,-5,449.0
4:31.0,Shooting foul by D. Gallinari (drawn by B. Lopez),20-15, ,,1,15,20,-5,449.0
4:31.0,B. Lopez makes free throw 1 of 1,21-15, ,,1,15,21,-6,449.0
4:20.0, ,21-17,D. Gallinari makes 2-pt layup from 4 ft (assist by J. Ivey),,1,17,21,-4,460.0
4:20.0, ,21-17,Shooting foul by B. Lopez (drawn by D. Gallinari),,1,17,21,-4,460.0
4:20.0,Technical foul by B. Lopez,21-17, ,,1,17,21,-4,460.0
4:20.0,G. Antetokounmpo enters the game for B. Lopez,21-17, ,,1,17,21,-4,460.0
4:20.0, ,21-17,D. Gallinari misses technical free throw,,1,17,21,-4,460.0
4:20.0, ,21-17,Offensive rebound by Team,,1,17,21,-4,460.0
4:20.0, ,21-18,D. Gallinari makes free throw 1 of 1,,1,18,21,-3,460.0
4:04.0,B. Portis misses 3-pt jump shot from 24 ft (block by I. Stewart),21-18, ,,1,18,21,-3,476.0
4:01.0, ,21-18,Defensive rebound by I. Stewart,,1,18,21,-3,479.0
3:58.0, ,21-18,Turnover by J. Ivey (bad pass; steal by G. Antetokounmpo),,1,18,21,-3,482.0
3:53.0,J. Crowder misses 2-pt layup from 6 ft,21-18, ,,1,18,21,-3,487.0
3:50.0, ,21-18,Defensive rebound by A. Thompson,,1,18,21,-3,490.0
3:48.0, ,21-18,Shooting foul by M. Beasley (drawn by J. Ivey),,1,18,21,-3,492.0
3:48.0, ,21-18,J. Ivey misses free throw 1 of 2,,1,18,21,-3,492.0
3:48.0, ,21-18,Offensive rebound by Team,,1,18,21,-3,492.0
3:48.0,A. Jackson enters the game for M. Beasley,21-18, ,,1,18,21,-3,492.0
3:48.0, ,21-19,J. Ivey makes free throw 2 of 2,,1,19,21,-2,492.0
3:35.0,B. Portis makes 2-pt jump shot from 14 ft,23-19, ,,1,19,23,-4,505.0
3:16.0, ,23-19,A. Burks misses 3-pt jump shot from 24 ft,,1,19,23,-4,524.0
3:14.0,Defensive rebound by B. Portis,23-19, ,,1,19,23,-4,526.0
3:04.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by D. Lillard),25-19, ,,1,19,25,-6,536.0
2:43.0, ,25-22,D. Gallinari makes 3-pt jump shot from 26 ft (assist by J. Ivey),,1,22,25,-3,557.0
2:33.0,Shooting foul by A. Burks (drawn by B. Portis),25-22, ,,1,22,25,-3,567.0
2:33.0,B. Portis makes free throw 1 of 2,26-22, ,,1,22,26,-4,567.0
2:33.0, ,26-22,M. Sasser enters the game for J. Ivey,,1,22,26,-4,567.0
2:33.0,B. Portis misses free throw 2 of 2,26-22, ,,1,22,26,-4,567.0
2:32.0, ,26-22,Defensive rebound by I. Stewart,,1,22,26,-4,568.0
2:31.0, ,26-22,Turnover by I. Stewart (out of bounds lost ball),,1,22,26,-4,569.0
2:25.0,G. Antetokounmpo makes 2-pt jump shot from 18 ft (assist by D. Lillard),28-22, ,,1,22,28,-6,575.0
1:59.0, ,28-24,D. Gallinari makes 2-pt layup from 2 ft (assist by A. Burks),,1,24,28,-4,601.0
1:52.0,J. Crowder misses 3-pt jump shot from 24 ft,28-24, ,,1,24,28,-4,608.0
1:49.0, ,28-24,Defensive rebound by A. Thompson,,1,24,28,-4,611.0
1:44.0, ,28-26,I. Stewart makes 2-pt layup from 2 ft (assist by A. Burks),,1,26,28,-2,616.0
1:31.0,Turnover by D. Lillard (bad pass),28-26, ,,1,26,28,-2,629.0
1:30.0,Loose ball foul by G. Antetokounmpo (drawn by M. Sasser),28-26, ,,1,26,28,-2,630.0
1:30.0, ,28-27,M. Sasser makes free throw 1 of 2,,1,27,28,-1,630.0
1:30.0, ,28-28,M. Sasser makes free throw 2 of 2,Tie,1,28,28,0,630.0
1:16.0,Shooting foul by I. Stewart (drawn by D. Lillard),28-28, ,,1,28,28,0,644.0
1:16.0,D. Lillard makes free throw 1 of 2,29-28, ,,1,28,29,-1,644.0
1:16.0,D. Lillard makes free throw 2 of 2,30-28, ,,1,28,30,-2,644.0
0:53.0, ,30-30,M. Sasser makes 2-pt jump shot from 17 ft (assist by D. Gallinari),Tie,1,30,30,0,667.0
0:35.0,D. Lillard misses 3-pt jump shot from 32 ft,30-30, ,,1,30,30,0,685.0
0:32.0, ,30-30,Defensive rebound by D. Gallinari,,1,30,30,0,688.0
0:16.0, ,30-30,Offensive foul by A. Burks (drawn by B. Portis),,1,30,30,0,704.0
0:16.0, ,30-30,Turnover by A. Burks (offensive foul),,1,30,30,0,704.0
0:16.0,K. Middleton enters the game for A. Jackson,30-30, ,,1,30,30,0,704.0
0:16.0, ,30-30,J. Duren enters the game for D. Gallinari,,1,30,30,0,704.0
0:16.0, ,30-30,K. Hayes enters the game for M. Sasser,,1,30,30,0,704.0
0:04.0,G. Antetokounmpo misses 2-pt layup from 4 ft (block by I. Stewart),30-30, ,,1,30,30,0,716.0
0:03.0, ,30-30,Defensive rebound by A. Burks,,1,30,30,0,717.0
0:01.0, ,30-30,A. Burks misses 3-pt jump shot from 29 ft,,1,30,30,0,719.0
0:00.0, ,30-30,Offensive rebound by Team,,1,30,30,0,720.0
0:00.0,End of 1st quarter,30-30,,,1,30,30,0,720.0
12:00.0,Start of 2nd quarter,30-30,,,2,30,30,0,720.0
11:45.0,K. Middleton makes 2-pt jump shot from 14 ft (assist by G. Antetokounmpo),32-30, ,,2,30,32,-2,735.0
11:23.0, ,32-30,Shooting foul by P. Connaughton (drawn by A. Thompson),,2,30,32,-2,757.0
11:23.0, ,32-30,A. Thompson misses free throw 1 of 2,,2,30,32,-2,757.0
11:23.0, ,32-30,Offensive rebound by Team,,2,30,32,-2,757.0
11:23.0, ,32-30,A. Thompson misses free throw 2 of 2,,2,30,32,-2,757.0
11:20.0, ,32-30,Offensive rebound by M. Muscala,,2,30,32,-2,760.0
11:08.0, ,32-32,M. Sasser makes 2-pt jump shot from 13 ft,Tie,2,32,32,0,772.0
10:52.0,G. Antetokounmpo misses 2-pt layup from 5 ft (block by J. Duren),32-32, ,,2,32,32,0,788.0
10:51.0, ,32-32,Defensive rebound by Team,,2,32,32,0,789.0
10:41.0, ,32-35,A. Burks makes 3-pt jump shot from 28 ft,Lead change,2,35,32,3,799.0
10:28.0,K. Middleton misses 2-pt jump shot from 11 ft,32-35, ,,2,35,32,3,812.0
10:25.0, ,32-35,Defensive rebound by M. Muscala,,2,35,32,3,815.0
10:09.0, ,32-35,A. Burks misses 2-pt layup from 4 ft,,2,35,32,3,831.0
10:07.0,Defensive rebound by P. Connaughton,32-35, ,,2,35,32,3,833.0
10:02.0,P. Connaughton misses 3-pt jump shot from 23 ft,32-35, ,,2,35,32,3,838.0
10:01.0, ,32-35,Defensive rebound by Team,,2,35,32,3,839.0
10:01.0,Loose ball foul by B. Portis (drawn by J. Duren),32-35, ,,2,35,32,3,839.0
9:46.0, ,32-37,M. Sasser makes 2-pt jump shot from 11 ft,,2,37,32,5,854.0
9:35.0,G. Antetokounmpo misses 2-pt jump shot from 19 ft,32-37, ,,2,37,32,5,865.0
9:33.0, ,32-37,Defensive rebound by A. Thompson,,2,37,32,5,867.0
9:19.0, ,32-37,A. Burks misses 2-pt jump shot from 14 ft,,2,37,32,5,881.0
9:17.0,Defensive rebound by K. Middleton,32-37, ,,2,37,32,5,883.0
9:10.0,Shooting foul by A. Thompson (drawn by K. Middleton),32-37, ,,2,37,32,5,890.0
9:10.0,K. Middleton makes free throw 1 of 2,33-37, ,,2,37,33,4,890.0
9:10.0, ,33-37,B. Bogdanović enters the game for A. Burks,,2,37,33,4,890.0
9:10.0,K. Middleton makes free throw 2 of 2,34-37, ,,2,37,34,3,890.0
8:47.0, ,34-39,M. Sasser makes 2-pt layup from 3 ft (assist by B. Bogdanović),,2,39,34,5,913.0
8:37.0,G. Antetokounmpo misses 2-pt layup from 3 ft (block by M. Muscala),34-39, ,,2,39,34,5,923.0
8:36.0,Offensive rebound by Team,34-39, ,,2,39,34,5,924.0
8:29.0,A. Jackson misses 3-pt jump shot from 23 ft,34-39, ,,2,39,34,5,931.0
8:26.0, ,34-39,Defensive rebound by J. Duren,,2,39,34,5,934.0
8:10.0, ,34-39,J. Duren misses 2-pt jump shot from 12 ft,,2,39,34,5,950.0
8:09.0, ,34-39,Offensive rebound by A. Thompson,,2,39,34,5,951.0
8:04.0, ,34-39,M. Sasser misses 3-pt jump shot from 25 ft,,2,39,34,5,956.0
8:01.0,Defensive rebound by G. Antetokounmpo,34-39, ,,2,39,34,5,959.0
7:51.0,K. Middleton makes 2-pt jump shot from 15 ft,36-39, ,,2,39,36,3,969.0
7:38.0, ,36-41,J. Duren makes 2-pt jump shot from 12 ft,,2,41,36,5,982.0
7:25.0,Shooting foul by B. Bogdanović (drawn by G. Antetokounmpo),36-41, ,,2,41,36,5,995.0
7:25.0,M. Beasley enters the game for A. Jackson,36-41, ,,2,41,36,5,995.0
7:25.0, ,36-41,J. Ivey enters the game for A. Thompson,,2,41,36,5,995.0
7:25.0,G. Antetokounmpo makes free throw 1 of 2,37-41, ,,2,41,37,4,995.0
7:25.0,G. Antetokounmpo makes free throw 2 of 2,38-41, ,,2,41,38,3,995.0
7:11.0, ,38-44,M. Muscala makes 3-pt jump shot from 28 ft (assist by M. Sasser),,2,44,38,6,1009.0
7:10.0,Milwaukee full timeout,38-44, ,,2,44,38,6,1010.0
7:10.0,B. Lopez enters the game for G. Antetokounmpo,38-44, ,,2,44,38,6,1010.0
6:49.0,M. Beasley misses 3-pt jump shot from 26 ft,38-44, ,,2,44,38,6,1031.0
6:45.0, ,38-44,Defensive rebound by J. Duren,,2,44,38,6,1035.0
6:33.0, ,38-46,J. Ivey makes 2-pt layup from 1 ft (assist by M. Sasser),,2,46,38,8,1047.0
6:18.0,Shooting foul by M. Muscala (drawn by B. Portis),38-46, ,,2,46,38,8,1062.0
6:18.0,B. Portis makes free throw 1 of 2,39-46, ,,2,46,39,7,1062.0
6:18.0,A. Jackson enters the game for P. Connaughton,39-46, ,,2,46,39,7,1062.0
6:18.0,D. Lillard enters the game for K. Middleton,39-46, ,,2,46,39,7,1062.0
6:18.0,B. Portis makes free throw 2 of 2,40-46, ,,2,46,40,6,1062.0
6:05.0, ,40-46,Turnover by M. Sasser (traveling),,2,46,40,6,1075.0
5:45.0,B. Portis makes 2-pt layup from 2 ft,42-46, ,,2,46,42,4,1095.0
5:32.0, ,42-48,J. Duren makes 2-pt hook shot from 6 ft (assist by J. Ivey),,2,48,42,6,1108.0
5:13.0,D. Lillard misses 3-pt jump shot from 26 ft,42-48, ,,2,48,42,6,1127.0
5:11.0, ,42-48,Defensive rebound by J. Duren,,2,48,42,6,1129.0
5:02.0, ,42-48,J. Duren misses 2-pt jump shot from 6 ft,,2,48,42,6,1138.0
4:59.0,Defensive rebound by B. Lopez,42-48, ,,2,48,42,6,1141.0
4:54.0,A. Jackson makes 2-pt layup from 6 ft (assist by D. Lillard),44-48, ,,2,48,44,4,1146.0
4:41.0, ,44-48,J. Duren misses 2-pt layup from 3 ft (block by A. Jackson),,2,48,44,4,1159.0
4:40.0, ,44-48,Offensive rebound by Team,,2,48,44,4,1160.0
4:40.0, ,44-48,K. Hayes enters the game for J. Duren,,2,48,44,4,1160.0
4:40.0, ,44-48,I. Stewart enters the game for M. Sasser,,2,48,44,4,1160.0
4:38.0, ,44-48,Turnover by K. Hayes (bad pass; steal by A. Jackson),,2,48,44,4,1162.0
4:35.0,Shooting foul by B. Bogdanović (drawn by A. Jackson),44-48, ,,2,48,44,4,1165.0
4:35.0,A. Jackson makes free throw 1 of 2,45-48, ,,2,48,45,3,1165.0
4:35.0,A. Jackson makes free throw 2 of 2,46-48, ,,2,48,46,2,1165.0
4:24.0, ,46-48,B. Bogdanović misses 2-pt jump shot from 17 ft,,2,48,46,2,1176.0
4:22.0,Defensive rebound by D. Lillard,46-48, ,,2,48,46,2,1178.0
4:14.0,D. Lillard makes 2-pt layup from 5 ft,48-48, ,Tie,2,48,48,0,1186.0
4:04.0, ,48-48,J. Ivey misses 2-pt jump shot from 11 ft,,2,48,48,0,1196.0
4:02.0,Defensive rebound by M. Beasley,48-48, ,,2,48,48,0,1198.0
3:50.0,D. Lillard misses 3-pt jump shot from 26 ft,48-48, ,,2,48,48,0,1210.0
3:49.0, ,48-48,Defensive rebound by I. Stewart,,2,48,48,0,1211.0
3:40.0, ,48-50,B. Bogdanović makes 2-pt layup from 5 ft (assist by I. Stewart),,2,50,48,2,1220.0
3:26.0,A. Jackson makes 2-pt dunk from 1 ft (assist by D. Lillard),50-50, ,Tie,2,50,50,0,1234.0
3:16.0, ,50-52,J. Ivey makes 2-pt layup from 9 ft,,2,52,50,2,1244.0
3:16.0, ,50-52,Shooting foul by A. Jackson (drawn by J. Ivey),,2,52,50,2,1244.0
3:16.0, ,50-53,J. Ivey makes free throw 1 of 1,,2,53,50,3,1244.0
2:58.0,B. Lopez misses 2-pt layup from 2 ft,50-53, ,,2,53,50,3,1262.0
2:57.0,Offensive rebound by B. Lopez,50-53, ,,2,53,50,3,1263.0
2:57.0,B. Lopez makes 2-pt layup from 1 ft,52-53, ,,2,53,52,1,1263.0
2:57.0,Shooting foul by I. Stewart (drawn by B. Lopez),52-53, ,,2,53,52,1,1263.0
2:57.0, ,52-53,Detroit full timeout,,2,53,52,1,1263.0
2:57.0,G. Antetokounmpo enters the game for B. Portis,52-53, ,,2,53,52,1,1263.0
2:57.0, ,52-53,J. Duren enters the game for M. Muscala,,2,53,52,1,1263.0
2:57.0,B. Lopez makes free throw 1 of 1,53-53, ,Tie,2,53,53,0,1263.0
2:46.0, ,53-53,B. Bogdanović misses 2-pt jump shot from 9 ft,,2,53,53,0,1274.0
2:42.0,Defensive rebound by G. Antetokounmpo,53-53, ,,2,53,53,0,1278.0
2:33.0,M. Beasley misses 2-pt layup from 3 ft,53-53, ,,2,53,53,0,1287.0
2:32.0, ,53-53,Defensive rebound by J. Duren,,2,53,53,0,1288.0
2:25.0, ,53-53,J. Duren misses 2-pt jump shot from 12 ft,,2,53,53,0,1295.0
2:23.0,Defensive rebound by B. Lopez,53-53, ,,2,53,53,0,1297.0
2:19.0,M. Beasley misses 3-pt jump shot from 23 ft,53-53, ,,2,53,53,0,1301.0
2:13.0, ,53-53,Defensive rebound by J. Duren,,2,53,53,0,1307.0
2:02.0, ,53-56,I. Stewart makes 3-pt jump shot from 25 ft (assist by K. Hayes),,2,56,53,3,1318.0
1:34.0,D. Lillard makes 2-pt jump shot from 13 ft,55-56, ,,2,56,55,1,1346.0
1:18.0, ,55-56,Turnover by J. Ivey (bad pass; steal by G. Antetokounmpo),,2,56,55,1,1362.0
1:16.0,Shooting foul by B. Bogdanović (drawn by G. Antetokounmpo),55-56, ,,2,56,55,1,1364.0
1:16.0,G. Antetokounmpo makes free throw 1 of 2,56-56, ,Tie,2,56,56,0,1364.0
1:16.0,K. Middleton enters the game for A. Jackson,56-56, ,,2,56,56,0,1364.0
1:16.0, ,56-56,A. Burks enters the game for B. Bogdanović,,2,56,56,0,1364.0
1:16.0, ,56-56,A. Thompson enters the game for K. Hayes,,2,56,56,0,1364.0
1:16.0,G. Antetokounmpo misses free throw 2 of 2,56-56, ,,2,56,56,0,1364.0
1:13.0,Offensive rebound by B. Lopez,56-56, ,,2,56,56,0,1367.0
1:06.0,K. Middleton makes 2-pt jump shot from 10 ft (assist by G. Antetokounmpo),58-56, ,Lead change,2,56,58,-2,1374.0
0:50.0, ,58-56,Turnover by J. Ivey (lost ball; steal by D. Lillard),,2,56,58,-2,1390.0
0:45.0,M. Beasley misses 3-pt jump shot from 23 ft,58-56, ,,2,56,58,-2,1395.0
0:41.0, ,58-56,Defensive rebound by I. Stewart,,2,56,58,-2,1399.0
0:37.0, ,58-56,A. Burks misses 3-pt jump shot from 23 ft,,2,56,58,-2,1403.0
0:34.0,Defensive rebound by B. Lopez,58-56, ,,2,56,58,-2,1406.0
0:26.0,K. Middleton misses 3-pt jump shot from 23 ft,58-56, ,,2,56,58,-2,1414.0
0:24.0, ,58-56,Defensive rebound by J. Duren,,2,56,58,-2,1416.0
0:04.0, ,58-56,J. Ivey misses 3-pt jump shot from 26 ft,,2,56,58,-2,1436.0
0:02.0,Defensive rebound by M. Beasley,58-56, ,,2,56,58,-2,1438.0
0:00.0,G. Antetokounmpo misses 3-pt jump shot from 46 ft,58-56, ,,2,56,58,-2,1440.0
0:00.0,Offensive rebound by Team,58-56, ,,2,56,58,-2,1440.0
0:00.0,End of 2nd quarter,58-56,,,2,56,58,-2,1440.0
12:00.0,Start of 3rd quarter,58-56,,,3,56,58,-2,1440.0
11:47.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),60-56, ,,3,56,60,-4,1453.0
11:34.0, ,60-56,Turnover by J. Duren (lost ball; steal by K. Middleton),,3,56,60,-4,1466.0
11:30.0,K. Middleton makes 2-pt dunk from 1 ft,62-56, ,,3,56,62,-6,1470.0
11:14.0, ,62-56,K. Knox misses 3-pt jump shot from 24 ft,,3,56,62,-6,1486.0
11:12.0,Defensive rebound by D. Lillard,62-56, ,,3,56,62,-6,1488.0
11:01.0,B. Lopez misses 3-pt jump shot from 29 ft,62-56, ,,3,56,62,-6,1499.0
10:57.0, ,62-56,Defensive rebound by K. Knox,,3,56,62,-6,1503.0
10:51.0, ,62-58,K. Knox makes 2-pt jump shot from 10 ft,,3,58,62,-4,1509.0
10:35.0,K. Middleton misses 3-pt jump shot from 26 ft,62-58, ,,3,58,62,-4,1525.0
10:33.0, ,62-58,Defensive rebound by B. Bogdanović,,3,58,62,-4,1527.0
10:23.0, ,62-61,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by K. Hayes),,3,61,62,-1,1537.0
10:11.0,Shooting foul by K. Knox (drawn by G. Antetokounmpo),62-61, ,,3,61,62,-1,1549.0
10:11.0,G. Antetokounmpo makes free throw 1 of 2,63-61, ,,3,61,63,-2,1549.0
10:11.0,G. Antetokounmpo misses free throw 2 of 2,63-61, ,,3,61,63,-2,1549.0
10:11.0,Offensive rebound by Team,63-61, ,,3,61,63,-2,1549.0
10:11.0, ,63-61,Loose ball foul by J. Duren (drawn by B. Lopez),,3,61,63,-2,1549.0
10:04.0,D. Lillard makes 3-pt jump shot from 27 ft,66-61, ,,3,61,66,-5,1556.0
9:50.0, ,66-64,J. Ivey makes 3-pt jump shot from 27 ft,,3,64,66,-2,1570.0
9:38.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,66-64, ,,3,64,66,-2,1582.0
9:35.0, ,66-64,Defensive rebound by K. Knox,,3,64,66,-2,1585.0
9:22.0, ,66-64,J. Duren misses 2-pt layup from 3 ft (block by B. Lopez),,3,64,66,-2,1598.0
9:20.0,Defensive rebound by G. Antetokounmpo,66-64, ,,3,64,66,-2,1600.0
9:08.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by B. Lopez),68-64, ,,3,64,68,-4,1612.0
9:01.0, ,68-64,J. Ivey misses 2-pt layup from 1 ft (block by B. Lopez),,3,64,68,-4,1619.0
8:58.0,Defensive rebound by B. Lopez,68-64, ,,3,64,68,-4,1622.0
8:56.0,M. Beasley misses 3-pt jump shot from 24 ft,68-64, ,,3,64,68,-4,1624.0
8:52.0, ,68-64,Defensive rebound by K. Hayes,,3,64,68,-4,1628.0
8:41.0, ,68-66,J. Duren makes 2-pt dunk from 3 ft (assist by J. Ivey),,3,66,68,-2,1639.0
8:31.0,Shooting foul by K. Hayes (drawn by D. Lillard),68-66, ,,3,66,68,-2,1649.0
8:31.0,D. Lillard makes free throw 1 of 2,69-66, ,,3,66,69,-3,1649.0
8:31.0,D. Lillard misses free throw 2 of 2,69-66, ,,3,66,69,-3,1649.0
8:29.0, ,69-66,Defensive rebound by J. Duren,,3,66,69,-3,1651.0
8:15.0, ,69-66,J. Duren misses 2-pt layup from 2 ft,,3,66,69,-3,1665.0
8:13.0,Defensive rebound by G. Antetokounmpo,69-66, ,,3,66,69,-3,1667.0
8:12.0,Personal foul by K. Knox (drawn by G. Antetokounmpo),69-66, ,,3,66,69,-3,1668.0
