Time,Golden State,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:11.0, ,31-26,S. Umude misses 3-pt jump shot from 29 ft,,1,26,31,-5,709.0
0:06.0,Defensive rebound by C. Paul,31-26, ,,1,26,31,-5,714.0
0:00.0,J. Kuminga misses 2-pt jump shot from 20 ft,31-26, ,,1,26,31,-5,720.0
0:00.0,Offensive rebound by Team,31-26, ,,1,26,31,-5,720.0
0:00.0,End of 1st quarter,31-26,,,1,26,31,-5,720.0
12:00.0,Start of 2nd quarter,31-26,,,2,26,31,-5,720.0
11:45.0,J. Kuminga misses 2-pt jump shot from 12 ft,31-26, ,,2,26,31,-5,735.0
11:42.0, ,31-26,Defensive rebound by J. Wiseman,,2,26,31,-5,738.0
11:36.0, ,31-26,J. Wiseman misses 2-pt layup from 5 ft (block by J. Kuminga),,2,26,31,-5,744.0
11:31.0,Defensive rebound by D. Šarić,31-26, ,,2,26,31,-5,749.0
11:25.0,G. Payton misses 2-pt layup from 4 ft,31-26, ,,2,26,31,-5,755.0
11:19.0,Offensive rebound by G. Payton,31-26, ,,2,26,31,-5,761.0
11:19.0,G. Payton makes 2-pt layup at rim,33-26, ,,2,26,33,-7,761.0
11:09.0, ,33-29,M. Sasser makes 3-pt jump shot from 28 ft (assist by K. Hayes),,2,29,33,-4,771.0
10:51.0,J. Kuminga misses 3-pt jump shot from 26 ft,33-29, ,,2,29,33,-4,789.0
10:48.0,Offensive rebound by D. Šarić,33-29, ,,2,29,33,-4,792.0
10:45.0,K. Thompson misses 3-pt jump shot from 26 ft,33-29, ,,2,29,33,-4,795.0
10:42.0, ,33-29,Defensive rebound by I. Stewart,,2,29,33,-4,798.0
10:33.0, ,33-31,M. Sasser makes 2-pt jump shot from 18 ft (assist by A. Thompson),,2,31,33,-2,807.0
10:16.0,K. Thompson misses 3-pt jump shot from 26 ft,33-31, ,,2,31,33,-2,824.0
10:13.0,Offensive rebound by D. Šarić,33-31, ,,2,31,33,-2,827.0
10:07.0, ,33-31,Violation by Team (kicked ball),,2,31,33,-2,833.0
9:59.0,D. Šarić makes 3-pt jump shot from 26 ft (assist by K. Thompson),36-31, ,,2,31,36,-5,841.0
9:42.0, ,36-33,K. Hayes makes 2-pt jump shot from 16 ft,,2,33,36,-3,858.0
9:25.0,K. Thompson makes 2-pt jump shot from 19 ft,38-33, ,,2,33,38,-5,875.0
9:07.0, ,38-33,M. Sasser misses 3-pt jump shot from 24 ft,,2,33,38,-5,893.0
9:06.0,Defensive rebound by Team,38-33, ,,2,33,38,-5,894.0
9:06.0,A. Wiggins enters the game for G. Payton,38-33, ,,2,33,38,-5,894.0
9:06.0, ,38-33,C. Cunningham enters the game for M. Sasser,,2,33,38,-5,894.0
8:57.0,K. Thompson makes 2-pt jump shot from 12 ft (assist by C. Paul),40-33, ,,2,33,40,-7,903.0
8:44.0, ,40-33,J. Wiseman misses 2-pt layup from 5 ft,,2,33,40,-7,916.0
8:44.0,Defensive rebound by Team,40-33, ,,2,33,40,-7,916.0
8:36.0,C. Paul misses 2-pt jump shot from 14 ft,40-33, ,,2,33,40,-7,924.0
8:31.0, ,40-33,Defensive rebound by J. Wiseman,,2,33,40,-7,929.0
8:22.0, ,40-35,C. Cunningham makes 2-pt jump shot from 15 ft,,2,35,40,-5,938.0
8:04.0,Turnover by K. Thompson (bad pass; steal by C. Cunningham),40-35, ,,2,35,40,-5,956.0
7:50.0, ,40-35,K. Hayes misses 3-pt jump shot from 25 ft,,2,35,40,-5,970.0
7:46.0,Defensive rebound by D. Šarić,40-35, ,,2,35,40,-5,974.0
7:38.0,C. Paul makes 2-pt jump shot from 12 ft,42-35, ,,2,35,42,-7,982.0
7:21.0, ,42-38,I. Stewart makes 3-pt jump shot from 25 ft (assist by A. Thompson),,2,38,42,-4,999.0
7:21.0,Golden State full timeout,42-38, ,,2,38,42,-4,999.0
7:21.0,S. Curry enters the game for J. Kuminga,42-38, ,,2,38,42,-4,999.0
7:21.0,D. Green enters the game for C. Paul,42-38, ,,2,38,42,-4,999.0
7:21.0,K. Looney enters the game for D. Šarić,42-38, ,,2,38,42,-4,999.0
7:21.0,M. Moody enters the game for K. Thompson,42-38, ,,2,38,42,-4,999.0
7:09.0,S. Curry makes 3-pt jump shot from 28 ft (assist by D. Green),45-38, ,,2,38,45,-7,1011.0
6:40.0, ,45-38,Turnover by I. Stewart (bad pass; steal by M. Moody),,2,38,45,-7,1040.0
6:32.0,A. Wiggins misses 2-pt jump shot from 20 ft,45-38, ,,2,38,45,-7,1048.0
6:31.0, ,45-38,Defensive rebound by Team,,2,38,45,-7,1049.0
6:31.0,Loose ball foul by K. Looney (drawn by I. Stewart),45-38, ,,2,38,45,-7,1049.0
6:16.0, ,45-38,Turnover by C. Cunningham (bad pass),,2,38,45,-7,1064.0
6:16.0, ,45-38,M. Sasser enters the game for K. Hayes,,2,38,45,-7,1064.0
6:05.0,S. Curry misses 3-pt jump shot from 29 ft,45-38, ,,2,38,45,-7,1075.0
6:02.0, ,45-38,Defensive rebound by C. Cunningham,,2,38,45,-7,1078.0
5:55.0, ,45-38,C. Cunningham misses 3-pt jump shot from 25 ft,,2,38,45,-7,1085.0
5:51.0,Defensive rebound by D. Green,45-38, ,,2,38,45,-7,1089.0
5:34.0,A. Wiggins misses 2-pt hook shot from 8 ft,45-38, ,,2,38,45,-7,1106.0
5:31.0, ,45-38,Defensive rebound by M. Sasser,,2,38,45,-7,1109.0
5:21.0, ,45-38,Def 3 sec tech foul by Team,,2,38,45,-7,1119.0
5:21.0, ,45-39,C. Cunningham makes technical free throw,,2,39,45,-6,1119.0
5:21.0, ,45-39,M. Bagley enters the game for J. Wiseman,,2,39,45,-6,1119.0
5:06.0, ,45-39,Turnover by Team (shot clock),,2,39,45,-6,1134.0
4:55.0,S. Curry misses 3-pt jump shot from 27 ft,45-39, ,,2,39,45,-6,1145.0
4:51.0, ,45-39,Defensive rebound by C. Cunningham,,2,39,45,-6,1149.0
4:45.0, ,45-39,C. Cunningham misses 2-pt jump shot from 5 ft,,2,39,45,-6,1155.0
4:43.0,Defensive rebound by K. Looney,45-39, ,,2,39,45,-6,1157.0
4:26.0,M. Moody makes 2-pt layup from 5 ft (assist by D. Green),47-39, ,,2,39,47,-8,1174.0
3:59.0, ,47-41,M. Sasser makes 2-pt jump shot from 12 ft (assist by I. Stewart),,2,41,47,-6,1201.0
3:40.0,S. Curry misses 2-pt layup from 7 ft,47-41, ,,2,41,47,-6,1220.0
3:35.0,Offensive rebound by K. Looney,47-41, ,,2,41,47,-6,1225.0
3:35.0,K. Looney makes 2-pt layup at rim,49-41, ,,2,41,49,-8,1225.0
3:25.0, ,49-41,C. Cunningham misses 2-pt layup from 6 ft,,2,41,49,-8,1235.0
3:22.0,Defensive rebound by D. Green,49-41, ,,2,41,49,-8,1238.0
3:19.0,D. Green makes 2-pt layup from 4 ft,51-41, ,,2,41,51,-10,1241.0
3:19.0, ,51-41,Detroit full timeout,,2,41,51,-10,1241.0
3:19.0, ,51-41,Technical foul by M. Williams,,2,41,51,-10,1241.0
3:19.0,K. Thompson enters the game for M. Moody,51-41, ,,2,41,51,-10,1241.0
3:19.0,S. Curry makes technical free throw,52-41, ,,2,41,52,-11,1241.0
3:01.0, ,52-41,C. Cunningham misses 3-pt jump shot from 25 ft,,2,41,52,-11,1259.0
2:58.0,Defensive rebound by A. Wiggins,52-41, ,,2,41,52,-11,1262.0
2:47.0,A. Wiggins misses 3-pt jump shot from 26 ft,52-41, ,,2,41,52,-11,1273.0
2:44.0, ,52-41,Defensive rebound by A. Thompson,,2,41,52,-11,1276.0
2:33.0, ,52-41,I. Stewart misses 3-pt jump shot from 25 ft,,2,41,52,-11,1287.0
2:28.0,Defensive rebound by A. Wiggins,52-41, ,,2,41,52,-11,1292.0
2:15.0,K. Looney makes 2-pt jump shot from 17 ft (assist by K. Thompson),54-41, ,,2,41,54,-13,1305.0
1:58.0, ,54-43,C. Cunningham makes 2-pt layup from 5 ft,,2,43,54,-11,1322.0
1:45.0,Shooting foul by M. Sasser (drawn by A. Wiggins),54-43, ,,2,43,54,-11,1335.0
1:45.0,A. Wiggins misses free throw 1 of 2,54-43, ,,2,43,54,-11,1335.0
1:45.0,Offensive rebound by Team,54-43, ,,2,43,54,-11,1335.0
1:45.0, ,54-43,K. Hayes enters the game for M. Bagley,,2,43,54,-11,1335.0
1:45.0,A. Wiggins misses free throw 2 of 2,54-43, ,,2,43,54,-11,1335.0
1:41.0, ,54-43,Defensive rebound by I. Stewart,,2,43,54,-11,1339.0
1:33.0, ,54-46,A. Thompson makes 3-pt jump shot from 25 ft (assist by C. Cunningham),,2,46,54,-8,1347.0
1:18.0,D. Green misses 2-pt layup from 5 ft,54-46, ,,2,46,54,-8,1362.0
1:14.0,Offensive rebound by K. Looney,54-46, ,,2,46,54,-8,1366.0
