Time,Portland,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:03.0, ,31-37,Defensive rebound by M. Bagley,,2,37,31,6,837.0
9:51.0, ,31-37,K. Hayes misses 2-pt jump shot from 16 ft,,2,37,31,6,849.0
9:49.0,Defensive rebound by R. Williams,31-37, ,,2,37,31,6,851.0
9:37.0,R. Williams makes 2-pt jump shot from 14 ft (assist by M. Brogdon),33-37, ,,2,37,33,4,863.0
9:25.0, ,33-37,Offensive foul by K. Hayes (drawn by T. Camara),,2,37,33,4,875.0
9:25.0, ,33-37,Turnover by K. Hayes (offensive foul),,2,37,33,4,875.0
9:17.0,Shooting foul by J. Ivey (drawn by M. Brogdon),33-37, ,,2,37,33,4,883.0
9:17.0,M. Brogdon misses free throw 1 of 2,33-37, ,,2,37,33,4,883.0
9:17.0,Offensive rebound by Team,33-37, ,,2,37,33,4,883.0
9:17.0,D. Ayton enters the game for R. Williams,33-37, ,,2,37,33,4,883.0
9:17.0, ,33-37,I. Stewart enters the game for J. Ivey,,2,37,33,4,883.0
9:17.0,M. Brogdon makes free throw 2 of 2,34-37, ,,2,37,34,3,883.0
8:49.0, ,34-40,J. Harris makes 3-pt jump shot from 28 ft (assist by M. Sasser),,2,40,34,6,911.0
8:43.0,Turnover by M. Brogdon (bad pass),34-40, ,,2,40,34,6,917.0
8:30.0, ,34-40,M. Sasser misses 2-pt jump shot from 9 ft,,2,40,34,6,930.0
8:28.0,Defensive rebound by J. Walker,34-40, ,,2,40,34,6,932.0
8:11.0,S. Sharpe misses 2-pt jump shot from 6 ft,34-40, ,,2,40,34,6,949.0
8:09.0, ,34-40,Defensive rebound by I. Stewart,,2,40,34,6,951.0
8:03.0, ,34-40,J. Harris misses 3-pt jump shot from 27 ft,,2,40,34,6,957.0
8:01.0,Defensive rebound by T. Camara,34-40, ,,2,40,34,6,959.0
7:52.0,Turnover by S. Sharpe (bad pass; steal by K. Hayes),34-40, ,,2,40,34,6,968.0
7:44.0, ,34-40,J. Harris misses 3-pt jump shot from 23 ft,,2,40,34,6,976.0
7:42.0,Defensive rebound by D. Ayton,34-40, ,,2,40,34,6,978.0
