Time,Detroit,Score,New Orleans,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:38.0,Defensive rebound by I. Stewart,17-28, ,,1,17,28,-11,502.0
3:30.0,K. Hayes misses 2-pt jump shot from 16 ft,17-28, ,,1,17,28,-11,510.0
3:27.0, ,17-28,Defensive rebound by H. Jones,,1,17,28,-11,513.0
3:19.0, ,17-28,Personal foul by J. Ivey (drawn by H. Jones),,1,17,28,-11,521.0
3:19.0,J. Harris enters the game for M. Sasser,17-28, ,,1,17,28,-11,521.0
3:19.0,A. Thompson enters the game for I. Stewart,17-28, ,,1,17,28,-11,521.0
3:19.0, ,17-28,C. McCollum enters the game for H. Jones,,1,17,28,-11,521.0
3:03.0, ,17-28,K. Lewis misses 2-pt jump shot from 9 ft,,1,17,28,-11,537.0
3:01.0,Defensive rebound by M. Bagley,17-28, ,,1,17,28,-11,539.0
2:56.0,J. Ivey makes 3-pt jump shot from 23 ft (assist by K. Hayes),20-28, ,,1,20,28,-8,544.0
2:35.0, ,20-28,Turnover by J. Hawkins (out of bounds lost ball),,1,20,28,-8,565.0
2:35.0, ,20-28,New Orleans full timeout,,1,20,28,-8,565.0
2:18.0,M. Bagley misses 2-pt layup from 1 ft,20-28, ,,1,20,28,-8,582.0
2:14.0,Offensive rebound by A. Thompson,20-28, ,,1,20,28,-8,586.0
2:14.0,A. Thompson misses 2-pt layup from 2 ft,20-28, ,,1,20,28,-8,586.0
2:14.0,Offensive rebound by M. Bagley,20-28, ,,1,20,28,-8,586.0
2:13.0,M. Bagley misses 2-pt layup at rim,20-28, ,,1,20,28,-8,587.0
2:12.0,Offensive rebound by J. Ivey,20-28, ,,1,20,28,-8,588.0
2:10.0,A. Thompson misses 3-pt jump shot from 23 ft,20-28, ,,1,20,28,-8,590.0
2:06.0, ,20-28,Defensive rebound by D. Daniels,,1,20,28,-8,594.0
1:59.0, ,20-28,C. McCollum misses 3-pt jump shot from 26 ft,,1,20,28,-8,601.0
1:59.0,Defensive rebound by A. Thompson,20-28, ,,1,20,28,-8,601.0
1:53.0,A. Thompson makes 2-pt layup from 3 ft,22-28, ,,1,22,28,-6,607.0
1:53.0,Shooting foul by D. Daniels (drawn by A. Thompson),22-28, ,,1,22,28,-6,607.0
1:53.0,A. Thompson makes free throw 1 of 1,23-28, ,,1,23,28,-5,607.0
1:37.0, ,23-30,C. McCollum makes 2-pt layup from 6 ft,,1,23,30,-7,623.0
1:28.0,Personal foul by C. McCollum (drawn by A. Thompson),23-30, ,,1,23,30,-7,632.0
1:28.0,A. Thompson makes free throw 1 of 2,24-30, ,,1,24,30,-6,632.0
1:28.0,A. Thompson makes free throw 2 of 2,25-30, ,,1,25,30,-5,632.0
1:13.0, ,25-30,J. Hawkins misses 3-pt jump shot from 28 ft,,1,25,30,-5,647.0
1:10.0, ,25-30,Offensive rebound by D. Daniels,,1,25,30,-5,650.0
